QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
2,4:06.0,Offensive rebound by D. Wade,,50,44
2,4:05.0,D. Wade makes 2-pt layup from 2 ft,,52,44
2,4:00.0,,P. Beverley misses 3-pt jump shot from 25 ft,52,44
2,3:57.0,Defensive rebound by J. Winslow,,52,44
2,3:43.0,J. Johnson misses 2-pt layup from 1 ft,,52,44
2,3:43.0,,Defensive rebound by Team,52,44
2,3:43.0,Loose ball foul by K. Olynyk (drawn by P. Beverley),,52,44
2,3:43.0,,P. Beverley makes free throw 1 of 2,52,45
2,3:43.0,D. Jones enters the game for D. Wade,,52,45
2,3:43.0,,P. Beverley makes free throw 2 of 2,52,46
2,3:30.0,Shooting foul by L. Williams (drawn by D. Jones),,52,46
2,3:30.0,D. Jones makes free throw 1 of 2,,53,46
2,3:30.0,D. Jones makes free throw 2 of 2,,54,46
2,3:20.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),54,49
2,3:01.0,D. Jones misses 2-pt jump shot from 9 ft,,54,49
2,2:57.0,Offensive rebound by D. Jones,,54,49
2,2:57.0,D. Jones makes 2-pt dunk at rim,,56,49
2,2:47.0,,L. Williams misses 3-pt jump shot from 27 ft,56,49
2,2:45.0,Defensive rebound by D. Jones,,56,49
2,2:39.0,Shooting foul by T. Harris (drawn by J. Johnson),,56,49
2,2:39.0,J. Johnson makes free throw 1 of 2,,57,49
2,2:39.0,J. Johnson makes free throw 2 of 2,,58,49
2,2:33.0,,D. Gallinari misses 2-pt layup from 4 ft,58,49
2,2:33.0,,Offensive rebound by D. Gallinari,58,49
2,2:33.0,,Offensive foul by D. Gallinari (drawn by K. Olynyk),58,49
2,2:33.0,,Turnover by D. Gallinari (offensive foul),58,49
2,2:23.0,R. McGruder misses 3-pt jump shot from 26 ft,,58,49
2,2:18.0,,Defensive rebound by T. Harris,58,49
2,2:10.0,,T. Harris misses 2-pt jump shot from 5 ft,58,49
2,2:08.0,Defensive rebound by K. Olynyk,,58,49
2,1:56.0,Turnover by J. Winslow (offensive foul),,58,49
2,1:56.0,Offensive foul by J. Winslow (drawn by D. Gallinari),,58,49
2,1:56.0,D. Wade enters the game for J. Winslow,,58,49
2,1:53.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by L. Williams),58,52
2,1:41.0,Violation by Team (kicked ball),,58,52
2,1:37.0,,T. Harris makes 2-pt layup from 3 ft (assist by P. Beverley),58,54
2,1:37.0,,Shooting foul by K. Olynyk (drawn by T. Harris),58,54
2,1:37.0,U. Haslem enters the game for K. Olynyk,,58,54
2,1:37.0,,T. Harris makes free throw 1 of 1,58,55
2,1:23.0,J. Johnson misses 3-pt jump shot from 25 ft,,58,55
2,1:20.0,,Defensive rebound by A. Bradley,58,55
2,1:17.0,,L. Williams makes 2-pt layup from 2 ft,58,57
2,1:17.0,,Shooting foul by D. Jones (drawn by L. Williams),58,57
2,1:17.0,,L. Williams makes free throw 1 of 1,58,58
2,1:07.0,Turnover by R. McGruder (lost ball; steal by P. Beverley),,58,58
2,1:02.0,,A. Bradley makes 2-pt layup from 2 ft (assist by D. Gallinari),58,60
2,0:47.0,D. Wade makes 3-pt jump shot from 27 ft (assist by J. Johnson),,61,60
2,0:46.0,,Shooting foul by R. McGruder (drawn by L. Williams),61,60
2,0:46.0,,L. Williams makes free throw 1 of 2,61,61
2,0:46.0,,L. Williams makes free throw 2 of 2,61,62
2,0:34.0,D. Wade makes 3-pt jump shot from 28 ft (assist by J. Johnson),,64,62
2,0:29.0,,Turnover by P. Beverley (traveling),64,62
2,0:18.0,D. Wade misses 3-pt jump shot from 26 ft,,64,62
2,0:12.0,,Defensive rebound by D. Gallinari,64,62
2,0:12.0,,Turnover by D. Gallinari (bad pass; steal by R. McGruder),64,62
2,0:12.0,Shooting foul by T. Harris (drawn by D. Jones),,64,62
2,0:12.0,D. Jones misses free throw 1 of 2,,64,62
2,0:12.0,Offensive rebound by Team,,64,62
2,0:12.0,D. Jones makes free throw 2 of 2,,65,62
2,0:04.0,,T. Harris misses 3-pt jump shot from 26 ft,65,62
2,0:01.0,Defensive rebound by D. Wade,,65,62
3,11:47.0,Turnover by R. McGruder (bad pass; steal by B. Marjanović),,65,62
3,11:30.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,65,64
3,11:03.0,R. McGruder makes 2-pt jump shot from 14 ft (assist by B. Adebayo),,67,64
3,10:54.0,,B. Marjanović misses 2-pt layup from 1 ft,67,64
3,10:51.0,Defensive rebound by J. Johnson,,67,64
3,10:43.0,K. Olynyk misses 3-pt jump shot from 28 ft,,67,64
3,10:40.0,,Defensive rebound by T. Harris,67,64
3,10:32.0,,T. Harris misses 2-pt layup from 2 ft,67,64
3,10:31.0,,Offensive rebound by B. Marjanović,67,64
3,10:29.0,,B. Marjanović makes 2-pt layup from 2 ft,67,66
3,10:15.0,J. Johnson makes 2-pt layup from 2 ft,,69,66
3,9:55.0,,D. Gallinari makes 2-pt jump shot from 21 ft,69,68
3,9:43.0,J. Winslow misses 2-pt jump shot from 8 ft,,69,68
3,9:41.0,,Defensive rebound by S. Gilgeous-Alexander,69,68
3,9:28.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,69,70
3,9:12.0,J. Johnson makes 2-pt dunk from 1 ft (assist by K. Olynyk),,71,70
3,8:53.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Harris),71,73
3,8:45.0,Personal foul by A. Bradley (drawn by J. Winslow),,71,73
3,8:30.0,R. McGruder makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,74,73
3,8:18.0,,D. Gallinari misses 2-pt layup from 2 ft (block by K. Olynyk),74,73
3,8:15.0,Defensive rebound by K. Olynyk,,74,73
3,8:13.0,J. Winslow makes 2-pt layup from 1 ft,,76,73
3,8:01.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by D. Gallinari),76,75
3,7:44.0,R. McGruder misses 3-pt jump shot from 26 ft,,76,75
3,7:41.0,,Defensive rebound by D. Gallinari,76,75
3,7:36.0,,Shooting foul by B. Adebayo (drawn by D. Gallinari),76,75
3,7:36.0,,D. Gallinari makes free throw 1 of 2,76,76
3,7:36.0,,D. Gallinari misses free throw 2 of 2,76,76
3,7:34.0,Defensive rebound by K. Olynyk,,76,76
3,7:24.0,K. Olynyk misses 3-pt jump shot from 26 ft,,76,76
3,7:21.0,,Defensive rebound by S. Gilgeous-Alexander,76,76
3,7:13.0,,Turnover by B. Marjanović (lost ball; steal by J. Johnson),76,76
3,7:07.0,B. Adebayo misses 2-pt layup from 1 ft,,76,76
