QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
1,8:31.0,J. Butler misses 3-pt jump shot from 23 ft,,6,8
1,8:25.0,Offensive rebound by B. Simmons,,6,8
1,8:20.0,J. Butler misses 2-pt jump shot from 18 ft (block by A. Davis),,6,8
1,8:20.0,Offensive rebound by Team,,6,8
1,8:19.0,Turnover by Team (shot clock),,6,8
1,8:10.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by E. Payton),6,11
1,8:00.0,J. Redick misses 3-pt jump shot from 25 ft,,6,11
1,8:00.0,,Defensive rebound by J. Randle,6,11
1,7:51.0,,Turnover by E. Payton (lost ball; steal by J. Bolden),6,11
1,7:46.0,J. Redick misses 2-pt layup from 2 ft,,6,11
1,7:43.0,,Defensive rebound by K. Williams,6,11
1,7:36.0,,J. Randle misses 2-pt layup from 4 ft,6,11
1,7:34.0,Defensive rebound by B. Simmons,,6,11
1,7:31.0,Personal foul by J. Randle (drawn by J. Butler),,6,11
1,7:29.0,Shooting foul by E. Payton (drawn by J. Redick),,6,11
1,7:29.0,J. Redick misses free throw 1 of 2,,6,11
1,7:29.0,Offensive rebound by Team,,6,11
1,7:29.0,,E. Moore enters the game for E. Payton,6,11
1,7:29.0,J. Redick misses free throw 2 of 2,,6,11
1,7:26.0,,Defensive rebound by J. Randle,6,11
1,7:19.0,,E. Moore makes 2-pt jump shot from 23 ft (assist by J. Holiday),6,13
1,7:06.0,J. Bolden makes 3-pt jump shot from 26 ft (assist by J. Redick),,9,13
1,6:52.0,,E. Moore misses 2-pt layup from 3 ft,9,13
1,6:52.0,Defensive rebound by B. Simmons,,9,13
1,6:33.0,J. Redick makes 3-pt jump shot from 26 ft,,12,13
1,6:23.0,,Shooting foul by B. Simmons (drawn by J. Randle),12,13
1,6:23.0,,New Orleans full timeout,12,13
1,6:23.0,M. Scott enters the game for J. Butler,,12,13
1,6:23.0,J. Simmons enters the game for J. Redick,,12,13
1,6:23.0,,J. Randle makes free throw 1 of 2,12,14
1,6:23.0,,J. Randle makes free throw 2 of 2,12,15
1,6:04.0,J. Bolden misses 2-pt layup from 2 ft (block by J. Randle),,12,15
1,5:57.0,Offensive rebound by J. Bolden,,12,15
1,5:57.0,J. Bolden makes 2-pt layup at rim,,14,15
1,5:47.0,,A. Davis makes 2-pt layup from 1 ft,14,17
1,5:39.0,B. Simmons makes 2-pt layup from 2 ft,,16,17
1,5:29.0,,Personal foul by J. Bolden (drawn by J. Holiday),16,17
1,5:29.0,,C. Diallo enters the game for A. Davis,16,17
1,5:21.0,,E. Moore misses 3-pt jump shot from 23 ft,16,17
1,5:17.0,Defensive rebound by J. Simmons,,16,17
1,5:12.0,J. Bolden misses 3-pt jump shot from 23 ft,,16,17
1,5:07.0,Offensive rebound by M. Scott,,16,17
1,5:05.0,T. Harris makes 2-pt dunk from 1 ft (assist by M. Scott),,18,17
1,4:56.0,,Personal foul by J. Bolden (drawn by J. Randle),18,17
1,4:56.0,B. Marjanović enters the game for J. Bolden,,18,17
1,4:51.0,,Turnover by K. Williams (bad pass; steal by B. Simmons),18,17
1,4:47.0,B. Simmons makes 2-pt layup from 2 ft,,20,17
1,4:31.0,,J. Holiday misses 3-pt jump shot from 27 ft,20,17
1,4:31.0,Defensive rebound by B. Marjanović,,20,17
1,4:19.0,T. Harris makes 2-pt jump shot from 6 ft,,22,17
1,4:14.0,,J. Holiday makes 2-pt layup from 1 ft,22,19
1,4:13.0,Philadelphia full timeout,,22,19
1,4:13.0,,S. Johnson enters the game for K. Williams,22,19
1,4:05.0,Personal foul by C. Diallo (drawn by B. Marjanović),,22,19
1,3:59.0,Turnover by B. Simmons (lost ball; steal by E. Moore),,22,19
1,3:53.0,,J. Holiday misses 3-pt jump shot from 26 ft,22,19
1,3:49.0,Defensive rebound by J. Simmons,,22,19
1,3:43.0,Shooting foul by C. Diallo (drawn by J. Simmons),,22,19
1,3:43.0,J. Simmons makes free throw 1 of 2,,23,19
1,3:43.0,,F. Jackson enters the game for C. Diallo,23,19
1,3:43.0,,J. Okafor enters the game for J. Holiday,23,19
1,3:43.0,J. Simmons makes free throw 2 of 2,,24,19
1,3:31.0,,J. Okafor misses 2-pt jump shot from 11 ft,24,19
1,3:27.0,,Offensive rebound by S. Johnson,24,19
1,3:14.0,,F. Jackson misses 2-pt layup from 7 ft (block by B. Marjanović),24,19
1,3:14.0,Defensive rebound by T. Harris,,24,19
1,3:08.0,J. Simmons misses 3-pt jump shot from 25 ft,,24,19
1,3:04.0,,Defensive rebound by J. Randle,24,19
1,3:04.0,J. Butler enters the game for T. Harris,,24,19
1,3:04.0,T. McConnell enters the game for B. Simmons,,24,19
1,3:04.0,J. Redick enters the game for J. Simmons,,24,19
1,2:55.0,,F. Jackson misses 2-pt jump shot from 14 ft,24,19
1,2:53.0,Defensive rebound by J. Butler,,24,19
1,2:45.0,J. Butler misses 2-pt layup from 2 ft,,24,19
1,2:43.0,Offensive rebound by B. Marjanović,,24,19
1,2:33.0,T. McConnell makes 2-pt layup from 3 ft (assist by J. Butler),,26,19
1,2:26.0,,Shooting foul by B. Marjanović (drawn by J. Okafor),26,19
1,2:26.0,,J. Okafor misses free throw 1 of 2,26,19
1,2:26.0,,Offensive rebound by Team,26,19
1,2:26.0,,J. Okafor misses free throw 2 of 2,26,19
1,2:24.0,Defensive rebound by J. Butler,,26,19
1,2:13.0,Shooting foul by S. Johnson (drawn by J. Butler),,26,19
1,2:13.0,J. Butler makes free throw 1 of 2,,27,19
1,2:13.0,,I. Clark enters the game for J. Randle,27,19
1,2:13.0,J. Butler misses free throw 2 of 2,,27,19
1,2:11.0,,Defensive rebound by J. Okafor,27,19
1,2:01.0,,J. Okafor makes 2-pt layup from 3 ft,27,21
1,1:47.0,M. Scott misses 2-pt jump shot from 7 ft,,27,21
1,1:45.0,,Defensive rebound by S. Johnson,27,21
1,1:25.0,,J. Okafor misses 2-pt jump shot from 11 ft,27,21
1,1:22.0,Defensive rebound by T. McConnell,,27,21
1,1:13.0,B. Marjanović makes 2-pt jump shot from 6 ft (assist by J. Butler),,29,21
1,1:06.0,,E. Moore misses 3-pt jump shot from 26 ft (block by J. Butler),29,21
1,1:05.0,,Offensive rebound by E. Moore,29,21
1,0:58.0,,I. Clark makes 3-pt jump shot from 24 ft (assist by E. Moore),29,24
1,0:46.0,T. McConnell misses 2-pt jump shot from 15 ft,,29,24
1,0:46.0,,Defensive rebound by J. Okafor,29,24
1,0:36.0,,F. Jackson misses 2-pt layup from 2 ft,29,24
1,0:32.0,Defensive rebound by B. Marjanović,,29,24
1,0:27.0,B. Marjanović makes 2-pt dunk from 1 ft (assist by M. Scott),,31,24
1,0:09.0,,E. Moore misses 2-pt layup from 3 ft,31,24
1,0:06.0,Defensive rebound by J. Butler,,31,24
1,0:04.0,J. Redick misses 3-pt jump shot from 28 ft,,31,24
1,0:00.0,,Defensive rebound by S. Johnson,31,24
2,11:45.0,J. Butler makes 2-pt layup from 2 ft,,33,24
2,11:31.0,,Turnover by S. Johnson (traveling),33,24
2,11:23.0,Turnover by J. Butler (traveling),,33,24
2,11:10.0,,S. Johnson makes 2-pt layup from 2 ft (assist by K. Williams),33,26
2,10:56.0,Personal foul by I. Clark (drawn by T. Harris),,33,26
2,10:45.0,B. Marjanović makes 2-pt layup from 2 ft (assist by T. McConnell),,35,26
2,10:34.0,,S. Johnson misses 2-pt jump shot from 17 ft,35,26
2,10:30.0,Defensive rebound by T. Harris,,35,26
2,10:28.0,J. Butler misses 2-pt layup from 3 ft (block by K. Williams),,35,26
2,10:28.0,Offensive rebound by Team,,35,26
2,10:25.0,Turnover by J. Butler (traveling),,35,26
2,10:13.0,,Turnover by K. Williams (bad pass; steal by J. Redick),35,26
2,10:07.0,J. Redick misses 3-pt jump shot from 25 ft,,35,26
2,10:06.0,Offensive rebound by B. Marjanović,,35,26
2,10:04.0,B. Marjanović makes 2-pt dunk from 1 ft,,37,26
2,9:57.0,,I. Clark misses 3-pt jump shot from 25 ft,37,26
2,9:54.0,Defensive rebound by B. Marjanović,,37,26
2,9:50.0,J. Redick misses 3-pt jump shot from 24 ft,,37,26
2,9:48.0,,Defensive rebound by I. Clark,37,26
2,9:47.0,,Personal foul by B. Marjanović (drawn by I. Clark),37,26
2,9:37.0,,I. Clark misses 3-pt jump shot from 25 ft,37,26
2,9:33.0,Defensive rebound by T. McConnell,,37,26
2,9:25.0,T. Harris makes 2-pt dunk from 1 ft (assist by T. McConnell),,39,26
2,9:20.0,,New Orleans full timeout,39,26
2,9:20.0,,J. Holiday enters the game for I. Clark,39,26
2,9:20.0,,E. Payton enters the game for F. Jackson,39,26
2,9:20.0,,J. Randle enters the game for S. Johnson,39,26
2,9:08.0,,J. Randle misses 2-pt hook shot from 10 ft,39,26
2,9:04.0,Defensive rebound by B. Marjanović,,39,26
2,8:52.0,T. Harris misses 3-pt jump shot from 24 ft,,39,26
2,8:49.0,,Defensive rebound by J. Holiday,39,26
2,8:39.0,,J. Randle misses 2-pt jump shot from 5 ft,39,26
2,8:37.0,Defensive rebound by T. Harris,,39,26
2,8:25.0,T. Harris makes 2-pt jump shot from 7 ft,,41,26
2,8:16.0,,J. Holiday makes 2-pt layup from 2 ft,41,28
2,8:01.0,T. McConnell misses 2-pt layup from 2 ft,,41,28
2,8:01.0,,Defensive rebound by Team,41,28
2,8:01.0,J. Bolden enters the game for J. Butler,,41,28
2,8:01.0,M. Scott enters the game for B. Marjanović,,41,28
2,8:01.0,B. Simmons enters the game for T. McConnell,,41,28
2,8:01.0,J. Simmons enters the game for J. Redick,,41,28
2,7:44.0,,K. Williams misses 3-pt jump shot from 27 ft,41,28
2,7:40.0,Defensive rebound by J. Bolden,,41,28
2,7:31.0,Shooting foul by K. Williams (drawn by T. Harris),,41,28
2,7:31.0,T. Harris makes free throw 1 of 2,,42,28
2,7:31.0,,A. Davis enters the game for J. Okafor,42,28
2,7:31.0,T. Harris makes free throw 2 of 2,,43,28
2,7:22.0,,A. Davis makes 2-pt hook shot from 7 ft (assist by E. Payton),43,30
2,7:12.0,T. Harris makes 2-pt layup from 6 ft (assist by J. Bolden),,45,30
2,7:06.0,,J. Holiday makes 2-pt layup from 2 ft,45,32
2,7:06.0,,Shooting foul by J. Simmons (drawn by J. Holiday),45,32
2,7:06.0,,J. Holiday makes free throw 1 of 1,45,33
2,6:41.0,J. Simmons misses 2-pt jump shot from 9 ft (block by J. Holiday),,45,33
2,6:36.0,,Defensive rebound by E. Payton,45,33
2,6:33.0,,A. Davis misses 2-pt jump shot from 8 ft,45,33
2,6:33.0,,Offensive rebound by J. Randle,45,33
2,6:33.0,,Shooting foul by J. Bolden (drawn by J. Randle),45,33
2,6:33.0,,J. Randle misses free throw 1 of 2,45,33
2,6:33.0,,Offensive rebound by Team,45,33
2,6:33.0,,J. Randle makes free throw 2 of 2,45,34
2,6:17.0,Turnover by M. Scott (bad pass; steal by A. Davis),,45,34
2,6:06.0,,J. Holiday misses 3-pt jump shot from 26 ft,45,34
2,6:03.0,Defensive rebound by B. Simmons,,45,34
2,5:57.0,B. Simmons makes 2-pt layup from 2 ft,,47,34
2,5:46.0,,Turnover by K. Williams (traveling),47,34
2,5:29.0,J. Simmons makes 2-pt jump shot from 8 ft (assist by T. Harris),,49,34
2,5:23.0,,Turnover by E. Payton (bad pass; steal by J. Simmons),49,34
2,5:18.0,Turnover by J. Simmons (lost ball; steal by K. Williams),,49,34
2,5:15.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),49,36
2,5:15.0,,Shooting foul by J. Simmons (drawn by J. Randle),49,36
2,5:15.0,J. Butler enters the game for J. Bolden,,49,36
2,5:15.0,B. Marjanović enters the game for T. Harris,,49,36
2,5:15.0,J. Redick enters the game for J. Simmons,,49,36
2,5:15.0,,E. Moore enters the game for K. Williams,49,36
2,5:15.0,,J. Randle misses free throw 1 of 1,49,36
2,5:13.0,Defensive rebound by B. Simmons,,49,36
2,5:13.0,Philadelphia full timeout,,49,36
2,5:13.0,J. Bolden enters the game for B. Marjanović,,49,36
2,4:59.0,J. Butler makes 2-pt layup from 1 ft (assist by J. Bolden),,51,36
2,4:39.0,,A. Davis misses 2-pt dunk from 2 ft,51,36
2,4:38.0,,Offensive rebound by J. Randle,51,36
2,4:36.0,,J. Randle misses 2-pt layup from 2 ft,51,36
2,4:35.0,Defensive rebound by B. Simmons,,51,36
2,4:31.0,M. Scott misses 2-pt layup from 1 ft,,51,36
2,4:29.0,,Defensive rebound by E. Moore,51,36
2,4:26.0,,E. Payton makes 2-pt layup from 3 ft,51,38
2,4:16.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Bolden),,54,38
2,3:55.0,,J. Randle makes 2-pt layup from 2 ft,54,40
2,3:42.0,J. Bolden misses 3-pt jump shot from 26 ft,,54,40
2,3:39.0,,Defensive rebound by E. Payton,54,40
2,3:28.0,,Shooting foul by J. Bolden (drawn by A. Davis),54,40
2,3:28.0,,A. Davis misses free throw 1 of 2,54,40
2,3:28.0,,Offensive rebound by Team,54,40
2,3:28.0,T. Harris enters the game for J. Bolden,,54,40
2,3:28.0,,A. Davis makes free throw 2 of 2,54,41
2,3:13.0,Personal foul by J. Randle (drawn by B. Simmons),,54,41
2,3:02.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Butler),,57,41
2,2:45.0,,J. Randle misses 2-pt layup from 2 ft,57,41
2,2:43.0,Defensive rebound by M. Scott,,57,41
2,2:39.0,T. Harris misses 3-pt jump shot from 27 ft,,57,41
2,2:36.0,,Defensive rebound by J. Holiday,57,41
2,2:28.0,,J. Randle makes 2-pt layup from 3 ft (assist by J. Holiday),57,43
2,2:17.0,B. Simmons misses 2-pt hook shot from 6 ft,,57,43
2,2:13.0,,Defensive rebound by J. Randle,57,43
2,2:06.0,,E. Payton misses 3-pt jump shot from 26 ft,57,43
2,2:06.0,Defensive rebound by B. Simmons,,57,43
2,1:58.0,M. Scott misses 2-pt layup from 1 ft (block by A. Davis),,57,43
2,1:48.0,Offensive rebound by T. Harris,,57,43
2,1:47.0,T. Harris makes 2-pt layup from 2 ft,,59,43
2,1:43.0,,E. Moore makes 2-pt layup from 1 ft (assist by J. Randle),59,45
2,1:28.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Simmons),,61,45
2,1:14.0,,J. Holiday makes 2-pt layup from 3 ft (assist by E. Payton),61,47
2,1:05.0,B. Simmons makes 2-pt dunk at rim,,63,47
2,1:05.0,,New Orleans full timeout,63,47
2,0:57.0,,E. Moore makes 3-pt jump shot from 27 ft (assist by E. Payton),63,50
2,0:38.0,Personal foul by A. Davis (drawn by T. Harris),,63,50
2,0:35.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Butler),,65,50
2,0:22.0,,E. Moore misses 3-pt jump shot from 25 ft,65,50
2,0:20.0,Defensive rebound by B. Simmons,,65,50
2,0:14.0,Turnover by M. Scott (bad pass; steal by E. Moore),,65,50
2,0:09.0,,J. Holiday misses 3-pt jump shot from 25 ft,65,50
2,0:07.0,,Offensive rebound by A. Davis,65,50
2,0:07.0,,A. Davis makes 2-pt dunk from 1 ft,65,52
2,0:01.0,Turnover by B. Simmons (lost ball; steal by J. Holiday),,65,52
2,0:00.0,,E. Moore misses 3-pt jump shot from 34 ft,65,52
2,0:00.0,,Offensive rebound by Team,65,52
3,11:44.0,T. Harris makes 2-pt jump shot from 10 ft,,67,52
3,11:25.0,,E. Payton misses 2-pt layup from 7 ft (block by B. Simmons),67,52
3,11:25.0,,Offensive rebound by Team,67,52
3,11:18.0,,J. Randle misses 2-pt jump shot from 9 ft (block by T. Harris),67,52
3,11:15.0,Defensive rebound by T. Harris,,67,52
3,11:10.0,J. Bolden makes 2-pt layup from 3 ft (assist by B. Simmons),,69,52
3,11:00.0,Violation by Team (kicked ball),,69,52
3,10:49.0,,K. Williams misses 3-pt jump shot from 24 ft,69,52
3,10:46.0,Defensive rebound by B. Simmons,,69,52
3,10:41.0,B. Simmons misses 2-pt layup from 2 ft (block by J. Randle),,69,52
3,10:36.0,,Defensive rebound by A. Davis,69,52
3,10:29.0,,K. Williams makes 2-pt layup from 2 ft (assist by A. Davis),69,54
3,10:24.0,J. Butler misses 3-pt jump shot from 27 ft,,69,54
3,10:21.0,,Defensive rebound by A. Davis,69,54
3,10:11.0,,E. Payton makes 2-pt layup from 2 ft (assist by A. Davis),69,56
3,9:57.0,Shooting foul by K. Williams (drawn by T. Harris),,69,56
3,9:57.0,T. Harris makes free throw 1 of 2,,70,56
3,9:57.0,T. Harris makes free throw 2 of 2,,71,56
3,9:51.0,,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),71,58
3,9:41.0,Shooting foul by A. Davis (drawn by J. Redick),,71,58
3,9:41.0,J. Redick makes free throw 1 of 2,,72,58
3,9:41.0,J. Redick makes free throw 2 of 2,,73,58
3,9:36.0,,Shooting foul by B. Simmons (drawn by A. Davis),73,58
3,9:36.0,,A. Davis misses free throw 1 of 2,73,58
3,9:36.0,,Offensive rebound by Team,73,58
3,9:36.0,,A. Davis makes free throw 2 of 2,73,59
3,9:11.0,J. Butler misses 2-pt jump shot from 9 ft,,73,59
3,9:11.0,,Defensive rebound by A. Davis,73,59
3,9:06.0,,Shooting foul by J. Bolden (drawn by J. Holiday),73,59
3,9:06.0,,J. Holiday makes free throw 1 of 2,73,60
3,9:06.0,M. Scott enters the game for J. Bolden,,73,60
3,9:06.0,,J. Holiday makes free throw 2 of 2,73,61
3,8:49.0,Turnover by M. Scott (traveling),,73,61
3,8:31.0,,A. Davis makes 2-pt layup from 3 ft (assist by E. Payton),73,63
3,8:22.0,B. Simmons makes 2-pt layup from 1 ft,,75,63
3,8:04.0,,A. Davis misses 2-pt jump shot from 10 ft,75,63
3,7:59.0,,Offensive rebound by J. Randle,75,63
3,7:59.0,,J. Randle misses 2-pt layup at rim,75,63
3,7:58.0,Defensive rebound by J. Redick,,75,63
3,7:52.0,Turnover by J. Butler (lost ball; steal by J. Randle),,75,63
3,7:48.0,,K. Williams makes 2-pt layup from 2 ft (assist by J. Holiday),75,65
3,7:48.0,Philadelphia full timeout,,75,65
3,7:29.0,M. Scott makes 3-pt jump shot from 25 ft (assist by T. Harris),,78,65
3,7:11.0,,A. Davis misses 2-pt layup from 7 ft,78,65
3,7:10.0,,Offensive rebound by J. Randle,78,65
3,7:10.0,,Shooting foul by M. Scott (drawn by J. Randle),78,65
3,7:10.0,,J. Randle makes free throw 1 of 2,78,66
3,7:10.0,,J. Randle makes free throw 2 of 2,78,67
3,6:56.0,B. Simmons misses 2-pt layup from 2 ft,,78,67
3,6:54.0,,Defensive rebound by J. Holiday,78,67
3,6:50.0,,A. Davis misses 2-pt layup from 2 ft,78,67
3,6:45.0,,Offensive rebound by A. Davis,78,67
3,6:43.0,,Turnover by A. Davis (bad pass; steal by J. Butler),78,67
3,6:38.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Redick),,81,67
3,6:38.0,J. Simmons enters the game for J. Redick,,81,67
3,6:24.0,,A. Davis makes 2-pt dunk from 1 ft (assist by E. Payton),81,69
3,6:08.0,T. Harris misses 3-pt jump shot from 26 ft,,81,69
3,6:05.0,,Defensive rebound by A. Davis,81,69
3,5:58.0,,J. Randle misses 2-pt jump shot from 7 ft,81,69
3,5:54.0,Defensive rebound by T. Harris,,81,69
3,5:52.0,Turnover by T. Harris (bad pass; steal by E. Payton),,81,69
3,5:44.0,,J. Randle misses 2-pt layup from 3 ft (block by T. Harris),81,69
3,5:44.0,Defensive rebound by Team,,81,69
3,5:27.0,M. Scott misses 3-pt jump shot from 25 ft,,81,69
3,5:23.0,Offensive rebound by J. Butler,,81,69
3,5:18.0,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Butler),,84,69
3,5:11.0,,New Orleans full timeout,84,69
3,5:11.0,,C. Diallo enters the game for A. Davis,84,69
3,5:11.0,,E. Moore enters the game for J. Randle,84,69
3,5:11.0,,J. Okafor enters the game for K. Williams,84,69
3,4:59.0,,E. Payton makes 2-pt layup from 1 ft (assist by J. Holiday),84,71
3,4:36.0,J. Simmons misses 2-pt layup from 4 ft,,84,71
3,4:30.0,Offensive rebound by J. Simmons,,84,71
3,4:30.0,J. Simmons misses 2-pt layup from 1 ft,,84,71
3,4:29.0,,Defensive rebound by E. Moore,84,71
3,4:27.0,,C. Diallo makes 2-pt layup from 2 ft (assist by E. Moore),84,73
3,4:11.0,Personal foul by J. Holiday (drawn by B. Simmons),,84,73
3,4:11.0,B. Marjanović enters the game for J. Butler,,84,73
3,3:57.0,T. Harris makes 3-pt jump shot from 26 ft,,87,73
3,3:44.0,,J. Holiday makes 2-pt layup from 1 ft,87,75
3,3:23.0,B. Marjanović makes 2-pt layup from 5 ft (assist by T. Harris),,89,75
3,3:20.0,,Turnover by C. Diallo (bad pass; steal by J. Simmons),89,75
3,3:16.0,J. Simmons misses 2-pt jump shot from 11 ft,,89,75
3,3:16.0,Offensive rebound by Team,,89,75
3,3:16.0,,Loose ball foul by E. Payton (drawn by B. Simmons),89,75
3,3:16.0,T. McConnell enters the game for B. Simmons,,89,75
3,3:16.0,J. Redick enters the game for J. Simmons,,89,75
3,3:16.0,,F. Jackson enters the game for J. Holiday,89,75
3,3:04.0,Turnover by M. Scott (bad pass; steal by F. Jackson),,89,75
3,3:00.0,,F. Jackson misses 2-pt layup from 2 ft,89,75
3,2:58.0,,Offensive rebound by F. Jackson,89,75
3,2:58.0,,Personal foul by J. Redick (drawn by F. Jackson),89,75
3,2:51.0,,C. Diallo makes 2-pt jump shot from 9 ft (assist by E. Payton),89,77
3,2:36.0,J. Redick misses 2-pt jump shot from 16 ft,,89,77
3,2:32.0,,Defensive rebound by J. Okafor,89,77
3,2:15.0,,E. Payton makes 2-pt layup from 7 ft,89,79
3,1:55.0,T. McConnell misses 2-pt jump shot from 8 ft,,89,79
3,1:52.0,,Defensive rebound by J. Okafor,89,79
3,1:43.0,,E. Payton misses 3-pt jump shot from 25 ft,89,79
3,1:39.0,Defensive rebound by T. Harris,,89,79
3,1:31.0,T. Harris misses 3-pt jump shot from 27 ft,,89,79
3,1:27.0,,Defensive rebound by C. Diallo,89,79
3,1:16.0,,J. Okafor makes 2-pt jump shot from 7 ft (assist by E. Payton),89,81
3,0:59.0,T. Harris makes 2-pt layup from 2 ft,,91,81
3,0:50.0,,C. Diallo makes 2-pt jump shot from 14 ft (assist by E. Payton),91,83
3,0:35.0,T. McConnell makes 2-pt jump shot from 11 ft,,93,83
3,0:27.0,,E. Payton misses 3-pt jump shot from 26 ft,93,83
3,0:23.0,Defensive rebound by B. Marjanović,,93,83
3,0:00.0,B. Marjanović misses 2-pt hook shot from 9 ft,,93,83
3,0:00.0,,Defensive rebound by C. Diallo,93,83
4,11:40.0,,J. Okafor misses 2-pt jump shot from 8 ft,93,83
4,11:38.0,Defensive rebound by T. McConnell,,93,83
4,11:27.0,M. Scott misses 2-pt jump shot from 5 ft,,93,83
4,11:26.0,Offensive rebound by B. Marjanović,,93,83
4,11:24.0,B. Marjanović makes 2-pt layup from 1 ft,,95,83
4,11:12.0,,E. Moore makes 2-pt jump shot from 10 ft (assist by J. Okafor),95,85
4,10:58.0,Def 3 sec tech foul by Team,,95,85
4,10:58.0,J. Redick makes technical free throw,,96,85
4,10:53.0,M. Scott makes 3-pt jump shot from 23 ft (assist by J. Butler),,99,85
4,10:42.0,,F. Jackson makes 2-pt jump shot from 11 ft,99,87
4,10:28.0,J. Butler misses 2-pt jump shot from 17 ft,,99,87
4,10:25.0,,Defensive rebound by F. Jackson,99,87
4,10:21.0,,E. Moore misses 3-pt jump shot from 23 ft,99,87
4,10:17.0,Defensive rebound by T. McConnell,,99,87
4,10:06.0,Turnover by T. McConnell (bad pass; steal by F. Jackson),,99,87
4,10:04.0,,Personal foul by J. Butler (drawn by F. Jackson),99,87
4,10:04.0,,K. Williams enters the game for E. Moore,99,87
4,10:00.0,,F. Jackson misses 3-pt jump shot from 25 ft,99,87
4,9:56.0,Defensive rebound by B. Marjanović,,99,87
4,9:48.0,J. Redick misses 3-pt jump shot from 29 ft,,99,87
4,9:44.0,,Defensive rebound by C. Diallo,99,87
4,9:39.0,,Shooting foul by B. Marjanović (drawn by J. Okafor),99,87
4,9:39.0,,J. Okafor makes free throw 1 of 2,99,88
4,9:39.0,,S. Johnson enters the game for C. Diallo,99,88
4,9:39.0,,J. Okafor makes free throw 2 of 2,99,89
4,9:30.0,J. Redick misses 2-pt jump shot from 16 ft,,99,89
4,9:27.0,,Defensive rebound by I. Clark,99,89
4,9:22.0,,S. Johnson makes 3-pt jump shot from 23 ft (assist by K. Williams),99,92
