QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
1,6:12.0,Turnover by C. Diallo (lost ball; steal by G. Harris),,12,21
1,6:08.0,,J. Murray makes 3-pt jump shot from 25 ft,12,24
1,5:59.0,New Orleans full timeout,,12,24
1,5:59.0,,M. Beasley enters the game for G. Harris,12,24
1,5:51.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,14,24
1,5:34.0,,Shooting foul by J. Randle (drawn by J. Murray),14,24
1,5:34.0,,J. Murray makes free throw 1 of 3,14,25
1,5:34.0,,J. Murray makes free throw 2 of 3,14,26
1,5:34.0,,J. Murray makes free throw 3 of 3,14,27
1,5:26.0,J. Holiday makes 2-pt layup from 2 ft,,16,27
1,5:25.0,,Denver full timeout,16,27
1,5:25.0,D. Miller enters the game for K. Williams,,16,27
1,5:14.0,,J. Murray misses 2-pt jump shot from 12 ft,16,27
1,5:11.0,Defensive rebound by C. Diallo,,16,27
1,4:57.0,C. Diallo misses 2-pt layup from 2 ft,,16,27
1,4:54.0,,Defensive rebound by P. Millsap,16,27
1,4:46.0,,P. Millsap misses 3-pt jump shot from 23 ft,16,27
1,4:45.0,Defensive rebound by Team,,16,27
1,4:32.0,Turnover by J. Holiday (bad pass; steal by W. Barton),,16,27
1,4:27.0,,Personal foul by F. Jackson (drawn by M. Plumlee),16,27
1,4:27.0,E. Payton enters the game for J. Holiday,,16,27
1,4:21.0,,Turnover by P. Millsap (lost ball; steal by J. Randle),16,27
1,4:05.0,J. Randle makes 2-pt layup from 3 ft,,18,27
1,3:50.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),18,30
1,3:35.0,C. Diallo misses 2-pt jump shot from 6 ft,,18,30
1,3:33.0,Offensive rebound by C. Diallo,,18,30
1,3:33.0,,J. Hernangómez enters the game for P. Millsap,18,30
1,3:33.0,,M. Morris enters the game for J. Murray,18,30
1,3:27.0,C. Diallo makes 2-pt dunk at rim (assist by F. Jackson),,20,30
1,3:16.0,,W. Barton makes 3-pt jump shot from 25 ft,20,33
1,3:06.0,J. Randle makes 2-pt layup from 3 ft,,22,33
1,3:06.0,Shooting foul by M. Plumlee (drawn by J. Randle),,22,33
1,3:06.0,,Defensive rebound by M. Plumlee,22,33
1,3:06.0,J. Randle misses free throw 1 of 1,,22,33
1,2:56.0,,M. Morris makes 2-pt jump shot from 7 ft,22,35
1,2:45.0,Turnover by E. Payton (bad pass),,22,35
1,2:45.0,S. Johnson enters the game for J. Randle,,22,35
1,2:32.0,,M. Morris misses 2-pt jump shot from 7 ft,22,35
1,2:30.0,Defensive rebound by C. Diallo,,22,35
1,2:30.0,,I. Thomas enters the game for W. Barton,22,35
1,2:09.0,E. Payton misses 2-pt layup from 2 ft,,22,35
1,2:07.0,,Defensive rebound by M. Beasley,22,35
1,2:01.0,,Shooting foul by C. Diallo (drawn by M. Plumlee),22,35
1,2:01.0,,M. Plumlee makes free throw 1 of 2,22,36
1,2:01.0,,M. Plumlee makes free throw 2 of 2,22,37
1,1:54.0,D. Miller misses 3-pt jump shot from 24 ft,,22,37
1,1:51.0,,Defensive rebound by M. Plumlee,22,37
1,1:46.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Hernangómez),22,39
1,1:36.0,Turnover by C. Diallo (traveling),,22,39
1,1:31.0,,Turnover by J. Hernangómez (traveling),22,39
1,1:18.0,C. Diallo makes 2-pt jump shot from 9 ft (assist by S. Johnson),,24,39
1,1:02.0,,I. Thomas misses 2-pt layup from 3 ft,24,39
1,1:00.0,Defensive rebound by C. Diallo,,24,39
1,0:55.0,F. Jackson makes 3-pt jump shot from 26 ft (assist by S. Johnson),,27,39
1,0:34.0,,M. Beasley misses 3-pt jump shot from 24 ft,27,39
1,0:31.0,,Offensive rebound by M. Plumlee,27,39
1,0:30.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,27,39
1,0:30.0,Defensive rebound by S. Johnson,,27,39
1,0:09.0,C. Diallo misses 2-pt jump shot from 6 ft,,27,39
1,0:08.0,,Defensive rebound by M. Plumlee,27,39
1,0:00.0,,I. Thomas misses 2-pt jump shot from 5 ft,27,39
1,0:00.0,Defensive rebound by C. Diallo,,27,39
2,11:49.0,Turnover by D. Miller (bad pass; steal by N. Jokić),,27,39
2,11:41.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),27,41
2,11:34.0,Shooting foul by N. Jokić (drawn by E. Payton),,27,41
2,11:34.0,E. Payton makes free throw 1 of 2,,28,41
2,11:34.0,E. Payton misses free throw 2 of 2,,28,41
2,11:32.0,,Defensive rebound by M. Beasley,28,41
2,11:16.0,,I. Thomas makes 2-pt layup from 2 ft,28,43
2,11:04.0,F. Jackson misses 3-pt jump shot from 25 ft,,28,43
2,11:01.0,,Defensive rebound by M. Plumlee,28,43
2,10:47.0,,Personal foul by J. Okafor (drawn by M. Plumlee),28,43
2,10:47.0,J. Holiday enters the game for F. Jackson,,28,43
2,10:47.0,J. Randle enters the game for S. Johnson,,28,43
2,10:47.0,,J. Hernangómez enters the game for N. Jokić,28,43
2,10:44.0,,M. Beasley makes 2-pt jump shot from 12 ft (assist by M. Morris),28,45
2,10:25.0,J. Randle makes 2-pt layup from 3 ft,,30,45
2,10:08.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Beasley),30,47
2,10:00.0,Personal foul by M. Morris (drawn by J. Holiday),,30,47
2,10:00.0,,P. Millsap enters the game for J. Hernangómez,30,47
2,9:55.0,J. Holiday misses 2-pt jump shot from 7 ft,,30,47
2,9:53.0,,Defensive rebound by M. Plumlee,30,47
2,9:45.0,,I. Thomas makes 2-pt jump shot from 10 ft,30,49
2,9:31.0,D. Miller makes 3-pt jump shot from 24 ft (assist by E. Payton),,33,49
2,9:31.0,Shooting foul by M. Morris (drawn by D. Miller),,33,49
2,9:31.0,D. Miller makes free throw 1 of 1,,34,49
2,9:16.0,,P. Millsap makes 2-pt jump shot from 10 ft (assist by M. Plumlee),34,51
2,9:08.0,Personal foul by M. Beasley (drawn by J. Holiday),,34,51
2,9:08.0,I. Clark enters the game for E. Payton,,34,51
2,8:52.0,Turnover by J. Holiday (lost ball; steal by M. Beasley),,34,51
2,8:48.0,,M. Morris misses 3-pt jump shot from 22 ft,34,51
2,8:46.0,Defensive rebound by J. Holiday,,34,51
2,8:39.0,Shooting foul by M. Plumlee (drawn by D. Miller),,34,51
2,8:39.0,D. Miller makes free throw 1 of 3,,35,51
2,8:39.0,D. Miller makes free throw 2 of 3,,36,51
2,8:39.0,,J. Murray enters the game for M. Morris,36,51
2,8:39.0,D. Miller makes free throw 3 of 3,,37,51
2,8:23.0,,M. Beasley misses 2-pt layup from 4 ft,37,51
2,8:22.0,,Offensive rebound by M. Beasley,37,51
2,8:16.0,,I. Thomas makes 2-pt jump shot from 7 ft (assist by M. Plumlee),37,53
2,8:16.0,Violation by Team (def goaltending),,37,53
2,8:04.0,J. Okafor misses 2-pt layup from 2 ft,,37,53
2,8:02.0,Offensive rebound by J. Randle,,37,53
2,8:00.0,J. Randle misses 2-pt layup from 3 ft (block by P. Millsap),,37,53
2,7:58.0,,Defensive rebound by P. Millsap,37,53
2,7:55.0,,Turnover by P. Millsap (bad pass; steal by I. Clark),37,53
2,7:51.0,J. Okafor misses 2-pt jump shot from 6 ft,,37,53
2,7:48.0,Offensive rebound by J. Okafor,,37,53
2,7:37.0,J. Holiday makes 3-pt jump shot from 26 ft,,40,53
2,7:25.0,,I. Thomas misses 3-pt jump shot from 25 ft,40,53
2,7:24.0,Defensive rebound by Team,,40,53
2,7:24.0,C. Diallo enters the game for D. Miller,,40,53
2,7:24.0,K. Williams enters the game for J. Okafor,,40,53
2,7:15.0,J. Randle makes 3-pt jump shot from 25 ft (assist by J. Holiday),,43,53
2,7:13.0,,Denver full timeout,43,53
2,7:13.0,,G. Harris enters the game for M. Beasley,43,53
2,7:03.0,,Personal foul by I. Clark (drawn by M. Plumlee),43,53
2,6:56.0,,G. Harris makes 2-pt layup from 3 ft (assist by M. Plumlee),43,55
2,6:56.0,,Shooting foul by C. Diallo (drawn by G. Harris),43,55
2,6:56.0,,G. Harris makes free throw 1 of 1,43,56
2,6:49.0,Turnover by J. Holiday (bad pass),,43,56
2,6:40.0,,Shooting foul by I. Clark (drawn by I. Thomas),43,56
2,6:40.0,,I. Thomas makes free throw 1 of 2,43,57
2,6:40.0,,I. Thomas makes free throw 2 of 2,43,58
2,6:31.0,J. Holiday makes 2-pt layup from 2 ft,,45,58
2,6:31.0,,Violation by Team (def goaltending),45,58
2,6:18.0,,P. Millsap misses 2-pt jump shot from 22 ft,45,58
2,6:14.0,Defensive rebound by I. Clark,,45,58
2,6:12.0,Turnover by I. Clark (bad pass; steal by I. Thomas),,45,58
2,6:05.0,,Turnover by G. Harris (bad pass),45,58
2,6:05.0,,W. Barton enters the game for I. Thomas,45,58
2,5:48.0,J. Randle makes 3-pt jump shot from 26 ft,,48,58
2,5:28.0,,G. Harris misses 2-pt layup from 3 ft,48,58
2,5:28.0,,Offensive rebound by Team,48,58
2,5:26.0,F. Jackson enters the game for I. Clark,,48,58
2,5:26.0,E. Payton enters the game for J. Holiday,,48,58
2,5:26.0,,T. Craig enters the game for M. Plumlee,48,58
2,5:21.0,,J. Murray misses 2-pt jump shot from 14 ft,48,58
2,5:17.0,,Offensive rebound by J. Murray,48,58
2,5:16.0,,Shooting foul by J. Randle (drawn by P. Millsap),48,58
2,5:16.0,,P. Millsap makes free throw 1 of 2,48,59
2,5:16.0,,P. Millsap makes free throw 2 of 2,48,60
2,5:02.0,Shooting foul by P. Millsap (drawn by J. Randle),,48,60
2,5:02.0,Offensive rebound by Team,,48,60
2,5:02.0,J. Randle misses free throw 1 of 2,,48,60
2,5:02.0,J. Randle makes free throw 2 of 2,,49,60
2,4:54.0,,W. Barton misses 3-pt jump shot from 25 ft,49,60
2,4:52.0,,Offensive rebound by J. Murray,49,60
2,4:48.0,,Shooting foul by E. Payton (drawn by P. Millsap),49,60
2,4:48.0,,P. Millsap makes free throw 1 of 2,49,61
2,4:48.0,,P. Millsap makes free throw 2 of 2,49,62
2,4:38.0,J. Randle misses 3-pt jump shot from 26 ft,,49,62
2,4:34.0,,Defensive rebound by W. Barton,49,62
2,4:29.0,,J. Murray misses 3-pt jump shot from 26 ft,49,62
2,4:26.0,Defensive rebound by C. Diallo,,49,62
2,4:16.0,F. Jackson makes 2-pt layup from 2 ft (assist by J. Randle),,51,62
2,3:59.0,,G. Harris makes 2-pt layup from 2 ft (assist by P. Millsap),51,64
2,3:48.0,,Violation by Team (kicked ball),51,64
2,3:48.0,J. Holiday enters the game for K. Williams,,51,64
2,3:48.0,,M. Plumlee enters the game for T. Craig,51,64
2,3:40.0,F. Jackson makes 2-pt layup from 3 ft (assist by E. Payton),,53,64
2,3:40.0,,Violation by Team (def goaltending),53,64
2,3:20.0,,G. Harris misses 2-pt layup from 2 ft,53,64
2,3:18.0,Defensive rebound by J. Holiday,,53,64
2,3:13.0,J. Randle misses 2-pt layup from 4 ft (block by P. Millsap),,53,64
2,3:10.0,Offensive rebound by J. Randle,,53,64
2,3:08.0,J. Randle makes 2-pt layup from 2 ft,,55,64
2,2:59.0,,Personal foul by E. Payton (drawn by J. Murray),55,64
2,2:59.0,New Orleans full timeout,,55,64
2,2:59.0,D. Miller enters the game for E. Payton,,55,64
2,2:59.0,,J. Murray makes free throw 1 of 2,55,65
2,2:59.0,,J. Murray makes free throw 2 of 2,55,66
2,2:49.0,Personal foul by G. Harris (drawn by J. Holiday),,55,66
2,2:49.0,J. Holiday makes free throw 1 of 2,,56,66
2,2:49.0,J. Holiday makes free throw 2 of 2,,57,66
2,2:42.0,,Turnover by W. Barton (traveling),57,66
2,2:31.0,F. Jackson makes 3-pt jump shot from 23 ft (assist by J. Holiday),,60,66
2,2:18.0,,P. Millsap makes 3-pt jump shot from 26 ft (assist by J. Murray),60,69
2,1:55.0,J. Holiday misses 3-pt jump shot from 24 ft,,60,69
2,1:52.0,,Defensive rebound by J. Murray,60,69
2,1:49.0,,W. Barton misses 3-pt jump shot from 27 ft,60,69
2,1:45.0,Defensive rebound by C. Diallo,,60,69
2,1:31.0,J. Randle makes 2-pt layup from 3 ft (assist by F. Jackson),,62,69
2,1:31.0,Shooting foul by M. Plumlee (drawn by J. Randle),,62,69
2,1:31.0,J. Randle misses free throw 1 of 1,,62,69
2,1:29.0,,Defensive rebound by P. Millsap,62,69
2,1:15.0,,P. Millsap misses 3-pt jump shot from 25 ft,62,69
2,1:13.0,Defensive rebound by Team,,62,69
2,1:13.0,,Loose ball foul by M. Plumlee (drawn by F. Jackson),62,69
2,1:13.0,F. Jackson makes free throw 1 of 2,,63,69
2,1:13.0,,J. Hernangómez enters the game for M. Plumlee,63,69
2,1:13.0,F. Jackson makes free throw 2 of 2,,64,69
2,1:01.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,64,69
2,0:57.0,Defensive rebound by J. Holiday,,64,69
2,0:51.0,Turnover by F. Jackson (bad pass; steal by P. Millsap),,64,69
2,0:48.0,,Personal foul by D. Miller (drawn by J. Murray),64,69
2,0:48.0,,J. Murray makes free throw 1 of 2,64,70
2,0:48.0,,J. Murray makes free throw 2 of 2,64,71
2,0:31.0,F. Jackson makes 2-pt jump shot from 10 ft (assist by J. Randle),,66,71
2,0:15.0,,J. Murray misses 3-pt jump shot from 25 ft,66,71
2,0:12.0,Defensive rebound by C. Diallo,,66,71
2,0:03.0,Shooting foul by J. Hernangómez (drawn by J. Randle),,66,71
2,0:03.0,J. Randle makes free throw 1 of 2,,67,71
2,0:01.0,,Defensive rebound by Team,67,71
2,0:01.0,J. Randle misses free throw 2 of 2,,67,71
2,0:00.0,,W. Barton misses 3-pt jump shot from 52 ft,67,71
2,0:00.0,,Offensive rebound by Team,67,71
3,11:39.0,K. Williams misses 3-pt jump shot from 26 ft,,67,71
3,11:35.0,,Defensive rebound by N. Jokić,67,71
3,11:22.0,,P. Millsap makes 2-pt hook shot from 2 ft (assist by N. Jokić),67,73
3,11:10.0,E. Payton misses 3-pt jump shot from 25 ft,,67,73
3,11:07.0,,Defensive rebound by W. Barton,67,73
3,10:46.0,,N. Jokić makes 2-pt layup from 4 ft,67,75
3,10:36.0,Turnover by J. Okafor (lost ball; steal by P. Millsap),,67,75
3,10:30.0,,Turnover by W. Barton (bad pass; steal by J. Holiday),67,75
3,10:23.0,Turnover by J. Okafor (lost ball; steal by P. Millsap),,67,75
3,10:20.0,,J. Murray misses 3-pt jump shot from 26 ft,67,75
3,10:19.0,Defensive rebound by J. Okafor,,67,75
3,10:12.0,Turnover by J. Holiday (traveling),,67,75
3,10:00.0,,Offensive rebound by Team,67,75
3,10:00.0,,N. Jokić misses 2-pt jump shot from 8 ft,67,75
3,9:54.0,,Shooting foul by J. Randle (drawn by N. Jokić),67,75
3,9:54.0,,N. Jokić makes free throw 1 of 2,67,76
3,9:54.0,,N. Jokić makes free throw 2 of 2,67,77
3,9:45.0,E. Payton makes 2-pt jump shot from 7 ft,,69,77
3,9:30.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),69,79
3,9:21.0,Personal foul by J. Murray (drawn by E. Payton),,69,79
3,9:14.0,J. Randle misses 2-pt layup from 1 ft (block by W. Barton),,69,79
3,9:13.0,Offensive rebound by Team,,69,79
3,9:02.0,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Randle),,71,79
3,9:00.0,,Technical foul by P. Millsap,71,79
3,9:00.0,J. Holiday makes technical free throw,,72,79
3,8:49.0,,Turnover by N. Jokić (offensive foul),72,79
3,8:49.0,,Offensive foul by N. Jokić (drawn by E. Payton),72,79
3,8:49.0,,M. Plumlee enters the game for N. Jokić,72,79
3,8:39.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Payton),,75,79
3,8:37.0,,Denver full timeout,75,79
3,8:37.0,Technical foul by,,75,79
3,8:37.0,J. Holiday makes technical free throw,,76,79
3,8:23.0,,Turnover by M. Plumlee (bad pass; steal by J. Holiday),76,79
3,8:12.0,J. Okafor makes 2-pt hook shot from 4 ft (assist by J. Randle),,78,79
3,8:02.0,,W. Barton makes 2-pt jump shot from 6 ft,78,81
3,7:48.0,J. Holiday misses 2-pt layup from 1 ft,,78,81
3,7:46.0,,Defensive rebound by M. Plumlee,78,81
3,7:42.0,,Turnover by J. Murray (lost ball; steal by K. Williams),78,81
3,7:36.0,K. Williams makes 2-pt layup from 2 ft (assist by E. Payton),,80,81
3,7:20.0,,Turnover by G. Harris (traveling),80,81
3,7:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,80,81
3,7:08.0,Offensive rebound by K. Williams,,80,81
3,7:03.0,J. Holiday makes 2-pt layup from 2 ft (assist by E. Payton),,82,81
3,6:40.0,,J. Murray misses 3-pt jump shot from 25 ft,82,81
3,6:38.0,Defensive rebound by E. Payton,,82,81
3,6:34.0,Shooting foul by P. Millsap (drawn by E. Payton),,82,81
3,6:34.0,,Denver full timeout,82,81
3,6:34.0,Offensive rebound by Team,,82,81
3,6:34.0,E. Payton misses free throw 1 of 2,,82,81
3,6:34.0,E. Payton makes free throw 2 of 2,,83,81
3,6:21.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),83,83
3,6:05.0,Turnover by E. Payton (bad pass),,83,83
3,6:05.0,,M. Beasley enters the game for G. Harris,83,83
3,5:57.0,,J. Murray makes 2-pt jump shot from 19 ft,83,85
3,5:35.0,Turnover by J. Holiday (bad pass; steal by P. Millsap),,83,85
3,5:31.0,,M. Plumlee makes 2-pt dunk at rim (assist by W. Barton),83,87
3,5:16.0,J. Holiday makes 2-pt jump shot from 7 ft,,85,87
3,5:00.0,,M. Beasley misses 2-pt jump shot from 11 ft,85,87
3,4:57.0,Defensive rebound by E. Payton,,85,87
3,4:49.0,E. Payton misses 2-pt jump shot from 4 ft,,85,87
3,4:47.0,,Defensive rebound by M. Plumlee,85,87
3,4:47.0,,Turnover by W. Barton (traveling),85,87
3,4:47.0,C. Diallo enters the game for J. Okafor,,85,87
3,4:47.0,F. Jackson enters the game for E. Payton,,85,87
3,4:47.0,D. Miller enters the game for K. Williams,,85,87
3,4:37.0,J. Holiday misses 2-pt layup from 3 ft,,85,87
3,4:35.0,,Defensive rebound by P. Millsap,85,87
3,4:32.0,,J. Murray misses 3-pt jump shot from 24 ft,85,87
3,4:32.0,Defensive rebound by J. Randle,,85,87
3,4:21.0,J. Randle makes 2-pt layup from 2 ft,,87,87
3,4:08.0,,W. Barton misses 2-pt layup from 2 ft (block by C. Diallo),87,87
3,4:05.0,Defensive rebound by J. Randle,,87,87
3,4:03.0,Turnover by J. Randle (lost ball; steal by J. Murray),,87,87
3,4:01.0,,Personal foul by C. Diallo (drawn by J. Murray),87,87
3,4:01.0,,M. Morris enters the game for J. Murray,87,87
3,3:52.0,,P. Millsap misses 2-pt layup from 4 ft,87,87
3,3:50.0,Defensive rebound by J. Randle,,87,87
3,3:47.0,Shooting foul by P. Millsap (drawn by J. Randle),,87,87
3,3:47.0,J. Randle misses free throw 1 of 2,,87,87
3,3:47.0,Offensive rebound by Team,,87,87
3,3:47.0,J. Randle makes free throw 2 of 2,,88,87
3,3:38.0,,W. Barton misses 2-pt jump shot from 7 ft,88,87
3,3:35.0,Defensive rebound by C. Diallo,,88,87
3,3:30.0,C. Diallo makes 2-pt layup at rim (assist by D. Miller),,90,87
3,3:14.0,,M. Morris misses 2-pt jump shot from 16 ft,90,87
3,3:11.0,Defensive rebound by F. Jackson,,90,87
3,3:03.0,Turnover by F. Jackson (bad pass; steal by M. Morris),,90,87
3,2:58.0,,Turnover by M. Morris (bad pass; steal by C. Diallo),90,87
3,2:55.0,F. Jackson makes 2-pt layup from 1 ft (assist by C. Diallo),,92,87
3,2:43.0,,M. Beasley misses 2-pt layup from 2 ft,92,87
3,2:40.0,Defensive rebound by F. Jackson,,92,87
3,2:34.0,J. Holiday misses 3-pt jump shot from 25 ft,,92,87
3,2:30.0,,Defensive rebound by M. Plumlee,92,87
3,2:26.0,,Personal foul by J. Holiday (drawn by P. Millsap),92,87
3,2:26.0,E. Payton enters the game for J. Holiday,,92,87
3,2:26.0,K. Williams enters the game for J. Randle,,92,87
3,2:26.0,,I. Thomas enters the game for W. Barton,92,87
3,2:12.0,,I. Thomas makes 2-pt hook shot from 5 ft,92,89
3,2:04.0,Turnover by C. Diallo (offensive foul),,92,89
3,2:04.0,Offensive foul by C. Diallo (drawn by M. Morris),,92,89
3,2:04.0,,J. Hernangómez enters the game for P. Millsap,92,89
3,1:54.0,,Turnover by I. Thomas (bad pass; steal by C. Diallo),92,89
3,1:34.0,K. Williams misses 3-pt jump shot from 24 ft,,92,89
3,1:29.0,,Defensive rebound by M. Morris,92,89
3,1:10.0,,I. Thomas misses 3-pt jump shot from 24 ft,92,89
3,1:07.0,Defensive rebound by F. Jackson,,92,89
3,1:05.0,Personal take foul by I. Thomas (drawn by K. Williams),,92,89
3,1:00.0,D. Miller misses 2-pt jump shot from 16 ft,,92,89
3,0:57.0,,Defensive rebound by J. Hernangómez,92,89
3,0:50.0,,M. Morris makes 2-pt jump shot from 14 ft,92,91
3,0:35.0,C. Diallo makes 2-pt jump shot from 8 ft (assist by E. Payton),,94,91
3,0:26.0,,I. Thomas makes 2-pt layup from 2 ft,94,93
3,0:21.0,C. Diallo makes 2-pt dunk from 1 ft (assist by E. Payton),,96,93
3,0:00.0,,I. Thomas misses 2-pt layup from 4 ft,96,93
3,0:00.0,,Offensive rebound by Team,96,93
4,11:46.0,,I. Thomas misses 2-pt layup from 4 ft,96,93
4,11:45.0,Defensive rebound by E. Payton,,96,93
4,11:38.0,C. Diallo makes 2-pt jump shot from 8 ft (assist by D. Miller),,98,93
4,11:22.0,,N. Jokić makes 2-pt layup from 3 ft,98,95
4,11:06.0,E. Payton misses 2-pt layup from 3 ft,,98,95
4,11:05.0,Offensive rebound by E. Payton,,98,95
4,11:05.0,E. Payton misses 2-pt layup from 2 ft,,98,95
4,11:04.0,Offensive rebound by Team,,98,95
4,11:04.0,J. Okafor enters the game for C. Diallo,,98,95
4,10:53.0,K. Williams makes 3-pt jump shot from 23 ft (assist by D. Miller),,101,95
4,10:34.0,,M. Beasley misses 2-pt layup from 1 ft,101,95
4,10:32.0,Defensive rebound by F. Jackson,,101,95
4,10:21.0,J. Okafor makes 2-pt hook shot from 3 ft,,103,95
4,10:04.0,,J. Hernangómez misses 2-pt jump shot from 6 ft,103,95
4,10:03.0,,Offensive rebound by N. Jokić,103,95
4,10:01.0,,N. Jokić makes 2-pt layup from 2 ft,103,97
4,9:53.0,D. Miller misses 3-pt jump shot from 23 ft,,103,97
4,9:50.0,Offensive rebound by K. Williams,,103,97
4,9:44.0,Personal foul by M. Morris (drawn by J. Okafor),,103,97
4,9:38.0,F. Jackson misses 3-pt jump shot from 24 ft,,103,97
4,9:38.0,,Defensive rebound by M. Morris,103,97
4,9:19.0,,N. Jokić misses 2-pt jump shot from 5 ft (block by J. Okafor),103,97
4,9:17.0,Defensive rebound by F. Jackson,,103,97
4,9:09.0,K. Williams makes 2-pt layup from 2 ft (assist by E. Payton),,105,97
4,9:09.0,,Denver full timeout,105,97
4,8:54.0,,I. Thomas misses 2-pt jump shot from 7 ft,105,97
4,8:52.0,,Offensive rebound by I. Thomas,105,97
4,8:45.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),105,100
4,8:22.0,Turnover by J. Okafor (traveling),,105,100
4,8:19.0,,Personal foul by D. Miller (drawn by I. Thomas),105,100
4,8:19.0,C. Diallo enters the game for J. Okafor,,105,100
4,8:19.0,J. Holiday enters the game for E. Payton,,105,100
4,8:19.0,J. Randle enters the game for K. Williams,,105,100
