QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
1,7:30.0,R. Westbrook misses 2-pt layup from 4 ft (block by D. Fox),,10,12
1,7:30.0,Offensive rebound by R. Westbrook,,10,12
1,7:20.0,R. Westbrook misses 3-pt jump shot from 25 ft,,10,12
1,7:16.0,,Defensive rebound by B. Hield,10,12
1,7:01.0,,Turnover by D. Fox (bad pass; steal by R. Westbrook),10,12
1,6:57.0,R. Westbrook makes 2-pt layup from 1 ft,,12,12
1,6:51.0,,D. Fox makes 2-pt jump shot from 3 ft,12,14
1,6:51.0,,Shooting foul by P. George (drawn by D. Fox),12,14
1,6:51.0,,D. Fox misses free throw 1 of 1,12,14
1,6:49.0,Defensive rebound by R. Westbrook,,12,14
1,6:48.0,Offensive foul by R. Westbrook (drawn by D. Fox),,12,14
1,6:48.0,Turnover by R. Westbrook (offensive foul),,12,14
1,6:38.0,,B. Hield misses 3-pt jump shot from 25 ft,12,14
1,6:34.0,Defensive rebound by P. George,,12,14
1,6:26.0,S. Adams makes 2-pt hook shot from 3 ft (assist by P. George),,14,14
1,6:15.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by J. Jackson),14,16
1,6:02.0,,Violation by Team (kicked ball),14,16
1,5:56.0,Turnover by P. George (bad pass; steal by B. Hield),,14,16
1,5:52.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by B. Hield),14,18
1,5:44.0,T. Ferguson misses 2-pt layup from 4 ft,,14,18
1,5:38.0,Offensive rebound by T. Ferguson,,14,18
1,5:38.0,T. Ferguson misses 2-pt layup from 1 ft,,14,18
1,5:37.0,Offensive rebound by T. Ferguson,,14,18
1,5:37.0,T. Ferguson makes 2-pt layup from 1 ft,,16,18
1,5:27.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),16,20
1,5:12.0,Turnover by R. Westbrook (bad pass),,16,20
1,5:12.0,,Sacramento full timeout,16,20
1,5:12.0,Á. Abrines enters the game for P. George,,16,20
1,5:12.0,,T. Williams enters the game for N. Bjelica,16,20
1,5:01.0,,Turnover by T. Williams (bad pass; steal by R. Westbrook),16,20
1,4:57.0,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),,18,20
1,4:49.0,,Turnover by D. Fox (out of bounds lost ball),18,20
1,4:36.0,R. Westbrook misses 2-pt layup from 2 ft,,18,20
1,4:34.0,Offensive rebound by S. Adams,,18,20
1,4:34.0,S. Adams makes 2-pt layup from 2 ft,,20,20
1,4:17.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),20,23
1,3:56.0,S. Adams makes 2-pt layup from 2 ft,,22,23
1,3:38.0,,W. Cauley-Stein makes 2-pt layup at rim (assist by D. Fox),22,25
1,3:32.0,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,25,25
1,3:22.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),25,28
1,3:12.0,R. Westbrook makes 3-pt jump shot from 25 ft,,28,28
1,2:55.0,,J. Jackson misses 3-pt jump shot from 25 ft,28,28
1,2:51.0,Defensive rebound by S. Adams,,28,28
1,2:42.0,T. Ferguson misses 3-pt jump shot from 23 ft,,28,28
1,2:40.0,,Defensive rebound by D. Fox,28,28
1,2:34.0,,D. Fox makes 2-pt layup from 1 ft,28,30
1,2:23.0,Á. Abrines misses 3-pt jump shot from 25 ft,,28,30
1,2:20.0,,Defensive rebound by W. Cauley-Stein,28,30
1,2:10.0,,J. Jackson misses 2-pt jump shot from 5 ft,28,30
1,2:07.0,Defensive rebound by S. Adams,,28,30
1,2:01.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),,30,30
1,1:55.0,,B. Hield misses 3-pt jump shot from 25 ft,30,30
1,1:55.0,,Offensive rebound by T. Williams,30,30
1,1:55.0,,Turnover by T. Williams (step out of bounds),30,30
1,1:55.0,H. Diallo enters the game for T. Ferguson,,30,30
1,1:55.0,P. George enters the game for R. Westbrook,,30,30
1,1:55.0,,K. Koufos enters the game for W. Cauley-Stein,30,30
1,1:55.0,,B. McLemore enters the game for J. Jackson,30,30
1,1:43.0,Shooting foul by K. Koufos (drawn by J. Grant),,30,30
1,1:43.0,J. Grant misses free throw 1 of 2,,30,30
1,1:43.0,Offensive rebound by Team,,30,30
1,1:43.0,J. Grant misses free throw 2 of 2,,30,30
1,1:39.0,Offensive rebound by S. Adams,,30,30
1,1:38.0,S. Adams misses 2-pt layup from 4 ft (block by B. McLemore),,30,30
1,1:38.0,Offensive rebound by Team,,30,30
1,1:29.0,P. George makes 2-pt jump shot from 22 ft (assist by J. Grant),,32,30
1,1:09.0,,D. Fox misses 3-pt jump shot from 25 ft,32,30
1,1:05.0,Defensive rebound by H. Diallo,,32,30
1,1:05.0,H. Diallo misses 2-pt layup from 3 ft,,32,30
1,1:05.0,Offensive rebound by P. George,,32,30
1,1:04.0,Shooting foul by K. Koufos (drawn by P. George),,32,30
1,1:04.0,P. George makes free throw 1 of 2,,33,30
1,1:04.0,N. Noel enters the game for S. Adams,,33,30
1,1:04.0,P. George makes free throw 2 of 2,,34,30
1,0:54.0,,K. Koufos misses 2-pt layup from 8 ft,34,30
1,0:51.0,,Offensive rebound by D. Fox,34,30
1,0:51.0,,Personal foul by J. Grant (drawn by K. Koufos),34,30
1,0:43.0,,B. Hield misses 2-pt jump shot from 22 ft,34,30
1,0:39.0,Defensive rebound by J. Grant,,34,30
1,0:35.0,J. Grant makes 2-pt layup from 2 ft,,36,30
1,0:30.0,,T. Williams misses 3-pt jump shot from 25 ft,36,30
1,0:25.0,,Offensive rebound by T. Williams,36,30
1,0:22.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. McLemore),36,33
1,0:01.0,P. George misses 2-pt layup from 7 ft,,36,33
1,0:00.0,Offensive rebound by Team,,36,33
2,11:45.0,P. George makes 2-pt layup from 1 ft,,38,33
2,11:34.0,,Shooting foul by Á. Abrines (drawn by K. Koufos),38,33
2,11:34.0,,K. Koufos misses free throw 1 of 2,38,33
2,11:34.0,,Offensive rebound by Team,38,33
2,11:34.0,,K. Koufos makes free throw 2 of 2,38,34
2,11:18.0,P. George misses 2-pt jump shot from 16 ft,,38,34
2,11:14.0,,Defensive rebound by N. Bjelica,38,34
2,11:03.0,,Y. Ferrell misses 2-pt jump shot from 8 ft,38,34
2,11:01.0,,Offensive rebound by K. Koufos,38,34
2,10:58.0,,N. Bjelica misses 3-pt jump shot from 23 ft,38,34
2,10:56.0,Defensive rebound by H. Diallo,,38,34
2,10:53.0,P. George makes 2-pt layup from 2 ft,,40,34
2,10:53.0,Shooting foul by T. Williams (drawn by P. George),,40,34
2,10:53.0,P. George makes free throw 1 of 1,,41,34
2,10:38.0,,K. Koufos makes 2-pt hook shot from 6 ft (assist by Y. Ferrell),41,36
2,10:20.0,P. Patterson misses 2-pt jump shot from 20 ft,,41,36
2,10:18.0,Offensive rebound by P. George,,41,36
2,10:16.0,P. George makes 2-pt layup from 2 ft,,43,36
2,10:04.0,,Y. Ferrell misses 2-pt jump shot from 6 ft (block by H. Diallo),43,36
2,10:01.0,Defensive rebound by H. Diallo,,43,36
2,10:00.0,Offensive foul by H. Diallo (drawn by Y. Ferrell),,43,36
2,10:00.0,Turnover by H. Diallo (offensive foul),,43,36
2,10:00.0,,Sacramento full timeout,43,36
2,10:00.0,Technical foul by H. Diallo,,43,36
2,10:00.0,,J. Jackson enters the game for T. Williams,43,36
2,10:00.0,,Y. Ferrell makes technical free throw,43,37
2,9:42.0,,Y. Ferrell misses 2-pt jump shot from 16 ft,43,37
2,9:39.0,,Offensive rebound by K. Koufos,43,37
2,9:36.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,43,37
2,9:33.0,,Offensive rebound by B. McLemore,43,37
2,9:30.0,,B. McLemore misses 2-pt jump shot from 4 ft,43,37
2,9:30.0,Defensive rebound by N. Noel,,43,37
2,9:17.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),,46,37
2,9:05.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),46,40
2,8:55.0,N. Noel misses 2-pt jump shot from 15 ft,,46,40
2,8:52.0,,Defensive rebound by N. Bjelica,46,40
2,8:47.0,,N. Bjelica misses 2-pt layup from 2 ft,46,40
2,8:42.0,Defensive rebound by N. Noel,,46,40
2,8:35.0,P. George misses 3-pt jump shot from 25 ft,,46,40
2,8:31.0,,Defensive rebound by B. McLemore,46,40
2,8:25.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,46,40
2,8:21.0,Defensive rebound by P. George,,46,40
2,8:18.0,Personal foul by B. McLemore (drawn by N. Noel),,46,40
2,8:18.0,R. Westbrook enters the game for H. Diallo,,46,40
2,8:08.0,P. George misses 2-pt jump shot from 21 ft,,46,40
2,8:05.0,,Defensive rebound by K. Koufos,46,40
2,7:58.0,,Shooting foul by N. Noel (drawn by K. Koufos),46,40
2,7:58.0,,K. Koufos makes free throw 1 of 2,46,41
2,7:58.0,S. Adams enters the game for N. Noel,,46,41
2,7:58.0,,K. Koufos misses free throw 2 of 2,46,41
2,7:55.0,Defensive rebound by P. Patterson,,46,41
2,7:49.0,P. Patterson misses 3-pt jump shot from 24 ft,,46,41
2,7:46.0,,Defensive rebound by J. Jackson,46,41
2,7:29.0,,Y. Ferrell misses 2-pt jump shot from 17 ft,46,41
2,7:25.0,Defensive rebound by S. Adams,,46,41
2,7:12.0,R. Westbrook makes 2-pt jump shot from 12 ft,,48,41
2,7:04.0,,Turnover by N. Bjelica (traveling),48,41
2,6:58.0,Shooting foul by N. Bjelica (drawn by R. Westbrook),,48,41
2,6:58.0,R. Westbrook misses free throw 1 of 2,,48,41
2,6:58.0,Offensive rebound by Team,,48,41
2,6:58.0,,W. Cauley-Stein enters the game for K. Koufos,48,41
2,6:58.0,R. Westbrook misses free throw 2 of 2,,48,41
2,6:54.0,Offensive rebound by S. Adams,,48,41
2,6:51.0,Á. Abrines misses 3-pt jump shot from 26 ft,,48,41
2,6:46.0,,Defensive rebound by W. Cauley-Stein,48,41
2,6:42.0,,Turnover by J. Jackson (lost ball; steal by R. Westbrook),48,41
2,6:37.0,P. George misses 2-pt jump shot from 9 ft,,48,41
2,6:33.0,,Defensive rebound by J. Jackson,48,41
2,6:20.0,,Y. Ferrell makes 2-pt layup from 2 ft,48,43
2,6:11.0,R. Westbrook makes 2-pt jump shot from 16 ft,,50,43
2,5:55.0,,Personal foul by R. Westbrook (drawn by N. Bjelica),50,43
2,5:55.0,T. Ferguson enters the game for Á. Abrines,,50,43
2,5:55.0,J. Grant enters the game for P. Patterson,,50,43
2,5:55.0,,D. Fox enters the game for Y. Ferrell,50,43
2,5:55.0,,B. Hield enters the game for B. McLemore,50,43
2,5:41.0,,J. Jackson misses 2-pt jump shot from 10 ft,50,43
2,5:39.0,Defensive rebound by S. Adams,,50,43
2,5:37.0,Shooting foul by B. Hield (drawn by R. Westbrook),,50,43
2,5:37.0,R. Westbrook misses free throw 1 of 2,,50,43
2,5:37.0,Offensive rebound by Team,,50,43
2,5:37.0,,S. Labissière enters the game for N. Bjelica,50,43
2,5:37.0,R. Westbrook misses free throw 2 of 2,,50,43
2,5:34.0,,Defensive rebound by W. Cauley-Stein,50,43
2,5:19.0,,S. Labissière misses 3-pt jump shot from 25 ft,50,43
2,5:15.0,Defensive rebound by R. Westbrook,,50,43
2,5:13.0,R. Westbrook makes 2-pt layup from 3 ft,,52,43
2,5:13.0,Shooting foul by S. Labissière (drawn by R. Westbrook),,52,43
2,5:13.0,R. Westbrook misses free throw 1 of 1,,52,43
2,5:10.0,Offensive rebound by S. Adams,,52,43
2,5:03.0,S. Adams misses 2-pt hook shot from 6 ft,,52,43
2,5:00.0,,Defensive rebound by B. Hield,52,43
2,4:56.0,,Turnover by D. Fox (bad pass),52,43
2,4:40.0,T. Ferguson makes 3-pt jump shot from 24 ft (assist by P. George),,55,43
2,4:34.0,,Sacramento full timeout,55,43
2,4:23.0,,Turnover by W. Cauley-Stein (bad pass; steal by R. Westbrook),55,43
2,4:15.0,P. George makes 3-pt jump shot from 26 ft,,58,43
2,4:02.0,,D. Fox misses 2-pt jump shot from 11 ft,58,43
2,3:58.0,Defensive rebound by S. Adams,,58,43
2,3:52.0,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),,61,43
2,3:35.0,,Turnover by W. Cauley-Stein (lost ball; steal by S. Adams),61,43
2,3:22.0,R. Westbrook misses 3-pt jump shot from 26 ft,,61,43
2,3:21.0,Offensive rebound by Team,,61,43
2,3:21.0,,Loose ball foul by J. Jackson (drawn by S. Adams),61,43
2,3:21.0,S. Adams makes free throw 1 of 2,,62,43
2,3:21.0,S. Adams makes free throw 2 of 2,,63,43
2,3:12.0,,D. Fox makes 2-pt jump shot from 17 ft,63,45
2,2:59.0,Turnover by P. George (lost ball; steal by D. Fox),,63,45
2,2:54.0,,B. Hield makes 2-pt dunk from 1 ft (assist by D. Fox),63,47
2,2:44.0,Oklahoma City full timeout,,63,47
2,2:37.0,S. Adams makes 2-pt dunk from 3 ft (assist by R. Westbrook),,65,47
2,2:24.0,Violation by Team (kicked ball),,65,47
2,2:10.0,,B. Hield misses 3-pt jump shot from 29 ft,65,47
2,2:05.0,Defensive rebound by P. George,,65,47
2,1:58.0,P. George makes 2-pt jump shot from 8 ft,,67,47
2,1:48.0,,W. Cauley-Stein makes 2-pt hook shot from 3 ft (assist by D. Fox),67,49
2,1:32.0,S. Adams makes 2-pt hook shot from 9 ft,,69,49
2,1:28.0,,Technical foul by W. Cauley-Stein,69,49
2,1:28.0,P. George misses technical free throw,,69,49
2,1:28.0,,Defensive rebound by Team,69,49
2,1:20.0,,J. Jackson misses 3-pt jump shot from 23 ft,69,49
2,1:17.0,Defensive rebound by R. Westbrook,,69,49
2,1:07.0,J. Grant misses 2-pt hook shot from 6 ft,,69,49
2,1:04.0,Offensive rebound by S. Adams,,69,49
2,1:01.0,T. Ferguson misses 3-pt jump shot from 26 ft,,69,49
2,0:58.0,,Defensive rebound by J. Jackson,69,49
2,0:55.0,,D. Fox misses 2-pt jump shot from 5 ft,69,49
2,0:55.0,,Offensive rebound by D. Fox,69,49
2,0:47.0,,B. Hield misses 3-pt jump shot from 25 ft,69,49
2,0:44.0,Defensive rebound by P. George,,69,49
2,0:41.0,R. Westbrook makes 2-pt jump shot from 20 ft,,71,49
2,0:36.0,,D. Fox misses 2-pt jump shot from 17 ft,71,49
2,0:33.0,Defensive rebound by S. Adams,,71,49
2,0:14.0,Turnover by P. George (bad pass),,71,49
2,0:14.0,Á. Abrines enters the game for T. Ferguson,,71,49
2,0:04.0,,Personal take foul by Á. Abrines (drawn by D. Fox),71,49
2,0:04.0,H. Diallo enters the game for Á. Abrines,,71,49
2,0:01.0,,Shooting foul by S. Adams (drawn by B. Hield),71,49
2,0:01.0,,B. Hield makes free throw 1 of 3,71,50
2,0:01.0,,B. Hield makes free throw 2 of 3,71,51
2,0:01.0,,B. Hield makes free throw 3 of 3,71,52
2,0:00.0,Turnover by S. Adams (bad pass; steal by D. Fox),,71,52
3,11:41.0,R. Westbrook misses 2-pt layup from 4 ft,,71,52
3,11:40.0,,Defensive rebound by N. Bjelica,71,52
3,11:40.0,,Shooting foul by T. Ferguson (drawn by D. Fox),71,52
3,11:40.0,,D. Fox makes free throw 1 of 2,71,53
3,11:40.0,,D. Fox makes free throw 2 of 2,71,54
3,11:18.0,S. Adams misses 2-pt hook shot from 8 ft,,71,54
3,11:15.0,,Defensive rebound by N. Bjelica,71,54
3,10:54.0,,B. Hield misses 3-pt jump shot from 23 ft,71,54
3,10:51.0,Defensive rebound by S. Adams,,71,54
3,10:40.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),,74,54
3,10:22.0,,D. Fox misses 2-pt jump shot from 12 ft,74,54
3,10:19.0,Defensive rebound by P. George,,74,54
3,10:11.0,P. George makes 2-pt jump shot from 14 ft,,76,54
3,9:58.0,,Personal foul by R. Westbrook (drawn by J. Jackson),76,54
3,9:49.0,,W. Cauley-Stein makes 2-pt jump shot from 19 ft (assist by D. Fox),76,56
3,9:23.0,S. Adams makes 2-pt hook shot from 6 ft (assist by R. Westbrook),,78,56
3,9:10.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,78,56
3,9:05.0,Defensive rebound by R. Westbrook,,78,56
3,8:59.0,T. Ferguson misses 2-pt jump shot from 5 ft,,78,56
3,8:57.0,Offensive rebound by R. Westbrook,,78,56
3,8:53.0,Turnover by J. Grant (out of bounds lost ball),,78,56
3,8:40.0,,N. Bjelica misses 2-pt layup from 2 ft,78,56
3,8:37.0,,Offensive rebound by N. Bjelica,78,56
3,8:37.0,,N. Bjelica misses 2-pt layup from 1 ft,78,56
3,8:36.0,,Offensive rebound by N. Bjelica,78,56
3,8:36.0,,N. Bjelica makes 2-pt layup from 1 ft,78,58
3,8:27.0,P. George makes 2-pt dunk from 1 ft (assist by R. Westbrook),,80,58
3,8:19.0,,Shooting foul by T. Ferguson (drawn by D. Fox),80,58
3,8:19.0,,D. Fox makes free throw 1 of 2,80,59
3,8:19.0,,D. Fox misses free throw 2 of 2,80,59
3,8:16.0,Defensive rebound by P. George,,80,59
3,8:07.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,82,59
3,7:54.0,,B. Hield misses 2-pt jump shot from 20 ft,82,59
3,7:51.0,Defensive rebound by P. George,,82,59
3,7:46.0,P. George misses 2-pt jump shot from 18 ft,,82,59
3,7:40.0,,Defensive rebound by B. Hield,82,59
3,7:37.0,,B. Hield misses 2-pt layup from 2 ft,82,59
3,7:37.0,,Offensive rebound by W. Cauley-Stein,82,59
3,7:37.0,,W. Cauley-Stein misses 2-pt layup from 5 ft,82,59
3,7:37.0,Defensive rebound by S. Adams,,82,59
3,7:27.0,T. Ferguson misses 3-pt jump shot from 22 ft,,82,59
3,7:25.0,,Defensive rebound by Team,82,59
3,7:17.0,,Personal foul by J. Grant (drawn by D. Fox),82,59
3,7:07.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),82,62
3,6:54.0,Shooting foul by W. Cauley-Stein (drawn by J. Grant),,82,62
3,6:54.0,,Sacramento full timeout,82,62
3,6:54.0,Á. Abrines enters the game for P. George,,82,62
3,6:54.0,J. Grant makes free throw 1 of 2,,83,62
3,6:54.0,J. Grant misses free throw 2 of 2,,83,62
3,6:50.0,,Defensive rebound by W. Cauley-Stein,83,62
3,6:37.0,,J. Jackson makes 2-pt jump shot from 16 ft (assist by D. Fox),83,64
3,6:21.0,J. Grant misses 2-pt jump shot from 14 ft,,83,64
3,6:18.0,,Defensive rebound by B. Hield,83,64
3,6:11.0,,Shooting foul by T. Ferguson (drawn by B. Hield),83,64
3,6:11.0,,B. Hield makes free throw 1 of 2,83,65
3,6:11.0,,K. Koufos enters the game for N. Bjelica,83,65
3,6:11.0,,S. Labissière enters the game for W. Cauley-Stein,83,65
3,6:11.0,,B. Hield makes free throw 2 of 2,83,66
3,6:03.0,Turnover by R. Westbrook (bad pass),,83,66
3,5:56.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),83,69
3,5:55.0,Oklahoma City full timeout,,83,69
3,5:41.0,T. Ferguson misses 3-pt jump shot from 23 ft,,83,69
3,5:37.0,,Defensive rebound by S. Labissière,83,69
3,5:25.0,,D. Fox makes 2-pt jump shot from 22 ft,83,71
3,5:16.0,R. Westbrook makes 2-pt jump shot from 10 ft,,85,71
3,5:05.0,Violation by Team (kicked ball),,85,71
3,4:57.0,,S. Labissière makes 2-pt dunk from 1 ft (assist by D. Fox),85,73
3,4:44.0,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,88,73
3,4:32.0,,Personal foul by J. Grant (drawn by S. Labissière),88,73
3,4:32.0,,S. Labissière makes free throw 1 of 2,88,74
3,4:32.0,,S. Labissière misses free throw 2 of 2,88,74
3,4:29.0,Defensive rebound by R. Westbrook,,88,74
3,4:16.0,R. Westbrook misses 2-pt jump shot from 14 ft,,88,74
3,4:13.0,Offensive rebound by S. Adams,,88,74
3,4:10.0,Turnover by S. Adams (bad pass; steal by J. Jackson),,88,74
3,4:05.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),88,77
3,3:58.0,Turnover by S. Adams (out of bounds lost ball),,88,77
3,3:47.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by K. Koufos),88,80
3,3:31.0,R. Westbrook misses 2-pt jump shot from 15 ft,,88,80
3,3:28.0,,Defensive rebound by J. Jackson,88,80
3,3:21.0,Violation by Team (kicked ball),,88,80
3,3:21.0,P. George enters the game for T. Ferguson,,88,80
3,3:13.0,,S. Labissière misses 2-pt hook shot from 7 ft,88,80
3,3:11.0,Defensive rebound by S. Adams,,88,80
3,3:07.0,Shooting foul by K. Koufos (drawn by J. Grant),,88,80
3,3:07.0,J. Grant makes free throw 1 of 2,,89,80
3,3:07.0,J. Grant misses free throw 2 of 2,,89,80
3,3:03.0,Offensive rebound by S. Adams,,89,80
3,3:03.0,S. Adams misses 2-pt layup from 2 ft,,89,80
3,3:00.0,,Defensive rebound by S. Labissière,89,80
3,2:45.0,,B. Hield misses 2-pt layup from 2 ft,89,80
3,2:42.0,Defensive rebound by R. Westbrook,,89,80
3,2:38.0,Á. Abrines misses 3-pt jump shot from 24 ft,,89,80
3,2:34.0,Offensive rebound by J. Grant,,89,80
3,2:28.0,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),,92,80
3,2:11.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),92,83
3,1:59.0,Á. Abrines misses 3-pt jump shot from 25 ft,,92,83
3,1:56.0,,Defensive rebound by K. Koufos,92,83
3,1:50.0,,B. Hield misses 3-pt jump shot from 26 ft,92,83
3,1:47.0,Defensive rebound by S. Adams,,92,83
3,1:43.0,R. Westbrook misses 3-pt jump shot from 26 ft,,92,83
3,1:38.0,,Defensive rebound by B. Hield,92,83
3,1:22.0,,Turnover by K. Koufos (bad pass; steal by R. Westbrook),92,83
3,1:12.0,Shooting foul by K. Koufos (drawn by P. George),,92,83
3,1:12.0,P. George makes free throw 1 of 2,,93,83
3,1:12.0,H. Diallo enters the game for R. Westbrook,,93,83
3,1:12.0,P. George makes free throw 2 of 2,,94,83
3,1:03.0,,B. Hield misses 3-pt jump shot from 23 ft,94,83
3,1:00.0,Defensive rebound by Á. Abrines,,94,83
3,0:56.0,J. Grant makes 2-pt layup from 2 ft (assist by Á. Abrines),,96,83
3,0:47.0,,D. Fox makes 3-pt jump shot from 25 ft,96,86
3,0:37.0,Shooting foul by K. Koufos (drawn by P. George),,96,86
3,0:37.0,P. George makes free throw 1 of 2,,97,86
3,0:37.0,,T. Williams enters the game for J. Jackson,97,86
3,0:37.0,P. George makes free throw 2 of 2,,98,86
3,0:32.0,,D. Fox makes 2-pt jump shot from 12 ft,98,88
3,0:11.0,H. Diallo misses 3-pt jump shot from 23 ft,,98,88
3,0:08.0,,Defensive rebound by T. Williams,98,88
3,0:08.0,,Personal foul by Á. Abrines (drawn by T. Williams),98,88
3,0:08.0,,T. Williams makes free throw 1 of 2,98,89
3,0:08.0,,T. Williams misses free throw 2 of 2,98,89
3,0:05.0,Defensive rebound by H. Diallo,,98,89
3,0:02.0,P. George misses 3-pt jump shot from 25 ft,,98,89
3,0:02.0,,Defensive rebound by S. Labissière,98,89
4,11:39.0,,S. Labissière misses 2-pt dunk from 7 ft (block by N. Noel),98,89
4,11:39.0,Defensive rebound by Team,,98,89
4,11:39.0,,Loose ball foul by S. Labissière (drawn by N. Noel),98,89
4,11:39.0,,W. Cauley-Stein enters the game for K. Koufos,98,89
4,11:29.0,P. George makes 3-pt jump shot from 25 ft,,101,89
4,11:09.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by P. Patterson),101,89
4,11:07.0,Defensive rebound by H. Diallo,,101,89
4,11:01.0,H. Diallo misses 2-pt layup from 5 ft,,101,89
4,10:59.0,,Defensive rebound by W. Cauley-Stein,101,89
4,10:53.0,,S. Labissière misses 3-pt jump shot from 26 ft,101,89
4,10:48.0,Defensive rebound by H. Diallo,,101,89
4,10:40.0,P. George makes 2-pt layup from 2 ft,,103,89
4,10:40.0,,Sacramento full timeout,103,89
4,10:40.0,,N. Bjelica enters the game for S. Labissière,103,89
4,10:22.0,,Personal foul by N. Noel (drawn by W. Cauley-Stein),103,89
4,10:08.0,,B. Hield misses 2-pt layup from 3 ft (block by N. Noel),103,89
4,10:04.0,Defensive rebound by P. George,,103,89
4,10:03.0,Shooting foul by N. Bjelica (drawn by P. George),,103,89
4,10:03.0,P. George makes free throw 1 of 2,,104,89
4,10:03.0,,D. Fox enters the game for B. Hield,104,89
4,10:03.0,P. George makes free throw 2 of 2,,105,89
4,9:56.0,,Shooting foul by Á. Abrines (drawn by D. Fox),105,89
