QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
1,7:52.0,,Defensive rebound by E. Moore,6,9
1,7:50.0,,J. Holiday makes 2-pt jump shot from 8 ft (assist by E. Moore),6,11
1,7:30.0,R. Jackson misses 2-pt layup from 2 ft,,6,11
1,7:27.0,,Defensive rebound by E. Moore,6,11
1,7:14.0,,J. Holiday misses 2-pt jump shot from 10 ft,6,11
1,7:11.0,Defensive rebound by R. Jackson,,6,11
1,7:06.0,B. Griffin makes 2-pt layup from 2 ft (assist by R. Jackson),,8,11
1,7:01.0,,E. Moore misses 3-pt jump shot from 25 ft,8,11
1,6:58.0,Defensive rebound by B. Brown,,8,11
1,6:45.0,B. Griffin makes 3-pt jump shot from 24 ft,,11,11
1,6:38.0,,New Orleans full timeout,11,11
1,6:24.0,,E. Moore makes 2-pt jump shot from 10 ft (assist by J. Holiday),11,13
1,6:05.0,Turnover by R. Bullock (lost ball),,11,13
1,6:04.0,Loose ball foul by R. Bullock (drawn by E. Moore),,11,13
1,5:48.0,,J. Holiday misses 2-pt jump shot from 2 ft,11,13
1,5:46.0,,Offensive rebound by J. Okafor,11,13
1,5:44.0,,J. Okafor makes 2-pt layup from 3 ft,11,15
1,5:35.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,14,15
1,5:18.0,,J. Randle misses 2-pt jump shot from 20 ft,14,15
1,5:15.0,Defensive rebound by R. Jackson,,14,15
1,5:07.0,Shooting foul by J. Randle (drawn by B. Griffin),,14,15
1,5:07.0,B. Griffin makes free throw 1 of 2,,15,15
1,5:07.0,,D. Miller enters the game for E. Moore,15,15
1,5:07.0,,N. Mirotić enters the game for J. Randle,15,15
1,5:07.0,B. Griffin misses free throw 2 of 2,,15,15
1,5:03.0,Offensive rebound by R. Bullock,,15,15
1,5:01.0,B. Griffin makes 2-pt layup from 3 ft (assist by R. Bullock),,17,15
1,4:45.0,,J. Holiday misses 2-pt layup from 6 ft,17,15
1,4:42.0,,Offensive rebound by J. Holiday,17,15
1,4:42.0,,J. Holiday makes 2-pt layup from 2 ft,17,17
1,4:29.0,B. Griffin misses 2-pt dunk from 3 ft (block by J. Okafor),,17,17
1,4:25.0,,Defensive rebound by N. Mirotić,17,17
1,4:23.0,,D. Miller misses 3-pt jump shot from 26 ft,17,17
1,4:19.0,Defensive rebound by Z. Pachulia,,17,17
1,4:13.0,Shooting foul by N. Mirotić (drawn by B. Griffin),,17,17
1,4:13.0,B. Griffin makes free throw 1 of 2,,18,17
1,4:13.0,L. Kennard enters the game for R. Bullock,,18,17
1,4:13.0,,F. Jackson enters the game for J. Holiday,18,17
1,4:13.0,B. Griffin makes free throw 2 of 2,,19,17
1,3:59.0,,Turnover by J. Okafor (out of bounds lost ball),19,17
1,3:59.0,L. Galloway enters the game for B. Brown,,19,17
1,3:41.0,Shooting foul by F. Jackson (drawn by Z. Pachulia),,19,17
1,3:41.0,Z. Pachulia misses free throw 1 of 2,,19,17
1,3:41.0,Offensive rebound by Team,,19,17
1,3:41.0,Z. Pachulia misses free throw 2 of 2,,19,17
1,3:38.0,,Defensive rebound by J. Okafor,19,17
1,3:24.0,,J. Okafor makes 2-pt dunk from 2 ft,19,19
1,3:04.0,Shooting foul by J. Okafor (drawn by B. Griffin),,19,19
1,3:04.0,B. Griffin makes free throw 1 of 2,,20,19
1,3:04.0,J. Calderón enters the game for R. Jackson,,20,19
1,3:04.0,J. Leuer enters the game for Z. Pachulia,,20,19
1,3:04.0,,T. Frazier enters the game for J. Okafor,20,19
1,3:04.0,,J. Randle enters the game for E. Payton,20,19
1,3:04.0,B. Griffin makes free throw 2 of 2,,21,19
1,2:51.0,,F. Jackson makes 2-pt layup from 2 ft (assist by J. Randle),21,21
1,2:39.0,J. Calderón misses 3-pt jump shot from 25 ft,,21,21
1,2:39.0,,Defensive rebound by D. Miller,21,21
1,2:21.0,,J. Randle makes 2-pt jump shot from 8 ft,21,23
1,2:10.0,Turnover by J. Calderón (bad pass; steal by D. Miller),,21,23
1,2:05.0,,Turnover by T. Frazier (lost ball; steal by L. Kennard),21,23
1,2:02.0,Shooting foul by D. Miller (drawn by L. Kennard),,21,23
1,2:02.0,Detroit full timeout,,21,23
1,2:02.0,L. Kennard makes free throw 1 of 3,,22,23
1,2:02.0,L. Kennard makes free throw 2 of 3,,23,23
1,2:02.0,L. Kennard makes free throw 3 of 3,,24,23
1,1:46.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Frazier),24,26
1,1:29.0,B. Griffin makes 2-pt layup from 4 ft,,26,26
1,1:21.0,,D. Miller misses 3-pt jump shot from 23 ft,26,26
1,1:18.0,Defensive rebound by J. Leuer,,26,26
1,1:02.0,B. Griffin makes 3-pt jump shot from 26 ft,,29,26
1,0:50.0,,N. Mirotić misses 3-pt jump shot from 25 ft,29,26
1,0:47.0,Defensive rebound by B. Griffin,,29,26
1,0:38.0,J. Leuer makes 2-pt layup from 2 ft (assist by B. Griffin),,31,26
1,0:31.0,,Offensive foul by N. Mirotić (drawn by J. Leuer),31,26
1,0:31.0,,Turnover by N. Mirotić (offensive foul),31,26
1,0:16.0,B. Griffin misses 2-pt jump shot from 12 ft,,31,26
1,0:11.0,,Defensive rebound by J. Randle,31,26
1,0:07.0,,Personal take foul by B. Griffin (drawn by J. Randle),31,26
1,0:03.0,,J. Randle makes 2-pt layup from 3 ft,31,28
1,0:00.0,B. Griffin misses 3-pt jump shot from 28 ft,,31,28
1,0:00.0,Offensive rebound by Team,,31,28
2,11:45.0,L. Kennard misses 3-pt jump shot from 26 ft,,31,28
2,11:41.0,,Defensive rebound by J. Randle,31,28
2,11:34.0,,J. Randle misses 2-pt layup from 1 ft,31,28
2,11:32.0,Defensive rebound by J. Leuer,,31,28
2,11:28.0,S. Johnson misses 2-pt layup from 1 ft (block by N. Mirotić),,31,28
2,11:23.0,,Defensive rebound by J. Randle,31,28
2,11:16.0,,T. Frazier misses 2-pt layup from 2 ft,31,28
2,11:14.0,Defensive rebound by J. Calderón,,31,28
2,11:13.0,Shooting foul by D. Miller (drawn by J. Leuer),,31,28
2,11:13.0,J. Leuer makes free throw 1 of 2,,32,28
2,11:13.0,J. Leuer misses free throw 2 of 2,,32,28
2,11:10.0,,Defensive rebound by J. Randle,32,28
2,10:52.0,,J. Holiday misses 2-pt hook shot from 4 ft,32,28
2,10:50.0,Defensive rebound by J. Leuer,,32,28
2,10:42.0,J. Leuer makes 2-pt layup from 3 ft (assist by J. Calderón),,34,28
2,10:28.0,,J. Holiday misses 2-pt jump shot from 6 ft,34,28
2,10:25.0,Defensive rebound by L. Kennard,,34,28
2,10:19.0,J. Leuer makes 2-pt layup from 2 ft (assist by J. Calderón),,36,28
2,9:56.0,,J. Holiday makes 2-pt layup from 3 ft,36,30
2,9:41.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Calderón),,39,30
2,9:18.0,,D. Miller misses 3-pt jump shot from 26 ft,39,30
2,9:09.0,,Offensive rebound by N. Mirotić,39,30
2,9:09.0,,N. Mirotić misses 2-pt layup from 1 ft,39,30
2,9:09.0,Defensive rebound by J. Leuer,,39,30
2,9:09.0,L. Galloway misses 3-pt jump shot from 26 ft,,39,30
2,9:09.0,,Defensive rebound by Team,39,30
2,9:09.0,,E. Payton enters the game for T. Frazier,39,30
2,8:56.0,,J. Randle misses 2-pt layup from 3 ft,39,30
2,8:54.0,Defensive rebound by L. Kennard,,39,30
2,8:47.0,L. Galloway misses 3-pt jump shot from 24 ft,,39,30
2,8:43.0,,Defensive rebound by J. Holiday,39,30
2,8:38.0,,J. Holiday makes 2-pt hook shot from 4 ft,39,32
2,8:23.0,L. Kennard misses 2-pt layup from 2 ft,,39,32
2,8:21.0,,Defensive rebound by N. Mirotić,39,32
2,8:13.0,,E. Payton misses 2-pt jump shot from 5 ft (block by J. Leuer),39,32
2,8:09.0,Defensive rebound by J. Leuer,,39,32
2,7:56.0,J. Calderón makes 3-pt jump shot from 25 ft (assist by S. Johnson),,42,32
2,7:47.0,,New Orleans full timeout,42,32
2,7:47.0,Z. Pachulia enters the game for J. Leuer,,42,32
2,7:47.0,,J. Okafor enters the game for N. Mirotić,42,32
2,7:35.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),42,35
2,7:15.0,Turnover by Z. Pachulia (traveling),,42,35
2,6:50.0,,Turnover by J. Randle (bad pass; steal by L. Kennard),42,35
2,6:43.0,Offensive foul by Z. Pachulia (drawn by J. Okafor),,42,35
2,6:43.0,Turnover by Z. Pachulia (offensive foul),,42,35
2,6:29.0,,D. Miller misses 2-pt jump shot from 23 ft,42,35
2,6:26.0,Defensive rebound by S. Johnson,,42,35
2,6:11.0,Z. Pachulia makes 2-pt layup from 3 ft (assist by J. Calderón),,44,35
2,5:51.0,,J. Okafor makes 2-pt layup from 1 ft (assist by E. Payton),44,37
2,5:42.0,Personal foul by D. Miller (drawn by J. Calderón),,44,37
2,5:42.0,R. Bullock enters the game for J. Calderón,,44,37
2,5:42.0,B. Griffin enters the game for S. Johnson,,44,37
2,5:42.0,R. Jackson enters the game for L. Kennard,,44,37
2,5:42.0,,E. Moore enters the game for D. Miller,44,37
2,5:32.0,Z. Pachulia misses 2-pt layup from 4 ft,,44,37
2,5:30.0,,Defensive rebound by J. Holiday,44,37
2,5:23.0,,J. Okafor misses 2-pt layup from 3 ft (block by Z. Pachulia),44,37
2,5:20.0,Defensive rebound by Z. Pachulia,,44,37
2,5:13.0,R. Bullock misses 3-pt jump shot from 24 ft,,44,37
2,5:08.0,,Defensive rebound by J. Randle,44,37
2,5:06.0,,Turnover by J. Okafor (lost ball; steal by B. Griffin),44,37
2,5:00.0,R. Bullock misses 2-pt layup from 3 ft,,44,37
2,4:58.0,,Defensive rebound by J. Okafor,44,37
2,4:51.0,,Personal foul by L. Galloway (drawn by J. Okafor),44,37
2,4:51.0,,N. Mirotić enters the game for J. Randle,44,37
2,4:43.0,,E. Moore misses 2-pt jump shot from 9 ft,44,37
2,4:42.0,,Offensive rebound by Team,44,37
2,4:42.0,B. Brown enters the game for L. Galloway,,44,37
2,4:35.0,,E. Payton makes 2-pt jump shot from 4 ft,44,39
2,4:14.0,Turnover by R. Bullock (bad pass; steal by E. Moore),,44,39
2,4:07.0,,N. Mirotić misses 3-pt jump shot from 26 ft,44,39
2,4:04.0,Defensive rebound by Z. Pachulia,,44,39
2,3:51.0,B. Griffin makes 2-pt layup from 1 ft,,46,39
2,3:42.0,Violation by Team (kicked ball),,46,39
2,3:33.0,,N. Mirotić misses 2-pt jump shot from 4 ft,46,39
2,3:33.0,,Offensive rebound by N. Mirotić,46,39
2,3:33.0,,N. Mirotić misses 2-pt layup from 1 ft,46,39
2,3:33.0,Defensive rebound by Team,,46,39
2,3:33.0,,Loose ball foul by J. Okafor (drawn by Z. Pachulia),46,39
2,3:17.0,B. Griffin makes 2-pt layup from 2 ft,,48,39
2,3:08.0,,E. Payton misses 2-pt jump shot from 6 ft (block by R. Bullock),48,39
2,3:04.0,Defensive rebound by Z. Pachulia,,48,39
2,3:04.0,Personal foul by E. Payton (drawn by B. Griffin),,48,39
2,3:04.0,,Violation by Team (delay of game),48,39
2,2:55.0,B. Brown misses 2-pt layup from 4 ft (block by J. Okafor),,48,39
2,2:51.0,Offensive rebound by Z. Pachulia,,48,39
2,2:50.0,Z. Pachulia makes 2-pt layup from 2 ft,,50,39
2,2:36.0,,J. Holiday makes 2-pt jump shot from 8 ft,50,41
2,2:32.0,Detroit full timeout,,50,41
2,2:10.0,B. Griffin makes 2-pt hook shot from 7 ft,,52,41
2,1:58.0,,N. Mirotić misses 3-pt jump shot from 26 ft,52,41
2,1:55.0,Defensive rebound by R. Bullock,,52,41
2,1:47.0,R. Jackson misses 3-pt jump shot from 23 ft,,52,41
2,1:44.0,,Defensive rebound by N. Mirotić,52,41
2,1:32.0,,N. Mirotić makes 2-pt hook shot from 8 ft (assist by J. Holiday),52,43
2,1:07.0,B. Brown misses 2-pt jump shot from 3 ft,,52,43
2,1:05.0,Offensive rebound by Z. Pachulia,,52,43
2,1:05.0,Z. Pachulia misses 2-pt layup from 1 ft,,52,43
2,1:04.0,,Defensive rebound by E. Moore,52,43
2,0:56.0,,N. Mirotić misses 2-pt jump shot from 8 ft,52,43
2,0:54.0,Defensive rebound by R. Bullock,,52,43
2,0:48.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),,55,43
2,0:38.0,,J. Okafor makes 2-pt layup from 2 ft (assist by E. Moore),55,45
2,0:27.0,R. Jackson makes 2-pt layup from 2 ft,,57,45
2,0:08.0,,Personal take foul by R. Jackson (drawn by J. Holiday),57,45
2,0:08.0,,D. Miller enters the game for N. Mirotić,57,45
2,0:08.0,,J. Randle enters the game for E. Payton,57,45
2,0:00.0,,J. Holiday makes 2-pt layup from 1 ft,57,47
3,11:45.0,B. Griffin misses 3-pt jump shot from 23 ft,,57,47
3,11:40.0,,Defensive rebound by J. Okafor,57,47
3,11:25.0,,J. Okafor misses 2-pt layup from 1 ft,57,47
3,11:23.0,,Offensive rebound by J. Randle,57,47
3,11:21.0,,J. Randle makes 2-pt dunk from 1 ft,57,49
3,11:02.0,R. Bullock misses 3-pt jump shot from 26 ft,,57,49
3,10:58.0,,Defensive rebound by E. Moore,57,49
3,10:53.0,,Turnover by J. Randle (out of bounds lost ball),57,49
3,10:36.0,R. Jackson misses 3-pt jump shot from 26 ft,,57,49
3,10:33.0,Offensive rebound by R. Jackson,,57,49
3,10:29.0,R. Jackson makes 2-pt jump shot from 20 ft,,59,49
3,10:20.0,,E. Payton misses 2-pt layup from 4 ft,59,49
3,10:15.0,,Offensive rebound by J. Okafor,59,49
3,10:15.0,,J. Okafor misses 2-pt dunk at rim,59,49
3,10:14.0,Defensive rebound by B. Brown,,59,49
3,10:03.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by B. Griffin),,61,49
3,9:54.0,,J. Holiday makes 2-pt jump shot from 7 ft,61,51
3,9:29.0,Personal foul by J. Randle (drawn by B. Griffin),,61,51
3,9:22.0,Z. Pachulia misses 2-pt layup from 3 ft (block by J. Randle),,61,51
3,9:19.0,Offensive rebound by Z. Pachulia,,61,51
3,9:17.0,R. Bullock misses 3-pt jump shot from 23 ft,,61,51
3,9:14.0,,Defensive rebound by J. Holiday,61,51
3,9:14.0,,E. Moore makes 2-pt jump shot from 6 ft (assist by J. Holiday),61,53
3,9:14.0,,Shooting foul by R. Jackson (drawn by E. Moore),61,53
3,9:14.0,,E. Moore makes free throw 1 of 1,61,54
3,8:54.0,B. Griffin makes 2-pt layup from 5 ft (assist by R. Bullock),,63,54
3,8:44.0,,E. Payton misses 3-pt jump shot from 26 ft,63,54
3,8:40.0,Defensive rebound by B. Griffin,,63,54
3,8:19.0,Shooting foul by J. Okafor (drawn by Z. Pachulia),,63,54
3,8:19.0,Z. Pachulia makes free throw 1 of 2,,64,54
3,8:19.0,Z. Pachulia makes free throw 2 of 2,,65,54
3,7:55.0,,J. Holiday makes 2-pt layup from 6 ft (assist by E. Payton),65,56
3,7:36.0,R. Bullock misses 3-pt jump shot from 28 ft,,65,56
3,7:32.0,,Defensive rebound by E. Moore,65,56
3,7:26.0,,J. Holiday makes 2-pt layup from 1 ft (assist by E. Payton),65,58
3,7:04.0,B. Griffin makes 2-pt jump shot from 17 ft (assist by R. Bullock),,67,58
3,6:50.0,,New Orleans full timeout,67,58
3,6:50.0,L. Kennard enters the game for R. Bullock,,67,58
3,6:39.0,,J. Holiday misses 2-pt jump shot from 16 ft,67,58
3,6:36.0,Defensive rebound by R. Jackson,,67,58
3,6:34.0,Turnover by R. Jackson (bad pass),,67,58
3,6:19.0,,Turnover by J. Okafor (3 sec),67,58
3,6:04.0,Personal foul by J. Randle (drawn by B. Griffin),,67,58
3,6:04.0,,D. Miller enters the game for E. Payton,67,58
3,5:52.0,B. Griffin misses 2-pt jump shot from 12 ft,,67,58
3,5:49.0,,Defensive rebound by J. Okafor,67,58
3,5:40.0,,J. Randle misses 2-pt layup from 2 ft,67,58
3,5:38.0,Defensive rebound by B. Griffin,,67,58
3,5:33.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),,70,58
3,5:18.0,,E. Moore misses 2-pt jump shot from 16 ft,70,58
3,5:14.0,Defensive rebound by R. Jackson,,70,58
3,5:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,70,58
3,4:56.0,,Defensive rebound by J. Randle,70,58
3,4:46.0,,J. Okafor makes 2-pt layup from 3 ft,70,60
3,4:46.0,,Shooting foul by R. Jackson (drawn by J. Okafor),70,60
3,4:46.0,J. Calderón enters the game for R. Jackson,,70,60
3,4:46.0,,F. Jackson enters the game for E. Moore,70,60
3,4:46.0,,N. Mirotić enters the game for J. Randle,70,60
3,4:46.0,,J. Okafor misses free throw 1 of 1,70,60
3,4:41.0,Defensive rebound by B. Griffin,,70,60
3,4:28.0,B. Griffin misses 2-pt jump shot from 8 ft (block by J. Okafor),,70,60
3,4:28.0,,Defensive rebound by N. Mirotić,70,60
3,4:19.0,,J. Holiday makes 2-pt layup from 1 ft (assist by F. Jackson),70,62
3,4:12.0,Detroit full timeout,,70,62
3,4:12.0,L. Galloway enters the game for B. Brown,,70,62
3,4:01.0,L. Galloway misses 3-pt jump shot from 25 ft,,70,62
3,3:57.0,,Defensive rebound by J. Okafor,70,62
3,3:45.0,,J. Holiday misses 3-pt jump shot from 25 ft,70,62
3,3:39.0,Defensive rebound by L. Kennard,,70,62
3,3:33.0,L. Kennard misses 2-pt jump shot from 21 ft,,70,62
3,3:30.0,Offensive rebound by Z. Pachulia,,70,62
3,3:22.0,L. Kennard makes 2-pt layup from 4 ft (assist by Z. Pachulia),,72,62
3,3:06.0,,Turnover by J. Okafor (traveling),72,62
3,2:48.0,L. Galloway makes 3-pt jump shot from 28 ft (assist by J. Calderón),,75,62
3,2:38.0,,Personal foul by L. Galloway (drawn by N. Mirotić),75,62
3,2:38.0,,S. Hill enters the game for J. Okafor,75,62
3,2:25.0,,Shooting foul by B. Griffin (drawn by J. Holiday),75,62
3,2:25.0,,J. Holiday makes free throw 1 of 2,75,63
3,2:25.0,J. Leuer enters the game for Z. Pachulia,,75,63
3,2:25.0,,J. Holiday misses free throw 2 of 2,75,63
3,2:22.0,,Offensive rebound by N. Mirotić,75,63
3,2:15.0,,J. Holiday misses 2-pt layup from 2 ft,75,63
3,2:13.0,Defensive rebound by B. Griffin,,75,63
3,1:58.0,L. Kennard misses 3-pt jump shot from 27 ft,,75,63
3,1:53.0,,Defensive rebound by F. Jackson,75,63
3,1:46.0,,N. Mirotić makes 3-pt jump shot from 25 ft,75,66
3,1:23.0,B. Griffin makes 2-pt layup from 7 ft,,77,66
3,1:14.0,,J. Holiday makes 2-pt layup from 2 ft,77,68
3,0:59.0,L. Galloway misses 2-pt layup from 2 ft,,77,68
3,0:57.0,,Defensive rebound by F. Jackson,77,68
3,0:52.0,,Turnover by F. Jackson (bad pass; steal by L. Galloway),77,68
3,0:47.0,J. Leuer makes 2-pt dunk from 1 ft (assist by J. Calderón),,79,68
3,0:30.0,,J. Holiday makes 2-pt layup from 2 ft,79,70
3,0:12.0,Turnover by B. Griffin (3 sec),,79,70
3,0:00.0,,J. Holiday misses 2-pt jump shot from 20 ft,79,70
3,0:00.0,,Offensive rebound by Team,79,70
4,11:44.0,,J. Randle misses 2-pt layup from 5 ft,79,70
4,11:42.0,Defensive rebound by J. Leuer,,79,70
4,11:26.0,L. Galloway misses 3-pt jump shot from 23 ft,,79,70
4,11:20.0,,Defensive rebound by D. Miller,79,70
4,11:14.0,,J. Randle makes 2-pt layup from 2 ft,79,72
4,10:55.0,L. Kennard misses 3-pt jump shot from 26 ft,,79,72
4,10:53.0,,Defensive rebound by J. Randle,79,72
4,10:53.0,,Personal foul by J. Calderón (drawn by J. Randle),79,72
4,10:41.0,,J. Randle misses 2-pt jump shot from 6 ft,79,72
4,10:37.0,Defensive rebound by S. Johnson,,79,72
4,10:26.0,Personal foul by E. Payton (drawn by S. Johnson),,79,72
4,10:20.0,J. Leuer misses 2-pt hook shot from 10 ft (block by J. Randle),,79,72
4,10:20.0,Offensive rebound by Team,,79,72
4,10:12.0,S. Johnson misses 2-pt jump shot from 12 ft,,79,72
4,10:10.0,,Defensive rebound by E. Payton,79,72
4,10:09.0,,F. Jackson makes 2-pt layup from 2 ft (assist by N. Mirotić),79,74
4,10:09.0,Violation by Team (def goaltending),,79,74
4,9:49.0,J. Leuer makes 2-pt jump shot from 3 ft (assist by L. Galloway),,81,74
4,9:24.0,,N. Mirotić misses 2-pt jump shot from 19 ft,81,74
4,9:21.0,Defensive rebound by S. Johnson,,81,74
4,9:14.0,Turnover by J. Calderón (bad pass; steal by E. Payton),,81,74
4,9:11.0,,Offensive foul by E. Payton (drawn by J. Calderón),81,74
4,9:11.0,,Turnover by E. Payton (offensive foul),81,74
4,9:11.0,,S. Hill enters the game for J. Randle,81,74
4,8:57.0,S. Johnson misses 3-pt jump shot from 26 ft,,81,74
4,8:55.0,,Defensive rebound by Team,81,74
4,8:55.0,Loose ball foul by J. Leuer (drawn by E. Payton),,81,74
4,8:44.0,,F. Jackson makes 2-pt dunk at rim (assist by E. Payton),81,76
4,8:19.0,L. Galloway misses 3-pt jump shot from 26 ft,,81,76
4,8:17.0,,Defensive rebound by E. Payton,81,76
4,8:11.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by E. Payton),81,79
4,8:09.0,Detroit full timeout,,81,79
4,8:09.0,R. Bullock enters the game for J. Calderón,,81,79
4,8:09.0,B. Griffin enters the game for S. Johnson,,81,79
4,8:09.0,R. Jackson enters the game for L. Kennard,,81,79
4,7:54.0,Turnover by J. Leuer (traveling),,81,79
4,7:42.0,,N. Mirotić makes 3-pt jump shot from 25 ft (assist by F. Jackson),81,82
4,7:14.0,L. Galloway makes 2-pt jump shot from 3 ft (assist by R. Jackson),,83,82
4,6:49.0,,D. Miller misses 3-pt jump shot from 28 ft,83,82
4,6:46.0,Defensive rebound by B. Griffin,,83,82
4,6:37.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by R. Bullock),,86,82
4,6:24.0,,New Orleans full timeout,86,82
4,6:24.0,Z. Pachulia enters the game for J. Leuer,,86,82
4,6:24.0,,J. Holiday enters the game for S. Hill,86,82
4,6:24.0,,J. Okafor enters the game for F. Jackson,86,82
4,6:24.0,,J. Randle enters the game for N. Mirotić,86,82
4,6:14.0,,J. Holiday makes 2-pt jump shot from 11 ft (assist by J. Randle),86,84
4,5:58.0,B. Griffin misses 2-pt hook shot from 6 ft,,86,84
4,5:58.0,,Defensive rebound by Team,86,84
4,5:58.0,Loose ball foul by Z. Pachulia (drawn by J. Okafor),,86,84
4,5:45.0,,Turnover by J. Okafor (3 sec),86,84
4,5:33.0,L. Galloway misses 2-pt jump shot from 20 ft,,86,84
4,5:29.0,,Defensive rebound by J. Okafor,86,84
4,5:19.0,,D. Miller misses 3-pt jump shot from 24 ft,86,84
4,5:19.0,Defensive rebound by B. Griffin,,86,84
4,5:05.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),,89,84
4,4:40.0,,J. Holiday misses 3-pt jump shot from 26 ft,89,84
4,4:36.0,Defensive rebound by R. Bullock,,89,84
4,4:24.0,R. Bullock misses 2-pt jump shot from 16 ft,,89,84
4,4:20.0,,Defensive rebound by J. Okafor,89,84
4,4:16.0,,J. Okafor makes 2-pt layup from 4 ft,89,86
4,4:01.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Bullock),,92,86
4,3:38.0,,E. Payton misses 3-pt jump shot from 26 ft,92,86
4,3:38.0,Defensive rebound by Team,,92,86
4,3:38.0,,E. Moore enters the game for E. Payton,92,86
4,3:25.0,B. Griffin misses 3-pt jump shot from 25 ft,,92,86
4,3:24.0,,Defensive rebound by J. Holiday,92,86
4,3:24.0,Clear path foul by J. Okafor,,92,86
4,3:24.0,,J. Okafor misses clear path free throw 1 of 2,92,86
4,3:24.0,,Offensive rebound by Team,92,86
4,3:24.0,,J. Okafor makes clear path free throw 2 of 2,92,87
4,3:24.0,,New Orleans full timeout,92,87
4,3:09.0,,Turnover by J. Randle (lost ball; steal by Z. Pachulia),92,87
4,2:44.0,B. Griffin misses 2-pt layup from 3 ft,,92,87
4,2:39.0,Offensive rebound by B. Griffin,,92,87
4,2:39.0,B. Griffin makes 2-pt layup from 1 ft,,94,87
4,2:35.0,,Shooting foul by Z. Pachulia (drawn by J. Okafor),94,87
4,2:35.0,,J. Okafor misses free throw 1 of 2,94,87
4,2:35.0,,Offensive rebound by Team,94,87
4,2:35.0,,J. Okafor misses free throw 2 of 2,94,87
4,2:32.0,Defensive rebound by R. Bullock,,94,87
4,2:11.0,R. Jackson misses 2-pt jump shot from 22 ft,,94,87
4,2:04.0,Offensive rebound by Z. Pachulia,,94,87
4,1:50.0,B. Griffin misses 2-pt jump shot from 22 ft,,94,87
4,1:50.0,Offensive rebound by Team,,94,87
4,1:50.0,,Loose ball foul by J. Randle (drawn by L. Galloway),94,87
4,1:39.0,L. Galloway misses 3-pt jump shot from 26 ft,,94,87
4,1:35.0,Offensive rebound by B. Griffin,,94,87
4,1:32.0,Shooting foul by J. Randle (drawn by R. Jackson),,94,87
4,1:32.0,R. Jackson makes free throw 1 of 2,,95,87
4,1:32.0,R. Jackson misses free throw 2 of 2,,95,87
4,1:30.0,,Defensive rebound by J. Randle,95,87
