QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
1,7:13.0,,A. Bradley makes 2-pt jump shot from 23 ft,11,10
1,6:58.0,Offensive foul by S. Gilgeous-Alexander (drawn by A. Bradley),,11,10
1,6:58.0,Turnover by S. Gilgeous-Alexander (offensive foul),,11,10
1,6:58.0,,Memphis full timeout,11,10
1,6:43.0,,M. Conley makes 2-pt layup from 3 ft,11,12
1,6:16.0,I. Zubac makes 2-pt dunk from 1 ft (assist by D. Gallinari),,13,12
1,6:01.0,,Turnover by J. Holiday (bad pass; steal by S. Gilgeous-Alexander),13,12
1,5:54.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by P. Beverley),,16,12
1,5:44.0,,Turnover by M. Conley (bad pass; steal by I. Zubac),16,12
1,5:38.0,P. Beverley misses 2-pt layup from 3 ft,,16,12
1,5:33.0,,Defensive rebound by I. Rabb,16,12
1,5:33.0,,Turnover by M. Conley (bad pass),16,12
1,5:33.0,Technical foul by P. Beverley,,16,12
1,5:33.0,,C. Miles makes technical free throw,16,13
1,5:33.0,,J. Noah enters the game for J. Holiday,16,13
1,5:33.0,,C. Parsons enters the game for I. Rabb,16,13
1,5:26.0,Turnover by L. Shamet (step out of bounds),,16,13
1,5:15.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),16,15
1,5:09.0,P. Beverley makes 2-pt jump shot from 1 ft,,18,15
1,5:09.0,Shooting foul by C. Parsons (drawn by P. Beverley),,18,15
1,5:09.0,M. Harrell enters the game for S. Gilgeous-Alexander,,18,15
1,5:09.0,L. Williams enters the game for I. Zubac,,18,15
1,5:09.0,P. Beverley makes free throw 1 of 1,,19,15
1,5:01.0,,M. Conley misses 2-pt jump shot from 12 ft (block by P. Beverley),19,15
1,4:58.0,,Offensive rebound by M. Conley,19,15
1,4:55.0,,J. Noah misses 2-pt layup from 3 ft,19,15
1,4:55.0,,Offensive rebound by J. Noah,19,15
1,4:52.0,,J. Noah misses 2-pt hook shot from 1 ft,19,15
1,4:52.0,Defensive rebound by D. Gallinari,,19,15
1,4:32.0,Turnover by M. Harrell (bad pass; steal by C. Miles),,19,15
1,4:28.0,,C. Parsons misses 3-pt jump shot from 24 ft,19,15
1,4:24.0,Defensive rebound by P. Beverley,,19,15
1,4:21.0,L. Shamet misses 3-pt jump shot from 25 ft,,19,15
1,4:16.0,Offensive rebound by D. Gallinari,,19,15
1,4:16.0,D. Gallinari makes 2-pt dunk from 1 ft,,21,15
1,4:04.0,,Personal foul by L. Shamet (drawn by M. Conley),21,15
1,4:04.0,G. Temple enters the game for L. Shamet,,21,15
1,4:04.0,,D. Wright enters the game for M. Conley,21,15
1,3:53.0,,Offensive foul by C. Miles (drawn by P. Beverley),21,15
1,3:53.0,,Turnover by C. Miles (offensive foul),21,15
1,3:42.0,L. Williams misses 2-pt jump shot from 10 ft,,21,15
1,3:35.0,Offensive rebound by P. Beverley,,21,15
1,3:32.0,M. Harrell makes 2-pt dunk at rim (assist by P. Beverley),,23,15
1,3:21.0,,D. Wright makes 2-pt jump shot from 8 ft,23,17
1,3:09.0,,Violation by Team (kicked ball),23,17
1,3:09.0,LA Clippers full timeout,,23,17
1,3:09.0,J. Green enters the game for P. Beverley,,23,17
1,3:09.0,T. Wallace enters the game for D. Gallinari,,23,17
1,3:04.0,J. Green makes 2-pt dunk from 1 ft (assist by M. Harrell),,25,17
1,2:49.0,,Shooting foul by G. Temple (drawn by J. Noah),25,17
1,2:49.0,,J. Noah makes free throw 1 of 2,25,18
1,2:49.0,,J. Noah makes free throw 2 of 2,25,19
1,2:35.0,G. Temple misses 3-pt jump shot from 23 ft,,25,19
1,2:31.0,,Defensive rebound by D. Wright,25,19
1,2:26.0,,A. Bradley makes 2-pt jump shot from 21 ft,25,21
1,2:16.0,L. Williams makes 2-pt jump shot from 20 ft,,27,21
1,2:04.0,,C. Miles misses 3-pt jump shot from 26 ft,27,21
1,2:01.0,,Offensive rebound by J. Noah,27,21
1,1:47.0,,J. Noah misses 2-pt hook shot from 6 ft,27,21
1,1:44.0,Defensive rebound by T. Wallace,,27,21
1,1:39.0,T. Wallace makes 2-pt jump shot from 7 ft,,29,21
1,1:19.0,,D. Wright misses 2-pt jump shot from 19 ft,29,21
1,1:16.0,Defensive rebound by G. Temple,,29,21
1,1:16.0,,J. Carter enters the game for A. Bradley,29,21
1,0:59.0,M. Harrell makes 2-pt layup from 1 ft,,31,21
1,0:45.0,,J. Noah misses 2-pt jump shot from 21 ft,31,21
1,0:42.0,Defensive rebound by J. Green,,31,21
1,0:36.0,L. Williams makes 3-pt jump shot from 26 ft,,34,21
1,0:22.0,,C. Miles misses 2-pt jump shot from 11 ft,34,21
1,0:18.0,,Offensive rebound by D. Wright,34,21
1,0:17.0,,Shooting foul by T. Wallace (drawn by D. Wright),34,21
1,0:17.0,,D. Wright makes free throw 1 of 2,34,22
1,0:17.0,,A. Bradley enters the game for C. Parsons,34,22
1,0:17.0,,D. Wright makes free throw 2 of 2,34,23
1,0:04.0,L. Williams makes 2-pt layup from 1 ft,,36,23
1,0:00.0,,A. Bradley misses 3-pt jump shot from 35 ft,36,23
1,0:00.0,,Offensive rebound by Team,36,23
2,11:45.0,,C. Miles misses 3-pt jump shot from 25 ft,36,23
2,11:41.0,Defensive rebound by G. Temple,,36,23
2,11:38.0,Personal foul by J. Holiday (drawn by G. Temple),,36,23
2,11:20.0,Shooting foul by J. Carter (drawn by J. Green),,36,23
2,11:20.0,J. Green makes free throw 1 of 2,,37,23
2,11:20.0,J. Green makes free throw 2 of 2,,38,23
2,10:59.0,,J. Carter misses 2-pt jump shot from 15 ft,38,23
2,10:55.0,Defensive rebound by J. Green,,38,23
2,10:44.0,L. Williams misses 2-pt jump shot from 22 ft,,38,23
2,10:43.0,,Defensive rebound by J. Noah,38,23
2,10:24.0,,D. Wright misses 2-pt layup from 7 ft (block by J. Green),38,23
2,10:21.0,Defensive rebound by J. Green,,38,23
2,10:20.0,Shooting foul by J. Carter (drawn by T. Wallace),,38,23
2,10:20.0,T. Wallace makes free throw 1 of 2,,39,23
2,10:20.0,,M. Conley enters the game for J. Carter,39,23
2,10:20.0,T. Wallace misses free throw 2 of 2,,39,23
2,10:18.0,,Defensive rebound by J. Noah,39,23
2,10:05.0,,J. Holiday misses 3-pt jump shot from 23 ft,39,23
2,10:03.0,,Offensive rebound by J. Noah,39,23
2,9:59.0,,C. Miles misses 3-pt jump shot from 27 ft,39,23
2,9:57.0,Defensive rebound by L. Williams,,39,23
2,9:47.0,M. Harrell makes 2-pt layup at rim (assist by J. Green),,41,23
2,9:47.0,Shooting foul by J. Noah (drawn by M. Harrell),,41,23
2,9:47.0,M. Harrell makes free throw 1 of 1,,42,23
2,9:34.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Noah),42,25
2,9:23.0,M. Harrell makes 2-pt layup at rim (assist by L. Williams),,44,25
2,9:11.0,,Shooting foul by M. Harrell (drawn by J. Noah),44,25
2,9:11.0,,J. Noah makes free throw 1 of 2,44,26
2,9:11.0,,I. Rabb enters the game for C. Miles,44,26
2,9:11.0,,J. Noah makes free throw 2 of 2,44,27
2,9:00.0,Turnover by T. Wallace (traveling),,44,27
2,8:42.0,,J. Noah misses 2-pt hook shot from 5 ft,44,27
2,8:39.0,Defensive rebound by T. Wallace,,44,27
2,8:34.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,46,27
2,8:34.0,,Memphis full timeout,46,27
2,8:20.0,,Shooting foul by J. Green (drawn by J. Noah),46,27
2,8:20.0,,J. Noah makes free throw 1 of 2,46,28
2,8:20.0,,A. Bradley enters the game for D. Wright,46,28
2,8:20.0,,J. Noah makes free throw 2 of 2,46,29
2,8:00.0,Shooting foul by J. Holiday (drawn by M. Harrell),,46,29
2,8:00.0,M. Harrell misses free throw 1 of 2,,46,29
2,8:00.0,Offensive rebound by Team,,46,29
2,8:00.0,,T. Dorsey enters the game for J. Holiday,46,29
2,8:00.0,M. Harrell misses free throw 2 of 2,,46,29
2,7:58.0,,Defensive rebound by I. Rabb,46,29
2,7:46.0,,J. Noah makes 2-pt dunk at rim (assist by I. Rabb),46,31
2,7:23.0,J. Green makes 3-pt jump shot from 27 ft (assist by G. Temple),,49,31
2,7:11.0,,I. Rabb makes 2-pt jump shot from 16 ft (assist by M. Conley),49,33
2,7:05.0,Personal foul by I. Rabb (drawn by M. Harrell),,49,33
2,7:05.0,M. Harrell makes free throw 1 of 2,,50,33
2,7:05.0,S. Gilgeous-Alexander enters the game for T. Wallace,,50,33
2,7:05.0,L. Shamet enters the game for L. Williams,,50,33
2,7:05.0,,B. Caboclo enters the game for J. Noah,50,33
2,7:05.0,M. Harrell makes free throw 2 of 2,,51,33
2,6:56.0,,Personal foul by G. Temple (drawn by M. Conley),51,33
2,6:56.0,D. Gallinari enters the game for J. Green,,51,33
2,6:52.0,,M. Conley makes 2-pt jump shot from 20 ft,51,35
2,6:41.0,M. Harrell makes 2-pt jump shot from 2 ft (assist by S. Gilgeous-Alexander),,53,35
2,6:29.0,,I. Rabb misses 2-pt jump shot from 17 ft,53,35
2,6:27.0,Defensive rebound by S. Gilgeous-Alexander,,53,35
2,6:19.0,Shooting foul by A. Bradley (drawn by S. Gilgeous-Alexander),,53,35
2,6:19.0,S. Gilgeous-Alexander makes free throw 1 of 2,,54,35
2,6:19.0,P. Beverley enters the game for G. Temple,,54,35
2,6:19.0,S. Gilgeous-Alexander makes free throw 2 of 2,,55,35
2,6:10.0,,Personal foul by S. Gilgeous-Alexander (drawn by B. Caboclo),55,35
2,5:59.0,,I. Rabb makes 2-pt dunk at rim (assist by M. Conley),55,37
2,5:44.0,Shooting foul by B. Caboclo (drawn by M. Harrell),,55,37
2,5:44.0,,C. Parsons enters the game for B. Caboclo,55,37
2,5:44.0,M. Harrell makes free throw 1 of 2,,56,37
2,5:44.0,M. Harrell makes free throw 2 of 2,,57,37
2,5:38.0,,Personal foul by P. Beverley (drawn by M. Conley),57,37
2,5:38.0,,M. Conley makes free throw 1 of 2,57,38
2,5:38.0,I. Zubac enters the game for M. Harrell,,57,38
2,5:38.0,,M. Conley makes free throw 2 of 2,57,39
2,5:23.0,D. Gallinari makes 2-pt jump shot from 13 ft,,59,39
2,5:07.0,,T. Dorsey misses 2-pt layup from 3 ft,59,39
2,5:04.0,Defensive rebound by S. Gilgeous-Alexander,,59,39
2,5:01.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,59,39
2,4:58.0,,Defensive rebound by A. Bradley,59,39
2,4:51.0,,Turnover by A. Bradley (lost ball; steal by D. Gallinari),59,39
2,4:48.0,Shooting foul by A. Bradley (drawn by D. Gallinari),,59,39
2,4:48.0,D. Gallinari makes free throw 1 of 2,,60,39
2,4:48.0,D. Gallinari makes free throw 2 of 2,,61,39
2,4:38.0,,C. Parsons makes 3-pt jump shot from 25 ft (assist by M. Conley),61,42
2,4:16.0,P. Beverley misses 2-pt jump shot from 11 ft,,61,42
2,4:13.0,Offensive rebound by I. Zubac,,61,42
2,4:13.0,I. Zubac misses 2-pt layup from 1 ft,,61,42
2,4:12.0,,Defensive rebound by T. Dorsey,61,42
2,4:11.0,,Turnover by T. Dorsey (bad pass; steal by P. Beverley),61,42
2,4:11.0,Turnover by P. Beverley (out of bounds lost ball),,61,42
2,3:53.0,,Turnover by C. Parsons (lost ball; steal by D. Gallinari),61,42
2,3:44.0,P. Beverley misses 2-pt jump shot from 6 ft (block by I. Rabb),,61,42
2,3:44.0,Offensive rebound by Team,,61,42
2,3:44.0,LA Clippers full timeout,,61,42
2,3:44.0,L. Williams enters the game for S. Gilgeous-Alexander,,61,42
2,3:44.0,,C. Miles enters the game for A. Bradley,61,42
2,3:36.0,L. Shamet misses 2-pt jump shot from 14 ft,,61,42
2,3:32.0,,Defensive rebound by I. Rabb,61,42
2,3:26.0,,I. Rabb misses 2-pt jump shot from 5 ft,61,42
2,3:22.0,Defensive rebound by I. Zubac,,61,42
2,3:15.0,Turnover by D. Gallinari (bad pass; steal by I. Rabb),,61,42
2,3:11.0,,M. Conley makes 3-pt jump shot from 25 ft,61,45
2,3:01.0,,Personal foul by L. Williams (drawn by M. Conley),61,45
2,3:01.0,Turnover by L. Williams (turnover),,61,45
2,2:46.0,,Turnover by M. Conley (bad pass; steal by P. Beverley),61,45
2,2:40.0,Turnover by L. Shamet (bad pass),,61,45
2,2:24.0,,C. Miles misses 2-pt jump shot from 21 ft,61,45
2,2:21.0,,Offensive rebound by M. Conley,61,45
2,2:18.0,,C. Parsons misses 3-pt jump shot from 27 ft,61,45
2,2:15.0,Defensive rebound by D. Gallinari,,61,45
2,2:10.0,D. Gallinari misses 3-pt jump shot from 26 ft,,61,45
2,2:06.0,,Defensive rebound by M. Conley,61,45
2,2:04.0,,Shooting foul by I. Zubac (drawn by M. Conley),61,45
2,2:04.0,,M. Conley misses free throw 1 of 2,61,45
2,2:04.0,,Offensive rebound by Team,61,45
2,2:04.0,,J. Noah enters the game for I. Rabb,61,45
2,2:04.0,,M. Conley makes free throw 2 of 2,61,46
2,1:56.0,Personal foul by T. Dorsey (drawn by L. Shamet),,61,46
2,1:56.0,L. Shamet makes free throw 1 of 2,,62,46
2,1:56.0,L. Shamet makes free throw 2 of 2,,63,46
2,1:40.0,,M. Conley misses 3-pt jump shot from 25 ft,63,46
2,1:37.0,Defensive rebound by L. Williams,,63,46
2,1:33.0,L. Shamet misses 3-pt jump shot from 26 ft,,63,46
2,1:30.0,,Defensive rebound by J. Noah,63,46
2,1:21.0,,T. Dorsey makes 3-pt jump shot from 26 ft,63,49
2,1:05.0,Turnover by I. Zubac (lost ball),,63,49
2,1:05.0,Loose ball foul by I. Zubac (drawn by T. Dorsey),,63,49
2,1:05.0,,T. Dorsey makes free throw 1 of 2,63,50
2,1:05.0,M. Harrell enters the game for I. Zubac,,63,50
2,1:05.0,,T. Dorsey misses free throw 2 of 2,63,50
2,1:02.0,,Offensive rebound by T. Dorsey,63,50
2,1:00.0,,C. Miles misses 3-pt jump shot from 25 ft,63,50
2,0:58.0,Defensive rebound by P. Beverley,,63,50
2,0:47.0,L. Williams misses 2-pt layup from 4 ft (block by M. Conley),,63,50
2,0:47.0,Offensive rebound by Team,,63,50
2,0:41.0,L. Williams misses 3-pt jump shot from 25 ft,,63,50
2,0:38.0,,Defensive rebound by C. Parsons,63,50
2,0:29.0,,M. Conley misses 2-pt jump shot from 8 ft,63,50
2,0:26.0,Defensive rebound by M. Harrell,,63,50
2,0:23.0,Shooting foul by C. Miles (drawn by M. Harrell),,63,50
2,0:23.0,M. Harrell makes free throw 1 of 2,,64,50
2,0:23.0,G. Temple enters the game for L. Shamet,,64,50
2,0:23.0,S. Thornwell enters the game for L. Williams,,64,50
2,0:23.0,M. Harrell makes free throw 2 of 2,,65,50
2,0:02.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by M. Conley),65,53
2,0:00.0,Turnover by P. Beverley (bad pass; steal by M. Conley),,65,53
2,0:00.0,,Personal foul by G. Temple (drawn by M. Conley),65,53
2,0:00.0,,M. Conley misses free throw 1 of 2,65,53
2,0:00.0,,Offensive rebound by Team,65,53
2,0:00.0,,J. Holiday enters the game for C. Parsons,65,53
2,0:00.0,,M. Conley misses free throw 2 of 2,65,53
2,0:00.0,,Offensive rebound by Team,65,53
3,11:47.0,,I. Rabb misses 2-pt layup from 5 ft,65,53
3,11:43.0,Defensive rebound by P. Beverley,,65,53
3,11:32.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,65,53
3,11:29.0,,Defensive rebound by J. Holiday,65,53
3,11:08.0,,A. Bradley misses 2-pt jump shot from 10 ft,65,53
3,11:05.0,Defensive rebound by L. Shamet,,65,53
3,10:58.0,Turnover by L. Shamet (bad pass; steal by A. Bradley),,65,53
3,10:53.0,,Personal foul by L. Shamet (drawn by A. Bradley),65,53
3,10:48.0,,B. Caboclo makes 3-pt jump shot from 26 ft (assist by I. Rabb),65,56
3,10:34.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,68,56
3,10:20.0,,M. Conley misses 3-pt jump shot from 25 ft,68,56
3,10:18.0,Defensive rebound by D. Gallinari,,68,56
3,10:12.0,Turnover by S. Gilgeous-Alexander (bad pass),,68,56
3,10:02.0,,A. Bradley makes 2-pt layup at rim (assist by I. Rabb),68,58
3,9:51.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,68,58
3,9:51.0,Offensive rebound by Team,,68,58
3,9:50.0,,Loose ball foul by B. Caboclo (drawn by I. Zubac),68,58
3,9:50.0,,J. Noah enters the game for B. Caboclo,68,58
3,9:41.0,D. Gallinari misses 3-pt jump shot from 25 ft,,68,58
3,9:39.0,,Defensive rebound by Team,68,58
3,9:28.0,,J. Noah makes 2-pt layup from 1 ft (assist by A. Bradley),68,60
3,9:20.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,70,60
3,9:05.0,,J. Holiday misses 2-pt jump shot from 15 ft,70,60
3,9:01.0,Defensive rebound by P. Beverley,,70,60
3,8:56.0,P. Beverley makes 2-pt jump shot from 2 ft,,72,60
3,8:31.0,,A. Bradley misses 3-pt jump shot from 26 ft,72,60
3,8:28.0,Defensive rebound by P. Beverley,,72,60
3,8:24.0,D. Gallinari misses 3-pt jump shot from 26 ft,,72,60
3,8:20.0,Offensive rebound by I. Zubac,,72,60
3,8:15.0,Turnover by S. Gilgeous-Alexander (dbl dribble),,72,60
3,7:52.0,,M. Conley makes 2-pt jump shot from 8 ft,72,62
3,7:39.0,Offensive foul by D. Gallinari (drawn by M. Conley),,72,62
3,7:39.0,Turnover by D. Gallinari (offensive foul),,72,62
3,7:20.0,,M. Conley makes 2-pt jump shot from 10 ft,72,64
3,7:04.0,P. Beverley misses 3-pt jump shot from 26 ft,,72,64
3,7:01.0,,Defensive rebound by I. Rabb,72,64
3,6:52.0,,I. Rabb makes 3-pt jump shot from 25 ft (assist by M. Conley),72,67
3,6:51.0,LA Clippers full timeout,,72,67
3,6:51.0,M. Harrell enters the game for S. Gilgeous-Alexander,,72,67
3,6:51.0,L. Williams enters the game for I. Zubac,,72,67
3,6:34.0,D. Gallinari misses 2-pt jump shot from 12 ft,,72,67
3,6:31.0,,Defensive rebound by J. Holiday,72,67
3,6:15.0,,A. Bradley makes 2-pt jump shot from 7 ft (assist by M. Conley),72,69
3,5:53.0,Turnover by M. Harrell (lost ball; steal by J. Holiday),,72,69
3,5:46.0,,Personal foul by M. Harrell (drawn by J. Noah),72,69
3,5:46.0,J. Green enters the game for P. Beverley,,72,69
3,5:46.0,G. Temple enters the game for D. Gallinari,,72,69
3,5:46.0,T. Wallace enters the game for L. Shamet,,72,69
3,5:46.0,,D. Wright enters the game for J. Holiday,72,69
3,5:33.0,,A. Bradley makes 3-pt jump shot from 25 ft,72,72
3,5:21.0,L. Williams makes 2-pt layup from 2 ft,,74,72
3,5:10.0,,Shooting foul by T. Wallace (drawn by M. Conley),74,72
3,5:10.0,,M. Conley makes free throw 1 of 2,74,73
3,5:10.0,,C. Parsons enters the game for I. Rabb,74,73
3,5:10.0,,M. Conley makes free throw 2 of 2,74,74
3,4:49.0,T. Wallace makes 2-pt jump shot from 12 ft (assist by G. Temple),,76,74
3,4:37.0,,D. Wright misses 2-pt jump shot from 9 ft,76,74
3,4:34.0,Defensive rebound by G. Temple,,76,74
3,4:32.0,Shooting foul by M. Conley (drawn by T. Wallace),,76,74
3,4:32.0,Technical foul by,,76,74
3,4:32.0,L. Williams makes technical free throw,,77,74
3,4:32.0,T. Wallace misses free throw 1 of 2,,77,74
3,4:32.0,Offensive rebound by Team,,77,74
3,4:32.0,,C. Miles enters the game for M. Conley,77,74
3,4:32.0,T. Wallace makes free throw 2 of 2,,78,74
3,4:15.0,,A. Bradley misses 2-pt jump shot from 18 ft,78,74
3,4:13.0,Defensive rebound by T. Wallace,,78,74
3,4:07.0,L. Williams makes 2-pt layup from 1 ft (assist by T. Wallace),,80,74
3,4:07.0,,Memphis full timeout,80,74
3,3:44.0,,J. Noah makes 2-pt layup at rim (assist by C. Parsons),80,76
3,3:17.0,M. Harrell misses 2-pt jump shot from 9 ft,,80,76
3,3:14.0,,Defensive rebound by C. Parsons,80,76
3,3:02.0,,C. Parsons misses 2-pt layup from 2 ft,80,76
3,3:00.0,,Offensive rebound by A. Bradley,80,76
3,3:00.0,,A. Bradley makes 2-pt layup from 1 ft,80,78
3,2:47.0,Turnover by L. Williams (lost ball; steal by J. Noah),,80,78
3,2:42.0,,A. Bradley makes 2-pt jump shot from 23 ft (assist by J. Noah),80,80
3,2:20.0,J. Green misses 3-pt jump shot from 27 ft,,80,80
3,2:07.0,,Defensive rebound by D. Wright,80,80
3,2:02.0,,D. Wright misses 2-pt layup from 1 ft,80,80
3,2:00.0,Defensive rebound by T. Wallace,,80,80
3,1:42.0,J. Green misses 2-pt hook shot from 3 ft (block by J. Noah),,80,80
3,1:39.0,,Defensive rebound by D. Wright,80,80
3,1:38.0,,Personal foul by L. Williams (drawn by A. Bradley),80,80
3,1:35.0,,Personal foul by T. Wallace (drawn by A. Bradley),80,80
3,1:35.0,,A. Bradley makes free throw 1 of 2,80,81
3,1:35.0,,A. Bradley makes free throw 2 of 2,80,82
3,1:24.0,Personal foul by A. Bradley (drawn by L. Williams),,80,82
3,1:16.0,Turnover by L. Williams (lost ball; steal by C. Parsons),,80,82
3,1:15.0,,Personal take foul by M. Harrell (drawn by J. Noah),80,82
3,1:15.0,,J. Noah makes free throw 1 of 2,80,83
3,1:15.0,,M. Conley enters the game for A. Bradley,80,83
3,1:15.0,,J. Noah makes free throw 2 of 2,80,84
3,1:04.0,G. Temple misses 3-pt jump shot from 25 ft,,80,84
3,1:01.0,,Defensive rebound by J. Noah,80,84
3,0:54.0,,C. Miles misses 3-pt jump shot from 23 ft,80,84
3,0:51.0,Defensive rebound by M. Harrell,,80,84
3,0:47.0,Personal foul by J. Noah (drawn by L. Williams),,80,84
3,0:47.0,L. Williams makes free throw 1 of 2,,81,84
3,0:47.0,L. Williams misses free throw 2 of 2,,81,84
3,0:46.0,,Defensive rebound by J. Noah,81,84
3,0:38.0,,C. Parsons misses 2-pt jump shot from 8 ft,81,84
3,0:34.0,Defensive rebound by L. Williams,,81,84
3,0:30.0,L. Williams misses 2-pt layup from 3 ft (block by M. Conley),,81,84
3,0:30.0,Offensive rebound by Team,,81,84
3,0:30.0,Technical foul by L. Williams,,81,84
3,0:30.0,,M. Conley misses technical free throw,81,84
3,0:30.0,Defensive rebound by Team,,81,84
3,0:19.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,83,84
3,0:04.0,,Shooting foul by T. Wallace (drawn by M. Conley),83,84
3,0:04.0,,M. Conley makes free throw 1 of 2,83,85
3,0:04.0,,J. Holiday enters the game for C. Parsons,83,85
3,0:04.0,,M. Conley makes free throw 2 of 2,83,86
3,0:00.0,M. Harrell misses 3-pt jump shot from 26 ft,,83,86
3,0:00.0,Offensive rebound by Team,,83,86
4,11:46.0,L. Williams misses 2-pt layup from 8 ft,,83,86
4,11:46.0,Offensive rebound by Team,,83,86
4,11:46.0,,Loose ball foul by J. Holiday (drawn by M. Harrell),83,86
4,11:29.0,Turnover by T. Wallace (lost ball; steal by J. Holiday),,83,86
4,11:25.0,,C. Miles misses 3-pt jump shot from 25 ft,83,86
4,11:21.0,Defensive rebound by G. Temple,,83,86
4,11:14.0,L. Williams misses 2-pt jump shot from 10 ft (block by C. Miles),,83,86
4,11:08.0,Offensive rebound by L. Williams,,83,86
4,11:01.0,M. Harrell makes 2-pt jump shot from 17 ft,,85,86
4,11:01.0,P. Beverley enters the game for G. Temple,,85,86
4,11:01.0,L. Shamet enters the game for T. Wallace,,85,86
4,10:34.0,,M. Conley misses 3-pt jump shot from 24 ft,85,86
4,10:32.0,Defensive rebound by J. Green,,85,86
4,10:24.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,87,86
4,10:08.0,,D. Wright misses 3-pt jump shot from 27 ft,87,86
4,10:06.0,Defensive rebound by L. Williams,,87,86
4,9:55.0,Offensive foul by M. Harrell (drawn by C. Miles),,87,86
4,9:55.0,Turnover by M. Harrell (offensive foul),,87,86
