QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
2,8:32.0,D. Jones makes 3-pt jump shot from 25 ft (assist by J. Richardson),,32,30
2,8:11.0,,Turnover by L. Nance (bad pass),32,30
2,8:11.0,,C. Osman enters the game for M. Dellavedova,32,30
2,8:11.0,,C. Sexton enters the game for J. Jones,32,30
2,8:11.0,,T. Thompson enters the game for L. Nance,32,30
2,8:05.0,Personal foul by C. Sexton (drawn by T. Johnson),,32,30
2,7:53.0,Turnover by J. Richardson (out of bounds lost ball),,32,30
2,7:34.0,,C. Osman misses 2-pt jump shot from 14 ft,32,30
2,7:31.0,Defensive rebound by K. Olynyk,,32,30
2,7:21.0,K. Olynyk makes 2-pt layup from 2 ft,,34,30
2,7:11.0,,C. Sexton makes 3-pt jump shot from 25 ft,34,33
2,6:53.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,37,33
2,6:26.0,,A. Burks misses 2-pt jump shot from 17 ft,37,33
2,6:26.0,,Offensive rebound by Team,37,33
2,6:26.0,,Turnover by Team (shot clock),37,33
2,6:26.0,,Cleveland full timeout,37,33
2,6:26.0,D. Waiters enters the game for T. Johnson,,37,33
2,6:26.0,J. Winslow enters the game for J. Richardson,,37,33
2,6:26.0,,R. Hood enters the game for P. McCaw,37,33
2,6:09.0,D. Jones makes 3-pt jump shot from 24 ft (assist by D. Waiters),,40,33
2,5:43.0,,C. Sexton makes 2-pt jump shot from 20 ft,40,35
2,5:22.0,Personal foul by A. Burks (drawn by B. Adebayo),,40,35
2,5:17.0,Offensive foul by B. Adebayo (drawn by A. Burks),,40,35
2,5:17.0,Turnover by B. Adebayo (offensive foul),,40,35
2,5:17.0,H. Whiteside enters the game for B. Adebayo,,40,35
2,4:59.0,,Turnover by R. Hood (lost ball; steal by D. Jones),40,35
2,4:53.0,Turnover by J. Winslow (bad pass; steal by R. Hood),,40,35
2,4:46.0,,Turnover by T. Thompson (bad pass; steal by D. Jones),40,35
2,4:44.0,D. Jones makes 2-pt layup from 1 ft,,42,35
2,4:44.0,Shooting foul by C. Sexton (drawn by D. Jones),,42,35
2,4:44.0,D. Jones misses free throw 1 of 1,,42,35
2,4:42.0,,Defensive rebound by A. Burks,42,35
2,4:25.0,,A. Burks misses 3-pt jump shot from 28 ft,42,35
2,4:22.0,Defensive rebound by J. Winslow,,42,35
2,4:15.0,D. Waiters makes 2-pt jump shot from 22 ft (assist by J. Winslow),,44,35
2,4:00.0,,C. Sexton misses 3-pt jump shot from 26 ft,44,35
2,3:58.0,Defensive rebound by D. Jones,,44,35
2,3:50.0,Personal foul by A. Burks (drawn by K. Olynyk),,44,35
2,3:50.0,K. Olynyk makes free throw 1 of 2,,45,35
2,3:50.0,,J. Clarkson enters the game for A. Burks,45,35
2,3:50.0,,M. Dellavedova enters the game for C. Sexton,45,35
2,3:50.0,K. Olynyk makes free throw 2 of 2,,46,35
2,3:34.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by J. Clarkson),46,38
2,3:18.0,D. Waiters makes 3-pt jump shot from 29 ft (assist by J. Winslow),,49,38
2,2:56.0,,J. Clarkson misses 3-pt jump shot from 25 ft,49,38
2,2:53.0,Defensive rebound by D. Waiters,,49,38
2,2:41.0,H. Whiteside makes 2-pt dunk from 2 ft,,51,38
2,2:27.0,,T. Thompson misses 2-pt hook shot from 9 ft,51,38
2,2:25.0,Defensive rebound by K. Olynyk,,51,38
2,2:11.0,D. Jones makes 3-pt jump shot from 23 ft (assist by J. Winslow),,54,38
2,2:10.0,,Cleveland full timeout,54,38
2,1:53.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by J. Clarkson),54,41
2,1:30.0,H. Whiteside makes 2-pt layup from 3 ft (assist by D. Waiters),,56,41
2,1:17.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,56,41
2,1:17.0,Defensive rebound by H. Whiteside,,56,41
2,1:06.0,D. Waiters makes 2-pt layup from 1 ft,,58,41
2,0:50.0,,Shooting foul by H. Whiteside (drawn by T. Thompson),58,41
2,0:50.0,,T. Thompson makes free throw 1 of 2,58,42
2,0:50.0,,T. Thompson makes free throw 2 of 2,58,43
2,0:32.0,J. Winslow misses 2-pt jump shot from 15 ft,,58,43
2,0:29.0,Offensive rebound by H. Whiteside,,58,43
2,0:22.0,D. Waiters misses 3-pt jump shot from 26 ft,,58,43
2,0:19.0,,Defensive rebound by Team,58,43
2,0:03.0,,J. Clarkson misses 3-pt jump shot from 24 ft,58,43
2,0:01.0,Defensive rebound by D. Jones,,58,43
2,0:00.0,D. Waiters misses 3-pt jump shot from 37 ft,,58,43
2,0:00.0,Offensive rebound by Team,,58,43
3,11:45.0,R. McGruder misses 2-pt jump shot from 8 ft,,58,43
3,11:42.0,,Defensive rebound by T. Thompson,58,43
3,11:21.0,,T. Thompson misses 2-pt jump shot from 8 ft,58,43
3,11:19.0,Defensive rebound by H. Whiteside,,58,43
3,11:04.0,H. Whiteside makes 2-pt layup from 9 ft (assist by J. Johnson),,60,43
3,10:44.0,,A. Burks makes 2-pt jump shot from 19 ft,60,45
3,10:23.0,J. Richardson misses 2-pt jump shot from 11 ft,,60,45
3,10:20.0,,Defensive rebound by C. Sexton,60,45
3,10:15.0,,Personal foul by J. Richardson (drawn by T. Thompson),60,45
3,10:08.0,,C. Sexton misses 2-pt layup from 1 ft (block by H. Whiteside),60,45
3,10:06.0,Defensive rebound by J. Winslow,,60,45
3,10:02.0,J. Winslow misses 2-pt layup from 1 ft,,60,45
3,9:57.0,Offensive rebound by R. McGruder,,60,45
3,9:57.0,R. McGruder makes 2-pt dunk from 1 ft,,62,45
3,9:46.0,,C. Sexton makes 2-pt jump shot from 19 ft,62,47
3,9:37.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by J. Winslow),,65,47
3,9:16.0,,R. Hood makes 2-pt jump shot from 22 ft,65,49
3,9:02.0,J. Richardson misses 2-pt jump shot from 16 ft,,65,49
3,8:58.0,,Defensive rebound by C. Osman,65,49
3,8:48.0,,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Osman),65,52
3,8:25.0,J. Winslow makes 2-pt jump shot from 9 ft,,67,52
3,8:16.0,,Personal foul by R. McGruder (drawn by C. Sexton),67,52
3,8:03.0,,Turnover by C. Sexton (bad pass),67,52
3,7:50.0,Turnover by H. Whiteside (lost ball; steal by T. Thompson),,67,52
3,7:47.0,,Shooting foul by J. Johnson (drawn by T. Thompson),67,52
3,7:47.0,,T. Thompson makes free throw 1 of 2,67,53
3,7:47.0,,T. Thompson makes free throw 2 of 2,67,54
3,7:35.0,J. Johnson misses 3-pt jump shot from 23 ft,,67,54
3,7:34.0,Offensive rebound by Team,,67,54
3,7:17.0,J. Richardson makes 2-pt jump shot from 3 ft (assist by J. Johnson),,69,54
3,7:08.0,,R. Hood misses 2-pt jump shot from 20 ft,69,54
3,7:06.0,Defensive rebound by J. Johnson,,69,54
3,6:58.0,J. Johnson makes 2-pt jump shot from 10 ft,,71,54
3,6:58.0,,Cleveland full timeout,71,54
3,6:41.0,,C. Sexton makes 2-pt jump shot from 20 ft,71,56
3,6:20.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by J. Richardson),,74,56
3,6:01.0,,C. Sexton misses 2-pt layup from 2 ft,74,56
3,6:00.0,Defensive rebound by Team,,74,56
3,6:00.0,,Loose ball foul by T. Thompson (drawn by H. Whiteside),74,56
3,6:00.0,,J. Clarkson enters the game for R. Hood,74,56
3,6:00.0,,L. Nance enters the game for T. Thompson,74,56
3,5:48.0,H. Whiteside misses 2-pt hook shot from 12 ft,,74,56
3,5:46.0,,Defensive rebound by A. Burks,74,56
3,5:34.0,,Shooting foul by J. Richardson (drawn by C. Osman),74,56
3,5:34.0,,C. Osman makes free throw 1 of 3,74,57
3,5:34.0,,C. Osman makes free throw 2 of 3,74,58
3,5:34.0,,C. Osman makes free throw 3 of 3,74,59
3,5:23.0,J. Winslow misses 2-pt layup from 1 ft,,74,59
3,5:22.0,Offensive rebound by H. Whiteside,,74,59
3,5:22.0,H. Whiteside misses 2-pt layup from 1 ft,,74,59
3,5:22.0,Offensive rebound by H. Whiteside,,74,59
3,5:22.0,H. Whiteside misses 2-pt layup from 1 ft (block by L. Nance),,74,59
3,5:20.0,,Defensive rebound by C. Sexton,74,59
3,5:16.0,,C. Sexton misses 2-pt jump shot from 2 ft (block by R. McGruder),74,59
3,5:15.0,Defensive rebound by Team,,74,59
3,4:53.0,J. Richardson makes 2-pt jump shot from 8 ft (assist by J. Winslow),,76,59
3,4:42.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),76,62
3,4:14.0,J. Johnson misses 2-pt layup from 1 ft,,76,62
3,4:11.0,,Defensive rebound by L. Nance,76,62
3,4:02.0,,C. Osman misses 3-pt jump shot from 24 ft,76,62
3,4:00.0,Defensive rebound by R. McGruder,,76,62
3,3:56.0,Miami full timeout,,76,62
3,3:56.0,T. Johnson enters the game for J. Johnson,,76,62
3,3:56.0,D. Jones enters the game for J. Richardson,,76,62
3,3:56.0,,M. Dellavedova enters the game for A. Burks,76,62
3,3:56.0,,J. Jones enters the game for C. Osman,76,62
3,3:56.0,,P. McCaw enters the game for C. Sexton,76,62
3,3:49.0,R. McGruder makes 3-pt jump shot from 27 ft (assist by J. Winslow),,79,62
3,3:25.0,,P. McCaw makes 2-pt layup from 2 ft,79,64
3,3:10.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by D. Jones),,82,64
3,2:51.0,,M. Dellavedova makes 2-pt layup from 3 ft (assist by J. Clarkson),82,66
3,2:35.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),,84,66
3,2:18.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,84,66
3,2:18.0,,Offensive rebound by Team,84,66
3,2:18.0,,Personal foul by T. Johnson (drawn by J. Jones),84,66
3,2:18.0,,J. Jones makes free throw 1 of 2,84,67
3,2:18.0,B. Adebayo enters the game for H. Whiteside,,84,67
3,2:18.0,,J. Jones makes free throw 2 of 2,84,68
3,1:58.0,T. Johnson makes 2-pt jump shot from 20 ft (assist by B. Adebayo),,86,68
3,1:40.0,,J. Jones makes 3-pt jump shot from 23 ft (assist by P. McCaw),86,71
3,1:28.0,Shooting foul by L. Nance (drawn by J. Winslow),,86,71
3,1:28.0,J. Winslow makes free throw 1 of 2,,87,71
3,1:28.0,K. Olynyk enters the game for R. McGruder,,87,71
3,1:28.0,J. Winslow makes free throw 2 of 2,,88,71
3,1:16.0,,Turnover by J. Jones (traveling),88,71
3,1:16.0,J. Richardson enters the game for J. Winslow,,88,71
3,1:07.0,Turnover by J. Richardson (bad pass; steal by L. Nance),,88,71
3,1:00.0,,J. Clarkson makes 2-pt jump shot from 13 ft (assist by L. Nance),88,73
3,0:33.0,D. Jones misses 2-pt layup from 1 ft,,88,73
3,0:32.0,Offensive rebound by K. Olynyk,,88,73
3,0:25.0,T. Johnson makes 2-pt layup from 1 ft (assist by J. Richardson),,90,73
3,0:06.0,,M. Dellavedova misses 2-pt jump shot from 16 ft,90,73
3,0:03.0,Defensive rebound by T. Johnson,,90,73
3,0:00.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by T. Johnson),,93,73
4,11:48.0,,J. Jones misses 3-pt jump shot from 26 ft,93,73
4,11:46.0,Defensive rebound by J. Richardson,,93,73
4,11:28.0,Turnover by B. Adebayo (bad pass; steal by L. Nance),,93,73
4,11:22.0,,J. Jones makes 2-pt dunk from 1 ft (assist by L. Nance),93,75
4,10:59.0,K. Olynyk makes 3-pt jump shot from 24 ft (assist by D. Jones),,96,75
4,10:32.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by L. Nance),96,78
4,10:13.0,T. Johnson misses 3-pt jump shot from 26 ft,,96,78
4,10:11.0,,Defensive rebound by L. Nance,96,78
4,10:06.0,,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by L. Nance),96,81
4,9:43.0,D. Jones misses 3-pt jump shot from 25 ft,,96,81
4,9:39.0,Offensive rebound by D. Jones,,96,81
4,9:35.0,J. Richardson misses 3-pt jump shot from 24 ft,,96,81
4,9:33.0,,Defensive rebound by Team,96,81
4,9:33.0,,R. Hood enters the game for J. Jones,96,81
4,9:16.0,,Turnover by M. Dellavedova (bad pass; steal by B. Adebayo),96,81
4,9:09.0,Personal foul by J. Clarkson (drawn by K. Olynyk),,96,81
4,9:09.0,,C. Sexton enters the game for M. Dellavedova,96,81
4,8:54.0,Shooting foul by L. Nance (drawn by D. Jones),,96,81
4,8:54.0,D. Jones makes free throw 1 of 2,,97,81
4,8:54.0,D. Jones makes free throw 2 of 2,,98,81
4,8:34.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by L. Nance),98,84
4,8:15.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Richardson),,101,84
4,8:01.0,,L. Nance makes 2-pt layup from 2 ft (assist by J. Clarkson),101,86
4,7:41.0,J. Richardson makes 2-pt jump shot from 10 ft,,103,86
4,7:31.0,,J. Clarkson misses 3-pt jump shot from 28 ft,103,86
4,7:28.0,Defensive rebound by T. Johnson,,103,86
4,7:15.0,J. Richardson misses 3-pt jump shot from 26 ft,,103,86
4,7:11.0,,Defensive rebound by C. Sexton,103,86
4,7:05.0,,L. Nance makes 2-pt dunk from 2 ft (assist by J. Clarkson),103,88
4,7:05.0,Miami full timeout,,103,88
4,7:05.0,,A. Burks enters the game for P. McCaw,103,88
4,6:42.0,B. Adebayo makes 2-pt layup at rim (assist by K. Olynyk),,105,88
4,6:21.0,,C. Sexton misses 2-pt jump shot from 20 ft,105,88
4,6:19.0,Defensive rebound by K. Olynyk,,105,88
4,6:15.0,Offensive foul by T. Johnson (drawn by C. Sexton),,105,88
4,6:15.0,Turnover by T. Johnson (offensive foul),,105,88
4,6:00.0,,J. Clarkson misses 3-pt jump shot from 26 ft,105,88
4,5:57.0,Defensive rebound by K. Olynyk,,105,88
4,5:47.0,Personal foul by L. Nance (drawn by B. Adebayo),,105,88
4,5:47.0,,C. Osman enters the game for J. Clarkson,105,88
4,5:37.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by T. Johnson),,107,88
4,5:24.0,,A. Burks makes 2-pt jump shot from 12 ft (assist by R. Hood),107,90
4,5:10.0,Personal foul by R. Hood (drawn by T. Johnson),,107,90
4,5:10.0,,T. Thompson enters the game for L. Nance,107,90
4,4:56.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by T. Johnson),,110,90
4,4:41.0,,C. Osman misses 3-pt jump shot from 25 ft,110,90
4,4:38.0,Defensive rebound by J. Richardson,,110,90
4,4:16.0,T. Johnson makes 2-pt layup from 1 ft (assist by B. Adebayo),,112,90
4,4:16.0,,Cleveland full timeout,112,90
4,4:16.0,D. Waiters enters the game for J. Richardson,,112,90
4,3:56.0,,C. Sexton misses 2-pt jump shot from 7 ft,112,90
4,3:55.0,,Offensive rebound by T. Thompson,112,90
4,3:55.0,,T. Thompson misses 2-pt layup at rim,112,90
4,3:54.0,Defensive rebound by B. Adebayo,,112,90
4,3:37.0,T. Johnson makes 2-pt jump shot from 18 ft (assist by B. Adebayo),,114,90
4,3:18.0,,Shooting foul by B. Adebayo (drawn by T. Thompson),114,90
4,3:18.0,,T. Thompson misses free throw 1 of 2,114,90
4,3:18.0,,Offensive rebound by Team,114,90
4,3:18.0,,J. Blossomgame enters the game for R. Hood,114,90
4,3:18.0,,T. Thompson misses free throw 2 of 2,114,90
4,3:16.0,Defensive rebound by B. Adebayo,,114,90
4,3:08.0,Personal foul by C. Sexton (drawn by T. Johnson),,114,90
4,3:08.0,T. Johnson misses free throw 1 of 2,,114,90
4,3:08.0,Offensive rebound by Team,,114,90
4,3:08.0,T. Johnson makes free throw 2 of 2,,115,90
4,2:51.0,,T. Thompson makes 2-pt hook shot from 14 ft (assist by C. Osman),115,92
4,2:39.0,D. Waiters misses 2-pt layup from 1 ft,,115,92
4,2:39.0,Offensive rebound by Team,,115,92
4,2:39.0,,Loose ball foul by T. Thompson (drawn by D. Waiters),115,92
4,2:39.0,D. Waiters misses free throw 1 of 2,,115,92
4,2:39.0,Offensive rebound by Team,,115,92
4,2:39.0,,C. Frye enters the game for A. Burks,115,92
4,2:39.0,,J. Jones enters the game for C. Osman,115,92
4,2:39.0,,P. McCaw enters the game for T. Thompson,115,92
4,2:39.0,D. Waiters misses free throw 2 of 2,,115,92
4,2:36.0,,Defensive rebound by J. Blossomgame,115,92
4,2:28.0,,C. Sexton misses 3-pt jump shot from 26 ft,115,92
4,2:25.0,Defensive rebound by D. Waiters,,115,92
4,2:15.0,B. Adebayo makes 2-pt layup from 1 ft (assist by D. Waiters),,117,92
4,2:05.0,,C. Frye misses 3-pt jump shot from 24 ft,117,92
4,2:05.0,,Offensive rebound by Team,117,92
4,2:05.0,Loose ball foul by B. Adebayo (drawn by J. Jones),,117,92
4,1:47.0,,C. Frye misses 2-pt jump shot from 23 ft,117,92
4,1:44.0,Defensive rebound by K. Olynyk,,117,92
4,1:34.0,D. Waiters misses 3-pt jump shot from 26 ft,,117,92
4,1:31.0,,Defensive rebound by C. Sexton,117,92
4,1:24.0,,J. Jones misses 2-pt jump shot from 10 ft,117,92
4,1:21.0,Defensive rebound by T. Johnson,,117,92
4,1:14.0,T. Johnson misses 3-pt jump shot from 28 ft,,117,92
4,1:13.0,,Defensive rebound by J. Jones,117,92
4,1:04.0,,C. Sexton misses 2-pt jump shot from 18 ft,117,92
4,1:00.0,Defensive rebound by T. Johnson,,117,92
4,0:43.0,D. Waiters misses 3-pt jump shot from 31 ft,,117,92
4,0:40.0,,Defensive rebound by J. Blossomgame,117,92
4,0:31.0,,Turnover by J. Blossomgame (bad pass; steal by T. Johnson),117,92
4,0:26.0,D. Jones misses 2-pt layup at rim,,117,92
4,0:24.0,Offensive rebound by D. Jones,,117,92
4,0:11.0,D. Waiters misses 3-pt jump shot from 26 ft,,117,92
4,0:11.0,,Defensive rebound by Team,117,92
4,0:11.0,Loose ball foul by D. Jones (drawn by J. Blossomgame),,117,92
