QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
2,9:30.0,,Shooting foul by L. Walker (drawn by E. Gordon),32,41
2,9:30.0,,E. Gordon makes free throw 1 of 1,32,42
2,9:22.0,Shooting foul by P. Tucker (drawn by L. Walker),,32,42
2,9:22.0,L. Walker makes free throw 1 of 2,,33,42
2,9:22.0,D. White enters the game for P. Mills,,33,42
2,9:22.0,,I. Shumpert enters the game for G. Green,33,42
2,9:22.0,L. Walker makes free throw 2 of 2,,34,42
2,9:09.0,,E. Gordon misses 3-pt jump shot from 27 ft,34,42
2,9:08.0,Defensive rebound by R. Gay,,34,42
2,8:58.0,R. Gay makes 2-pt jump shot from 6 ft,,36,42
2,8:49.0,,C. Paul makes 2-pt jump shot from 13 ft,36,44
2,8:33.0,B. Forbes misses 2-pt jump shot from 9 ft (block by C. Paul),,36,44
2,8:32.0,,Defensive rebound by I. Shumpert,36,44
2,8:18.0,,I. Shumpert misses 3-pt jump shot from 27 ft,36,44
2,8:17.0,Defensive rebound by L. Walker,,36,44
2,8:09.0,L. Walker misses 2-pt jump shot from 10 ft,,36,44
2,8:08.0,,Defensive rebound by C. Capela,36,44
2,7:56.0,,E. Gordon misses 2-pt layup from 6 ft,36,44
2,7:55.0,,Offensive rebound by E. Gordon,36,44
2,7:48.0,,P. Tucker misses 3-pt jump shot from 27 ft,36,44
2,7:47.0,Defensive rebound by D. White,,36,44
2,7:28.0,D. White misses 3-pt jump shot from 28 ft,,36,44
2,7:27.0,,Defensive rebound by P. Tucker,36,44
2,7:06.0,,C. Capela misses 2-pt hook shot from 10 ft,36,44
2,7:04.0,,Offensive rebound by C. Capela,36,44
2,6:48.0,,I. Shumpert misses 3-pt jump shot from 27 ft,36,44
2,6:47.0,Defensive rebound by D. White,,36,44
2,6:34.0,L. Aldridge misses 2-pt hook shot from 8 ft,,36,44
2,6:34.0,Offensive rebound by D. White,,36,44
2,6:34.0,D. White misses 2-pt layup from 2 ft,,36,44
2,6:33.0,,Defensive rebound by C. Capela,36,44
2,6:26.0,,E. Gordon misses 3-pt jump shot from 28 ft,36,44
2,6:25.0,Defensive rebound by R. Gay,,36,44
2,6:13.0,B. Forbes makes 2-pt jump shot from 9 ft (assist by L. Aldridge),,38,44
2,6:02.0,,C. Paul makes 2-pt jump shot from 11 ft,38,46
2,5:59.0,San Antonio full timeout,,38,46
2,5:59.0,D. DeRozan enters the game for L. Walker,,38,46
2,5:59.0,,J. Harden enters the game for C. Paul,38,46
2,5:42.0,D. White makes 2-pt layup from 4 ft (assist by L. Aldridge),,40,46
2,5:27.0,,J. Harden misses 2-pt layup from 2 ft (block by L. Aldridge),40,46
2,5:25.0,,Offensive rebound by Team,40,46
2,5:25.0,D. Bertāns enters the game for R. Gay,,40,46
2,5:15.0,,J. Harden misses 2-pt jump shot from 12 ft,40,46
2,5:13.0,Defensive rebound by D. Bertāns,,40,46
2,4:58.0,D. Bertāns misses 3-pt jump shot from 27 ft,,40,46
2,4:57.0,,Defensive rebound by J. Harden,40,46
2,4:49.0,,J. Harden misses 2-pt jump shot from 5 ft,40,46
2,4:48.0,Defensive rebound by D. DeRozan,,40,46
2,4:28.0,D. Bertāns misses 3-pt jump shot from 28 ft,,40,46
2,4:27.0,,Defensive rebound by J. Harden,40,46
2,4:20.0,,E. Gordon makes 3-pt jump shot from 29 ft (assist by P. Tucker),40,49
2,3:59.0,D. White misses 2-pt hook shot from 6 ft,,40,49
2,3:58.0,,Defensive rebound by C. Capela,40,49
2,3:52.0,,J. Harden makes 3-pt jump shot from 28 ft,40,52
2,3:41.0,D. DeRozan misses 2-pt jump shot from 9 ft,,40,52
2,3:40.0,,Defensive rebound by C. Capela,40,52
2,3:34.0,,Offensive foul by E. Gordon (drawn by D. White),40,52
2,3:34.0,,Turnover by E. Gordon (offensive foul),40,52
2,3:23.0,D. DeRozan makes 2-pt layup from 3 ft,,42,52
2,3:23.0,Shooting foul by C. Capela (drawn by D. DeRozan),,42,52
2,3:23.0,D. DeRozan makes free throw 1 of 1,,43,52
2,3:03.0,,I. Shumpert misses 3-pt jump shot from 28 ft,43,52
2,3:02.0,Defensive rebound by B. Forbes,,43,52
2,2:46.0,D. White misses 2-pt layup from 6 ft,,43,52
2,2:45.0,,Defensive rebound by P. Tucker,43,52
2,2:39.0,,Shooting foul by D. DeRozan (drawn by J. Harden),43,52
2,2:39.0,,J. Harden makes free throw 1 of 2,43,53
2,2:39.0,M. Belinelli enters the game for D. DeRozan,,43,53
2,2:39.0,P. Mills enters the game for D. White,,43,53
2,2:39.0,,C. Paul enters the game for I. Shumpert,43,53
2,2:39.0,,J. Harden makes free throw 2 of 2,43,54
2,2:22.0,L. Aldridge misses 2-pt jump shot from 13 ft,,43,54
2,2:21.0,,Defensive rebound by C. Capela,43,54
2,2:05.0,,J. Harden misses 2-pt jump shot from 9 ft,43,54
2,2:04.0,Defensive rebound by B. Forbes,,43,54
2,2:00.0,M. Belinelli makes 2-pt layup from 3 ft (assist by B. Forbes),,45,54
2,1:38.0,,C. Capela makes 2-pt layup from 3 ft (assist by C. Paul),45,56
2,1:38.0,,Shooting foul by D. Bertāns (drawn by C. Capela),45,56
2,1:38.0,,C. Capela makes free throw 1 of 1,45,57
2,1:26.0,B. Forbes misses 2-pt layup from 5 ft,,45,57
2,1:26.0,Offensive rebound by L. Aldridge,,45,57
2,1:26.0,L. Aldridge misses 2-pt layup from 2 ft,,45,57
2,1:25.0,,Defensive rebound by C. Paul,45,57
2,1:12.0,,C. Capela misses 2-pt layup from 5 ft (block by L. Aldridge),45,57
2,1:12.0,Defensive rebound by D. Bertāns,,45,57
2,1:08.0,M. Belinelli makes 2-pt layup from 3 ft (assist by D. Bertāns),,47,57
2,0:56.0,,J. Harden misses 2-pt layup from 4 ft (block by L. Aldridge),47,57
2,0:55.0,Defensive rebound by M. Belinelli,,47,57
2,0:49.0,P. Mills misses 3-pt jump shot from 23 ft,,47,57
2,0:49.0,,Defensive rebound by C. Capela,47,57
2,0:35.0,,J. Harden makes 3-pt jump shot from 28 ft,47,60
2,0:19.0,L. Aldridge misses 2-pt jump shot from 7 ft,,47,60
2,0:18.0,,Defensive rebound by C. Capela,47,60
2,0:03.0,,J. Harden makes 2-pt jump shot from 5 ft,47,62
2,0:02.0,Turnover by L. Aldridge (bad pass; steal by C. Paul),,47,62
2,0:00.0,,C. Paul misses 3-pt jump shot from 27 ft,47,62
2,0:00.0,,Offensive rebound by Team,47,62
3,11:49.0,,J. Harden misses 3-pt jump shot from 26 ft,47,62
3,11:48.0,Defensive rebound by Team,,47,62
3,11:39.0,D. DeRozan misses 2-pt jump shot from 18 ft,,47,62
3,11:38.0,,Defensive rebound by C. Capela,47,62
3,11:27.0,,C. Paul makes 2-pt jump shot from 14 ft,47,64
3,11:14.0,Offensive foul by R. Gay (drawn by C. Paul),,47,64
3,11:14.0,Turnover by R. Gay (offensive foul),,47,64
3,10:55.0,,C. Paul makes 2-pt jump shot from 16 ft,47,66
3,10:33.0,L. Aldridge makes 2-pt jump shot from 7 ft (assist by D. DeRozan),,49,66
3,10:27.0,,C. Capela misses 2-pt layup from 3 ft (block by L. Aldridge),49,66
3,10:27.0,Defensive rebound by D. DeRozan,,49,66
3,10:12.0,L. Aldridge makes 2-pt jump shot from 12 ft,,51,66
3,10:02.0,,Personal foul by R. Gay (drawn by J. Harden),51,66
3,10:02.0,D. Bertāns enters the game for R. Gay,,51,66
3,9:50.0,,Offensive foul by C. Paul (drawn by D. Bertāns),51,66
3,9:50.0,,Turnover by C. Paul (offensive foul),51,66
3,9:29.0,Shooting foul by E. Gordon (drawn by D. White),,51,66
3,9:29.0,D. White makes free throw 1 of 3,,52,66
3,9:29.0,D. White makes free throw 2 of 3,,53,66
3,9:29.0,D. White makes free throw 3 of 3,,54,66
3,9:15.0,,C. Paul misses 2-pt jump shot from 7 ft,54,66
3,9:14.0,Defensive rebound by D. White,,54,66
3,8:59.0,L. Aldridge makes 2-pt jump shot from 12 ft,,56,66
3,8:41.0,,P. Tucker misses 3-pt jump shot from 24 ft,56,66
3,8:40.0,Defensive rebound by D. White,,56,66
3,8:34.0,D. White misses 2-pt layup from 10 ft,,56,66
3,8:33.0,,Defensive rebound by C. Capela,56,66
3,8:24.0,,J. Harden makes 3-pt jump shot from 29 ft (assist by C. Paul),56,69
3,8:15.0,Personal foul by C. Paul (drawn by B. Forbes),,56,69
3,8:00.0,D. Bertāns misses 3-pt jump shot from 28 ft,,56,69
3,7:59.0,Offensive rebound by D. White,,56,69
3,7:53.0,D. White makes 2-pt layup from 3 ft,,58,69
3,7:33.0,,C. Capela misses 2-pt dunk from 5 ft (block by D. Bertāns),58,69
3,7:32.0,Defensive rebound by D. DeRozan,,58,69
3,7:24.0,D. White makes 3-pt jump shot from 28 ft (assist by D. DeRozan),,61,69
3,7:23.0,,Houston full timeout,61,69
3,7:23.0,,N. Hilário enters the game for C. Capela,61,69
3,7:09.0,,E. Gordon misses 3-pt jump shot from 28 ft,61,69
3,7:08.0,Defensive rebound by D. White,,61,69
3,6:59.0,L. Aldridge makes 2-pt layup from 3 ft (assist by D. DeRozan),,63,69
3,6:42.0,,E. Gordon makes 3-pt jump shot from 29 ft (assist by P. Tucker),63,72
3,6:29.0,D. DeRozan makes 2-pt layup from 2 ft (assist by L. Aldridge),,65,72
3,6:13.0,,Turnover by J. Harden (bad pass; steal by D. White),65,72
3,6:09.0,B. Forbes makes 2-pt layup from 4 ft (assist by D. White),,67,72
3,5:43.0,,C. Paul misses 2-pt jump shot from 17 ft,67,72
3,5:41.0,Defensive rebound by L. Aldridge,,67,72
3,5:28.0,L. Aldridge misses 2-pt jump shot from 18 ft,,67,72
3,5:28.0,,Defensive rebound by J. Harden,67,72
3,5:16.0,,J. Harden makes 2-pt layup from 5 ft,67,74
3,4:54.0,D. DeRozan misses 2-pt jump shot from 20 ft,,67,74
3,4:53.0,,Defensive rebound by P. Tucker,67,74
3,4:44.0,,J. Harden makes 2-pt jump shot from 8 ft,67,76
3,4:43.0,San Antonio full timeout,,67,76
3,4:43.0,,D. House enters the game for E. Gordon,67,76
3,4:43.0,,I. Shumpert enters the game for C. Paul,67,76
3,4:27.0,D. White misses 3-pt jump shot from 25 ft,,67,76
3,4:26.0,,Defensive rebound by D. House,67,76
3,4:11.0,,D. House misses 3-pt jump shot from 23 ft,67,76
3,4:10.0,Defensive rebound by B. Forbes,,67,76
3,3:57.0,B. Forbes makes 2-pt layup from 5 ft (assist by D. Bertāns),,69,76
3,3:57.0,Shooting foul by J. Harden (drawn by B. Forbes),,69,76
3,3:57.0,M. Belinelli enters the game for L. Aldridge,,69,76
3,3:57.0,R. Gay enters the game for D. Bertāns,,69,76
3,3:57.0,J. Poeltl enters the game for D. DeRozan,,69,76
3,3:57.0,B. Forbes makes free throw 1 of 1,,70,76
3,3:45.0,,J. Harden misses 2-pt jump shot from 9 ft,70,76
3,3:44.0,Defensive rebound by Team,,70,76
3,3:44.0,D. DeRozan enters the game for B. Forbes,,70,76
3,3:36.0,Personal foul by N. Hilário (drawn by D. DeRozan),,70,76
3,3:22.0,D. DeRozan misses 2-pt jump shot from 18 ft,,70,76
3,3:21.0,,Defensive rebound by P. Tucker,70,76
3,3:05.0,,N. Hilário misses 2-pt hook shot from 8 ft,70,76
3,3:04.0,Defensive rebound by D. DeRozan,,70,76
3,2:52.0,Offensive foul by R. Gay (drawn by P. Tucker),,70,76
3,2:52.0,Turnover by R. Gay (offensive foul),,70,76
3,2:52.0,D. Bertāns enters the game for R. Gay,,70,76
3,2:31.0,,J. Harden misses 3-pt jump shot from 26 ft,70,76
3,2:30.0,,Offensive rebound by I. Shumpert,70,76
3,2:24.0,,J. Harden makes 2-pt layup from 7 ft,70,78
3,2:18.0,Personal foul by N. Hilário (drawn by D. White),,70,78
3,2:18.0,D. White makes free throw 1 of 2,,71,78
3,2:18.0,D. White makes free throw 2 of 2,,72,78
3,1:54.0,,J. Harden misses 2-pt jump shot from 17 ft,72,78
3,1:54.0,,Offensive rebound by Team,72,78
3,1:54.0,,Turnover by Team (shot clock),72,78
3,1:47.0,Turnover by J. Poeltl (bad pass),,72,78
3,1:47.0,,C. Capela enters the game for J. Harden,72,78
3,1:47.0,,E. Gordon enters the game for N. Hilário,72,78
3,1:47.0,,C. Paul enters the game for P. Tucker,72,78
3,1:31.0,,E. Gordon misses 2-pt layup from 7 ft,72,78
3,1:30.0,Defensive rebound by J. Poeltl,,72,78
3,1:19.0,D. DeRozan makes 2-pt jump shot from 5 ft,,74,78
3,1:02.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),74,81
3,0:50.0,D. DeRozan makes 2-pt jump shot from 11 ft,,76,81
3,0:50.0,Shooting foul by I. Shumpert (drawn by D. DeRozan),,76,81
3,0:50.0,P. Mills enters the game for D. White,,76,81
3,0:50.0,D. DeRozan makes free throw 1 of 1,,77,81
3,0:38.0,,Turnover by C. Capela (lost ball; steal by D. DeRozan),77,81
3,0:32.0,D. Bertāns misses 3-pt jump shot from 27 ft,,77,81
3,0:31.0,Offensive rebound by J. Poeltl,,77,81
3,0:31.0,J. Poeltl misses 2-pt layup from 1 ft,,77,81
3,0:30.0,Offensive rebound by J. Poeltl,,77,81
3,0:30.0,J. Poeltl makes 2-pt layup from 1 ft,,79,81
3,0:08.0,,C. Paul misses 2-pt jump shot from 15 ft,79,81
3,0:08.0,Defensive rebound by D. DeRozan,,79,81
3,0:01.0,D. Bertāns misses 3-pt jump shot from 27 ft,,79,81
3,0:00.0,Offensive rebound by J. Poeltl,,79,81
3,0:00.0,J. Poeltl makes 2-pt layup from 1 ft,,81,81
3,0:00.0,,C. Paul misses 3-pt jump shot from 53 ft,81,81
3,0:00.0,,Offensive rebound by Team,81,81
4,11:47.0,M. Belinelli misses 2-pt jump shot from 22 ft,,81,81
4,11:46.0,Offensive rebound by J. Poeltl,,81,81
4,11:37.0,P. Mills misses 2-pt jump shot from 8 ft,,81,81
4,11:36.0,,Defensive rebound by E. Gordon,81,81
4,11:30.0,,G. Green makes 3-pt jump shot from 29 ft (assist by C. Paul),81,84
4,11:16.0,J. Poeltl makes 2-pt jump shot from 6 ft (assist by D. Bertāns),,83,84
4,11:04.0,,D. House misses 3-pt jump shot from 23 ft,83,84
4,11:02.0,,Offensive rebound by C. Capela,83,84
4,10:59.0,,E. Gordon misses 3-pt jump shot from 23 ft,83,84
4,10:58.0,Defensive rebound by J. Poeltl,,83,84
4,10:47.0,P. Mills makes 2-pt layup from 4 ft,,85,84
4,10:32.0,,Personal foul by D. Bertāns (drawn by C. Paul),85,84
4,10:22.0,,C. Paul makes 2-pt jump shot from 17 ft,85,86
4,10:08.0,B. Forbes makes 2-pt layup from 3 ft (assist by P. Mills),,87,86
4,9:58.0,,C. Capela makes 2-pt dunk from 4 ft (assist by C. Paul),87,88
4,9:39.0,Personal foul by C. Capela (drawn by D. Bertāns),,87,88
4,9:30.0,B. Forbes makes 2-pt layup from 4 ft (assist by P. Mills),,89,88
4,9:13.0,,Shooting foul by J. Poeltl (drawn by D. House),89,88
4,9:13.0,,D. House misses free throw 1 of 2,89,88
4,9:13.0,,Offensive rebound by Team,89,88
4,9:13.0,,D. House makes free throw 2 of 2,89,89
4,8:55.0,Shooting foul by E. Gordon (drawn by M. Belinelli),,89,89
4,8:55.0,M. Belinelli makes free throw 1 of 2,,90,89
4,8:55.0,M. Belinelli makes free throw 2 of 2,,91,89
4,8:38.0,,D. House misses 3-pt jump shot from 23 ft,91,89
4,8:37.0,Defensive rebound by B. Forbes,,91,89
4,8:28.0,Turnover by B. Forbes (bad pass),,91,89
4,8:28.0,L. Aldridge enters the game for J. Poeltl,,91,89
4,8:28.0,,J. Harden enters the game for D. House,91,89
4,8:19.0,,Shooting foul by L. Aldridge (drawn by G. Green),91,89
4,8:19.0,,G. Green makes free throw 1 of 2,91,90
4,8:19.0,D. White enters the game for P. Mills,,91,90
4,8:19.0,,P. Tucker enters the game for E. Gordon,91,90
4,8:19.0,,G. Green makes free throw 2 of 2,91,91
4,8:07.0,M. Belinelli makes 2-pt jump shot from 11 ft (assist by L. Aldridge),,93,91
4,8:07.0,Shooting foul by G. Green (drawn by M. Belinelli),,93,91
4,8:07.0,M. Belinelli makes free throw 1 of 1,,94,91
4,7:45.0,,P. Tucker misses 3-pt jump shot from 22 ft,94,91
4,7:44.0,Defensive rebound by D. Bertāns,,94,91
4,7:27.0,Turnover by D. White (bad pass; steal by J. Harden),,94,91
4,7:20.0,,J. Harden misses 2-pt jump shot from 10 ft,94,91
4,7:18.0,Defensive rebound by Team,,94,91
4,7:18.0,,D. House enters the game for G. Green,94,91
4,7:00.0,L. Aldridge makes 2-pt jump shot from 11 ft,,96,91
4,6:48.0,,C. Paul misses 2-pt jump shot from 10 ft,96,91
4,6:47.0,Defensive rebound by B. Forbes,,96,91
4,6:30.0,D. Bertāns misses 3-pt jump shot from 27 ft,,96,91
4,6:28.0,,Defensive rebound by J. Harden,96,91
4,6:15.0,,Shooting foul by B. Forbes (drawn by J. Harden),96,91
4,6:15.0,,Houston full timeout,96,91
4,6:15.0,D. DeRozan enters the game for M. Belinelli,,96,91
4,6:15.0,R. Gay enters the game for D. Bertāns,,96,91
4,6:15.0,,E. Gordon enters the game for C. Capela,96,91
4,6:15.0,,N. Hilário enters the game for C. Paul,96,91
4,6:15.0,,J. Harden makes free throw 1 of 3,96,92
4,6:15.0,,J. Harden makes free throw 2 of 3,96,93
4,6:15.0,,J. Harden misses free throw 3 of 3,96,93
4,6:15.0,Defensive rebound by R. Gay,,96,93
4,5:55.0,Turnover by R. Gay (bad pass),,96,93
4,5:32.0,,Shooting foul by L. Aldridge (drawn by N. Hilário),96,93
4,5:32.0,,N. Hilário misses free throw 1 of 2,96,93
4,5:32.0,,Offensive rebound by Team,96,93
4,5:32.0,,N. Hilário makes free throw 2 of 2,96,94
4,5:09.0,D. DeRozan makes 2-pt jump shot from 14 ft,,98,94
4,4:52.0,,Turnover by D. House (lost ball; steal by D. White),98,94
4,4:47.0,D. White makes 2-pt layup from 3 ft,,100,94
4,4:23.0,,J. Harden misses 3-pt jump shot from 26 ft,100,94
4,4:22.0,Defensive rebound by R. Gay,,100,94
