QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
1,1:39.0,,T. Maker enters the game for B. Griffin,15,20
1,1:39.0,,I. Smith enters the game for R. Jackson,15,20
1,1:39.0,M. Wagner makes free throw 2 of 2,,16,20
1,1:20.0,,L. Kennard misses 3-pt jump shot from 26 ft,16,20
1,1:18.0,Defensive rebound by M. Wagner,,16,20
1,1:11.0,A. Caruso misses 2-pt layup from 2 ft,,16,20
1,1:08.0,,Defensive rebound by L. Kennard,16,20
1,1:03.0,,T. Maker makes 3-pt jump shot from 28 ft (assist by L. Kennard),16,23
1,0:52.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by A. Caruso),,19,23
1,0:40.0,,L. Kennard misses 2-pt jump shot from 8 ft,19,23
1,0:38.0,,Offensive rebound by A. Drummond,19,23
1,0:37.0,,A. Drummond misses 2-pt layup from 1 ft,19,23
1,0:37.0,,Offensive rebound by A. Drummond,19,23
1,0:37.0,,A. Drummond misses 2-pt layup from 2 ft,19,23
1,0:37.0,,Offensive rebound by A. Drummond,19,23
1,0:32.0,,A. Drummond makes 2-pt layup from 1 ft,19,25
1,0:17.0,Personal foul by T. Maker (drawn by M. Wagner),,19,25
1,0:17.0,M. Wagner makes free throw 1 of 2,,20,25
1,0:17.0,M. Wagner misses free throw 2 of 2,,20,25
1,0:16.0,Offensive rebound by Team,,20,25
1,0:16.0,Personal foul by T. Maker (drawn by J. Williams),,20,25
1,0:16.0,J. Williams makes free throw 1 of 2,,21,25
1,0:16.0,J. Williams makes free throw 2 of 2,,22,25
1,0:01.0,,L. Galloway makes 2-pt jump shot from 17 ft (assist by L. Kennard),22,27
2,11:38.0,,Personal foul by M. Muscala (drawn by T. Maker),22,27
2,11:25.0,,L. Kennard misses 3-pt jump shot from 27 ft,22,27
2,11:22.0,,Offensive rebound by L. Galloway,22,27
2,11:13.0,,I. Smith misses 2-pt jump shot from 2 ft,22,27
2,11:12.0,,Offensive rebound by I. Smith,22,27
2,11:07.0,,T. Maker misses 3-pt jump shot from 26 ft,22,27
2,11:04.0,Defensive rebound by I. Bonga,,22,27
2,10:53.0,I. Bonga misses 3-pt jump shot from 27 ft,,22,27
2,10:50.0,Offensive rebound by J. Williams,,22,27
2,10:44.0,J. Williams misses 2-pt hook shot from 2 ft,,22,27
2,10:43.0,Offensive rebound by I. Bonga,,22,27
2,10:38.0,I. Bonga misses 2-pt jump shot from 19 ft,,22,27
2,10:35.0,,Defensive rebound by Team,22,27
2,10:16.0,,L. Galloway makes 2-pt jump shot from 21 ft,22,29
2,9:58.0,I. Bonga misses 2-pt jump shot from 11 ft,,22,29
2,9:56.0,,Defensive rebound by Z. Pachulia,22,29
2,9:51.0,,Personal foul by J. Williams (drawn by Z. Pachulia),22,29
2,9:41.0,,Turnover by T. Maker (bad pass; steal by J. Williams),22,29
2,9:18.0,Turnover by J. Williams (lost ball; steal by T. Maker),,22,29
2,9:12.0,,L. Galloway misses 3-pt jump shot from 23 ft,22,29
2,9:10.0,Defensive rebound by I. Bonga,,22,29
2,9:03.0,Turnover by K. Caldwell-Pope (step out of bounds),,22,29
2,8:50.0,,Turnover by L. Kennard (bad pass; steal by A. Caruso),22,29
2,8:49.0,Clear path foul by L. Kennard,,22,29
2,8:49.0,A. Caruso makes clear path free throw 1 of 2,,23,29
2,8:49.0,A. Caruso makes clear path free throw 2 of 2,,24,29
2,8:49.0,M. Wagner enters the game for J. Williams,,24,29
2,8:39.0,Shooting foul by Z. Pachulia (drawn by A. Caruso),,24,29
2,8:39.0,A. Caruso misses free throw 1 of 2,,24,29
2,8:39.0,Offensive rebound by Team,,24,29
2,8:39.0,A. Caruso misses free throw 2 of 2,,24,29
2,8:36.0,,Defensive rebound by I. Smith,24,29
2,8:24.0,,Shooting foul by M. Wagner (drawn by Z. Pachulia),24,29
2,8:24.0,,Z. Pachulia misses free throw 1 of 2,24,29
2,8:24.0,,Offensive rebound by Team,24,29
2,8:24.0,R. Rondo enters the game for I. Bonga,,24,29
2,8:24.0,,Z. Pachulia makes free throw 2 of 2,24,30
2,8:08.0,R. Rondo misses 2-pt hook shot from 8 ft,,24,30
2,8:06.0,,Defensive rebound by I. Smith,24,30
2,7:55.0,,L. Kennard misses 2-pt jump shot from 20 ft,24,30
2,7:53.0,,Offensive rebound by T. Maker,24,30
2,7:51.0,,Offensive foul by Z. Pachulia (drawn by R. Rondo),24,30
2,7:51.0,,Turnover by Z. Pachulia (offensive foul),24,30
2,7:30.0,A. Caruso makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,27,30
2,7:13.0,,Personal foul by A. Caruso (drawn by Z. Pachulia),27,30
2,7:13.0,K. Kuzma enters the game for M. Wagner,,27,30
2,7:04.0,,L. Galloway makes 2-pt jump shot from 7 ft (assist by Z. Pachulia),27,32
2,6:52.0,Personal foul by L. Kennard (drawn by M. Muscala),,27,32
2,6:52.0,,Detroit full timeout,27,32
2,6:52.0,J. McGee enters the game for M. Muscala,,27,32
2,6:52.0,,W. Ellington enters the game for L. Kennard,27,32
2,6:52.0,,B. Griffin enters the game for Z. Pachulia,27,32
2,6:43.0,A. Caruso misses 3-pt jump shot from 26 ft,,27,32
2,6:41.0,Offensive rebound by J. McGee,,27,32
2,6:39.0,K. Kuzma misses 3-pt jump shot from 27 ft,,27,32
2,6:33.0,,Defensive rebound by T. Maker,27,32
2,6:12.0,,L. Galloway misses 3-pt jump shot from 24 ft,27,32
2,6:09.0,Defensive rebound by K. Kuzma,,27,32
2,5:55.0,J. McGee makes 2-pt jump shot from 10 ft (assist by K. Kuzma),,29,32
2,5:40.0,,W. Ellington misses 3-pt jump shot from 23 ft,29,32
2,5:38.0,Defensive rebound by R. Rondo,,29,32
2,5:36.0,J. McGee makes 2-pt layup from 3 ft (assist by R. Rondo),,31,32
2,5:18.0,,Shooting foul by K. Caldwell-Pope (drawn by B. Griffin),31,32
2,5:18.0,,B. Griffin misses free throw 1 of 2,31,32
2,5:18.0,,Offensive rebound by Team,31,32
2,5:18.0,R. Bullock enters the game for K. Caldwell-Pope,,31,32
2,5:18.0,,A. Drummond enters the game for T. Maker,31,32
2,5:18.0,,R. Jackson enters the game for I. Smith,31,32
2,5:18.0,,B. Griffin misses free throw 2 of 2,31,32
2,5:11.0,Defensive rebound by K. Kuzma,,31,32
2,5:04.0,Personal foul by L. Galloway (drawn by K. Kuzma),,31,32
2,4:48.0,K. Kuzma makes 2-pt layup from 1 ft,,33,32
2,4:28.0,,B. Griffin misses 2-pt layup from 3 ft (block by J. McGee),33,32
2,4:24.0,Defensive rebound by R. Rondo,,33,32
2,4:20.0,K. Kuzma misses 2-pt layup from 1 ft,,33,32
2,4:17.0,Offensive rebound by J. McGee,,33,32
2,4:17.0,J. McGee makes 2-pt layup at rim,,35,32
2,4:15.0,,Detroit full timeout,35,32
2,3:59.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by B. Griffin),35,35
2,3:40.0,R. Bullock misses 3-pt jump shot from 25 ft,,35,35
2,3:36.0,,Defensive rebound by R. Jackson,35,35
2,3:33.0,,Personal foul by A. Caruso (drawn by R. Jackson),35,35
2,3:33.0,,R. Jackson misses free throw 1 of 2,35,35
2,3:33.0,,Offensive rebound by Team,35,35
2,3:33.0,,R. Jackson makes free throw 2 of 2,35,36
2,3:12.0,J. McGee misses 2-pt hook shot from 5 ft,,35,36
2,3:10.0,Offensive rebound by A. Caruso,,35,36
2,3:10.0,Turnover by K. Kuzma (traveling),,35,36
2,2:51.0,,L. Galloway makes 3-pt jump shot from 28 ft (assist by B. Griffin),35,39
2,2:51.0,LA Lakers full timeout,,35,39
2,2:37.0,R. Bullock makes 2-pt jump shot from 20 ft (assist by R. Rondo),,37,39
2,2:10.0,,B. Griffin misses 2-pt jump shot from 24 ft,37,39
2,2:08.0,Defensive rebound by A. Caruso,,37,39
2,2:05.0,A. Caruso misses 2-pt layup from 3 ft,,37,39
2,2:05.0,,Defensive rebound by A. Drummond,37,39
2,1:52.0,,Personal foul by A. Caruso (drawn by B. Griffin),37,39
2,1:52.0,,B. Griffin makes free throw 1 of 2,37,40
2,1:52.0,K. Caldwell-Pope enters the game for A. Caruso,,37,40
2,1:52.0,,B. Griffin misses free throw 2 of 2,37,40
2,1:51.0,Defensive rebound by K. Kuzma,,37,40
2,1:28.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by K. Kuzma),,40,40
2,1:08.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by L. Galloway),40,43
2,0:53.0,K. Kuzma misses 2-pt layup at rim,,40,43
2,0:51.0,,Defensive rebound by A. Drummond,40,43
2,0:38.0,,Turnover by W. Ellington (lost ball; steal by R. Rondo),40,43
2,0:34.0,R. Rondo misses 2-pt layup from 3 ft (block by R. Jackson),,40,43
2,0:29.0,,Defensive rebound by Team,40,43
2,0:25.0,,R. Jackson misses 3-pt jump shot from 25 ft,40,43
2,0:22.0,,Offensive rebound by W. Ellington,40,43
2,0:09.0,,R. Jackson misses 2-pt jump shot from 18 ft,40,43
2,0:07.0,,Offensive rebound by A. Drummond,40,43
2,0:00.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),40,46
3,11:45.0,,R. Jackson makes 2-pt jump shot from 6 ft,40,48
3,11:27.0,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),,42,48
3,11:02.0,,R. Jackson misses 3-pt jump shot from 23 ft,42,48
3,10:59.0,,Offensive rebound by A. Drummond,42,48
3,10:59.0,,A. Drummond makes 2-pt layup from 1 ft,42,50
3,10:41.0,M. Muscala makes 2-pt jump shot from 19 ft (assist by R. Rondo),,44,50
3,10:20.0,,R. Jackson misses 2-pt layup from 2 ft (block by J. McGee),44,50
3,10:17.0,Defensive rebound by R. Rondo,,44,50
3,10:12.0,M. Muscala misses 3-pt jump shot from 26 ft,,44,50
3,10:06.0,,Defensive rebound by R. Jackson,44,50
3,10:04.0,,W. Ellington makes 3-pt jump shot from 28 ft (assist by R. Jackson),44,53
3,9:48.0,Turnover by R. Rondo (bad pass),,44,53
3,9:48.0,M. Wagner enters the game for M. Muscala,,44,53
3,9:35.0,,R. Jackson misses 2-pt jump shot from 9 ft,44,53
3,9:33.0,,Offensive rebound by A. Drummond,44,53
3,9:33.0,,Shooting foul by J. McGee (drawn by A. Drummond),44,53
3,9:33.0,,A. Drummond misses free throw 1 of 2,44,53
3,9:33.0,,Offensive rebound by Team,44,53
3,9:33.0,,A. Drummond misses free throw 2 of 2,44,53
3,9:29.0,Defensive rebound by R. Rondo,,44,53
3,9:24.0,M. Wagner misses 3-pt jump shot from 23 ft,,44,53
3,9:20.0,,Defensive rebound by R. Jackson,44,53
3,9:15.0,,Shooting foul by J. McGee (drawn by B. Griffin),44,53
3,9:15.0,,B. Griffin makes free throw 1 of 2,44,54
3,9:15.0,,B. Griffin makes free throw 2 of 2,44,55
3,9:04.0,R. Rondo makes 2-pt layup from 1 ft,,46,55
3,8:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,46,55
3,8:49.0,Defensive rebound by J. McGee,,46,55
3,8:46.0,Shooting foul by B. Brown (drawn by R. Rondo),,46,55
3,8:46.0,R. Rondo makes free throw 1 of 2,,47,55
3,8:46.0,R. Rondo makes free throw 2 of 2,,48,55
3,8:39.0,,Turnover by B. Griffin (bad pass; steal by J. McGee),48,55
3,8:35.0,R. Rondo misses 2-pt layup from 1 ft,,48,55
3,8:33.0,,Defensive rebound by A. Drummond,48,55
3,8:26.0,,W. Ellington misses 3-pt jump shot from 28 ft,48,55
3,8:24.0,Defensive rebound by J. McGee,,48,55
3,8:07.0,K. Kuzma makes 2-pt jump shot from 14 ft,,50,55
3,7:44.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),50,57
3,7:37.0,M. Wagner misses 2-pt layup from 4 ft,,50,57
3,7:35.0,,Defensive rebound by W. Ellington,50,57
3,7:25.0,,Personal foul by K. Kuzma (drawn by A. Drummond),50,57
3,7:15.0,,Turnover by B. Griffin (traveling),50,57
3,7:04.0,R. Rondo misses 2-pt layup from 2 ft,,50,57
3,7:03.0,Offensive rebound by J. McGee,,50,57
3,7:02.0,J. McGee misses 2-pt layup from 1 ft,,50,57
3,7:01.0,,Defensive rebound by A. Drummond,50,57
3,6:46.0,,Turnover by B. Brown (bad pass; steal by R. Bullock),50,57
3,6:41.0,R. Bullock misses 3-pt jump shot from 27 ft,,50,57
3,6:39.0,Offensive rebound by R. Rondo,,50,57
3,6:35.0,K. Kuzma misses 3-pt jump shot from 24 ft,,50,57
3,6:35.0,Offensive rebound by M. Wagner,,50,57
3,6:26.0,R. Bullock misses 3-pt jump shot from 23 ft,,50,57
3,6:22.0,,Defensive rebound by B. Brown,50,57
3,6:19.0,,Personal foul by M. Wagner (drawn by A. Drummond),50,57
3,6:19.0,,Detroit full timeout,50,57
3,6:19.0,K. Caldwell-Pope enters the game for R. Bullock,,50,57
3,6:10.0,,B. Griffin misses 3-pt jump shot from 24 ft,50,57
3,6:09.0,Defensive rebound by Team,,50,57
3,6:09.0,,Loose ball foul by R. Jackson (drawn by J. McGee),50,57
3,5:52.0,R. Rondo makes 2-pt jump shot from 21 ft,,52,57
3,5:34.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Griffin),52,60
3,5:16.0,K. Kuzma makes 2-pt layup from 3 ft (assist by M. Wagner),,54,60
3,5:03.0,,R. Jackson misses 2-pt jump shot from 9 ft,54,60
3,5:00.0,Defensive rebound by J. McGee,,54,60
3,4:54.0,R. Rondo makes 2-pt layup from 1 ft,,56,60
3,4:36.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by W. Ellington),56,63
3,4:23.0,R. Rondo misses 2-pt jump shot from 11 ft (block by B. Brown),,56,63
3,4:23.0,Offensive rebound by Team,,56,63
3,4:23.0,,L. Galloway enters the game for B. Brown,56,63
3,4:16.0,Turnover by R. Rondo (out of bounds lost ball),,56,63
3,4:04.0,,B. Griffin misses 3-pt jump shot from 27 ft,56,63
3,4:02.0,Defensive rebound by R. Rondo,,56,63
3,3:59.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,56,63
3,3:53.0,,Defensive rebound by W. Ellington,56,63
3,3:39.0,,R. Jackson makes 3-pt jump shot from 27 ft,56,66
3,3:23.0,Turnover by M. Wagner (bad pass),,56,66
3,3:23.0,A. Caruso enters the game for K. Kuzma,,56,66
3,3:10.0,,R. Jackson makes 2-pt jump shot from 18 ft,56,68
3,3:10.0,LA Lakers full timeout,,56,68
3,3:10.0,,T. Maker enters the game for B. Griffin,56,68
3,2:49.0,J. McGee misses 2-pt hook shot from 3 ft,,56,68
3,2:46.0,Offensive rebound by J. McGee,,56,68
3,2:46.0,J. McGee misses 2-pt layup from 1 ft,,56,68
3,2:45.0,,Defensive rebound by T. Maker,56,68
3,2:28.0,,A. Drummond misses 2-pt layup from 2 ft,56,68
3,2:28.0,,Offensive rebound by A. Drummond,56,68
3,2:28.0,,A. Drummond misses 2-pt layup at rim,56,68
3,2:28.0,,Offensive rebound by A. Drummond,56,68
3,2:28.0,,Personal foul by M. Wagner (drawn by A. Drummond),56,68
3,2:28.0,,A. Drummond makes free throw 1 of 2,56,69
3,2:28.0,,A. Drummond makes free throw 2 of 2,56,70
3,2:13.0,A. Caruso misses 3-pt jump shot from 23 ft,,56,70
3,2:10.0,,Defensive rebound by A. Drummond,56,70
3,2:07.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by R. Jackson),56,73
3,1:46.0,R. Rondo makes 2-pt layup from 3 ft,,58,73
3,1:34.0,,Shooting foul by K. Caldwell-Pope (drawn by L. Galloway),58,73
3,1:34.0,,L. Galloway makes free throw 1 of 3,58,74
3,1:34.0,,L. Galloway makes free throw 2 of 3,58,75
3,1:34.0,J. Williams enters the game for J. McGee,,58,75
3,1:34.0,,L. Kennard enters the game for W. Ellington,58,75
3,1:34.0,,I. Smith enters the game for R. Jackson,58,75
3,1:34.0,,L. Galloway makes free throw 3 of 3,58,76
3,1:23.0,A. Caruso misses 2-pt layup from 3 ft,,58,76
3,1:19.0,Offensive rebound by A. Caruso,,58,76
3,1:09.0,R. Rondo makes 2-pt layup from 1 ft,,60,76
3,0:52.0,,Turnover by T. Maker (bad pass),60,76
3,0:41.0,M. Wagner misses 3-pt jump shot from 27 ft,,60,76
3,0:39.0,,Defensive rebound by A. Drummond,60,76
3,0:23.0,,Shooting foul by J. Williams (drawn by T. Maker),60,76
3,0:23.0,,T. Maker makes free throw 1 of 2,60,77
3,0:23.0,A. Ingram enters the game for R. Rondo,,60,77
3,0:23.0,,T. Maker misses free throw 2 of 2,60,77
3,0:21.0,Defensive rebound by M. Wagner,,60,77
3,0:05.0,Shooting foul by I. Smith (drawn by A. Caruso),,60,77
3,0:05.0,A. Caruso makes free throw 1 of 2,,61,77
3,0:05.0,A. Caruso makes free throw 2 of 2,,62,77
3,0:01.0,,I. Smith misses 3-pt jump shot from 27 ft,62,77
3,0:00.0,,Offensive rebound by Team,62,77
4,11:43.0,A. Ingram misses 2-pt jump shot from 13 ft,,62,77
4,11:43.0,Offensive rebound by Team,,62,77
4,11:43.0,,Loose ball foul by Z. Pachulia (drawn by J. Williams),62,77
4,11:30.0,A. Caruso makes 2-pt layup from 2 ft (assist by K. Kuzma),,64,77
4,11:30.0,Shooting foul by Z. Pachulia (drawn by A. Caruso),,64,77
4,11:30.0,A. Caruso makes free throw 1 of 1,,65,77
4,11:07.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by L. Galloway),65,80
4,10:57.0,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,,65,80
4,10:57.0,,Defensive rebound by Team,65,80
4,10:57.0,Loose ball foul by J. Williams (drawn by T. Maker),,65,80
4,10:41.0,,I. Smith misses 2-pt layup from 2 ft,65,80
4,10:41.0,Defensive rebound by K. Kuzma,,65,80
4,10:40.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Kuzma),,67,80
4,10:40.0,Shooting foul by L. Kennard (drawn by A. Caruso),,67,80
4,10:40.0,A. Caruso makes free throw 1 of 1,,68,80
4,10:26.0,,L. Galloway makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),68,82
4,10:07.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by K. Kuzma),,71,82
4,9:53.0,,Turnover by T. Maker (bad pass; steal by K. Kuzma),71,82
4,9:47.0,Shooting foul by Z. Pachulia (drawn by J. Williams),,71,82
4,9:47.0,J. Williams misses free throw 1 of 2,,71,82
4,9:47.0,Offensive rebound by Team,,71,82
4,9:47.0,J. Williams misses free throw 2 of 2,,71,82
4,9:45.0,,Defensive rebound by Z. Pachulia,71,82
4,9:25.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by I. Smith),71,84
4,9:25.0,,Shooting foul by K. Caldwell-Pope (drawn by Z. Pachulia),71,84
4,9:25.0,,Z. Pachulia makes free throw 1 of 1,71,85
4,9:18.0,Shooting foul by L. Galloway (drawn by K. Caldwell-Pope),,71,85
4,9:18.0,K. Caldwell-Pope makes free throw 1 of 3,,72,85
4,9:18.0,K. Caldwell-Pope makes free throw 2 of 3,,73,85
4,9:18.0,K. Caldwell-Pope makes free throw 3 of 3,,74,85
4,8:53.0,,I. Smith makes 2-pt jump shot from 19 ft,74,87
4,8:39.0,Turnover by A. Caruso (bad pass; steal by I. Smith),,74,87
4,8:33.0,,I. Smith misses 2-pt layup from 6 ft (block by A. Caruso),74,87
4,8:30.0,,Offensive rebound by I. Smith,74,87
4,8:24.0,,L. Kennard misses 2-pt jump shot from 17 ft,74,87
4,8:22.0,Defensive rebound by K. Caldwell-Pope,,74,87
4,8:10.0,J. Williams makes 2-pt hook shot from 6 ft (assist by K. Kuzma),,76,87
4,7:55.0,,Turnover by I. Smith (lost ball; steal by A. Caruso),76,87
4,7:52.0,K. Caldwell-Pope makes 2-pt dunk from 3 ft (assist by K. Kuzma),,78,87
4,7:52.0,Shooting foul by T. Maker (drawn by K. Caldwell-Pope),,78,87
4,7:52.0,R. Bullock enters the game for A. Caruso,,78,87
4,7:52.0,J. McGee enters the game for A. Ingram,,78,87
4,7:52.0,R. Rondo enters the game for J. Williams,,78,87
4,7:52.0,K. Caldwell-Pope makes free throw 1 of 1,,79,87
4,7:52.0,,Detroit full timeout,79,87
4,7:52.0,,A. Drummond enters the game for T. Maker,79,87
4,7:52.0,,B. Griffin enters the game for Z. Pachulia,79,87
4,7:29.0,,I. Smith makes 2-pt jump shot from 19 ft,79,89
4,7:22.0,Offensive foul by K. Kuzma (drawn by B. Griffin),,79,89
4,7:22.0,Turnover by K. Kuzma (offensive foul),,79,89
4,7:04.0,,A. Drummond makes 2-pt layup from 4 ft (assist by I. Smith),79,91
4,6:55.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,81,91
4,6:26.0,,I. Smith makes 3-pt jump shot from 27 ft (assist by B. Griffin),81,94
4,6:20.0,Personal foul by B. Griffin (drawn by K. Kuzma),,81,94
4,6:20.0,K. Kuzma misses free throw 1 of 2,,81,94
