QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
1,7:29.0,,M. Morris misses 3-pt jump shot from 25 ft,12,10
1,7:27.0,Defensive rebound by J. Embiid,,12,10
1,7:17.0,J. Redick makes 3-pt jump shot from 30 ft (assist by B. Simmons),,15,10
1,6:56.0,,A. Horford misses 2-pt jump shot from 14 ft,15,10
1,6:54.0,Defensive rebound by J. Embiid,,15,10
1,6:46.0,J. Butler misses 2-pt jump shot from 18 ft,,15,10
1,6:45.0,,Defensive rebound by M. Morris,15,10
1,6:39.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),15,12
1,6:29.0,J. Redick misses 2-pt layup from 4 ft,,15,12
1,6:27.0,,Defensive rebound by J. Tatum,15,12
1,6:21.0,,J. Tatum misses 3-pt jump shot from 26 ft,15,12
1,6:19.0,,Offensive rebound by A. Horford,15,12
1,6:16.0,,J. Tatum misses 3-pt jump shot from 25 ft,15,12
1,6:15.0,,Offensive rebound by K. Irving,15,12
1,6:12.0,,K. Irving makes 2-pt layup from 2 ft,15,14
1,6:12.0,Philadelphia full timeout,,15,14
1,6:12.0,T. McConnell enters the game for W. Chandler,,15,14
1,6:12.0,M. Muscala enters the game for J. Embiid,,15,14
1,6:12.0,L. Shamet enters the game for J. Redick,,15,14
1,6:12.0,,G. Hayward enters the game for A. Horford,15,14
1,6:12.0,,D. Theis enters the game for M. Morris,15,14
1,5:58.0,Turnover by J. Butler (bad pass; steal by G. Hayward),,15,14
1,5:47.0,,D. Theis misses 2-pt jump shot from 17 ft,15,14
1,5:45.0,Defensive rebound by J. Butler,,15,14
1,5:42.0,Personal foul by G. Hayward (drawn by B. Simmons),,15,14
1,5:33.0,J. Butler misses 2-pt jump shot from 14 ft,,15,14
1,5:31.0,Offensive rebound by J. Butler,,15,14
1,5:31.0,Personal foul by K. Irving (drawn by J. Butler),,15,14
1,5:24.0,Turnover by M. Muscala (bad pass),,15,14
1,5:04.0,,K. Irving makes 2-pt layup from 5 ft,15,16
1,4:49.0,Turnover by J. Butler (offensive foul),,15,16
1,4:49.0,Offensive foul by J. Butler (drawn by K. Irving),,15,16
1,4:38.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by G. Hayward),15,19
1,4:24.0,J. Butler misses 2-pt jump shot from 20 ft,,15,19
1,4:20.0,,Defensive rebound by D. Theis,15,19
1,4:16.0,,K. Irving makes 2-pt layup from 1 ft,15,21
1,4:02.0,J. Butler makes 2-pt dunk from 1 ft,,17,21
1,3:51.0,,Personal foul by L. Shamet (drawn by G. Hayward),17,21
1,3:41.0,,G. Hayward makes 2-pt jump shot from 19 ft (assist by D. Theis),17,23
1,3:28.0,B. Simmons makes 2-pt layup from 3 ft,,19,23
1,3:18.0,,Turnover by G. Hayward (bad pass; steal by T. McConnell),19,23
1,3:09.0,L. Shamet misses 2-pt jump shot from 21 ft,,19,23
1,3:07.0,,Defensive rebound by J. Tatum,19,23
1,3:03.0,,J. Tatum makes 2-pt layup from 2 ft,19,25
1,2:48.0,J. Butler misses 3-pt jump shot from 27 ft,,19,25
1,2:46.0,,Defensive rebound by J. Tatum,19,25
1,2:43.0,,J. Tatum misses 3-pt jump shot from 26 ft,19,25
1,2:41.0,Defensive rebound by M. Muscala,,19,25
1,2:34.0,B. Simmons misses 2-pt layup from 4 ft,,19,25
1,2:33.0,Offensive rebound by J. Butler,,19,25
1,2:32.0,J. Butler misses 2-pt layup from 4 ft,,19,25
1,2:30.0,,Defensive rebound by D. Theis,19,25
1,2:27.0,,Boston full timeout,19,25
1,2:27.0,J. Embiid enters the game for J. Butler,,19,25
1,2:27.0,F. Korkmaz enters the game for L. Shamet,,19,25
1,2:27.0,J. Redick enters the game for B. Simmons,,19,25
1,2:27.0,,J. Brown enters the game for M. Smart,19,25
1,2:27.0,,T. Rozier enters the game for J. Tatum,19,25
1,2:22.0,,Personal foul by F. Korkmaz (drawn by J. Brown),19,25
1,2:17.0,,G. Hayward misses 3-pt jump shot from 26 ft,19,25
1,2:15.0,,Offensive rebound by Team,19,25
1,2:12.0,,G. Hayward misses 2-pt jump shot from 20 ft,19,25
1,2:10.0,,Offensive rebound by K. Irving,19,25
1,2:02.0,,D. Theis misses 2-pt jump shot from 14 ft,19,25
1,1:59.0,Defensive rebound by J. Embiid,,19,25
1,1:54.0,J. Redick makes 3-pt jump shot from 23 ft (assist by T. McConnell),,22,25
1,1:46.0,,K. Irving makes 3-pt jump shot from 26 ft,22,28
1,1:30.0,M. Muscala misses 3-pt jump shot from 24 ft,,22,28
1,1:28.0,,Defensive rebound by K. Irving,22,28
1,1:19.0,,K. Irving makes 2-pt jump shot from 10 ft (assist by J. Brown),22,30
1,0:54.0,F. Korkmaz misses 2-pt jump shot from 18 ft,,22,30
1,0:52.0,,Defensive rebound by K. Irving,22,30
1,0:45.0,,J. Brown makes 2-pt jump shot from 17 ft,22,32
1,0:37.0,Personal foul by J. Brown (drawn by J. Redick),,22,32
1,0:37.0,J. Redick misses free throw 1 of 2,,22,32
1,0:37.0,Offensive rebound by Team,,22,32
1,0:37.0,,M. Morris enters the game for K. Irving,22,32
1,0:37.0,J. Redick makes free throw 2 of 2,,23,32
1,0:25.0,,M. Morris misses 3-pt jump shot from 27 ft,23,32
1,0:22.0,Defensive rebound by J. Embiid,,23,32
1,0:07.0,Shooting foul by D. Theis (drawn by J. Embiid),,23,32
1,0:07.0,J. Embiid makes free throw 1 of 2,,24,32
1,0:07.0,J. Butler enters the game for F. Korkmaz,,24,32
1,0:07.0,,K. Irving enters the game for D. Theis,24,32
1,0:07.0,J. Embiid makes free throw 2 of 2,,25,32
1,0:02.0,,Personal foul by T. McConnell (drawn by K. Irving),25,32
1,0:00.0,,K. Irving misses 3-pt jump shot from 25 ft,25,32
1,0:00.0,,Offensive rebound by J. Brown,25,32
2,11:39.0,J. Embiid misses 2-pt jump shot from 12 ft,,25,32
2,11:37.0,,Defensive rebound by T. Rozier,25,32
2,11:32.0,,Personal foul by T. McConnell (drawn by T. Rozier),25,32
2,11:16.0,,A. Horford misses 2-pt hook shot from 6 ft,25,32
2,11:14.0,Defensive rebound by J. Embiid,,25,32
2,10:56.0,M. Muscala misses 3-pt jump shot from 24 ft,,25,32
2,10:54.0,,Defensive rebound by A. Horford,25,32
2,10:36.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by J. Brown),25,35
2,10:19.0,M. Muscala misses 3-pt jump shot from 26 ft,,25,35
2,10:15.0,,Defensive rebound by T. Rozier,25,35
2,10:09.0,,T. Rozier misses 2-pt jump shot from 19 ft,25,35
2,10:07.0,Defensive rebound by J. Embiid,,25,35
2,10:00.0,J. Redick makes 2-pt jump shot from 16 ft,,27,35
2,10:00.0,W. Chandler enters the game for M. Muscala,,27,35
2,9:37.0,,Shooting foul by J. Redick (drawn by M. Morris),27,35
2,9:37.0,B. Simmons enters the game for T. McConnell,,27,35
2,9:37.0,,M. Morris makes free throw 1 of 2,27,36
2,9:37.0,,M. Morris makes free throw 2 of 2,27,37
2,9:14.0,J. Embiid makes 2-pt jump shot from 4 ft,,29,37
2,9:00.0,,A. Horford misses 3-pt jump shot from 24 ft,29,37
2,8:58.0,Defensive rebound by J. Embiid,,29,37
2,8:55.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),,31,37
2,8:42.0,,A. Horford misses 3-pt jump shot from 26 ft,31,37
2,8:40.0,Defensive rebound by B. Simmons,,31,37
2,8:29.0,J. Butler makes 2-pt jump shot from 17 ft (assist by J. Embiid),,33,37
2,8:13.0,,M. Morris makes 2-pt layup from 1 ft (assist by T. Rozier),33,39
2,8:05.0,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Simmons),,36,39
2,7:56.0,,Boston full timeout,36,39
2,7:56.0,L. Shamet enters the game for J. Redick,,36,39
2,7:56.0,,J. Tatum enters the game for G. Hayward,36,39
2,7:49.0,,Turnover by M. Morris (bad pass; steal by J. Butler),36,39
2,7:45.0,Turnover by J. Butler (bad pass),,36,39
2,7:35.0,,Shooting foul by J. Embiid (drawn by J. Tatum),36,39
2,7:35.0,,J. Tatum makes free throw 1 of 2,36,40
2,7:35.0,,J. Tatum makes free throw 2 of 2,36,41
2,7:14.0,J. Embiid misses 2-pt jump shot from 18 ft,,36,41
2,7:12.0,,Defensive rebound by T. Rozier,36,41
2,7:08.0,,A. Horford misses 3-pt jump shot from 26 ft,36,41
2,7:08.0,Defensive rebound by B. Simmons,,36,41
2,6:53.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by L. Shamet),,39,41
2,6:35.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by A. Horford),39,43
2,6:25.0,J. Embiid misses 3-pt jump shot from 25 ft,,39,43
2,6:22.0,,Defensive rebound by M. Morris,39,43
2,6:07.0,,J. Tatum misses 3-pt jump shot from 24 ft,39,43
2,6:05.0,Defensive rebound by L. Shamet,,39,43
2,5:56.0,W. Chandler misses 3-pt jump shot from 23 ft,,39,43
2,5:54.0,,Defensive rebound by M. Morris,39,43
2,5:35.0,,A. Horford misses 2-pt hook shot from 3 ft (block by J. Embiid),39,43
2,5:33.0,,Offensive rebound by M. Morris,39,43
2,5:32.0,,Personal foul by B. Simmons (drawn by M. Morris),39,43
2,5:32.0,M. Muscala enters the game for J. Embiid,,39,43
2,5:32.0,,K. Irving enters the game for A. Horford,39,43
2,5:32.0,,M. Smart enters the game for M. Morris,39,43
2,5:32.0,,D. Theis enters the game for T. Rozier,39,43
2,5:25.0,,K. Irving makes 2-pt jump shot from 10 ft (assist by M. Smart),39,45
2,5:13.0,J. Butler misses 2-pt jump shot from 21 ft,,39,45
2,5:11.0,Offensive rebound by M. Muscala,,39,45
2,4:49.0,W. Chandler misses 3-pt jump shot from 27 ft,,39,45
2,4:47.0,,Defensive rebound by D. Theis,39,45
2,4:38.0,,K. Irving makes 3-pt jump shot from 26 ft,39,48
2,4:36.0,Philadelphia full timeout,,39,48
2,4:36.0,T. McConnell enters the game for W. Chandler,,39,48
2,4:36.0,J. Redick enters the game for L. Shamet,,39,48
2,4:24.0,M. Muscala misses 3-pt jump shot from 28 ft,,39,48
2,4:22.0,,Defensive rebound by J. Brown,39,48
2,4:08.0,,J. Brown misses 2-pt jump shot from 14 ft,39,48
2,4:05.0,Defensive rebound by B. Simmons,,39,48
2,3:58.0,Turnover by B. Simmons (lost ball; steal by J. Brown),,39,48
2,3:55.0,,J. Brown makes 2-pt dunk from 1 ft,39,50
2,3:44.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,42,50
2,3:31.0,,Shooting foul by B. Simmons (drawn by D. Theis),42,50
2,3:31.0,,D. Theis makes free throw 1 of 2,42,51
2,3:31.0,J. Embiid enters the game for J. Butler,,42,51
2,3:31.0,F. Korkmaz enters the game for M. Muscala,,42,51
2,3:31.0,,D. Theis misses free throw 2 of 2,42,51
2,3:31.0,Defensive rebound by F. Korkmaz,,42,51
2,3:09.0,J. Embiid makes 2-pt jump shot from 3 ft,,44,51
2,2:52.0,,J. Tatum misses 2-pt jump shot from 16 ft,44,51
2,2:48.0,Defensive rebound by T. McConnell,,44,51
2,2:43.0,Turnover by T. McConnell (bad pass; steal by J. Tatum),,44,51
2,2:39.0,,J. Tatum misses 3-pt jump shot from 24 ft,44,51
2,2:37.0,Defensive rebound by T. McConnell,,44,51
2,2:30.0,B. Simmons makes 2-pt layup from 2 ft (assist by T. McConnell),,46,51
2,2:30.0,Shooting foul by D. Theis (drawn by B. Simmons),,46,51
2,2:30.0,,G. Hayward enters the game for J. Brown,46,51
2,2:30.0,B. Simmons makes free throw 1 of 1,,47,51
2,2:16.0,,K. Irving makes 2-pt jump shot from 7 ft,47,53
2,1:59.0,J. Redick misses 2-pt jump shot from 21 ft,,47,53
2,1:57.0,,Defensive rebound by J. Tatum,47,53
2,1:53.0,,Shooting foul by B. Simmons (drawn by J. Tatum),47,53
2,1:53.0,,J. Tatum makes free throw 1 of 2,47,54
2,1:53.0,,J. Tatum makes free throw 2 of 2,47,55
2,1:53.0,W. Chandler enters the game for B. Simmons,,47,55
2,1:40.0,Turnover by J. Redick (lost ball; steal by J. Tatum),,47,55
2,1:37.0,,J. Tatum makes 2-pt dunk from 3 ft,47,57
2,1:13.0,J. Embiid makes 2-pt layup from 2 ft,,49,57
2,1:01.0,,M. Smart misses 2-pt jump shot from 12 ft,49,57
2,0:59.0,Defensive rebound by W. Chandler,,49,57
2,0:52.0,J. Embiid makes 2-pt jump shot from 19 ft (assist by T. McConnell),,51,57
2,0:41.0,,K. Irving misses 3-pt jump shot from 27 ft,51,57
2,0:38.0,Defensive rebound by T. McConnell,,51,57
2,0:31.0,W. Chandler misses 3-pt jump shot from 27 ft,,51,57
2,0:27.0,,Defensive rebound by G. Hayward,51,57
2,0:09.0,,D. Theis misses 3-pt jump shot from 26 ft,51,57
2,0:03.0,,Offensive rebound by M. Smart,51,57
2,0:03.0,,M. Smart misses 2-pt layup from 1 ft,51,57
2,0:02.0,,Offensive rebound by M. Smart,51,57
2,0:02.0,,M. Smart misses 2-pt layup from 1 ft,51,57
2,0:02.0,Defensive rebound by W. Chandler,,51,57
2,0:00.0,T. McConnell misses 3-pt jump shot from 27 ft,,51,57
2,0:00.0,Offensive rebound by Team,,51,57
3,11:42.0,Turnover by B. Simmons (back court),,51,57
3,11:29.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),51,59
3,11:15.0,J. Redick misses 2-pt jump shot from 16 ft,,51,59
3,11:14.0,Offensive rebound by B. Simmons,,51,59
3,11:12.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Simmons),,54,59
3,11:01.0,,K. Irving misses 2-pt jump shot from 22 ft,54,59
3,10:59.0,Defensive rebound by B. Simmons,,54,59
3,10:46.0,J. Redick misses 2-pt layup from 2 ft (block by M. Morris),,54,59
3,10:44.0,,Defensive rebound by K. Irving,54,59
3,10:31.0,,M. Morris misses 2-pt jump shot from 19 ft,54,59
3,10:29.0,Defensive rebound by J. Embiid,,54,59
3,10:22.0,J. Embiid makes 3-pt jump shot from 28 ft (assist by B. Simmons),,57,59
3,10:03.0,,J. Tatum misses 3-pt jump shot from 27 ft,57,59
3,10:01.0,Defensive rebound by J. Embiid,,57,59
3,9:52.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),,59,59
3,9:52.0,,Boston full timeout,59,59
3,9:36.0,,J. Tatum misses 2-pt jump shot from 20 ft,59,59
3,9:34.0,Defensive rebound by J. Redick,,59,59
3,9:30.0,B. Simmons misses 2-pt layup from 3 ft (block by J. Tatum),,59,59
3,9:30.0,Offensive rebound by Team,,59,59
3,9:21.0,Turnover by J. Redick (bad pass),,59,59
3,9:12.0,,A. Horford misses 3-pt jump shot from 28 ft,59,59
3,9:07.0,,Offensive rebound by M. Morris,59,59
3,9:07.0,,M. Morris makes 2-pt layup at rim,59,61
3,8:51.0,Turnover by B. Simmons (bad pass; steal by M. Smart),,59,61
3,8:45.0,,A. Horford makes 2-pt layup from 4 ft (assist by K. Irving),59,63
3,8:45.0,Philadelphia full timeout,,59,63
3,8:33.0,J. Butler makes 2-pt jump shot from 7 ft (assist by W. Chandler),,61,63
3,8:14.0,,J. Tatum makes 2-pt jump shot from 5 ft,61,65
3,8:14.0,,Shooting foul by J. Redick (drawn by J. Tatum),61,65
3,8:14.0,,J. Tatum makes free throw 1 of 1,61,66
3,8:04.0,W. Chandler makes 2-pt layup from 2 ft (assist by B. Simmons),,63,66
3,7:47.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by A. Horford),63,69
3,7:37.0,J. Redick misses 3-pt jump shot from 25 ft,,63,69
3,7:33.0,,Defensive rebound by A. Horford,63,69
3,7:32.0,,Personal foul by J. Redick (drawn by M. Smart),63,69
3,7:32.0,Technical foul by J. Redick,,63,69
3,7:32.0,,K. Irving makes technical free throw,63,70
3,7:28.0,,Offensive foul by K. Irving (drawn by J. Redick),63,70
3,7:28.0,,Turnover by K. Irving (offensive foul),63,70
3,7:14.0,Turnover by J. Embiid (lost ball; steal by K. Irving),,63,70
3,7:08.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Horford),63,73
3,6:55.0,Shooting foul by J. Tatum (drawn by J. Butler),,63,73
3,6:55.0,J. Butler makes free throw 1 of 3,,64,73
3,6:55.0,J. Butler makes free throw 2 of 3,,65,73
3,6:55.0,T. McConnell enters the game for W. Chandler,,65,73
3,6:55.0,M. Muscala enters the game for J. Embiid,,65,73
3,6:55.0,L. Shamet enters the game for J. Redick,,65,73
3,6:55.0,,D. Theis enters the game for A. Horford,65,73
3,6:55.0,J. Butler makes free throw 3 of 3,,66,73
3,6:41.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),66,76
3,6:27.0,M. Muscala misses 3-pt jump shot from 27 ft,,66,76
3,6:25.0,,Defensive rebound by K. Irving,66,76
3,6:17.0,,K. Irving misses 2-pt layup from 2 ft,66,76
3,6:15.0,Defensive rebound by B. Simmons,,66,76
3,6:06.0,J. Butler makes 2-pt layup at rim (assist by B. Simmons),,68,76
3,5:54.0,,M. Smart makes 3-pt jump shot from 26 ft,68,79
3,5:36.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by J. Butler),,71,79
3,5:23.0,,M. Smart misses 3-pt jump shot from 28 ft,71,79
3,5:21.0,Defensive rebound by T. McConnell,,71,79
3,5:16.0,M. Muscala misses 3-pt jump shot from 24 ft,,71,79
3,5:16.0,,Defensive rebound by M. Smart,71,79
3,5:11.0,,Personal foul by T. McConnell (drawn by K. Irving),71,79
3,5:11.0,,G. Hayward enters the game for M. Morris,71,79
3,5:06.0,,K. Irving misses 3-pt jump shot from 27 ft,71,79
3,5:04.0,Defensive rebound by M. Muscala,,71,79
3,4:49.0,J. Butler makes 3-pt jump shot from 26 ft (assist by T. McConnell),,74,79
3,4:32.0,,J. Tatum misses 2-pt jump shot from 14 ft,74,79
3,4:32.0,,Offensive rebound by Team,74,79
3,4:32.0,Loose ball foul by B. Simmons (drawn by G. Hayward),,74,79
3,4:32.0,W. Chandler enters the game for B. Simmons,,74,79
3,4:32.0,,J. Brown enters the game for J. Tatum,74,79
3,4:26.0,,D. Theis makes 2-pt jump shot from 14 ft (assist by M. Smart),74,81
3,4:13.0,L. Shamet misses 3-pt jump shot from 26 ft,,74,81
3,4:09.0,,Defensive rebound by D. Theis,74,81
3,4:03.0,,K. Irving misses 2-pt jump shot from 16 ft (block by T. McConnell),74,81
3,4:00.0,Defensive rebound by J. Butler,,74,81
3,3:53.0,L. Shamet makes 2-pt layup from 1 ft (assist by T. McConnell),,76,81
3,3:30.0,,M. Smart misses 3-pt jump shot from 26 ft,76,81
3,3:28.0,Defensive rebound by W. Chandler,,76,81
3,3:20.0,T. McConnell makes 2-pt jump shot from 17 ft,,78,81
3,2:55.0,,J. Brown misses 2-pt layup from 1 ft,78,81
3,2:53.0,Defensive rebound by J. Butler,,78,81
3,2:46.0,J. Butler misses 2-pt jump shot from 16 ft,,78,81
3,2:42.0,,Defensive rebound by D. Theis,78,81
3,2:35.0,,Turnover by K. Irving (bad pass; steal by J. Butler),78,81
3,2:28.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Butler),,81,81
3,2:27.0,,Boston full timeout,81,81
3,2:27.0,J. Embiid enters the game for M. Muscala,,81,81
3,2:27.0,J. Redick enters the game for L. Shamet,,81,81
3,2:27.0,,M. Morris enters the game for K. Irving,81,81
3,2:27.0,,T. Rozier enters the game for M. Smart,81,81
3,2:12.0,,G. Hayward misses 3-pt jump shot from 27 ft,81,81
3,2:10.0,Defensive rebound by J. Embiid,,81,81
3,1:57.0,Shooting foul by D. Theis (drawn by J. Embiid),,81,81
3,1:57.0,J. Embiid makes free throw 1 of 2,,82,81
3,1:57.0,J. Embiid makes free throw 2 of 2,,83,81
3,1:38.0,,T. Rozier makes 2-pt jump shot from 7 ft,83,83
3,1:29.0,Personal foul by D. Theis (drawn by J. Embiid),,83,83
3,1:29.0,J. Embiid makes free throw 1 of 2,,84,83
3,1:29.0,J. Embiid makes free throw 2 of 2,,85,83
3,1:12.0,,J. Brown misses 2-pt jump shot from 21 ft,85,83
3,1:11.0,Defensive rebound by Team,,85,83
3,1:00.0,J. Embiid makes 2-pt dunk from 2 ft (assist by W. Chandler),,87,83
3,0:50.0,,D. Theis makes 3-pt jump shot from 26 ft,87,86
3,0:30.0,Personal foul by J. Brown (drawn by J. Embiid),,87,86
3,0:30.0,J. Embiid makes free throw 1 of 2,,88,86
3,0:30.0,J. Embiid makes free throw 2 of 2,,89,86
3,0:10.0,Violation by Team (kicked ball),,89,86
3,0:10.0,,K. Irving enters the game for D. Theis,89,86
3,0:00.0,,M. Morris misses 2-pt jump shot from 18 ft,89,86
3,0:00.0,,Offensive rebound by Team,89,86
4,11:42.0,,T. Rozier makes 3-pt jump shot from 28 ft (assist by M. Morris),89,89
4,11:26.0,Turnover by J. Embiid (out of bounds lost ball),,89,89
4,11:05.0,,T. Rozier misses 2-pt layup from 3 ft,89,89
4,11:03.0,Defensive rebound by J. Embiid,,89,89
4,10:57.0,W. Chandler makes 2-pt jump shot from 18 ft (assist by T. McConnell),,91,89
4,10:44.0,,D. Theis misses 3-pt jump shot from 27 ft,91,89
4,10:42.0,Defensive rebound by F. Korkmaz,,91,89
4,10:40.0,Personal foul by M. Morris (drawn by F. Korkmaz),,91,89
4,10:40.0,,A. Horford enters the game for D. Theis,91,89
4,10:28.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,91,89
4,10:26.0,,Defensive rebound by J. Brown,91,89
4,10:19.0,,J. Brown misses 2-pt jump shot from 18 ft,91,89
4,10:15.0,Defensive rebound by J. Embiid,,91,89
4,10:09.0,J. Redick misses 3-pt jump shot from 28 ft (block by J. Brown),,91,89
4,10:06.0,,Defensive rebound by T. Rozier,91,89
4,10:05.0,,Shooting foul by T. McConnell (drawn by T. Rozier),91,89
4,10:05.0,,T. Rozier makes free throw 1 of 2,91,90
4,10:05.0,,T. Rozier makes free throw 2 of 2,91,91
4,9:48.0,Shooting foul by J. Brown (drawn by J. Redick),,91,91
4,9:48.0,J. Redick misses free throw 1 of 2,,91,91
4,9:48.0,Offensive rebound by Team,,91,91
4,9:48.0,J. Redick makes free throw 2 of 2,,92,91
4,9:37.0,,Personal foul by F. Korkmaz (drawn by J. Brown),92,91
4,9:33.0,,A. Horford misses 3-pt jump shot from 27 ft,92,91
4,9:31.0,Defensive rebound by J. Redick,,92,91
4,9:14.0,J. Embiid misses 2-pt jump shot from 15 ft,,92,91
4,9:12.0,,Defensive rebound by T. Rozier,92,91
4,9:10.0,,T. Rozier misses 3-pt jump shot from 26 ft,92,91
4,9:08.0,Defensive rebound by T. McConnell,,92,91
4,8:54.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Embiid),,95,91
4,8:28.0,,J. Brown misses 3-pt jump shot from 23 ft,95,91
4,8:26.0,Defensive rebound by T. McConnell,,95,91
4,8:13.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. McConnell),,98,91
4,8:13.0,,Boston full timeout,98,91
4,8:13.0,J. Butler enters the game for J. Embiid,,98,91
4,8:13.0,M. Muscala enters the game for F. Korkmaz,,98,91
4,8:13.0,L. Shamet enters the game for T. McConnell,,98,91
4,8:13.0,B. Simmons enters the game for J. Redick,,98,91
4,8:13.0,,K. Irving enters the game for J. Brown,98,91
4,8:13.0,,J. Tatum enters the game for A. Horford,98,91
4,8:13.0,,D. Theis enters the game for M. Morris,98,91
4,8:01.0,,K. Irving makes 2-pt layup from 3 ft,98,93
4,7:51.0,Turnover by W. Chandler (bad pass),,98,93
4,7:41.0,,K. Irving misses 2-pt jump shot from 19 ft,98,93
4,7:39.0,Defensive rebound by W. Chandler,,98,93
4,7:19.0,M. Muscala misses 2-pt jump shot from 19 ft,,98,93
4,7:18.0,,Defensive rebound by K. Irving,98,93
4,7:14.0,,T. Rozier makes 3-pt jump shot from 27 ft,98,96
4,7:13.0,Philadelphia full timeout,,98,96
4,6:58.0,M. Muscala misses 3-pt jump shot from 24 ft,,98,96
4,6:56.0,Offensive rebound by W. Chandler,,98,96
4,6:56.0,W. Chandler misses 2-pt layup from 4 ft,,98,96
4,6:56.0,,Defensive rebound by K. Irving,98,96
4,6:48.0,,K. Irving misses 2-pt layup from 1 ft,98,96
4,6:47.0,,Offensive rebound by D. Theis,98,96
4,6:47.0,,D. Theis misses 2-pt layup from 5 ft,98,96
4,6:46.0,,Offensive rebound by D. Theis,98,96
4,6:43.0,,Turnover by D. Theis (lost ball; steal by L. Shamet),98,96
4,6:24.0,J. Butler misses 2-pt jump shot from 15 ft,,98,96
4,6:22.0,Offensive rebound by B. Simmons,,98,96
4,6:17.0,B. Simmons makes 2-pt jump shot from 22 ft,,100,96
4,5:55.0,,K. Irving makes 2-pt jump shot from 4 ft (assist by D. Theis),100,98
4,5:40.0,Shooting foul by J. Tatum (drawn by B. Simmons),,100,98
4,5:40.0,B. Simmons misses free throw 1 of 2,,100,98
4,5:40.0,Offensive rebound by Team,,100,98
4,5:40.0,J. Embiid enters the game for M. Muscala,,100,98
4,5:40.0,J. Redick enters the game for L. Shamet,,100,98
4,5:40.0,,A. Horford enters the game for G. Hayward,100,98
4,5:40.0,,M. Morris enters the game for D. Theis,100,98
4,5:40.0,B. Simmons makes free throw 2 of 2,,101,98
4,5:26.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),101,101
4,5:07.0,Personal foul by A. Horford (drawn by J. Embiid),,101,101
