QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
1,2:15.0,Portland full timeout,,35,23
1,2:15.0,S. Curry enters the game for D. Lillard,,35,23
1,2:15.0,M. Leonard enters the game for C. McCollum,,35,23
1,2:15.0,N. Stauskas enters the game for J. Nurkić,,35,23
1,2:15.0,E. Turner misses 2-pt jump shot from 13 ft,,35,23
1,1:51.0,,Defensive rebound by T. Harris,35,23
1,1:40.0,,M. Harrell misses 2-pt layup from 2 ft,35,23
1,1:37.0,,Offensive rebound by A. Bradley,35,23
1,1:28.0,,Personal foul by N. Stauskas (drawn by M. Harrell),35,23
1,1:21.0,,T. Harris makes 2-pt jump shot from 16 ft,35,25
1,1:12.0,N. Stauskas misses 3-pt jump shot from 25 ft,,35,25
1,1:09.0,,Defensive rebound by M. Scott,35,25
1,0:58.0,,M. Scott makes 2-pt layup from 1 ft (assist by P. Beverley),35,27
1,0:45.0,N. Stauskas misses 2-pt layup from 1 ft,,35,27
1,0:41.0,,Defensive rebound by T. Harris,35,27
1,0:39.0,,A. Bradley misses 3-pt jump shot from 22 ft,35,27
1,0:35.0,Defensive rebound by Z. Collins,,35,27
1,0:28.0,Z. Collins misses 2-pt layup from 1 ft,,35,27
1,0:28.0,Shooting foul by M. Scott (drawn by Z. Collins),,35,27
1,0:28.0,Offensive rebound by Z. Collins,,35,27
1,0:28.0,Z. Collins makes free throw 1 of 2,,36,27
1,0:28.0,,T. Wallace enters the game for A. Bradley,36,27
1,0:28.0,Z. Collins makes free throw 2 of 2,,37,27
1,0:08.0,,T. Harris makes 2-pt layup from 2 ft (assist by P. Beverley),37,29
1,0:02.0,M. Leonard misses 3-pt jump shot from 24 ft,,37,29
1,0:00.0,Offensive rebound by Team,,37,29
2,11:45.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by M. Scott),37,31
2,11:29.0,S. Curry misses 2-pt layup from 2 ft,,37,31
2,11:26.0,,Defensive rebound by M. Scott,37,31
2,11:22.0,,P. Beverley misses 3-pt jump shot from 25 ft,37,31
2,11:18.0,,Offensive rebound by M. Harrell,37,31
2,11:10.0,,M. Scott misses 2-pt jump shot from 18 ft,37,31
2,11:07.0,Defensive rebound by N. Stauskas,,37,31
2,10:59.0,N. Stauskas makes 2-pt layup from 1 ft,,39,31
2,10:39.0,,M. Harrell misses 2-pt layup from 6 ft (block by Z. Collins),39,31
2,10:37.0,,Offensive rebound by Team,39,31
2,10:33.0,,Turnover by Team (shot clock),39,31
2,10:19.0,S. Curry misses 2-pt jump shot from 20 ft,,39,31
2,10:15.0,,Defensive rebound by T. Wallace,39,31
2,10:11.0,,M. Scott misses 3-pt jump shot from 26 ft,39,31
2,10:11.0,,Offensive rebound by Team,39,31
2,10:05.0,,Personal foul by Z. Collins (drawn by M. Harrell),39,31
2,9:56.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,39,31
2,9:52.0,Defensive rebound by Team,,39,31
2,9:40.0,Turnover by N. Stauskas (out of bounds lost ball),,39,31
2,9:28.0,,Shooting foul by Z. Collins (drawn by M. Scott),39,31
2,9:28.0,,M. Scott makes free throw 1 of 2,39,32
2,9:28.0,,M. Scott makes free throw 2 of 2,39,33
2,9:16.0,E. Turner makes 2-pt jump shot from 16 ft,,41,33
2,9:03.0,,Turnover by M. Scott (bad pass),41,33
2,9:03.0,,D. Gallinari enters the game for M. Scott,41,33
2,8:49.0,M. Leonard misses 3-pt jump shot from 27 ft,,41,33
2,8:45.0,,Defensive rebound by P. Beverley,41,33
2,8:36.0,,T. Wallace misses 2-pt hook shot from 10 ft,41,33
2,8:33.0,,Offensive rebound by T. Wallace,41,33
2,8:31.0,,D. Gallinari misses 3-pt jump shot from 27 ft,41,33
2,8:28.0,,Offensive rebound by M. Harrell,41,33
2,8:27.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by M. Harrell),41,36
2,8:12.0,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),,43,36
2,7:50.0,,M. Harrell makes 2-pt hook shot from 6 ft,43,38
2,7:41.0,N. Stauskas makes 2-pt layup from 1 ft (assist by E. Turner),,45,38
2,7:41.0,,LA Clippers full timeout,45,38
2,7:28.0,,Personal foul by S. Curry (drawn by P. Beverley),45,38
2,7:22.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),45,41
2,7:07.0,Offensive foul by M. Leonard (drawn by P. Beverley),,45,41
2,7:07.0,Turnover by M. Leonard (offensive foul),,45,41
2,6:55.0,,T. Wallace makes 2-pt hook shot from 1 ft,45,43
2,6:45.0,Personal foul by P. Beverley (drawn by Z. Collins),,45,43
2,6:45.0,A. Aminu enters the game for Z. Collins,,45,43
2,6:45.0,M. Harkless enters the game for S. Curry,,45,43
2,6:45.0,D. Lillard enters the game for M. Leonard,,45,43
2,6:45.0,C. McCollum enters the game for N. Stauskas,,45,43
2,6:45.0,J. Nurkić enters the game for E. Turner,,45,43
2,6:39.0,C. McCollum makes 2-pt jump shot from 17 ft,,47,43
2,6:23.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Harkless),47,43
2,6:14.0,C. McCollum misses 2-pt jump shot from 6 ft,,47,43
2,6:11.0,Offensive rebound by C. McCollum,,47,43
2,6:09.0,J. Nurkić makes 2-pt hook shot from 2 ft (assist by C. McCollum),,49,43
2,5:59.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by P. Beverley),49,45
2,5:59.0,,T. Harris enters the game for P. Beverley,49,45
2,5:39.0,J. Nurkić misses 2-pt jump shot from 5 ft,,49,45
2,5:37.0,,Defensive rebound by M. Harrell,49,45
2,5:25.0,,M. Harrell makes 2-pt layup from 2 ft (assist by D. Gallinari),49,47
2,5:03.0,M. Harkless makes 2-pt hook shot from 4 ft,,51,47
2,4:51.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by M. Harrell),51,50
2,4:38.0,Turnover by D. Lillard (bad pass; steal by M. Harrell),,51,50
2,4:34.0,,T. Wallace makes 2-pt layup from 1 ft (assist by T. Harris),51,52
2,4:32.0,Portland full timeout,,51,52
2,4:18.0,D. Lillard makes 2-pt jump shot from 20 ft (assist by J. Nurkić),,53,52
2,4:03.0,,Personal foul by C. McCollum (drawn by T. Wallace),53,52
2,3:55.0,,Turnover by T. Harris (bad pass; steal by D. Lillard),53,52
2,3:53.0,Turnover by D. Lillard (bad pass; steal by T. Wallace),,53,52
2,3:50.0,,Turnover by T. Wallace (bad pass),53,52
2,3:36.0,C. McCollum misses 3-pt jump shot from 25 ft,,53,52
2,3:31.0,,Defensive rebound by M. Harrell,53,52
2,3:29.0,,Shooting foul by C. McCollum (drawn by M. Harrell),53,52
2,3:29.0,,M. Harrell makes free throw 1 of 2,53,53
2,3:29.0,,A. Bradley enters the game for T. Wallace,53,53
2,3:29.0,,Violation by Team (delay of game),53,53
2,3:29.0,,M. Harrell makes free throw 2 of 2,53,54
2,3:17.0,D. Lillard misses 2-pt jump shot from 16 ft,,53,54
2,3:11.0,,Defensive rebound by S. Gilgeous-Alexander,53,54
2,3:08.0,,A. Bradley misses 2-pt jump shot from 17 ft,53,54
2,3:04.0,Defensive rebound by J. Nurkić,,53,54
2,2:51.0,D. Lillard misses 2-pt layup from 3 ft,,53,54
2,2:49.0,,Defensive rebound by D. Gallinari,53,54
2,2:49.0,,Personal foul by J. Nurkić (drawn by D. Gallinari),53,54
2,2:49.0,,D. Gallinari makes free throw 1 of 2,53,55
2,2:49.0,,D. Gallinari makes free throw 2 of 2,53,56
2,2:41.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,56,56
2,2:18.0,,T. Harris misses 2-pt layup from 4 ft (block by M. Harkless),56,56
2,2:15.0,Defensive rebound by J. Nurkić,,56,56
2,2:05.0,Personal foul by A. Bradley (drawn by D. Lillard),,56,56
2,1:57.0,C. McCollum misses 2-pt jump shot from 3 ft,,56,56
2,1:54.0,,Defensive rebound by T. Harris,56,56
2,1:47.0,,T. Harris misses 3-pt jump shot from 25 ft,56,56
2,1:43.0,Defensive rebound by A. Aminu,,56,56
2,1:31.0,C. McCollum makes 2-pt jump shot from 13 ft,,58,56
2,1:16.0,,Personal foul by J. Nurkić (drawn by M. Harrell),58,56
2,1:16.0,,M. Harrell makes free throw 1 of 2,58,57
2,1:16.0,,M. Harrell makes free throw 2 of 2,58,58
2,0:59.0,D. Lillard misses 2-pt jump shot from 10 ft,,58,58
2,0:54.0,,Defensive rebound by D. Gallinari,58,58
2,0:50.0,,A. Bradley misses 3-pt jump shot from 23 ft,58,58
2,0:49.0,,Offensive rebound by T. Harris,58,58
2,0:49.0,,T. Harris makes 2-pt dunk at rim,58,60
2,0:30.0,C. McCollum misses 2-pt jump shot from 15 ft,,58,60
2,0:27.0,,Defensive rebound by T. Harris,58,60
2,0:13.0,,T. Harris misses 2-pt jump shot from 18 ft,58,60
2,0:11.0,,Offensive rebound by Team,58,60
2,0:11.0,Z. Collins enters the game for C. McCollum,,58,60
2,0:11.0,E. Turner enters the game for J. Nurkić,,58,60
2,0:01.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,58,60
2,0:00.0,,Offensive rebound by Team,58,60
3,11:39.0,,T. Harris makes 2-pt jump shot from 8 ft (assist by S. Gilgeous-Alexander),58,62
3,11:19.0,C. McCollum misses 2-pt layup from 2 ft (block by M. Gortat),,58,62
3,11:16.0,,Defensive rebound by D. Gallinari,58,62
3,11:12.0,,D. Gallinari misses 3-pt jump shot from 25 ft,58,62
3,11:09.0,Defensive rebound by M. Harkless,,58,62
3,11:03.0,J. Nurkić misses 2-pt hook shot from 8 ft,,58,62
3,11:01.0,Offensive rebound by Team,,58,62
3,10:52.0,J. Nurkić misses 2-pt layup from 4 ft,,58,62
3,10:51.0,,Defensive rebound by Team,58,62
3,10:29.0,,Shooting foul by M. Harkless (drawn by T. Harris),58,62
3,10:29.0,,T. Harris makes free throw 1 of 2,58,63
3,10:29.0,,T. Harris misses free throw 2 of 2,58,63
3,10:25.0,Defensive rebound by M. Harkless,,58,63
3,10:21.0,D. Lillard makes 3-pt jump shot from 28 ft,,61,63
3,10:00.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,61,63
3,9:57.0,Defensive rebound by A. Aminu,,61,63
3,9:45.0,J. Nurkić makes 2-pt hook shot from 4 ft (assist by D. Lillard),,63,63
3,9:32.0,,D. Gallinari misses 2-pt jump shot from 23 ft,63,63
3,9:32.0,Defensive rebound by Team,,63,63
3,9:22.0,D. Lillard makes 2-pt layup from 1 ft,,65,63
3,9:11.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 5 ft,65,65
3,8:57.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by M. Harkless),,68,65
3,8:45.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by M. Gortat),68,67
3,8:32.0,A. Aminu misses 3-pt jump shot from 26 ft,,68,67
3,8:28.0,,Defensive rebound by T. Harris,68,67
3,8:23.0,,Turnover by D. Gallinari (bad pass; steal by J. Nurkić),68,67
3,8:20.0,A. Aminu makes 2-pt layup from 2 ft,,70,67
3,8:20.0,Shooting foul by S. Gilgeous-Alexander (drawn by A. Aminu),,70,67
3,8:20.0,A. Aminu makes free throw 1 of 1,,71,67
3,8:00.0,,D. Gallinari misses 2-pt layup from 2 ft,71,67
3,7:58.0,Defensive rebound by A. Aminu,,71,67
3,7:49.0,J. Nurkić makes 2-pt layup from 1 ft (assist by A. Aminu),,73,67
3,7:49.0,,LA Clippers full timeout,73,67
3,7:49.0,,B. Marjanović enters the game for M. Gortat,73,67
3,7:29.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft (assist by D. Gallinari),73,69
3,7:14.0,Personal foul by D. Gallinari (drawn by A. Aminu),,73,69
3,7:08.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,76,69
3,6:56.0,,T. Harris misses 3-pt jump shot from 25 ft,76,69
3,6:53.0,Defensive rebound by D. Lillard,,76,69
3,6:46.0,D. Lillard makes 3-pt jump shot from 27 ft,,79,69
3,6:32.0,,Personal foul by M. Harkless (drawn by D. Gallinari),79,69
3,6:32.0,,P. Beverley enters the game for S. Gilgeous-Alexander,79,69
3,6:16.0,,T. Harris makes 2-pt jump shot from 12 ft (assist by D. Gallinari),79,71
3,6:01.0,M. Harkless makes 2-pt layup from 1 ft (assist by J. Nurkić),,81,71
3,5:51.0,,D. Gallinari misses 3-pt jump shot from 25 ft,81,71
3,5:47.0,,Offensive rebound by P. Beverley,81,71
3,5:41.0,,T. Harris makes 2-pt layup from 1 ft (assist by B. Marjanović),81,73
3,5:26.0,Offensive foul by C. McCollum (drawn by A. Bradley),,81,73
3,5:26.0,Turnover by C. McCollum (offensive foul),,81,73
3,5:14.0,,B. Marjanović misses 2-pt hook shot from 1 ft,81,73
3,5:14.0,,Offensive rebound by Team,81,73
3,5:14.0,Loose ball foul by D. Lillard (drawn by D. Gallinari),,81,73
3,5:10.0,,Turnover by A. Bradley (traveling),81,73
3,4:56.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,84,73
3,4:46.0,,P. Beverley makes 3-pt jump shot from 26 ft,84,76
3,4:33.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,86,76
3,4:33.0,Shooting foul by A. Bradley (drawn by C. McCollum),,86,76
3,4:33.0,E. Turner enters the game for M. Harkless,,86,76
3,4:33.0,C. McCollum makes free throw 1 of 1,,87,76
3,4:17.0,,Turnover by B. Marjanović (3 sec),87,76
3,4:01.0,D. Lillard makes 2-pt jump shot from 18 ft,,89,76
3,3:49.0,,Shooting foul by J. Nurkić (drawn by B. Marjanović),89,76
3,3:49.0,,B. Marjanović makes free throw 1 of 2,89,77
3,3:49.0,Z. Collins enters the game for J. Nurkić,,89,77
3,3:49.0,,M. Harrell enters the game for D. Gallinari,89,77
3,3:49.0,Violation by Team (delay of game),,89,77
3,3:49.0,,B. Marjanović makes free throw 2 of 2,89,78
3,3:29.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by D. Lillard),,92,78
3,3:12.0,,T. Harris makes 2-pt jump shot from 11 ft,92,80
3,2:54.0,D. Lillard makes 3-pt jump shot from 25 ft,,95,80
3,2:41.0,Portland full timeout,,95,80
3,2:41.0,S. Curry enters the game for C. McCollum,,95,80
3,2:41.0,,S. Gilgeous-Alexander enters the game for A. Bradley,95,80
3,2:41.0,,T. Wallace enters the game for B. Marjanović,95,80
3,2:29.0,,M. Harrell makes 2-pt hook shot from 6 ft (assist by P. Beverley),95,82
3,2:16.0,Shooting foul by T. Wallace (drawn by Z. Collins),,95,82
3,2:16.0,Z. Collins makes free throw 1 of 2,,96,82
3,2:16.0,Z. Collins makes free throw 2 of 2,,97,82
3,2:15.0,,Personal foul by S. Curry (drawn by P. Beverley),97,82
3,2:15.0,,P. Beverley misses free throw 1 of 2,97,82
3,2:15.0,,Offensive rebound by Team,97,82
3,2:15.0,,P. Beverley makes free throw 2 of 2,97,83
3,2:08.0,Offensive foul by Z. Collins (drawn by M. Harrell),,97,83
3,2:08.0,Turnover by Z. Collins (offensive foul),,97,83
3,2:08.0,N. Stauskas enters the game for A. Aminu,,97,83
3,1:55.0,,Personal foul by S. Curry (drawn by T. Harris),97,83
3,1:55.0,,T. Harris makes free throw 1 of 2,97,84
3,1:55.0,,T. Harris makes free throw 2 of 2,97,85
3,1:45.0,Personal foul by P. Beverley (drawn by D. Lillard),,97,85
3,1:45.0,D. Lillard makes free throw 1 of 2,,98,85
3,1:45.0,D. Lillard misses free throw 2 of 2,,98,85
3,1:41.0,,Defensive rebound by M. Harrell,98,85
3,1:31.0,,T. Harris misses 2-pt layup from 1 ft,98,85
3,1:26.0,Defensive rebound by N. Stauskas,,98,85
3,1:26.0,Shooting foul by P. Beverley (drawn by D. Lillard),,98,85
3,1:26.0,D. Lillard makes free throw 1 of 2,,99,85
3,1:26.0,,M. Scott enters the game for T. Harris,99,85
3,1:26.0,D. Lillard makes free throw 2 of 2,,100,85
3,1:13.0,,M. Harrell misses 2-pt hook shot from 8 ft,100,85
3,1:09.0,Defensive rebound by S. Curry,,100,85
3,1:01.0,S. Curry misses 3-pt jump shot from 25 ft,,100,85
3,0:58.0,,Defensive rebound by M. Scott,100,85
3,0:51.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by P. Beverley),100,88
3,0:30.0,D. Lillard misses 2-pt layup from 2 ft,,100,88
3,0:25.0,Offensive rebound by Z. Collins,,100,88
3,0:25.0,Z. Collins misses 2-pt layup at rim,,100,88
3,0:25.0,,Defensive rebound by M. Scott,100,88
3,0:25.0,M. Leonard enters the game for D. Lillard,,100,88
3,0:04.0,,Turnover by Team (shot clock),100,88
3,0:04.0,D. Lillard enters the game for Z. Collins,,100,88
3,0:00.0,D. Lillard misses 3-pt jump shot from 25 ft,,100,88
3,0:00.0,Offensive rebound by Team,,100,88
4,11:46.0,N. Stauskas makes 2-pt jump shot from 20 ft (assist by M. Leonard),,102,88
4,11:30.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,102,88
4,11:26.0,Defensive rebound by E. Turner,,102,88
4,11:05.0,E. Turner makes 2-pt layup from 1 ft (assist by M. Leonard),,104,88
4,10:49.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,104,88
4,10:46.0,Defensive rebound by S. Curry,,104,88
4,10:36.0,E. Turner makes 2-pt jump shot from 6 ft,,106,88
4,10:33.0,,Personal foul by M. Leonard (drawn by T. Wallace),106,88
4,10:21.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by P. Beverley),106,91
4,10:04.0,N. Stauskas misses 2-pt jump shot from 11 ft,,106,91
4,10:01.0,,Defensive rebound by T. Wallace,106,91
4,9:53.0,,T. Wallace makes 2-pt jump shot from 9 ft,106,93
4,9:35.0,Z. Collins makes 2-pt hook shot from 6 ft,,108,93
4,9:28.0,,Shooting foul by N. Stauskas (drawn by P. Beverley),108,93
4,9:28.0,,P. Beverley makes free throw 1 of 2,108,94
4,9:28.0,,P. Beverley makes free throw 2 of 2,108,95
4,9:14.0,Turnover by E. Turner (bad pass; steal by M. Scott),,108,95
4,9:04.0,,M. Scott misses 2-pt jump shot from 8 ft,108,95
4,9:02.0,Defensive rebound by Z. Collins,,108,95
4,8:47.0,S. Curry misses 2-pt jump shot from 9 ft,,108,95
4,8:43.0,,Defensive rebound by P. Beverley,108,95
4,8:40.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft (assist by P. Beverley),108,97
4,8:40.0,Portland full timeout,,108,97
4,8:40.0,C. McCollum enters the game for S. Curry,,108,97
4,8:20.0,C. McCollum misses 3-pt jump shot from 25 ft,,108,97
4,8:16.0,,Defensive rebound by T. Wallace,108,97
4,8:13.0,,T. Wallace misses 2-pt jump shot from 7 ft,108,97
4,8:13.0,,Offensive rebound by M. Harrell,108,97
4,8:13.0,,Shooting foul by Z. Collins (drawn by M. Harrell),108,97
4,8:13.0,,M. Harrell makes free throw 1 of 2,108,98
4,8:13.0,A. Aminu enters the game for Z. Collins,,108,98
4,8:13.0,J. Nurkić enters the game for M. Leonard,,108,98
4,8:13.0,,M. Harrell misses free throw 2 of 2,108,98
4,8:10.0,Defensive rebound by A. Aminu,,108,98
4,8:07.0,Personal foul by P. Beverley (drawn by E. Turner),,108,98
4,8:07.0,,D. Gallinari enters the game for M. Scott,108,98
4,7:59.0,E. Turner misses 2-pt jump shot from 9 ft,,108,98
4,7:56.0,Offensive rebound by A. Aminu,,108,98
4,7:50.0,E. Turner makes 2-pt layup from 2 ft (assist by N. Stauskas),,110,98
4,7:32.0,,T. Wallace makes 2-pt layup from 2 ft (assist by P. Beverley),110,100
4,7:06.0,A. Aminu misses 3-pt jump shot from 23 ft,,110,100
4,7:04.0,Offensive rebound by Team,,110,100
4,7:04.0,Flagrant foul type 2 by M. Harrell (drawn by J. Nurkić),,110,100
4,7:04.0,,M. Harrell ejected from game,110,100
4,7:04.0,M. Harkless enters the game for N. Stauskas,,110,100
4,7:04.0,D. Lillard enters the game for E. Turner,,110,100
4,7:04.0,,T. Harris enters the game for M. Harrell,110,100
4,7:04.0,Offensive rebound by Team,,110,100
4,7:04.0,J. Nurkić misses flagrant free throw 1 of 2,,110,100
4,7:04.0,J. Nurkić makes flagrant free throw 2 of 2,,111,100
4,6:52.0,Shooting foul by T. Wallace (drawn by D. Lillard),,111,100
4,6:52.0,D. Lillard makes free throw 1 of 3,,112,100
4,6:52.0,D. Lillard misses free throw 2 of 3,,112,100
4,6:52.0,Offensive rebound by Team,,112,100
4,6:52.0,D. Lillard makes free throw 3 of 3,,113,100
4,6:39.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by T. Wallace),113,102
4,6:39.0,,Shooting foul by C. McCollum (drawn by S. Gilgeous-Alexander),113,102
4,6:39.0,,S. Gilgeous-Alexander makes free throw 1 of 1,113,103
4,6:32.0,Personal foul by P. Beverley (drawn by D. Lillard),,113,103
4,6:23.0,C. McCollum makes 2-pt jump shot from 5 ft,,115,103
4,6:00.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by T. Wallace),115,105
4,5:42.0,Turnover by J. Nurkić (lost ball; steal by T. Harris),,115,105
4,5:42.0,,Personal foul by J. Nurkić (drawn by D. Gallinari),115,105
4,5:42.0,,D. Gallinari makes free throw 1 of 2,115,106
4,5:42.0,,A. Bradley enters the game for T. Wallace,115,106
4,5:42.0,,D. Gallinari makes free throw 2 of 2,115,107
4,5:31.0,C. McCollum misses 2-pt jump shot from 13 ft,,115,107
4,5:28.0,,Defensive rebound by S. Gilgeous-Alexander,115,107
4,5:14.0,,P. Beverley misses 2-pt layup from 1 ft (block by J. Nurkić),115,107
4,5:12.0,Defensive rebound by A. Aminu,,115,107
4,5:11.0,Personal foul by A. Bradley (drawn by D. Lillard),,115,107
4,5:11.0,,LA Clippers full timeout,115,107
4,5:11.0,D. Lillard makes free throw 1 of 2,,116,107
4,5:11.0,D. Lillard makes free throw 2 of 2,,117,107
4,4:49.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),117,109
4,4:35.0,Turnover by J. Nurkić (traveling),,117,109
