QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
1,4:28.0,,D. Sabonis makes free throw 1 of 2,12,19
1,4:28.0,,D. Sabonis misses free throw 2 of 2,12,19
1,4:26.0,,Offensive rebound by T. Evans,12,19
1,4:21.0,,Shooting foul by D. Exum (drawn by D. Sabonis),12,19
1,4:21.0,,D. Sabonis misses free throw 1 of 2,12,19
1,4:21.0,,Offensive rebound by Team,12,19
1,4:21.0,,D. Sabonis misses free throw 2 of 2,12,19
1,4:19.0,Defensive rebound by R. Gobert,,12,19
1,4:09.0,A. Burks misses 2-pt jump shot from 19 ft,,12,19
1,4:05.0,,Defensive rebound by D. Sabonis,12,19
1,3:46.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by D. Sabonis),12,22
1,3:28.0,D. Exum misses 2-pt layup from 2 ft,,12,22
1,3:25.0,,Defensive rebound by D. Sabonis,12,22
1,3:25.0,,Turnover by D. Sabonis (bad pass; steal by R. Gobert),12,22
1,3:21.0,J. Crowder misses 3-pt jump shot from 25 ft,,12,22
1,3:20.0,,Defensive rebound by Team,12,22
1,3:20.0,D. Favors enters the game for R. Gobert,,12,22
1,2:59.0,,D. Collison misses 2-pt jump shot from 18 ft,12,22
1,2:56.0,Defensive rebound by J. Crowder,,12,22
1,2:48.0,J. Crowder misses 2-pt layup from 1 ft (block by M. Turner),,12,22
1,2:45.0,,Defensive rebound by D. Collison,12,22
1,2:40.0,,Shooting foul by D. Favors (drawn by D. Sabonis),12,22
1,2:40.0,,D. Sabonis makes free throw 1 of 2,12,23
1,2:40.0,,T. Young enters the game for M. Turner,12,23
1,2:40.0,,D. Sabonis makes free throw 2 of 2,12,24
1,2:22.0,R. O'Neale makes 2-pt layup from 1 ft (assist by J. Crowder),,14,24
1,2:03.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. Sabonis),14,27
1,1:52.0,Turnover by A. Burks (bad pass),,14,27
1,1:52.0,D. Mitchell enters the game for A. Burks,,14,27
1,1:52.0,,A. Holiday enters the game for D. Collison,14,27
1,1:52.0,,D. McDermott enters the game for T. Evans,14,27
1,1:39.0,,D. Sabonis makes 2-pt hook shot from 4 ft (assist by C. Joseph),14,29
1,1:22.0,D. Mitchell makes 2-pt jump shot from 16 ft (assist by J. Crowder),,16,29
1,1:09.0,,D. McDermott misses 3-pt jump shot from 27 ft,16,29
1,1:06.0,Defensive rebound by D. Favors,,16,29
1,0:56.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by D. Mitchell),,19,29
1,0:42.0,Violation by Team (kicked ball),,19,29
1,0:36.0,,C. Joseph makes 2-pt jump shot from 16 ft (assist by D. Sabonis),19,31
1,0:26.0,Turnover by D. Mitchell (bad pass; steal by T. Young),,19,31
1,0:26.0,Loose ball foul by D. Exum (drawn by A. Holiday),,19,31
1,0:26.0,,A. Holiday makes free throw 1 of 2,19,32
1,0:26.0,R. Neto enters the game for D. Exum,,19,32
1,0:26.0,,A. Holiday misses free throw 2 of 2,19,32
1,0:25.0,Defensive rebound by J. Crowder,,19,32
1,0:05.0,D. Mitchell misses 2-pt jump shot from 20 ft,,19,32
1,0:03.0,,Defensive rebound by A. Holiday,19,32
1,0:00.0,,A. Holiday misses 3-pt jump shot from 32 ft,19,32
1,0:00.0,,Offensive rebound by Team,19,32
2,11:42.0,,D. Sabonis makes 3-pt jump shot from 28 ft (assist by C. Joseph),19,35
2,11:19.0,Personal foul by A. Holiday (drawn by J. Crowder),,19,35
2,11:05.0,Turnover by Team (shot clock),,19,35
2,10:50.0,,A. Holiday makes 2-pt jump shot from 9 ft,19,37
2,10:36.0,J. Crowder misses 3-pt jump shot from 27 ft,,19,37
2,10:33.0,,Defensive rebound by C. Joseph,19,37
2,10:27.0,,T. Young misses 2-pt layup from 1 ft (block by J. Crowder),19,37
2,10:25.0,,Offensive rebound by T. Young,19,37
2,10:25.0,,T. Young makes 2-pt layup from 1 ft,19,39
2,10:05.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Neto),,22,39
2,9:46.0,,T. Young makes 2-pt layup from 1 ft (assist by D. Sabonis),22,41
2,9:39.0,Shooting foul by T. Young (drawn by J. Crowder),,22,41
2,9:39.0,J. Crowder makes free throw 1 of 2,,23,41
2,9:39.0,J. Ingles enters the game for R. O'Neale,,23,41
2,9:39.0,J. Crowder makes free throw 2 of 2,,24,41
2,9:39.0,R. Rubio enters the game for R. Neto,,24,41
2,9:17.0,,D. McDermott makes 2-pt dunk from 3 ft (assist by T. Young),24,43
2,9:07.0,Personal foul by A. Holiday (drawn by R. Rubio),,24,43
2,8:54.0,R. Rubio makes 3-pt jump shot from 22 ft (assist by J. Ingles),,27,43
2,8:36.0,,Turnover by D. Sabonis (traveling),27,43
2,8:36.0,A. Burks enters the game for J. Crowder,,27,43
2,8:36.0,T. Sefolosha enters the game for D. Mitchell,,27,43
2,8:36.0,,B. Bogdanović enters the game for T. Young,27,43
2,8:26.0,R. Rubio makes 2-pt layup at rim (assist by J. Ingles),,29,43
2,8:14.0,,C. Joseph misses 2-pt jump shot from 6 ft,29,43
2,8:10.0,Defensive rebound by D. Favors,,29,43
2,7:49.0,Shooting foul by A. Holiday (drawn by R. Rubio),,29,43
2,7:49.0,R. Rubio makes free throw 1 of 2,,30,43
2,7:49.0,R. Gobert enters the game for D. Favors,,30,43
2,7:49.0,,D. Collison enters the game for A. Holiday,30,43
2,7:49.0,R. Rubio misses free throw 2 of 2,,30,43
2,7:46.0,,Defensive rebound by C. Joseph,30,43
2,7:43.0,,Indiana full timeout,30,43
2,7:28.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,30,43
2,7:24.0,Defensive rebound by R. Gobert,,30,43
2,7:17.0,Turnover by J. Ingles (bad pass; steal by C. Joseph),,30,43
2,7:07.0,,C. Joseph misses 2-pt jump shot from 14 ft,30,43
2,7:03.0,Defensive rebound by T. Sefolosha,,30,43
2,6:46.0,Turnover by R. Rubio (lost ball; steal by D. Sabonis),,30,43
2,6:35.0,,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by D. Collison),30,45
2,6:12.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Ingles),,33,45
2,5:53.0,,Turnover by C. Joseph (bad pass; steal by R. Rubio),33,45
2,5:53.0,Personal foul by D. Sabonis (drawn by R. Rubio),,33,45
2,5:53.0,R. Rubio makes free throw 1 of 2,,34,45
2,5:53.0,J. Crowder enters the game for A. Burks,,34,45
2,5:53.0,D. Mitchell enters the game for T. Sefolosha,,34,45
2,5:53.0,,T. Evans enters the game for C. Joseph,34,45
2,5:53.0,,M. Turner enters the game for D. McDermott,34,45
2,5:53.0,,T. Young enters the game for D. Sabonis,34,45
2,5:53.0,R. Rubio makes free throw 2 of 2,,35,45
2,5:40.0,,B. Bogdanović misses 2-pt jump shot from 10 ft,35,45
2,5:37.0,Defensive rebound by R. Gobert,,35,45
2,5:25.0,R. Gobert misses 2-pt layup from 2 ft (block by M. Turner),,35,45
2,5:23.0,,Defensive rebound by M. Turner,35,45
2,5:16.0,,D. Collison makes 2-pt layup at rim,35,47
2,5:01.0,R. Rubio misses 2-pt jump shot from 14 ft,,35,47
2,4:56.0,Offensive rebound by R. Gobert,,35,47
2,4:56.0,R. Gobert misses 2-pt layup from 1 ft,,35,47
2,4:55.0,,Defensive rebound by M. Turner,35,47
2,4:49.0,,M. Turner misses 3-pt jump shot from 27 ft,35,47
2,4:47.0,Defensive rebound by R. Rubio,,35,47
2,4:32.0,J. Ingles misses 2-pt layup from 2 ft,,35,47
2,4:31.0,,Defensive rebound by Team,35,47
2,4:16.0,,Turnover by T. Young (lost ball; steal by R. Rubio),35,47
2,4:10.0,J. Crowder misses 2-pt jump shot from 14 ft,,35,47
2,4:08.0,,Defensive rebound by T. Evans,35,47
2,4:03.0,,Personal foul by J. Crowder (drawn by B. Bogdanović),35,47
2,4:03.0,D. Favors enters the game for R. Gobert,,35,47
2,3:48.0,,D. Collison misses 3-pt jump shot from 23 ft,35,47
2,3:45.0,Defensive rebound by D. Mitchell,,35,47
2,3:38.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Crowder),,38,47
2,3:23.0,,T. Evans misses 2-pt layup from 1 ft,38,47
2,3:21.0,Defensive rebound by J. Crowder,,38,47
2,3:13.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),,41,47
2,3:13.0,,Indiana full timeout,41,47
2,2:56.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),41,49
2,2:46.0,D. Mitchell misses 3-pt jump shot from 27 ft,,41,49
2,2:42.0,,Defensive rebound by M. Turner,41,49
2,2:33.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),41,51
2,2:17.0,Shooting foul by T. Evans (drawn by D. Favors),,41,51
2,2:17.0,D. Favors makes free throw 1 of 2,,42,51
2,2:17.0,,D. Sabonis enters the game for T. Young,42,51
2,2:17.0,D. Favors misses free throw 2 of 2,,42,51
2,2:17.0,,Defensive rebound by Team,42,51
2,2:17.0,Loose ball foul by J. Crowder (drawn by D. Sabonis),,42,51
2,2:17.0,R. O'Neale enters the game for J. Crowder,,42,51
2,1:58.0,,D. Sabonis misses 2-pt layup from 1 ft,42,51
2,1:55.0,Defensive rebound by R. O'Neale,,42,51
2,1:49.0,Personal foul by M. Turner (drawn by D. Mitchell),,42,51
2,1:49.0,D. Mitchell makes free throw 1 of 2,,43,51
2,1:49.0,D. Mitchell misses free throw 2 of 2,,43,51
2,1:47.0,,Defensive rebound by M. Turner,43,51
2,1:27.0,,T. Evans makes 2-pt layup from 1 ft,43,53
2,1:18.0,R. O'Neale makes 2-pt layup at rim (assist by J. Ingles),,45,53
2,0:58.0,,D. Sabonis makes 2-pt jump shot from 16 ft (assist by T. Evans),45,55
2,0:44.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,47,55
2,0:31.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by M. Turner),47,57
2,0:10.0,D. Favors misses 2-pt layup from 1 ft,,47,57
2,0:09.0,,Defensive rebound by D. Sabonis,47,57
2,0:02.0,,T. Evans misses 2-pt layup from 6 ft,47,57
2,0:00.0,Defensive rebound by J. Ingles,,47,57
3,11:48.0,,T. Evans misses 2-pt layup from 1 ft,47,57
3,11:46.0,Defensive rebound by R. Gobert,,47,57
3,11:34.0,D. Favors misses 2-pt dunk from 2 ft,,47,57
3,11:31.0,,Defensive rebound by D. Collison,47,57
3,11:19.0,,M. Turner misses 2-pt jump shot from 13 ft,47,57
3,11:16.0,Defensive rebound by D. Favors,,47,57
3,11:07.0,Turnover by D. Mitchell (bad pass; steal by T. Evans),,47,57
3,11:02.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),47,59
3,10:51.0,D. Mitchell makes 2-pt jump shot from 11 ft,,49,59
3,10:32.0,,T. Evans misses 3-pt jump shot from 26 ft,49,59
3,10:30.0,Defensive rebound by R. Gobert,,49,59
3,10:19.0,D. Favors misses 3-pt jump shot from 23 ft,,49,59
3,10:17.0,Offensive rebound by R. Rubio,,49,59
3,10:06.0,Shooting foul by T. Evans (drawn by R. Gobert),,49,59
3,10:06.0,R. Gobert misses free throw 1 of 2,,49,59
3,10:06.0,Offensive rebound by Team,,49,59
3,10:06.0,R. Gobert makes free throw 2 of 2,,50,59
3,9:51.0,,M. Turner misses 2-pt jump shot from 16 ft,50,59
3,9:48.0,Defensive rebound by R. Gobert,,50,59
3,9:33.0,D. Mitchell misses 2-pt jump shot from 22 ft,,50,59
3,9:31.0,,Defensive rebound by T. Young,50,59
3,9:22.0,,Personal foul by D. Mitchell (drawn by T. Evans),50,59
3,9:09.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,50,62
3,8:54.0,R. Rubio makes 3-pt jump shot from 24 ft,,53,62
3,8:33.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),53,64
3,8:23.0,R. Rubio misses 2-pt jump shot from 11 ft,,53,64
3,8:19.0,,Defensive rebound by B. Bogdanović,53,64
3,8:13.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by D. Favors),53,64
3,8:08.0,,Offensive rebound by B. Bogdanović,53,64
3,8:06.0,Violation by Team (kicked ball),,53,64
3,8:06.0,J. Crowder enters the game for D. Favors,,53,64
3,7:55.0,,B. Bogdanović makes 2-pt layup from 2 ft,53,66
3,7:44.0,Turnover by R. Rubio (bad pass; steal by B. Bogdanović),,53,66
3,7:42.0,,Personal take foul by J. Ingles (drawn by T. Young),53,66
3,7:27.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by M. Turner),53,69
3,7:10.0,J. Ingles misses 3-pt jump shot from 27 ft,,53,69
3,7:09.0,,Defensive rebound by T. Young,53,69
3,7:00.0,,T. Young makes 2-pt hook shot from 4 ft (assist by D. Collison),53,71
3,6:46.0,Personal foul by T. Young (drawn by R. Rubio),,53,71
3,6:46.0,,Indiana full timeout,53,71
3,6:33.0,R. Rubio makes 3-pt jump shot from 24 ft,,56,71
3,6:17.0,,Offensive foul by T. Young (drawn by R. Rubio),56,71
3,6:17.0,,Turnover by T. Young (offensive foul),56,71
3,6:06.0,Shooting foul by M. Turner (drawn by R. Gobert),,56,71
3,6:06.0,R. Gobert makes free throw 1 of 2,,57,71
3,6:06.0,R. Gobert misses free throw 2 of 2,,57,71
3,6:04.0,,Defensive rebound by M. Turner,57,71
3,5:46.0,,T. Evans misses 3-pt jump shot from 26 ft,57,71
3,5:42.0,Defensive rebound by R. Gobert,,57,71
3,5:28.0,R. Rubio makes 2-pt jump shot from 19 ft,,59,71
3,5:08.0,,B. Bogdanović makes 2-pt jump shot from 20 ft,59,73
3,4:56.0,R. Rubio makes 2-pt jump shot from 20 ft,,61,73
3,4:38.0,,T. Young makes 2-pt layup at rim (assist by M. Turner),61,75
3,4:26.0,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),,63,75
3,4:02.0,,D. Collison misses 2-pt jump shot from 17 ft,63,75
3,3:58.0,,Offensive rebound by D. Collison,63,75
3,3:56.0,,D. Collison makes 2-pt layup from 1 ft,63,77
3,3:55.0,Utah full timeout,,63,77
3,3:55.0,A. Burks enters the game for J. Ingles,,63,77
3,3:55.0,D. Exum enters the game for D. Mitchell,,63,77
3,3:55.0,,C. Joseph enters the game for B. Bogdanović,63,77
3,3:55.0,,D. Sabonis enters the game for T. Young,63,77
3,3:42.0,R. Rubio makes 2-pt jump shot from 10 ft,,65,77
3,3:21.0,,T. Evans misses 2-pt layup from 3 ft,65,77
3,3:18.0,,D. Sabonis makes 2-pt layup from 1 ft,65,79
3,3:18.0,,Offensive rebound by D. Sabonis,65,79
3,3:03.0,Turnover by R. Rubio (out of bounds lost ball),,65,79
3,3:03.0,D. Favors enters the game for R. Gobert,,65,79
3,3:03.0,,A. Holiday enters the game for D. Collison,65,79
3,2:51.0,,M. Turner misses 2-pt jump shot from 18 ft,65,79
3,2:48.0,Defensive rebound by J. Crowder,,65,79
3,2:39.0,D. Favors misses 2-pt hook shot from 3 ft,,65,79
3,2:37.0,,Defensive rebound by D. Sabonis,65,79
3,2:21.0,,Turnover by M. Turner (lost ball; steal by R. Rubio),65,79
3,2:15.0,A. Burks makes 2-pt layup from 3 ft (assist by J. Crowder),,67,79
3,2:02.0,,A. Holiday makes 3-pt jump shot from 29 ft (assist by D. Sabonis),67,82
3,1:42.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. Rubio),,70,82
3,1:27.0,,A. Holiday makes 2-pt jump shot from 16 ft,70,84
3,1:10.0,R. Rubio misses 3-pt jump shot from 25 ft,,70,84
3,1:07.0,,Defensive rebound by D. Sabonis,70,84
3,1:00.0,,T. Evans misses 2-pt jump shot from 18 ft,70,84
3,0:55.0,Defensive rebound by R. Rubio,,70,84
3,0:51.0,Turnover by D. Exum (step out of bounds),,70,84
3,0:51.0,J. Ingles enters the game for A. Burks,,70,84
3,0:51.0,D. Mitchell enters the game for R. Rubio,,70,84
3,0:51.0,,D. McDermott enters the game for T. Evans,70,84
3,0:51.0,,T. Young enters the game for M. Turner,70,84
3,0:31.0,,T. Young makes 2-pt dunk from 1 ft (assist by D. Sabonis),70,86
3,0:17.0,D. Mitchell misses 2-pt jump shot from 8 ft,,70,86
3,0:15.0,,Defensive rebound by A. Holiday,70,86
3,0:04.0,,A. Holiday misses 2-pt layup from 2 ft (block by J. Crowder),70,86
3,0:04.0,Defensive rebound by Team,,70,86
3,0:00.0,J. Ingles misses 3-pt jump shot from 29 ft,,70,86
3,0:00.0,Offensive rebound by Team,,70,86
4,11:42.0,D. Exum makes 2-pt layup from 1 ft,,72,86
4,11:26.0,,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),72,88
4,11:10.0,Turnover by J. Ingles (bad pass; steal by D. Sabonis),,72,88
4,11:10.0,,Personal foul by D. Favors (drawn by D. Sabonis),72,88
4,10:49.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by A. Holiday),72,90
4,10:35.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by D. Exum),,75,90
4,10:13.0,,T. Young misses 3-pt jump shot from 23 ft,75,90
4,10:11.0,Defensive rebound by D. Favors,,75,90
4,10:00.0,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),,77,90
4,9:45.0,,A. Holiday makes 3-pt jump shot from 26 ft (assist by D. McDermott),77,93
4,9:25.0,J. Crowder misses 3-pt jump shot from 26 ft,,77,93
4,9:23.0,,Defensive rebound by D. Sabonis,77,93
4,9:06.0,,T. Young makes 2-pt layup from 1 ft,77,95
4,8:52.0,Personal foul by T. Young (drawn by J. Crowder),,77,95
4,8:52.0,R. Gobert enters the game for J. Crowder,,77,95
4,8:52.0,T. Sefolosha enters the game for D. Favors,,77,95
4,8:52.0,,B. Bogdanović enters the game for T. Young,77,95
4,8:46.0,R. Gobert makes 2-pt layup from 3 ft (assist by D. Exum),,79,95
4,8:32.0,,D. McDermott makes 2-pt jump shot from 20 ft (assist by D. Sabonis),79,97
4,8:19.0,Personal foul by D. McDermott (drawn by R. Gobert),,79,97
4,8:19.0,R. Rubio enters the game for D. Exum,,79,97
4,8:14.0,J. Ingles misses 3-pt jump shot from 27 ft,,79,97
4,8:13.0,,Defensive rebound by A. Holiday,79,97
4,8:08.0,,Personal foul by R. Rubio (drawn by A. Holiday),79,97
4,8:08.0,R. O'Neale enters the game for J. Ingles,,79,97
4,8:02.0,,C. Joseph misses 2-pt jump shot from 8 ft (block by R. Rubio),79,97
4,7:59.0,,Offensive rebound by C. Joseph,79,97
4,7:58.0,,Offensive foul by D. Sabonis (drawn by R. Rubio),79,97
4,7:58.0,,Turnover by D. Sabonis (offensive foul),79,97
4,7:46.0,T. Sefolosha misses 2-pt jump shot from 21 ft,,79,97
4,7:42.0,,Defensive rebound by A. Holiday,79,97
4,7:37.0,,C. Joseph misses 2-pt layup from 1 ft (block by T. Sefolosha),79,97
4,7:37.0,,Offensive rebound by Team,79,97
4,7:25.0,,D. Sabonis misses 2-pt hook shot from 3 ft,79,97
4,7:23.0,,Offensive rebound by C. Joseph,79,97
4,7:22.0,,C. Joseph misses 2-pt jump shot from 11 ft,79,97
4,7:22.0,Defensive rebound by R. O'Neale,,79,97
4,7:13.0,Turnover by T. Sefolosha (traveling),,79,97
4,7:03.0,,C. Joseph makes 2-pt layup from 1 ft,79,99
4,6:43.0,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),,81,99
4,6:24.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by C. Joseph),81,102
4,6:22.0,Utah full timeout,,81,102
4,6:22.0,A. Burks enters the game for D. Mitchell,,81,102
4,6:22.0,R. Neto enters the game for R. Rubio,,81,102
4,6:06.0,A. Burks misses 2-pt layup from 1 ft,,81,102
4,6:04.0,,Defensive rebound by D. Sabonis,81,102
4,5:53.0,,Turnover by D. Sabonis (bad pass; steal by A. Burks),81,102
4,5:43.0,R. Neto makes 2-pt layup from 1 ft (assist by A. Burks),,83,102
4,5:20.0,,A. Holiday makes 2-pt jump shot from 15 ft (assist by D. Sabonis),83,104
4,5:07.0,Turnover by R. Neto (bad pass; steal by C. Joseph),,83,104
4,5:03.0,,Shooting foul by R. O'Neale (drawn by D. McDermott),83,104
4,5:03.0,,D. McDermott makes free throw 1 of 2,83,105
4,5:03.0,E. Udoh enters the game for R. Gobert,,83,105
4,5:03.0,,D. McDermott makes free throw 2 of 2,83,106
4,4:52.0,A. Burks misses 2-pt layup from 1 ft,,83,106
4,4:49.0,,Defensive rebound by A. Holiday,83,106
4,4:45.0,,Shooting foul by E. Udoh (drawn by A. Holiday),83,106
4,4:45.0,,A. Holiday makes free throw 1 of 2,83,107
4,4:45.0,,A. Holiday misses free throw 2 of 2,83,107
4,4:43.0,Defensive rebound by T. Sefolosha,,83,107
4,4:33.0,Personal foul by B. Bogdanović (drawn by E. Udoh),,83,107
4,4:33.0,G. Allen enters the game for A. Burks,,83,107
4,4:33.0,D. Exum enters the game for R. O'Neale,,83,107
4,4:20.0,T. Sefolosha misses 2-pt jump shot from 12 ft,,83,107
4,4:17.0,,Defensive rebound by D. Sabonis,83,107
4,4:03.0,,D. Sabonis makes 3-pt jump shot from 26 ft (assist by C. Joseph),83,110
4,3:46.0,G. Allen makes 3-pt jump shot from 28 ft (assist by T. Sefolosha),,86,110
4,3:33.0,,A. Holiday misses 3-pt jump shot from 26 ft,86,110
4,3:29.0,Defensive rebound by D. Exum,,86,110
4,3:22.0,E. Udoh makes 2-pt dunk from 2 ft (assist by D. Exum),,88,110
4,3:08.0,,C. Joseph misses 3-pt jump shot from 27 ft,88,110
4,3:05.0,Defensive rebound by E. Udoh,,88,110
4,2:53.0,R. Neto misses 3-pt jump shot from 26 ft,,88,110
4,2:50.0,,Defensive rebound by A. Holiday,88,110
4,2:48.0,,A. Holiday makes 2-pt layup from 1 ft,88,112
4,2:48.0,,Shooting foul by G. Allen (drawn by A. Holiday),88,112
4,2:48.0,,Indiana full timeout,88,112
4,2:48.0,,T. Leaf enters the game for B. Bogdanović,88,112
4,2:48.0,,K. O'Quinn enters the game for D. Sabonis,88,112
4,2:48.0,,A. Holiday makes free throw 1 of 1,88,113
4,2:37.0,G. Allen misses 3-pt jump shot from 27 ft,,88,113
4,2:35.0,,Defensive rebound by K. O'Quinn,88,113
4,2:25.0,,A. Holiday makes 2-pt dunk from 1 ft (assist by K. O'Quinn),88,115
4,2:07.0,G. Allen makes 2-pt dunk from 1 ft,,90,115
4,1:54.0,,Shooting foul by T. Sefolosha (drawn by D. McDermott),90,115
4,1:54.0,,D. McDermott makes free throw 1 of 2,90,116
4,1:54.0,,D. Reed enters the game for C. Joseph,90,116
4,1:54.0,,D. McDermott makes free throw 2 of 2,90,117
4,1:45.0,Personal foul by D. McDermott (drawn by G. Allen),,90,117
4,1:39.0,G. Allen misses 2-pt layup from 4 ft,,90,117
4,1:36.0,,Defensive rebound by K. O'Quinn,90,117
4,1:30.0,,D. McDermott misses 3-pt jump shot from 24 ft,90,117
4,1:26.0,,Offensive rebound by T. Leaf,90,117
