QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
4,10:59.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by L. Kennard),86,95
4,10:45.0,Turnover by I. Briscoe (bad pass; steal by S. Johnson),,86,95
4,10:35.0,,L. Galloway misses 3-pt jump shot from 27 ft,86,95
4,10:30.0,,Offensive rebound by A. Drummond,86,95
4,10:19.0,,Turnover by Team (shot clock),86,95
4,10:05.0,I. Briscoe misses 3-pt jump shot from 26 ft,,86,95
4,10:02.0,Offensive rebound by K. Birch,,86,95
4,10:01.0,K. Birch misses 2-pt layup at rim,,86,95
4,10:01.0,,Defensive rebound by A. Drummond,86,95
4,9:46.0,,L. Kennard makes 2-pt jump shot from 17 ft,86,97
4,9:45.0,Orlando full timeout,,86,97
4,9:27.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by K. Birch),,89,97
4,9:06.0,,Turnover by A. Drummond (back court),89,97
4,8:51.0,E. Fournier misses 3-pt jump shot from 26 ft,,89,97
4,8:47.0,,Defensive rebound by Team,89,97
4,8:30.0,,L. Kennard misses 2-pt layup from 5 ft,89,97
4,8:28.0,,Offensive rebound by A. Drummond,89,97
4,8:28.0,,A. Drummond misses 2-pt hook shot from 2 ft,89,97
4,8:28.0,,Offensive rebound by Team,89,97
4,8:16.0,,I. Smith misses 2-pt jump shot from 16 ft,89,97
4,8:14.0,Defensive rebound by Team,,89,97
4,7:59.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by E. Fournier),,92,97
4,7:40.0,,Shooting foul by T. Ross (drawn by S. Johnson),92,97
4,7:40.0,,S. Johnson misses free throw 1 of 2,92,97
4,7:40.0,,Offensive rebound by Team,92,97
4,7:40.0,W. Iwundu enters the game for E. Fournier,,92,97
4,7:40.0,,S. Johnson makes free throw 2 of 2,92,98
4,7:23.0,I. Briscoe makes 2-pt jump shot from 7 ft,,94,98
4,7:23.0,Shooting foul by I. Smith (drawn by I. Briscoe),,94,98
4,7:23.0,E. Fournier enters the game for W. Iwundu,,94,98
4,7:23.0,I. Briscoe misses free throw 1 of 1,,94,98
4,7:21.0,,Defensive rebound by I. Smith,94,98
4,7:07.0,,I. Smith misses 2-pt jump shot from 19 ft,94,98
4,7:03.0,Defensive rebound by I. Briscoe,,94,98
4,6:58.0,T. Ross misses 3-pt jump shot from 25 ft,,94,98
4,6:53.0,,Defensive rebound by I. Smith,94,98
4,6:42.0,,L. Kennard makes 2-pt layup from 7 ft,94,100
4,6:42.0,,Shooting foul by T. Ross (drawn by L. Kennard),94,100
4,6:42.0,D. Augustin enters the game for I. Briscoe,,94,100
4,6:42.0,,R. Jackson enters the game for I. Smith,94,100
4,6:42.0,,L. Kennard makes free throw 1 of 1,94,101
4,6:25.0,J. Isaac misses 3-pt jump shot from 27 ft,,94,101
4,6:20.0,,Defensive rebound by R. Jackson,94,101
4,6:11.0,,R. Jackson misses 2-pt jump shot from 7 ft (block by K. Birch),94,101
4,6:10.0,,Offensive rebound by R. Jackson,94,101
4,6:07.0,,S. Johnson misses 3-pt jump shot from 23 ft,94,101
4,6:07.0,Defensive rebound by D. Augustin,,94,101
4,5:49.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by E. Fournier),,97,101
4,5:48.0,,Detroit full timeout,97,101
4,5:48.0,N. Vučević enters the game for K. Birch,,97,101
4,5:48.0,,R. Bullock enters the game for L. Galloway,97,101
4,5:48.0,,B. Griffin enters the game for S. Johnson,97,101
4,5:30.0,,L. Kennard makes 2-pt hook shot from 5 ft,97,103
4,5:05.0,N. Vučević misses 2-pt dunk from 2 ft (block by A. Drummond),,97,103
4,5:02.0,,Defensive rebound by L. Kennard,97,103
4,5:02.0,A. Gordon enters the game for T. Ross,,97,103
4,4:40.0,,R. Bullock makes 2-pt layup from 1 ft (assist by A. Drummond),97,105
4,4:20.0,E. Fournier makes 2-pt layup from 1 ft,,99,105
4,4:11.0,,Offensive foul by A. Drummond (drawn by D. Augustin),99,105
4,4:11.0,,Turnover by A. Drummond (offensive foul),99,105
4,4:02.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,102,105
4,3:33.0,,B. Griffin misses 2-pt jump shot from 12 ft,102,105
4,3:32.0,Defensive rebound by A. Gordon,,102,105
4,3:28.0,E. Fournier misses 3-pt jump shot from 27 ft,,102,105
4,3:25.0,Offensive rebound by N. Vučević,,102,105
4,3:23.0,N. Vučević makes 2-pt layup from 2 ft (assist by J. Isaac),,104,105
4,3:06.0,,Personal foul by A. Gordon (drawn by B. Griffin),104,105
4,3:01.0,,Shooting foul by A. Gordon (drawn by B. Griffin),104,105
4,3:01.0,,B. Griffin makes free throw 1 of 2,104,106
4,3:01.0,,B. Griffin makes free throw 2 of 2,104,107
4,3:01.0,Orlando full timeout,,104,107
4,3:01.0,T. Ross enters the game for J. Isaac,,104,107
4,2:44.0,Shooting foul by L. Kennard (drawn by E. Fournier),,104,107
4,2:44.0,E. Fournier misses free throw 1 of 2,,104,107
4,2:44.0,Offensive rebound by Team,,104,107
4,2:44.0,E. Fournier makes free throw 2 of 2,,105,107
4,2:33.0,,R. Bullock misses 3-pt jump shot from 25 ft,105,107
4,2:30.0,Defensive rebound by A. Gordon,,105,107
4,2:14.0,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),,107,107
4,2:01.0,,B. Griffin misses 3-pt jump shot from 25 ft,107,107
4,1:57.0,Defensive rebound by T. Ross,,107,107
4,1:51.0,D. Augustin makes 2-pt layup from 2 ft,,109,107
4,1:34.0,,Turnover by R. Bullock (bad pass; steal by T. Ross),109,107
4,1:12.0,D. Augustin misses 3-pt jump shot from 27 ft,,109,107
4,1:09.0,,Defensive rebound by L. Kennard,109,107
4,0:50.0,,R. Bullock misses 3-pt jump shot from 30 ft,109,107
4,0:47.0,,Offensive rebound by A. Drummond,109,107
4,0:36.0,,R. Jackson misses 2-pt layup from 5 ft,109,107
4,0:35.0,,Offensive rebound by A. Drummond,109,107
4,0:35.0,,A. Drummond misses 2-pt layup from 2 ft,109,107
4,0:34.0,,Offensive rebound by A. Drummond,109,107
4,0:32.0,,A. Drummond makes 2-pt layup from 2 ft,109,109
4,0:22.0,N. Vučević misses 2-pt jump shot from 19 ft,,109,109
4,0:20.0,,Defensive rebound by R. Jackson,109,109
4,0:20.0,,Detroit full timeout,109,109
4,0:20.0,J. Isaac enters the game for D. Augustin,,109,109
4,0:20.0,W. Iwundu enters the game for T. Ross,,109,109
4,0:00.0,,B. Griffin misses 2-pt jump shot from 20 ft,109,109
4,0:00.0,,Offensive rebound by Team,109,109
1OT,4:39.0,,A. Drummond makes 2-pt hook shot from 7 ft (assist by R. Jackson),109,111
1OT,4:24.0,N. Vučević misses 2-pt jump shot from 17 ft,,109,111
1OT,4:21.0,,Defensive rebound by L. Kennard,109,111
