QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
1,2:35.0,,Personal foul by D. Ayton (drawn by A. Davis),19,27
1,2:35.0,,A. Davis makes free throw 1 of 2,19,28
1,2:35.0,,A. Davis makes free throw 2 of 2,19,29
1,2:35.0,,J. Randle enters the game for A. Davis,19,29
1,2:12.0,E. Okobo misses 2-pt layup from 2 ft (block by C. Diallo),,19,29
1,2:09.0,,Defensive rebound by C. Diallo,19,29
1,1:58.0,,J. Randle makes 2-pt layup from 6 ft,19,31
1,1:44.0,Personal foul by D. Miller (drawn by D. Booker),,19,31
1,1:35.0,Shooting foul by D. Miller (drawn by T. Ariza),,19,31
1,1:35.0,T. Ariza makes free throw 1 of 2,,20,31
1,1:35.0,T. Ariza makes free throw 2 of 2,,21,31
1,1:17.0,,Turnover by J. Randle (bad pass; steal by J. Jackson),21,31
1,1:11.0,J. Jackson misses 2-pt layup from 2 ft (block by J. Randle),,21,31
1,1:08.0,,Defensive rebound by I. Clark,21,31
1,1:04.0,,C. Diallo makes 2-pt layup from 2 ft (assist by J. Randle),21,33
1,0:49.0,J. Jackson misses 2-pt hook shot from 6 ft,,21,33
1,0:47.0,Offensive rebound by J. Jackson,,21,33
1,0:44.0,D. Booker misses 2-pt jump shot from 16 ft,,21,33
1,0:41.0,,Defensive rebound by J. Holiday,21,33
1,0:39.0,,Turnover by J. Holiday (bad pass),21,33
1,0:31.0,Personal foul by J. Holiday (drawn by D. Booker),,21,33
1,0:31.0,D. Booker makes free throw 1 of 2,,22,33
1,0:31.0,D. Booker makes free throw 2 of 2,,23,33
1,0:21.0,,Turnover by C. Diallo (traveling),23,33
1,0:08.0,D. Booker makes 3-pt jump shot from 25 ft,,26,33
1,0:00.0,,J. Randle misses 3-pt jump shot from 26 ft,26,33
1,0:00.0,Defensive rebound by D. Booker,,26,33
2,12:00.0,Violation by Team (delay of game),,26,33
2,11:39.0,T. Warren misses 3-pt jump shot from 24 ft,,26,33
2,11:34.0,,Defensive rebound by T. Frazier,26,33
2,11:23.0,,J. Randle makes 2-pt layup from 2 ft (assist by D. Miller),26,35
2,11:11.0,J. Jackson misses 2-pt jump shot from 17 ft,,26,35
2,11:08.0,,Defensive rebound by C. Diallo,26,35
2,11:00.0,,C. Diallo misses 2-pt layup from 4 ft (block by J. Jackson),26,35
2,10:57.0,Defensive rebound by T. Warren,,26,35
2,10:54.0,M. Bridges misses 3-pt jump shot from 23 ft,,26,35
2,10:50.0,,Defensive rebound by J. Randle,26,35
2,10:39.0,,J. Randle misses 3-pt jump shot from 26 ft,26,35
2,10:35.0,Defensive rebound by J. Jackson,,26,35
2,10:31.0,Personal foul by C. Diallo (drawn by D. Ayton),,26,35
2,10:21.0,T. Warren makes 2-pt jump shot from 9 ft,,28,35
2,10:21.0,Shooting foul by D. Miller (drawn by T. Warren),,28,35
2,10:21.0,,K. Williams enters the game for D. Miller,28,35
2,10:21.0,T. Warren makes free throw 1 of 1,,29,35
2,9:58.0,,K. Williams misses 2-pt jump shot from 18 ft,29,35
2,9:55.0,Defensive rebound by D. Ayton,,29,35
2,9:49.0,J. Jackson misses 3-pt jump shot from 25 ft,,29,35
2,9:45.0,,Defensive rebound by K. Williams,29,35
2,9:40.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by T. Frazier),29,38
2,9:25.0,Turnover by D. Ayton (traveling),,29,38
2,9:13.0,,I. Clark misses 2-pt jump shot from 7 ft,29,38
2,9:08.0,,Offensive rebound by C. Diallo,29,38
2,9:08.0,,C. Diallo misses 2-pt layup from 1 ft,29,38
2,9:06.0,,Offensive rebound by C. Diallo,29,38
2,9:06.0,,C. Diallo makes 2-pt layup from 1 ft,29,40
2,8:55.0,T. Warren misses 2-pt layup from 2 ft,,29,40
2,8:54.0,Offensive rebound by T. Warren,,29,40
2,8:52.0,T. Warren makes 2-pt layup from 1 ft,,31,40
2,8:42.0,,Personal foul by M. Bridges (drawn by I. Clark),31,40
2,8:42.0,R. Holmes enters the game for D. Ayton,,31,40
2,8:30.0,,I. Clark misses 2-pt jump shot from 21 ft,31,40
2,8:27.0,Defensive rebound by E. Okobo,,31,40
2,8:19.0,Personal foul by K. Williams (drawn by R. Holmes),,31,40
2,8:19.0,J. Crawford enters the game for J. Jackson,,31,40
2,8:19.0,,W. Johnson enters the game for C. Diallo,31,40
2,8:14.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Crawford),,33,40
2,8:03.0,,I. Clark makes 2-pt jump shot from 18 ft (assist by J. Randle),33,42
2,7:53.0,Shooting foul by K. Williams (drawn by T. Warren),,33,42
2,7:53.0,T. Warren makes free throw 1 of 2,,34,42
2,7:53.0,,A. Davis enters the game for J. Randle,34,42
2,7:53.0,T. Warren makes free throw 2 of 2,,35,42
2,7:46.0,,A. Davis makes 2-pt dunk at rim (assist by I. Clark),35,44
