QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
2,9:13.0,,Defensive rebound by D. Wade,25,27
2,9:08.0,,Personal take foul by D. Bacon (drawn by H. Whiteside),25,27
2,8:55.0,,G. Dragić misses 3-pt jump shot from 26 ft,25,27
2,8:55.0,Defensive rebound by M. Kidd-Gilchrist,,25,27
2,8:42.0,T. Parker makes 2-pt jump shot from 17 ft,,27,27
2,8:42.0,N. Batum enters the game for D. Bacon,,27,27
2,8:42.0,K. Walker enters the game for J. Lamb,,27,27
2,8:25.0,,J. Richardson misses 3-pt jump shot from 24 ft,27,27
2,8:23.0,Defensive rebound by Team,,27,27
2,8:10.0,T. Parker makes 2-pt layup from 2 ft,,29,27
2,7:58.0,,B. Adebayo enters the game for H. Whiteside,29,27
2,7:58.0,,Turnover by J. Johnson (lost ball; steal by M. Kidd-Gilchrist),29,27
2,7:51.0,Shooting foul by J. Johnson (drawn by T. Parker),,29,27
2,7:51.0,T. Parker makes free throw 1 of 2,,30,27
2,7:51.0,T. Parker makes free throw 2 of 2,,31,27
2,7:35.0,,Offensive foul by G. Dragić (drawn by K. Walker),31,27
2,7:35.0,,Turnover by G. Dragić (offensive foul),31,27
2,7:35.0,B. Biyombo enters the game for F. Kaminsky,,31,27
2,7:35.0,M. Williams enters the game for M. Kidd-Gilchrist,,31,27
2,7:35.0,,R. McGruder enters the game for J. Johnson,31,27
2,7:35.0,,K. Olynyk enters the game for J. Richardson,31,27
2,7:35.0,,D. Waiters enters the game for D. Wade,31,27
2,7:21.0,B. Biyombo misses 2-pt layup from 2 ft,,31,27
2,7:19.0,,Defensive rebound by B. Adebayo,31,27
2,7:15.0,,B. Adebayo makes 2-pt layup from 1 ft,31,29
2,7:15.0,,Shooting foul by B. Biyombo (drawn by B. Adebayo),31,29
2,7:15.0,,B. Adebayo misses free throw 1 of 1,31,29
2,7:12.0,Defensive rebound by N. Batum,,31,29
2,7:00.0,Turnover by M. Williams (bad pass; steal by B. Adebayo),,31,29
2,6:51.0,,D. Waiters misses 3-pt jump shot from 25 ft,31,29
2,6:47.0,Defensive rebound by B. Biyombo,,31,29
2,6:28.0,M. Williams misses 3-pt jump shot from 23 ft,,31,29
2,6:26.0,,Defensive rebound by R. McGruder,31,29
2,6:10.0,,B. Adebayo misses 2-pt layup from 2 ft,31,29
2,6:09.0,Defensive rebound by B. Biyombo,,31,29
2,6:09.0,Charlotte full timeout,,31,29
2,6:09.0,J. Lamb enters the game for T. Parker,,31,29
