QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
1,3:08.0,Defensive rebound by K. Bates-Diop,,26,18
1,2:57.0,K. Bates-Diop makes 2-pt layup from 2 ft (assist by T. Jones),,28,18
1,2:50.0,,Dallas full timeout,28,18
1,2:50.0,C. Reynolds enters the game for J. Okogie,,28,18
1,2:50.0,,T. Burke enters the game for J. Brunson,28,18
1,2:50.0,,D. Harris enters the game for L. Dončić,28,18
1,2:37.0,,S. Mejri makes 2-pt layup from 3 ft (assist by J. Jackson),28,20
1,2:16.0,C. Reynolds makes 2-pt jump shot from 21 ft (assist by G. Dieng),,30,20
1,1:59.0,,T. Burke makes 2-pt jump shot from 12 ft (assist by J. Jackson),30,22
1,1:47.0,Personal foul by S. Mejri (drawn by K. Towns),,30,22
1,1:47.0,J. Bayless enters the game for T. Jones,,30,22
1,1:47.0,A. Tolliver enters the game for K. Towns,,30,22
1,1:47.0,,C. Lee enters the game for J. Jackson,30,22
1,1:38.0,G. Dieng misses 2-pt jump shot from 17 ft,,30,22
1,1:35.0,,Defensive rebound by S. Mejri,30,22
1,1:21.0,,S. Mejri makes 2-pt dunk from 1 ft (assist by T. Burke),30,24
1,1:05.0,K. Bates-Diop misses 2-pt jump shot from 9 ft,,30,24
1,1:05.0,,Defensive rebound by Team,30,24
1,1:05.0,Loose ball foul by A. Tolliver (drawn by D. Harris),,30,24
1,0:53.0,,T. Burke misses 3-pt jump shot from 24 ft,30,24
1,0:53.0,,Offensive rebound by Team,30,24
1,0:53.0,,Personal foul by C. Reynolds (drawn by S. Mejri),30,24
1,0:53.0,,S. Mejri misses free throw 1 of 2,30,24
1,0:53.0,,Offensive rebound by Team,30,24
1,0:53.0,,S. Mejri makes free throw 2 of 2,30,25
1,0:41.0,Personal foul by S. Mejri (drawn by G. Dieng),,30,25
1,0:41.0,G. Dieng makes free throw 1 of 2,,31,25
1,0:41.0,,D. Nowitzki enters the game for M. Kleber,31,25
1,0:41.0,,D. Powell enters the game for S. Mejri,31,25
1,0:41.0,G. Dieng makes free throw 2 of 2,,32,25
1,0:32.0,,D. Powell misses 3-pt jump shot from 25 ft,32,25
1,0:29.0,Defensive rebound by G. Dieng,,32,25
1,0:10.0,Turnover by A. Tolliver (bad pass; steal by D. Powell),,32,25
1,0:08.0,,D. Powell makes 2-pt layup from 1 ft,32,27
1,0:00.0,Shooting foul by T. Burke (drawn by J. Bayless),,32,27
1,0:00.0,J. Bayless misses free throw 1 of 2,,32,27
1,0:00.0,Offensive rebound by Team,,32,27
1,0:00.0,J. Bayless misses free throw 2 of 2,,32,27
1,0:00.0,,Defensive rebound by D. Nowitzki,32,27
2,11:48.0,,Shooting foul by J. Bayless (drawn by D. Powell),32,27
2,11:48.0,,D. Powell makes free throw 1 of 2,32,28
2,11:48.0,,D. Powell makes free throw 2 of 2,32,29
2,11:35.0,G. Dieng makes 2-pt jump shot from 20 ft,,34,29
2,11:12.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by C. Lee),34,32
2,10:58.0,A. Tolliver misses 3-pt jump shot from 25 ft,,34,32
2,10:56.0,,Defensive rebound by C. Lee,34,32
2,10:49.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,34,32
2,10:45.0,Defensive rebound by J. Bayless,,34,32
2,10:33.0,G. Dieng misses 2-pt jump shot from 18 ft,,34,32
2,10:30.0,,Defensive rebound by D. Harris,34,32
2,10:16.0,,D. Nowitzki makes 2-pt jump shot from 9 ft (assist by T. Burke),34,34
2,10:07.0,Minnesota full timeout,,34,34
2,9:55.0,G. Dieng misses 2-pt jump shot from 9 ft,,34,34
2,9:52.0,,Defensive rebound by C. Lee,34,34
2,9:37.0,,Turnover by C. Lee (bad pass; steal by A. Wiggins),34,34
2,9:34.0,Shooting foul by D. Harris (drawn by A. Wiggins),,34,34
2,9:34.0,A. Wiggins makes free throw 1 of 2,,35,34
2,9:34.0,A. Wiggins makes free throw 2 of 2,,36,34
2,9:22.0,,C. Lee misses 3-pt jump shot from 25 ft,36,34
2,9:18.0,Defensive rebound by C. Reynolds,,36,34
2,9:13.0,Offensive foul by A. Tolliver (drawn by C. Lee),,36,34
2,9:13.0,Turnover by A. Tolliver (offensive foul),,36,34
2,8:57.0,,Shooting foul by C. Reynolds (drawn by D. Harris),36,34
2,8:57.0,,D. Harris makes free throw 1 of 2,36,35
2,8:57.0,,D. Harris makes free throw 2 of 2,36,36
2,8:44.0,J. Bayless makes 2-pt jump shot from 18 ft,,38,36
2,8:32.0,,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by T. Burke),38,38
2,8:20.0,J. Bayless makes 3-pt jump shot from 24 ft,,41,38
2,8:09.0,,T. Burke misses 3-pt jump shot from 23 ft,41,38
2,8:05.0,,Offensive rebound by D. Powell,41,38
2,8:05.0,,Turnover by T. Burke (out of bounds lost ball),41,38
2,8:05.0,K. Towns enters the game for G. Dieng,,41,38
2,7:44.0,Shooting foul by D. Powell (drawn by K. Towns),,41,38
2,7:44.0,K. Towns makes free throw 1 of 2,,42,38
2,7:44.0,,M. Kleber enters the game for D. Powell,42,38
2,7:44.0,K. Towns makes free throw 2 of 2,,43,38
2,7:29.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,43,38
2,7:28.0,,Offensive rebound by Team,43,38
2,7:28.0,D. Šarić enters the game for A. Tolliver,,43,38
2,7:26.0,,Turnover by T. Burke (bad pass; steal by D. Šarić),43,38
2,7:21.0,C. Reynolds misses 3-pt jump shot from 25 ft,,43,38
2,7:17.0,,Defensive rebound by D. Nowitzki,43,38
2,7:09.0,,D. Harris makes 2-pt layup from 1 ft,43,40
2,6:48.0,C. Reynolds misses 3-pt jump shot from 26 ft,,43,40
2,6:46.0,,Defensive rebound by D. Harris,43,40
2,6:37.0,,Personal foul by C. Reynolds (drawn by D. Nowitzki),43,40
2,6:37.0,T. Jones enters the game for J. Bayless,,43,40
2,6:37.0,J. Okogie enters the game for C. Reynolds,,43,40
2,6:37.0,,J. Brunson enters the game for T. Burke,43,40
2,6:37.0,,L. Dončić enters the game for D. Harris,43,40
2,6:37.0,,J. Jackson enters the game for C. Lee,43,40
2,6:37.0,,S. Mejri enters the game for D. Nowitzki,43,40
2,6:27.0,,Turnover by L. Dončić (bad pass),43,40
2,6:20.0,A. Wiggins misses 2-pt jump shot from 17 ft,,43,40
2,6:18.0,,Defensive rebound by S. Mejri,43,40
2,6:13.0,,J. Jackson misses 2-pt jump shot from 9 ft,43,40
2,6:13.0,,Offensive rebound by J. Jackson,43,40
2,6:13.0,,J. Jackson makes 2-pt layup from 4 ft,43,42
2,6:13.0,Personal foul by M. Kleber (drawn by D. Šarić),,43,42
2,5:55.0,D. Šarić misses 2-pt jump shot from 23 ft,,43,42
2,5:53.0,,Defensive rebound by M. Kleber,43,42
2,5:48.0,,L. Dončić misses 2-pt layup from 2 ft (block by K. Towns),43,42
2,5:46.0,Defensive rebound by J. Okogie,,43,42
2,5:46.0,Personal take foul by J. Brunson (drawn by J. Okogie),,43,42
2,5:37.0,Shooting foul by S. Mejri (drawn by A. Wiggins),,43,42
2,5:37.0,A. Wiggins makes free throw 1 of 2,,44,42
2,5:37.0,,D. Powell enters the game for S. Mejri,44,42
2,5:37.0,A. Wiggins makes free throw 2 of 2,,45,42
2,5:32.0,,Personal foul by T. Jones (drawn by L. Dončić),45,42
2,5:26.0,,L. Dončić makes 2-pt jump shot from 3 ft,45,44
2,5:26.0,,Shooting foul by J. Okogie (drawn by L. Dončić),45,44
2,5:26.0,,L. Dončić makes free throw 1 of 1,45,45
2,5:14.0,A. Wiggins makes 2-pt layup from 3 ft (assist by D. Šarić),,47,45
2,5:06.0,,Personal foul by J. Okogie (drawn by D. Powell),47,45
2,5:06.0,,D. Powell makes free throw 1 of 2,47,46
2,5:06.0,K. Bates-Diop enters the game for J. Okogie,,47,46
2,5:06.0,,D. Powell makes free throw 2 of 2,47,47
2,4:51.0,Turnover by A. Wiggins (bad pass; steal by D. Powell),,47,47
2,4:47.0,,D. Powell makes 2-pt dunk at rim (assist by L. Dončić),47,49
2,4:41.0,Minnesota full timeout,,47,49
2,4:20.0,K. Bates-Diop misses 3-pt jump shot from 28 ft,,47,49
2,4:20.0,Offensive rebound by Team,,47,49
2,4:20.0,Turnover by Team (shot clock),,47,49
2,4:06.0,,Shooting foul by A. Wiggins (drawn by L. Dončić),47,49
2,4:06.0,,L. Dončić makes free throw 1 of 2,47,50
2,4:06.0,,L. Dončić makes free throw 2 of 2,47,51
2,3:49.0,T. Jones makes 2-pt jump shot from 21 ft,,49,51
2,3:30.0,,Offensive foul by M. Kleber (drawn by T. Jones),49,51
2,3:30.0,,Turnover by M. Kleber (offensive foul),49,51
2,3:19.0,T. Jones makes 3-pt jump shot from 25 ft (assist by K. Towns),,52,51
2,2:58.0,,J. Brunson misses 2-pt layup from 2 ft (block by K. Towns),52,51
2,2:55.0,Defensive rebound by A. Wiggins,,52,51
2,2:50.0,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),,54,51
2,2:37.0,,M. Kleber misses 3-pt jump shot from 25 ft,54,51
2,2:34.0,Defensive rebound by K. Bates-Diop,,54,51
2,2:20.0,D. Šarić misses 3-pt jump shot from 23 ft,,54,51
2,2:18.0,,Defensive rebound by L. Dončić,54,51
2,2:13.0,,L. Dončić makes 3-pt jump shot from 26 ft,54,54
2,1:46.0,K. Towns misses 2-pt hook shot from 3 ft,,54,54
2,1:43.0,Offensive rebound by K. Towns,,54,54
2,1:43.0,K. Towns misses 2-pt layup at rim,,54,54
2,1:43.0,Offensive rebound by D. Šarić,,54,54
2,1:40.0,D. Šarić makes 2-pt layup at rim,,56,54
2,1:29.0,,L. Dončić makes 2-pt layup from 2 ft,56,56
2,1:15.0,K. Towns makes 2-pt layup from 1 ft (assist by D. Šarić),,58,56
2,1:15.0,Shooting foul by D. Powell (drawn by K. Towns),,58,56
2,1:15.0,,D. Nowitzki enters the game for D. Powell,58,56
2,1:15.0,K. Towns misses free throw 1 of 1,,58,56
2,1:12.0,,Defensive rebound by M. Kleber,58,56
2,1:05.0,,J. Brunson makes 2-pt jump shot from 13 ft,58,58
2,0:48.0,D. Šarić misses 3-pt jump shot from 25 ft,,58,58
2,0:46.0,,Defensive rebound by D. Nowitzki,58,58
2,0:33.0,,J. Brunson misses 3-pt jump shot from 26 ft,58,58
2,0:29.0,Defensive rebound by D. Šarić,,58,58
2,0:05.0,D. Šarić misses 3-pt jump shot from 24 ft,,58,58
2,0:03.0,,Defensive rebound by L. Dončić,58,58
2,0:00.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,58,58
2,0:00.0,,Offensive rebound by Team,58,58
3,11:45.0,,L. Dončić makes 2-pt layup from 1 ft,58,60
3,11:25.0,T. Jones misses 2-pt jump shot from 12 ft,,58,60
3,11:23.0,,Defensive rebound by J. Brunson,58,60
3,11:19.0,,L. Dončić misses 3-pt jump shot from 26 ft,58,60
3,11:17.0,,Offensive rebound by Team,58,60
3,11:07.0,,L. Dončić misses 2-pt layup from 1 ft,58,60
3,11:05.0,Defensive rebound by J. Okogie,,58,60
3,11:01.0,J. Okogie misses 2-pt layup from 2 ft,,58,60
3,11:00.0,,Defensive rebound by D. Powell,58,60
3,10:53.0,,L. Dončić makes 2-pt layup from 1 ft (assist by D. Nowitzki),58,62
3,10:42.0,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),,60,62
3,10:29.0,,J. Brunson misses 2-pt jump shot from 3 ft,60,62
3,10:27.0,,Offensive rebound by D. Powell,60,62
3,10:23.0,,J. Jackson misses 2-pt layup from 2 ft,60,62
3,10:21.0,Defensive rebound by K. Towns,,60,62
3,10:21.0,Personal take foul by L. Dončić (drawn by A. Wiggins),,60,62
3,10:17.0,A. Wiggins makes 2-pt jump shot from 6 ft,,62,62
3,10:17.0,Shooting foul by J. Jackson (drawn by A. Wiggins),,62,62
3,10:17.0,A. Wiggins makes free throw 1 of 1,,63,62
3,10:03.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by L. Dončić),63,64
3,9:43.0,Shooting foul by J. Brunson (drawn by D. Šarić),,63,64
3,9:43.0,D. Šarić makes free throw 1 of 2,,64,64
3,9:43.0,D. Šarić makes free throw 2 of 2,,65,64
3,9:33.0,,Turnover by L. Dončić (bad pass),65,64
3,9:19.0,D. Šarić misses 2-pt layup from 1 ft (block by D. Powell),,65,64
3,9:15.0,,Defensive rebound by L. Dončić,65,64
3,9:01.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,65,64
3,8:59.0,,Offensive rebound by D. Powell,65,64
3,8:57.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,65,64
3,8:52.0,Defensive rebound by K. Towns,,65,64
3,8:49.0,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),,67,64
3,8:36.0,,Personal foul by T. Jones (drawn by J. Brunson),67,64
3,8:31.0,,L. Dončić makes 2-pt jump shot from 1 ft,67,66
3,8:24.0,J. Okogie misses 2-pt layup from 3 ft,,67,66
3,8:21.0,,Defensive rebound by J. Brunson,67,66
3,8:16.0,,Turnover by L. Dončić (bad pass; steal by J. Okogie),67,66
3,8:04.0,A. Wiggins misses 3-pt jump shot from 28 ft,,67,66
3,8:01.0,,Defensive rebound by J. Jackson,67,66
3,7:43.0,,J. Jackson misses 3-pt jump shot from 27 ft,67,66
3,7:40.0,Defensive rebound by D. Šarić,,67,66
3,7:28.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),,70,66
3,7:27.0,,Dallas full timeout,70,66
3,7:27.0,,M. Kleber enters the game for D. Nowitzki,70,66
3,7:16.0,,D. Powell makes 2-pt layup at rim (assist by J. Brunson),70,68
3,7:16.0,,Shooting foul by D. Šarić (drawn by D. Powell),70,68
3,7:16.0,,D. Powell makes free throw 1 of 1,70,69
3,6:53.0,J. Okogie makes 2-pt layup from 1 ft (assist by A. Wiggins),,72,69
3,6:39.0,,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),72,71
3,6:39.0,,Shooting foul by A. Wiggins (drawn by D. Powell),72,71
3,6:39.0,,D. Powell misses free throw 1 of 1,72,71
3,6:36.0,Defensive rebound by K. Towns,,72,71
3,6:25.0,A. Wiggins misses 2-pt jump shot from 19 ft,,72,71
3,6:23.0,Offensive rebound by D. Šarić,,72,71
3,6:21.0,Personal foul by J. Jackson (drawn by K. Towns),,72,71
3,6:09.0,A. Wiggins misses 3-pt jump shot from 23 ft,,72,71
3,6:06.0,Offensive rebound by K. Towns,,72,71
3,6:06.0,K. Towns makes 2-pt layup from 1 ft,,74,71
3,5:49.0,,L. Dončić misses 3-pt jump shot from 25 ft,74,71
3,5:47.0,Defensive rebound by K. Towns,,74,71
3,5:42.0,T. Jones makes 2-pt jump shot from 11 ft,,76,71
3,5:20.0,,J. Jackson misses 2-pt jump shot from 15 ft,76,71
3,5:18.0,,Offensive rebound by L. Dončić,76,71
3,5:16.0,,L. Dončić makes 2-pt layup at rim,76,73
3,5:06.0,Minnesota full timeout,,76,73
3,5:06.0,K. Bates-Diop enters the game for D. Šarić,,76,73
3,5:06.0,G. Dieng enters the game for A. Wiggins,,76,73
3,5:06.0,,D. Nowitzki enters the game for D. Powell,76,73
3,4:51.0,T. Jones makes 3-pt jump shot from 25 ft (assist by G. Dieng),,79,73
3,4:32.0,,J. Jackson misses 2-pt layup from 2 ft,79,73
3,4:30.0,Defensive rebound by Team,,79,73
3,4:21.0,T. Jones misses 2-pt jump shot from 17 ft,,79,73
3,4:19.0,,Defensive rebound by L. Dončić,79,73
3,3:56.0,,Turnover by D. Nowitzki (lost ball; steal by K. Bates-Diop),79,73
3,3:54.0,Offensive foul by K. Bates-Diop (drawn by J. Brunson),,79,73
3,3:54.0,Turnover by K. Bates-Diop (offensive foul),,79,73
3,3:54.0,C. Reynolds enters the game for J. Okogie,,79,73
3,3:46.0,,L. Dončić misses 3-pt jump shot from 26 ft,79,73
3,3:43.0,Defensive rebound by T. Jones,,79,73
3,3:40.0,G. Dieng misses 2-pt layup from 2 ft (block by L. Dončić),,79,73
3,3:36.0,,Defensive rebound by D. Nowitzki,79,73
3,3:32.0,,Turnover by J. Brunson (bad pass),79,73
3,3:18.0,K. Bates-Diop makes 3-pt jump shot from 23 ft (assist by G. Dieng),,82,73
3,3:16.0,,Dallas full timeout,82,73
3,3:06.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,82,73
3,3:04.0,,Offensive rebound by L. Dončić,82,73
3,3:04.0,,T. Burke enters the game for J. Brunson,82,73
3,3:04.0,,D. Harris enters the game for L. Dončić,82,73
3,3:04.0,,C. Lee enters the game for J. Jackson,82,73
3,2:49.0,,T. Burke makes 2-pt layup at rim,82,75
3,2:24.0,K. Bates-Diop misses 2-pt jump shot from 7 ft,,82,75
3,2:22.0,Offensive rebound by K. Towns,,82,75
3,2:22.0,Turnover by Team (shot clock),,82,75
3,2:11.0,,T. Burke makes 2-pt layup from 2 ft (assist by M. Kleber),82,77
3,1:56.0,Personal foul by D. Harris (drawn by C. Reynolds),,82,77
3,1:56.0,C. Reynolds makes free throw 1 of 2,,83,77
3,1:56.0,J. Bayless enters the game for T. Jones,,83,77
3,1:56.0,A. Tolliver enters the game for K. Towns,,83,77
3,1:56.0,,D. Powell enters the game for M. Kleber,83,77
3,1:56.0,C. Reynolds makes free throw 2 of 2,,84,77
3,1:41.0,,D. Harris misses 3-pt jump shot from 25 ft,84,77
3,1:38.0,Defensive rebound by G. Dieng,,84,77
3,1:22.0,G. Dieng makes 2-pt layup from 2 ft,,86,77
3,1:02.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Nowitzki),86,79
3,0:52.0,C. Reynolds makes 3-pt jump shot from 26 ft (assist by G. Dieng),,89,79
3,0:35.0,,T. Burke misses 3-pt jump shot from 26 ft,89,79
3,0:32.0,,Offensive rebound by T. Burke,89,79
3,0:27.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,89,79
3,0:24.0,Defensive rebound by G. Dieng,,89,79
3,0:06.0,Offensive foul by G. Dieng (drawn by D. Harris),,89,79
3,0:06.0,Turnover by G. Dieng (offensive foul),,89,79
3,0:00.0,,D. Harris misses 2-pt layup from 3 ft,89,79
3,0:00.0,Defensive rebound by C. Reynolds,,89,79
4,11:43.0,Offensive foul by C. Reynolds (drawn by S. Mejri),,89,79
4,11:43.0,Turnover by C. Reynolds (offensive foul),,89,79
4,11:34.0,,D. Harris misses 2-pt layup from 1 ft,89,79
4,11:33.0,Defensive rebound by G. Dieng,,89,79
4,11:24.0,J. Bayless misses 2-pt jump shot from 13 ft,,89,79
4,11:21.0,,Defensive rebound by M. Kleber,89,79
4,11:08.0,,M. Kleber misses 2-pt jump shot from 21 ft,89,79
4,11:06.0,Defensive rebound by A. Tolliver,,89,79
4,11:03.0,G. Dieng makes 2-pt dunk at rim (assist by J. Bayless),,91,79
4,11:03.0,,Dallas full timeout,91,79
4,10:47.0,,C. Lee misses 3-pt jump shot from 23 ft,91,79
4,10:44.0,Defensive rebound by A. Tolliver,,91,79
4,10:33.0,A. Tolliver misses 3-pt jump shot from 23 ft,,91,79
4,10:30.0,,Defensive rebound by C. Lee,91,79
4,10:20.0,,Turnover by T. Burke (bad pass),91,79
4,10:06.0,A. Tolliver misses 3-pt jump shot from 25 ft,,91,79
4,10:03.0,,Defensive rebound by D. Harris,91,79
4,9:55.0,,S. Mejri misses 3-pt jump shot from 25 ft,91,79
4,9:52.0,Defensive rebound by C. Reynolds,,91,79
4,9:43.0,K. Bates-Diop misses 2-pt layup from 3 ft (block by M. Kleber),,91,79
4,9:40.0,,Defensive rebound by T. Burke,91,79
4,9:29.0,,T. Burke misses 2-pt jump shot from 21 ft,91,79
4,9:25.0,Defensive rebound by C. Reynolds,,91,79
4,9:16.0,Offensive foul by G. Dieng (drawn by S. Mejri),,91,79
4,9:16.0,Turnover by G. Dieng (offensive foul),,91,79
4,9:16.0,A. Wiggins enters the game for C. Reynolds,,91,79
4,9:01.0,,C. Lee misses 3-pt jump shot from 25 ft,91,79
4,8:56.0,,Offensive rebound by M. Kleber,91,79
4,8:56.0,,M. Kleber makes 2-pt dunk at rim,91,81
4,8:41.0,G. Dieng misses 2-pt layup from 2 ft (block by M. Kleber),,91,81
4,8:39.0,,Defensive rebound by M. Kleber,91,81
4,8:33.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by D. Harris),91,84
4,8:31.0,Minnesota full timeout,,91,84
4,8:31.0,D. Šarić enters the game for G. Dieng,,91,84
4,8:31.0,K. Towns enters the game for A. Tolliver,,91,84
4,8:17.0,A. Wiggins misses 2-pt jump shot from 5 ft,,91,84
4,8:17.0,,Defensive rebound by Team,91,84
4,8:17.0,Loose ball foul by A. Wiggins (drawn by C. Lee),,91,84
4,8:07.0,,S. Mejri misses 3-pt jump shot from 25 ft,91,84
4,8:05.0,Defensive rebound by Team,,91,84
4,7:52.0,K. Towns makes 2-pt jump shot from 4 ft (assist by D. Šarić),,93,84
4,7:37.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by D. Harris),93,87
4,7:19.0,Personal foul by S. Mejri (drawn by K. Towns),,93,87
4,7:19.0,J. Okogie enters the game for K. Bates-Diop,,93,87
4,7:19.0,,D. Powell enters the game for S. Mejri,93,87
4,7:12.0,A. Wiggins misses 2-pt jump shot from 17 ft,,93,87
4,7:09.0,,Defensive rebound by M. Kleber,93,87
4,7:01.0,,D. Powell makes 2-pt layup from 1 ft (assist by T. Burke),93,89
4,7:01.0,,Shooting foul by K. Towns (drawn by D. Powell),93,89
4,7:01.0,T. Jones enters the game for J. Bayless,,93,89
4,7:01.0,,J. Brunson enters the game for T. Burke,93,89
4,7:01.0,,L. Dončić enters the game for D. Harris,93,89
4,7:01.0,,D. Powell makes free throw 1 of 1,93,90
4,6:46.0,J. Okogie makes 2-pt layup at rim (assist by K. Towns),,95,90
4,6:32.0,,J. Brunson misses 2-pt layup from 1 ft (block by K. Towns),95,90
4,6:30.0,Defensive rebound by K. Towns,,95,90
4,6:23.0,D. Šarić misses 3-pt jump shot from 25 ft,,95,90
4,6:19.0,,Defensive rebound by D. Powell,95,90
4,6:13.0,,Shooting foul by D. Šarić (drawn by D. Powell),95,90
4,6:13.0,,D. Powell makes free throw 1 of 2,95,91
4,6:13.0,,J. Jackson enters the game for M. Kleber,95,91
4,6:13.0,,S. Mejri enters the game for C. Lee,95,91
4,6:13.0,,D. Powell makes free throw 2 of 2,95,92
4,5:57.0,T. Jones makes 3-pt jump shot from 24 ft (assist by A. Wiggins),,98,92
4,5:43.0,,J. Brunson makes 3-pt jump shot from 28 ft (assist by L. Dončić),98,95
4,5:20.0,D. Šarić misses 3-pt jump shot from 26 ft,,98,95
