QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
2,8:30.0,A. Len misses 3-pt jump shot from 26 ft,,35,39
2,8:25.0,Offensive rebound by J. Adams,,35,39
2,8:17.0,D. Bembry misses 3-pt jump shot from 24 ft,,35,39
2,8:14.0,,Defensive rebound by R. Gay,35,39
2,8:08.0,,Shooting foul by J. Adams (drawn by D. DeRozan),35,39
2,8:08.0,,D. DeRozan makes free throw 1 of 2,35,40
2,8:08.0,,D. DeRozan makes free throw 2 of 2,35,41
2,7:52.0,K. Bazemore makes 2-pt jump shot from 21 ft (assist by A. Len),,37,41
2,7:35.0,,Turnover by R. Gay (bad pass; steal by K. Bazemore),37,41
2,7:31.0,D. Bembry makes 2-pt layup from 1 ft,,39,41
2,7:08.0,,R. Gay misses 2-pt jump shot from 8 ft,39,41
2,7:06.0,Defensive rebound by A. Len,,39,41
2,6:51.0,Personal foul by D. DeRozan (drawn by J. Adams),,39,41
2,6:51.0,V. Carter enters the game for D. Bembry,,39,41
2,6:51.0,K. Huerter enters the game for I. Humphries,,39,41
2,6:51.0,,D. White enters the game for P. Mills,39,41
2,6:42.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by V. Carter),,42,41
2,6:17.0,,D. White makes 3-pt jump shot from 25 ft (assist by R. Gay),42,44
2,6:15.0,Atlanta full timeout,,42,44
2,6:15.0,T. Young enters the game for J. Adams,,42,44
2,6:02.0,K. Huerter makes 2-pt layup from 1 ft (assist by T. Young),,44,44
2,5:50.0,,Turnover by D. DeRozan (lost ball; steal by K. Bazemore),44,44
2,5:46.0,K. Bazemore misses 2-pt dunk from 1 ft,,44,44
2,5:44.0,,Defensive rebound by D. White,44,44
2,5:39.0,,R. Gay misses 3-pt jump shot from 23 ft,44,44
2,5:36.0,Defensive rebound by K. Bazemore,,44,44
2,5:18.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by V. Carter),,47,44
2,5:00.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),47,46
2,4:42.0,K. Bazemore misses 3-pt jump shot from 26 ft,,47,46
2,4:42.0,,Defensive rebound by R. Gay,47,46
2,4:33.0,,Shooting foul by A. Len (drawn by L. Aldridge),47,46
2,4:33.0,,L. Aldridge makes free throw 1 of 2,47,47
2,4:33.0,J. Anderson enters the game for K. Bazemore,,47,47
2,4:33.0,,M. Belinelli enters the game for D. Bertāns,47,47
2,4:33.0,,L. Walker enters the game for R. Gay,47,47
2,4:33.0,,L. Aldridge makes free throw 2 of 2,47,48
2,4:23.0,A. Len makes 2-pt dunk from 2 ft (assist by V. Carter),,49,48
2,3:59.0,,D. White makes 2-pt layup from 1 ft,49,50
2,3:38.0,Shooting foul by L. Aldridge (drawn by A. Len),,49,50
2,3:38.0,A. Len makes free throw 1 of 2,,50,50
2,3:38.0,,B. Forbes enters the game for L. Walker,50,50
2,3:38.0,A. Len makes free throw 2 of 2,,51,50
2,3:27.0,,Turnover by D. White (bad pass; steal by K. Huerter),51,50
2,3:20.0,K. Huerter misses 2-pt layup from 1 ft,,51,50
2,3:18.0,,Defensive rebound by D. White,51,50
2,3:13.0,,D. White misses 2-pt layup from 2 ft,51,50
2,3:13.0,,Offensive rebound by Team,51,50
2,3:13.0,Loose ball foul by A. Len (drawn by L. Aldridge),,51,50
2,3:13.0,,L. Aldridge makes free throw 1 of 2,51,51
2,3:13.0,,L. Aldridge misses free throw 2 of 2,51,51
2,3:10.0,Defensive rebound by J. Anderson,,51,51
2,2:53.0,A. Len misses 2-pt jump shot from 7 ft,,51,51
2,2:51.0,,Defensive rebound by L. Aldridge,51,51
2,2:43.0,,D. DeRozan makes 2-pt layup at rim,51,53
2,2:32.0,V. Carter misses 3-pt jump shot from 27 ft,,51,53
2,2:30.0,,Defensive rebound by Team,51,53
2,2:12.0,,Personal foul by A. Len (drawn by L. Aldridge),51,53
2,2:12.0,,L. Aldridge makes free throw 1 of 2,51,54
2,2:12.0,D. Davis enters the game for A. Len,,51,54
2,2:12.0,,P. Mills enters the game for B. Forbes,51,54
2,2:12.0,,L. Aldridge misses free throw 2 of 2,51,54
2,2:10.0,Defensive rebound by D. Davis,,51,54
2,1:55.0,Turnover by J. Anderson (bad pass; steal by M. Belinelli),,51,54
2,1:49.0,,P. Mills misses 3-pt jump shot from 22 ft,51,54
2,1:46.0,Defensive rebound by D. Davis,,51,54
2,1:41.0,K. Huerter misses 3-pt jump shot from 27 ft,,51,54
2,1:38.0,,Defensive rebound by P. Mills,51,54
2,1:28.0,,Turnover by D. White (bad pass; steal by D. Davis),51,54
2,1:27.0,Turnover by D. Davis (bad pass),,51,54
2,1:08.0,,L. Aldridge makes 2-pt layup at rim,51,56
2,0:46.0,J. Anderson makes 2-pt layup from 2 ft (assist by V. Carter),,53,56
2,0:36.0,,Shooting foul by D. Davis (drawn by D. DeRozan),53,56
2,0:36.0,,D. DeRozan makes free throw 1 of 2,53,57
2,0:36.0,,D. DeRozan makes free throw 2 of 2,53,58
2,0:29.0,T. Young makes 2-pt layup from 2 ft,,55,58
2,0:10.0,,Offensive foul by D. DeRozan (drawn by T. Young),55,58
2,0:10.0,,Turnover by D. DeRozan (offensive foul),55,58
2,0:10.0,,Technical foul by D. DeRozan,55,58
2,0:10.0,T. Young makes technical free throw,,56,58
2,0:10.0,,R. Gay enters the game for D. DeRozan,56,58
2,0:04.0,Personal take foul by D. White (drawn by T. Young),,56,58
2,0:01.0,T. Young misses 3-pt jump shot from 25 ft (block by D. White),,56,58
2,0:01.0,,Defensive rebound by R. Gay,56,58
3,11:51.0,V. Carter misses 3-pt jump shot from 25 ft,,56,58
3,11:47.0,,Defensive rebound by L. Aldridge,56,58
3,11:35.0,,L. Aldridge misses 2-pt layup from 2 ft,56,58
3,11:32.0,,Offensive rebound by D. White,56,58
3,11:28.0,,D. DeRozan misses 2-pt layup from 2 ft,56,58
3,11:23.0,,Offensive rebound by L. Aldridge,56,58
3,11:23.0,,L. Aldridge makes 2-pt layup at rim,56,60
3,11:15.0,K. Huerter misses 3-pt jump shot from 26 ft,,56,60
3,11:13.0,,Defensive rebound by B. Forbes,56,60
3,11:08.0,,B. Forbes misses 3-pt jump shot from 26 ft,56,60
3,11:05.0,Defensive rebound by A. Len,,56,60
3,10:58.0,T. Young makes 2-pt jump shot from 12 ft,,58,60
3,10:45.0,,D. White misses 2-pt jump shot from 12 ft,58,60
3,10:42.0,Defensive rebound by K. Huerter,,58,60
3,10:40.0,K. Huerter makes 3-pt jump shot from 27 ft,,61,60
3,10:21.0,,Turnover by D. DeRozan (bad pass; steal by K. Huerter),61,60
3,10:18.0,Turnover by K. Huerter (out of bounds lost ball),,61,60
3,10:05.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),61,63
3,10:02.0,Atlanta full timeout,,61,63
3,9:50.0,Turnover by V. Carter (bad pass),,61,63
3,9:40.0,,Personal foul by T. Young (drawn by D. White),61,63
3,9:32.0,,D. White makes 3-pt jump shot from 24 ft,61,66
3,9:19.0,Shooting foul by D. White (drawn by T. Young),,61,66
3,9:19.0,T. Young makes free throw 1 of 2,,62,66
3,9:19.0,T. Young makes free throw 2 of 2,,63,66
3,9:03.0,,D. DeRozan makes 2-pt jump shot from 8 ft,63,68
3,8:54.0,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),,66,68
3,8:39.0,,D. DeRozan misses 2-pt jump shot from 17 ft,66,68
3,8:36.0,Defensive rebound by A. Len,,66,68
3,8:30.0,T. Young misses 2-pt layup from 1 ft,,66,68
3,8:26.0,,Defensive rebound by B. Forbes,66,68
3,8:21.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),66,71
3,8:05.0,J. Anderson misses 3-pt jump shot from 26 ft,,66,71
3,8:05.0,,Defensive rebound by L. Aldridge,66,71
3,7:41.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. DeRozan),66,73
3,7:18.0,V. Carter makes 2-pt jump shot from 11 ft,,68,73
3,7:08.0,,D. DeRozan makes 2-pt jump shot from 9 ft,68,75
3,7:08.0,,Shooting foul by J. Anderson (drawn by D. DeRozan),68,75
3,7:08.0,D. Davis enters the game for A. Len,,68,75
3,7:08.0,,D. DeRozan makes free throw 1 of 1,68,76
3,6:56.0,J. Anderson makes 2-pt layup from 3 ft (assist by T. Young),,70,76
3,6:56.0,Shooting foul by L. Aldridge (drawn by J. Anderson),,70,76
3,6:56.0,J. Anderson misses free throw 1 of 1,,70,76
3,6:54.0,,Defensive rebound by R. Gay,70,76
3,6:35.0,Violation by Team (kicked ball),,70,76
3,6:19.0,,R. Gay misses 3-pt jump shot from 23 ft,70,76
3,6:17.0,Defensive rebound by T. Young,,70,76
3,6:11.0,T. Young misses 2-pt layup from 1 ft,,70,76
3,6:09.0,,Defensive rebound by R. Gay,70,76
3,5:54.0,,L. Aldridge misses 2-pt jump shot from 12 ft,70,76
3,5:52.0,Defensive rebound by V. Carter,,70,76
3,5:47.0,Offensive foul by D. Davis (drawn by D. DeRozan),,70,76
3,5:47.0,Turnover by D. Davis (offensive foul),,70,76
3,5:47.0,,San Antonio full timeout,70,76
3,5:47.0,J. Adams enters the game for J. Anderson,,70,76
3,5:47.0,K. Bazemore enters the game for D. Davis,,70,76
3,5:47.0,D. Bembry enters the game for K. Huerter,,70,76
3,5:47.0,I. Humphries enters the game for T. Young,,70,76
3,5:47.0,,D. Bertāns enters the game for R. Gay,70,76
3,5:33.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by B. Forbes),70,78
3,5:20.0,I. Humphries misses 2-pt jump shot from 2 ft (block by D. White),,70,78
3,5:20.0,Offensive rebound by Team,,70,78
3,5:20.0,,P. Mills enters the game for D. White,70,78
3,5:08.0,J. Adams misses 3-pt jump shot from 25 ft,,70,78
3,5:01.0,Offensive rebound by V. Carter,,70,78
3,5:01.0,V. Carter makes 2-pt layup from 1 ft,,72,78
3,4:55.0,,B. Forbes misses 2-pt layup from 1 ft,72,78
3,4:50.0,Defensive rebound by K. Bazemore,,72,78
3,4:45.0,Turnover by K. Bazemore (bad pass; steal by P. Mills),,72,78
3,4:30.0,,L. Aldridge makes 2-pt jump shot from 10 ft,72,80
3,4:16.0,J. Adams misses 3-pt jump shot from 27 ft,,72,80
3,4:14.0,,Defensive rebound by L. Aldridge,72,80
3,4:03.0,,Turnover by B. Forbes (bad pass; steal by I. Humphries),72,80
3,4:00.0,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),,74,80
3,3:37.0,,P. Mills misses 3-pt jump shot from 25 ft,74,80
3,3:37.0,Defensive rebound by Team,,74,80
3,3:37.0,,Loose ball foul by L. Aldridge (drawn by I. Humphries),74,80
3,3:37.0,A. Len enters the game for V. Carter,,74,80
3,3:37.0,,M. Belinelli enters the game for L. Aldridge,74,80
3,3:37.0,,J. Poeltl enters the game for D. DeRozan,74,80
3,3:28.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by J. Adams),,77,80
3,3:06.0,,Personal foul by I. Humphries (drawn by B. Forbes),77,80
3,2:57.0,,M. Belinelli misses 3-pt jump shot from 25 ft,77,80
3,2:57.0,Defensive rebound by K. Bazemore,,77,80
3,2:47.0,A. Len makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,80,80
3,2:34.0,,Turnover by M. Belinelli (bad pass; steal by A. Len),80,80
3,2:32.0,Personal take foul by D. Bertāns (drawn by D. Bembry),,80,80
3,2:32.0,,R. Gay enters the game for B. Forbes,80,80
3,2:26.0,Turnover by D. Bembry (lost ball; steal by J. Poeltl),,80,80
3,2:12.0,,P. Mills makes 2-pt jump shot from 20 ft,80,82
3,1:53.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Bazemore),,82,82
3,1:39.0,,D. Bertāns makes 2-pt jump shot from 14 ft (assist by R. Gay),82,84
3,1:25.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by J. Adams),,85,84
3,1:11.0,,R. Gay makes 2-pt layup from 1 ft (assist by P. Mills),85,86
3,1:02.0,D. Bembry makes 2-pt layup from 2 ft (assist by J. Adams),,87,86
3,0:56.0,,P. Mills misses 3-pt jump shot from 26 ft,87,86
3,0:56.0,Defensive rebound by Team,,87,86
3,0:44.0,J. Adams misses 2-pt jump shot from 17 ft,,87,86
3,0:40.0,,Defensive rebound by R. Gay,87,86
3,0:25.0,,R. Gay misses 2-pt jump shot from 15 ft,87,86
3,0:22.0,Defensive rebound by D. Bembry,,87,86
3,0:02.0,A. Len makes 3-pt jump shot from 26 ft (assist by J. Adams),,90,86
3,0:00.0,,M. Belinelli misses 3-pt jump shot from 27 ft,90,86
3,0:00.0,,Offensive rebound by Team,90,86
4,11:44.0,,Turnover by M. Belinelli (bad pass; steal by K. Bazemore),90,86
4,11:39.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by J. Adams),,93,86
4,11:18.0,,D. Bertāns misses 3-pt jump shot from 24 ft,93,86
4,11:14.0,Defensive rebound by J. Anderson,,93,86
4,11:10.0,D. Davis makes 2-pt dunk from 1 ft (assist by J. Adams),,95,86
4,11:09.0,,San Antonio full timeout,95,86
4,11:09.0,,L. Aldridge enters the game for M. Belinelli,95,86
4,11:09.0,,D. DeRozan enters the game for R. Gay,95,86
4,11:09.0,,B. Forbes enters the game for J. Poeltl,95,86
4,10:50.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by P. Mills),95,89
4,10:34.0,Shooting foul by D. DeRozan (drawn by A. Len),,95,89
4,10:34.0,A. Len misses free throw 1 of 2,,95,89
4,10:34.0,Offensive rebound by Team,,95,89
4,10:34.0,A. Len misses free throw 2 of 2,,95,89
4,10:32.0,,Defensive rebound by D. Bertāns,95,89
4,10:21.0,,D. DeRozan misses 2-pt layup from 3 ft,95,89
4,10:19.0,Defensive rebound by D. Davis,,95,89
4,10:03.0,A. Len misses 2-pt layup from 1 ft (block by L. Aldridge),,95,89
4,9:59.0,,Defensive rebound by D. DeRozan,95,89
4,9:56.0,,D. Bertāns misses 3-pt jump shot from 25 ft,95,89
4,9:52.0,Defensive rebound by D. Davis,,95,89
4,9:44.0,K. Bazemore makes 3-pt jump shot from 25 ft,,98,89
4,9:25.0,,Shooting foul by D. Davis (drawn by D. DeRozan),98,89
4,9:25.0,,D. DeRozan makes free throw 1 of 2,98,90
4,9:25.0,I. Humphries enters the game for D. Davis,,98,90
4,9:25.0,,D. White enters the game for B. Forbes,98,90
4,9:25.0,,D. DeRozan makes free throw 2 of 2,98,91
4,9:11.0,J. Adams misses 3-pt jump shot from 26 ft,,98,91
4,9:08.0,,Defensive rebound by L. Aldridge,98,91
4,9:01.0,,Shooting foul by J. Adams (drawn by D. DeRozan),98,91
4,9:01.0,,D. DeRozan makes free throw 1 of 2,98,92
4,9:01.0,T. Young enters the game for K. Bazemore,,98,92
4,9:01.0,,M. Belinelli enters the game for D. Bertāns,98,92
4,9:01.0,,R. Gay enters the game for P. Mills,98,92
4,9:01.0,,D. DeRozan makes free throw 2 of 2,98,93
4,8:48.0,,Violation by Team (def goaltending),98,93
4,8:48.0,I. Humphries makes 2-pt layup from 2 ft (assist by A. Len),,100,93
4,8:34.0,,L. Aldridge misses 2-pt hook shot from 8 ft,100,93
4,8:31.0,Defensive rebound by A. Len,,100,93
4,8:18.0,J. Anderson misses 2-pt layup from 1 ft,,100,93
4,8:18.0,Offensive rebound by Team,,100,93
4,8:04.0,J. Adams misses 2-pt layup from 1 ft,,100,93
4,8:02.0,,Defensive rebound by D. DeRozan,100,93
4,7:57.0,,D. DeRozan misses 2-pt layup from 2 ft (block by A. Len),100,93
4,7:54.0,Defensive rebound by I. Humphries,,100,93
4,7:51.0,J. Adams misses 2-pt layup from 1 ft,,100,93
4,7:49.0,,Defensive rebound by R. Gay,100,93
4,7:36.0,,Turnover by D. White (bad pass; steal by T. Young),100,93
4,7:31.0,I. Humphries misses 2-pt layup from 1 ft,,100,93
4,7:28.0,Offensive rebound by J. Anderson,,100,93
4,7:28.0,Turnover by J. Anderson (bad pass; steal by D. DeRozan),,100,93
4,7:28.0,,Personal take foul by T. Young (drawn by D. DeRozan),100,93
4,7:28.0,D. Bembry enters the game for J. Adams,,100,93
4,7:17.0,,M. Belinelli misses 3-pt jump shot from 24 ft,100,93
4,7:14.0,Defensive rebound by I. Humphries,,100,93
4,7:00.0,T. Young misses 3-pt jump shot from 28 ft,,100,93
4,6:56.0,,Defensive rebound by L. Aldridge,100,93
4,6:48.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),100,96
4,6:48.0,Atlanta full timeout,,100,96
4,6:48.0,D. Davis enters the game for J. Anderson,,100,96
4,6:48.0,K. Huerter enters the game for A. Len,,100,96
4,6:48.0,,B. Forbes enters the game for R. Gay,100,96
4,6:25.0,I. Humphries misses 3-pt jump shot from 25 ft,,100,96
4,6:22.0,,Defensive rebound by L. Aldridge,100,96
4,6:17.0,,Shooting foul by I. Humphries (drawn by D. DeRozan),100,96
4,6:17.0,,D. DeRozan makes free throw 1 of 2,100,97
4,6:17.0,,D. DeRozan makes free throw 2 of 2,100,98
4,5:59.0,D. Bembry misses 2-pt layup from 2 ft,,100,98
4,5:55.0,Offensive rebound by D. Davis,,100,98
4,5:55.0,D. Davis makes 2-pt layup from 1 ft,,102,98
4,5:37.0,,Turnover by D. DeRozan (bad pass; steal by D. Davis),102,98
4,5:30.0,I. Humphries misses 2-pt dunk from 2 ft (block by L. Aldridge),,102,98
4,5:27.0,,Defensive rebound by D. DeRozan,102,98
4,5:23.0,,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),102,101
4,5:06.0,T. Young misses 3-pt jump shot from 29 ft,,102,101
4,5:05.0,,Defensive rebound by Team,102,101
4,5:05.0,,San Antonio full timeout,102,101
4,5:05.0,V. Carter enters the game for I. Humphries,,102,101
