QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
2,11:44.0,M. Robinson makes 2-pt layup from 3 ft,,28,18
2,11:28.0,,A. Horford misses 2-pt hook shot from 7 ft,28,18
2,11:28.0,,Offensive rebound by M. Smart,28,18
2,11:24.0,,M. Morris misses 3-pt jump shot from 25 ft,28,18
2,11:22.0,,Offensive rebound by A. Horford,28,18
2,11:16.0,,A. Horford makes 2-pt hook shot from 7 ft (assist by M. Morris),28,20
2,11:03.0,Turnover by T. Burke (bad pass; steal by M. Smart),,28,20
2,10:56.0,,G. Hayward makes 2-pt layup from 6 ft (assist by M. Smart),28,22
2,10:44.0,M. Robinson makes 2-pt dunk from 3 ft (assist by A. Trier),,30,22
2,10:29.0,,Personal foul by F. Ntilikina (drawn by A. Horford),30,22
2,10:23.0,,Shooting foul by K. Knox (drawn by M. Morris),30,22
2,10:23.0,,M. Morris makes free throw 1 of 2,30,23
2,10:23.0,,M. Morris makes free throw 2 of 2,30,24
2,10:02.0,M. Robinson makes 2-pt dunk from 5 ft (assist by A. Trier),,32,24
2,9:46.0,,M. Morris misses 2-pt layup from 2 ft (block by M. Robinson),32,24
2,9:45.0,Defensive rebound by T. Burke,,32,24
2,9:42.0,Turnover by A. Trier (lost ball),,32,24
2,9:27.0,,Turnover by G. Hayward (bad pass; steal by T. Burke),32,24
2,9:24.0,A. Trier makes 2-pt layup from 5 ft (assist by T. Burke),,34,24
2,9:13.0,,G. Hayward misses 3-pt jump shot from 25 ft,34,24
2,9:13.0,Defensive rebound by K. Knox,,34,24
2,9:05.0,K. Knox makes 2-pt jump shot from 21 ft,,36,24
2,8:53.0,,Personal foul by M. Robinson (drawn by A. Horford),36,24
2,8:53.0,,J. Brown enters the game for G. Hayward,36,24
2,8:44.0,,Offensive foul by J. Brown (drawn by F. Ntilikina),36,24
2,8:44.0,,Turnover by J. Brown (offensive foul),36,24
2,8:25.0,F. Ntilikina misses 2-pt jump shot from 10 ft,,36,24
2,8:23.0,,Defensive rebound by M. Morris,36,24
2,8:13.0,,J. Brown misses 3-pt jump shot from 23 ft,36,24
2,8:11.0,Defensive rebound by A. Trier,,36,24
2,8:08.0,Shooting foul by M. Smart (drawn by K. Knox),,36,24
2,8:08.0,K. Knox makes free throw 1 of 2,,37,24
2,8:08.0,N. Vonleh enters the game for M. Robinson,,37,24
2,8:08.0,,D. Theis enters the game for A. Horford,37,24
2,8:08.0,K. Knox makes free throw 2 of 2,,38,24
2,8:01.0,,M. Morris misses 3-pt jump shot from 25 ft,38,24
2,8:00.0,Defensive rebound by N. Vonleh,,38,24
2,7:51.0,T. Burke makes 2-pt jump shot from 17 ft,,40,24
2,7:50.0,,Boston full timeout,40,24
2,7:50.0,T. Hardaway enters the game for F. Ntilikina,,40,24
2,7:50.0,,K. Irving enters the game for M. Morris,40,24
2,7:34.0,,M. Smart makes 2-pt layup from 2 ft,40,26
2,7:22.0,K. Knox misses 2-pt layup from 4 ft (block by D. Theis),,40,26
2,7:22.0,,Defensive rebound by D. Theis,40,26
2,7:16.0,,Turnover by K. Irving (bad pass),40,26
2,7:03.0,T. Burke makes 3-pt jump shot from 28 ft (assist by T. Hardaway),,43,26
2,6:38.0,,M. Smart misses 2-pt layup from 5 ft (block by N. Vonleh),43,26
2,6:37.0,Defensive rebound by K. Knox,,43,26
2,6:37.0,,J. Tatum enters the game for T. Rozier,43,26
2,6:26.0,Shooting foul by D. Theis (drawn by A. Trier),,43,26
2,6:26.0,A. Trier makes free throw 1 of 2,,44,26
2,6:26.0,A. Trier misses free throw 2 of 2,,44,26
2,6:24.0,,Defensive rebound by M. Smart,44,26
2,6:13.0,,D. Theis misses 2-pt jump shot from 10 ft,44,26
2,6:11.0,,Offensive rebound by J. Brown,44,26
2,6:11.0,,J. Brown misses 2-pt layup from 1 ft,44,26
2,6:10.0,Defensive rebound by T. Burke,,44,26
2,6:00.0,T. Hardaway makes 2-pt jump shot from 21 ft (assist by T. Burke),,46,26
2,5:45.0,,J. Brown misses 3-pt jump shot from 24 ft,46,26
2,5:44.0,,Offensive rebound by M. Smart,46,26
2,5:42.0,,Shooting foul by N. Vonleh (drawn by M. Smart),46,26
2,5:42.0,,M. Smart misses free throw 1 of 2,46,26
2,5:42.0,,Offensive rebound by Team,46,26
2,5:42.0,,M. Smart misses free throw 2 of 2,46,26
2,5:42.0,,Offensive rebound by D. Theis,46,26
2,5:37.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Irving),46,29
2,5:26.0,Turnover by T. Burke (bad pass; steal by K. Irving),,46,29
2,5:22.0,,D. Theis misses 2-pt layup from 5 ft (block by N. Vonleh),46,29
2,5:21.0,,Offensive rebound by J. Tatum,46,29
2,5:18.0,,M. Smart misses 3-pt jump shot from 28 ft,46,29
2,5:17.0,Defensive rebound by K. Knox,,46,29
2,4:59.0,T. Burke makes 3-pt jump shot from 28 ft (assist by N. Vonleh),,49,29
2,4:43.0,,J. Tatum misses 2-pt jump shot from 11 ft,49,29
2,4:41.0,Defensive rebound by N. Vonleh,,49,29
2,4:29.0,T. Burke makes 2-pt layup from 4 ft,,51,29
2,4:29.0,Shooting foul by D. Theis (drawn by T. Burke),,51,29
2,4:29.0,E. Freedom enters the game for K. Knox,,51,29
2,4:29.0,E. Mudiay enters the game for A. Trier,,51,29
2,4:29.0,,G. Hayward enters the game for J. Brown,51,29
2,4:29.0,,A. Horford enters the game for M. Smart,51,29
2,4:29.0,,M. Morris enters the game for D. Theis,51,29
2,4:29.0,T. Burke makes free throw 1 of 1,,52,29
2,4:18.0,,K. Irving makes 2-pt jump shot from 19 ft (assist by G. Hayward),52,31
