QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
3,9:51.0,,J. Nurkić misses free throw 1 of 2,43,66
3,9:51.0,,Offensive rebound by Team,43,66
3,9:51.0,,J. Nurkić misses free throw 2 of 2,43,66
3,9:48.0,Defensive rebound by T. Ariza,,43,66
3,9:38.0,J. Jackson misses 2-pt layup from 1 ft,,43,66
3,9:38.0,Offensive rebound by Team,,43,66
3,9:38.0,,Loose ball foul by M. Harkless (drawn by R. Holmes),43,66
3,9:29.0,Turnover by J. Jackson (bad pass; steal by M. Harkless),,43,66
3,9:25.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),43,68
3,9:16.0,Offensive foul by J. Jackson (drawn by J. Nurkić),,43,68
3,9:16.0,Turnover by J. Jackson (offensive foul),,43,68
3,9:16.0,T. Daniels enters the game for J. Jackson,,43,68
3,8:55.0,,J. Nurkić misses 2-pt layup from 2 ft,43,68
3,8:54.0,Defensive rebound by E. Okobo,,43,68
3,8:50.0,E. Okobo makes 2-pt jump shot from 3 ft,,45,68
3,8:35.0,,Shooting foul by M. Bridges (drawn by A. Aminu),45,68
3,8:35.0,,A. Aminu misses free throw 1 of 2,45,68
3,8:35.0,,Offensive rebound by Team,45,68
3,8:35.0,,A. Aminu makes free throw 2 of 2,45,69
3,8:18.0,M. Bridges misses 2-pt layup from 1 ft (block by D. Lillard),,45,69
3,8:16.0,,Defensive rebound by J. Nurkić,45,69
3,8:12.0,,D. Lillard misses 2-pt layup from 1 ft,45,69
3,8:09.0,Defensive rebound by T. Ariza,,45,69
3,7:59.0,T. Ariza misses 3-pt jump shot from 27 ft,,45,69
3,7:59.0,Offensive rebound by Team,,45,69
3,7:59.0,,Loose ball foul by S. Curry (drawn by R. Holmes),45,69
3,7:48.0,M. Bridges makes 2-pt jump shot from 20 ft (assist by R. Holmes),,47,69
3,7:27.0,,S. Curry misses 2-pt jump shot from 17 ft,47,69
3,7:25.0,Defensive rebound by T. Ariza,,47,69
3,7:20.0,Turnover by E. Okobo (traveling),,47,69
3,7:20.0,D. Ayton enters the game for R. Holmes,,47,69
3,7:01.0,,J. Nurkić makes 2-pt hook shot from 2 ft,47,71
3,6:53.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Ayton),,50,71
3,6:37.0,,Turnover by D. Lillard (bad pass; steal by E. Okobo),50,71
3,6:30.0,M. Bridges misses 2-pt layup from 2 ft,,50,71
3,6:28.0,,Defensive rebound by A. Aminu,50,71
3,6:21.0,,A. Aminu misses 2-pt layup from 2 ft,50,71
3,6:18.0,Defensive rebound by M. Bridges,,50,71
3,6:03.0,D. Ayton misses 2-pt jump shot from 15 ft,,50,71
3,6:00.0,,Defensive rebound by S. Curry,50,71
3,5:48.0,,Shooting foul by M. Bridges (drawn by D. Lillard),50,71
3,5:48.0,,Portland full timeout,50,71
3,5:48.0,D. Bender enters the game for T. Ariza,,50,71
3,5:48.0,J. Jackson enters the game for M. Bridges,,50,71
3,5:48.0,D. Melton enters the game for E. Okobo,,50,71
3,5:48.0,,J. Layman enters the game for M. Harkless,50,71
3,5:48.0,,D. Lillard makes free throw 1 of 3,50,72
3,5:48.0,,D. Lillard misses free throw 2 of 3,50,72
3,5:48.0,,Offensive rebound by Team,50,72
3,5:48.0,,D. Lillard makes free throw 3 of 3,50,73
3,5:48.0,,Z. Collins enters the game for A. Aminu,50,73
3,5:30.0,Turnover by D. Ayton (traveling),,50,73
3,5:12.0,,Turnover by S. Curry (traveling),50,73
3,5:04.0,T. Daniels misses 3-pt jump shot from 25 ft,,50,73
3,5:02.0,,Defensive rebound by J. Layman,50,73
3,4:43.0,,S. Curry misses 2-pt layup from 3 ft,50,73
3,4:42.0,Defensive rebound by D. Melton,,50,73
3,4:38.0,D. Melton misses 2-pt layup from 1 ft (block by Z. Collins),,50,73
3,4:36.0,Offensive rebound by D. Melton,,50,73
3,4:30.0,T. Daniels makes 2-pt jump shot from 19 ft (assist by D. Ayton),,52,73
3,4:13.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Lillard),52,76
3,4:01.0,J. Jackson misses 2-pt jump shot from 9 ft,,52,76
3,3:59.0,,Defensive rebound by J. Layman,52,76
3,3:50.0,,Z. Collins misses 3-pt jump shot from 24 ft,52,76
3,3:48.0,,Offensive rebound by Team,52,76
3,3:48.0,,J. Nurkić misses 2-pt layup from 6 ft,52,76
3,3:48.0,,Offensive rebound by J. Nurkić,52,76
3,3:48.0,,M. Leonard enters the game for S. Curry,52,76
3,3:48.0,,E. Turner enters the game for J. Nurkić,52,76
3,3:41.0,,J. Layman misses 3-pt jump shot from 24 ft,52,76
3,3:39.0,Defensive rebound by D. Melton,,52,76
3,3:31.0,J. Jackson makes 2-pt jump shot from 11 ft,,54,76
3,3:20.0,,Personal foul by J. Jackson (drawn by E. Turner),54,76
3,3:13.0,,E. Turner makes 2-pt jump shot from 11 ft,54,78
3,2:54.0,D. Melton misses 2-pt jump shot from 5 ft,,54,78
3,2:54.0,Offensive rebound by Team,,54,78
3,2:54.0,,Loose ball foul by M. Leonard (drawn by D. Ayton),54,78
3,2:54.0,Phoenix full timeout,,54,78
3,2:54.0,,N. Stauskas enters the game for D. Lillard,54,78
3,2:47.0,Shooting foul by J. Layman (drawn by T. Daniels),,54,78
3,2:47.0,T. Daniels makes free throw 1 of 3,,55,78
3,2:47.0,T. Daniels makes free throw 2 of 3,,56,78
3,2:47.0,J. Crawford enters the game for J. Jackson,,56,78
3,2:47.0,T. Daniels makes free throw 3 of 3,,57,78
3,2:27.0,,J. Layman makes 2-pt layup from 2 ft,57,80
3,2:05.0,D. Ayton makes 2-pt jump shot from 9 ft (assist by J. Crawford),,59,80
3,1:41.0,,M. Leonard makes 3-pt jump shot from 22 ft (assist by N. Stauskas),59,83
3,1:31.0,J. Crawford misses 2-pt jump shot from 15 ft,,59,83
3,1:29.0,,Defensive rebound by M. Leonard,59,83
3,1:13.0,,M. Leonard misses 2-pt dunk from 2 ft,59,83
3,1:11.0,Defensive rebound by D. Ayton,,59,83
3,1:07.0,D. Bender misses 3-pt jump shot from 23 ft,,59,83
3,1:05.0,,Defensive rebound by M. Leonard,59,83
3,0:50.0,,Z. Collins makes 2-pt hook shot from 2 ft (assist by M. Leonard),59,85
3,0:43.0,D. Melton misses 2-pt layup from 1 ft,,59,85
3,0:41.0,,Defensive rebound by M. Leonard,59,85
3,0:36.0,,N. Stauskas misses 3-pt jump shot from 25 ft,59,85
3,0:34.0,Defensive rebound by D. Ayton,,59,85
3,0:26.0,D. Melton misses 3-pt jump shot from 25 ft,,59,85
3,0:22.0,,Defensive rebound by M. Leonard,59,85
3,0:03.0,,E. Turner misses 2-pt layup from 4 ft,59,85
3,0:01.0,,Offensive rebound by J. Layman,59,85
3,0:01.0,,J. Layman misses 2-pt layup at rim,59,85
3,0:01.0,,Offensive rebound by E. Turner,59,85
3,0:01.0,,E. Turner makes 2-pt layup at rim,59,87
4,11:41.0,E. Okobo makes 2-pt hook shot from 4 ft (assist by J. Crawford),,61,87
4,11:25.0,,Shooting foul by T. Daniels (drawn by E. Turner),61,87
4,11:25.0,,E. Turner makes free throw 1 of 2,61,88
4,11:25.0,,E. Turner makes free throw 2 of 2,61,89
4,11:09.0,D. Bender makes 3-pt jump shot from 24 ft (assist by T. Daniels),,64,89
4,10:56.0,,M. Leonard misses 2-pt dunk from 1 ft,64,89
4,10:54.0,Defensive rebound by D. Ayton,,64,89
4,10:47.0,D. Bender misses 3-pt jump shot from 23 ft,,64,89
4,10:45.0,,Defensive rebound by E. Turner,64,89
4,10:38.0,,M. Leonard misses 3-pt jump shot from 25 ft,64,89
4,10:35.0,Defensive rebound by T. Daniels,,64,89
4,10:19.0,D. Ayton makes 2-pt jump shot from 15 ft (assist by J. Crawford),,66,89
4,10:04.0,,Turnover by J. Layman (bad pass),66,89
4,9:50.0,D. Bender misses 3-pt jump shot from 26 ft,,66,89
4,9:48.0,,Defensive rebound by N. Stauskas,66,89
4,9:38.0,,Turnover by N. Stauskas (lost ball; steal by J. Crawford),66,89
4,9:35.0,J. Crawford misses 3-pt jump shot from 24 ft,,66,89
4,9:33.0,,Defensive rebound by M. Leonard,66,89
4,9:16.0,,E. Turner misses 2-pt jump shot from 5 ft,66,89
4,9:13.0,,Offensive rebound by Z. Collins,66,89
4,9:13.0,,Z. Collins makes 2-pt layup at rim,66,91
4,8:59.0,Personal foul by M. Leonard (drawn by D. Ayton),,66,91
4,8:59.0,R. Holmes enters the game for D. Ayton,,66,91
4,8:59.0,J. Jackson enters the game for T. Daniels,,66,91
4,8:53.0,E. Okobo misses 3-pt jump shot from 24 ft,,66,91
4,8:49.0,,Defensive rebound by J. Layman,66,91
4,8:42.0,,Shooting foul by E. Okobo (drawn by N. Stauskas),66,91
4,8:42.0,,N. Stauskas makes free throw 1 of 2,66,92
4,8:42.0,,N. Stauskas misses free throw 2 of 2,66,92
4,8:38.0,,Offensive rebound by Z. Collins,66,92
4,8:24.0,,E. Turner misses 2-pt jump shot from 20 ft,66,92
4,8:24.0,,Offensive rebound by Z. Collins,66,92
4,8:24.0,,Z. Collins makes 2-pt layup at rim,66,94
4,8:24.0,Phoenix full timeout,,66,94
4,8:24.0,,S. Curry enters the game for E. Turner,66,94
4,8:13.0,Personal foul by M. Leonard (drawn by J. Crawford),,66,94
4,8:12.0,Turnover by E. Okobo (traveling),,66,94
4,8:00.0,,J. Layman makes 2-pt hook shot from 6 ft (assist by M. Leonard),66,96
4,7:45.0,E. Okobo makes 2-pt layup from 2 ft (assist by J. Crawford),,68,96
4,7:36.0,,Shooting foul by J. Crawford (drawn by J. Layman),68,96
4,7:36.0,,J. Layman misses free throw 1 of 2,68,96
4,7:36.0,,Offensive rebound by Team,68,96
4,7:36.0,,J. Layman makes free throw 2 of 2,68,97
4,7:22.0,J. Crawford misses 3-pt jump shot from 27 ft,,68,97
4,7:17.0,Offensive rebound by R. Holmes,,68,97
4,7:15.0,Turnover by R. Holmes (bad pass; steal by N. Stauskas),,68,97
4,7:12.0,,Turnover by N. Stauskas (lost ball; steal by J. Crawford),68,97
4,7:05.0,E. Okobo misses 3-pt jump shot from 26 ft,,68,97
4,7:04.0,Offensive rebound by E. Okobo,,68,97
4,6:54.0,Turnover by J. Jackson (bad pass; steal by M. Leonard),,68,97
4,6:53.0,,J. Layman makes 2-pt dunk from 2 ft (assist by M. Leonard),68,99
4,6:53.0,Phoenix full timeout,,68,99
4,6:53.0,D. Melton enters the game for J. Crawford,,68,99
4,6:53.0,,W. Baldwin enters the game for S. Curry,68,99
4,6:53.0,,C. Swanigan enters the game for J. Layman,68,99
4,6:53.0,,G. Trent enters the game for M. Leonard,68,99
4,6:44.0,Shooting foul by G. Trent (drawn by D. Melton),,68,99
4,6:44.0,D. Melton makes free throw 1 of 2,,69,99
4,6:44.0,D. Melton misses free throw 2 of 2,,69,99
4,6:41.0,,Defensive rebound by W. Baldwin,69,99
4,6:23.0,,G. Trent misses 2-pt jump shot from 11 ft,69,99
4,6:22.0,Defensive rebound by R. Holmes,,69,99
4,6:12.0,E. Okobo misses 2-pt jump shot from 9 ft,,69,99
4,6:11.0,,Defensive rebound by Z. Collins,69,99
4,6:01.0,,W. Baldwin misses 3-pt jump shot from 24 ft,69,99
4,5:59.0,Defensive rebound by J. Jackson,,69,99
4,5:48.0,D. Melton makes 2-pt layup from 1 ft,,71,99
4,5:36.0,,W. Baldwin misses 2-pt layup from 1 ft,71,99
4,5:34.0,Defensive rebound by R. Holmes,,71,99
4,5:22.0,D. Bender misses 2-pt layup from 3 ft,,71,99
4,5:17.0,Offensive rebound by D. Bender,,71,99
