QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
1,6:11.0,Defensive rebound by D. Šarić,,13,14
1,5:51.0,T. Jones makes 3-pt jump shot from 25 ft (assist by K. Towns),,16,14
1,5:38.0,,J. Murray misses 3-pt jump shot from 26 ft,16,14
1,5:35.0,Defensive rebound by K. Towns,,16,14
1,5:25.0,Personal foul by N. Jokić (drawn by K. Towns),,16,14
1,5:25.0,T. Gibson enters the game for D. Šarić,,16,14
1,5:25.0,,M. Morris enters the game for P. Millsap,16,14
1,5:25.0,,M. Plumlee enters the game for J. Murray,16,14
1,5:18.0,K. Towns misses 2-pt layup from 6 ft (block by N. Jokić),,16,14
1,5:17.0,,Defensive rebound by M. Morris,16,14
1,5:02.0,,Personal foul by T. Gibson (drawn by N. Jokić),16,14
1,4:48.0,,M. Plumlee makes 2-pt hook shot from 6 ft,16,16
1,4:31.0,J. Okogie misses 2-pt jump shot from 6 ft (block by M. Plumlee),,16,16
1,4:31.0,Offensive rebound by Team,,16,16
1,4:29.0,Turnover by K. Towns (lost ball; steal by W. Barton),,16,16
1,4:25.0,,G. Harris makes 2-pt layup from 2 ft (assist by M. Morris),16,18
1,4:10.0,Turnover by J. Okogie (step out of bounds),,16,18
1,4:10.0,,M. Beasley enters the game for G. Harris,16,18
1,3:54.0,,M. Beasley makes 2-pt layup from 3 ft (assist by N. Jokić),16,20
1,3:35.0,T. Jones misses 2-pt jump shot from 7 ft,,16,20
1,3:31.0,,Defensive rebound by M. Morris,16,20
1,3:21.0,,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),16,22
1,3:09.0,Personal foul by M. Beasley (drawn by J. Okogie),,16,22
1,3:09.0,J. Bayless enters the game for J. Okogie,,16,22
1,3:09.0,,J. Murray enters the game for W. Barton,16,22
1,3:06.0,Shooting foul by M. Plumlee (drawn by T. Gibson),,16,22
1,3:06.0,T. Gibson makes free throw 1 of 2,,17,22
1,3:06.0,T. Gibson makes free throw 2 of 2,,18,22
1,2:44.0,,Turnover by M. Plumlee (step out of bounds),18,22
1,2:44.0,,Denver full timeout,18,22
1,2:44.0,C. Reynolds enters the game for T. Jones,,18,22
1,2:44.0,A. Tolliver enters the game for K. Towns,,18,22
1,2:44.0,,P. Millsap enters the game for N. Jokić,18,22
1,2:31.0,T. Gibson misses 2-pt jump shot from 14 ft,,18,22
1,2:29.0,,Defensive rebound by M. Plumlee,18,22
1,2:23.0,,M. Plumlee makes 2-pt dunk at rim (assist by M. Beasley),18,24
1,2:08.0,C. Reynolds misses 3-pt jump shot from 25 ft,,18,24
1,2:04.0,Offensive rebound by T. Gibson,,18,24
1,2:02.0,T. Gibson makes 2-pt layup from 1 ft,,20,24
1,1:45.0,,P. Millsap misses 2-pt jump shot from 5 ft,20,24
1,1:42.0,Defensive rebound by K. Bates-Diop,,20,24
1,1:33.0,K. Bates-Diop misses 2-pt jump shot from 5 ft,,20,24
1,1:30.0,,Defensive rebound by M. Plumlee,20,24
1,1:27.0,,M. Morris misses 2-pt layup from 3 ft (block by K. Bates-Diop),20,24
1,1:27.0,,Offensive rebound by Team,20,24
1,1:27.0,C. Williams enters the game for K. Bates-Diop,,20,24
1,1:23.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by M. Plumlee),20,26
1,1:01.0,C. Williams misses 3-pt jump shot from 23 ft,,20,26
1,1:01.0,,Defensive rebound by M. Beasley,20,26
1,0:45.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by P. Millsap),20,29
1,0:39.0,J. Bayless misses 2-pt jump shot from 21 ft,,20,29
1,0:36.0,,Defensive rebound by P. Millsap,20,29
1,0:32.0,Violation by Team (kicked ball),,20,29
1,0:31.0,,M. Beasley misses 3-pt jump shot from 26 ft,20,29
1,0:27.0,Defensive rebound by J. Bayless,,20,29
1,0:06.0,A. Tolliver misses 2-pt jump shot from 24 ft,,20,29
1,0:03.0,,Defensive rebound by M. Beasley,20,29
1,0:00.0,,M. Morris makes 2-pt jump shot from 22 ft (assist by M. Beasley),20,31
2,11:50.0,C. Williams makes 3-pt jump shot from 24 ft (assist by J. Bayless),,23,31
2,11:30.0,,M. Plumlee misses 2-pt hook shot from 7 ft,23,31
2,11:27.0,Defensive rebound by T. Gibson,,23,31
2,11:20.0,J. Bayless makes 2-pt layup from 2 ft,,25,31
2,11:08.0,,P. Millsap makes 3-pt jump shot from 22 ft (assist by M. Morris),25,34
2,10:56.0,J. Bayless misses 2-pt jump shot from 17 ft,,25,34
2,10:54.0,Offensive rebound by T. Gibson,,25,34
2,10:53.0,J. Bayless misses 3-pt jump shot from 22 ft,,25,34
2,10:50.0,,Defensive rebound by P. Millsap,25,34
2,10:39.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by M. Plumlee),25,36
2,10:13.0,C. Reynolds makes 3-pt jump shot from 24 ft (assist by A. Tolliver),,28,36
2,9:52.0,,Turnover by P. Millsap (traveling),28,36
2,9:39.0,C. Williams makes 2-pt jump shot from 16 ft (assist by A. Tolliver),,30,36
2,9:37.0,,Denver full timeout,30,36
2,9:37.0,,T. Craig enters the game for P. Millsap,30,36
2,9:26.0,,Turnover by J. Murray (bad pass; steal by C. Williams),30,36
2,9:22.0,C. Williams makes 2-pt dunk from 1 ft,,32,36
2,9:07.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Plumlee),32,39
2,8:45.0,C. Williams misses 3-pt jump shot from 23 ft (block by T. Craig),,32,39
2,8:45.0,Offensive rebound by Team,,32,39
2,8:41.0,Turnover by Team (shot clock),,32,39
2,8:20.0,,M. Beasley misses 3-pt jump shot from 25 ft,32,39
2,8:18.0,Defensive rebound by A. Tolliver,,32,39
2,8:14.0,C. Reynolds makes 3-pt jump shot from 24 ft (assist by J. Bayless),,35,39
2,7:56.0,,M. Morris makes 2-pt layup from 2 ft (assist by M. Plumlee),35,41
2,7:44.0,Turnover by J. Bayless (bad pass; steal by M. Morris),,35,41
2,7:41.0,,Shooting foul by A. Tolliver (drawn by J. Murray),35,41
2,7:41.0,,J. Murray makes free throw 1 of 2,35,42
2,7:41.0,K. Towns enters the game for T. Gibson,,35,42
2,7:41.0,,W. Barton enters the game for M. Beasley,35,42
2,7:41.0,,G. Harris enters the game for M. Morris,35,42
2,7:41.0,,N. Jokić enters the game for M. Plumlee,35,42
2,7:41.0,,J. Murray makes free throw 2 of 2,35,43
2,7:24.0,Personal foul by N. Jokić (drawn by K. Towns),,35,43
2,7:24.0,,M. Morris enters the game for J. Murray,35,43
2,7:18.0,K. Towns misses 3-pt jump shot from 25 ft,,35,43
2,7:15.0,,Defensive rebound by W. Barton,35,43
2,7:11.0,,T. Craig misses 3-pt jump shot from 22 ft,35,43
2,7:08.0,Defensive rebound by J. Bayless,,35,43
2,6:57.0,Personal foul by T. Craig (drawn by K. Towns),,35,43
2,6:52.0,K. Towns makes 2-pt hook shot from 5 ft (assist by C. Williams),,37,43
2,6:40.0,,N. Jokić misses 2-pt jump shot from 8 ft,37,43
2,6:36.0,Defensive rebound by J. Bayless,,37,43
2,6:30.0,J. Bayless misses 3-pt jump shot from 24 ft,,37,43
2,6:28.0,,Defensive rebound by Team,37,43
2,6:28.0,T. Jones enters the game for J. Bayless,,37,43
2,6:28.0,,P. Millsap enters the game for T. Craig,37,43
2,6:14.0,,G. Harris makes 2-pt jump shot from 8 ft (assist by N. Jokić),37,45
2,6:05.0,A. Tolliver misses 3-pt jump shot from 25 ft,,37,45
2,6:05.0,,Defensive rebound by G. Harris,37,45
2,5:58.0,,Personal foul by C. Williams (drawn by W. Barton),37,45
2,5:58.0,K. Bates-Diop enters the game for A. Tolliver,,37,45
2,5:58.0,D. Šarić enters the game for C. Williams,,37,45
2,5:46.0,,G. Harris misses 2-pt jump shot from 11 ft,37,45
2,5:42.0,Defensive rebound by K. Towns,,37,45
2,5:34.0,Offensive foul by D. Šarić (drawn by G. Harris),,37,45
2,5:34.0,Turnover by D. Šarić (offensive foul),,37,45
2,5:34.0,J. Okogie enters the game for C. Reynolds,,37,45
2,5:19.0,,W. Barton misses 2-pt jump shot from 6 ft,37,45
2,5:16.0,Defensive rebound by T. Jones,,37,45
2,5:12.0,K. Bates-Diop makes 2-pt layup from 1 ft (assist by T. Jones),,39,45
2,4:59.0,,P. Millsap misses 2-pt layup from 3 ft,39,45
2,4:57.0,Defensive rebound by D. Šarić,,39,45
2,4:51.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Jones),,41,45
2,4:51.0,,Denver full timeout,41,45
2,4:51.0,,J. Murray enters the game for M. Morris,41,45
2,4:35.0,,Personal foul by D. Šarić (drawn by P. Millsap),41,45
2,4:35.0,T. Gibson enters the game for D. Šarić,,41,45
2,4:27.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by W. Barton),41,47
2,4:08.0,T. Gibson misses 2-pt jump shot from 5 ft,,41,47
2,4:06.0,,Defensive rebound by W. Barton,41,47
2,3:58.0,,G. Harris misses 2-pt layup from 2 ft (block by K. Towns),41,47
2,3:58.0,,Offensive rebound by Team,41,47
2,3:49.0,,N. Jokić misses 2-pt jump shot from 7 ft,41,47
2,3:47.0,Defensive rebound by K. Towns,,41,47
2,3:27.0,J. Okogie misses 2-pt jump shot from 20 ft,,41,47
2,3:24.0,,Defensive rebound by J. Murray,41,47
2,3:08.0,,N. Jokić makes 2-pt layup from 2 ft,41,49
2,3:08.0,,Violation by Team (delay of game),41,49
2,2:51.0,T. Jones misses 2-pt jump shot from 8 ft,,41,49
2,2:44.0,Offensive rebound by T. Jones,,41,49
2,2:44.0,T. Jones makes 2-pt layup from 1 ft,,43,49
2,2:34.0,,Personal foul by T. Gibson (drawn by G. Harris),43,49
2,2:34.0,,M. Plumlee enters the game for N. Jokić,43,49
2,2:30.0,,Turnover by W. Barton (lost ball; steal by T. Gibson),43,49
2,2:29.0,Personal take foul by M. Plumlee (drawn by T. Jones),,43,49
2,2:14.0,Turnover by J. Okogie (bad pass),,43,49
2,1:56.0,,W. Barton makes 2-pt jump shot from 17 ft (assist by M. Plumlee),43,51
2,1:54.0,Minnesota full timeout,,43,51
2,1:54.0,C. Reynolds enters the game for J. Okogie,,43,51
2,1:34.0,K. Towns misses 2-pt layup from 5 ft (block by M. Plumlee),,43,51
2,1:32.0,Offensive rebound by T. Gibson,,43,51
2,1:32.0,T. Gibson misses 2-pt jump shot from 6 ft,,43,51
2,1:32.0,Offensive rebound by Team,,43,51
2,1:27.0,Turnover by C. Reynolds (step out of bounds),,43,51
2,1:12.0,,J. Murray misses 2-pt jump shot from 11 ft,43,51
2,1:09.0,,Offensive rebound by P. Millsap,43,51
2,1:07.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by W. Barton),43,54
2,0:50.0,K. Towns makes 2-pt dunk from 1 ft (assist by K. Bates-Diop),,45,54
2,0:43.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),45,56
2,0:33.0,K. Towns makes 2-pt dunk from 1 ft,,47,56
2,0:33.0,Shooting foul by M. Plumlee (drawn by K. Towns),,47,56
2,0:33.0,K. Towns makes free throw 1 of 1,,48,56
2,0:24.0,,Shooting foul by C. Reynolds (drawn by W. Barton),48,56
2,0:24.0,A. Tolliver enters the game for T. Gibson,,48,56
2,0:24.0,,T. Craig enters the game for M. Plumlee,48,56
2,0:24.0,,W. Barton makes free throw 1 of 2,48,57
2,0:24.0,,W. Barton makes free throw 2 of 2,48,58
2,0:06.0,K. Towns misses 2-pt layup from 5 ft (block by P. Millsap),,48,58
2,0:06.0,,Defensive rebound by Team,48,58
2,0:06.0,T. Gibson enters the game for A. Tolliver,,48,58
2,0:06.0,,N. Jokić enters the game for T. Craig,48,58
2,0:00.0,,W. Barton misses 3-pt jump shot from 26 ft,48,58
2,0:00.0,,Offensive rebound by Team,48,58
3,11:37.0,D. Šarić makes 2-pt layup from 4 ft,,50,58
3,11:17.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),50,60
3,11:04.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by K. Towns),,53,60
3,10:48.0,Violation by Team (kicked ball),,53,60
3,10:38.0,,W. Barton misses 3-pt jump shot from 24 ft,53,60
3,10:35.0,Defensive rebound by J. Okogie,,53,60
3,10:22.0,K. Towns misses 2-pt layup from 4 ft (block by G. Harris),,53,60
3,10:19.0,,Defensive rebound by P. Millsap,53,60
3,10:04.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),53,63
3,9:55.0,Turnover by T. Jones (bad pass; steal by J. Murray),,53,63
3,9:52.0,,J. Murray misses 3-pt jump shot from 25 ft,53,63
3,9:49.0,Defensive rebound by J. Okogie,,53,63
3,9:43.0,K. Towns makes 2-pt dunk from 1 ft (assist by K. Bates-Diop),,55,63
3,9:28.0,,Shooting foul by T. Jones (drawn by J. Murray),55,63
3,9:28.0,,J. Murray makes free throw 1 of 2,55,64
3,9:28.0,,J. Murray makes free throw 2 of 2,55,65
3,9:15.0,T. Jones makes 2-pt jump shot from 8 ft,,57,65
3,9:00.0,,J. Murray makes 2-pt jump shot from 14 ft (assist by N. Jokić),57,67
3,8:50.0,K. Bates-Diop misses 2-pt jump shot from 3 ft,,57,67
3,8:49.0,Offensive rebound by K. Towns,,57,67
3,8:49.0,K. Towns misses 2-pt layup at rim,,57,67
3,8:49.0,Offensive rebound by K. Bates-Diop,,57,67
3,8:49.0,Shooting foul by N. Jokić (drawn by K. Bates-Diop),,57,67
3,8:49.0,K. Bates-Diop makes free throw 1 of 2,,58,67
3,8:49.0,K. Bates-Diop makes free throw 2 of 2,,59,67
3,8:29.0,,N. Jokić makes 2-pt hook shot from 3 ft,59,69
3,8:17.0,K. Towns makes 2-pt jump shot from 19 ft,,61,69
3,8:03.0,,J. Murray misses 2-pt jump shot from 3 ft,61,69
3,8:02.0,,Offensive rebound by N. Jokić,61,69
3,8:02.0,,N. Jokić makes 2-pt layup from 1 ft,61,71
3,8:00.0,Turnover by D. Šarić (bad pass),,61,71
3,7:47.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by P. Millsap),61,74
3,7:39.0,Minnesota full timeout,,61,74
3,7:20.0,Turnover by K. Bates-Diop (lost ball; steal by P. Millsap),,61,74
3,7:00.0,,P. Millsap misses 3-pt jump shot from 25 ft,61,74
3,6:55.0,,Offensive rebound by N. Jokić,61,74
3,6:55.0,,N. Jokić makes 2-pt layup from 1 ft,61,76
3,6:33.0,D. Šarić misses 3-pt jump shot from 25 ft,,61,76
3,6:31.0,Offensive rebound by K. Towns,,61,76
3,6:29.0,K. Towns misses 2-pt jump shot from 11 ft,,61,76
3,6:27.0,,Defensive rebound by W. Barton,61,76
3,6:15.0,,J. Murray makes 2-pt jump shot from 15 ft,61,78
3,6:02.0,K. Towns misses 3-pt jump shot from 26 ft,,61,78
3,5:59.0,,Defensive rebound by G. Harris,61,78
3,5:55.0,,G. Harris misses 3-pt jump shot from 25 ft,61,78
3,5:52.0,Defensive rebound by D. Šarić,,61,78
3,5:34.0,T. Jones makes 3-pt jump shot from 26 ft,,64,78
3,5:18.0,,Turnover by N. Jokić (bad pass; steal by D. Šarić),64,78
3,5:12.0,Personal foul by P. Millsap (drawn by D. Šarić),,64,78
3,5:12.0,J. Bayless enters the game for T. Jones,,64,78
3,5:12.0,C. Reynolds enters the game for J. Okogie,,64,78
3,5:12.0,,M. Morris enters the game for W. Barton,64,78
3,5:12.0,,M. Plumlee enters the game for P. Millsap,64,78
3,5:07.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,64,78
3,5:02.0,,Defensive rebound by N. Jokić,64,78
3,4:54.0,,N. Jokić misses 2-pt layup from 6 ft (block by K. Towns),64,78
3,4:51.0,Defensive rebound by K. Towns,,64,78
3,4:49.0,K. Towns makes 2-pt jump shot from 12 ft,,66,78
3,4:49.0,Shooting foul by N. Jokić (drawn by K. Towns),,66,78
3,4:49.0,T. Gibson enters the game for D. Šarić,,66,78
3,4:49.0,,P. Millsap enters the game for N. Jokić,66,78
3,4:49.0,K. Towns makes free throw 1 of 1,,67,78
3,4:38.0,,Personal foul by J. Bayless (drawn by J. Murray),67,78
3,4:30.0,,M. Morris misses 3-pt jump shot from 24 ft,67,78
3,4:26.0,Defensive rebound by K. Towns,,67,78
3,4:18.0,K. Towns makes 2-pt layup from 2 ft (assist by C. Reynolds),,69,78
3,3:53.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by G. Harris),69,81
3,3:27.0,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by K. Towns),,72,81
3,3:12.0,,J. Murray misses 2-pt dunk from 4 ft (block by T. Gibson),72,81
3,3:09.0,,Offensive rebound by J. Murray,72,81
3,3:08.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by M. Morris),72,84
3,2:39.0,K. Bates-Diop misses 2-pt jump shot from 23 ft,,72,84
3,2:37.0,,Defensive rebound by Team,72,84
3,2:37.0,Loose ball foul by K. Towns (drawn by P. Millsap),,72,84
3,2:37.0,,Denver full timeout,72,84
3,2:37.0,A. Tolliver enters the game for K. Bates-Diop,,72,84
3,2:37.0,C. Williams enters the game for K. Towns,,72,84
3,2:37.0,,W. Barton enters the game for G. Harris,72,84
3,2:37.0,,M. Beasley enters the game for J. Murray,72,84
3,2:14.0,,M. Plumlee misses 2-pt layup from 9 ft,72,84
3,2:13.0,Personal foul by M. Plumlee (drawn by J. Bayless),,72,84
3,2:13.0,Defensive rebound by C. Williams,,72,84
3,2:02.0,Turnover by T. Gibson (traveling),,72,84
3,1:45.0,,Turnover by M. Beasley (lost ball; steal by C. Williams),72,84
3,1:36.0,A. Tolliver misses 3-pt jump shot from 23 ft,,72,84
3,1:33.0,,Defensive rebound by W. Barton,72,84
3,1:28.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Beasley),72,87
3,1:12.0,T. Gibson makes 2-pt layup from 2 ft (assist by C. Williams),,74,87
3,0:54.0,,P. Millsap misses 2-pt jump shot from 5 ft,74,87
3,0:54.0,,Offensive rebound by Team,74,87
3,0:50.0,,Shooting foul by A. Tolliver (drawn by M. Plumlee),74,87
3,0:50.0,,M. Plumlee misses free throw 1 of 2,74,87
3,0:50.0,,Offensive rebound by Team,74,87
3,0:50.0,,M. Plumlee makes free throw 2 of 2,74,88
3,0:42.0,Personal foul by P. Millsap (drawn by T. Gibson),,74,88
3,0:42.0,T. Gibson makes free throw 1 of 2,,75,88
3,0:42.0,T. Gibson makes free throw 2 of 2,,76,88
3,0:22.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),76,91
3,0:22.0,K. Towns enters the game for T. Gibson,,76,91
3,0:22.0,,T. Craig enters the game for M. Plumlee,76,91
3,0:02.0,K. Towns makes 2-pt dunk from 1 ft (assist by A. Tolliver),,78,91
3,0:00.0,,P. Millsap makes 3-pt jump shot from 45 ft (assist by M. Morris),78,94
4,11:46.0,,Turnover by M. Plumlee (bad pass; steal by C. Reynolds),78,94
4,11:33.0,C. Williams makes 2-pt jump shot from 10 ft (assist by C. Reynolds),,80,94
4,11:16.0,,Personal foul by C. Williams (drawn by M. Beasley),80,94
4,11:16.0,,N. Jokić enters the game for M. Plumlee,80,94
4,11:06.0,,Personal foul by T. Gibson (drawn by N. Jokić),80,94
4,10:51.0,,W. Barton misses 3-pt jump shot from 28 ft,80,94
4,10:47.0,,Offensive rebound by M. Morris,80,94
4,10:37.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Beasley),80,96
4,10:22.0,C. Williams misses 2-pt jump shot from 19 ft,,80,96
4,10:19.0,,Defensive rebound by M. Morris,80,96
4,10:06.0,,Turnover by N. Jokić (bad pass),80,96
4,9:56.0,J. Bayless makes 2-pt jump shot from 6 ft,,82,96
4,9:56.0,,Denver full timeout,82,96
4,9:56.0,K. Towns enters the game for T. Gibson,,82,96
4,9:40.0,,N. Jokić makes 2-pt layup from 2 ft (assist by T. Craig),82,98
4,9:15.0,J. Bayless misses 3-pt jump shot from 24 ft,,82,98
4,9:12.0,,Defensive rebound by N. Jokić,82,98
4,9:02.0,,W. Barton misses 2-pt layup from 1 ft,82,98
4,8:59.0,Defensive rebound by K. Towns,,82,98
4,8:52.0,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Tolliver),,85,98
4,8:31.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by W. Barton),85,101
4,8:17.0,K. Towns misses 3-pt jump shot from 25 ft,,85,101
4,8:14.0,,Defensive rebound by W. Barton,85,101
4,8:07.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by W. Barton),85,104
4,8:06.0,Minnesota full timeout,,85,104
4,8:06.0,T. Jones enters the game for A. Tolliver,,85,104
4,8:06.0,D. Šarić enters the game for C. Williams,,85,104
4,7:52.0,Turnover by K. Towns (bad pass),,85,104
4,7:34.0,,Turnover by W. Barton (lost ball; steal by C. Reynolds),85,104
4,7:27.0,T. Jones makes 2-pt layup from 2 ft,,87,104
4,7:16.0,,Turnover by N. Jokić (bad pass),87,104
4,7:16.0,K. Bates-Diop enters the game for C. Reynolds,,87,104
4,6:52.0,D. Šarić makes 2-pt layup from 1 ft (assist by K. Bates-Diop),,89,104
4,6:35.0,,Turnover by M. Morris (bad pass; steal by T. Jones),89,104
4,6:32.0,T. Jones makes 2-pt layup from 2 ft,,91,104
4,6:32.0,,Denver full timeout,91,104
4,6:32.0,,G. Harris enters the game for W. Barton,91,104
4,6:32.0,,P. Millsap enters the game for M. Beasley,91,104
4,6:32.0,,J. Murray enters the game for T. Craig,91,104
4,6:32.0,,M. Plumlee enters the game for N. Jokić,91,104
4,6:22.0,,Personal foul by J. Bayless (drawn by J. Murray),91,104
4,6:13.0,,G. Harris makes 3-pt jump shot from 25 ft,91,107
4,6:00.0,J. Bayless misses 2-pt jump shot from 4 ft,,91,107
4,5:58.0,,Defensive rebound by M. Morris,91,107
4,5:55.0,,J. Murray makes 2-pt dunk from 1 ft,91,109
4,5:55.0,Minnesota full timeout,,91,109
4,5:39.0,K. Towns makes 2-pt layup from 4 ft,,93,109
4,5:16.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by M. Morris),93,112
4,5:00.0,Offensive foul by K. Towns (drawn by P. Millsap),,93,112
4,5:00.0,Turnover by K. Towns (offensive foul),,93,112
4,4:48.0,,P. Millsap makes 2-pt jump shot from 3 ft (assist by M. Morris),93,114
4,4:36.0,T. Jones makes 2-pt jump shot from 19 ft,,95,114
4,4:22.0,,Shooting foul by D. Šarić (drawn by P. Millsap),95,114
4,4:22.0,,P. Millsap makes free throw 1 of 2,95,115
4,4:22.0,G. Dieng enters the game for J. Bayless,,95,115
4,4:22.0,C. Reynolds enters the game for K. Towns,,95,115
4,4:22.0,,P. Millsap misses free throw 2 of 2,95,115
4,4:20.0,Defensive rebound by G. Dieng,,95,115
4,4:09.0,C. Reynolds misses 3-pt jump shot from 26 ft,,95,115
4,4:06.0,,Defensive rebound by M. Plumlee,95,115
4,4:02.0,,J. Murray makes 3-pt jump shot from 26 ft (assist by M. Plumlee),95,118
4,4:01.0,Minnesota full timeout,,95,118
4,4:01.0,J. Okogie enters the game for T. Jones,,95,118
4,4:01.0,C. Williams enters the game for D. Šarić,,95,118
4,3:39.0,K. Bates-Diop misses 3-pt jump shot from 27 ft,,95,118
4,3:38.0,,Defensive rebound by P. Millsap,95,118
4,3:34.0,,Personal foul by G. Dieng (drawn by P. Millsap),95,118
4,3:34.0,,P. Millsap makes free throw 1 of 2,95,119
4,3:34.0,,J. Hernangómez enters the game for M. Plumlee,95,119
4,3:34.0,,P. Millsap makes free throw 2 of 2,95,120
4,3:33.0,Personal take foul by M. Morris (drawn by C. Williams),,95,120
4,3:33.0,,M. Beasley enters the game for G. Harris,95,120
4,3:33.0,,T. Craig enters the game for P. Millsap,95,120
4,3:33.0,,J. Vanderbilt enters the game for J. Murray,95,120
4,3:23.0,C. Williams makes 2-pt jump shot from 21 ft,,97,120
4,2:58.0,,T. Craig makes 3-pt jump shot from 24 ft,97,123
4,2:49.0,Shooting foul by J. Vanderbilt (drawn by G. Dieng),,97,123
4,2:49.0,G. Dieng makes free throw 1 of 2,,98,123
4,2:49.0,,T. Welsh enters the game for M. Morris,98,123
4,2:49.0,G. Dieng makes free throw 2 of 2,,99,123
4,2:28.0,,J. Vanderbilt misses 3-pt jump shot from 23 ft,99,123
4,2:25.0,Defensive rebound by C. Reynolds,,99,123
