QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
1,4:04.0,K. Oubre makes 2-pt layup from 1 ft (assist by D. Booker),,22,19
1,4:04.0,Shooting foul by I. Shumpert (drawn by K. Oubre),,22,19
1,4:04.0,R. Holmes enters the game for D. Ayton,,22,19
1,4:04.0,J. Jackson enters the game for D. Bender,,22,19
1,4:04.0,K. Oubre makes free throw 1 of 1,,23,19
1,3:48.0,,I. Shumpert misses 2-pt jump shot from 12 ft,23,19
1,3:47.0,Defensive rebound by R. Holmes,,23,19
1,3:26.0,M. Bridges misses 3-pt jump shot from 25 ft,,23,19
1,3:25.0,,Defensive rebound by I. Shumpert,23,19
1,3:11.0,,J. Harden makes 2-pt layup from 1 ft,23,21
1,3:06.0,Offensive foul by D. Booker (drawn by A. Rivers),,23,21
1,3:06.0,Turnover by D. Booker (offensive foul),,23,21
1,2:58.0,,J. Harden makes 2-pt layup at rim,23,23
1,2:52.0,Phoenix full timeout,,23,23
1,2:45.0,R. Holmes makes 2-pt jump shot from 5 ft,,25,23
1,2:23.0,,Turnover by J. Harden (lost ball; steal by M. Bridges),25,23
1,2:10.0,R. Holmes makes 2-pt layup from 1 ft (assist by J. Jackson),,27,23
1,2:10.0,Shooting foul by G. Green (drawn by R. Holmes),,27,23
1,2:10.0,J. Crawford enters the game for K. Oubre,,27,23
1,2:10.0,R. Holmes makes free throw 1 of 1,,28,23
1,1:53.0,,J. Harden misses 3-pt jump shot from 24 ft,28,23
1,1:52.0,Defensive rebound by D. Booker,,28,23
1,1:36.0,R. Holmes misses 2-pt layup from 1 ft,,28,23
1,1:35.0,,Defensive rebound by K. Faried,28,23
1,1:25.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by J. Harden),28,26
1,1:05.0,R. Holmes misses 2-pt layup from 3 ft (block by J. Harden),,28,26
1,1:04.0,,Defensive rebound by I. Shumpert,28,26
1,0:59.0,,J. Harden misses 3-pt jump shot from 25 ft,28,26
1,0:58.0,Defensive rebound by R. Holmes,,28,26
1,0:53.0,D. Booker makes 2-pt layup from 1 ft (assist by J. Crawford),,30,26
1,0:39.0,,J. Harden misses 2-pt jump shot from 5 ft,30,26
1,0:37.0,Defensive rebound by Team,,30,26
1,0:37.0,,Loose ball foul by K. Faried (drawn by R. Holmes),30,26
1,0:37.0,R. Holmes misses free throw 1 of 2,,30,26
1,0:37.0,Offensive rebound by Team,,30,26
1,0:37.0,,E. Gordon enters the game for I. Shumpert,30,26
1,0:37.0,R. Holmes makes free throw 2 of 2,,31,26
1,0:27.0,,J. Harden misses 2-pt jump shot from 18 ft,31,26
1,0:26.0,Defensive rebound by R. Holmes,,31,26
1,0:04.0,J. Crawford misses 3-pt jump shot from 23 ft,,31,26
1,0:02.0,,Defensive rebound by K. Faried,31,26
1,0:00.0,,A. Rivers misses 3-pt jump shot from 47 ft,31,26
1,0:00.0,,Offensive rebound by Team,31,26
2,11:44.0,J. Jackson misses 2-pt jump shot from 20 ft,,31,26
2,11:43.0,Offensive rebound by R. Holmes,,31,26
2,11:39.0,R. Holmes misses 2-pt layup from 4 ft (block by G. Green),,31,26
2,11:38.0,,Defensive rebound by E. Gordon,31,26
2,11:33.0,,I. Shumpert misses 3-pt jump shot from 25 ft,31,26
2,11:32.0,Defensive rebound by M. Bridges,,31,26
2,11:25.0,Turnover by J. Crawford (bad pass),,31,26
2,11:12.0,,G. Green misses 3-pt jump shot from 23 ft,31,26
2,11:11.0,Defensive rebound by R. Holmes,,31,26
2,10:57.0,J. Jackson makes 2-pt dunk from 2 ft,,33,26
2,10:45.0,,E. Gordon makes 2-pt layup at rim,33,28
2,10:30.0,R. Holmes misses 2-pt layup from 1 ft,,33,28
2,10:29.0,,Defensive rebound by K. Faried,33,28
2,10:27.0,Technical foul by R. Holmes,,33,28
2,10:27.0,,E. Gordon makes technical free throw,33,29
2,10:27.0,D. Ayton enters the game for R. Holmes,,33,29
2,10:27.0,,D. House enters the game for G. Green,33,29
2,10:27.0,,P. Tucker enters the game for I. Shumpert,33,29
2,10:18.0,,K. Faried misses 2-pt layup from 4 ft,33,29
2,10:17.0,Defensive rebound by D. Ayton,,33,29
2,10:14.0,Turnover by D. Ayton (bad pass; steal by P. Tucker),,33,29
2,10:13.0,,K. Faried misses 2-pt dunk at rim (block by J. Jackson),33,29
2,10:12.0,Defensive rebound by M. Bridges,,33,29
2,10:00.0,J. Crawford misses 3-pt jump shot from 25 ft,,33,29
2,9:58.0,,Defensive rebound by K. Faried,33,29
2,9:54.0,,E. Gordon makes 3-pt jump shot from 25 ft,33,32
2,9:43.0,T. Daniels misses 3-pt jump shot from 27 ft,,33,32
2,9:43.0,,Defensive rebound by E. Gordon,33,32
2,9:31.0,,A. Rivers makes 2-pt layup from 1 ft,33,34
2,9:12.0,D. Ayton makes 2-pt jump shot from 12 ft (assist by T. Daniels),,35,34
2,9:01.0,,Shooting foul by T. Daniels (drawn by A. Rivers),35,34
2,9:01.0,,A. Rivers misses free throw 1 of 2,35,34
2,9:01.0,,Offensive rebound by Team,35,34
2,9:01.0,,C. Capela enters the game for K. Faried,35,34
2,9:01.0,,A. Rivers misses free throw 2 of 2,35,34
2,9:01.0,Defensive rebound by J. Jackson,,35,34
2,8:45.0,D. Ayton makes 2-pt hook shot from 5 ft (assist by T. Daniels),,37,34
2,8:27.0,,Shooting foul by M. Bridges (drawn by E. Gordon),37,34
2,8:27.0,,E. Gordon makes free throw 1 of 2,37,35
2,8:27.0,K. Oubre enters the game for T. Daniels,,37,35
2,8:27.0,,E. Gordon makes free throw 2 of 2,37,36
2,8:12.0,D. Ayton misses 2-pt jump shot from 12 ft,,37,36
2,8:10.0,,Defensive rebound by D. House,37,36
2,8:04.0,,E. Gordon misses 3-pt jump shot from 26 ft,37,36
2,8:03.0,Defensive rebound by M. Bridges,,37,36
2,7:56.0,Turnover by J. Crawford (bad pass),,37,36
2,7:38.0,,E. Gordon makes 2-pt layup from 1 ft,37,38
2,7:17.0,J. Jackson makes 2-pt jump shot from 7 ft,,39,38
2,7:04.0,,E. Gordon misses 3-pt jump shot from 25 ft,39,38
2,7:02.0,,Offensive rebound by P. Tucker,39,38
2,6:58.0,,A. Rivers misses 3-pt jump shot from 25 ft,39,38
2,6:55.0,Defensive rebound by Team,,39,38
2,6:55.0,,Houston full timeout,39,38
2,6:55.0,,J. Harden enters the game for A. Rivers,39,38
2,6:47.0,Personal foul by E. Gordon (drawn by K. Oubre),,39,38
2,6:38.0,K. Oubre misses 3-pt jump shot from 26 ft,,39,38
2,6:37.0,,Defensive rebound by P. Tucker,39,38
2,6:25.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),39,40
2,6:06.0,J. Jackson makes 2-pt jump shot from 22 ft,,41,40
2,5:57.0,,C. Capela makes 2-pt layup at rim (assist by J. Harden),41,42
2,5:57.0,,Shooting foul by J. Jackson (drawn by C. Capela),41,42
2,5:57.0,D. Booker enters the game for J. Crawford,,41,42
2,5:57.0,,C. Capela makes free throw 1 of 1,41,43
2,5:47.0,K. Oubre makes 2-pt jump shot from 15 ft (assist by D. Booker),,43,43
2,5:36.0,,Shooting foul by M. Bridges (drawn by J. Harden),43,43
2,5:36.0,,J. Harden makes free throw 1 of 2,43,44
2,5:36.0,,G. Green enters the game for E. Gordon,43,44
2,5:36.0,,J. Harden makes free throw 2 of 2,43,45
2,5:24.0,J. Jackson misses 3-pt jump shot from 23 ft,,43,45
2,5:23.0,,Defensive rebound by C. Capela,43,45
2,5:15.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),43,47
2,5:14.0,Phoenix full timeout,,43,47
2,5:14.0,D. Bender enters the game for J. Jackson,,43,47
2,4:55.0,D. Booker misses 2-pt layup from 2 ft (block by C. Capela),,43,47
2,4:54.0,,Defensive rebound by C. Capela,43,47
2,4:46.0,,J. Harden misses 3-pt jump shot from 25 ft,43,47
2,4:45.0,Defensive rebound by D. Booker,,43,47
2,4:31.0,D. Bender makes 2-pt layup from 2 ft (assist by M. Bridges),,45,47
2,4:14.0,,G. Green misses 3-pt jump shot from 25 ft,45,47
2,4:13.0,Defensive rebound by Team,,45,47
2,3:57.0,D. Ayton misses 2-pt layup from 1 ft (block by G. Green),,45,47
2,3:56.0,,Defensive rebound by J. Harden,45,47
2,3:47.0,,Turnover by G. Green (bad pass; steal by K. Oubre),45,47
2,3:43.0,Turnover by M. Bridges (lost ball; steal by P. Tucker),,45,47
2,3:35.0,,Turnover by G. Green (traveling),45,47
2,3:16.0,D. Ayton misses 2-pt hook shot from 7 ft,,45,47
2,3:14.0,,Defensive rebound by J. Harden,45,47
2,3:08.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),45,49
2,2:49.0,Shooting foul by J. Harden (drawn by D. Ayton),,45,49
2,2:49.0,D. Ayton makes free throw 1 of 2,,46,49
2,2:49.0,,E. Gordon enters the game for G. Green,46,49
2,2:49.0,D. Ayton makes free throw 2 of 2,,47,49
2,2:38.0,,E. Gordon misses 2-pt layup from 1 ft,47,49
2,2:37.0,Defensive rebound by D. Ayton,,47,49
2,2:33.0,Shooting foul by J. Harden (drawn by K. Oubre),,47,49
2,2:33.0,K. Oubre makes free throw 1 of 2,,48,49
2,2:33.0,R. Holmes enters the game for D. Ayton,,48,49
2,2:33.0,K. Oubre makes free throw 2 of 2,,49,49
2,2:13.0,,J. Harden misses 2-pt layup at rim,49,49
2,2:12.0,Defensive rebound by D. Bender,,49,49
2,2:04.0,K. Oubre makes 2-pt jump shot from 5 ft (assist by D. Booker),,51,49
2,1:53.0,,J. Harden makes 2-pt layup from 1 ft,51,51
2,1:30.0,D. Booker misses 2-pt jump shot from 12 ft,,51,51
2,1:29.0,,Defensive rebound by J. Harden,51,51
2,1:24.0,,D. House misses 2-pt layup from 3 ft (block by K. Oubre),51,51
2,1:23.0,,Offensive rebound by C. Capela,51,51
2,1:22.0,,C. Capela misses 2-pt layup from 3 ft,51,51
2,1:20.0,Defensive rebound by D. Booker,,51,51
2,1:15.0,D. Booker misses 2-pt layup from 1 ft,,51,51
2,1:14.0,,Defensive rebound by C. Capela,51,51
2,1:02.0,,Shooting foul by R. Holmes (drawn by D. House),51,51
2,1:02.0,,D. House makes free throw 1 of 2,51,52
2,1:02.0,,D. House makes free throw 2 of 2,51,53
2,0:47.0,D. Booker misses 2-pt jump shot from 16 ft,,51,53
2,0:45.0,Offensive rebound by R. Holmes,,51,53
2,0:38.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by M. Bridges),,54,53
2,0:29.0,,J. Harden makes 2-pt jump shot from 4 ft,54,55
2,0:04.0,M. Bridges misses 3-pt jump shot from 26 ft,,54,55
2,0:03.0,Offensive rebound by D. Bender,,54,55
2,0:00.0,D. Booker makes 3-pt jump shot from 28 ft (assist by D. Bender),,57,55
3,11:49.0,D. Booker misses 2-pt jump shot from 15 ft,,57,55
3,11:48.0,Offensive rebound by D. Ayton,,57,55
3,11:47.0,D. Ayton misses 2-pt layup from 1 ft,,57,55
3,11:46.0,Offensive rebound by D. Ayton,,57,55
3,11:45.0,D. Ayton makes 2-pt layup from 1 ft,,59,55
3,11:26.0,,D. House makes 3-pt jump shot from 25 ft (assist by E. Gordon),59,58
3,11:11.0,Turnover by D. Ayton (lost ball; steal by J. Harden),,59,58
3,11:03.0,,Shooting foul by T. Daniels (drawn by J. Harden),59,58
3,11:03.0,,J. Harden makes free throw 1 of 2,59,59
3,11:03.0,,J. Harden makes free throw 2 of 2,59,60
3,10:41.0,Shooting foul by P. Tucker (drawn by D. Booker),,59,60
3,10:41.0,D. Booker makes free throw 1 of 2,,60,60
3,10:41.0,D. Booker makes free throw 2 of 2,,61,60
3,10:27.0,,E. Gordon misses 3-pt jump shot from 26 ft,61,60
3,10:26.0,Defensive rebound by D. Bender,,61,60
3,10:07.0,D. Booker misses 3-pt jump shot from 25 ft,,61,60
3,10:06.0,,Defensive rebound by P. Tucker,61,60
3,10:00.0,,E. Gordon misses 3-pt jump shot from 26 ft,61,60
3,9:59.0,,Offensive rebound by C. Capela,61,60
3,9:55.0,,C. Capela makes 2-pt layup from 1 ft,61,62
3,9:30.0,Turnover by D. Ayton (lost ball; steal by J. Harden),,61,62
3,9:25.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),61,64
3,9:14.0,Shooting foul by D. House (drawn by D. Booker),,61,64
3,9:14.0,D. Booker makes free throw 1 of 2,,62,64
3,9:14.0,M. Bridges enters the game for T. Daniels,,62,64
3,9:14.0,D. Booker makes free throw 2 of 2,,63,64
3,9:01.0,,P. Tucker misses 3-pt jump shot from 23 ft,63,64
3,9:00.0,Defensive rebound by D. Booker,,63,64
3,8:54.0,D. Booker makes 2-pt jump shot from 4 ft,,65,64
3,8:44.0,,J. Harden misses 3-pt jump shot from 24 ft,65,64
3,8:44.0,Defensive rebound by M. Bridges,,65,64
3,8:25.0,Turnover by D. Ayton (lost ball; steal by J. Harden),,65,64
3,8:13.0,,J. Harden makes 2-pt jump shot from 7 ft,65,66
3,7:51.0,Shooting foul by C. Capela (drawn by D. Booker),,65,66
3,7:51.0,D. Booker makes free throw 1 of 2,,66,66
3,7:51.0,D. Booker makes free throw 2 of 2,,67,66
3,7:37.0,,Turnover by J. Harden (bad pass; steal by K. Oubre),67,66
3,7:33.0,K. Oubre misses 2-pt dunk from 1 ft,,67,66
3,7:31.0,,Defensive rebound by E. Gordon,67,66
3,7:28.0,,Shooting foul by D. Bender (drawn by C. Capela),67,66
3,7:28.0,,C. Capela makes free throw 1 of 2,67,67
3,7:28.0,,C. Capela misses free throw 2 of 2,67,67
3,7:28.0,Defensive rebound by D. Ayton,,67,67
3,7:10.0,D. Ayton misses 2-pt hook shot from 6 ft,,67,67
3,7:09.0,,Defensive rebound by D. House,67,67
3,7:01.0,,J. Harden misses 3-pt jump shot from 27 ft,67,67
3,7:00.0,Defensive rebound by D. Bender,,67,67
3,6:56.0,Turnover by D. Booker (bad pass),,67,67
3,6:56.0,,Houston full timeout,67,67
3,6:56.0,,A. Rivers enters the game for E. Gordon,67,67
3,6:56.0,,I. Shumpert enters the game for P. Tucker,67,67
3,6:42.0,,D. House misses 3-pt jump shot from 25 ft,67,67
3,6:41.0,Defensive rebound by Team,,67,67
3,6:27.0,Turnover by D. Booker (bad pass; steal by C. Capela),,67,67
3,6:21.0,,D. House misses 3-pt jump shot from 23 ft,67,67
3,6:20.0,Defensive rebound by D. Ayton,,67,67
3,6:07.0,K. Oubre misses 2-pt jump shot from 11 ft,,67,67
3,6:06.0,,Defensive rebound by C. Capela,67,67
3,5:59.0,,J. Harden makes 2-pt layup from 1 ft,67,69
3,5:36.0,D. Booker makes 2-pt jump shot from 17 ft,,69,69
3,5:23.0,,J. Harden makes 2-pt layup from 1 ft,69,71
3,5:08.0,D. Booker misses 3-pt jump shot from 25 ft,,69,71
3,5:08.0,,Defensive rebound by D. House,69,71
3,5:00.0,,J. Harden misses 3-pt jump shot from 25 ft,69,71
3,4:56.0,Defensive rebound by D. Ayton,,69,71
3,4:53.0,Shooting foul by I. Shumpert (drawn by D. Booker),,69,71
3,4:53.0,D. Booker makes free throw 1 of 2,,70,71
3,4:53.0,R. Holmes enters the game for D. Ayton,,70,71
3,4:53.0,J. Jackson enters the game for D. Bender,,70,71
3,4:53.0,,K. Faried enters the game for C. Capela,70,71
3,4:53.0,D. Booker makes free throw 2 of 2,,71,71
3,4:32.0,,D. House makes 2-pt layup from 1 ft (assist by A. Rivers),71,73
3,4:18.0,R. Holmes makes 2-pt dunk from 1 ft (assist by D. Booker),,73,73
3,3:58.0,,J. Harden makes 3-pt jump shot from 26 ft,73,76
3,3:45.0,D. Booker makes 2-pt jump shot from 20 ft,,75,76
3,3:28.0,,D. House makes 2-pt layup from 1 ft (assist by J. Harden),75,78
3,3:05.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Bridges),,78,78
3,2:51.0,Violation by Team (kicked ball),,78,78
3,2:51.0,Phoenix full timeout,,78,78
3,2:51.0,J. Crawford enters the game for D. Booker,,78,78
3,2:51.0,,G. Green enters the game for D. House,78,78
3,2:42.0,,G. Green misses 3-pt jump shot from 26 ft,78,78
3,2:38.0,Defensive rebound by K. Oubre,,78,78
3,2:35.0,Offensive foul by K. Oubre (drawn by K. Faried),,78,78
3,2:35.0,Turnover by K. Oubre (offensive foul),,78,78
3,2:30.0,,A. Rivers makes 2-pt layup from 1 ft (assist by J. Harden),78,80
3,2:30.0,Violation by Team (def goaltending),,78,80
3,2:18.0,K. Oubre makes 3-pt jump shot from 22 ft (assist by M. Bridges),,81,80
3,2:03.0,,Offensive foul by G. Green (drawn by J. Jackson),81,80
3,2:03.0,,Turnover by G. Green (offensive foul),81,80
3,1:42.0,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),,83,80
3,1:29.0,,K. Faried makes 2-pt layup from 1 ft (assist by I. Shumpert),83,82
3,1:29.0,,E. Gordon enters the game for J. Harden,83,82
3,1:07.0,R. Holmes makes 2-pt layup from 1 ft,,85,82
3,0:57.0,,Shooting foul by R. Holmes (drawn by K. Faried),85,82
3,0:57.0,,K. Faried makes free throw 1 of 2,85,83
3,0:57.0,Defensive rebound by R. Holmes,,85,83
3,0:57.0,,K. Faried misses free throw 2 of 2,85,83
3,0:39.0,J. Crawford misses 3-pt jump shot from 26 ft,,85,83
3,0:38.0,,Defensive rebound by I. Shumpert,85,83
3,0:29.0,,K. Faried misses 2-pt hook shot from 7 ft,85,83
3,0:28.0,Defensive rebound by K. Oubre,,85,83
3,0:08.0,M. Bridges misses 2-pt layup from 1 ft,,85,83
3,0:06.0,,Defensive rebound by A. Rivers,85,83
3,0:01.0,,E. Gordon misses 2-pt layup from 1 ft,85,83
3,0:01.0,,Offensive rebound by Team,85,83
4,11:48.0,,K. Faried makes 2-pt dunk from 1 ft (assist by E. Gordon),85,85
4,11:23.0,Offensive foul by T. Daniels (drawn by A. Rivers),,85,85
4,11:23.0,Turnover by T. Daniels (offensive foul),,85,85
4,11:12.0,,E. Gordon misses 3-pt jump shot from 28 ft,85,85
4,11:11.0,Defensive rebound by R. Holmes,,85,85
4,10:58.0,J. Jackson misses 2-pt jump shot from 7 ft (block by J. Harden),,85,85
4,10:58.0,Offensive rebound by Team,,85,85
4,10:56.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Crawford),,87,85
4,10:46.0,,E. Gordon misses 2-pt layup from 1 ft,87,85
4,10:44.0,Defensive rebound by R. Holmes,,87,85
4,10:31.0,J. Crawford misses 2-pt layup from 3 ft,,87,85
4,10:30.0,Offensive rebound by R. Holmes,,87,85
4,10:22.0,Turnover by R. Holmes (lost ball; steal by J. Harden),,87,85
4,10:07.0,,E. Gordon misses 3-pt jump shot from 26 ft,87,85
4,10:06.0,,Offensive rebound by K. Faried,87,85
4,10:06.0,D. Booker enters the game for T. Daniels,,87,85
4,9:53.0,,A. Rivers misses 3-pt jump shot from 23 ft,87,85
4,9:52.0,Defensive rebound by R. Holmes,,87,85
4,9:43.0,D. Booker misses 3-pt jump shot from 25 ft,,87,85
4,9:43.0,,Defensive rebound by Team,87,85
4,9:29.0,,Shooting foul by R. Holmes (drawn by J. Harden),87,85
4,9:29.0,D. Ayton enters the game for R. Holmes,,87,85
4,9:29.0,,J. Harden misses free throw 1 of 2,87,85
4,9:29.0,,Offensive rebound by Team,87,85
4,9:29.0,,C. Capela enters the game for K. Faried,87,85
4,9:29.0,,P. Tucker enters the game for A. Rivers,87,85
4,9:29.0,,J. Harden makes free throw 2 of 2,87,86
4,9:09.0,J. Jackson misses 2-pt layup from 1 ft,,87,86
4,9:09.0,Offensive rebound by D. Ayton,,87,86
4,9:08.0,D. Ayton makes 2-pt layup from 1 ft,,89,86
4,9:00.0,,Personal foul by J. Jackson (drawn by E. Gordon),89,86
4,8:50.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by I. Shumpert),89,89
4,8:27.0,Turnover by D. Booker (lost ball; steal by J. Harden),,89,89
4,8:11.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by I. Shumpert),89,92
4,8:10.0,Phoenix full timeout,,89,92
4,8:10.0,,D. House enters the game for I. Shumpert,89,92
4,7:57.0,J. Jackson misses 2-pt jump shot from 10 ft,,89,92
4,7:55.0,Offensive rebound by J. Jackson,,89,92
4,7:55.0,J. Jackson misses 2-pt layup from 1 ft,,89,92
4,7:54.0,Offensive rebound by D. Ayton,,89,92
4,7:54.0,D. Ayton misses 2-pt layup from 1 ft,,89,92
4,7:53.0,Offensive rebound by J. Jackson,,89,92
4,7:53.0,J. Jackson misses 2-pt layup from 1 ft,,89,92
4,7:53.0,Offensive rebound by J. Jackson,,89,92
4,7:51.0,J. Jackson misses 2-pt layup from 1 ft,,89,92
4,7:50.0,,Defensive rebound by P. Tucker,89,92
4,7:44.0,,Turnover by C. Capela (out of bounds lost ball),89,92
4,7:24.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by D. Booker),,92,92
4,6:56.0,,Turnover by Team (shot clock),92,92
4,6:43.0,Shooting foul by P. Tucker (drawn by D. Ayton),,92,92
4,6:43.0,D. Ayton misses free throw 1 of 2,,92,92
4,6:43.0,Offensive rebound by Team,,92,92
4,6:43.0,D. Ayton makes free throw 2 of 2,,93,92
4,6:23.0,,E. Gordon misses 3-pt jump shot from 26 ft,93,92
4,6:21.0,,Offensive rebound by C. Capela,93,92
4,6:07.0,,J. Harden makes 3-pt jump shot from 27 ft,93,95
4,5:42.0,Shooting foul by P. Tucker (drawn by J. Jackson),,93,95
4,5:42.0,J. Jackson misses free throw 1 of 2,,93,95
4,5:42.0,Offensive rebound by Team,,93,95
4,5:42.0,K. Oubre enters the game for M. Bridges,,93,95
4,5:42.0,J. Jackson makes free throw 2 of 2,,94,95
4,5:21.0,,J. Harden misses 3-pt jump shot from 29 ft,94,95
4,5:20.0,,Offensive rebound by C. Capela,94,95
4,5:13.0,,Turnover by D. House (bad pass; steal by K. Oubre),94,95
4,5:11.0,K. Oubre makes 2-pt layup from 1 ft,,96,95
4,4:57.0,,J. Harden makes 2-pt layup at rim,96,97
4,4:35.0,Personal foul by J. Harden (drawn by D. Ayton),,96,97
4,4:35.0,,Houston full timeout,96,97
4,4:35.0,M. Bridges enters the game for J. Crawford,,96,97
4,4:23.0,J. Jackson misses 3-pt jump shot from 23 ft,,96,97
4,4:22.0,Offensive rebound by D. Ayton,,96,97
4,4:16.0,Turnover by K. Oubre (lost ball; steal by P. Tucker),,96,97
