QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
1,2:19.0,R. Kurucs makes free throw 1 of 2,,19,22
1,2:19.0,R. Kurucs makes free throw 2 of 2,,20,22
1,2:08.0,,Def 3 sec tech foul by Team,20,22
1,2:08.0,,J. Richardson makes technical free throw,20,23
1,1:54.0,,Turnover by Team (shot clock),20,23
1,1:36.0,Turnover by A. Crabbe (traveling),,20,23
1,1:18.0,,J. Richardson makes 2-pt jump shot from 10 ft (assist by D. Wade),20,25
1,1:04.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by E. Davis),,23,25
1,0:52.0,,R. McGruder makes 3-pt jump shot from 23 ft (assist by D. Wade),23,28
1,0:38.0,D. Carroll misses 3-pt jump shot from 23 ft,,23,28
1,0:36.0,,Defensive rebound by R. McGruder,23,28
1,0:30.0,,D. Wade misses 3-pt jump shot from 25 ft,23,28
1,0:28.0,Defensive rebound by Team,,23,28
1,0:15.0,A. Crabbe misses 3-pt jump shot from 26 ft (block by J. Richardson),,23,28
1,0:10.0,,Defensive rebound by D. Wade,23,28
1,0:01.0,,D. Wade misses 3-pt jump shot from 28 ft,23,28
1,0:01.0,,Offensive rebound by Team,23,28
2,11:40.0,,D. Jones makes 3-pt jump shot from 23 ft (assist by J. Richardson),23,31
2,11:29.0,R. Kurucs makes 2-pt layup from 1 ft (assist by D. Russell),,25,31
2,11:15.0,,J. Richardson misses 2-pt jump shot from 9 ft,25,31
2,11:15.0,,Offensive rebound by Team,25,31
2,11:10.0,,D. Jones makes 2-pt dunk from 1 ft (assist by J. Richardson),25,33
2,10:55.0,E. Davis makes 2-pt jump shot from 2 ft (assist by D. Russell),,27,33
2,10:44.0,,J. Richardson misses 3-pt jump shot from 24 ft,27,33
2,10:41.0,Defensive rebound by R. Kurucs,,27,33
2,10:22.0,Turnover by R. Kurucs (bad pass; steal by D. Wade),,27,33
2,10:14.0,,R. McGruder misses 3-pt jump shot from 24 ft,27,33
2,10:11.0,Defensive rebound by R. Kurucs,,27,33
2,10:00.0,Turnover by C. LeVert (back court),,27,33
2,9:47.0,,K. Olynyk misses 2-pt jump shot from 15 ft,27,33
2,9:44.0,Defensive rebound by D. Carroll,,27,33
2,9:37.0,D. Carroll misses 3-pt jump shot from 25 ft,,27,33
2,9:35.0,,Defensive rebound by R. McGruder,27,33
2,9:29.0,,D. Jones makes 3-pt jump shot from 23 ft (assist by R. McGruder),27,36
2,9:10.0,C. LeVert misses 2-pt layup from 2 ft (block by R. McGruder),,27,36
2,9:10.0,Offensive rebound by Team,,27,36
2,9:09.0,Shooting foul by J. Richardson (drawn by D. Carroll),,27,36
2,9:09.0,D. Carroll makes free throw 1 of 2,,28,36
2,9:09.0,D. Carroll misses free throw 2 of 2,,28,36
2,9:04.0,,Defensive rebound by K. Olynyk,28,36
2,8:52.0,,D. Wade misses 2-pt jump shot from 16 ft,28,36
2,8:49.0,Defensive rebound by D. Carroll,,28,36
2,8:41.0,R. Kurucs misses 3-pt jump shot from 26 ft,,28,36
2,8:36.0,Offensive rebound by D. Carroll,,28,36
2,8:25.0,E. Davis makes 2-pt layup from 1 ft (assist by C. LeVert),,30,36
2,8:10.0,,R. McGruder misses 3-pt jump shot from 25 ft,30,36
2,8:07.0,Defensive rebound by R. Kurucs,,30,36
2,7:58.0,D. Russell makes 3-pt jump shot from 25 ft,,33,36
2,7:58.0,,Miami full timeout,33,36
2,7:58.0,J. Harris enters the game for R. Kurucs,,33,36
2,7:58.0,,B. Adebayo enters the game for D. Jones,33,36
2,7:58.0,,D. Waiters enters the game for D. Wade,33,36
2,7:36.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Richardson),33,38
2,7:36.0,,Shooting foul by E. Davis (drawn by K. Olynyk),33,38
2,7:36.0,,J. Winslow enters the game for J. Richardson,33,38
2,7:36.0,,K. Olynyk makes free throw 1 of 1,33,39
2,7:22.0,C. LeVert makes 2-pt jump shot from 9 ft,,35,39
2,7:00.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by J. Winslow),35,42
2,6:34.0,Shooting foul by K. Olynyk (drawn by C. LeVert),,35,42
2,6:34.0,C. LeVert makes free throw 1 of 2,,36,42
2,6:34.0,C. LeVert makes free throw 2 of 2,,37,42
2,6:18.0,,B. Adebayo makes 2-pt hook shot from 6 ft (assist by J. Winslow),37,44
2,6:05.0,D. Carroll misses 3-pt jump shot from 26 ft,,37,44
2,5:59.0,,Defensive rebound by D. Waiters,37,44
2,5:55.0,,K. Olynyk misses 3-pt jump shot from 29 ft,37,44
2,5:50.0,Defensive rebound by E. Davis,,37,44
2,5:41.0,C. LeVert misses 2-pt jump shot from 6 ft,,37,44
2,5:36.0,,Defensive rebound by K. Olynyk,37,44
2,5:35.0,,Shooting foul by E. Davis (drawn by B. Adebayo),37,44
2,5:35.0,,B. Adebayo misses free throw 1 of 2,37,44
2,5:35.0,,Offensive rebound by Team,37,44
2,5:35.0,J. Allen enters the game for E. Davis,,37,44
2,5:35.0,S. Dinwiddie enters the game for C. LeVert,,37,44
2,5:35.0,,B. Adebayo makes free throw 2 of 2,37,45
2,5:22.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,39,45
2,4:57.0,,Offensive foul by J. Winslow (drawn by J. Allen),39,45
2,4:57.0,,Turnover by J. Winslow (offensive foul),39,45
2,4:31.0,J. Harris makes 2-pt jump shot from 7 ft (assist by S. Dinwiddie),,41,45
2,4:14.0,,D. Waiters misses 3-pt jump shot from 25 ft,41,45
2,4:13.0,Defensive rebound by Team,,41,45
2,4:13.0,A. Crabbe enters the game for D. Carroll,,41,45
2,4:13.0,R. Kurucs enters the game for D. Russell,,41,45
2,4:01.0,Turnover by J. Harris (lost ball; steal by R. McGruder),,41,45
2,3:54.0,,J. Winslow makes 2-pt jump shot from 4 ft (assist by R. McGruder),41,47
2,3:41.0,J. Allen misses 2-pt layup from 2 ft,,41,47
2,3:39.0,,Defensive rebound by D. Waiters,41,47
2,3:28.0,,Turnover by J. Winslow (bad pass),41,47
2,3:16.0,S. Dinwiddie misses 2-pt layup from 1 ft (block by J. Winslow),,41,47
2,3:16.0,Offensive rebound by Team,,41,47
2,3:16.0,,J. Richardson enters the game for R. McGruder,41,47
2,3:11.0,Shooting foul by J. Winslow (drawn by S. Dinwiddie),,41,47
2,3:11.0,S. Dinwiddie misses free throw 1 of 2,,41,47
2,3:11.0,Offensive rebound by Team,,41,47
2,3:11.0,S. Dinwiddie makes free throw 2 of 2,,42,47
2,2:58.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),42,49
2,2:49.0,J. Harris makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,44,49
2,2:40.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by D. Waiters),44,52
2,2:40.0,Brooklyn full timeout,,44,52
