QUARTER,TIME_REMAINING,LA LAKERS_ACTION,GOLDEN STATE_ACTION,LA LAKERS_SCORE,GOLDEN STATE_SCORE
2,7:31.0,K. Kuzma enters the game for M. Beasley,,41,47
2,7:31.0,R. Rondo enters the game for B. Ingram,,41,47
2,7:21.0,R. Rondo misses 2-pt layup from 3 ft,,41,47
2,7:20.0,,Defensive rebound by D. Cousins,41,47
2,7:15.0,,S. Livingston misses 2-pt jump shot from 13 ft,41,47
2,7:10.0,Defensive rebound by L. Stephenson,,41,47
2,7:04.0,Offensive foul by L. Stephenson (drawn by A. McKinnie),,41,47
2,7:04.0,Turnover by L. Stephenson (offensive foul),,41,47
2,6:55.0,,Personal foul by M. Wagner (drawn by D. Cousins),41,47
2,6:49.0,,K. Thompson misses 2-pt jump shot from 8 ft,41,47
2,6:48.0,Defensive rebound by R. Rondo,,41,47
2,6:40.0,M. Wagner makes 3-pt jump shot from 27 ft (assist by R. Rondo),,44,47
2,6:17.0,,A. McKinnie misses 3-pt jump shot from 26 ft,44,47
2,6:15.0,Defensive rebound by L. Stephenson,,44,47
2,6:11.0,Turnover by J. Hart (traveling),,44,47
2,6:11.0,,S. Curry enters the game for D. Cousins,44,47
2,6:11.0,,K. Durant enters the game for D. Green,44,47
2,6:11.0,,K. Looney enters the game for A. McKinnie,44,47
2,5:59.0,,Turnover by S. Livingston (bad pass; steal by J. Hart),44,47
2,5:53.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by J. Hart),,46,47
2,5:51.0,,Golden State full timeout,46,47
2,5:51.0,,A. McKinnie enters the game for K. Thompson,46,47
2,5:42.0,,Personal foul by J. Hart (drawn by K. Durant),46,47
2,5:36.0,,S. Curry misses 3-pt jump shot from 26 ft,46,47
2,5:34.0,Defensive rebound by M. Wagner,,46,47
2,5:20.0,Turnover by R. Rondo (bad pass),,46,47
2,4:57.0,,K. Looney misses 2-pt hook shot from 6 ft,46,47
2,4:56.0,Defensive rebound by J. Hart,,46,47
2,4:51.0,J. Hart misses 3-pt jump shot from 26 ft,,46,47
2,4:49.0,,Defensive rebound by Team,46,47
2,4:32.0,,Personal foul by L. Stephenson (drawn by K. Durant),46,47
2,4:22.0,,S. Curry misses 2-pt hook shot from 14 ft,46,47
2,4:21.0,Defensive rebound by R. Rondo,,46,47
2,4:16.0,Turnover by K. Kuzma (out of bounds lost ball),,46,47
2,4:16.0,B. Ingram enters the game for L. Stephenson,,46,47
2,4:07.0,,Shooting foul by B. Ingram (drawn by K. Durant),46,47
2,4:07.0,,K. Durant makes free throw 1 of 2,46,48
2,4:07.0,,D. Green enters the game for S. Livingston,46,48
2,4:07.0,,A. Iguodala enters the game for A. McKinnie,46,48
2,4:07.0,,K. Durant makes free throw 2 of 2,46,49
2,3:57.0,B. Ingram misses 2-pt jump shot from 18 ft,,46,49
2,3:56.0,,Defensive rebound by D. Green,46,49
2,3:44.0,,Turnover by K. Looney (out of bounds lost ball),46,49
2,3:32.0,Shooting foul by A. Iguodala (drawn by K. Kuzma),,46,49
2,3:32.0,K. Kuzma makes free throw 1 of 2,,47,49
2,3:32.0,I. Zubac enters the game for M. Wagner,,47,49
2,3:32.0,,K. Thompson enters the game for K. Looney,47,49
2,3:32.0,K. Kuzma makes free throw 2 of 2,,48,49
2,3:17.0,,K. Durant makes 2-pt dunk from 1 ft,48,51
2,3:06.0,J. Hart misses 2-pt jump shot from 10 ft,,48,51
2,3:04.0,,Defensive rebound by A. Iguodala,48,51
2,3:00.0,,K. Thompson makes 2-pt layup from 2 ft (assist by A. Iguodala),48,53
2,2:59.0,LA Lakers full timeout,,48,53
2,2:59.0,L. Stephenson enters the game for J. Hart,,48,53
2,2:43.0,L. Stephenson misses 3-pt jump shot from 26 ft,,48,53
2,2:40.0,Offensive rebound by Team,,48,53
2,2:26.0,B. Ingram makes 2-pt jump shot from 16 ft,,50,53
2,2:13.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Durant),50,55
2,1:51.0,R. Rondo misses 2-pt layup from 11 ft (block by D. Green),,50,55
2,1:51.0,Offensive rebound by Team,,50,55
2,1:48.0,L. Stephenson misses 3-pt jump shot from 28 ft,,50,55
2,1:46.0,,Defensive rebound by K. Durant,50,55
2,1:35.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),50,57
2,1:23.0,L. Stephenson misses 2-pt layup from 4 ft,,50,57
2,1:22.0,Offensive rebound by L. Stephenson,,50,57
2,1:17.0,L. Stephenson makes 2-pt layup at rim,,52,57
2,1:14.0,,Shooting foul by R. Rondo (drawn by K. Durant),52,57
2,1:14.0,,K. Durant makes free throw 1 of 2,52,58
2,1:14.0,,K. Looney enters the game for D. Green,52,58
2,1:14.0,,K. Durant makes free throw 2 of 2,52,59
2,1:00.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by R. Rondo),,54,59
2,0:48.0,,S. Curry misses 3-pt jump shot from 27 ft,54,59
2,0:46.0,Defensive rebound by B. Ingram,,54,59
2,0:40.0,B. Ingram makes 2-pt jump shot from 8 ft,,56,59
2,0:33.0,,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),56,61
2,0:25.0,I. Zubac makes 2-pt layup from 3 ft (assist by R. Rondo),,58,61
2,0:25.0,Shooting foul by K. Looney (drawn by I. Zubac),,58,61
2,0:25.0,I. Zubac misses free throw 1 of 1,,58,61
2,0:23.0,,Defensive rebound by K. Looney,58,61
2,0:01.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),58,63
3,11:42.0,B. Ingram makes 2-pt jump shot from 11 ft,,60,63
3,11:33.0,,Def 3 sec tech foul by Team,60,63
3,11:33.0,,S. Curry misses technical free throw,60,63
3,11:33.0,,Offensive rebound by Team,60,63
3,11:20.0,,Personal foul by B. Ingram (drawn by K. Durant),60,63
3,11:12.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Cousins),60,65
3,10:55.0,B. Ingram misses 3-pt jump shot from 26 ft,,60,65
3,10:53.0,Offensive rebound by K. Caldwell-Pope,,60,65
3,10:50.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,62,65
3,10:44.0,,D. Cousins misses 2-pt layup from 2 ft,62,65
3,10:43.0,,Offensive rebound by D. Green,62,65
3,10:43.0,,D. Green misses 2-pt layup from 1 ft,62,65
3,10:41.0,,Offensive rebound by D. Green,62,65
3,10:41.0,,D. Green misses 2-pt layup at rim,62,65
3,10:40.0,,Offensive rebound by Team,62,65
3,10:40.0,Loose ball foul by R. Rondo (drawn by D. Green),,62,65
3,10:34.0,,Shooting foul by I. Zubac (drawn by D. Cousins),62,65
3,10:34.0,,D. Cousins makes free throw 1 of 2,62,66
3,10:34.0,,D. Cousins makes free throw 2 of 2,62,67
3,10:24.0,R. Rondo makes 2-pt layup from 3 ft (assist by I. Zubac),,64,67
3,10:09.0,,K. Durant makes 2-pt layup from 2 ft (assist by D. Green),64,69
3,9:47.0,K. Kuzma makes 3-pt jump shot from 28 ft (assist by B. Ingram),,67,69
3,9:29.0,,D. Cousins misses 2-pt layup from 5 ft (block by I. Zubac),67,69
3,9:28.0,Defensive rebound by Team,,67,69
3,9:28.0,,Violation by Team (delay of game),67,69
3,9:06.0,R. Rondo misses 3-pt jump shot from 26 ft,,67,69
3,9:05.0,Offensive rebound by Team,,67,69
3,9:05.0,,Loose ball foul by K. Thompson (drawn by K. Kuzma),67,69
3,8:59.0,Personal foul by S. Curry (drawn by I. Zubac),,67,69
3,8:51.0,K. Caldwell-Pope makes 2-pt layup from 5 ft (assist by R. Rondo),,69,69
3,8:40.0,,D. Cousins misses 3-pt jump shot from 27 ft,69,69
3,8:38.0,Defensive rebound by I. Zubac,,69,69
3,8:32.0,I. Zubac makes 2-pt dunk from 1 ft (assist by R. Rondo),,71,69
3,8:32.0,,Golden State full timeout,71,69
3,8:16.0,,D. Green misses 3-pt jump shot from 27 ft,71,69
3,8:14.0,Defensive rebound by B. Ingram,,71,69
3,7:57.0,B. Ingram makes 2-pt dunk from 2 ft (assist by R. Rondo),,73,69
3,7:45.0,,S. Curry misses 2-pt layup from 6 ft,73,69
3,7:40.0,Defensive rebound by K. Caldwell-Pope,,73,69
3,7:39.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Rondo),,76,69
3,7:23.0,,D. Cousins misses 3-pt jump shot from 23 ft,76,69
3,7:21.0,,Offensive rebound by Team,76,69
3,7:19.0,,D. Cousins misses 3-pt jump shot from 27 ft,76,69
3,7:17.0,Defensive rebound by B. Ingram,,76,69
3,6:58.0,B. Ingram makes 2-pt jump shot from 20 ft (assist by R. Rondo),,78,69
3,6:42.0,,Shooting foul by I. Zubac (drawn by D. Cousins),78,69
3,6:42.0,,D. Cousins makes free throw 1 of 2,78,70
3,6:42.0,,D. Cousins makes free throw 2 of 2,78,71
3,6:25.0,R. Rondo misses 3-pt jump shot from 27 ft,,78,71
3,6:23.0,,Defensive rebound by K. Thompson,78,71
3,6:17.0,,Turnover by K. Thompson (bad pass; steal by K. Caldwell-Pope),78,71
3,6:11.0,I. Zubac misses 2-pt hook shot from 6 ft,,78,71
3,6:10.0,Offensive rebound by K. Kuzma,,78,71
3,6:05.0,K. Caldwell-Pope makes 3-pt jump shot from 30 ft (assist by K. Kuzma),,81,71
3,5:53.0,,Personal foul by R. Rondo (drawn by D. Cousins),81,71
3,5:53.0,,D. Cousins makes free throw 1 of 2,81,72
3,5:53.0,,A. Iguodala enters the game for D. Green,81,72
3,5:53.0,,D. Cousins makes free throw 2 of 2,81,73
3,5:37.0,K. Kuzma misses 3-pt jump shot from 26 ft,,81,73
3,5:35.0,,Defensive rebound by D. Cousins,81,73
3,5:28.0,,D. Cousins makes 2-pt dunk from 6 ft (assist by K. Durant),81,75
3,5:28.0,,Shooting foul by K. Kuzma (drawn by D. Cousins),81,75
3,5:28.0,,Technical foul by D. Cousins,81,75
3,5:28.0,K. Caldwell-Pope misses technical free throw,,81,75
3,5:28.0,,Defensive rebound by Team,81,75
3,5:28.0,,D. Cousins makes free throw 1 of 1,81,76
3,5:15.0,B. Ingram misses 2-pt jump shot from 13 ft,,81,76
3,5:14.0,,Defensive rebound by Team,81,76
3,5:14.0,,K. Looney enters the game for D. Cousins,81,76
3,4:59.0,,K. Looney makes 2-pt layup from 12 ft (assist by K. Thompson),81,78
3,4:56.0,LA Lakers full timeout,,81,78
3,4:56.0,J. Hart enters the game for K. Kuzma,,81,78
3,4:56.0,J. McGee enters the game for I. Zubac,,81,78
3,4:44.0,Turnover by R. Rondo (bad pass; steal by A. Iguodala),,81,78
3,4:37.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Durant),81,80
3,4:33.0,Personal foul by K. Looney (drawn by J. McGee),,81,80
3,4:23.0,K. Caldwell-Pope makes 2-pt jump shot from 13 ft,,83,80
3,3:58.0,Violation by Team (kicked ball),,83,80
3,3:58.0,,A. McKinnie enters the game for K. Thompson,83,80
3,3:51.0,,K. Durant misses 2-pt jump shot from 19 ft,83,80
3,3:50.0,Defensive rebound by R. Rondo,,83,80
3,3:33.0,B. Ingram misses 2-pt jump shot from 12 ft,,83,80
3,3:32.0,,Defensive rebound by A. McKinnie,83,80
3,3:15.0,,Offensive foul by K. Durant (drawn by J. Hart),83,80
3,3:15.0,,Turnover by K. Durant (offensive foul),83,80
3,3:15.0,Technical foul by J. Hart,,83,80
3,3:15.0,,Technical foul by K. Durant,83,80
3,2:55.0,Shooting foul by A. McKinnie (drawn by J. McGee),,83,80
3,2:55.0,J. McGee makes free throw 1 of 2,,84,80
3,2:55.0,,Q. Cook enters the game for S. Curry,84,80
3,2:55.0,J. McGee misses free throw 2 of 2,,84,80
3,2:53.0,,Defensive rebound by K. Looney,84,80
3,2:41.0,,Q. Cook makes 2-pt jump shot from 20 ft (assist by K. Durant),84,82
3,2:21.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,84,82
3,2:19.0,,Defensive rebound by A. Iguodala,84,82
3,2:05.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by K. Durant),84,85
3,1:53.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,86,85
3,1:38.0,,A. McKinnie misses 3-pt jump shot from 25 ft,86,85
3,1:36.0,Defensive rebound by J. Hart,,86,85
3,1:24.0,R. Rondo misses 2-pt jump shot from 7 ft (block by K. Looney),,86,85
3,1:23.0,,Defensive rebound by A. McKinnie,86,85
3,1:17.0,,K. Durant misses 2-pt jump shot from 6 ft (block by B. Ingram),86,85
3,1:11.0,,Offensive rebound by K. Durant,86,85
3,1:10.0,,K. Looney misses 2-pt jump shot from 6 ft,86,85
3,1:06.0,Defensive rebound by B. Ingram,,86,85
3,1:00.0,Turnover by J. McGee (traveling),,86,85
3,1:00.0,K. Kuzma enters the game for B. Ingram,,86,85
3,1:00.0,L. Stephenson enters the game for R. Rondo,,86,85
3,0:44.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by K. Durant),86,88
3,0:33.0,Turnover by L. Stephenson (step out of bounds),,86,88
3,0:18.0,,Q. Cook misses 3-pt jump shot from 26 ft,86,88
3,0:16.0,Defensive rebound by K. Caldwell-Pope,,86,88
3,0:04.0,K. Kuzma misses 3-pt jump shot from 27 ft,,86,88
3,0:02.0,,Defensive rebound by Q. Cook,86,88
4,11:45.0,,S. Livingston misses 2-pt jump shot from 8 ft,86,88
4,11:44.0,,Offensive rebound by D. Cousins,86,88
4,11:43.0,,D. Cousins misses 2-pt layup from 2 ft (block by I. Zubac),86,88
4,11:41.0,Defensive rebound by R. Rondo,,86,88
4,11:31.0,Personal foul by D. Green (drawn by I. Zubac),,86,88
4,11:26.0,I. Zubac misses 2-pt jump shot from 11 ft (block by D. Cousins),,86,88
4,11:25.0,Offensive rebound by Team,,86,88
4,11:18.0,Shooting foul by K. Thompson (drawn by R. Rondo),,86,88
4,11:18.0,R. Rondo makes free throw 1 of 2,,87,88
4,11:18.0,R. Rondo misses free throw 2 of 2,,87,88
4,11:16.0,,Defensive rebound by D. Cousins,87,88
4,11:07.0,,Turnover by K. Thompson (lost ball; steal by L. Stephenson),87,88
4,11:03.0,L. Stephenson misses 3-pt jump shot from 29 ft,,87,88
4,11:00.0,Offensive rebound by I. Zubac,,87,88
4,11:00.0,I. Zubac makes 2-pt layup from 1 ft,,89,88
4,10:49.0,,S. Livingston makes 2-pt jump shot from 10 ft,89,90
4,10:31.0,Turnover by L. Stephenson (traveling),,89,90
4,10:14.0,,A. Iguodala makes 3-pt jump shot from 25 ft (assist by D. Cousins),89,93
4,9:55.0,K. Kuzma misses 2-pt jump shot from 21 ft,,89,93
4,9:54.0,Offensive rebound by J. Hart,,89,93
4,9:52.0,L. Stephenson misses 2-pt jump shot from 12 ft (block by D. Green),,89,93
4,9:51.0,,Defensive rebound by Team,89,93
4,9:34.0,,A. Iguodala makes 3-pt jump shot from 28 ft (assist by D. Cousins),89,96
4,9:32.0,LA Lakers full timeout,,89,96
4,9:32.0,M. Beasley enters the game for K. Kuzma,,89,96
4,9:32.0,B. Ingram enters the game for R. Rondo,,89,96
4,9:21.0,M. Beasley misses 2-pt jump shot from 19 ft,,89,96
4,9:16.0,,Defensive rebound by D. Cousins,89,96
4,8:58.0,,A. Iguodala misses 3-pt jump shot from 23 ft,89,96
4,8:56.0,Defensive rebound by M. Beasley,,89,96
4,8:50.0,M. Beasley misses 2-pt jump shot from 12 ft,,89,96
4,8:49.0,,Defensive rebound by D. Cousins,89,96
4,8:31.0,,D. Cousins misses 3-pt jump shot from 26 ft,89,96
4,8:29.0,Defensive rebound by J. Hart,,89,96
4,8:16.0,L. Stephenson makes 2-pt jump shot from 18 ft,,91,96
4,7:58.0,,D. Cousins misses 2-pt hook shot from 6 ft (block by J. Hart),91,96
4,7:56.0,Defensive rebound by I. Zubac,,91,96
4,7:52.0,L. Stephenson misses 3-pt jump shot from 28 ft,,91,96
4,7:50.0,,Defensive rebound by D. Cousins,91,96
4,7:46.0,,Shooting foul by L. Stephenson (drawn by K. Thompson),91,96
4,7:46.0,,K. Thompson makes free throw 1 of 2,91,97
4,7:46.0,K. Caldwell-Pope enters the game for J. Hart,,91,97
4,7:46.0,,S. Curry enters the game for A. Iguodala,91,97
4,7:46.0,,K. Thompson makes free throw 2 of 2,91,98
4,7:32.0,B. Ingram misses 2-pt jump shot from 11 ft,,91,98
4,7:31.0,,Defensive rebound by K. Thompson,91,98
4,7:19.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),91,101
4,7:02.0,Offensive foul by I. Zubac (drawn by S. Livingston),,91,101
4,7:02.0,Turnover by I. Zubac (offensive foul),,91,101
4,7:02.0,R. Rondo enters the game for L. Stephenson,,91,101
4,6:52.0,,K. Thompson misses 3-pt jump shot from 26 ft,91,101
4,6:50.0,Defensive rebound by R. Rondo,,91,101
4,6:37.0,Shooting foul by D. Cousins (drawn by M. Beasley),,91,101
4,6:37.0,M. Beasley makes free throw 1 of 2,,92,101
4,6:37.0,,K. Durant enters the game for K. Thompson,92,101
4,6:37.0,M. Beasley makes free throw 2 of 2,,93,101
4,6:20.0,,S. Curry makes 2-pt layup from 1 ft,93,103
4,6:08.0,Personal foul by D. Green (drawn by M. Beasley),,93,103
4,6:08.0,K. Kuzma enters the game for M. Beasley,,93,103
4,6:08.0,,K. Looney enters the game for D. Cousins,93,103
4,5:58.0,B. Ingram makes 2-pt layup from 2 ft,,95,103
4,5:42.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Durant),95,106
4,5:33.0,Shooting foul by D. Green (drawn by K. Kuzma),,95,106
4,5:33.0,K. Kuzma makes free throw 1 of 2,,96,106
