QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
2,11:27.0,Loose ball foul by B. Biyombo (drawn by J. Embiid),,33,33
2,11:18.0,,J. Embiid makes 2-pt layup from 3 ft (assist by J. Redick),33,35
2,11:18.0,,Shooting foul by B. Biyombo (drawn by J. Embiid),33,35
2,11:18.0,,J. Embiid misses free throw 1 of 1,33,35
2,11:18.0,Defensive rebound by M. Bridges,,33,35
2,11:08.0,T. Parker misses 2-pt layup from 5 ft,,33,35
2,11:06.0,,Defensive rebound by J. Embiid,33,35
2,11:01.0,,J. Embiid misses 3-pt jump shot from 26 ft,33,35
2,10:57.0,Defensive rebound by M. Bridges,,33,35
2,10:48.0,M. Monk misses 2-pt layup from 5 ft (block by J. Embiid),,33,35
2,10:46.0,,Defensive rebound by Team,33,35
2,10:35.0,,M. Fultz misses 2-pt jump shot from 12 ft,33,35
2,10:32.0,,Offensive rebound by M. Fultz,33,35
2,10:27.0,,Shooting foul by M. Bridges (drawn by M. Fultz),33,35
2,10:27.0,,M. Fultz makes free throw 1 of 2,33,36
2,10:27.0,,M. Fultz makes free throw 2 of 2,33,37
2,10:16.0,M. Monk makes 3-pt jump shot from 28 ft (assist by B. Biyombo),,36,37
2,9:56.0,,J. Embiid makes 2-pt hook shot from 6 ft,36,39
2,9:46.0,Shooting foul by J. Embiid (drawn by B. Biyombo),,36,39
2,9:46.0,B. Biyombo makes free throw 1 of 2,,37,39
2,9:46.0,B. Biyombo misses free throw 2 of 2,,37,39
2,9:44.0,,Defensive rebound by J. Bolden,37,39
2,9:22.0,,L. Shamet misses 3-pt jump shot from 26 ft,37,39
2,9:16.0,Defensive rebound by T. Parker,,37,39
2,9:13.0,T. Parker misses 2-pt layup from 4 ft (block by J. Embiid),,37,39
2,9:10.0,Offensive rebound by B. Biyombo,,37,39
2,9:09.0,M. Williams misses 3-pt jump shot from 26 ft,,37,39
2,9:07.0,,Defensive rebound by J. Embiid,37,39
2,9:00.0,,M. Fultz makes 2-pt jump shot from 12 ft,37,41
2,8:47.0,M. Monk misses 3-pt jump shot from 28 ft,,37,41
2,8:44.0,,Defensive rebound by J. Embiid,37,41
2,8:32.0,,J. Bolden makes 2-pt layup from 2 ft (assist by L. Shamet),37,43
2,8:32.0,Charlotte full timeout,,37,43
2,8:32.0,N. Batum enters the game for M. Bridges,,37,43
2,8:32.0,,W. Chandler enters the game for J. Bolden,37,43
2,8:32.0,,D. Šarić enters the game for J. Embiid,37,43
2,8:32.0,,B. Simmons enters the game for J. Redick,37,43
2,8:22.0,Personal foul by M. Fultz (drawn by M. Williams),,37,43
2,8:09.0,M. Williams misses 2-pt jump shot from 3 ft (block by W. Chandler),,37,43
2,8:06.0,,Defensive rebound by B. Simmons,37,43
2,8:02.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),37,46
2,7:42.0,T. Parker makes 2-pt jump shot from 8 ft,,39,46
2,7:23.0,,Shooting foul by M. Monk (drawn by M. Fultz),39,46
2,7:23.0,,M. Fultz makes free throw 1 of 2,39,47
2,7:23.0,K. Walker enters the game for B. Biyombo,,39,47
2,7:23.0,C. Zeller enters the game for M. Monk,,39,47
2,7:23.0,,M. Fultz misses free throw 2 of 2,39,47
2,7:20.0,,Offensive rebound by W. Chandler,39,47
2,7:15.0,,B. Simmons makes 2-pt layup from 2 ft (assist by M. Fultz),39,49
2,7:01.0,Personal foul by M. Fultz (drawn by T. Parker),,39,49
2,6:47.0,C. Zeller misses 2-pt layup from 9 ft,,39,49
2,6:45.0,,Defensive rebound by M. Fultz,39,49
2,6:41.0,,W. Chandler makes 2-pt dunk from 1 ft (assist by B. Simmons),39,51
2,6:24.0,Turnover by N. Batum (bad pass; steal by B. Simmons),,39,51
2,6:20.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by W. Chandler),39,53
2,6:20.0,Charlotte full timeout,,39,53
2,6:20.0,M. Bridges enters the game for T. Parker,,39,53
2,6:20.0,M. Kidd-Gilchrist enters the game for M. Williams,,39,53
2,6:20.0,J. Lamb enters the game for C. Zeller,,39,53
2,6:20.0,,T. McConnell enters the game for M. Fultz,39,53
2,6:06.0,K. Walker misses 2-pt layup from 6 ft,,39,53
2,6:04.0,,Defensive rebound by W. Chandler,39,53
2,5:59.0,,Turnover by D. Šarić (bad pass; steal by N. Batum),39,53
2,5:55.0,K. Walker misses 3-pt jump shot from 26 ft,,39,53
2,5:50.0,,Defensive rebound by T. McConnell,39,53
2,5:49.0,,Personal take foul by K. Walker (drawn by W. Chandler),39,53
2,5:49.0,,W. Chandler misses free throw 1 of 2,39,53
2,5:49.0,,Offensive rebound by Team,39,53
2,5:49.0,,W. Chandler misses free throw 2 of 2,39,53
2,5:45.0,Defensive rebound by J. Lamb,,39,53
2,5:41.0,Turnover by J. Lamb (bad pass; steal by B. Simmons),,39,53
2,5:38.0,,L. Shamet misses 2-pt layup from 3 ft,39,53
2,5:32.0,Defensive rebound by M. Bridges,,39,53
2,5:26.0,J. Lamb misses 2-pt jump shot from 12 ft,,39,53
2,5:23.0,,Defensive rebound by D. Šarić,39,53
2,5:17.0,,L. Shamet misses 3-pt jump shot from 23 ft,39,53
2,5:14.0,Defensive rebound by N. Batum,,39,53
2,4:57.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Bridges),,41,53
2,4:34.0,,W. Chandler misses 3-pt jump shot from 26 ft,41,53
2,4:31.0,,Offensive rebound by D. Šarić,41,53
2,4:28.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),41,56
2,4:03.0,Personal foul by T. McConnell (drawn by M. Bridges),,41,56
2,3:58.0,K. Walker misses 3-pt jump shot from 26 ft (block by B. Simmons),,41,56
2,3:52.0,,Defensive rebound by T. McConnell,41,56
2,3:49.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),41,58
2,3:35.0,M. Bridges misses 2-pt layup from 4 ft (block by L. Shamet),,41,58
2,3:32.0,,Defensive rebound by D. Šarić,41,58
2,3:26.0,,T. McConnell misses 2-pt layup from 4 ft (block by M. Bridges),41,58
2,3:26.0,Defensive rebound by M. Kidd-Gilchrist,,41,58
2,3:21.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),,44,58
2,3:20.0,,Philadelphia full timeout,44,58
2,3:20.0,D. Bacon enters the game for N. Batum,,44,58
2,3:20.0,C. Zeller enters the game for M. Kidd-Gilchrist,,44,58
2,3:20.0,,R. Covington enters the game for W. Chandler,44,58
2,3:20.0,,J. Embiid enters the game for T. McConnell,44,58
2,3:20.0,,J. Redick enters the game for L. Shamet,44,58
2,3:06.0,,J. Embiid misses 2-pt hook shot from 8 ft,44,58
2,3:04.0,Defensive rebound by J. Lamb,,44,58
2,2:58.0,Shooting foul by B. Simmons (drawn by D. Bacon),,44,58
2,2:58.0,D. Bacon misses free throw 1 of 2,,44,58
2,2:58.0,Offensive rebound by Team,,44,58
2,2:58.0,D. Bacon makes free throw 2 of 2,,45,58
2,2:46.0,,J. Redick misses 3-pt jump shot from 26 ft,45,58
2,2:43.0,Defensive rebound by M. Bridges,,45,58
2,2:37.0,K. Walker misses 2-pt jump shot from 14 ft,,45,58
2,2:33.0,,Defensive rebound by J. Embiid,45,58
2,2:21.0,,Turnover by D. Šarić (bad pass; steal by C. Zeller),45,58
2,2:14.0,C. Zeller makes 2-pt jump shot from 7 ft (assist by K. Walker),,47,58
2,2:02.0,,Turnover by B. Simmons (bad pass; steal by J. Lamb),47,58
2,1:56.0,K. Walker misses 3-pt jump shot from 27 ft,,47,58
2,1:51.0,,Defensive rebound by J. Embiid,47,58
2,1:40.0,,R. Covington makes 2-pt jump shot from 19 ft (assist by B. Simmons),47,60
2,1:22.0,M. Bridges misses 2-pt layup from 2 ft,,47,60
2,1:22.0,,Defensive rebound by J. Embiid,47,60
2,1:13.0,,D. Šarić misses 3-pt jump shot from 26 ft,47,60
2,1:10.0,Defensive rebound by C. Zeller,,47,60
2,1:00.0,J. Lamb misses 2-pt layup from 4 ft,,47,60
2,0:58.0,,Defensive rebound by D. Šarić,47,60
2,0:53.0,,J. Redick misses 3-pt jump shot from 25 ft,47,60
2,0:49.0,Defensive rebound by K. Walker,,47,60
2,0:48.0,Shooting foul by R. Covington (drawn by D. Bacon),,47,60
2,0:48.0,D. Bacon makes free throw 1 of 2,,48,60
2,0:48.0,,L. Shamet enters the game for R. Covington,48,60
2,0:48.0,D. Bacon makes free throw 2 of 2,,49,60
2,0:45.0,Technical foul by B. Brown,,49,60
2,0:45.0,K. Walker makes technical free throw,,50,60
2,0:32.0,,J. Redick misses 2-pt jump shot from 19 ft,50,60
2,0:29.0,,Offensive rebound by Team,50,60
2,0:29.0,Loose ball foul by D. Bacon (drawn by B. Simmons),,50,60
2,0:29.0,,B. Simmons makes free throw 1 of 2,50,61
2,0:29.0,,B. Simmons makes free throw 2 of 2,50,62
2,0:11.0,J. Lamb misses 2-pt jump shot from 6 ft,,50,62
2,0:11.0,,Defensive rebound by Team,50,62
2,0:03.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),50,65
2,0:00.0,K. Walker misses 3-pt jump shot from 43 ft,,50,65
2,0:00.0,Offensive rebound by Team,,50,65
3,11:47.0,J. Lamb misses 3-pt jump shot from 25 ft,,50,65
3,11:43.0,,Defensive rebound by J. Embiid,50,65
3,11:26.0,,B. Simmons misses 2-pt layup at rim,50,65
3,11:22.0,,Offensive rebound by J. Embiid,50,65
3,11:22.0,,J. Embiid makes 2-pt dunk from 1 ft,50,67
3,11:16.0,K. Walker misses 3-pt jump shot from 28 ft,,50,67
3,11:13.0,,Defensive rebound by R. Covington,50,67
3,11:08.0,,B. Simmons makes 2-pt layup from 1 ft,50,69
3,10:50.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,53,69
3,10:36.0,,Turnover by J. Embiid (bad pass; steal by J. Lamb),53,69
3,10:32.0,K. Walker misses 2-pt layup from 2 ft (block by R. Covington),,53,69
3,10:32.0,Offensive rebound by Team,,53,69
3,10:17.0,J. Lamb makes 2-pt jump shot from 17 ft,,55,69
3,9:59.0,,R. Covington misses 3-pt jump shot from 26 ft,55,69
3,9:56.0,Defensive rebound by J. Lamb,,55,69
3,9:54.0,,Violation by Team (kicked ball),55,69
3,9:46.0,C. Zeller makes 2-pt dunk from 1 ft (assist by N. Batum),,57,69
3,9:46.0,Shooting foul by B. Simmons (drawn by C. Zeller),,57,69
3,9:46.0,C. Zeller misses free throw 1 of 1,,57,69
3,9:46.0,,Defensive rebound by J. Embiid,57,69
3,9:33.0,,D. Šarić makes 2-pt dunk from 2 ft (assist by J. Redick),57,71
3,9:16.0,C. Zeller misses 2-pt hook shot from 8 ft,,57,71
3,9:15.0,,Defensive rebound by J. Embiid,57,71
3,9:02.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Embiid),57,73
3,8:43.0,N. Batum misses 2-pt jump shot from 7 ft,,57,73
3,8:41.0,,Defensive rebound by R. Covington,57,73
3,8:37.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),57,75
3,8:37.0,Charlotte full timeout,,57,75
3,8:37.0,D. Bacon enters the game for N. Batum,,57,75
3,8:37.0,M. Bridges enters the game for J. Lamb,,57,75
3,8:37.0,W. Hernangómez enters the game for K. Walker,,57,75
3,8:37.0,M. Monk enters the game for M. Williams,,57,75
3,8:37.0,T. Parker enters the game for C. Zeller,,57,75
3,8:17.0,D. Bacon makes 2-pt jump shot from 12 ft (assist by W. Hernangómez),,59,75
3,7:59.0,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),59,77
3,7:48.0,M. Monk misses 2-pt layup from 3 ft,,59,77
3,7:48.0,Offensive rebound by W. Hernangómez,,59,77
3,7:45.0,W. Hernangómez misses 2-pt layup at rim,,59,77
3,7:44.0,,Defensive rebound by J. Embiid,59,77
3,7:40.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),59,80
3,7:28.0,W. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Monk),,62,80
3,7:16.0,,J. Redick misses 3-pt jump shot from 28 ft,62,80
3,7:13.0,Defensive rebound by W. Hernangómez,,62,80
3,7:05.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Parker),,65,80
3,6:48.0,,J. Embiid makes 2-pt dunk from 1 ft,65,82
3,6:48.0,,Shooting foul by W. Hernangómez (drawn by J. Embiid),65,82
3,6:48.0,,M. Fultz enters the game for J. Redick,65,82
3,6:48.0,,J. Embiid makes free throw 1 of 1,65,83
3,6:38.0,D. Bacon makes 3-pt jump shot from 25 ft (assist by M. Monk),,68,83
3,6:22.0,,B. Simmons makes 2-pt dunk from 2 ft (assist by J. Embiid),68,85
3,6:07.0,W. Hernangómez misses 2-pt hook shot from 5 ft (block by B. Simmons),,68,85
3,6:07.0,Offensive rebound by Team,,68,85
3,6:07.0,,L. Shamet enters the game for J. Embiid,68,85
3,5:57.0,M. Monk misses 2-pt layup from 4 ft (block by R. Covington),,68,85
3,5:53.0,Offensive rebound by M. Monk,,68,85
3,5:51.0,T. Parker misses 3-pt jump shot from 27 ft,,68,85
3,5:49.0,Offensive rebound by M. Bridges,,68,85
3,5:48.0,M. Bridges misses 2-pt layup from 4 ft (block by D. Šarić),,68,85
3,5:48.0,Offensive rebound by W. Hernangómez,,68,85
3,5:44.0,W. Hernangómez makes 2-pt layup at rim,,70,85
3,5:29.0,,D. Šarić misses 3-pt jump shot from 28 ft,70,85
3,5:27.0,Defensive rebound by T. Parker,,70,85
3,5:19.0,M. Monk misses 3-pt jump shot from 28 ft,,70,85
3,5:17.0,,Defensive rebound by D. Šarić,70,85
3,5:12.0,,R. Covington misses 3-pt jump shot from 28 ft,70,85
3,5:08.0,Defensive rebound by M. Bridges,,70,85
3,5:00.0,Shooting foul by L. Shamet (drawn by W. Hernangómez),,70,85
3,5:00.0,W. Hernangómez makes free throw 1 of 2,,71,85
3,5:00.0,,W. Chandler enters the game for R. Covington,71,85
3,5:00.0,W. Hernangómez makes free throw 2 of 2,,72,85
3,4:51.0,,M. Fultz misses 2-pt layup from 3 ft (block by W. Hernangómez),72,85
3,4:47.0,,Offensive rebound by M. Fultz,72,85
3,4:44.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Fultz),72,87
3,4:30.0,Shooting foul by L. Shamet (drawn by W. Hernangómez),,72,87
3,4:30.0,W. Hernangómez misses free throw 1 of 2,,72,87
3,4:30.0,Offensive rebound by Team,,72,87
3,4:30.0,M. Kidd-Gilchrist enters the game for M. Bridges,,72,87
3,4:30.0,W. Hernangómez misses free throw 2 of 2,,72,87
3,4:27.0,,Defensive rebound by B. Simmons,72,87
3,4:17.0,,D. Šarić misses 2-pt layup from 3 ft,72,87
3,4:14.0,Defensive rebound by M. Kidd-Gilchrist,,72,87
3,4:09.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by M. Monk),,75,87
3,3:52.0,,M. Fultz makes 2-pt layup from 2 ft (assist by B. Simmons),75,89
3,3:39.0,M. Monk makes 3-pt jump shot from 27 ft,,78,89
3,3:26.0,,D. Šarić misses 3-pt jump shot from 26 ft,78,89
3,3:23.0,Defensive rebound by M. Kidd-Gilchrist,,78,89
3,3:10.0,M. Monk misses 3-pt jump shot from 28 ft,,78,89
3,3:07.0,,Defensive rebound by W. Chandler,78,89
3,3:03.0,,Philadelphia full timeout,78,89
3,3:03.0,K. Walker enters the game for T. Parker,,78,89
3,3:03.0,,R. Covington enters the game for D. Šarić,78,89
3,3:03.0,,J. Embiid enters the game for L. Shamet,78,89
3,3:03.0,,J. Redick enters the game for B. Simmons,78,89
3,2:56.0,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Fultz),78,89
3,2:56.0,,M. Fultz misses free throw 1 of 2,78,89
3,2:56.0,,Offensive rebound by Team,78,89
3,2:56.0,,M. Fultz misses free throw 2 of 2,78,89
3,2:55.0,Defensive rebound by Team,,78,89
3,2:55.0,,Loose ball foul by R. Covington (drawn by M. Kidd-Gilchrist),78,89
3,2:44.0,D. Bacon makes 2-pt jump shot from 15 ft (assist by M. Monk),,80,89
3,2:30.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Embiid),80,91
3,2:10.0,D. Bacon misses 2-pt jump shot from 17 ft,,80,91
3,2:08.0,,Defensive rebound by J. Redick,80,91
3,2:00.0,,Personal foul by W. Hernangómez (drawn by J. Embiid),80,91
3,2:00.0,,J. Bolden enters the game for R. Covington,80,91
3,1:49.0,,W. Chandler makes 3-pt jump shot from 27 ft (assist by M. Fultz),80,94
3,1:34.0,M. Monk misses 2-pt layup from 3 ft (block by J. Embiid),,80,94
3,1:34.0,Offensive rebound by Team,,80,94
3,1:32.0,M. Monk misses 3-pt jump shot from 25 ft,,80,94
3,1:29.0,,Defensive rebound by J. Bolden,80,94
3,1:12.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Embiid),80,94
3,1:12.0,J. Lamb enters the game for M. Monk,,80,94
3,1:12.0,,J. Embiid makes free throw 1 of 2,80,95
3,1:12.0,,J. Embiid makes free throw 2 of 2,80,96
3,1:00.0,K. Walker misses 2-pt layup from 2 ft (block by J. Embiid),,80,96
3,0:59.0,Offensive rebound by M. Kidd-Gilchrist,,80,96
3,0:59.0,Shooting foul by J. Bolden (drawn by M. Kidd-Gilchrist),,80,96
3,0:59.0,M. Kidd-Gilchrist makes free throw 1 of 2,,81,96
3,0:59.0,M. Kidd-Gilchrist makes free throw 2 of 2,,82,96
3,0:47.0,,J. Bolden misses 3-pt jump shot from 28 ft,82,96
3,0:43.0,Defensive rebound by M. Kidd-Gilchrist,,82,96
3,0:34.0,Personal foul by M. Fultz (drawn by M. Kidd-Gilchrist),,82,96
3,0:34.0,M. Kidd-Gilchrist makes free throw 1 of 2,,83,96
3,0:34.0,M. Kidd-Gilchrist makes free throw 2 of 2,,84,96
3,0:19.0,,Offensive foul by J. Bolden (drawn by J. Lamb),84,96
3,0:19.0,,Turnover by J. Bolden (offensive foul),84,96
3,0:19.0,M. Monk enters the game for M. Kidd-Gilchrist,,84,96
3,0:03.0,Shooting foul by M. Fultz (drawn by M. Monk),,84,96
3,0:03.0,M. Monk misses free throw 1 of 2,,84,96
3,0:03.0,Offensive rebound by Team,,84,96
3,0:03.0,M. Monk makes free throw 2 of 2,,85,96
3,0:01.0,,Turnover by M. Fultz (bad pass; steal by D. Bacon),85,96
3,0:00.0,M. Monk misses 3-pt jump shot from 26 ft,,85,96
3,0:00.0,Offensive rebound by Team,,85,96
