QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
4,5:56.0,,T. Johnson misses 3-pt jump shot from 25 ft,100,86
4,5:54.0,,Offensive rebound by D. Jones,100,86
4,5:52.0,,R. McGruder misses 3-pt jump shot from 24 ft,100,86
4,5:48.0,Defensive rebound by J. Hart,,100,86
4,5:38.0,J. Hart misses 2-pt jump shot from 21 ft,,100,86
4,5:36.0,,Defensive rebound by B. Adebayo,100,86
4,5:28.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by B. Adebayo),100,89
4,5:28.0,LA Lakers full timeout,,100,89
4,5:28.0,T. Chandler enters the game for J. McGee,,100,89
4,5:05.0,B. Ingram makes 2-pt jump shot from 11 ft,,102,89
4,4:50.0,,D. Jones makes 2-pt layup from 2 ft (assist by B. Adebayo),102,91
4,4:31.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,102,91
4,4:28.0,Offensive rebound by K. Caldwell-Pope,,102,91
4,4:28.0,K. Caldwell-Pope misses 2-pt layup at rim,,102,91
4,4:27.0,,Defensive rebound by D. Jones,102,91
4,4:17.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by T. Johnson),102,94
4,3:54.0,L. James misses 2-pt layup from 1 ft,,102,94
4,3:53.0,Offensive rebound by T. Chandler,,102,94
4,3:53.0,T. Chandler misses 2-pt dunk from 2 ft,,102,94
4,3:51.0,Offensive rebound by B. Ingram,,102,94
4,3:46.0,B. Ingram makes 2-pt jump shot from 20 ft,,104,94
4,3:27.0,,W. Ellington misses 3-pt jump shot from 25 ft,104,94
4,3:25.0,,Offensive rebound by D. Jones,104,94
4,3:25.0,,D. Jones makes 2-pt dunk from 1 ft,104,96
4,3:25.0,Technical foul by B. Ingram,,104,96
4,3:25.0,,Technical foul by D. Jones,104,96
4,3:05.0,K. Caldwell-Pope makes 2-pt layup from 1 ft,,106,96
4,2:43.0,,T. Johnson misses 2-pt layup from 1 ft,106,96
4,2:41.0,Defensive rebound by T. Chandler,,106,96
4,2:21.0,L. James misses 2-pt jump shot from 17 ft,,106,96
4,2:17.0,Offensive rebound by K. Caldwell-Pope,,106,96
4,2:11.0,Shooting foul by R. McGruder (drawn by L. James),,106,96
4,2:11.0,L. James makes free throw 1 of 2,,107,96
4,2:11.0,L. James makes free throw 2 of 2,,108,96
4,2:04.0,,Shooting foul by J. Hart (drawn by T. Johnson),108,96
4,2:04.0,,T. Johnson misses free throw 1 of 2,108,96
4,2:04.0,,Offensive rebound by Team,108,96
4,2:04.0,,T. Johnson makes free throw 2 of 2,108,97
4,1:43.0,L. James misses 2-pt jump shot from 16 ft,,108,97
4,1:39.0,,Defensive rebound by T. Johnson,108,97
4,1:34.0,,Offensive foul by D. Jones (drawn by K. Caldwell-Pope),108,97
4,1:34.0,,Turnover by D. Jones (offensive foul),108,97
4,1:09.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,,108,97
4,1:08.0,,Defensive rebound by T. Johnson,108,97
4,1:03.0,,R. McGruder misses 3-pt jump shot from 23 ft,108,97
4,1:00.0,Defensive rebound by B. Ingram,,108,97
4,0:43.0,L. James makes 2-pt jump shot from 22 ft,,110,97
4,0:43.0,,Miami full timeout,110,97
4,0:43.0,S. Mykhailiuk enters the game for K. Caldwell-Pope,,110,97
4,0:43.0,,Violation by Team (delay of game),110,97
4,0:34.0,,B. Adebayo misses 2-pt layup from 2 ft,110,97
4,0:32.0,Defensive rebound by T. Chandler,,110,97
4,0:16.0,L. James makes 3-pt jump shot from 32 ft,,113,97
4,0:05.0,,Turnover by R. McGruder (lost ball; steal by T. Chandler),113,97
