QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
1,2:19.0,J. Layman misses 2-pt layup from 3 ft,,23,21
1,2:19.0,Offensive rebound by J. Layman,,23,21
1,2:14.0,J. Layman misses 2-pt jump shot from 5 ft,,23,21
1,2:11.0,Offensive rebound by J. Layman,,23,21
1,2:11.0,Shooting foul by B. Marjanović (drawn by J. Layman),,23,21
1,2:11.0,J. Layman makes free throw 1 of 2,,24,21
1,2:11.0,J. Layman makes free throw 2 of 2,,25,21
1,1:56.0,,J. Redick misses 2-pt jump shot from 17 ft,25,21
1,1:52.0,Defensive rebound by E. Freedom,,25,21
1,1:38.0,E. Freedom misses 2-pt layup from 3 ft,,25,21
1,1:36.0,,Defensive rebound by T. McConnell,25,21
1,1:32.0,,T. McConnell misses 2-pt jump shot from 5 ft,25,21
1,1:30.0,Defensive rebound by E. Freedom,,25,21
1,1:24.0,D. Lillard misses 3-pt jump shot from 26 ft,,25,21
1,1:24.0,,Defensive rebound by B. Marjanović,25,21
1,1:07.0,,Personal foul by J. Layman (drawn by M. Scott),25,21
1,1:07.0,,M. Scott misses free throw 1 of 2,25,21
1,1:07.0,,Offensive rebound by Team,25,21
1,1:07.0,,M. Scott makes free throw 2 of 2,25,22
1,0:54.0,D. Lillard misses 3-pt jump shot from 26 ft,,25,22
1,0:52.0,,Defensive rebound by J. Butler,25,22
1,0:45.0,,Shooting foul by S. Curry (drawn by M. Scott),25,22
1,0:45.0,,M. Scott misses free throw 1 of 2,25,22
1,0:45.0,,Offensive rebound by Team,25,22
1,0:45.0,,M. Scott makes free throw 2 of 2,25,23
1,0:36.0,Personal foul by T. McConnell (drawn by D. Lillard),,25,23
1,0:36.0,D. Lillard makes free throw 1 of 2,,26,23
1,0:36.0,D. Lillard makes free throw 2 of 2,,27,23
1,0:25.0,,B. Marjanović makes 2-pt hook shot from 8 ft (assist by T. McConnell),27,25
1,0:01.0,R. Hood misses 3-pt jump shot from 28 ft,,27,25
1,0:01.0,Offensive rebound by Team,,27,25
2,11:46.0,,J. Redick misses 2-pt jump shot from 13 ft,27,25
2,11:44.0,Defensive rebound by C. McCollum,,27,25
2,11:37.0,E. Freedom misses 2-pt jump shot from 18 ft,,27,25
2,11:35.0,Offensive rebound by J. Layman,,27,25
2,11:35.0,J. Layman misses 2-pt layup at rim,,27,25
2,11:35.0,,Defensive rebound by Team,27,25
2,11:26.0,,Personal foul by R. Hood (drawn by T. McConnell),27,25
2,11:16.0,,J. Butler makes 2-pt layup from 1 ft,27,27
2,10:54.0,Turnover by J. Layman (dbl dribble),,27,27
2,10:39.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by J. Butler),27,29
2,10:18.0,C. McCollum misses 2-pt jump shot from 9 ft,,27,29
2,10:15.0,Offensive rebound by C. McCollum,,27,29
2,10:11.0,J. Layman makes 2-pt dunk from 1 ft (assist by S. Curry),,29,29
2,9:59.0,,Shooting foul by E. Freedom (drawn by J. Butler),29,29
2,9:59.0,,J. Butler makes free throw 1 of 2,29,30
2,9:59.0,,J. Butler makes free throw 2 of 2,29,31
2,9:42.0,C. McCollum misses 2-pt jump shot from 18 ft,,29,31
2,9:40.0,,Defensive rebound by M. Scott,29,31
2,9:32.0,,J. Butler misses 2-pt layup from 5 ft (block by J. Layman),29,31
2,9:29.0,Defensive rebound by J. Layman,,29,31
2,9:16.0,E. Freedom makes 2-pt hook shot from 4 ft,,31,31
2,8:55.0,,B. Marjanović makes 2-pt jump shot at rim (assist by J. Butler),31,33
2,8:44.0,R. Hood makes 3-pt jump shot from 26 ft (assist by E. Freedom),,34,33
2,8:27.0,,Personal foul by R. Hood (drawn by J. Butler),34,33
2,8:27.0,,J. Bolden enters the game for J. Butler,34,33
2,8:27.0,,T. Harris enters the game for B. Marjanović,34,33
2,8:27.0,,B. Simmons enters the game for T. McConnell,34,33
2,8:27.0,,J. Simmons enters the game for J. Redick,34,33
2,8:13.0,,T. Harris misses 2-pt jump shot from 5 ft,34,33
2,8:10.0,Defensive rebound by C. McCollum,,34,33
2,7:59.0,Turnover by C. McCollum (bad pass),,34,33
2,7:49.0,,J. Bolden makes 2-pt layup from 2 ft (assist by J. Simmons),34,35
2,7:41.0,C. McCollum misses 2-pt layup from 3 ft,,34,35
2,7:35.0,Offensive rebound by E. Freedom,,34,35
2,7:35.0,E. Freedom misses 2-pt dunk at rim,,34,35
2,7:35.0,Offensive rebound by E. Freedom,,34,35
2,7:34.0,E. Freedom makes 2-pt layup at rim,,36,35
2,7:34.0,M. Harkless enters the game for R. Hood,,36,35
2,7:26.0,,M. Scott makes 2-pt jump shot from 10 ft (assist by B. Simmons),36,37
2,7:09.0,S. Curry misses 2-pt jump shot from 12 ft,,36,37
2,7:08.0,Offensive rebound by E. Freedom,,36,37
2,7:06.0,Turnover by E. Freedom (lost ball; steal by T. Harris),,36,37
2,7:02.0,,J. Simmons misses 2-pt layup from 1 ft (block by S. Curry),36,37
2,7:02.0,,Offensive rebound by Team,36,37
2,7:02.0,A. Aminu enters the game for E. Freedom,,36,37
2,7:02.0,J. Nurkić enters the game for J. Layman,,36,37
2,6:59.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by B. Simmons),36,39
2,6:42.0,M. Harkless makes 3-pt jump shot from 26 ft (assist by C. McCollum),,39,39
2,6:36.0,,T. Harris makes 2-pt layup at rim (assist by B. Simmons),39,41
2,6:36.0,,Shooting foul by A. Aminu (drawn by T. Harris),39,41
2,6:36.0,,Philadelphia full timeout,39,41
2,6:36.0,,T. Harris makes free throw 1 of 1,39,42
2,6:24.0,C. McCollum misses 2-pt jump shot from 10 ft,,39,42
2,6:20.0,,Defensive rebound by T. Harris,39,42
2,6:10.0,,M. Scott misses 3-pt jump shot from 26 ft,39,42
2,6:08.0,,Offensive rebound by J. Bolden,39,42
2,6:06.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Bolden),39,45
2,5:50.0,S. Curry misses 3-pt jump shot from 25 ft,,39,45
2,5:47.0,,Defensive rebound by B. Simmons,39,45
2,5:41.0,,Turnover by T. Harris (bad pass; steal by A. Aminu),39,45
2,5:38.0,Shooting foul by J. Simmons (drawn by A. Aminu),,39,45
2,5:38.0,A. Aminu makes free throw 1 of 2,,40,45
2,5:38.0,J. Layman enters the game for S. Curry,,40,45
2,5:38.0,D. Lillard enters the game for C. McCollum,,40,45
2,5:38.0,A. Aminu makes free throw 2 of 2,,41,45
2,5:27.0,,B. Simmons makes 2-pt layup at rim (assist by J. Simmons),41,47
2,5:11.0,J. Layman misses 3-pt jump shot from 26 ft,,41,47
2,5:08.0,,Defensive rebound by T. Harris,41,47
2,4:56.0,,M. Scott misses 2-pt jump shot from 21 ft,41,47
2,4:53.0,Defensive rebound by A. Aminu,,41,47
2,4:47.0,A. Aminu makes 2-pt dunk from 1 ft (assist by J. Nurkić),,43,47
2,4:39.0,,J. Bolden misses 3-pt jump shot from 26 ft,43,47
2,4:37.0,Defensive rebound by Team,,43,47
2,4:37.0,,J. Butler enters the game for M. Scott,43,47
2,4:37.0,,J. Redick enters the game for J. Simmons,43,47
2,4:23.0,J. Nurkić misses 2-pt hook shot from 6 ft (block by J. Bolden),,43,47
2,4:21.0,Offensive rebound by J. Nurkić,,43,47
2,4:21.0,Personal foul by J. Bolden (drawn by J. Nurkić),,43,47
2,4:21.0,,B. Marjanović enters the game for J. Bolden,43,47
2,4:11.0,A. Aminu misses 2-pt hook shot from 7 ft,,43,47
2,4:09.0,,Defensive rebound by T. Harris,43,47
2,4:00.0,,Personal foul by J. Layman (drawn by B. Simmons),43,47
2,4:00.0,,B. Simmons makes free throw 1 of 2,43,48
2,4:00.0,,B. Simmons makes free throw 2 of 2,43,49
2,3:47.0,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),,45,49
2,3:37.0,,Turnover by B. Simmons (lost ball; steal by D. Lillard),45,49
2,3:32.0,Shooting foul by J. Redick (drawn by J. Nurkić),,45,49
2,3:32.0,J. Nurkić makes free throw 1 of 2,,46,49
2,3:32.0,J. Nurkić makes free throw 2 of 2,,47,49
2,3:08.0,,T. Harris misses 3-pt jump shot from 26 ft,47,49
2,3:05.0,Defensive rebound by J. Nurkić,,47,49
2,2:57.0,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),,49,49
2,2:46.0,,Shooting foul by J. Layman (drawn by J. Redick),49,49
2,2:46.0,Portland full timeout,,49,49
2,2:46.0,C. McCollum enters the game for J. Layman,,49,49
2,2:46.0,,J. Redick makes free throw 1 of 2,49,50
2,2:46.0,,J. Redick makes free throw 2 of 2,49,51
2,2:33.0,M. Harkless misses 2-pt hook shot from 7 ft,,49,51
2,2:32.0,Offensive rebound by M. Harkless,,49,51
2,2:30.0,M. Harkless misses 2-pt layup from 3 ft,,49,51
2,2:30.0,Offensive rebound by A. Aminu,,49,51
2,2:26.0,A. Aminu makes 2-pt layup at rim,,51,51
2,2:15.0,,B. Marjanović misses 2-pt jump shot from 14 ft,51,51
2,2:13.0,Defensive rebound by J. Nurkić,,51,51
2,2:04.0,J. Nurkić misses 2-pt hook shot from 8 ft,,51,51
2,2:01.0,,Defensive rebound by T. Harris,51,51
2,1:55.0,,J. Redick misses 2-pt layup from 1 ft,51,51
2,1:52.0,Defensive rebound by J. Nurkić,,51,51
2,1:44.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,53,51
2,1:31.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),53,54
2,1:15.0,D. Lillard makes 2-pt layup from 1 ft,,55,54
2,1:04.0,,Shooting foul by J. Nurkić (drawn by B. Marjanović),55,54
2,1:04.0,,B. Marjanović misses free throw 1 of 2,55,54
2,1:04.0,,Offensive rebound by Team,55,54
2,1:04.0,,B. Marjanović misses free throw 2 of 2,55,54
2,1:02.0,Defensive rebound by M. Harkless,,55,54
2,0:55.0,Shooting foul by B. Simmons (drawn by A. Aminu),,55,54
2,0:55.0,A. Aminu makes free throw 1 of 2,,56,54
2,0:55.0,A. Aminu makes free throw 2 of 2,,57,54
2,0:48.0,,Personal foul by C. McCollum (drawn by J. Redick),57,54
2,0:48.0,,J. Redick makes free throw 1 of 2,57,55
2,0:48.0,,J. Redick makes free throw 2 of 2,57,56
2,0:33.0,J. Nurkić misses 2-pt layup from 5 ft,,57,56
2,0:30.0,Offensive rebound by D. Lillard,,57,56
2,0:23.0,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),,59,56
2,0:02.0,,J. Butler misses 2-pt jump shot from 21 ft,59,56
2,0:02.0,Defensive rebound by D. Lillard,,59,56
3,11:49.0,,Turnover by B. Marjanović (bad pass; steal by M. Harkless),59,56
3,11:40.0,J. Nurkić makes 2-pt jump shot from 19 ft (assist by C. McCollum),,61,56
3,11:30.0,,B. Simmons misses 2-pt jump shot from 6 ft,61,56
3,11:27.0,Defensive rebound by J. Nurkić,,61,56
3,11:22.0,C. McCollum makes 3-pt jump shot from 28 ft (assist by D. Lillard),,64,56
3,10:55.0,,B. Simmons makes 2-pt hook shot from 10 ft,64,58
3,10:32.0,D. Lillard misses 3-pt jump shot from 29 ft,,64,58
3,10:28.0,,Defensive rebound by B. Marjanović,64,58
3,10:23.0,,J. Redick misses 3-pt jump shot from 26 ft,64,58
3,10:19.0,Defensive rebound by A. Aminu,,64,58
3,10:09.0,C. McCollum misses 3-pt jump shot from 28 ft,,64,58
3,10:06.0,,Defensive rebound by B. Marjanović,64,58
3,10:03.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),64,60
3,9:45.0,M. Harkless makes 2-pt layup from 2 ft,,66,60
3,9:24.0,,B. Marjanović misses 2-pt jump shot from 8 ft,66,60
3,9:22.0,Defensive rebound by M. Harkless,,66,60
3,9:07.0,Shooting foul by B. Marjanović (drawn by J. Nurkić),,66,60
3,9:07.0,J. Nurkić makes free throw 1 of 2,,67,60
3,9:07.0,,A. Johnson enters the game for B. Marjanović,67,60
3,9:07.0,J. Nurkić makes free throw 2 of 2,,68,60
3,8:48.0,,Turnover by T. Harris (lost ball; steal by M. Harkless),68,60
3,8:45.0,C. McCollum makes 2-pt dunk from 2 ft,,70,60
3,8:45.0,,Philadelphia full timeout,70,60
3,8:35.0,,J. Butler makes 2-pt dunk from 1 ft,70,62
3,8:15.0,M. Harkless makes 2-pt dunk from 1 ft (assist by C. McCollum),,72,62
3,8:03.0,,A. Johnson misses 3-pt jump shot from 24 ft,72,62
3,8:00.0,Defensive rebound by J. Nurkić,,72,62
3,7:55.0,M. Harkless makes 2-pt dunk from 1 ft (assist by A. Aminu),,74,62
3,7:35.0,,Offensive foul by B. Simmons (drawn by A. Aminu),74,62
3,7:35.0,,Turnover by B. Simmons (offensive foul),74,62
3,7:35.0,,M. Scott enters the game for J. Butler,74,62
3,7:35.0,,J. Simmons enters the game for J. Redick,74,62
3,7:19.0,J. Nurkić makes 2-pt jump shot from 12 ft (assist by M. Harkless),,76,62
3,7:06.0,,A. Johnson makes 2-pt layup from 1 ft (assist by M. Scott),76,64
3,6:54.0,A. Aminu makes 2-pt dunk from 2 ft (assist by J. Nurkić),,78,64
3,6:47.0,,B. Simmons makes 2-pt dunk from 1 ft,78,66
3,6:27.0,J. Nurkić makes 2-pt jump shot from 18 ft,,80,66
3,6:19.0,,B. Simmons makes 2-pt hook shot from 5 ft,80,68
3,6:12.0,Shooting foul by A. Johnson (drawn by C. McCollum),,80,68
3,6:12.0,C. McCollum makes free throw 1 of 2,,81,68
3,6:12.0,C. McCollum makes free throw 2 of 2,,82,68
3,5:59.0,,T. Harris misses 2-pt jump shot from 12 ft,82,68
3,5:59.0,,Offensive rebound by Team,82,68
3,5:59.0,Loose ball foul by J. Nurkić (drawn by A. Johnson),,82,68
3,5:48.0,,Shooting foul by M. Harkless (drawn by B. Simmons),82,68
3,5:48.0,,B. Simmons misses free throw 1 of 2,82,68
3,5:48.0,,Offensive rebound by Team,82,68
3,5:48.0,,Technical foul by B. Simmons,82,68
3,5:48.0,Technical foul by J. Nurkić,,82,68
3,5:48.0,,B. Simmons makes free throw 2 of 2,82,69
3,5:32.0,M. Harkless misses 2-pt layup from 19 ft,,82,69
3,5:32.0,Offensive rebound by M. Harkless,,82,69
3,5:30.0,M. Harkless makes 2-pt layup from 1 ft,,84,69
3,5:25.0,,T. Harris misses 3-pt jump shot from 27 ft,84,69
3,5:23.0,Defensive rebound by D. Lillard,,84,69
3,5:12.0,J. Nurkić makes 2-pt jump shot from 10 ft,,86,69
3,5:12.0,Shooting foul by A. Johnson (drawn by J. Nurkić),,86,69
3,5:12.0,J. Nurkić makes free throw 1 of 1,,87,69
3,5:12.0,,Philadelphia full timeout,87,69
3,5:12.0,,T. McConnell enters the game for A. Johnson,87,69
3,4:58.0,,J. Simmons misses 2-pt jump shot from 19 ft,87,69
3,4:56.0,Defensive rebound by D. Lillard,,87,69
3,4:49.0,Shooting foul by J. Simmons (drawn by D. Lillard),,87,69
3,4:49.0,D. Lillard makes free throw 1 of 2,,88,69
3,4:49.0,D. Lillard makes free throw 2 of 2,,89,69
3,4:30.0,,J. Simmons misses 2-pt layup from 3 ft (block by M. Harkless),89,69
3,4:27.0,,Offensive rebound by J. Simmons,89,69
3,4:25.0,,Turnover by J. Simmons (lost ball; steal by C. McCollum),89,69
3,4:23.0,Turnover by M. Harkless (bad pass),,89,69
3,4:23.0,Loose ball foul by M. Harkless (drawn by B. Simmons),,89,69
3,4:23.0,R. Hood enters the game for M. Harkless,,89,69
3,4:16.0,,B. Simmons misses 2-pt layup from 7 ft,89,69
3,4:12.0,Defensive rebound by C. McCollum,,89,69
3,4:09.0,Turnover by C. McCollum (traveling),,89,69
3,3:54.0,,T. McConnell makes 2-pt jump shot from 14 ft (assist by B. Simmons),89,71
3,3:51.0,Portland full timeout,,89,71
3,3:51.0,E. Freedom enters the game for C. McCollum,,89,71
3,3:51.0,J. Layman enters the game for J. Nurkić,,89,71
3,3:37.0,Personal foul by M. Scott (drawn by E. Freedom),,89,71
3,3:37.0,E. Freedom misses free throw 1 of 2,,89,71
3,3:37.0,Offensive rebound by Team,,89,71
3,3:37.0,E. Freedom makes free throw 2 of 2,,90,71
3,3:28.0,,B. Simmons misses 2-pt layup from 3 ft,90,71
3,3:26.0,Defensive rebound by J. Layman,,90,71
3,3:08.0,E. Freedom misses 2-pt hook shot from 7 ft,,90,71
3,3:05.0,,Defensive rebound by T. Harris,90,71
3,3:01.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by B. Simmons),90,74
3,2:45.0,D. Lillard makes 3-pt jump shot from 27 ft,,93,74
3,2:34.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by T. McConnell),93,77
3,2:23.0,Personal foul by T. McConnell (drawn by D. Lillard),,93,77
3,2:23.0,D. Lillard makes free throw 1 of 2,,94,77
3,2:23.0,,J. Butler enters the game for T. Harris,94,77
3,2:23.0,,J. Redick enters the game for J. Simmons,94,77
3,2:23.0,D. Lillard makes free throw 2 of 2,,95,77
3,2:10.0,,T. McConnell misses 2-pt layup from 1 ft,95,77
3,2:07.0,Defensive rebound by D. Lillard,,95,77
3,1:57.0,E. Freedom makes 2-pt layup from 2 ft (assist by A. Aminu),,97,77
3,1:49.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),97,79
3,1:49.0,,Shooting foul by E. Freedom (drawn by J. Butler),97,79
3,1:49.0,,J. Butler makes free throw 1 of 1,97,80
3,1:36.0,J. Layman makes 2-pt dunk from 1 ft (assist by D. Lillard),,99,80
3,1:21.0,,B. Simmons makes 2-pt hook shot from 1 ft,99,82
3,1:03.0,E. Freedom misses 2-pt hook shot from 4 ft,,99,82
3,1:01.0,,Defensive rebound by J. Redick,99,82
3,0:58.0,,Offensive foul by B. Simmons (drawn by J. Layman),99,82
3,0:58.0,,Turnover by B. Simmons (offensive foul),99,82
3,0:58.0,S. Curry enters the game for A. Aminu,,99,82
3,0:38.0,R. Hood misses 3-pt jump shot from 27 ft,,99,82
3,0:34.0,Offensive rebound by J. Layman,,99,82
3,0:24.0,R. Hood misses 2-pt jump shot from 20 ft,,99,82
3,0:20.0,Offensive rebound by S. Curry,,99,82
3,0:10.0,D. Lillard misses 2-pt layup from 3 ft (block by J. Butler),,99,82
3,0:10.0,Offensive rebound by Team,,99,82
3,0:10.0,A. Aminu enters the game for R. Hood,,99,82
3,0:10.0,J. Nurkić enters the game for E. Freedom,,99,82
3,0:09.0,Personal foul by M. Scott (drawn by J. Nurkić),,99,82
3,0:09.0,J. Nurkić makes free throw 1 of 2,,100,82
3,0:09.0,R. Hood enters the game for A. Aminu,,100,82
3,0:09.0,J. Nurkić misses free throw 2 of 2,,100,82
3,0:07.0,,Defensive rebound by B. Simmons,100,82
3,0:00.0,,J. Redick misses 3-pt jump shot from 26 ft (block by J. Layman),100,82
3,0:00.0,Defensive rebound by Team,,100,82
4,11:46.0,E. Freedom makes 2-pt dunk at rim (assist by R. Hood),,102,82
4,11:27.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by T. McConnell),102,85
4,11:03.0,E. Freedom makes 2-pt layup from 2 ft,,104,85
4,10:56.0,,Personal foul by C. McCollum (drawn by M. Scott),104,85
4,10:44.0,,T. McConnell misses 2-pt jump shot from 2 ft,104,85
4,10:42.0,Defensive rebound by E. Freedom,,104,85
4,10:33.0,S. Curry makes 2-pt jump shot from 13 ft (assist by E. Freedom),,106,85
4,10:31.0,,Philadelphia full timeout,106,85
4,10:31.0,,B. Simmons enters the game for T. McConnell,106,85
4,10:24.0,,J. Redick misses 2-pt jump shot from 21 ft,106,85
4,10:21.0,Defensive rebound by J. Layman,,106,85
4,10:00.0,E. Freedom misses 2-pt hook shot from 10 ft (block by T. Harris),,106,85
4,9:56.0,Offensive rebound by J. Layman,,106,85
4,9:53.0,C. McCollum misses 3-pt jump shot from 26 ft,,106,85
4,9:48.0,,Defensive rebound by B. Simmons,106,85
4,9:45.0,,Shooting foul by E. Freedom (drawn by J. Butler),106,85
4,9:45.0,,J. Butler makes free throw 1 of 2,106,86
4,9:45.0,,J. Butler makes free throw 2 of 2,106,87
4,9:33.0,E. Freedom makes 2-pt layup from 2 ft (assist by R. Hood),,108,87
4,9:33.0,Shooting foul by J. Butler (drawn by E. Freedom),,108,87
4,9:33.0,E. Freedom makes free throw 1 of 1,,109,87
4,9:25.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),109,89
4,9:16.0,Technical foul by E. Freedom,,109,89
4,9:16.0,,Technical foul by M. Scott,109,89
4,9:02.0,S. Curry misses 3-pt jump shot from 27 ft,,109,89
4,8:58.0,Offensive rebound by C. McCollum,,109,89
4,8:56.0,C. McCollum misses 2-pt layup from 3 ft,,109,89
4,8:54.0,,Defensive rebound by B. Simmons,109,89
4,8:49.0,,J. Butler misses 3-pt jump shot from 26 ft,109,89
4,8:46.0,Defensive rebound by J. Layman,,109,89
4,8:31.0,Shooting foul by T. Harris (drawn by E. Freedom),,109,89
4,8:31.0,E. Freedom makes free throw 1 of 2,,110,89
4,8:31.0,E. Freedom makes free throw 2 of 2,,111,89
4,8:13.0,,T. Harris misses 3-pt jump shot from 27 ft,111,89
4,8:10.0,Defensive rebound by E. Freedom,,111,89
4,7:57.0,E. Freedom misses 2-pt jump shot from 12 ft,,111,89
4,7:55.0,,Defensive rebound by T. Harris,111,89
