QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
1,5:45.0,,Defensive rebound by T. McConnell,6,14
1,5:40.0,,Turnover by T. Harris (bad pass; steal by C. Frye),6,14
1,5:35.0,C. Osman misses 3-pt jump shot from 25 ft,,6,14
1,5:32.0,,Defensive rebound by T. Harris,6,14
1,5:22.0,,T. Harris makes 2-pt layup from 1 ft,6,16
1,5:05.0,J. Clarkson misses 3-pt jump shot from 26 ft,,6,16
1,5:02.0,,Defensive rebound by J. Simmons,6,16
1,4:50.0,,M. Scott misses 2-pt layup from 2 ft,6,16
1,4:48.0,Defensive rebound by J. Clarkson,,6,16
1,4:32.0,J. Clarkson makes 2-pt jump shot from 10 ft (assist by C. Frye),,8,16
1,4:18.0,,Turnover by T. McConnell (out of bounds lost ball),8,16
1,4:06.0,C. Frye misses 3-pt jump shot from 26 ft,,8,16
1,4:03.0,,Defensive rebound by B. Marjanović,8,16
1,3:55.0,,T. Harris makes 2-pt layup at rim,8,18
1,3:39.0,J. Clarkson misses 2-pt layup from 2 ft,,8,18
1,3:36.0,,Defensive rebound by T. Harris,8,18
1,3:22.0,,B. Marjanović makes 2-pt jump shot from 8 ft (assist by J. Simmons),8,20
1,3:03.0,C. Frye misses 2-pt jump shot from 17 ft,,8,20
1,3:01.0,,Defensive rebound by T. Harris,8,20
1,2:59.0,,Offensive foul by T. Harris (drawn by C. Osman),8,20
1,2:59.0,,Turnover by T. Harris (offensive foul),8,20
1,2:59.0,,Philadelphia full timeout,8,20
1,2:59.0,B. Knight enters the game for C. Osman,,8,20
1,2:59.0,N. Stauskas enters the game for C. Sexton,,8,20
1,2:59.0,,J. Embiid enters the game for T. Harris,8,20
1,2:59.0,,J. Redick enters the game for B. Marjanović,8,20
1,2:59.0,,B. Simmons enters the game for T. McConnell,8,20
1,2:48.0,J. Clarkson misses 3-pt jump shot from 29 ft,,8,20
1,2:47.0,,Defensive rebound by Team,8,20
1,2:47.0,Loose ball foul by C. Frye (drawn by M. Scott),,8,20
1,2:47.0,A. Žižić enters the game for C. Frye,,8,20
1,2:28.0,,M. Scott misses 2-pt jump shot from 13 ft,8,20
1,2:24.0,Defensive rebound by B. Knight,,8,20
1,2:19.0,D. Adel misses 2-pt layup from 3 ft,,8,20
1,2:16.0,,Defensive rebound by J. Redick,8,20
1,2:06.0,,J. Redick misses 2-pt jump shot from 16 ft,8,20
1,2:02.0,Defensive rebound by B. Knight,,8,20
1,1:58.0,Turnover by N. Stauskas (bad pass; steal by J. Simmons),,8,20
1,1:52.0,,B. Simmons makes 2-pt layup from 4 ft,8,22
1,1:40.0,B. Knight misses 2-pt jump shot from 8 ft,,8,22
1,1:37.0,,Defensive rebound by B. Simmons,8,22
1,1:26.0,,J. Simmons makes 2-pt jump shot from 4 ft (assist by B. Simmons),8,24
1,1:04.0,J. Clarkson misses 2-pt hook shot from 6 ft,,8,24
1,1:01.0,Offensive rebound by A. Žižić,,8,24
1,1:00.0,A. Žižić makes 2-pt layup from 4 ft,,10,24
1,0:48.0,,Personal foul by N. Stauskas (drawn by B. Simmons),10,24
1,0:37.0,,J. Embiid misses 2-pt hook shot from 4 ft,10,24
1,0:37.0,,Offensive rebound by Team,10,24
1,0:37.0,,Turnover by J. Embiid (traveling),10,24
1,0:31.0,J. Clarkson misses 3-pt jump shot from 26 ft,,10,24
1,0:28.0,,Defensive rebound by J. Embiid,10,24
1,0:19.0,,Turnover by J. Embiid (out of bounds lost ball),10,24
1,0:06.0,Personal foul by B. Simmons (drawn by B. Knight),,10,24
1,0:01.0,B. Knight makes 2-pt layup from 3 ft,,12,24
1,0:00.0,,J. Redick misses 2-pt jump shot from 19 ft,12,24
1,0:00.0,,Offensive rebound by Team,12,24
2,11:44.0,A. Žižić makes 2-pt layup from 2 ft (assist by N. Stauskas),,14,24
2,11:19.0,,J. Ennis makes 2-pt layup at rim (assist by T. Harris),14,26
2,11:08.0,N. Stauskas makes 3-pt jump shot from 26 ft,,17,26
2,11:01.0,,T. Harris misses 3-pt jump shot from 26 ft,17,26
2,10:58.0,Defensive rebound by N. Stauskas,,17,26
2,10:52.0,N. Stauskas makes 3-pt jump shot from 26 ft,,20,26
2,10:41.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),20,29
2,10:15.0,J. Clarkson makes 2-pt jump shot from 15 ft (assist by A. Žižić),,22,29
2,10:02.0,,B. Simmons makes 2-pt jump shot from 6 ft,22,31
2,9:53.0,B. Knight makes 3-pt jump shot from 26 ft,,25,31
2,9:52.0,,Philadelphia full timeout,25,31
2,9:32.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Ennis),25,33
2,9:11.0,D. Adel misses 2-pt jump shot from 12 ft,,25,33
2,9:09.0,,Defensive rebound by T. Harris,25,33
2,9:01.0,,B. Simmons misses 2-pt layup from 4 ft (block by B. Knight),25,33
2,9:01.0,,Offensive rebound by B. Simmons,25,33
2,9:01.0,,Personal foul by D. Adel (drawn by B. Simmons),25,33
2,9:01.0,D. Nwaba enters the game for D. Adel,,25,33
2,9:01.0,C. Osman enters the game for J. Clarkson,,25,33
2,8:59.0,,Turnover by J. Ennis (bad pass; steal by D. Nwaba),25,33
2,8:47.0,N. Stauskas misses 3-pt jump shot from 23 ft,,25,33
2,8:44.0,,Defensive rebound by J. Ennis,25,33
2,8:39.0,,T. Harris misses 2-pt layup from 3 ft (block by D. Nwaba),25,33
2,8:35.0,,Offensive rebound by J. Ennis,25,33
2,8:35.0,,J. Ennis makes 2-pt dunk from 1 ft (assist by J. Embiid),25,35
2,8:13.0,C. Osman misses 2-pt layup from 4 ft (block by J. Ennis),,25,35
2,8:13.0,Offensive rebound by Team,,25,35
2,8:13.0,C. Frye enters the game for N. Stauskas,,25,35
2,8:13.0,C. Sexton enters the game for A. Žižić,,25,35
2,8:13.0,,B. Marjanović enters the game for J. Embiid,25,35
2,8:13.0,,T. McConnell enters the game for J. Ennis,25,35
2,8:13.0,,M. Scott enters the game for J. Redick,25,35
2,8:13.0,,J. Simmons enters the game for B. Simmons,25,35
2,8:05.0,C. Sexton makes 3-pt jump shot from 25 ft,,28,35
2,7:47.0,,J. Simmons misses 3-pt jump shot from 25 ft,28,35
2,7:44.0,Defensive rebound by D. Nwaba,,28,35
2,7:39.0,D. Nwaba makes 2-pt jump shot from 5 ft,,30,35
2,7:25.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Marjanović),30,37
2,7:07.0,D. Nwaba misses 3-pt jump shot from 25 ft,,30,37
2,7:05.0,,Defensive rebound by B. Marjanović,30,37
2,6:54.0,,Offensive foul by M. Scott (drawn by B. Knight),30,37
2,6:54.0,,Turnover by M. Scott (offensive foul),30,37
2,6:54.0,J. Clarkson enters the game for B. Knight,,30,37
2,6:41.0,Personal foul by T. McConnell (drawn by J. Clarkson),,30,37
2,6:32.0,C. Sexton makes 2-pt layup from 2 ft,,32,37
2,6:28.0,,Turnover by J. Simmons (bad pass; steal by C. Osman),32,37
2,6:23.0,C. Osman makes 3-pt jump shot from 23 ft,,35,37
2,6:10.0,,M. Scott misses 3-pt jump shot from 24 ft,35,37
2,6:10.0,Defensive rebound by J. Clarkson,,35,37
2,6:04.0,C. Osman makes 3-pt jump shot from 27 ft (assist by J. Clarkson),,38,37
2,6:04.0,,Philadelphia full timeout,38,37
2,5:46.0,,T. McConnell makes 2-pt layup from 2 ft (assist by B. Marjanović),38,39
2,5:17.0,J. Clarkson misses 3-pt jump shot from 22 ft,,38,39
2,5:09.0,,Defensive rebound by M. Scott,38,39
2,5:00.0,,B. Marjanović misses 2-pt jump shot from 4 ft,38,39
2,4:58.0,Defensive rebound by D. Nwaba,,38,39
2,4:54.0,C. Frye misses 3-pt jump shot from 24 ft,,38,39
2,4:50.0,,Defensive rebound by J. Simmons,38,39
2,4:43.0,,T. Harris misses 2-pt layup from 1 ft,38,39
2,4:38.0,,Offensive rebound by B. Marjanović,38,39
2,4:37.0,,B. Marjanović makes 2-pt layup from 3 ft,38,41
2,4:24.0,C. Sexton misses 2-pt layup from 2 ft (block by B. Marjanović),,38,41
2,4:21.0,,Defensive rebound by B. Marjanović,38,41
2,4:15.0,Violation by Team (kicked ball),,38,41
2,4:15.0,A. Žižić enters the game for C. Frye,,38,41
2,4:15.0,,J. Embiid enters the game for T. Harris,38,41
2,4:15.0,,J. Ennis enters the game for B. Marjanović,38,41
2,4:15.0,,J. Redick enters the game for T. McConnell,38,41
2,4:15.0,,B. Simmons enters the game for J. Simmons,38,41
2,4:10.0,,J. Ennis makes 2-pt layup from 2 ft (assist by J. Redick),38,43
2,3:48.0,C. Osman misses 3-pt jump shot from 26 ft,,38,43
2,3:42.0,,Defensive rebound by J. Embiid,38,43
2,3:38.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),38,46
2,3:38.0,Cleveland full timeout,,38,46
2,3:16.0,C. Sexton misses 2-pt layup from 3 ft (block by J. Embiid),,38,46
2,3:13.0,,Defensive rebound by J. Ennis,38,46
2,3:13.0,,Turnover by J. Ennis (out of bounds lost ball),38,46
2,3:00.0,A. Žižić misses 2-pt layup from 2 ft,,38,46
2,2:58.0,,Defensive rebound by M. Scott,38,46
2,2:47.0,,J. Redick misses 3-pt jump shot from 26 ft,38,46
2,2:44.0,,Offensive rebound by J. Ennis,38,46
2,2:39.0,,J. Redick misses 3-pt jump shot from 23 ft,38,46
2,2:36.0,Defensive rebound by C. Osman,,38,46
2,2:31.0,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),,40,46
2,2:11.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by J. Ennis),40,49
2,1:51.0,Shooting foul by J. Embiid (drawn by J. Clarkson),,40,49
2,1:51.0,J. Clarkson makes free throw 1 of 2,,41,49
2,1:51.0,,J. Simmons enters the game for J. Ennis,41,49
2,1:51.0,J. Clarkson makes free throw 2 of 2,,42,49
2,1:39.0,,J. Redick misses 2-pt jump shot from 19 ft,42,49
2,1:37.0,Defensive rebound by C. Osman,,42,49
2,1:27.0,A. Žižić makes 2-pt layup from 3 ft (assist by C. Osman),,44,49
2,1:17.0,,Turnover by B. Simmons (bad pass; steal by D. Nwaba),44,49
2,1:06.0,C. Sexton misses 2-pt layup from 2 ft,,44,49
2,1:04.0,,Defensive rebound by J. Embiid,44,49
2,0:56.0,,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),44,51
2,0:39.0,J. Clarkson misses 2-pt jump shot from 9 ft,,44,51
2,0:36.0,,Defensive rebound by J. Embiid,44,51
2,0:30.0,,B. Simmons makes 2-pt layup at rim,44,53
2,0:25.0,C. Sexton makes 3-pt jump shot from 26 ft,,47,53
2,0:05.0,,Personal foul by J. Clarkson (drawn by J. Embiid),47,53
2,0:04.0,,B. Simmons misses 2-pt dunk at rim,47,53
2,0:01.0,Defensive rebound by D. Nwaba,,47,53
2,0:00.0,D. Nwaba misses 3-pt jump shot from 26 ft,,47,53
2,0:00.0,Offensive rebound by Team,,47,53
3,11:43.0,A. Žižić makes 2-pt hook shot from 7 ft (assist by C. Sexton),,49,53
3,11:23.0,,J. Embiid makes 2-pt jump shot from 5 ft,49,55
3,11:14.0,Personal foul by J. Ennis (drawn by B. Knight),,49,55
3,11:08.0,C. Osman makes 2-pt layup at rim,,51,55
3,10:57.0,,Personal foul by D. Nwaba (drawn by B. Simmons),51,55
3,10:53.0,,B. Simmons misses 2-pt layup from 4 ft,51,55
3,10:51.0,Defensive rebound by D. Nwaba,,51,55
3,10:45.0,A. Žižić misses 2-pt layup from 1 ft,,51,55
3,10:42.0,,Defensive rebound by T. Harris,51,55
3,10:27.0,,Offensive foul by B. Simmons (drawn by D. Nwaba),51,55
3,10:27.0,,Turnover by B. Simmons (offensive foul),51,55
3,10:10.0,D. Nwaba makes 3-pt jump shot from 25 ft (assist by C. Osman),,54,55
3,9:56.0,,Offensive foul by J. Embiid (drawn by B. Knight),54,55
3,9:56.0,,Turnover by J. Embiid (offensive foul),54,55
3,9:41.0,C. Osman misses 2-pt layup from 2 ft,,54,55
3,9:38.0,,Defensive rebound by J. Embiid,54,55
3,9:35.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by B. Simmons),54,58
3,9:07.0,D. Nwaba misses 3-pt jump shot from 23 ft,,54,58
3,9:05.0,,Defensive rebound by B. Simmons,54,58
3,8:59.0,,B. Simmons misses 2-pt layup from 9 ft,54,58
3,8:59.0,,Offensive rebound by B. Simmons,54,58
3,8:54.0,,B. Simmons makes 2-pt layup from 1 ft,54,60
3,8:38.0,C. Sexton makes 2-pt layup from 2 ft,,56,60
3,8:26.0,,Personal foul by D. Nwaba (drawn by B. Simmons),56,60
3,8:26.0,,M. Scott enters the game for J. Ennis,56,60
3,8:18.0,,Shooting foul by D. Nwaba (drawn by B. Simmons),56,60
3,8:18.0,,B. Simmons misses free throw 1 of 2,56,60
3,8:18.0,,Offensive rebound by Team,56,60
3,8:18.0,,B. Simmons makes free throw 2 of 2,56,61
3,8:05.0,C. Osman makes 3-pt jump shot from 25 ft (assist by A. Žižić),,59,61
3,7:50.0,,Turnover by J. Redick (out of bounds lost ball),59,61
3,7:32.0,A. Žižić misses 2-pt hook shot from 3 ft,,59,61
3,7:30.0,,Defensive rebound by J. Embiid,59,61
3,7:25.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by M. Scott),59,64
3,7:25.0,,Shooting foul by B. Knight (drawn by J. Redick),59,64
3,7:25.0,,J. Redick makes free throw 1 of 1,59,65
3,7:15.0,C. Sexton makes 3-pt jump shot from 26 ft,,62,65
3,7:01.0,,J. Redick misses 2-pt jump shot from 3 ft,62,65
3,6:59.0,Defensive rebound by C. Osman,,62,65
3,6:53.0,Turnover by A. Žižić (lost ball; steal by J. Embiid),,62,65
3,6:43.0,,M. Scott misses 3-pt jump shot from 24 ft,62,65
3,6:40.0,Defensive rebound by A. Žižić,,62,65
3,6:25.0,C. Osman misses 2-pt jump shot from 7 ft,,62,65
3,6:22.0,Offensive rebound by C. Osman,,62,65
3,6:20.0,C. Osman misses 2-pt jump shot from 6 ft,,62,65
3,6:18.0,,Defensive rebound by T. Harris,62,65
3,6:11.0,,M. Scott misses 3-pt jump shot from 23 ft,62,65
3,6:07.0,Defensive rebound by C. Osman,,62,65
3,5:53.0,B. Knight misses 2-pt jump shot from 8 ft (block by J. Embiid),,62,65
3,5:49.0,Offensive rebound by B. Knight,,62,65
3,5:48.0,C. Sexton misses 3-pt jump shot from 25 ft,,62,65
3,5:45.0,,Defensive rebound by J. Embiid,62,65
3,5:38.0,,J. Redick makes 2-pt jump shot from 19 ft,62,67
3,5:37.0,Cleveland full timeout,,62,67
3,5:37.0,J. Clarkson enters the game for B. Knight,,62,67
3,5:37.0,C. Frye enters the game for A. Žižić,,62,67
3,5:37.0,,B. Marjanović enters the game for J. Embiid,62,67
3,5:37.0,,T. McConnell enters the game for J. Redick,62,67
3,5:37.0,,J. Simmons enters the game for B. Simmons,62,67
3,5:21.0,C. Frye makes 3-pt jump shot from 24 ft (assist by J. Clarkson),,65,67
3,5:01.0,,T. Harris misses 2-pt jump shot from 10 ft,65,67
3,4:59.0,,Offensive rebound by B. Marjanović,65,67
3,4:57.0,,B. Marjanović makes 2-pt dunk from 2 ft,65,69
3,4:36.0,J. Clarkson misses 3-pt jump shot from 26 ft,,65,69
3,4:33.0,,Defensive rebound by M. Scott,65,69
3,4:29.0,,Personal foul by C. Frye (drawn by B. Marjanović),65,69
3,4:29.0,,B. Marjanović misses free throw 1 of 2,65,69
3,4:29.0,,Offensive rebound by Team,65,69
3,4:29.0,D. Adel enters the game for D. Nwaba,,65,69
3,4:29.0,,B. Marjanović makes free throw 2 of 2,65,70
3,4:10.0,C. Osman makes 2-pt layup from 2 ft,,67,70
3,3:56.0,,T. McConnell makes 2-pt jump shot from 15 ft,67,72
3,3:42.0,Personal foul by B. Marjanović (drawn by C. Osman),,67,72
3,3:30.0,C. Osman misses 3-pt jump shot from 23 ft,,67,72
3,3:26.0,,Defensive rebound by T. Harris,67,72
3,3:15.0,,T. Harris misses 3-pt jump shot from 23 ft,67,72
3,3:13.0,Defensive rebound by D. Adel,,67,72
3,3:13.0,N. Stauskas enters the game for C. Osman,,67,72
3,3:08.0,Shooting foul by T. Harris (drawn by J. Clarkson),,67,72
3,3:08.0,J. Clarkson misses free throw 1 of 2,,67,72
3,3:08.0,Offensive rebound by Team,,67,72
3,3:08.0,J. Clarkson makes free throw 2 of 2,,68,72
3,2:57.0,,Shooting foul by C. Frye (drawn by B. Marjanović),68,72
3,2:57.0,,Philadelphia full timeout,68,72
3,2:57.0,,B. Marjanović makes free throw 1 of 2,68,73
3,2:57.0,,B. Marjanović makes free throw 2 of 2,68,74
3,2:42.0,C. Sexton makes 2-pt layup from 1 ft (assist by N. Stauskas),,70,74
3,2:25.0,,Turnover by B. Marjanović (bad pass),70,74
3,2:25.0,,J. Redick enters the game for T. McConnell,70,74
3,2:25.0,,B. Simmons enters the game for J. Simmons,70,74
3,2:13.0,C. Sexton makes 2-pt jump shot from 20 ft,,72,74
3,1:49.0,,J. Redick makes 3-pt jump shot from 23 ft (assist by B. Simmons),72,77
3,1:32.0,C. Sexton misses 3-pt jump shot from 24 ft,,72,77
3,1:29.0,,Defensive rebound by M. Scott,72,77
3,1:21.0,,B. Simmons misses 2-pt layup from 3 ft,72,77
3,1:21.0,Defensive rebound by C. Frye,,72,77
3,1:16.0,C. Sexton makes 2-pt layup from 2 ft (assist by N. Stauskas),,74,77
3,0:58.0,,B. Simmons makes 2-pt dunk from 2 ft (assist by J. Redick),74,79
3,0:48.0,C. Frye misses 2-pt jump shot from 13 ft,,74,79
3,0:45.0,,Defensive rebound by B. Simmons,74,79
3,0:34.0,,B. Simmons makes 2-pt layup from 3 ft,74,81
3,0:26.0,C. Sexton makes 3-pt jump shot from 26 ft,,77,81
3,0:03.0,,Turnover by B. Marjanović (out of bounds lost ball),77,81
3,0:00.0,C. Sexton misses 3-pt jump shot from 31 ft,,77,81
3,0:00.0,Offensive rebound by Team,,77,81
4,11:41.0,,J. Embiid misses 2-pt jump shot from 13 ft,77,81
4,11:38.0,Defensive rebound by D. Adel,,77,81
4,11:16.0,J. Clarkson misses 3-pt jump shot from 24 ft,,77,81
4,11:11.0,,Defensive rebound by J. Redick,77,81
4,11:03.0,,J. Redick misses 2-pt jump shot from 18 ft,77,81
4,11:00.0,Defensive rebound by B. Knight,,77,81
4,10:52.0,B. Knight makes 2-pt jump shot from 21 ft,,79,81
4,10:28.0,,J. Redick misses 2-pt jump shot from 22 ft,79,81
4,10:22.0,,Offensive rebound by J. Ennis,79,81
4,10:22.0,,J. Ennis makes 2-pt dunk from 1 ft,79,83
4,10:14.0,Personal foul by B. Simmons (drawn by J. Clarkson),,79,83
4,10:14.0,,T. Harris enters the game for M. Scott,79,83
4,10:06.0,J. Clarkson misses 2-pt layup from 2 ft,,79,83
4,10:02.0,Offensive rebound by J. Clarkson,,79,83
4,10:02.0,J. Clarkson makes 2-pt layup at rim,,81,83
4,9:50.0,,J. Embiid misses 3-pt jump shot from 26 ft,81,83
4,9:46.0,Defensive rebound by B. Knight,,81,83
4,9:44.0,Turnover by B. Knight (out of bounds lost ball),,81,83
4,9:20.0,,J. Embiid misses 2-pt jump shot from 8 ft,81,83
4,9:20.0,,Offensive rebound by J. Embiid,81,83
4,9:19.0,,J. Embiid misses 2-pt layup from 1 ft,81,83
4,9:18.0,,Offensive rebound by J. Embiid,81,83
4,9:18.0,,J. Embiid misses 2-pt layup from 1 ft,81,83
4,9:17.0,Defensive rebound by J. Clarkson,,81,83
4,9:08.0,J. Clarkson misses 2-pt layup from 16 ft,,81,83
4,9:05.0,,Defensive rebound by J. Redick,81,83
4,9:03.0,,B. Simmons makes 2-pt layup from 3 ft,81,85
4,8:49.0,B. Knight misses 2-pt layup from 11 ft (block by J. Embiid),,81,85
4,8:49.0,,Defensive rebound by J. Ennis,81,85
4,8:45.0,,Shooting foul by N. Stauskas (drawn by J. Embiid),81,85
4,8:45.0,C. Osman enters the game for D. Adel,,81,85
4,8:45.0,,B. Simmons makes free throw 1 of 2,81,86
4,8:45.0,,B. Simmons makes free throw 2 of 2,81,87
4,8:22.0,B. Knight misses 2-pt layup from 3 ft,,81,87
4,8:20.0,,Defensive rebound by J. Embiid,81,87
4,8:16.0,,J. Embiid makes 2-pt layup from 4 ft (assist by B. Simmons),81,89
4,8:16.0,Cleveland full timeout,,81,89
4,8:16.0,D. Nwaba enters the game for J. Clarkson,,81,89
4,8:16.0,,J. Simmons enters the game for J. Redick,81,89
4,8:04.0,A. Žižić makes 2-pt layup from 1 ft (assist by N. Stauskas),,83,89
4,8:04.0,Shooting foul by T. Harris (drawn by A. Žižić),,83,89
4,8:04.0,A. Žižić misses free throw 1 of 1,,83,89
4,8:01.0,,Defensive rebound by B. Simmons,83,89
4,7:54.0,,Personal foul by A. Žižić (drawn by J. Embiid),83,89
4,7:46.0,,Shooting foul by A. Žižić (drawn by B. Simmons),83,89
4,7:46.0,,B. Simmons makes free throw 1 of 2,83,90
4,7:46.0,,B. Simmons makes free throw 2 of 2,83,91
4,7:29.0,Turnover by N. Stauskas (back court),,83,91
4,7:19.0,,J. Ennis misses 3-pt jump shot from 26 ft,83,91
4,7:17.0,Defensive rebound by A. Žižić,,83,91
4,7:03.0,C. Osman misses 2-pt jump shot from 15 ft,,83,91
4,6:59.0,,Defensive rebound by J. Embiid,83,91
4,6:53.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),83,93
4,6:35.0,Turnover by A. Žižić (bad pass; steal by J. Simmons),,83,93
4,6:31.0,,J. Simmons misses 2-pt dunk from 2 ft,83,93
4,6:28.0,Defensive rebound by N. Stauskas,,83,93
4,6:25.0,Shooting foul by J. Simmons (drawn by N. Stauskas),,83,93
4,6:25.0,N. Stauskas makes free throw 1 of 3,,84,93
4,6:25.0,N. Stauskas makes free throw 2 of 3,,85,93
4,6:25.0,N. Stauskas makes free throw 3 of 3,,86,93
4,6:10.0,,T. Harris misses 3-pt jump shot from 26 ft,86,93
4,6:10.0,,Offensive rebound by Team,86,93
4,6:10.0,Loose ball foul by B. Knight (drawn by J. Ennis),,86,93
4,6:10.0,,Philadelphia full timeout,86,93
4,6:10.0,C. Sexton enters the game for B. Knight,,86,93
4,5:55.0,,Turnover by Team (shot clock),86,93
4,5:55.0,,J. Redick enters the game for J. Ennis,86,93
4,5:55.0,,M. Scott enters the game for J. Simmons,86,93
4,5:36.0,N. Stauskas misses 3-pt jump shot from 26 ft,,86,93
4,5:30.0,Offensive rebound by D. Nwaba,,86,93
4,5:27.0,C. Osman misses 3-pt jump shot from 25 ft,,86,93
4,5:24.0,,Defensive rebound by J. Embiid,86,93
4,5:17.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),86,96
4,4:59.0,Turnover by C. Osman (bad pass; steal by B. Simmons),,86,96
4,4:52.0,,Turnover by T. Harris (bad pass; steal by C. Osman),86,96
4,4:51.0,Personal take foul by B. Simmons (drawn by N. Stauskas),,86,96
4,4:51.0,J. Clarkson enters the game for N. Stauskas,,86,96
4,4:33.0,C. Osman makes 3-pt jump shot from 26 ft,,89,96
4,4:21.0,,Turnover by J. Embiid (bad pass; steal by D. Nwaba),89,96
4,4:18.0,D. Nwaba makes 2-pt dunk from 1 ft,,91,96
4,4:17.0,,Philadelphia full timeout,91,96
4,4:05.0,,M. Scott misses 2-pt jump shot from 18 ft,91,96
4,4:04.0,Defensive rebound by J. Clarkson,,91,96
4,4:00.0,J. Clarkson makes 2-pt layup from 1 ft,,93,96
4,3:38.0,,J. Embiid misses 2-pt jump shot from 3 ft,93,96
4,3:35.0,Defensive rebound by C. Sexton,,93,96
4,3:31.0,J. Clarkson misses 3-pt jump shot from 25 ft,,93,96
4,3:29.0,Offensive rebound by D. Nwaba,,93,96
