QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
3,6:28.0,,D. Finney-Smith enters the game for W. Matthews,60,74
3,6:18.0,,Turnover by L. Dončić (traveling),60,74
3,6:06.0,B. Beal makes 2-pt jump shot from 17 ft (assist by D. Howard),,62,74
3,5:52.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),62,77
3,5:34.0,J. Wall misses 3-pt jump shot from 26 ft,,62,77
3,5:31.0,,Defensive rebound by D. Jordan,62,77
3,5:23.0,,L. Dončić makes 2-pt jump shot from 5 ft,62,79
3,5:03.0,K. Oubre misses 3-pt jump shot from 24 ft,,62,79
3,5:00.0,,Defensive rebound by L. Dončić,62,79
3,4:43.0,,L. Dončić misses 3-pt jump shot from 24 ft,62,79
3,4:41.0,Defensive rebound by B. Beal,,62,79
3,4:25.0,K. Oubre misses 3-pt jump shot from 25 ft,,62,79
3,4:21.0,,Defensive rebound by H. Barnes,62,79
3,4:04.0,,D. Smith misses 2-pt jump shot from 7 ft,62,79
3,4:03.0,,Offensive rebound by D. Jordan,62,79
3,4:02.0,,D. Jordan misses 2-pt layup at rim,62,79
3,4:01.0,Defensive rebound by Team,,62,79
3,3:53.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,65,79
3,3:26.0,,L. Dončić makes 2-pt jump shot from 6 ft,65,81
3,3:14.0,K. Oubre misses 2-pt jump shot from 6 ft,,65,81
3,3:12.0,Offensive rebound by Team,,65,81
3,3:12.0,Personal foul by D. Smith (drawn by K. Oubre),,65,81
3,3:12.0,J. Green enters the game for D. Howard,,65,81
3,3:12.0,,J. Barea enters the game for L. Dončić,65,81
3,3:12.0,,W. Matthews enters the game for D. Jordan,65,81
3,3:12.0,,D. Powell enters the game for D. Smith,65,81
3,3:06.0,B. Beal misses 3-pt jump shot from 26 ft,,65,81
3,3:03.0,,Defensive rebound by H. Barnes,65,81
3,2:49.0,,H. Barnes makes 2-pt jump shot from 17 ft,65,83
3,2:40.0,Personal foul by J. Barea (drawn by J. Wall),,65,83
3,2:40.0,Washington full timeout,,65,83
3,2:40.0,A. Rivers enters the game for O. Porter,,65,83
3,2:31.0,J. Green misses 2-pt jump shot from 16 ft,,65,83
3,2:29.0,,Defensive rebound by J. Barea,65,83
3,2:19.0,,Offensive foul by J. Barea (drawn by K. Oubre),65,83
3,2:19.0,,Turnover by J. Barea (offensive foul),65,83
3,2:19.0,O. Porter enters the game for B. Beal,,65,83
3,2:04.0,K. Oubre makes 2-pt layup at rim (assist by O. Porter),,67,83
3,1:53.0,,Turnover by D. Finney-Smith (bad pass),67,83
3,1:38.0,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),,70,83
3,1:18.0,,W. Matthews makes 2-pt jump shot from 12 ft (assist by J. Barea),70,85
3,1:00.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by J. Wall),,73,85
3,0:51.0,,Turnover by J. Barea (bad pass),73,85
3,0:51.0,,M. Kleber enters the game for H. Barnes,73,85
3,0:36.0,Shooting foul by M. Kleber (drawn by J. Wall),,73,85
3,0:36.0,J. Wall makes free throw 1 of 2,,74,85
3,0:36.0,J. Wall makes free throw 2 of 2,,75,85
3,0:18.0,,Shooting foul by A. Rivers (drawn by D. Powell),75,85
3,0:18.0,,D. Powell makes free throw 1 of 2,75,86
3,0:18.0,,D. Smith enters the game for J. Barea,75,86
3,0:18.0,,D. Powell makes free throw 2 of 2,75,87
3,0:04.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,78,87
3,0:00.0,,W. Matthews misses 3-pt jump shot from 39 ft (block by O. Porter),78,87
3,0:00.0,,Offensive rebound by Team,78,87
4,11:49.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),78,89
4,11:34.0,J. Green makes 2-pt dunk from 1 ft (assist by J. Wall),,80,89
4,11:20.0,,D. Powell misses 3-pt jump shot from 25 ft,80,89
4,11:16.0,Defensive rebound by K. Oubre,,80,89
4,11:13.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Green),,82,89
4,11:12.0,,Dallas full timeout,82,89
4,11:00.0,,Shooting foul by J. Green (drawn by M. Kleber),82,89
4,11:00.0,,M. Kleber makes free throw 1 of 2,82,90
4,11:00.0,,M. Kleber makes free throw 2 of 2,82,91
4,10:45.0,J. Green makes 3-pt jump shot from 26 ft (assist by J. Wall),,85,91
4,10:30.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by D. Powell),85,94
4,10:17.0,J. Wall misses 2-pt jump shot from 5 ft (block by D. Powell),,85,94
4,10:15.0,,Defensive rebound by D. Powell,85,94
4,10:05.0,,Personal foul by K. Oubre (drawn by D. Powell),85,94
4,10:05.0,B. Beal enters the game for K. Oubre,,85,94
4,9:56.0,,Offensive foul by D. Powell (drawn by J. Wall),85,94
4,9:56.0,,Turnover by D. Powell (offensive foul),85,94
4,9:41.0,J. Wall misses 3-pt jump shot from 26 ft,,85,94
4,9:40.0,,Defensive rebound by Team,85,94
4,9:30.0,,J. Barea makes 2-pt jump shot from 3 ft,85,96
4,9:30.0,,Shooting foul by A. Rivers (drawn by J. Barea),85,96
4,9:30.0,,J. Barea makes free throw 1 of 1,85,97
4,9:12.0,A. Rivers misses 2-pt jump shot from 4 ft,,85,97
4,9:10.0,,Defensive rebound by D. Finney-Smith,85,97
4,8:57.0,,J. Barea misses 2-pt jump shot from 18 ft,85,97
4,8:53.0,,Offensive rebound by D. Finney-Smith,85,97
4,8:43.0,,W. Matthews misses 2-pt jump shot from 13 ft,85,97
4,8:42.0,Defensive rebound by B. Beal,,85,97
4,8:39.0,Shooting foul by W. Matthews (drawn by J. Wall),,85,97
4,8:39.0,J. Wall makes free throw 1 of 2,,86,97
4,8:39.0,D. Howard enters the game for J. Green,,86,97
4,8:39.0,,L. Dončić enters the game for W. Matthews,86,97
4,8:39.0,,D. Jordan enters the game for D. Powell,86,97
4,8:39.0,J. Wall makes free throw 2 of 2,,87,97
4,8:22.0,,J. Barea misses 3-pt jump shot from 25 ft,87,97
4,8:20.0,Defensive rebound by Team,,87,97
4,7:58.0,A. Rivers misses 3-pt jump shot from 24 ft,,87,97
4,7:57.0,,Defensive rebound by L. Dončić,87,97
4,7:43.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Wall),87,97
4,7:42.0,Shooting foul by J. Barea (drawn by J. Wall),,87,97
4,7:42.0,J. Wall makes free throw 1 of 2,,88,97
4,7:42.0,,H. Barnes enters the game for J. Barea,88,97
4,7:42.0,,D. Smith enters the game for M. Kleber,88,97
4,7:42.0,J. Wall misses free throw 2 of 2,,88,97
4,7:40.0,,Defensive rebound by D. Jordan,88,97
4,7:27.0,,Personal foul by J. Wall (drawn by D. Jordan),88,97
4,7:18.0,,L. Dončić misses 3-pt jump shot from 25 ft,88,97
4,7:15.0,Defensive rebound by D. Howard,,88,97
4,7:04.0,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),,91,97
4,7:02.0,,Dallas full timeout,91,97
4,6:49.0,,Personal foul by O. Porter (drawn by H. Barnes),91,97
4,6:49.0,,H. Barnes makes free throw 1 of 2,91,98
4,6:49.0,,H. Barnes makes free throw 2 of 2,91,99
4,6:38.0,D. Howard makes 2-pt dunk from 1 ft (assist by J. Wall),,93,99
4,6:13.0,,H. Barnes misses 2-pt jump shot from 14 ft,93,99
4,6:10.0,Defensive rebound by O. Porter,,93,99
4,5:59.0,O. Porter misses 2-pt jump shot from 15 ft,,93,99
4,5:57.0,,Defensive rebound by L. Dončić,93,99
4,5:43.0,,D. Smith misses 2-pt layup from 2 ft (block by J. Wall),93,99
4,5:43.0,,Offensive rebound by Team,93,99
4,5:40.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,93,99
4,5:36.0,,Offensive rebound by D. Smith,93,99
4,5:33.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),93,101
4,5:32.0,Washington full timeout,,93,101
4,5:12.0,J. Wall misses 2-pt jump shot from 18 ft,,93,101
4,5:10.0,,Defensive rebound by H. Barnes,93,101
4,5:03.0,,D. Jordan makes 2-pt layup from 1 ft (assist by D. Smith),93,103
4,4:42.0,Personal foul by D. Smith (drawn by B. Beal),,93,103
4,4:42.0,M. Morris enters the game for A. Rivers,,93,103
4,4:42.0,,W. Matthews enters the game for D. Finney-Smith,93,103
4,4:30.0,Turnover by B. Beal (bad pass; steal by H. Barnes),,93,103
4,4:25.0,,H. Barnes makes 2-pt layup at rim (assist by D. Smith),93,105
4,4:25.0,,Shooting foul by M. Morris (drawn by H. Barnes),93,105
4,4:25.0,,H. Barnes makes free throw 1 of 1,93,106
4,4:16.0,B. Beal misses 3-pt jump shot from 26 ft,,93,106
4,4:13.0,,Defensive rebound by H. Barnes,93,106
4,4:08.0,,Turnover by D. Smith (lost ball; steal by B. Beal),93,106
4,4:07.0,Shooting foul by H. Barnes (drawn by B. Beal),,93,106
4,4:07.0,B. Beal makes free throw 1 of 2,,94,106
4,4:07.0,B. Beal makes free throw 2 of 2,,95,106
