QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
1,6:16.0,,D. Gallinari misses 2-pt jump shot from 19 ft,10,18
1,6:14.0,,Offensive rebound by Team,10,18
1,6:02.0,,J. Green misses 2-pt layup from 3 ft (block by K. Thompson),10,18
1,6:00.0,Defensive rebound by K. Durant,,10,18
1,6:00.0,Shooting foul by S. Gilgeous-Alexander (drawn by K. Durant),,10,18
1,6:00.0,K. Durant makes free throw 1 of 2,,11,18
1,6:00.0,K. Durant makes free throw 2 of 2,,12,18
1,5:42.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),12,21
1,5:33.0,S. Curry makes 2-pt jump shot from 3 ft,,14,21
1,5:33.0,Shooting foul by D. Gallinari (drawn by S. Curry),,14,21
1,5:33.0,S. Curry makes free throw 1 of 1,,15,21
1,5:22.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by K. Thompson),15,21
1,5:20.0,Defensive rebound by D. Green,,15,21
1,5:18.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,17,21
1,5:18.0,,LA Clippers full timeout,17,21
1,5:18.0,K. Looney enters the game for S. Livingston,,17,21
1,5:18.0,,L. Williams enters the game for S. Gilgeous-Alexander,17,21
1,5:02.0,,Turnover by L. Williams (lost ball; steal by K. Durant),17,21
1,4:56.0,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),,19,21
1,4:56.0,,Violation by Team (def goaltending),19,21
1,4:43.0,,D. Gallinari makes 2-pt dunk from 2 ft (assist by L. Shamet),19,23
1,4:23.0,K. Durant makes 2-pt layup from 2 ft,,21,23
1,4:10.0,,D. Gallinari misses 3-pt jump shot from 23 ft,21,23
1,4:08.0,Defensive rebound by D. Green,,21,23
1,4:05.0,K. Thompson misses 2-pt jump shot from 7 ft,,21,23
1,4:05.0,Offensive rebound by Team,,21,23
1,4:05.0,A. Iguodala enters the game for K. Thompson,,21,23
1,4:05.0,,M. Harrell enters the game for J. Green,21,23
1,3:55.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,24,23
1,3:55.0,,G. Temple enters the game for L. Shamet,24,23
1,3:31.0,,D. Gallinari misses 2-pt jump shot from 17 ft,24,23
1,3:28.0,Defensive rebound by S. Curry,,24,23
1,3:22.0,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),,26,23
1,3:06.0,,P. Beverley misses 2-pt jump shot from 12 ft,26,23
1,3:03.0,Defensive rebound by D. Green,,26,23
1,2:43.0,A. Iguodala misses 2-pt jump shot from 21 ft,,26,23
1,2:39.0,,Defensive rebound by G. Temple,26,23
1,2:32.0,,G. Temple misses 3-pt jump shot from 23 ft,26,23
1,2:27.0,,Offensive rebound by M. Harrell,26,23
1,2:27.0,,M. Harrell misses 2-pt layup from 1 ft,26,23
1,2:27.0,Defensive rebound by K. Durant,,26,23
1,2:23.0,K. Durant makes 3-pt jump shot from 27 ft,,29,23
1,2:05.0,,Shooting foul by K. Looney (drawn by M. Harrell),29,23
1,2:05.0,,M. Harrell makes free throw 1 of 2,29,24
1,2:05.0,,S. Gilgeous-Alexander enters the game for P. Beverley,29,24
1,2:05.0,,J. Green enters the game for D. Gallinari,29,24
1,2:05.0,,M. Harrell makes free throw 2 of 2,29,25
1,1:53.0,A. Iguodala makes 2-pt dunk from 3 ft (assist by D. Green),,31,25
1,1:37.0,,L. Williams misses 3-pt jump shot from 26 ft,31,25
1,1:34.0,Defensive rebound by D. Green,,31,25
1,1:30.0,D. Green misses 2-pt layup from 2 ft (block by S. Gilgeous-Alexander),,31,25
1,1:30.0,Offensive rebound by Team,,31,25
1,1:30.0,A. McKinnie enters the game for K. Durant,,31,25
1,1:15.0,A. Iguodala misses 2-pt jump shot from 18 ft,,31,25
1,1:12.0,,Defensive rebound by J. Green,31,25
1,1:04.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),31,27
1,0:43.0,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),,33,27
1,0:37.0,,L. Williams makes 2-pt jump shot from 2 ft,33,29
1,0:29.0,D. Green makes 2-pt layup at rim (assist by S. Curry),,35,29
1,0:29.0,Shooting foul by M. Harrell (drawn by D. Green),,35,29
1,0:29.0,K. Thompson enters the game for S. Curry,,35,29
1,0:29.0,D. Green misses free throw 1 of 1,,35,29
1,0:25.0,,Defensive rebound by J. Green,35,29
1,0:06.0,,Shooting foul by K. Thompson (drawn by G. Temple),35,29
1,0:06.0,,G. Temple makes free throw 1 of 2,35,30
1,0:06.0,Q. Cook enters the game for K. Looney,,35,30
1,0:06.0,K. Durant enters the game for A. McKinnie,,35,30
1,0:06.0,,S. Thornwell enters the game for L. Williams,35,30
1,0:06.0,,G. Temple makes free throw 2 of 2,35,31
1,0:01.0,K. Durant misses 2-pt jump shot from 7 ft,,35,31
1,0:01.0,Offensive rebound by Team,,35,31
2,11:48.0,,Turnover by L. Williams (bad pass; steal by A. Iguodala),35,31
2,11:43.0,K. Durant misses 3-pt jump shot from 23 ft,,35,31
2,11:39.0,Offensive rebound by A. Iguodala,,35,31
2,11:26.0,K. Durant makes 2-pt jump shot from 11 ft,,37,31
2,11:26.0,Shooting foul by G. Temple (drawn by K. Durant),,37,31
2,11:26.0,K. Durant makes free throw 1 of 1,,38,31
2,11:02.0,,J. Green misses 3-pt jump shot from 24 ft,38,31
2,11:01.0,Defensive rebound by Team,,38,31
2,10:43.0,K. Durant makes 2-pt jump shot from 8 ft,,40,31
2,10:41.0,,LA Clippers full timeout,40,31
2,10:41.0,,P. Beverley enters the game for S. Gilgeous-Alexander,40,31
2,10:41.0,,L. Shamet enters the game for G. Temple,40,31
2,10:25.0,,L. Williams misses 2-pt jump shot from 8 ft,40,31
2,10:22.0,Defensive rebound by A. Bogut,,40,31
2,10:20.0,Turnover by K. Durant (lost ball; steal by J. Green),,40,31
2,10:13.0,,J. Green makes 2-pt layup from 2 ft,40,33
2,9:59.0,Personal foul by L. Shamet (drawn by K. Thompson),,40,33
2,9:50.0,A. Iguodala misses 3-pt jump shot from 23 ft,,40,33
2,9:47.0,,Defensive rebound by J. Green,40,33
2,9:38.0,,L. Williams makes 2-pt jump shot from 17 ft,40,35
2,9:29.0,Golden State full timeout,,40,35
2,9:29.0,S. Livingston enters the game for Q. Cook,,40,35
2,9:17.0,S. Livingston misses 2-pt jump shot from 12 ft,,40,35
2,9:14.0,,Defensive rebound by L. Williams,40,35
2,9:07.0,,J. Green makes 3-pt jump shot from 27 ft (assist by P. Beverley),40,38
2,8:57.0,Shooting foul by J. Green (drawn by K. Durant),,40,38
2,8:57.0,K. Durant makes free throw 1 of 3,,41,38
2,8:57.0,K. Durant makes free throw 2 of 3,,42,38
2,8:57.0,K. Durant makes free throw 3 of 3,,43,38
2,8:44.0,,Personal foul by A. Bogut (drawn by M. Harrell),43,38
2,8:31.0,,L. Williams misses 2-pt jump shot from 16 ft,43,38
2,8:29.0,Defensive rebound by A. Iguodala,,43,38
2,8:20.0,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Iguodala),,45,38
2,8:12.0,,J. Green misses 3-pt jump shot from 26 ft,45,38
2,8:09.0,Defensive rebound by K. Thompson,,45,38
2,8:06.0,Offensive foul by A. Bogut (drawn by L. Shamet),,45,38
2,8:06.0,Turnover by A. Bogut (offensive foul),,45,38
2,8:06.0,S. Curry enters the game for A. Bogut,,45,38
2,8:06.0,D. Green enters the game for A. Iguodala,,45,38
2,8:06.0,K. Looney enters the game for S. Livingston,,45,38
2,8:06.0,,D. Gallinari enters the game for M. Harrell,45,38
2,7:49.0,,Turnover by J. Green (lost ball; steal by K. Thompson),45,38
2,7:41.0,K. Durant makes 3-pt jump shot from 29 ft (assist by D. Green),,48,38
2,7:39.0,,LA Clippers full timeout,48,38
2,7:39.0,,S. Gilgeous-Alexander enters the game for L. Williams,48,38
2,7:19.0,,L. Shamet makes 2-pt jump shot from 10 ft,48,40
2,7:02.0,K. Thompson misses 3-pt jump shot from 25 ft,,48,40
2,7:00.0,,Defensive rebound by J. Green,48,40
2,6:42.0,,Offensive foul by J. Green (drawn by D. Green),48,40
2,6:42.0,,Turnover by J. Green (offensive foul),48,40
2,6:27.0,Turnover by D. Green (bad pass; steal by P. Beverley),,48,40
2,6:10.0,,D. Gallinari makes 2-pt jump shot from 14 ft (assist by S. Gilgeous-Alexander),48,42
2,5:57.0,Turnover by S. Curry (bad pass),,48,42
2,5:44.0,,J. Green misses 3-pt jump shot from 27 ft,48,42
2,5:40.0,Defensive rebound by K. Durant,,48,42
2,5:30.0,K. Durant makes 3-pt jump shot from 28 ft,,51,42
2,5:11.0,,D. Gallinari misses 2-pt jump shot from 21 ft,51,42
2,5:09.0,Defensive rebound by D. Green,,51,42
2,5:04.0,K. Durant misses 3-pt jump shot from 27 ft,,51,42
2,5:01.0,,Defensive rebound by P. Beverley,51,42
2,4:55.0,,Shooting foul by K. Durant (drawn by D. Gallinari),51,42
2,4:55.0,,D. Gallinari makes free throw 1 of 2,51,43
2,4:55.0,,D. Gallinari makes free throw 2 of 2,51,44
2,4:45.0,D. Green makes 2-pt layup from 2 ft (assist by K. Looney),,53,44
2,4:35.0,,L. Shamet misses 3-pt jump shot from 26 ft,53,44
2,4:31.0,Defensive rebound by K. Thompson,,53,44
2,4:16.0,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),,55,44
2,3:55.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),55,47
2,3:39.0,S. Curry makes 2-pt layup from 1 ft,,57,47
2,3:23.0,,Turnover by D. Gallinari (3 sec),57,47
2,3:23.0,A. Iguodala enters the game for K. Looney,,57,47
2,3:23.0,,M. Harrell enters the game for S. Gilgeous-Alexander,57,47
2,3:23.0,,L. Williams enters the game for J. Green,57,47
2,3:15.0,Shooting foul by L. Shamet (drawn by S. Curry),,57,47
2,3:15.0,S. Curry makes free throw 1 of 2,,58,47
2,3:15.0,S. Curry makes free throw 2 of 2,,59,47
2,3:09.0,,Personal foul by S. Curry (drawn by L. Williams),59,47
2,3:00.0,,L. Williams misses 2-pt layup from 3 ft (block by D. Green),59,47
2,3:00.0,,Offensive rebound by Team,59,47
2,2:57.0,,Turnover by L. Shamet (lost ball; steal by A. Iguodala),59,47
2,2:56.0,Personal foul by M. Harrell (drawn by K. Durant),,59,47
2,2:56.0,K. Durant makes free throw 1 of 2,,60,47
2,2:56.0,K. Durant makes free throw 2 of 2,,61,47
2,2:45.0,,L. Williams misses 2-pt jump shot from 18 ft,61,47
2,2:43.0,Defensive rebound by K. Thompson,,61,47
2,2:35.0,S. Curry misses 3-pt jump shot from 27 ft,,61,47
2,2:32.0,,Defensive rebound by P. Beverley,61,47
2,2:27.0,,D. Gallinari makes 2-pt jump shot from 16 ft (assist by P. Beverley),61,49
2,2:12.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),,63,49
2,1:50.0,,M. Harrell misses 2-pt hook shot from 4 ft,63,49
2,1:48.0,,Offensive rebound by M. Harrell,63,49
2,1:48.0,,Offensive foul by M. Harrell (drawn by D. Green),63,49
2,1:48.0,,Turnover by M. Harrell (offensive foul),63,49
2,1:48.0,,S. Gilgeous-Alexander enters the game for M. Harrell,63,49
2,1:48.0,,J. Green enters the game for L. Shamet,63,49
2,1:37.0,D. Green makes 2-pt layup from 1 ft (assist by A. Iguodala),,65,49
2,1:30.0,,Personal foul by A. Iguodala (drawn by S. Gilgeous-Alexander),65,49
2,1:26.0,,Shooting foul by D. Green (drawn by L. Williams),65,49
2,1:26.0,,L. Williams makes free throw 1 of 2,65,50
2,1:26.0,,L. Williams makes free throw 2 of 2,65,51
2,1:15.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),,67,51
2,0:54.0,,P. Beverley misses 3-pt jump shot from 26 ft,67,51
2,0:52.0,,Offensive rebound by S. Gilgeous-Alexander,67,51
2,0:52.0,S. Livingston enters the game for S. Curry,,67,51
2,0:41.0,,L. Williams misses 2-pt jump shot from 5 ft,67,51
2,0:39.0,Defensive rebound by K. Durant,,67,51
2,0:34.0,K. Durant makes 3-pt jump shot from 28 ft,,70,51
2,0:20.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft (assist by L. Williams),70,53
2,0:14.0,Personal foul by J. Green (drawn by K. Durant),,70,53
2,0:14.0,K. Durant makes free throw 1 of 2,,71,53
2,0:14.0,K. Looney enters the game for D. Green,,71,53
2,0:14.0,,L. Shamet enters the game for S. Gilgeous-Alexander,71,53
2,0:14.0,K. Durant makes free throw 2 of 2,,72,53
2,0:05.0,,L. Williams misses 2-pt layup from 2 ft,72,53
2,0:02.0,,Offensive rebound by J. Green,72,53
2,0:02.0,,J. Green misses 2-pt layup from 1 ft (block by A. Iguodala),72,53
2,0:02.0,,Offensive rebound by Team,72,53
2,0:01.0,,D. Gallinari misses 2-pt jump shot from 15 ft,72,53
2,0:01.0,,Offensive rebound by Team,72,53
3,11:36.0,,Turnover by Team (shot clock),72,53
3,11:20.0,D. Green makes 2-pt jump shot from 14 ft (assist by S. Livingston),,74,53
3,10:53.0,,Turnover by P. Beverley (step out of bounds),74,53
3,10:36.0,K. Thompson misses 2-pt jump shot from 17 ft,,74,53
3,10:34.0,,Defensive rebound by P. Beverley,74,53
3,10:28.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,74,53
3,10:25.0,,Offensive rebound by D. Gallinari,74,53
3,10:24.0,,D. Gallinari makes 2-pt layup from 1 ft,74,55
3,10:12.0,K. Durant misses 2-pt jump shot from 13 ft,,74,55
3,10:09.0,,Defensive rebound by P. Beverley,74,55
3,9:56.0,,Personal foul by K. Thompson (drawn by D. Gallinari),74,55
3,9:43.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 28 ft (assist by P. Beverley),74,58
3,9:28.0,S. Livingston makes 2-pt dunk at rim (assist by D. Green),,76,58
3,9:06.0,,D. Gallinari misses 3-pt jump shot from 25 ft,76,58
3,9:05.0,,Offensive rebound by P. Beverley,76,58
3,9:04.0,,D. Gallinari misses 3-pt jump shot from 27 ft,76,58
3,8:58.0,Defensive rebound by D. Green,,76,58
3,8:50.0,Personal foul by P. Beverley (drawn by K. Durant),,76,58
3,8:38.0,D. Green misses 3-pt jump shot from 25 ft,,76,58
3,8:35.0,,Defensive rebound by P. Beverley,76,58
3,8:34.0,,Shooting foul by K. Thompson (drawn by S. Gilgeous-Alexander),76,58
3,8:34.0,,S. Gilgeous-Alexander misses free throw 1 of 2,76,58
3,8:34.0,,Offensive rebound by Team,76,58
3,8:34.0,,S. Gilgeous-Alexander makes free throw 2 of 2,76,59
3,8:21.0,K. Durant misses 3-pt jump shot from 27 ft,,76,59
3,8:17.0,,Defensive rebound by J. Green,76,59
3,8:09.0,,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,76,61
3,7:49.0,Turnover by D. Green (bad pass; steal by L. Shamet),,76,61
3,7:46.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),76,64
3,7:44.0,Golden State full timeout,,76,64
3,7:33.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,79,64
3,7:18.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),79,67
3,7:01.0,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Livingston),,82,67
3,6:37.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by D. Green),82,67
3,6:34.0,Defensive rebound by K. Thompson,,82,67
3,6:29.0,K. Durant misses 3-pt jump shot from 27 ft,,82,67
3,6:27.0,,Defensive rebound by L. Shamet,82,67
3,6:21.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,82,67
3,6:18.0,Defensive rebound by S. Curry,,82,67
3,6:13.0,S. Curry misses 3-pt jump shot from 27 ft,,82,67
3,6:10.0,,Defensive rebound by J. Green,82,67
3,6:04.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),82,69
3,6:04.0,,Shooting foul by D. Green (drawn by D. Gallinari),82,69
3,6:04.0,A. Iguodala enters the game for S. Livingston,,82,69
3,6:04.0,,D. Gallinari misses free throw 1 of 1,82,69
3,6:02.0,Defensive rebound by D. Green,,82,69
3,5:40.0,A. Iguodala misses 3-pt jump shot from 27 ft,,82,69
3,5:38.0,,Defensive rebound by P. Beverley,82,69
3,5:17.0,,D. Gallinari misses 2-pt jump shot from 15 ft,82,69
3,5:16.0,,Offensive rebound by P. Beverley,82,69
3,5:16.0,,Personal foul by K. Durant (drawn by P. Beverley),82,69
3,5:03.0,,L. Shamet makes 2-pt jump shot from 13 ft (assist by S. Gilgeous-Alexander),82,71
3,4:49.0,Personal foul by L. Shamet (drawn by S. Curry),,82,71
3,4:46.0,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),,84,71
3,4:46.0,Shooting foul by J. Green (drawn by K. Thompson),,84,71
3,4:46.0,K. Thompson makes free throw 1 of 1,,85,71
3,4:30.0,,Turnover by P. Beverley (step out of bounds),85,71
3,4:14.0,Personal foul by D. Gallinari (drawn by A. Iguodala),,85,71
3,4:14.0,,L. Williams enters the game for S. Gilgeous-Alexander,85,71
3,4:07.0,K. Thompson misses 3-pt jump shot from 23 ft,,85,71
3,4:02.0,,Defensive rebound by P. Beverley,85,71
3,3:56.0,,Turnover by L. Williams (bad pass),85,71
3,3:56.0,K. Looney enters the game for K. Thompson,,85,71
3,3:46.0,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),,87,71
3,3:34.0,,D. Gallinari misses 2-pt layup from 2 ft,87,71
3,3:32.0,Defensive rebound by K. Looney,,87,71
3,3:21.0,A. Iguodala makes 2-pt dunk from 2 ft (assist by K. Durant),,89,71
3,3:21.0,,LA Clippers full timeout,89,71
3,3:21.0,,M. Harrell enters the game for J. Green,89,71
3,3:03.0,,L. Shamet misses 3-pt jump shot from 27 ft,89,71
3,3:03.0,,Offensive rebound by P. Beverley,89,71
3,3:03.0,,Personal foul by K. Looney (drawn by P. Beverley),89,71
3,3:03.0,,P. Beverley makes free throw 1 of 2,89,72
3,3:03.0,,P. Beverley misses free throw 2 of 2,89,72
3,3:01.0,Defensive rebound by D. Green,,89,72
3,2:48.0,Shooting foul by P. Beverley (drawn by K. Durant),,89,72
3,2:48.0,K. Durant makes free throw 1 of 2,,90,72
3,2:48.0,K. Durant makes free throw 2 of 2,,91,72
3,2:36.0,,Turnover by L. Shamet (lost ball; steal by A. Iguodala),91,72
3,2:31.0,A. Iguodala makes 2-pt layup from 2 ft (assist by S. Curry),,93,72
3,2:16.0,,L. Williams misses 3-pt jump shot from 27 ft,93,72
3,2:13.0,Defensive rebound by A. Iguodala,,93,72
3,2:08.0,S. Curry misses 2-pt jump shot from 3 ft,,93,72
3,2:08.0,,Defensive rebound by Team,93,72
3,2:08.0,,J. Green enters the game for P. Beverley,93,72
3,2:08.0,,J. Robinson enters the game for D. Gallinari,93,72
3,2:08.0,,G. Temple enters the game for L. Shamet,93,72
3,2:08.0,Golden State full timeout,,93,72
3,2:08.0,K. Thompson enters the game for K. Durant,,93,72
3,1:58.0,,L. Williams misses 2-pt jump shot from 8 ft,93,72
3,1:56.0,,Offensive rebound by L. Williams,93,72
3,1:56.0,,L. Williams misses 2-pt layup at rim,93,72
3,1:55.0,Defensive rebound by S. Curry,,93,72
3,1:40.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,96,72
3,1:26.0,,Personal foul by D. Green (drawn by J. Green),96,72
3,1:26.0,,J. Green makes free throw 1 of 2,96,73
3,1:26.0,A. McKinnie enters the game for D. Green,,96,73
3,1:26.0,,J. Green makes free throw 2 of 2,96,74
3,1:14.0,K. Thompson misses 2-pt jump shot from 14 ft,,96,74
3,1:11.0,,Defensive rebound by M. Harrell,96,74
3,1:05.0,,J. Robinson misses 3-pt jump shot from 27 ft,96,74
3,1:01.0,Defensive rebound by K. Looney,,96,74
3,0:55.0,S. Curry makes 2-pt layup from 2 ft,,98,74
3,0:44.0,,Turnover by J. Green (bad pass; steal by S. Curry),98,74
3,0:42.0,Personal foul by J. Robinson (drawn by A. McKinnie),,98,74
3,0:42.0,A. McKinnie makes free throw 1 of 2,,99,74
3,0:42.0,,P. Beverley enters the game for J. Green,99,74
3,0:42.0,A. McKinnie misses free throw 2 of 2,,99,74
3,0:40.0,,Defensive rebound by G. Temple,99,74
3,0:30.0,,L. Williams misses 2-pt jump shot from 2 ft,99,74
3,0:30.0,,Offensive rebound by M. Harrell,99,74
3,0:30.0,,M. Harrell misses 2-pt layup at rim,99,74
3,0:30.0,,Offensive rebound by M. Harrell,99,74
3,0:30.0,,M. Harrell makes 2-pt layup at rim,99,76
3,0:11.0,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),,102,76
3,0:04.0,,L. Williams misses 2-pt layup from 2 ft,102,76
3,0:03.0,,Offensive rebound by M. Harrell,102,76
3,0:02.0,,M. Harrell makes 2-pt layup from 2 ft,102,78
4,11:37.0,A. McKinnie misses 3-pt jump shot from 24 ft,,102,78
4,11:34.0,,Defensive rebound by J. Robinson,102,78
4,11:28.0,,Personal foul by S. Livingston (drawn by J. Robinson),102,78
4,11:28.0,,S. Gilgeous-Alexander enters the game for G. Temple,102,78
4,11:20.0,,J. Robinson makes 3-pt jump shot from 27 ft (assist by M. Harrell),102,81
4,11:03.0,Turnover by K. Durant (bad pass; steal by M. Harrell),,102,81
4,11:01.0,,Offensive foul by M. Harrell (drawn by A. McKinnie),102,81
4,11:01.0,,Turnover by M. Harrell (offensive foul),102,81
4,10:46.0,A. Bogut makes 2-pt jump shot from 6 ft (assist by S. Livingston),,104,81
4,10:33.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,104,83
4,10:20.0,Shooting foul by S. Gilgeous-Alexander (drawn by A. Bogut),,104,83
4,10:20.0,A. Bogut makes free throw 1 of 2,,105,83
4,10:20.0,A. Bogut makes free throw 2 of 2,,106,83
4,10:13.0,,L. Williams misses 2-pt jump shot from 16 ft,106,83
4,10:10.0,Defensive rebound by A. McKinnie,,106,83
4,9:55.0,K. Durant misses 3-pt jump shot from 27 ft,,106,83
4,9:53.0,,Defensive rebound by S. Gilgeous-Alexander,106,83
4,9:53.0,,Personal take foul by K. Durant (drawn by P. Beverley),106,83
4,9:53.0,K. Looney enters the game for A. Bogut,,106,83
4,9:53.0,,D. Gallinari enters the game for M. Harrell,106,83
4,9:46.0,,Shooting foul by K. Looney (drawn by D. Gallinari),106,83
4,9:46.0,,D. Gallinari makes free throw 1 of 2,106,84
4,9:46.0,K. Thompson enters the game for S. Livingston,,106,84
4,9:46.0,,D. Gallinari misses free throw 2 of 2,106,84
4,9:43.0,,Offensive rebound by S. Gilgeous-Alexander,106,84
4,9:39.0,,L. Williams makes 2-pt jump shot from 17 ft,106,86
4,9:20.0,A. McKinnie makes 2-pt layup from 3 ft (assist by A. Iguodala),,108,86
4,9:10.0,,P. Beverley makes 2-pt layup from 1 ft,108,88
4,9:10.0,,Shooting foul by K. Looney (drawn by P. Beverley),108,88
4,9:10.0,,P. Beverley makes free throw 1 of 1,108,89
4,9:10.0,Golden State full timeout,,108,89
4,9:10.0,S. Curry enters the game for K. Looney,,108,89
4,9:10.0,D. Green enters the game for A. McKinnie,,108,89
4,8:59.0,Turnover by A. Iguodala (bad pass; steal by D. Gallinari),,108,89
4,8:47.0,,L. Williams misses 2-pt jump shot from 10 ft,108,89
4,8:45.0,Defensive rebound by K. Durant,,108,89
4,8:37.0,Turnover by K. Durant (lost ball; steal by D. Gallinari),,108,89
