QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
1,6:40.0,,T. Frazier misses 3-pt jump shot from 28 ft,13,18
1,6:37.0,Defensive rebound by D. Schröder,,13,18
1,6:31.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,16,18
1,6:07.0,,P. Connaughton misses 2-pt jump shot from 5 ft (block by N. Noel),16,18
1,6:03.0,Defensive rebound by D. Schröder,,16,18
1,6:00.0,D. Schröder makes 2-pt layup from 1 ft,,18,18
1,5:47.0,,D. Wilson makes 2-pt dunk from 1 ft (assist by T. Frazier),18,20
1,5:34.0,J. Grant misses 2-pt jump shot from 15 ft,,18,20
1,5:30.0,,Defensive rebound by P. Connaughton,18,20
1,5:15.0,,B. Colson misses 2-pt jump shot from 13 ft,18,20
1,5:12.0,Defensive rebound by N. Noel,,18,20
1,5:09.0,D. Schröder misses 3-pt jump shot from 27 ft,,18,20
1,5:06.0,,Defensive rebound by T. Frazier,18,20
1,5:01.0,,T. Frazier makes 2-pt jump shot from 12 ft,18,22
1,4:45.0,J. Grant makes 2-pt dunk from 1 ft (assist by N. Noel),,20,22
1,4:25.0,,Turnover by S. Brown (bad pass; steal by D. Schröder),20,22
1,4:23.0,Shooting foul by D. Wilson (drawn by D. Schröder),,20,22
1,4:23.0,D. Schröder makes free throw 1 of 2,,21,22
1,4:23.0,D. Schröder makes free throw 2 of 2,,22,22
1,4:07.0,,S. Brown misses 3-pt jump shot from 26 ft,22,22
1,4:05.0,Defensive rebound by T. Ferguson,,22,22
1,4:05.0,Turnover by T. Ferguson (out of bounds lost ball),,22,22
1,4:05.0,R. Felton enters the game for D. Schröder,,22,22
1,3:55.0,,D. Wilson misses 2-pt layup from 4 ft (block by R. Westbrook),22,22
1,3:55.0,,Offensive rebound by Team,22,22
1,3:45.0,,T. Frazier misses 3-pt jump shot from 26 ft,22,22
1,3:41.0,,Offensive rebound by D. Wilson,22,22
1,3:41.0,,D. Wilson misses 2-pt layup at rim,22,22
1,3:40.0,Defensive rebound by R. Westbrook,,22,22
1,3:30.0,Turnover by T. Ferguson (bad pass; steal by B. Colson),,22,22
1,3:06.0,,S. Brown makes 2-pt dunk from 2 ft (assist by T. Frazier),22,24
1,2:57.0,T. Ferguson misses 3-pt jump shot from 23 ft,,22,24
1,2:54.0,,Defensive rebound by D. Wilson,22,24
1,2:47.0,,Turnover by P. Connaughton (lost ball; steal by N. Noel),22,24
1,2:41.0,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),,24,24
1,2:25.0,,T. Frazier makes 2-pt layup from 2 ft (assist by S. Brown),24,26
1,2:06.0,N. Noel misses 2-pt jump shot from 11 ft,,24,26
1,2:04.0,,Defensive rebound by B. Colson,24,26
1,1:52.0,,P. Connaughton makes 3-pt jump shot from 27 ft (assist by T. Frazier),24,29
1,1:36.0,N. Noel makes 2-pt dunk from 2 ft (assist by J. Grant),,26,29
1,1:27.0,,D. Wilson misses 3-pt jump shot from 25 ft,26,29
1,1:23.0,Defensive rebound by J. Grant,,26,29
1,1:19.0,N. Noel misses 2-pt layup from 2 ft,,26,29
1,1:16.0,,Defensive rebound by S. Brown,26,29
1,1:11.0,,P. Connaughton misses 3-pt jump shot from 28 ft,26,29
1,1:07.0,Defensive rebound by T. Ferguson,,26,29
1,1:04.0,Personal foul by S. Brown (drawn by R. Felton),,26,29
1,1:04.0,Oklahoma City full timeout,,26,29
1,1:04.0,M. Morris enters the game for J. Grant,,26,29
1,1:04.0,D. Schröder enters the game for R. Westbrook,,26,29
1,1:04.0,,G. Hill enters the game for S. Brown,26,29
1,1:04.0,,K. Middleton enters the game for P. Connaughton,26,29
1,0:57.0,Turnover by T. Ferguson (bad pass; steal by D. Wilson),,26,29
1,0:41.0,,D. Wilson misses 2-pt jump shot from 17 ft,26,29
1,0:38.0,Defensive rebound by M. Morris,,26,29
1,0:29.0,D. Schröder makes 3-pt jump shot from 28 ft (assist by R. Felton),,29,29
1,0:17.0,,K. Middleton misses 3-pt jump shot from 26 ft,29,29
1,0:13.0,Defensive rebound by N. Noel,,29,29
1,0:04.0,D. Schröder misses 2-pt jump shot from 15 ft,,29,29
1,0:02.0,,Defensive rebound by D. Wilson,29,29
1,0:00.0,,T. Frazier makes 2-pt layup from 2 ft (assist by D. Wilson),29,31
2,11:50.0,,Personal foul by A. Nader (drawn by K. Middleton),29,31
2,11:44.0,,K. Middleton makes 2-pt jump shot from 20 ft (assist by D. Wilson),29,33
2,11:32.0,R. Felton misses 3-pt jump shot from 27 ft,,29,33
2,11:30.0,,Defensive rebound by Team,29,33
2,11:15.0,,K. Middleton makes 2-pt jump shot from 16 ft,29,35
2,11:05.0,A. Nader makes 3-pt jump shot from 24 ft (assist by N. Noel),,32,35
2,10:52.0,,G. Hill misses 3-pt jump shot from 28 ft,32,35
2,10:49.0,Defensive rebound by R. Felton,,32,35
2,10:45.0,Turnover by A. Nader (step out of bounds),,32,35
2,10:45.0,J. Grant enters the game for N. Noel,,32,35
2,10:31.0,,D. Wilson makes 3-pt jump shot from 25 ft (assist by T. Frazier),32,38
2,10:12.0,A. Nader misses 3-pt jump shot from 24 ft,,32,38
2,10:07.0,Offensive rebound by M. Morris,,32,38
2,10:07.0,M. Morris misses 2-pt layup from 1 ft,,32,38
2,10:07.0,Offensive rebound by M. Morris,,32,38
2,10:03.0,D. Schröder misses 2-pt layup from 2 ft,,32,38
2,9:58.0,Offensive rebound by M. Morris,,32,38
2,9:58.0,M. Morris makes 2-pt layup from 1 ft,,34,38
2,9:49.0,,T. Frazier misses 2-pt jump shot from 4 ft,34,38
2,9:46.0,Defensive rebound by M. Morris,,34,38
2,9:39.0,A. Nader misses 3-pt jump shot from 28 ft,,34,38
2,9:34.0,Offensive rebound by A. Nader,,34,38
2,9:31.0,A. Nader misses 2-pt layup from 2 ft,,34,38
2,9:29.0,,Defensive rebound by G. Hill,34,38
2,9:22.0,,Turnover by D. Wilson (bad pass; steal by A. Nader),34,38
2,9:17.0,A. Nader misses 2-pt layup from 4 ft,,34,38
2,9:15.0,,Defensive rebound by D. Wilson,34,38
2,9:11.0,,B. Colson misses 3-pt jump shot from 28 ft,34,38
2,9:07.0,Defensive rebound by R. Felton,,34,38
2,9:02.0,D. Schröder makes 3-pt jump shot from 23 ft (assist by R. Felton),,37,38
2,8:45.0,,D. Wilson misses 3-pt jump shot from 27 ft,37,38
2,8:42.0,Defensive rebound by M. Morris,,37,38
2,8:35.0,D. Schröder misses 2-pt jump shot from 15 ft,,37,38
2,8:31.0,Offensive rebound by J. Grant,,37,38
2,8:31.0,J. Grant misses 2-pt layup from 1 ft,,37,38
2,8:30.0,,Defensive rebound by T. Frazier,37,38
2,8:25.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by T. Frazier),37,41
2,8:08.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Felton),,39,41
2,8:08.0,,Milwaukee full timeout,39,41
2,8:08.0,T. Ferguson enters the game for R. Felton,,39,41
2,8:08.0,R. Westbrook enters the game for A. Nader,,39,41
2,8:08.0,,S. Brown enters the game for G. Hill,39,41
2,8:08.0,,E. İlyasova enters the game for K. Middleton,39,41
2,7:50.0,,S. Brown misses 3-pt jump shot from 25 ft,39,41
2,7:46.0,Defensive rebound by R. Westbrook,,39,41
2,7:45.0,R. Westbrook makes 2-pt layup from 1 ft,,41,41
2,7:18.0,,S. Brown misses 3-pt jump shot from 24 ft,41,41
2,7:18.0,,Offensive rebound by Team,41,41
2,7:18.0,,Turnover by Team (shot clock),41,41
2,7:10.0,M. Morris makes 3-pt jump shot from 27 ft (assist by D. Schröder),,44,41
2,7:05.0,Violation by Team (kicked ball),,44,41
2,6:48.0,,B. Colson misses 3-pt jump shot from 28 ft,44,41
2,6:48.0,Defensive rebound by Team,,44,41
2,6:35.0,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,47,41
2,6:21.0,,Personal foul by M. Morris (drawn by D. Wilson),47,41
2,6:12.0,,T. Frazier misses 2-pt jump shot from 17 ft,47,41
2,6:09.0,Defensive rebound by M. Morris,,47,41
2,6:02.0,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,50,41
2,5:34.0,,T. Frazier misses 2-pt jump shot from 16 ft,50,41
2,5:31.0,Defensive rebound by T. Ferguson,,50,41
2,5:29.0,Shooting foul by S. Brown (drawn by D. Schröder),,50,41
2,5:29.0,D. Schröder makes free throw 1 of 2,,51,41
2,5:29.0,D. Schröder makes free throw 2 of 2,,52,41
2,5:15.0,,Turnover by S. Brown (traveling),52,41
2,5:10.0,T. Ferguson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,55,41
2,4:52.0,,Turnover by S. Brown (bad pass),55,41
2,4:46.0,T. Ferguson misses 3-pt jump shot from 23 ft,,55,41
2,4:46.0,,Defensive rebound by Team,55,41
2,4:33.0,,Shooting foul by J. Grant (drawn by T. Frazier),55,41
2,4:33.0,,T. Frazier misses free throw 1 of 2,55,41
2,4:33.0,,Offensive rebound by Team,55,41
2,4:33.0,,T. Frazier makes free throw 2 of 2,55,42
2,4:19.0,D. Schröder misses 3-pt jump shot from 25 ft,,55,42
2,4:14.0,,Defensive rebound by T. Frazier,55,42
2,4:10.0,,B. Colson makes 3-pt jump shot from 24 ft (assist by T. Frazier),55,45
2,4:10.0,,Shooting foul by T. Ferguson (drawn by B. Colson),55,45
2,4:10.0,,Milwaukee full timeout,55,45
2,4:10.0,S. Adams enters the game for M. Morris,,55,45
2,4:10.0,,G. Hill enters the game for D. Wilson,55,45
2,4:10.0,,B. Colson makes free throw 1 of 1,55,46
2,3:58.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,57,46
2,3:41.0,,Turnover by B. Colson (traveling),57,46
2,3:35.0,D. Schröder misses 3-pt jump shot from 28 ft,,57,46
2,3:31.0,,Defensive rebound by E. İlyasova,57,46
2,3:27.0,,G. Hill misses 3-pt jump shot from 24 ft,57,46
2,3:27.0,,Offensive rebound by Team,57,46
2,3:27.0,Loose ball foul by T. Ferguson (drawn by B. Colson),,57,46
2,3:27.0,,B. Colson makes free throw 1 of 2,57,47
2,3:27.0,R. Felton enters the game for T. Ferguson,,57,47
2,3:27.0,,P. Connaughton enters the game for S. Brown,57,47
2,3:27.0,,B. Colson misses free throw 2 of 2,57,47
2,3:25.0,Defensive rebound by R. Westbrook,,57,47
2,3:16.0,J. Grant misses 3-pt jump shot from 26 ft,,57,47
2,3:13.0,,Defensive rebound by B. Colson,57,47
2,3:11.0,,B. Colson makes 2-pt layup from 2 ft (assist by T. Frazier),57,49
2,3:05.0,Turnover by D. Schröder (bad pass; steal by P. Connaughton),,57,49
2,3:00.0,,Offensive foul by E. İlyasova (drawn by D. Schröder),57,49
2,3:00.0,,Turnover by E. İlyasova (offensive foul),57,49
2,3:00.0,Oklahoma City full timeout,,57,49
2,3:00.0,,D. Wilson enters the game for B. Colson,57,49
2,2:50.0,D. Schröder misses 3-pt jump shot from 25 ft,,57,49
2,2:47.0,,Defensive rebound by D. Wilson,57,49
2,2:27.0,,E. İlyasova misses 2-pt jump shot from 17 ft,57,49
2,2:25.0,,Offensive rebound by P. Connaughton,57,49
2,2:24.0,,P. Connaughton makes 2-pt layup from 1 ft,57,51
2,2:17.0,J. Grant misses 3-pt jump shot from 27 ft,,57,51
2,2:14.0,,Defensive rebound by D. Wilson,57,51
2,2:10.0,,D. Wilson misses 3-pt jump shot from 26 ft,57,51
2,2:06.0,Defensive rebound by R. Felton,,57,51
2,2:05.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Felton),,59,51
2,1:49.0,,T. Frazier makes 2-pt layup from 2 ft,59,53
2,1:41.0,R. Felton makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,62,53
2,1:24.0,,Personal foul by R. Westbrook (drawn by E. İlyasova),62,53
2,1:24.0,,E. İlyasova makes free throw 1 of 2,62,54
2,1:24.0,,B. Colson enters the game for D. Wilson,62,54
2,1:24.0,,E. İlyasova makes free throw 2 of 2,62,55
2,1:23.0,Personal take foul by P. Connaughton (drawn by R. Westbrook),,62,55
2,1:23.0,,D. Wilson enters the game for E. İlyasova,62,55
2,1:18.0,J. Grant makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,65,55
2,1:02.0,,Turnover by T. Frazier (bad pass; steal by R. Westbrook),65,55
2,0:58.0,Shooting foul by T. Frazier (drawn by S. Adams),,65,55
2,0:58.0,S. Adams misses free throw 1 of 2,,65,55
2,0:58.0,Offensive rebound by Team,,65,55
2,0:58.0,S. Adams misses free throw 2 of 2,,65,55
2,0:55.0,Offensive rebound by J. Grant,,65,55
2,0:43.0,Turnover by Team (shot clock),,65,55
2,0:43.0,M. Morris enters the game for S. Adams,,65,55
2,0:38.0,,P. Connaughton misses 2-pt jump shot from 23 ft,65,55
2,0:38.0,Defensive rebound by R. Westbrook,,65,55
2,0:30.0,Turnover by R. Westbrook (bad pass; steal by B. Colson),,65,55
2,0:10.0,,G. Hill makes 3-pt jump shot from 28 ft,65,58
2,0:00.0,R. Felton makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,68,58
3,11:47.0,,K. Middleton misses 3-pt jump shot from 26 ft,68,58
3,11:44.0,Defensive rebound by M. Morris,,68,58
3,11:36.0,J. Grant misses 3-pt jump shot from 27 ft,,68,58
3,11:32.0,,Defensive rebound by D. Wilson,68,58
3,11:26.0,,K. Middleton makes 2-pt layup from 1 ft (assist by T. Frazier),68,60
3,11:16.0,Turnover by R. Westbrook (bad pass; steal by B. Colson),,68,60
3,11:01.0,,D. Wilson misses 2-pt jump shot from 5 ft,68,60
3,10:57.0,,Offensive rebound by D. Wilson,68,60
3,10:56.0,,D. Wilson makes 2-pt layup from 1 ft,68,62
3,10:45.0,M. Morris makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,71,62
3,10:28.0,,Turnover by K. Middleton (lost ball; steal by D. Schröder),71,62
3,10:25.0,D. Schröder makes 2-pt layup from 2 ft,,73,62
3,10:20.0,,Turnover by T. Frazier (out of bounds lost ball),73,62
3,10:14.0,D. Schröder misses 3-pt jump shot from 27 ft,,73,62
3,10:10.0,,Defensive rebound by D. Wilson,73,62
3,9:52.0,,E. İlyasova makes 2-pt jump shot from 13 ft,73,64
3,9:52.0,,Shooting foul by T. Ferguson (drawn by E. İlyasova),73,64
3,9:52.0,,E. İlyasova misses free throw 1 of 1,73,64
3,9:48.0,Defensive rebound by R. Westbrook,,73,64
3,9:46.0,Offensive foul by D. Schröder (drawn by E. İlyasova),,73,64
3,9:46.0,Turnover by D. Schröder (offensive foul),,73,64
3,9:32.0,,Personal foul by D. Schröder (drawn by K. Middleton),73,64
3,9:24.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by D. Wilson),73,66
3,9:14.0,M. Morris makes 2-pt layup from 3 ft (assist by R. Westbrook),,75,66
3,9:01.0,,K. Middleton misses 3-pt jump shot from 26 ft,75,66
3,8:58.0,Defensive rebound by R. Westbrook,,75,66
3,8:53.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,77,66
3,8:43.0,,B. Colson makes 3-pt jump shot from 27 ft (assist by T. Frazier),77,69
3,8:29.0,R. Westbrook makes 2-pt jump shot from 15 ft (assist by D. Schröder),,79,69
3,8:10.0,,K. Middleton misses 2-pt jump shot from 20 ft,79,69
3,8:06.0,Defensive rebound by M. Morris,,79,69
3,8:02.0,T. Ferguson misses 3-pt jump shot from 23 ft,,79,69
3,7:57.0,,Defensive rebound by B. Colson,79,69
3,7:49.0,,T. Frazier makes 3-pt jump shot from 27 ft (assist by K. Middleton),79,72
3,7:48.0,Oklahoma City full timeout,,79,72
3,7:48.0,R. Felton enters the game for D. Schröder,,79,72
3,7:30.0,M. Morris misses 3-pt jump shot from 24 ft,,79,72
3,7:26.0,,Defensive rebound by E. İlyasova,79,72
3,7:11.0,,B. Colson misses 3-pt jump shot from 23 ft,79,72
3,7:08.0,Defensive rebound by T. Ferguson,,79,72
3,6:59.0,R. Felton makes 3-pt jump shot from 27 ft (assist by T. Ferguson),,82,72
3,6:29.0,,T. Frazier misses 2-pt jump shot from 16 ft,82,72
3,6:27.0,,Offensive rebound by D. Wilson,82,72
3,6:26.0,,D. Wilson misses 2-pt layup from 2 ft,82,72
3,6:26.0,Defensive rebound by J. Grant,,82,72
3,6:20.0,R. Felton misses 3-pt jump shot from 24 ft,,82,72
3,6:18.0,,Defensive rebound by D. Wilson,82,72
3,6:11.0,,K. Middleton makes 3-pt jump shot from 27 ft,82,75
3,5:54.0,R. Westbrook misses 3-pt jump shot from 26 ft,,82,75
3,5:51.0,,Defensive rebound by B. Colson,82,75
3,5:46.0,,B. Colson makes 2-pt dunk from 2 ft (assist by K. Middleton),82,77
3,5:28.0,R. Westbrook makes 2-pt layup from 1 ft (assist by M. Morris),,84,77
3,5:18.0,,K. Middleton makes 2-pt layup from 1 ft,84,79
3,5:13.0,Personal take foul by K. Middleton (drawn by R. Westbrook),,84,79
3,5:13.0,S. Adams enters the game for T. Ferguson,,84,79
3,5:13.0,D. Schröder enters the game for M. Morris,,84,79
3,5:13.0,,S. Brown enters the game for E. İlyasova,84,79
3,5:13.0,,P. Connaughton enters the game for K. Middleton,84,79
3,5:02.0,J. Grant misses 3-pt jump shot from 28 ft,,84,79
3,4:58.0,,Defensive rebound by P. Connaughton,84,79
3,4:58.0,,Personal foul by D. Schröder (drawn by T. Frazier),84,79
3,4:42.0,,D. Wilson makes 2-pt layup from 2 ft (assist by T. Frazier),84,81
3,4:29.0,J. Grant makes 2-pt layup from 1 ft (assist by D. Schröder),,86,81
3,4:15.0,,T. Frazier misses 2-pt hook shot from 6 ft,86,81
3,4:12.0,Defensive rebound by R. Westbrook,,86,81
3,4:07.0,R. Felton makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,89,81
3,4:05.0,,Milwaukee full timeout,89,81
3,4:05.0,A. Nader enters the game for D. Schröder,,89,81
3,3:50.0,,P. Connaughton misses 3-pt jump shot from 28 ft,89,81
3,3:47.0,Defensive rebound by A. Nader,,89,81
3,3:37.0,S. Adams misses 2-pt hook shot from 9 ft,,89,81
3,3:34.0,,Defensive rebound by D. Wilson,89,81
3,3:23.0,,P. Connaughton makes 2-pt layup from 2 ft (assist by S. Brown),89,83
3,3:12.0,R. Westbrook makes 2-pt layup from 2 ft (assist by A. Nader),,91,83
3,3:00.0,,B. Colson misses 3-pt jump shot from 27 ft,91,83
3,2:57.0,Defensive rebound by A. Nader,,91,83
3,2:51.0,R. Westbrook makes 2-pt layup from 2 ft,,93,83
3,2:33.0,,D. Wilson makes 2-pt dunk from 1 ft (assist by S. Brown),93,85
3,2:23.0,R. Felton misses 3-pt jump shot from 22 ft,,93,85
3,2:20.0,,Defensive rebound by B. Colson,93,85
3,2:18.0,,B. Colson misses 2-pt layup from 2 ft,93,85
3,2:15.0,Defensive rebound by A. Nader,,93,85
3,2:09.0,A. Nader misses 3-pt jump shot from 26 ft,,93,85
3,2:06.0,Offensive rebound by S. Adams,,93,85
3,2:06.0,S. Adams misses 2-pt layup at rim,,93,85
3,2:06.0,Offensive rebound by S. Adams,,93,85
3,2:06.0,Shooting foul by T. Frazier (drawn by S. Adams),,93,85
3,2:06.0,S. Adams makes free throw 1 of 2,,94,85
3,2:06.0,D. Schröder enters the game for R. Westbrook,,94,85
3,2:06.0,S. Adams makes free throw 2 of 2,,95,85
3,1:58.0,,S. Brown misses 2-pt dunk from 2 ft (block by S. Adams),95,85
3,1:55.0,,Offensive rebound by P. Connaughton,95,85
3,1:50.0,,B. Colson misses 3-pt jump shot from 24 ft,95,85
3,1:43.0,,Offensive rebound by P. Connaughton,95,85
3,1:43.0,,P. Connaughton makes 2-pt dunk from 1 ft,95,87
3,1:34.0,Turnover by A. Nader (step out of bounds),,95,87
3,1:34.0,N. Noel enters the game for S. Adams,,95,87
3,1:34.0,,G. Hill enters the game for B. Colson,95,87
3,1:18.0,,T. Frazier misses 2-pt jump shot from 19 ft,95,87
3,1:16.0,Defensive rebound by A. Nader,,95,87
3,1:03.0,Turnover by R. Felton (bad pass; steal by G. Hill),,95,87
3,0:42.0,,T. Frazier misses 2-pt layup from 2 ft,95,87
3,0:41.0,Defensive rebound by R. Felton,,95,87
3,0:31.0,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Felton),,98,87
3,0:11.0,,S. Brown makes 2-pt layup from 1 ft,98,89
4,11:50.0,D. Schröder makes 3-pt jump shot from 28 ft (assist by R. Felton),,101,89
4,11:27.0,,Turnover by B. Colson (lost ball; steal by D. Schröder),101,89
4,11:22.0,R. Felton misses 3-pt jump shot from 24 ft,,101,89
4,11:18.0,,Defensive rebound by T. Frazier,101,89
4,11:15.0,,Turnover by E. İlyasova (bad pass; steal by D. Schröder),101,89
4,11:09.0,A. Nader misses 3-pt jump shot from 27 ft,,101,89
4,11:05.0,,Defensive rebound by E. İlyasova,101,89
4,10:55.0,,E. İlyasova misses 3-pt jump shot from 28 ft,101,89
4,10:51.0,,Offensive rebound by G. Hill,101,89
4,10:48.0,,B. Colson makes 2-pt layup from 2 ft (assist by G. Hill),101,91
4,10:24.0,M. Morris misses 2-pt jump shot from 16 ft,,101,91
4,10:20.0,,Defensive rebound by D. Wilson,101,91
4,10:09.0,,D. Wilson misses 3-pt jump shot from 22 ft,101,91
4,10:05.0,,Offensive rebound by D. Wilson,101,91
4,10:01.0,,E. İlyasova misses 3-pt jump shot from 27 ft,101,91
4,9:59.0,Defensive rebound by J. Grant,,101,91
4,9:53.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by R. Felton),,104,91
4,9:41.0,,Shooting foul by M. Morris (drawn by T. Frazier),104,91
4,9:41.0,,T. Frazier makes free throw 1 of 2,104,92
4,9:41.0,T. Ferguson enters the game for R. Felton,,104,92
4,9:41.0,Defensive rebound by M. Morris,,104,92
4,9:41.0,,T. Frazier misses free throw 2 of 2,104,92
4,9:18.0,A. Nader misses 3-pt jump shot from 26 ft,,104,92
4,9:15.0,Offensive rebound by A. Nader,,104,92
4,9:13.0,A. Nader makes 2-pt layup from 2 ft,,106,92
4,8:47.0,,T. Frazier makes 2-pt layup from 1 ft,106,94
4,8:36.0,T. Ferguson misses 3-pt jump shot from 26 ft,,106,94
4,8:33.0,,Defensive rebound by E. İlyasova,106,94
4,8:28.0,,G. Hill misses 3-pt jump shot from 26 ft,106,94
4,8:24.0,,Offensive rebound by B. Colson,106,94
4,8:23.0,,B. Colson misses 2-pt layup from 2 ft,106,94
4,8:21.0,Defensive rebound by A. Nader,,106,94
4,8:11.0,A. Nader makes 2-pt layup from 1 ft (assist by M. Morris),,108,94
4,8:04.0,,Milwaukee full timeout,108,94
4,8:04.0,R. Westbrook enters the game for J. Grant,,108,94
4,8:04.0,,P. Connaughton enters the game for G. Hill,108,94
4,7:53.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by P. Connaughton),108,97
4,7:35.0,A. Nader makes 2-pt layup from 4 ft (assist by M. Morris),,110,97
4,7:20.0,,D. Wilson misses 3-pt jump shot from 24 ft,110,97
4,7:16.0,Defensive rebound by A. Nader,,110,97
4,7:04.0,A. Nader makes 2-pt layup from 1 ft (assist by R. Westbrook),,112,97
4,7:04.0,Shooting foul by E. İlyasova (drawn by A. Nader),,112,97
4,7:04.0,,S. Brown enters the game for E. İlyasova,112,97
4,7:04.0,A. Nader misses free throw 1 of 1,,112,97
4,7:00.0,,Defensive rebound by T. Frazier,112,97
4,6:52.0,,P. Connaughton makes 3-pt jump shot from 27 ft (assist by T. Frazier),112,100
4,6:34.0,M. Morris makes 2-pt jump shot from 9 ft (assist by A. Nader),,114,100
4,6:25.0,,B. Colson misses 3-pt jump shot from 28 ft,114,100
4,6:21.0,Defensive rebound by T. Ferguson,,114,100
4,6:13.0,Personal foul by S. Brown (drawn by R. Westbrook),,114,100
4,6:13.0,J. Grant enters the game for A. Nader,,114,100
4,6:09.0,T. Ferguson misses 3-pt jump shot from 27 ft,,114,100
4,6:04.0,,Defensive rebound by D. Wilson,114,100
4,5:53.0,,Offensive foul by P. Connaughton (drawn by D. Schröder),114,100
4,5:53.0,,Turnover by P. Connaughton (offensive foul),114,100
4,5:53.0,M. Morris misses 3-pt jump shot from 23 ft,,114,100
4,5:38.0,,Defensive rebound by D. Wilson,114,100
