QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
1,3:44.0,,M. Leonard enters the game for A. Aminu,21,19
1,3:30.0,,Shooting foul by K. Towns (drawn by Z. Collins),21,19
1,3:30.0,,Z. Collins makes free throw 1 of 2,21,20
1,3:30.0,G. Dieng enters the game for K. Towns,,21,20
1,3:30.0,,Z. Collins makes free throw 2 of 2,21,21
1,3:11.0,A. Wiggins misses 2-pt jump shot from 15 ft,,21,21
1,3:09.0,,Defensive rebound by M. Leonard,21,21
1,3:04.0,,E. Turner makes 2-pt jump shot from 15 ft,21,23
1,2:52.0,Shooting foul by E. Turner (drawn by A. Wiggins),,21,23
1,2:52.0,A. Wiggins makes free throw 1 of 2,,22,23
1,2:52.0,,S. Curry enters the game for D. Lillard,22,23
1,2:52.0,,N. Stauskas enters the game for C. McCollum,22,23
1,2:52.0,A. Wiggins makes free throw 2 of 2,,23,23
1,2:43.0,,M. Leonard misses 3-pt jump shot from 25 ft,23,23
1,2:40.0,Defensive rebound by G. Dieng,,23,23
1,2:32.0,A. Wiggins makes 2-pt jump shot from 18 ft,,25,23
1,2:11.0,,Z. Collins misses 2-pt layup from 2 ft,25,23
1,2:06.0,,Offensive rebound by M. Leonard,25,23
1,2:06.0,,M. Leonard makes 2-pt dunk from 1 ft,25,25
1,1:57.0,T. Jones misses 3-pt jump shot from 23 ft,,25,25
1,1:55.0,,Defensive rebound by N. Stauskas,25,25
1,1:48.0,,N. Stauskas misses 2-pt layup from 2 ft (block by G. Dieng),25,25
1,1:44.0,,Offensive rebound by M. Leonard,25,25
1,1:44.0,,M. Leonard makes 2-pt dunk from 1 ft,25,27
1,1:30.0,T. Jones misses 2-pt jump shot from 9 ft,,25,27
1,1:29.0,Offensive rebound by G. Dieng,,25,27
1,1:26.0,A. Wiggins misses 3-pt jump shot from 24 ft,,25,27
1,1:23.0,,Defensive rebound by N. Stauskas,25,27
1,1:13.0,,Turnover by N. Stauskas (lost ball; steal by A. Wiggins),25,27
1,1:10.0,T. Jones misses 2-pt layup from 2 ft,,25,27
1,1:07.0,Offensive rebound by A. Tolliver,,25,27
1,1:07.0,A. Tolliver makes 2-pt layup at rim,,27,27
1,0:56.0,,Personal foul by T. Jones (drawn by E. Turner),27,27
1,0:56.0,,E. Turner misses free throw 1 of 2,27,27
1,0:56.0,,Offensive rebound by Team,27,27
1,0:56.0,J. Terrell enters the game for T. Jones,,27,27
1,0:56.0,C. Williams enters the game for J. Okogie,,27,27
1,0:56.0,,E. Turner makes free throw 2 of 2,27,28
1,0:42.0,C. Williams misses 2-pt layup from 5 ft,,27,28
1,0:40.0,,Defensive rebound by Z. Collins,27,28
1,0:23.0,,E. Turner misses 3-pt jump shot from 26 ft,27,28
1,0:21.0,,Offensive rebound by Team,27,28
1,0:21.0,Loose ball foul by J. Terrell (drawn by M. Leonard),,27,28
1,0:21.0,,M. Leonard makes free throw 1 of 2,27,29
1,0:21.0,,M. Leonard makes free throw 2 of 2,27,30
1,0:00.0,A. Tolliver misses 3-pt jump shot from 22 ft,,27,30
1,0:00.0,Offensive rebound by Team,,27,30
2,11:45.0,J. Terrell misses 3-pt jump shot from 25 ft,,27,30
2,11:42.0,,Defensive rebound by S. Curry,27,30
2,11:37.0,,N. Stauskas misses 3-pt jump shot from 25 ft,27,30
2,11:35.0,Defensive rebound by G. Dieng,,27,30
2,11:25.0,A. Wiggins misses 3-pt jump shot from 27 ft,,27,30
2,11:23.0,,Defensive rebound by M. Leonard,27,30
2,11:14.0,,Turnover by Z. Collins (step out of bounds),27,30
2,11:02.0,A. Wiggins misses 2-pt jump shot from 17 ft,,27,30
2,11:00.0,,Defensive rebound by E. Turner,27,30
2,10:45.0,,N. Stauskas makes 3-pt jump shot from 25 ft,27,33
2,10:31.0,J. Terrell misses 2-pt layup from 1 ft,,27,33
2,10:30.0,,Defensive rebound by S. Curry,27,33
2,10:20.0,,Shooting foul by G. Dieng (drawn by Z. Collins),27,33
2,10:20.0,,Z. Collins makes free throw 1 of 2,27,34
2,10:20.0,J. Okogie enters the game for A. Wiggins,,27,34
2,10:20.0,,Z. Collins makes free throw 2 of 2,27,35
2,10:04.0,C. Williams makes 2-pt layup from 1 ft (assist by A. Tolliver),,29,35
2,9:46.0,,N. Stauskas misses 3-pt jump shot from 25 ft,29,35
2,9:43.0,Defensive rebound by G. Dieng,,29,35
2,9:36.0,G. Dieng makes 2-pt jump shot from 5 ft (assist by C. Williams),,31,35
2,9:20.0,,Z. Collins misses 3-pt jump shot from 25 ft,31,35
2,9:18.0,,Offensive rebound by N. Stauskas,31,35
2,9:18.0,,Shooting foul by J. Okogie (drawn by N. Stauskas),31,35
2,9:18.0,,N. Stauskas makes free throw 1 of 2,31,36
2,9:18.0,,N. Stauskas makes free throw 2 of 2,31,37
2,8:57.0,J. Terrell misses 2-pt jump shot from 16 ft,,31,37
2,8:54.0,Offensive rebound by G. Dieng,,31,37
2,8:49.0,J. Okogie misses 2-pt jump shot from 6 ft,,31,37
2,8:46.0,,Defensive rebound by M. Leonard,31,37
2,8:36.0,,E. Turner misses 2-pt layup from 3 ft,31,37
2,8:35.0,Defensive rebound by Team,,31,37
2,8:24.0,Turnover by A. Tolliver (bad pass; steal by N. Stauskas),,31,37
2,8:15.0,,Shooting foul by A. Tolliver (drawn by M. Leonard),31,37
2,8:15.0,,M. Leonard makes free throw 1 of 2,31,38
2,8:15.0,K. Towns enters the game for G. Dieng,,31,38
2,8:15.0,,A. Aminu enters the game for Z. Collins,31,38
2,8:15.0,,M. Leonard makes free throw 2 of 2,31,39
2,8:01.0,K. Towns misses 3-pt jump shot from 24 ft,,31,39
2,7:58.0,,Defensive rebound by N. Stauskas,31,39
2,7:52.0,,E. Turner misses 2-pt jump shot from 20 ft,31,39
2,7:50.0,Defensive rebound by J. Okogie,,31,39
2,7:43.0,Shooting foul by M. Leonard (drawn by K. Towns),,31,39
2,7:43.0,K. Towns makes free throw 1 of 2,,32,39
2,7:43.0,,D. Lillard enters the game for M. Leonard,32,39
2,7:43.0,,C. McCollum enters the game for N. Stauskas,32,39
2,7:43.0,,J. Nurkić enters the game for E. Turner,32,39
2,7:43.0,K. Towns makes free throw 2 of 2,,33,39
2,7:35.0,,Shooting foul by J. Terrell (drawn by D. Lillard),33,39
2,7:35.0,,D. Lillard misses free throw 1 of 2,33,39
2,7:35.0,,Offensive rebound by Team,33,39
2,7:35.0,,D. Lillard makes free throw 2 of 2,33,40
2,7:17.0,Turnover by A. Tolliver (traveling),,33,40
2,6:55.0,,D. Lillard misses 3-pt jump shot from 29 ft,33,40
2,6:55.0,Defensive rebound by Team,,33,40
2,6:55.0,,Portland full timeout,33,40
2,6:55.0,T. Jones enters the game for J. Terrell,,33,40
2,6:43.0,Shooting foul by S. Curry (drawn by K. Towns),,33,40
2,6:43.0,K. Towns makes free throw 1 of 2,,34,40
2,6:43.0,K. Towns makes free throw 2 of 2,,35,40
2,6:27.0,,Turnover by J. Nurkić (3 sec),35,40
2,6:27.0,T. Gibson enters the game for A. Tolliver,,35,40
2,6:07.0,K. Towns misses 2-pt jump shot from 4 ft,,35,40
2,6:06.0,,Defensive rebound by A. Aminu,35,40
2,5:59.0,,C. McCollum makes 2-pt jump shot from 4 ft,35,42
2,5:59.0,,Shooting foul by C. Williams (drawn by C. McCollum),35,42
2,5:59.0,,C. McCollum makes free throw 1 of 1,35,43
2,5:49.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),,38,43
2,5:27.0,,J. Nurkić makes 2-pt hook shot from 5 ft,38,45
2,5:16.0,Personal foul by A. Aminu (drawn by K. Towns),,38,45
2,5:16.0,A. Wiggins enters the game for C. Williams,,38,45
2,5:16.0,,Z. Collins enters the game for A. Aminu,38,45
2,5:16.0,,E. Turner enters the game for S. Curry,38,45
2,5:12.0,Personal foul by Z. Collins (drawn by K. Towns),,38,45
2,5:01.0,K. Towns makes 2-pt jump shot from 4 ft,,40,45
2,4:48.0,,C. McCollum makes 2-pt jump shot from 4 ft,40,47
2,4:27.0,T. Gibson misses 2-pt jump shot from 23 ft,,40,47
2,4:25.0,,Defensive rebound by Z. Collins,40,47
2,4:18.0,,D. Lillard makes 2-pt jump shot from 15 ft,40,49
2,4:12.0,Minnesota full timeout,,40,49
2,4:03.0,T. Gibson misses 2-pt layup from 1 ft,,40,49
2,4:01.0,,Defensive rebound by J. Nurkić,40,49
2,3:55.0,,D. Lillard makes 2-pt layup from 1 ft,40,51
2,3:42.0,K. Towns misses 2-pt jump shot from 17 ft,,40,51
2,3:38.0,,Defensive rebound by C. McCollum,40,51
2,3:34.0,,Turnover by C. McCollum (bad pass),40,51
2,3:16.0,J. Okogie misses 2-pt layup from 3 ft,,40,51
2,3:13.0,,Defensive rebound by J. Nurkić,40,51
2,3:02.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by E. Turner),40,53
2,2:39.0,J. Okogie misses 3-pt jump shot from 26 ft,,40,53
2,2:37.0,,Defensive rebound by J. Nurkić,40,53
2,2:32.0,,Personal foul by K. Towns (drawn by Z. Collins),40,53
2,2:32.0,,Z. Collins makes free throw 1 of 2,40,54
2,2:32.0,G. Dieng enters the game for K. Towns,,40,54
2,2:32.0,,Z. Collins makes free throw 2 of 2,40,55
2,2:17.0,Shooting foul by Z. Collins (drawn by A. Wiggins),,40,55
2,2:17.0,A. Wiggins misses free throw 1 of 2,,40,55
2,2:17.0,Offensive rebound by Team,,40,55
2,2:17.0,A. Wiggins makes free throw 2 of 2,,41,55
2,2:06.0,,Offensive foul by Z. Collins (drawn by J. Okogie),41,55
2,2:06.0,,Turnover by Z. Collins (offensive foul),41,55
2,1:50.0,A. Wiggins misses 2-pt jump shot from 18 ft,,41,55
2,1:49.0,,Defensive rebound by E. Turner,41,55
2,1:43.0,,Turnover by E. Turner (bad pass; steal by T. Gibson),41,55
2,1:42.0,Shooting foul by J. Nurkić (drawn by T. Gibson),,41,55
2,1:42.0,T. Gibson makes free throw 1 of 2,,42,55
2,1:42.0,,M. Leonard enters the game for Z. Collins,42,55
2,1:42.0,T. Gibson makes free throw 2 of 2,,43,55
2,1:33.0,,C. McCollum makes 2-pt jump shot from 2 ft,43,57
2,1:17.0,G. Dieng misses 2-pt jump shot from 19 ft,,43,57
2,1:16.0,,Defensive rebound by E. Turner,43,57
2,1:08.0,,Personal foul by T. Jones (drawn by J. Nurkić),43,57
2,1:08.0,,J. Nurkić makes free throw 1 of 2,43,58
2,1:08.0,,J. Nurkić makes free throw 2 of 2,43,59
2,1:00.0,T. Jones makes 2-pt layup from 2 ft,,45,59
2,0:51.0,,D. Lillard misses 2-pt jump shot from 4 ft,45,59
2,0:49.0,Defensive rebound by A. Wiggins,,45,59
2,0:44.0,A. Wiggins misses 2-pt layup from 2 ft,,45,59
2,0:41.0,Offensive rebound by G. Dieng,,45,59
2,0:41.0,G. Dieng misses 2-pt layup at rim,,45,59
2,0:41.0,Offensive rebound by T. Gibson,,45,59
2,0:40.0,T. Gibson misses 2-pt layup from 2 ft,,45,59
2,0:39.0,,Defensive rebound by J. Nurkić,45,59
2,0:37.0,,Personal foul by J. Okogie (drawn by M. Leonard),45,59
2,0:37.0,,M. Leonard makes free throw 1 of 2,45,60
2,0:37.0,C. Williams enters the game for J. Okogie,,45,60
2,0:37.0,,M. Leonard makes free throw 2 of 2,45,61
2,0:28.0,A. Wiggins misses 2-pt jump shot from 13 ft,,45,61
2,0:24.0,,Defensive rebound by E. Turner,45,61
2,0:03.0,,D. Lillard misses 2-pt jump shot from 18 ft,45,61
2,0:01.0,Defensive rebound by G. Dieng,,45,61
2,0:00.0,G. Dieng misses 3-pt jump shot from 58 ft,,45,61
2,0:00.0,Offensive rebound by Team,,45,61
3,11:49.0,A. Wiggins misses 2-pt jump shot from 17 ft,,45,61
3,11:46.0,,Defensive rebound by A. Aminu,45,61
3,11:27.0,,A. Aminu misses 2-pt layup from 2 ft,45,61
3,11:24.0,,Offensive rebound by J. Nurkić,45,61
3,11:24.0,,J. Nurkić misses 2-pt layup at rim,45,61
3,11:23.0,,Offensive rebound by J. Nurkić,45,61
3,11:23.0,,J. Nurkić makes 2-pt hook shot from 3 ft,45,63
3,11:10.0,Turnover by K. Towns (lost ball; steal by D. Lillard),,45,63
3,11:07.0,,Shooting foul by A. Wiggins (drawn by D. Lillard),45,63
3,11:07.0,,D. Lillard makes free throw 1 of 2,45,64
3,11:07.0,,D. Lillard makes free throw 2 of 2,45,65
3,10:48.0,Personal foul by J. Layman (drawn by J. Okogie),,45,65
3,10:39.0,J. Okogie misses 2-pt jump shot from 15 ft,,45,65
3,10:37.0,,Defensive rebound by J. Layman,45,65
3,10:23.0,,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),45,67
3,10:10.0,T. Jones misses 2-pt jump shot from 12 ft,,45,67
3,10:09.0,,Defensive rebound by J. Layman,45,67
3,9:58.0,,D. Lillard misses 2-pt jump shot from 18 ft,45,67
3,9:55.0,Defensive rebound by K. Towns,,45,67
3,9:41.0,Turnover by A. Wiggins (bad pass),,45,67
3,9:25.0,,C. McCollum misses 2-pt jump shot from 15 ft,45,67
3,9:21.0,Defensive rebound by J. Okogie,,45,67
3,9:20.0,Personal foul by J. Nurkić (drawn by K. Towns),,45,67
3,9:15.0,K. Towns makes 2-pt jump shot from 3 ft (assist by A. Wiggins),,47,67
3,9:06.0,,C. McCollum misses 2-pt jump shot from 15 ft,47,67
3,9:04.0,,Offensive rebound by J. Layman,47,67
3,8:59.0,,Turnover by A. Aminu (bad pass; steal by T. Jones),47,67
3,8:53.0,Turnover by T. Jones (bad pass; steal by C. McCollum),,47,67
3,8:46.0,,Turnover by C. McCollum (bad pass; steal by T. Gibson),47,67
3,8:42.0,Turnover by T. Gibson (lost ball; steal by C. McCollum),,47,67
3,8:29.0,,J. Nurkić makes 2-pt hook shot from 6 ft,47,69
3,8:11.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),,50,69
3,7:50.0,,J. Layman misses 3-pt jump shot from 25 ft,50,69
3,7:47.0,Defensive rebound by K. Towns,,50,69
3,7:37.0,T. Gibson misses 2-pt layup from 3 ft (block by J. Nurkić),,50,69
3,7:35.0,Offensive rebound by T. Gibson,,50,69
3,7:31.0,K. Towns makes 2-pt layup from 2 ft,,52,69
3,7:14.0,,Shooting foul by A. Wiggins (drawn by D. Lillard),52,69
3,7:14.0,,D. Lillard makes free throw 1 of 2,52,70
3,7:14.0,,D. Lillard makes free throw 2 of 2,52,71
3,7:00.0,Shooting foul by J. Layman (drawn by J. Okogie),,52,71
3,7:00.0,,Portland full timeout,52,71
3,7:00.0,J. Okogie makes free throw 1 of 2,,53,71
3,7:00.0,J. Okogie misses free throw 2 of 2,,53,71
3,6:58.0,,Defensive rebound by A. Aminu,53,71
3,6:38.0,,D. Lillard makes 3-pt jump shot from 26 ft,53,74
3,6:22.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by K. Towns),,55,74
3,6:00.0,,C. McCollum makes 2-pt jump shot from 16 ft,55,76
3,5:40.0,T. Jones misses 2-pt layup from 3 ft,,55,76
3,5:38.0,Offensive rebound by T. Gibson,,55,76
3,5:35.0,J. Okogie misses 3-pt jump shot from 25 ft,,55,76
3,5:31.0,,Defensive rebound by A. Aminu,55,76
3,5:21.0,,D. Lillard makes 2-pt dunk from 1 ft (assist by J. Nurkić),55,78
3,5:21.0,Minnesota full timeout,,55,78
3,5:21.0,,E. Turner enters the game for J. Layman,55,78
3,5:08.0,K. Towns misses 2-pt jump shot from 16 ft,,55,78
3,5:05.0,,Defensive rebound by J. Nurkić,55,78
3,4:54.0,,Offensive foul by E. Turner (drawn by A. Wiggins),55,78
3,4:54.0,,Turnover by E. Turner (offensive foul),55,78
3,4:44.0,K. Towns misses 3-pt jump shot from 25 ft,,55,78
3,4:41.0,,Defensive rebound by J. Nurkić,55,78
3,4:25.0,,J. Nurkić makes 2-pt jump shot from 17 ft (assist by D. Lillard),55,80
3,4:12.0,T. Jones makes 2-pt jump shot from 5 ft,,57,80
3,3:58.0,,A. Aminu makes 2-pt layup from 1 ft,57,82
3,3:58.0,,Shooting foul by T. Gibson (drawn by A. Aminu),57,82
3,3:58.0,A. Tolliver enters the game for T. Gibson,,57,82
3,3:58.0,,Z. Collins enters the game for J. Nurkić,57,82
3,3:58.0,,A. Aminu makes free throw 1 of 1,57,83
3,3:44.0,Personal foul by E. Turner (drawn by K. Towns),,57,83
3,3:37.0,A. Tolliver misses 3-pt jump shot from 23 ft,,57,83
3,3:35.0,,Defensive rebound by C. McCollum,57,83
3,3:22.0,,C. McCollum makes 2-pt jump shot from 15 ft,57,85
3,3:15.0,Shooting foul by A. Aminu (drawn by K. Towns),,57,85
3,3:15.0,K. Towns makes free throw 1 of 2,,58,85
3,3:15.0,J. Terrell enters the game for T. Jones,,58,85
3,3:15.0,C. Williams enters the game for J. Okogie,,58,85
3,3:15.0,K. Towns makes free throw 2 of 2,,59,85
3,2:59.0,,Z. Collins misses 2-pt jump shot from 12 ft,59,85
3,2:56.0,Defensive rebound by A. Tolliver,,59,85
3,2:46.0,Turnover by J. Terrell (bad pass; steal by A. Aminu),,59,85
3,2:37.0,,E. Turner misses 3-pt jump shot from 25 ft,59,85
3,2:34.0,Defensive rebound by K. Towns,,59,85
3,2:21.0,A. Wiggins makes 3-pt jump shot from 29 ft (assist by K. Towns),,62,85
3,2:01.0,,C. McCollum misses 3-pt jump shot from 25 ft,62,85
3,1:59.0,,Offensive rebound by C. McCollum,62,85
3,1:48.0,,C. McCollum makes 2-pt layup from 1 ft,62,87
3,1:35.0,A. Tolliver misses 3-pt jump shot from 23 ft,,62,87
3,1:33.0,,Defensive rebound by D. Lillard,62,87
3,1:27.0,,D. Lillard misses 3-pt jump shot from 26 ft,62,87
3,1:24.0,Defensive rebound by K. Towns,,62,87
3,1:03.0,A. Tolliver misses 3-pt jump shot from 23 ft,,62,87
3,1:01.0,,Defensive rebound by D. Lillard,62,87
3,0:50.0,,D. Lillard misses 2-pt layup from 4 ft (block by J. Terrell),62,87
3,0:50.0,,Offensive rebound by Team,62,87
3,0:50.0,G. Dieng enters the game for K. Towns,,62,87
3,0:50.0,,S. Curry enters the game for D. Lillard,62,87
3,0:50.0,,N. Stauskas enters the game for C. McCollum,62,87
3,0:40.0,,Z. Collins makes 3-pt jump shot from 26 ft (assist by S. Curry),62,90
3,0:27.0,A. Wiggins makes 2-pt layup from 1 ft,,64,90
3,0:06.0,,Personal foul by G. Dieng (drawn by N. Stauskas),64,90
3,0:06.0,,M. Leonard enters the game for A. Aminu,64,90
3,0:03.0,,E. Turner makes 2-pt layup at rim (assist by M. Leonard),64,92
3,0:00.0,C. Williams misses 3-pt jump shot from 28 ft,,64,92
3,0:00.0,Offensive rebound by Team,,64,92
4,11:47.0,,Personal foul by C. Williams (drawn by S. Curry),64,92
4,11:39.0,,S. Curry misses 3-pt jump shot from 27 ft,64,92
4,11:36.0,Defensive rebound by A. Tolliver,,64,92
4,11:26.0,K. Bates-Diop misses 2-pt jump shot from 21 ft,,64,92
4,11:23.0,,Defensive rebound by S. Curry,64,92
4,11:08.0,,Z. Collins makes 2-pt jump shot from 5 ft,64,94
4,10:53.0,J. Terrell misses 2-pt jump shot from 16 ft,,64,94
4,10:51.0,,Defensive rebound by E. Turner,64,94
4,10:39.0,,Shooting foul by K. Bates-Diop (drawn by E. Turner),64,94
4,10:39.0,,E. Turner misses free throw 1 of 2,64,94
4,10:39.0,,Offensive rebound by Team,64,94
4,10:39.0,,J. Layman enters the game for N. Stauskas,64,94
4,10:39.0,,E. Turner makes free throw 2 of 2,64,95
4,10:25.0,C. Williams misses 2-pt layup from 3 ft,,64,95
4,10:23.0,,Defensive rebound by M. Leonard,64,95
4,10:05.0,,E. Turner makes 2-pt jump shot from 8 ft,64,97
4,10:05.0,,W. Baldwin enters the game for Z. Collins,64,97
4,10:05.0,,C. Swanigan enters the game for E. Turner,64,97
4,9:51.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Terrell),,67,97
4,9:30.0,,S. Curry makes 3-pt jump shot from 25 ft,67,100
4,9:13.0,J. Terrell misses 2-pt layup from 1 ft,,67,100
4,9:10.0,,Defensive rebound by M. Leonard,67,100
4,8:57.0,,S. Curry misses 2-pt jump shot from 21 ft,67,100
4,8:54.0,Defensive rebound by C. Williams,,67,100
4,8:45.0,G. Dieng misses 2-pt jump shot from 15 ft,,67,100
4,8:41.0,,Defensive rebound by W. Baldwin,67,100
4,8:34.0,,W. Baldwin misses 2-pt layup from 3 ft (block by K. Bates-Diop),67,100
4,8:34.0,,Offensive rebound by Team,67,100
4,8:23.0,,C. Swanigan misses 3-pt jump shot from 26 ft,67,100
4,8:21.0,,Offensive rebound by M. Leonard,67,100
4,8:16.0,,Turnover by W. Baldwin (traveling),67,100
4,8:02.0,J. Terrell misses 2-pt jump shot from 21 ft,,67,100
4,7:59.0,,Defensive rebound by M. Leonard,67,100
4,7:49.0,,Turnover by J. Layman (bad pass; steal by J. Terrell),67,100
4,7:45.0,K. Bates-Diop misses 3-pt jump shot from 26 ft,,67,100
4,7:41.0,Offensive rebound by A. Tolliver,,67,100
4,7:40.0,K. Bates-Diop makes 2-pt jump shot from 6 ft (assist by A. Tolliver),,69,100
4,7:22.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by W. Baldwin),69,103
4,7:08.0,C. Williams makes 2-pt layup from 1 ft (assist by G. Dieng),,71,103
4,7:00.0,,Portland full timeout,71,103
4,7:00.0,L. Deng enters the game for G. Dieng,,71,103
4,7:00.0,,G. Trent enters the game for S. Curry,71,103
4,6:47.0,,J. Layman makes 2-pt layup from 2 ft (assist by M. Leonard),71,105
4,6:32.0,Turnover by J. Terrell (out of bounds lost ball),,71,105
4,6:16.0,,M. Leonard misses 2-pt dunk from 1 ft,71,105
4,6:14.0,Defensive rebound by J. Terrell,,71,105
4,6:12.0,Shooting foul by C. Swanigan (drawn by J. Terrell),,71,105
4,6:12.0,J. Terrell misses free throw 1 of 2,,71,105
4,6:12.0,Offensive rebound by Team,,71,105
4,6:12.0,J. Nunnally enters the game for A. Tolliver,,71,105
4,6:12.0,J. Terrell makes free throw 2 of 2,,72,105
