QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
1,8:33.0,E. Moore misses 2-pt layup from 3 ft,,4,10
1,8:33.0,,Defensive rebound by B. Simmons,4,10
1,8:17.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),4,12
1,8:13.0,New Orleans full timeout,,4,12
1,8:08.0,Personal foul by W. Chandler (drawn by J. Holiday),,4,12
1,7:56.0,J. Holiday misses 3-pt jump shot from 27 ft,,4,12
1,7:54.0,,Defensive rebound by J. Butler,4,12
1,7:42.0,,J. Embiid misses 2-pt layup from 3 ft,4,12
1,7:40.0,Defensive rebound by A. Davis,,4,12
1,7:36.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),,7,12
1,7:25.0,,J. Redick misses 3-pt jump shot from 26 ft,7,12
1,7:23.0,,Offensive rebound by J. Embiid,7,12
1,7:18.0,,J. Embiid makes 2-pt layup from 2 ft,7,14
1,7:18.0,,Shooting foul by A. Davis (drawn by J. Embiid),7,14
1,7:18.0,,J. Embiid makes free throw 1 of 1,7,15
1,6:57.0,W. Johnson misses 2-pt layup from 2 ft,,7,15
1,6:54.0,Offensive rebound by N. Mirotić,,7,15
1,6:53.0,N. Mirotić misses 2-pt hook shot from 7 ft,,7,15
1,6:51.0,,Defensive rebound by J. Embiid,7,15
1,6:45.0,,Turnover by B. Simmons (bad pass; steal by N. Mirotić),7,15
1,6:39.0,J. Holiday misses 2-pt layup from 4 ft (block by B. Simmons),,7,15
1,6:35.0,Offensive rebound by J. Holiday,,7,15
1,6:34.0,J. Holiday makes 2-pt layup from 1 ft,,9,15
1,6:17.0,,J. Embiid misses 2-pt jump shot from 15 ft,9,15
1,6:15.0,Defensive rebound by A. Davis,,9,15
1,6:11.0,Turnover by A. Davis (lost ball; steal by B. Simmons),,9,15
1,6:07.0,,B. Simmons makes 2-pt dunk from 2 ft,9,17
1,5:52.0,Personal foul by J. Embiid (drawn by A. Davis),,9,17
1,5:52.0,J. Randle enters the game for N. Mirotić,,9,17
1,5:52.0,,A. Johnson enters the game for J. Embiid,9,17
1,5:52.0,,L. Shamet enters the game for J. Redick,9,17
1,5:48.0,J. Holiday makes 2-pt layup from 3 ft (assist by W. Johnson),,11,17
1,5:33.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by B. Simmons),11,20
1,5:18.0,Turnover by A. Davis (bad pass; steal by L. Shamet),,11,20
1,5:14.0,,B. Simmons makes 2-pt dunk at rim (assist by L. Shamet),11,22
1,5:08.0,New Orleans full timeout,,11,22
1,5:08.0,D. Miller enters the game for W. Johnson,,11,22
1,4:55.0,J. Randle misses 2-pt hook shot from 3 ft,,11,22
1,4:53.0,,Defensive rebound by W. Chandler,11,22
1,4:42.0,,Shooting foul by J. Holiday (drawn by J. Butler),11,22
1,4:42.0,,J. Butler makes free throw 1 of 2,11,23
1,4:42.0,,J. Butler makes free throw 2 of 2,11,24
1,4:33.0,A. Davis misses 2-pt layup from 4 ft (block by A. Johnson),,11,24
1,4:30.0,Offensive rebound by A. Davis,,11,24
1,4:28.0,A. Davis misses 2-pt layup from 7 ft,,11,24
1,4:28.0,Offensive rebound by J. Randle,,11,24
1,4:21.0,J. Randle misses 2-pt layup at rim,,11,24
1,4:19.0,,Defensive rebound by B. Simmons,11,24
1,4:12.0,,B. Simmons misses 2-pt layup from 3 ft,11,24
1,4:12.0,,Offensive rebound by Team,11,24
1,4:04.0,,Philadelphia full timeout,11,24
1,4:04.0,I. Clark enters the game for J. Holiday,,11,24
1,4:04.0,,M. Muscala enters the game for W. Chandler,11,24
1,4:02.0,,L. Shamet misses 3-pt jump shot from 23 ft,11,24
1,3:56.0,,Offensive rebound by M. Muscala,11,24
1,3:51.0,,J. Butler makes 2-pt jump shot from 11 ft (assist by A. Johnson),11,26
1,3:31.0,J. Randle makes 2-pt jump shot from 9 ft,,13,26
1,3:31.0,Shooting foul by L. Shamet (drawn by J. Randle),,13,26
1,3:31.0,,J. Redick enters the game for J. Butler,13,26
1,3:31.0,J. Randle makes free throw 1 of 1,,14,26
1,3:12.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by M. Muscala),14,29
1,2:53.0,J. Randle makes 2-pt jump shot from 4 ft,,16,29
1,2:41.0,,Personal foul by I. Clark (drawn by B. Simmons),16,29
1,2:41.0,,B. Simmons makes free throw 1 of 2,16,30
1,2:41.0,N. Mirotić enters the game for A. Davis,,16,30
1,2:41.0,,J. Embiid enters the game for A. Johnson,16,30
1,2:41.0,,F. Korkmaz enters the game for L. Shamet,16,30
1,2:41.0,,B. Simmons makes free throw 2 of 2,16,31
1,2:38.0,Personal foul by F. Korkmaz (drawn by N. Mirotić),,16,31
1,2:38.0,,T. McConnell enters the game for B. Simmons,16,31
1,2:28.0,J. Randle misses 2-pt jump shot from 13 ft,,16,31
1,2:26.0,,Defensive rebound by J. Embiid,16,31
1,2:16.0,,T. McConnell misses 2-pt layup from 3 ft,16,31
1,2:12.0,,Offensive rebound by T. McConnell,16,31
1,2:08.0,,J. Embiid misses 2-pt jump shot from 16 ft,16,31
1,2:08.0,Defensive rebound by J. Randle,,16,31
1,1:50.0,I. Clark misses 2-pt layup from 2 ft,,16,31
1,1:50.0,Offensive rebound by N. Mirotić,,16,31
1,1:50.0,Personal foul by M. Muscala (drawn by N. Mirotić),,16,31
1,1:50.0,N. Mirotić makes free throw 1 of 2,,17,31
1,1:50.0,N. Mirotić makes free throw 2 of 2,,18,31
1,1:41.0,,J. Redick misses 3-pt jump shot from 27 ft,18,31
1,1:34.0,,Offensive rebound by J. Embiid,18,31
1,1:34.0,,J. Embiid makes 2-pt dunk from 1 ft,18,33
1,1:28.0,E. Moore misses 3-pt jump shot from 26 ft,,18,33
1,1:28.0,Offensive rebound by Team,,18,33
1,1:28.0,,Loose ball foul by M. Muscala (drawn by N. Mirotić),18,33
1,1:28.0,N. Mirotić makes free throw 1 of 2,,19,33
1,1:28.0,J. Holiday enters the game for E. Moore,,19,33
1,1:28.0,N. Mirotić makes free throw 2 of 2,,20,33
1,1:08.0,,T. McConnell makes 3-pt jump shot from 24 ft (assist by F. Korkmaz),20,36
1,0:58.0,N. Mirotić makes 2-pt layup at rim (assist by J. Randle),,22,36
1,0:53.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,22,36
1,0:50.0,Defensive rebound by N. Mirotić,,22,36
1,0:39.0,Personal foul by J. Redick (drawn by N. Mirotić),,22,36
1,0:39.0,N. Mirotić misses free throw 1 of 2,,22,36
1,0:39.0,Offensive rebound by Team,,22,36
1,0:39.0,N. Mirotić makes free throw 2 of 2,,23,36
1,0:32.0,,J. Redick misses 3-pt jump shot from 26 ft,23,36
1,0:29.0,Defensive rebound by N. Mirotić,,23,36
1,0:22.0,J. Randle misses 2-pt layup from 1 ft,,23,36
1,0:19.0,Offensive rebound by D. Miller,,23,36
1,0:17.0,N. Mirotić misses 3-pt jump shot from 23 ft,,23,36
1,0:14.0,,Defensive rebound by M. Muscala,23,36
1,0:00.0,,J. Embiid makes 2-pt jump shot from 10 ft (assist by J. Redick),23,38
2,11:39.0,Shooting foul by F. Korkmaz (drawn by J. Randle),,23,38
2,11:39.0,J. Randle makes free throw 1 of 2,,24,38
2,11:39.0,J. Randle makes free throw 2 of 2,,25,38
2,11:25.0,,T. McConnell misses 3-pt jump shot from 24 ft,25,38
2,11:24.0,Defensive rebound by Team,,25,38
2,11:19.0,Turnover by J. Randle (bad pass; steal by F. Korkmaz),,25,38
2,11:12.0,,F. Korkmaz makes 2-pt layup from 3 ft,25,40
2,11:07.0,D. Miller makes 3-pt jump shot from 26 ft (assist by I. Clark),,28,40
2,10:56.0,,F. Korkmaz misses 2-pt jump shot from 21 ft,28,40
2,10:54.0,Defensive rebound by J. Randle,,28,40
2,10:48.0,J. Randle misses 2-pt layup from 2 ft,,28,40
2,10:48.0,Offensive rebound by Team,,28,40
2,10:48.0,,Loose ball foul by M. Muscala (drawn by N. Mirotić),28,40
2,10:48.0,,W. Chandler enters the game for M. Muscala,28,40
2,10:41.0,J. Holiday makes 2-pt hook shot from 5 ft,,30,40
2,10:25.0,,J. Embiid misses 3-pt jump shot from 25 ft,30,40
2,10:22.0,Defensive rebound by D. Miller,,30,40
2,10:17.0,Shooting foul by T. McConnell (drawn by J. Holiday),,30,40
2,10:17.0,J. Holiday makes free throw 1 of 2,,31,40
2,10:17.0,J. Holiday makes free throw 2 of 2,,32,40
2,10:06.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,32,40
2,9:57.0,,Offensive rebound by J. Embiid,32,40
2,9:57.0,,J. Embiid misses 2-pt layup from 1 ft,32,40
2,9:56.0,Defensive rebound by J. Randle,,32,40
2,9:55.0,N. Mirotić misses 3-pt jump shot from 26 ft,,32,40
2,9:52.0,,Defensive rebound by J. Redick,32,40
2,9:52.0,A. Davis enters the game for J. Randle,,32,40
2,9:52.0,,L. Shamet enters the game for F. Korkmaz,32,40
2,9:44.0,,J. Redick misses 3-pt jump shot from 24 ft,32,40
2,9:42.0,Defensive rebound by A. Davis,,32,40
2,9:34.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),,35,40
2,9:18.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),35,42
2,9:13.0,Turnover by A. Davis (out of bounds lost ball),,35,42
2,9:02.0,,J. Redick makes 2-pt jump shot from 13 ft,35,44
2,8:52.0,J. Holiday misses 2-pt layup from 2 ft (block by J. Embiid),,35,44
2,8:49.0,Offensive rebound by A. Davis,,35,44
2,8:48.0,A. Davis makes 2-pt dunk from 2 ft,,37,44
2,8:43.0,,Turnover by J. Embiid (lost ball; steal by J. Holiday),37,44
2,8:38.0,J. Holiday makes 2-pt layup from 3 ft (assist by A. Davis),,39,44
2,8:38.0,,Philadelphia full timeout,39,44
2,8:25.0,,Shooting foul by N. Mirotić (drawn by J. Embiid),39,44
2,8:25.0,,J. Embiid makes free throw 1 of 2,39,45
2,8:25.0,,J. Butler enters the game for T. McConnell,39,45
2,8:25.0,,B. Simmons enters the game for J. Redick,39,45
2,8:25.0,,J. Embiid misses free throw 2 of 2,39,45
2,8:22.0,Defensive rebound by N. Mirotić,,39,45
2,8:15.0,J. Holiday misses 3-pt jump shot from 26 ft,,39,45
2,8:09.0,Offensive rebound by A. Davis,,39,45
2,8:07.0,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Holiday),,42,45
2,8:03.0,,Turnover by B. Simmons (traveling),42,45
2,7:54.0,A. Davis misses 2-pt jump shot from 8 ft,,42,45
2,7:50.0,,Defensive rebound by J. Embiid,42,45
2,7:28.0,,W. Chandler makes 2-pt jump shot from 7 ft (assist by J. Embiid),42,47
2,7:19.0,Turnover by A. Davis (out of bounds lost ball),,42,47
2,7:19.0,J. Randle enters the game for N. Mirotić,,42,47
2,7:19.0,,A. Johnson enters the game for J. Embiid,42,47
2,7:10.0,,Shooting foul by J. Randle (drawn by A. Johnson),42,47
2,7:10.0,,A. Johnson makes free throw 1 of 2,42,48
2,7:10.0,E. Moore enters the game for J. Holiday,,42,48
2,7:10.0,,A. Johnson makes free throw 2 of 2,42,49
2,6:57.0,E. Moore misses 3-pt jump shot from 24 ft,,42,49
2,6:53.0,,Defensive rebound by W. Chandler,42,49
2,6:48.0,,W. Chandler makes 2-pt layup from 2 ft,42,51
2,6:37.0,D. Miller misses 3-pt jump shot from 26 ft,,42,51
2,6:34.0,,Defensive rebound by L. Shamet,42,51
2,6:31.0,,J. Butler makes 2-pt layup from 3 ft,42,53
2,6:31.0,,Shooting foul by E. Moore (drawn by J. Butler),42,53
2,6:31.0,W. Johnson enters the game for D. Miller,,42,53
2,6:31.0,,J. Butler makes free throw 1 of 1,42,54
2,6:25.0,Personal foul by L. Shamet (drawn by A. Davis),,42,54
2,6:11.0,J. Randle misses 2-pt layup from 4 ft (block by B. Simmons),,42,54
2,6:08.0,Offensive rebound by J. Randle,,42,54
2,6:07.0,J. Randle makes 2-pt layup from 3 ft,,44,54
2,6:01.0,,Turnover by A. Johnson (traveling),44,54
2,5:51.0,W. Johnson makes 3-pt jump shot from 26 ft,,47,54
2,5:37.0,,B. Simmons makes 2-pt hook shot from 3 ft (assist by A. Johnson),47,56
2,5:37.0,,Shooting foul by J. Randle (drawn by B. Simmons),47,56
2,5:37.0,,B. Simmons makes free throw 1 of 1,47,57
2,5:30.0,Personal foul by B. Simmons (drawn by J. Randle),,47,57
2,5:30.0,J. Randle makes free throw 1 of 2,,48,57
2,5:30.0,J. Randle makes free throw 2 of 2,,49,57
2,5:09.0,,J. Butler misses 2-pt jump shot from 12 ft,49,57
2,5:09.0,,Offensive rebound by Team,49,57
2,5:09.0,J. Holiday enters the game for I. Clark,,49,57
2,5:09.0,N. Mirotić enters the game for A. Davis,,49,57
2,4:59.0,,B. Simmons makes 2-pt layup from 3 ft,49,59
2,4:44.0,E. Moore misses 3-pt jump shot from 24 ft,,49,59
2,4:40.0,,Defensive rebound by B. Simmons,49,59
2,4:35.0,,B. Simmons makes 2-pt layup from 2 ft,49,61
2,4:28.0,Shooting foul by A. Johnson (drawn by J. Randle),,49,61
2,4:28.0,J. Randle makes free throw 1 of 2,,50,61
2,4:28.0,A. Davis enters the game for W. Johnson,,50,61
2,4:28.0,,T. McConnell enters the game for W. Chandler,50,61
2,4:28.0,,J. Redick enters the game for L. Shamet,50,61
2,4:28.0,J. Randle makes free throw 2 of 2,,51,61
2,4:08.0,,J. Butler makes 2-pt jump shot from 12 ft,51,63
2,3:53.0,Turnover by J. Holiday (lost ball; steal by J. Butler),,51,63
2,3:44.0,,T. McConnell misses 2-pt jump shot from 12 ft,51,63
2,3:41.0,Defensive rebound by N. Mirotić,,51,63
2,3:35.0,Turnover by N. Mirotić (bad pass),,51,63
2,3:26.0,,J. Butler misses 2-pt jump shot from 11 ft,51,63
2,3:23.0,Defensive rebound by J. Randle,,51,63
2,3:10.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Holiday),,53,63
2,2:57.0,,J. Redick makes 2-pt layup from 1 ft (assist by A. Johnson),53,65
2,2:39.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,55,65
2,2:25.0,,J. Redick misses 3-pt jump shot from 27 ft,55,65
2,2:22.0,,Offensive rebound by J. Butler,55,65
2,2:19.0,,J. Redick misses 2-pt jump shot from 18 ft,55,65
2,2:19.0,Defensive rebound by J. Randle,,55,65
2,2:11.0,Turnover by J. Holiday (bad pass; steal by T. McConnell),,55,65
2,2:05.0,,A. Johnson misses 2-pt dunk from 1 ft,55,65
2,2:03.0,Defensive rebound by N. Mirotić,,55,65
2,1:57.0,Turnover by J. Holiday (bad pass),,55,65
2,1:57.0,New Orleans full timeout,,55,65
2,1:57.0,,J. Embiid enters the game for A. Johnson,55,65
2,1:43.0,,Turnover by B. Simmons (bad pass; steal by A. Davis),55,65
2,1:39.0,N. Mirotić misses 3-pt jump shot from 26 ft,,55,65
2,1:35.0,Offensive rebound by J. Randle,,55,65
2,1:34.0,J. Randle misses 2-pt layup from 2 ft,,55,65
2,1:32.0,,Defensive rebound by B. Simmons,55,65
2,1:27.0,,B. Simmons misses 2-pt hook shot from 3 ft,55,65
2,1:27.0,,Offensive rebound by Team,55,65
2,1:25.0,,J. Redick misses 3-pt jump shot from 23 ft,55,65
2,1:21.0,Defensive rebound by N. Mirotić,,55,65
2,1:09.0,Turnover by A. Davis (bad pass),,55,65
2,0:51.0,,J. Embiid misses 2-pt hook shot from 7 ft,55,65
2,0:51.0,,Offensive rebound by Team,55,65
2,0:51.0,,Turnover by J. Embiid (traveling),55,65
2,0:33.0,E. Moore makes 2-pt layup from 3 ft,,57,65
2,0:19.0,,B. Simmons makes 2-pt hook shot from 4 ft,57,67
3,11:51.0,E. Moore makes 2-pt layup from 5 ft (assist by A. Davis),,59,67
3,11:28.0,,W. Chandler makes 2-pt jump shot from 20 ft,59,69
3,11:09.0,E. Moore misses 2-pt jump shot from 16 ft,,59,69
3,11:05.0,Offensive rebound by A. Davis,,59,69
3,11:03.0,E. Moore makes 3-pt jump shot from 23 ft (assist by A. Davis),,62,69
3,10:55.0,,B. Simmons misses 2-pt layup from 2 ft (block by A. Davis),62,69
3,10:55.0,Defensive rebound by Team,,62,69
3,10:39.0,W. Johnson misses 2-pt jump shot from 20 ft,,62,69
3,10:36.0,,Defensive rebound by J. Redick,62,69
3,10:25.0,,J. Butler misses 2-pt jump shot from 9 ft,62,69
3,10:25.0,Defensive rebound by Team,,62,69
3,10:25.0,,Loose ball foul by B. Simmons (drawn by J. Holiday),62,69
3,10:07.0,E. Moore misses 3-pt jump shot from 23 ft,,62,69
3,10:04.0,,Defensive rebound by B. Simmons,62,69
3,10:00.0,,W. Chandler makes 2-pt layup from 1 ft (assist by B. Simmons),62,71
3,9:46.0,N. Mirotić misses 3-pt jump shot from 26 ft,,62,71
3,9:44.0,,Defensive rebound by J. Embiid,62,71
3,9:30.0,,B. Simmons misses 2-pt hook shot from 9 ft,62,71
3,9:28.0,Defensive rebound by A. Davis,,62,71
3,9:20.0,E. Moore makes 2-pt layup from 2 ft (assist by A. Davis),,64,71
3,9:08.0,,J. Embiid makes 2-pt hook shot from 11 ft,64,73
3,9:00.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,66,73
3,8:42.0,,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),66,75
3,8:42.0,,Shooting foul by W. Johnson (drawn by J. Redick),66,75
3,8:42.0,,J. Redick makes free throw 1 of 1,66,76
3,8:34.0,J. Holiday makes 2-pt layup from 2 ft,,68,76
3,8:18.0,,B. Simmons misses 2-pt jump shot from 9 ft,68,76
3,8:15.0,Defensive rebound by N. Mirotić,,68,76
3,8:08.0,J. Holiday misses 3-pt jump shot from 26 ft,,68,76
3,8:07.0,Offensive rebound by W. Johnson,,68,76
3,8:05.0,Shooting foul by J. Embiid (drawn by A. Davis),,68,76
3,8:05.0,A. Davis misses free throw 1 of 2,,68,76
3,8:05.0,Offensive rebound by Team,,68,76
3,8:05.0,A. Davis misses free throw 2 of 2,,68,76
3,8:03.0,,Defensive rebound by B. Simmons,68,76
3,7:50.0,,B. Simmons makes 2-pt jump shot from 9 ft (assist by J. Butler),68,78
3,7:50.0,,Shooting foul by N. Mirotić (drawn by B. Simmons),68,78
3,7:50.0,,B. Simmons makes free throw 1 of 1,68,79
3,7:28.0,J. Holiday makes 2-pt jump shot from 17 ft,,70,79
3,7:17.0,,J. Redick misses 2-pt jump shot from 19 ft,70,79
3,7:14.0,Defensive rebound by A. Davis,,70,79
3,7:04.0,N. Mirotić misses 2-pt jump shot from 8 ft,,70,79
3,7:02.0,Offensive rebound by N. Mirotić,,70,79
3,6:58.0,E. Moore makes 2-pt layup from 4 ft (assist by W. Johnson),,72,79
3,6:40.0,,J. Embiid misses 3-pt jump shot from 27 ft,72,79
3,6:38.0,Defensive rebound by A. Davis,,72,79
3,6:33.0,E. Moore misses 2-pt jump shot from 8 ft,,72,79
3,6:31.0,,Defensive rebound by J. Embiid,72,79
3,6:22.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Butler),72,81
3,6:22.0,New Orleans full timeout,,72,81
3,6:22.0,J. Randle enters the game for N. Mirotić,,72,81
3,6:22.0,,A. Johnson enters the game for J. Embiid,72,81
3,6:22.0,,L. Shamet enters the game for J. Redick,72,81
3,6:06.0,J. Holiday misses 2-pt jump shot from 21 ft,,72,81
3,6:03.0,,Defensive rebound by B. Simmons,72,81
3,5:46.0,,J. Butler misses 2-pt jump shot from 15 ft,72,81
3,5:44.0,Defensive rebound by A. Davis,,72,81
3,5:32.0,A. Davis misses 2-pt jump shot from 17 ft,,72,81
3,5:29.0,,Defensive rebound by W. Chandler,72,81
3,5:22.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),72,84
3,5:02.0,Shooting foul by B. Simmons (drawn by J. Randle),,72,84
3,5:02.0,J. Randle makes free throw 1 of 2,,73,84
3,5:02.0,J. Randle misses free throw 2 of 2,,73,84
3,5:00.0,Offensive rebound by W. Johnson,,73,84
3,4:53.0,W. Johnson misses 3-pt jump shot from 24 ft,,73,84
3,4:49.0,,Defensive rebound by J. Butler,73,84
3,4:40.0,,Shooting foul by A. Davis (drawn by L. Shamet),73,84
3,4:40.0,,L. Shamet makes free throw 1 of 3,73,85
3,4:40.0,,L. Shamet makes free throw 2 of 3,73,86
3,4:40.0,,L. Shamet makes free throw 3 of 3,73,87
3,4:27.0,Turnover by A. Davis (bad pass),,73,87
3,4:18.0,,Offensive foul by A. Johnson (drawn by W. Johnson),73,87
3,4:18.0,,Turnover by A. Johnson (offensive foul),73,87
3,4:18.0,D. Miller enters the game for A. Davis,,73,87
3,4:18.0,N. Mirotić enters the game for E. Moore,,73,87
3,4:06.0,J. Holiday makes 2-pt layup from 2 ft,,75,87
3,4:03.0,,Philadelphia full timeout,75,87
3,4:03.0,F. Jackson enters the game for W. Johnson,,75,87
3,4:03.0,,M. Muscala enters the game for J. Butler,75,87
3,4:03.0,,J. Redick enters the game for W. Chandler,75,87
3,3:52.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by A. Johnson),75,89
3,3:29.0,J. Randle makes 2-pt layup from 1 ft,,77,89
3,3:07.0,,M. Muscala misses 3-pt jump shot from 26 ft,77,89
3,3:06.0,Loose ball foul by N. Mirotić (drawn by A. Johnson),,77,89
3,3:06.0,,Offensive rebound by Team,77,89
3,3:06.0,,J. Embiid enters the game for A. Johnson,77,89
3,3:06.0,,T. McConnell enters the game for B. Simmons,77,89
3,2:51.0,,J. Embiid misses 2-pt jump shot from 18 ft,77,89
3,2:49.0,,Offensive rebound by Team,77,89
3,2:49.0,Loose ball foul by N. Mirotić (drawn by M. Muscala),,77,89
3,2:49.0,,M. Muscala misses free throw 1 of 2,77,89
3,2:49.0,,Offensive rebound by Team,77,89
3,2:49.0,A. Davis enters the game for N. Mirotić,,77,89
3,2:49.0,,M. Muscala makes free throw 2 of 2,77,90
3,2:31.0,J. Holiday makes 2-pt layup from 1 ft,,79,90
3,2:22.0,,Turnover by T. McConnell (dbl dribble),79,90
3,2:05.0,A. Davis misses 3-pt jump shot from 26 ft,,79,90
3,2:01.0,,Defensive rebound by L. Shamet,79,90
3,1:49.0,,T. McConnell misses 2-pt jump shot from 13 ft,79,90
3,1:45.0,Defensive rebound by J. Randle,,79,90
3,1:40.0,D. Miller misses 2-pt jump shot from 17 ft,,79,90
3,1:38.0,,Defensive rebound by Team,79,90
3,1:20.0,,J. Embiid misses 2-pt jump shot from 4 ft (block by A. Davis),79,90
3,1:17.0,Defensive rebound by A. Davis,,79,90
3,1:13.0,J. Randle makes 3-pt jump shot from 27 ft (assist by A. Davis),,82,90
3,1:01.0,,Personal foul by J. Randle (drawn by J. Embiid),82,90
3,1:01.0,,J. Embiid misses free throw 1 of 2,82,90
3,1:01.0,,Offensive rebound by Team,82,90
3,1:01.0,E. Moore enters the game for J. Holiday,,82,90
3,1:01.0,,J. Embiid makes free throw 2 of 2,82,91
3,0:38.0,E. Moore misses 2-pt jump shot from 19 ft,,82,91
3,0:35.0,,Defensive rebound by J. Embiid,82,91
3,0:30.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by T. McConnell),82,94
3,0:14.0,A. Davis makes 2-pt jump shot from 19 ft (assist by E. Moore),,84,94
3,0:03.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by M. Muscala),84,96
3,0:00.0,J. Randle makes 3-pt jump shot from 34 ft,,87,96
4,11:43.0,,J. Embiid makes 2-pt jump shot from 8 ft,87,98
4,11:30.0,Personal foul by L. Shamet (drawn by A. Davis),,87,98
4,11:24.0,A. Davis misses 2-pt layup from 1 ft,,87,98
4,11:22.0,Offensive rebound by A. Davis,,87,98
4,11:22.0,A. Davis misses 2-pt layup from 2 ft (block by M. Muscala),,87,98
4,11:22.0,,Defensive rebound by J. Embiid,87,98
4,11:16.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by J. Redick),87,101
4,11:03.0,E. Moore misses 2-pt jump shot from 8 ft,,87,101
4,11:03.0,Offensive rebound by E. Moore,,87,101
4,11:03.0,Shooting foul by L. Shamet (drawn by E. Moore),,87,101
4,11:03.0,E. Moore makes free throw 1 of 2,,88,101
4,11:03.0,E. Moore misses free throw 2 of 2,,88,101
4,11:01.0,,Defensive rebound by J. Embiid,88,101
4,10:50.0,,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),88,103
4,10:50.0,,Shooting foul by J. Randle (drawn by J. Embiid),88,103
4,10:50.0,,J. Embiid makes free throw 1 of 1,88,104
4,10:33.0,E. Moore misses 2-pt jump shot from 7 ft,,88,104
4,10:29.0,,Defensive rebound by J. Embiid,88,104
4,10:27.0,,L. Shamet misses 3-pt jump shot from 28 ft,88,104
4,10:23.0,Defensive rebound by E. Moore,,88,104
4,10:21.0,Offensive foul by J. Randle (drawn by J. Redick),,88,104
4,10:21.0,Turnover by J. Randle (offensive foul),,88,104
4,10:21.0,J. Holiday enters the game for D. Miller,,88,104
