QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
1,6:16.0,,G. Hayward enters the game for A. Horford,13,14
1,6:16.0,,D. Theis enters the game for M. Morris,13,14
1,6:16.0,S. Gilgeous-Alexander makes free throw 2 of 2,,14,14
1,6:03.0,,K. Irving makes 2-pt jump shot from 11 ft,14,16
1,5:50.0,G. Temple misses 3-pt jump shot from 27 ft,,14,16
1,5:49.0,,Defensive rebound by Team,14,16
1,5:49.0,J. Green enters the game for D. Gallinari,,14,16
1,5:31.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by M. Smart),14,19
1,5:07.0,Turnover by I. Zubac (bad pass; steal by J. Tatum),,14,19
1,4:59.0,,J. Tatum makes 2-pt layup from 3 ft,14,21
1,4:59.0,LA Clippers full timeout,,14,21
1,4:59.0,M. Harrell enters the game for S. Gilgeous-Alexander,,14,21
1,4:59.0,L. Shamet enters the game for G. Temple,,14,21
1,4:59.0,L. Williams enters the game for I. Zubac,,14,21
1,4:49.0,J. Green misses 3-pt jump shot from 26 ft,,14,21
1,4:47.0,,Defensive rebound by J. Tatum,14,21
1,4:36.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),14,24
1,4:20.0,Turnover by L. Williams (bad pass; steal by D. Theis),,14,24
1,4:15.0,,Shooting foul by J. Green (drawn by G. Hayward),14,24
1,4:15.0,,G. Hayward misses free throw 1 of 2,14,24
1,4:15.0,,Offensive rebound by Team,14,24
1,4:15.0,T. Wallace enters the game for P. Beverley,,14,24
1,4:15.0,,J. Brown enters the game for M. Smart,14,24
1,4:15.0,,T. Rozier enters the game for J. Tatum,14,24
1,4:15.0,,G. Hayward makes free throw 2 of 2,14,25
1,4:03.0,L. Williams misses 2-pt jump shot from 15 ft,,14,25
1,4:01.0,,Defensive rebound by J. Brown,14,25
1,3:47.0,,T. Rozier misses 2-pt jump shot from 15 ft,14,25
1,3:44.0,,Offensive rebound by D. Theis,14,25
1,3:40.0,,J. Brown misses 3-pt jump shot from 27 ft,14,25
1,3:38.0,Defensive rebound by L. Williams,,14,25
1,3:21.0,M. Harrell misses 2-pt jump shot from 12 ft,,14,25
1,3:19.0,,Defensive rebound by J. Brown,14,25
1,3:13.0,,J. Brown misses 2-pt jump shot from 8 ft,14,25
1,3:11.0,,Offensive rebound by J. Brown,14,25
1,3:10.0,,J. Brown makes 2-pt layup from 2 ft,14,27
1,2:56.0,L. Williams misses 2-pt jump shot from 15 ft,,14,27
1,2:56.0,,Defensive rebound by T. Rozier,14,27
1,2:48.0,,J. Brown makes 2-pt layup from 3 ft (assist by T. Rozier),14,29
1,2:30.0,L. Shamet misses 3-pt jump shot from 24 ft,,14,29
1,2:28.0,Offensive rebound by M. Harrell,,14,29
1,2:27.0,M. Harrell makes 2-pt layup from 2 ft,,16,29
1,2:27.0,Shooting foul by G. Hayward (drawn by M. Harrell),,16,29
1,2:27.0,M. Harrell makes free throw 1 of 1,,17,29
1,2:20.0,,Personal foul by L. Shamet (drawn by K. Irving),17,29
1,2:20.0,,K. Irving makes free throw 1 of 2,17,30
1,2:20.0,,K. Irving makes free throw 2 of 2,17,31
1,2:07.0,M. Harrell misses 2-pt dunk from 7 ft,,17,31
1,2:05.0,,Defensive rebound by D. Theis,17,31
1,1:59.0,,G. Hayward misses 2-pt jump shot from 14 ft,17,31
1,1:56.0,Defensive rebound by J. Green,,17,31
1,1:53.0,Turnover by J. Green (bad pass; steal by T. Rozier),,17,31
1,1:49.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by T. Rozier),17,34
1,1:47.0,LA Clippers full timeout,,17,34
1,1:40.0,Shooting foul by J. Brown (drawn by L. Shamet),,17,34
1,1:40.0,L. Shamet makes free throw 1 of 3,,18,34
1,1:40.0,L. Shamet makes free throw 2 of 3,,19,34
1,1:40.0,L. Shamet misses free throw 3 of 3,,19,34
1,1:39.0,,Defensive rebound by D. Theis,19,34
1,1:28.0,,Personal foul by J. Green (drawn by G. Hayward),19,34
1,1:28.0,,G. Hayward makes free throw 1 of 2,19,35
1,1:28.0,,M. Morris enters the game for K. Irving,19,35
1,1:28.0,,G. Hayward makes free throw 2 of 2,19,36
1,1:11.0,T. Wallace misses 2-pt jump shot from 8 ft,,19,36
1,1:09.0,,Defensive rebound by Team,19,36
1,0:57.0,,Personal foul by L. Williams (drawn by J. Brown),19,36
1,0:57.0,,J. Brown misses free throw 1 of 2,19,36
1,0:57.0,,Offensive rebound by Team,19,36
1,0:57.0,,J. Brown makes free throw 2 of 2,19,37
1,0:42.0,Turnover by L. Williams (lost ball; steal by T. Rozier),,19,37
1,0:40.0,,T. Rozier makes 2-pt dunk from 2 ft,19,39
1,0:36.0,L. Williams misses 2-pt jump shot from 13 ft,,19,39
1,0:34.0,,Defensive rebound by D. Theis,19,39
1,0:26.0,,J. Brown misses 2-pt layup from 4 ft,19,39
1,0:25.0,,Offensive rebound by D. Theis,19,39
1,0:24.0,,D. Theis makes 2-pt layup from 1 ft,19,41
1,0:11.0,Personal foul by D. Theis (drawn by L. Williams),,19,41
1,0:11.0,L. Williams makes free throw 1 of 2,,20,41
1,0:11.0,S. Thornwell enters the game for L. Shamet,,20,41
1,0:11.0,L. Williams misses free throw 2 of 2,,20,41
1,0:11.0,,Defensive rebound by G. Hayward,20,41
1,0:05.0,,Personal foul by T. Wallace (drawn by G. Hayward),20,41
1,0:05.0,,G. Hayward makes free throw 1 of 2,20,42
1,0:05.0,J. Robinson enters the game for S. Thornwell,,20,42
1,0:05.0,L. Shamet enters the game for T. Wallace,,20,42
1,0:05.0,,M. Smart enters the game for D. Theis,20,42
1,0:05.0,,G. Hayward makes free throw 2 of 2,20,43
1,0:00.0,L. Williams misses 3-pt jump shot from 28 ft,,20,43
1,0:00.0,Offensive rebound by Team,,20,43
2,11:40.0,L. Shamet makes 2-pt jump shot from 19 ft (assist by M. Harrell),,22,43
2,11:29.0,,Personal foul by J. Robinson (drawn by M. Morris),22,43
2,11:23.0,,G. Hayward makes 2-pt jump shot from 18 ft,22,45
2,11:09.0,L. Williams misses 2-pt jump shot from 15 ft,,22,45
2,11:06.0,Offensive rebound by L. Shamet,,22,45
2,11:04.0,D. Gallinari makes 3-pt jump shot from 28 ft (assist by L. Shamet),,25,45
2,10:48.0,,J. Brown misses 3-pt jump shot from 27 ft,25,45
2,10:46.0,Defensive rebound by J. Robinson,,25,45
2,10:35.0,L. Williams makes 2-pt layup from 2 ft,,27,45
2,10:23.0,,J. Brown makes 2-pt hook shot from 4 ft (assist by A. Horford),27,47
2,10:08.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Shamet),,29,47
2,9:55.0,,A. Horford misses 3-pt jump shot from 26 ft,29,47
2,9:53.0,Defensive rebound by D. Gallinari,,29,47
2,9:42.0,M. Harrell makes 2-pt layup from 5 ft (assist by D. Gallinari),,31,47
2,9:41.0,,Boston full timeout,31,47
2,9:32.0,,Personal foul by J. Robinson (drawn by G. Hayward),31,47
2,9:30.0,,Personal foul by J. Robinson (drawn by G. Hayward),31,47
2,9:25.0,,A. Horford misses 2-pt jump shot from 19 ft,31,47
2,9:23.0,,Offensive rebound by J. Brown,31,47
2,9:19.0,,G. Hayward makes 2-pt layup from 5 ft (assist by J. Brown),31,49
2,9:05.0,L. Shamet misses 3-pt jump shot from 26 ft,,31,49
2,9:03.0,,Defensive rebound by A. Horford,31,49
2,8:58.0,,M. Morris makes 3-pt jump shot from 28 ft (assist by T. Rozier),31,52
2,8:49.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,33,52
2,8:33.0,,Personal foul by M. Harrell (drawn by A. Horford),33,52
2,8:33.0,P. Beverley enters the game for J. Robinson,,33,52
2,8:22.0,,M. Morris makes 2-pt jump shot from 12 ft,33,54
2,8:07.0,Turnover by D. Gallinari (lost ball; steal by M. Morris),,33,54
2,8:04.0,,Shooting foul by P. Beverley (drawn by T. Rozier),33,54
2,8:04.0,,T. Rozier makes free throw 1 of 2,33,55
2,8:04.0,,J. Tatum enters the game for G. Hayward,33,55
2,8:04.0,,T. Rozier makes free throw 2 of 2,33,56
2,7:50.0,D. Gallinari misses 3-pt jump shot from 26 ft,,33,56
2,7:48.0,,Defensive rebound by T. Rozier,33,56
2,7:43.0,,T. Rozier makes 3-pt jump shot from 25 ft,33,59
2,7:18.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. Beverley),,35,59
2,7:00.0,,A. Horford makes 2-pt jump shot from 8 ft,35,61
2,6:50.0,Personal foul by T. Rozier (drawn by L. Williams),,35,61
2,6:50.0,S. Gilgeous-Alexander enters the game for L. Williams,,35,61
2,6:38.0,Shooting foul by M. Morris (drawn by D. Gallinari),,35,61
2,6:38.0,,Technical foul by M. Morris,35,61
2,6:38.0,D. Gallinari makes technical free throw,,36,61
2,6:38.0,D. Gallinari makes free throw 1 of 2,,37,61
2,6:38.0,D. Gallinari makes free throw 2 of 2,,38,61
2,6:21.0,,T. Rozier misses 3-pt jump shot from 24 ft,38,61
2,6:19.0,Defensive rebound by D. Gallinari,,38,61
2,6:13.0,,Violation by Team (kicked ball),38,61
2,6:13.0,I. Zubac enters the game for M. Harrell,,38,61
2,6:13.0,,K. Irving enters the game for T. Rozier,38,61
2,6:03.0,P. Beverley misses 3-pt jump shot from 26 ft,,38,61
2,6:01.0,,Defensive rebound by M. Morris,38,61
2,5:52.0,,M. Morris makes 2-pt jump shot from 15 ft,38,63
2,5:39.0,L. Shamet misses 2-pt jump shot from 21 ft,,38,63
2,5:37.0,,Defensive rebound by J. Tatum,38,63
2,5:30.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by M. Morris),38,65
2,5:19.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,,40,65
2,5:08.0,,Personal foul by S. Gilgeous-Alexander (drawn by K. Irving),40,65
2,5:08.0,,K. Irving makes free throw 1 of 2,40,66
2,5:08.0,G. Temple enters the game for L. Shamet,,40,66
2,5:08.0,,R. Williams enters the game for A. Horford,40,66
2,5:08.0,,K. Irving makes free throw 2 of 2,40,67
2,4:54.0,Personal foul by R. Williams (drawn by S. Gilgeous-Alexander),,40,67
2,4:48.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,40,67
2,4:39.0,,Personal foul by P. Beverley (drawn by J. Tatum),40,67
2,4:39.0,,J. Tatum misses free throw 1 of 2,40,67
2,4:39.0,,Offensive rebound by Team,40,67
2,4:39.0,,M. Smart enters the game for M. Morris,40,67
2,4:39.0,,J. Tatum makes free throw 2 of 2,40,68
2,4:27.0,P. Beverley misses 2-pt layup from 4 ft,,40,68
2,4:25.0,,Defensive rebound by J. Tatum,40,68
2,4:20.0,,J. Tatum misses 2-pt layup from 3 ft,40,68
2,4:18.0,Defensive rebound by D. Gallinari,,40,68
2,4:13.0,Personal foul by J. Tatum (drawn by S. Gilgeous-Alexander),,40,68
2,4:08.0,G. Temple makes 3-pt jump shot from 27 ft (assist by P. Beverley),,43,68
2,3:46.0,,R. Williams misses 2-pt dunk from 3 ft,43,68
2,3:44.0,Defensive rebound by P. Beverley,,43,68
2,3:44.0,M. Harrell enters the game for D. Gallinari,,43,68
2,3:44.0,,G. Hayward enters the game for J. Brown,43,68
2,3:37.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),,45,68
2,3:27.0,,K. Irving misses 2-pt layup from 3 ft,45,68
2,3:27.0,Defensive rebound by M. Harrell,,45,68
2,3:17.0,Personal foul by J. Tatum (drawn by G. Temple),,45,68
2,3:17.0,G. Temple misses free throw 1 of 2,,45,68
2,3:17.0,Offensive rebound by Team,,45,68
2,3:17.0,,A. Horford enters the game for R. Williams,45,68
2,3:17.0,G. Temple makes free throw 2 of 2,,46,68
2,3:05.0,,G. Hayward misses 2-pt jump shot from 10 ft,46,68
2,3:01.0,Defensive rebound by I. Zubac,,46,68
2,2:54.0,I. Zubac makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,48,68
2,2:38.0,,J. Tatum misses 2-pt jump shot from 6 ft,48,68
2,2:37.0,Defensive rebound by I. Zubac,,48,68
2,2:31.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by A. Horford),,48,68
2,2:28.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Tatum),48,68
2,2:28.0,LA Clippers full timeout,,48,68
2,2:28.0,,T. Rozier enters the game for K. Irving,48,68
2,2:28.0,,J. Tatum misses free throw 1 of 2,48,68
2,2:28.0,,Offensive rebound by Team,48,68
2,2:28.0,,J. Tatum makes free throw 2 of 2,48,69
2,2:20.0,Personal foul by M. Smart (drawn by M. Harrell),,48,69
2,2:20.0,M. Harrell makes free throw 1 of 2,,49,69
2,2:20.0,M. Harrell makes free throw 2 of 2,,50,69
2,2:05.0,,Personal foul by P. Beverley (drawn by J. Tatum),50,69
2,2:05.0,,J. Tatum makes free throw 1 of 2,50,70
2,2:05.0,L. Williams enters the game for P. Beverley,,50,70
2,2:05.0,,J. Tatum makes free throw 2 of 2,50,71
2,1:45.0,G. Temple misses 2-pt jump shot from 17 ft,,50,71
2,1:43.0,,Defensive rebound by J. Tatum,50,71
2,1:34.0,,J. Tatum misses 2-pt layup from 2 ft (block by I. Zubac),50,71
2,1:32.0,Defensive rebound by I. Zubac,,50,71
2,1:24.0,L. Williams makes 2-pt layup from 4 ft,,52,71
2,1:12.0,,G. Hayward misses 2-pt layup from 7 ft (block by M. Harrell),52,71
2,1:10.0,Defensive rebound by M. Harrell,,52,71
2,0:48.0,G. Temple misses 3-pt jump shot from 24 ft,,52,71
2,0:47.0,,Defensive rebound by J. Tatum,52,71
2,0:32.0,,J. Tatum misses 2-pt layup from 3 ft,52,71
2,0:30.0,Defensive rebound by S. Gilgeous-Alexander,,52,71
2,0:26.0,Shooting foul by M. Smart (drawn by S. Gilgeous-Alexander),,52,71
2,0:26.0,S. Gilgeous-Alexander misses free throw 1 of 2,,52,71
2,0:26.0,Offensive rebound by Team,,52,71
2,0:26.0,S. Thornwell enters the game for L. Williams,,52,71
2,0:26.0,S. Gilgeous-Alexander makes free throw 2 of 2,,53,71
2,0:08.0,,T. Rozier makes 3-pt jump shot from 25 ft,53,74
2,0:02.0,I. Zubac misses 2-pt layup from 3 ft,,53,74
2,0:01.0,Offensive rebound by Team,,53,74
3,11:41.0,P. Beverley misses 2-pt layup from 1 ft,,53,74
3,11:39.0,,Defensive rebound by A. Horford,53,74
3,11:27.0,,M. Smart misses 2-pt layup from 3 ft (block by I. Zubac),53,74
3,11:25.0,,Offensive rebound by M. Smart,53,74
3,11:22.0,,M. Smart misses 3-pt jump shot from 23 ft,53,74
3,11:20.0,Defensive rebound by I. Zubac,,53,74
3,11:15.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft (assist by P. Beverley),,55,74
3,10:58.0,,A. Horford misses 2-pt jump shot from 19 ft,55,74
3,10:57.0,Defensive rebound by D. Gallinari,,55,74
3,10:39.0,I. Zubac misses 2-pt hook shot from 5 ft,,55,74
3,10:37.0,,Defensive rebound by M. Smart,55,74
3,10:29.0,,J. Tatum misses 2-pt jump shot from 14 ft,55,74
3,10:27.0,Defensive rebound by I. Zubac,,55,74
3,10:11.0,I. Zubac misses 2-pt layup from 6 ft (block by M. Morris),,55,74
3,10:09.0,,Defensive rebound by M. Smart,55,74
3,10:04.0,,M. Morris misses 3-pt jump shot from 26 ft,55,74
3,10:02.0,Defensive rebound by P. Beverley,,55,74
3,9:58.0,D. Gallinari makes 2-pt dunk from 2 ft (assist by P. Beverley),,57,74
3,9:58.0,,Boston full timeout,57,74
3,9:41.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Smart),57,76
3,9:25.0,Offensive foul by I. Zubac (drawn by M. Morris),,57,76
3,9:25.0,Turnover by I. Zubac (offensive foul),,57,76
3,9:08.0,,T. Rozier makes 2-pt jump shot from 7 ft (assist by M. Smart),57,78
3,8:42.0,G. Temple makes 2-pt jump shot from 20 ft,,59,78
3,8:29.0,,T. Rozier misses 3-pt jump shot from 22 ft,59,78
3,8:25.0,Defensive rebound by G. Temple,,59,78
3,8:15.0,P. Beverley makes 2-pt jump shot from 6 ft (assist by G. Temple),,61,78
3,7:54.0,,Shooting foul by I. Zubac (drawn by J. Tatum),61,78
3,7:54.0,,J. Tatum makes free throw 1 of 2,61,79
3,7:54.0,,J. Tatum makes free throw 2 of 2,61,80
3,7:38.0,Shooting foul by J. Tatum (drawn by D. Gallinari),,61,80
3,7:38.0,D. Gallinari makes free throw 1 of 2,,62,80
3,7:38.0,D. Gallinari makes free throw 2 of 2,,63,80
3,7:24.0,,M. Morris misses 2-pt layup from 3 ft,63,80
3,7:22.0,Defensive rebound by D. Gallinari,,63,80
3,7:08.0,P. Beverley misses 3-pt jump shot from 23 ft,,63,80
3,7:06.0,,Defensive rebound by T. Rozier,63,80
3,6:56.0,,A. Horford misses 3-pt jump shot from 23 ft,63,80
3,6:54.0,Defensive rebound by P. Beverley,,63,80
3,6:48.0,I. Zubac makes 2-pt dunk from 2 ft (assist by D. Gallinari),,65,80
3,6:28.0,,Offensive foul by J. Tatum (drawn by P. Beverley),65,80
3,6:28.0,,Turnover by J. Tatum (offensive foul),65,80
3,6:28.0,,G. Hayward enters the game for A. Horford,65,80
3,6:28.0,,D. Theis enters the game for J. Tatum,65,80
3,6:19.0,D. Gallinari misses 3-pt jump shot from 26 ft,,65,80
3,6:17.0,Offensive rebound by P. Beverley,,65,80
3,6:13.0,D. Gallinari makes 2-pt jump shot from 6 ft (assist by P. Beverley),,67,80
3,5:55.0,,Turnover by M. Smart (bad pass; steal by S. Gilgeous-Alexander),67,80
3,5:51.0,G. Temple makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,69,80
3,5:42.0,,Turnover by M. Smart (lost ball; steal by S. Gilgeous-Alexander),69,80
3,5:38.0,G. Temple misses 3-pt jump shot from 24 ft,,69,80
3,5:36.0,,Defensive rebound by G. Hayward,69,80
3,5:20.0,,M. Smart makes 2-pt layup from 2 ft (assist by G. Hayward),69,82
3,5:04.0,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by P. Beverley),,72,82
3,4:46.0,,M. Morris misses 2-pt jump shot from 16 ft,72,82
3,4:44.0,Defensive rebound by I. Zubac,,72,82
3,4:40.0,Shooting foul by G. Hayward (drawn by I. Zubac),,72,82
3,4:40.0,Offensive rebound by Team,,72,82
3,4:40.0,I. Zubac misses free throw 1 of 2,,72,82
3,4:40.0,I. Zubac makes free throw 2 of 2,,73,82
3,4:29.0,,Personal foul by P. Beverley (drawn by G. Hayward),73,82
3,4:29.0,LA Clippers full timeout,,73,82
3,4:29.0,J. Green enters the game for D. Gallinari,,73,82
3,4:29.0,L. Williams enters the game for G. Temple,,73,82
3,4:29.0,,J. Brown enters the game for M. Smart,73,82
3,4:17.0,,T. Rozier makes 2-pt jump shot from 12 ft,73,84
3,3:59.0,I. Zubac makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,75,84
3,3:49.0,,T. Rozier misses 2-pt layup from 5 ft,75,84
3,3:49.0,,Offensive rebound by M. Morris,75,84
3,3:45.0,,M. Morris misses 2-pt layup at rim,75,84
3,3:44.0,Defensive rebound by S. Gilgeous-Alexander,,75,84
3,3:42.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,75,84
3,3:39.0,,Defensive rebound by M. Morris,75,84
3,3:34.0,,G. Hayward misses 2-pt jump shot from 5 ft,75,84
3,3:31.0,Defensive rebound by P. Beverley,,75,84
3,3:22.0,L. Williams misses 2-pt jump shot from 20 ft,,75,84
3,3:20.0,,Defensive rebound by G. Hayward,75,84
3,3:01.0,,J. Brown misses 2-pt layup from 3 ft,75,84
3,3:00.0,Defensive rebound by I. Zubac,,75,84
3,2:55.0,Turnover by S. Gilgeous-Alexander (step out of bounds),,75,84
3,2:55.0,M. Harrell enters the game for S. Gilgeous-Alexander,,75,84
3,2:55.0,L. Shamet enters the game for I. Zubac,,75,84
3,2:40.0,,Turnover by T. Rozier (lost ball; steal by P. Beverley),75,84
3,2:37.0,Turnover by P. Beverley (bad pass; steal by J. Brown),,75,84
3,2:26.0,,J. Brown misses 3-pt jump shot from 27 ft,75,84
3,2:24.0,Defensive rebound by J. Green,,75,84
3,2:21.0,Shooting foul by J. Brown (drawn by M. Harrell),,75,84
3,2:21.0,M. Harrell makes free throw 1 of 2,,76,84
3,2:21.0,J. Robinson enters the game for P. Beverley,,76,84
3,2:21.0,,A. Horford enters the game for M. Morris,76,84
3,2:21.0,M. Harrell misses free throw 2 of 2,,76,84
3,2:21.0,,Defensive rebound by A. Horford,76,84
3,2:07.0,,Personal foul by J. Robinson (drawn by G. Hayward),76,84
3,2:02.0,,Shooting foul by J. Green (drawn by J. Brown),76,84
3,2:02.0,,J. Brown makes free throw 1 of 2,76,85
3,2:02.0,,J. Brown makes free throw 2 of 2,76,86
3,1:42.0,L. Williams makes 3-pt jump shot from 25 ft,,79,86
3,1:19.0,,G. Hayward misses 3-pt jump shot from 26 ft,79,86
3,1:17.0,Defensive rebound by L. Shamet,,79,86
3,1:01.0,L. Williams misses 3-pt jump shot from 28 ft,,79,86
3,0:59.0,,Defensive rebound by G. Hayward,79,86
3,0:52.0,,J. Brown misses 2-pt jump shot from 12 ft,79,86
3,0:50.0,Defensive rebound by M. Harrell,,79,86
3,0:35.0,M. Harrell makes 2-pt hook shot from 6 ft,,81,86
3,0:26.0,,A. Horford misses 3-pt jump shot from 28 ft,81,86
3,0:23.0,Defensive rebound by J. Green,,81,86
3,0:07.0,L. Williams misses 3-pt jump shot from 26 ft,,81,86
3,0:04.0,,Defensive rebound by T. Rozier,81,86
3,0:01.0,,T. Rozier misses 3-pt jump shot from 32 ft,81,86
3,0:00.0,,Offensive rebound by Team,81,86
4,11:49.0,,Shooting foul by L. Shamet (drawn by J. Brown),81,86
4,11:49.0,,J. Brown makes free throw 1 of 2,81,87
4,11:49.0,,J. Brown misses free throw 2 of 2,81,87
4,11:49.0,Defensive rebound by J. Green,,81,87
4,11:36.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by L. Williams),,84,87
4,11:21.0,,J. Brown misses 3-pt jump shot from 27 ft,84,87
4,11:17.0,Defensive rebound by L. Williams,,84,87
4,11:11.0,J. Robinson misses 3-pt jump shot from 25 ft,,84,87
4,11:09.0,,Defensive rebound by M. Morris,84,87
4,11:04.0,,Personal foul by J. Green (drawn by A. Horford),84,87
4,10:58.0,,Offensive foul by G. Hayward (drawn by L. Shamet),84,87
4,10:58.0,,Turnover by G. Hayward (offensive foul),84,87
4,10:43.0,M. Harrell misses 2-pt layup from 3 ft,,84,87
4,10:41.0,Offensive rebound by Team,,84,87
4,10:39.0,Turnover by J. Robinson (bad pass; steal by G. Hayward),,84,87
4,10:36.0,,J. Brown makes 2-pt layup from 2 ft (assist by G. Hayward),84,89
4,10:20.0,L. Williams misses 2-pt layup from 3 ft,,84,89
4,10:18.0,,Defensive rebound by G. Hayward,84,89
4,10:14.0,,B. Wanamaker makes 2-pt layup from 1 ft (assist by J. Brown),84,91
4,10:14.0,LA Clippers full timeout,,84,91
4,10:14.0,S. Gilgeous-Alexander enters the game for J. Robinson,,84,91
4,10:07.0,Offensive foul by M. Harrell (drawn by B. Wanamaker),,84,91
4,10:07.0,Turnover by M. Harrell (offensive foul),,84,91
4,9:59.0,,Offensive foul by G. Hayward (drawn by M. Harrell),84,91
4,9:59.0,,Turnover by G. Hayward (offensive foul),84,91
4,9:52.0,Shooting foul by B. Wanamaker (drawn by L. Williams),,84,91
4,9:52.0,Offensive rebound by Team,,84,91
4,9:52.0,L. Williams misses free throw 1 of 3,,84,91
4,9:52.0,L. Williams makes free throw 2 of 3,,85,91
4,9:52.0,L. Williams makes free throw 3 of 3,,86,91
