QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
1,6:02.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by D. Davis),21,23
1,6:02.0,Philadelphia full timeout,,21,23
1,6:02.0,T. McConnell enters the game for J. Redick,,21,23
1,6:02.0,M. Scott enters the game for B. Simmons,,21,23
1,5:48.0,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Marjanović),,24,23
1,5:28.0,,J. Collins misses 2-pt jump shot from 16 ft,24,23
1,5:23.0,Defensive rebound by J. Butler,,24,23
1,5:16.0,M. Scott misses 3-pt jump shot from 25 ft,,24,23
1,5:11.0,,Defensive rebound by D. Davis,24,23
1,5:05.0,,K. Huerter makes 2-pt jump shot from 15 ft (assist by D. Davis),24,25
1,4:46.0,T. Harris makes 2-pt dunk from 1 ft (assist by B. Marjanović),,26,25
1,4:31.0,,T. Young makes 2-pt layup from 1 ft,26,27
1,4:14.0,J. Butler misses 2-pt layup from 3 ft,,26,27
1,4:11.0,Offensive rebound by B. Marjanović,,26,27
1,4:11.0,B. Marjanović makes 2-pt layup from 1 ft,,28,27
1,4:05.0,,K. Huerter makes 2-pt layup from 1 ft (assist by T. Young),28,29
1,3:47.0,J. Butler misses 2-pt jump shot from 2 ft,,28,29
1,3:43.0,,Defensive rebound by J. Collins,28,29
1,3:41.0,,Shooting foul by T. Harris (drawn by T. Young),28,29
1,3:41.0,,T. Young makes free throw 1 of 2,28,30
1,3:41.0,,K. Bazemore enters the game for D. Davis,28,30
1,3:41.0,,A. Len enters the game for T. Prince,28,30
1,3:41.0,,T. Young makes free throw 2 of 2,28,31
1,3:21.0,J. Butler makes 2-pt layup from 1 ft,,30,31
1,3:11.0,,A. Len misses 3-pt jump shot from 26 ft,30,31
1,3:07.0,Defensive rebound by T. McConnell,,30,31
1,3:01.0,B. Marjanović misses 2-pt hook shot from 8 ft,,30,31
1,2:56.0,Offensive rebound by T. Harris,,30,31
1,2:56.0,T. Harris makes 2-pt layup at rim,,32,31
1,2:49.0,,K. Bazemore makes 2-pt jump shot from 14 ft (assist by T. Young),32,33
1,2:29.0,T. McConnell makes 2-pt jump shot from 17 ft (assist by B. Marjanović),,34,33
1,2:16.0,,Shooting foul by M. Scott (drawn by J. Collins),34,33
1,2:16.0,,Atlanta full timeout,34,33
1,2:16.0,J. Bolden enters the game for J. Butler,,34,33
1,2:16.0,J. Ennis enters the game for T. Harris,,34,33
1,2:16.0,J. Redick enters the game for B. Marjanović,,34,33
1,2:16.0,B. Simmons enters the game for T. McConnell,,34,33
1,2:16.0,,J. Adams enters the game for K. Huerter,34,33
1,2:16.0,,D. Bembry enters the game for T. Young,34,33
1,2:16.0,,J. Collins makes free throw 1 of 2,34,34
1,2:16.0,,J. Collins makes free throw 2 of 2,34,35
1,2:05.0,B. Simmons misses 2-pt layup from 1 ft,,34,35
1,2:04.0,Offensive rebound by J. Bolden,,34,35
1,2:04.0,Personal foul by J. Adams (drawn by J. Bolden),,34,35
1,2:04.0,,J. Anderson enters the game for J. Collins,34,35
1,1:58.0,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Ennis),,36,35
1,1:47.0,,Shooting foul by M. Scott (drawn by A. Len),36,35
1,1:47.0,,A. Len makes free throw 1 of 2,36,36
1,1:47.0,,A. Len misses free throw 2 of 2,36,36
1,1:44.0,Defensive rebound by M. Scott,,36,36
1,1:33.0,J. Redick makes 2-pt jump shot from 9 ft (assist by J. Ennis),,38,36
1,1:20.0,,D. Bembry makes 2-pt layup from 3 ft,38,38
1,1:20.0,,Shooting foul by B. Simmons (drawn by D. Bembry),38,38
1,1:20.0,,D. Bembry makes free throw 1 of 1,38,39
1,1:11.0,Personal foul by D. Bembry (drawn by B. Simmons),,38,39
1,1:11.0,B. Simmons misses free throw 1 of 2,,38,39
1,1:11.0,Offensive rebound by Team,,38,39
1,1:11.0,B. Simmons misses free throw 2 of 2,,38,39
1,1:08.0,Offensive rebound by M. Scott,,38,39
1,0:59.0,Turnover by J. Bolden (bad pass),,38,39
1,0:48.0,,A. Len makes 3-pt jump shot from 25 ft (assist by D. Bembry),38,42
1,0:41.0,J. Redick misses 2-pt jump shot from 23 ft,,38,42
1,0:38.0,,Defensive rebound by A. Len,38,42
1,0:25.0,,Turnover by K. Bazemore (bad pass; steal by B. Simmons),38,42
1,0:21.0,J. Ennis misses 2-pt layup from 1 ft,,38,42
1,0:18.0,Offensive rebound by B. Simmons,,38,42
1,0:09.0,M. Scott misses 2-pt jump shot from 21 ft,,38,42
1,0:06.0,,Defensive rebound by A. Len,38,42
1,0:01.0,,J. Adams misses 2-pt jump shot from 11 ft,38,42
1,0:00.0,,Offensive rebound by Team,38,42
2,11:40.0,Violation by Team (kicked ball),,38,42
2,11:36.0,,Shooting foul by T. Harris (drawn by J. Anderson),38,42
2,11:36.0,,J. Anderson misses free throw 1 of 3,38,42
2,11:36.0,,Offensive rebound by Team,38,42
2,11:36.0,,J. Anderson makes free throw 2 of 3,38,43
2,11:36.0,,J. Anderson makes free throw 3 of 3,38,44
2,11:20.0,J. Ennis makes 3-pt jump shot from 22 ft (assist by J. Redick),,41,44
2,11:05.0,,K. Bazemore makes 2-pt layup from 1 ft,41,46
2,11:01.0,Offensive foul by J. Ennis (drawn by J. Anderson),,41,46
2,11:01.0,Turnover by J. Ennis (offensive foul),,41,46
2,10:38.0,,D. Bembry makes 2-pt layup from 8 ft,41,48
2,10:28.0,B. Simmons misses 2-pt layup from 1 ft (block by J. Anderson),,41,48
2,10:24.0,,Defensive rebound by D. Bembry,41,48
2,10:22.0,,J. Adams makes 2-pt layup from 1 ft (assist by D. Bembry),41,50
2,10:22.0,Philadelphia full timeout,,41,50
2,10:06.0,T. Harris makes 3-pt jump shot from 25 ft (assist by J. Bolden),,44,50
2,9:47.0,,D. Bembry misses 2-pt layup from 1 ft (block by J. Ennis),44,50
2,9:46.0,Defensive rebound by Team,,44,50
2,9:32.0,Shooting foul by I. Humphries (drawn by J. Redick),,44,50
2,9:32.0,Offensive rebound by Team,,44,50
2,9:32.0,J. Redick misses free throw 1 of 3,,44,50
2,9:32.0,J. Redick makes free throw 2 of 3,,45,50
2,9:32.0,J. Redick misses free throw 3 of 3,,45,50
2,9:29.0,,Defensive rebound by J. Anderson,45,50
2,9:08.0,,I. Humphries misses 2-pt dunk from 2 ft (block by B. Simmons),45,50
2,9:02.0,Defensive rebound by B. Simmons,,45,50
2,9:00.0,B. Simmons misses 2-pt layup from 3 ft,,45,50
2,8:59.0,Offensive rebound by J. Bolden,,45,50
2,8:59.0,J. Bolden makes 2-pt layup at rim,,47,50
2,8:54.0,Violation by Team (delay of game),,47,50
2,8:41.0,,Turnover by D. Bembry (lost ball; steal by B. Simmons),47,50
2,8:40.0,Shooting foul by K. Bazemore (drawn by T. Harris),,47,50
2,8:40.0,T. Harris makes free throw 1 of 2,,48,50
2,8:40.0,,J. Collins enters the game for I. Humphries,48,50
2,8:40.0,T. Harris makes free throw 2 of 2,,49,50
2,8:25.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by J. Adams),49,53
2,8:11.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,52,53
2,7:56.0,,D. Bembry misses 3-pt jump shot from 26 ft,52,53
2,7:54.0,Defensive rebound by J. Redick,,52,53
2,7:49.0,Turnover by B. Simmons (lost ball; steal by K. Bazemore),,52,53
2,7:43.0,,J. Anderson makes 2-pt dunk from 1 ft (assist by K. Bazemore),52,55
2,7:28.0,T. Harris misses 2-pt layup from 3 ft,,52,55
2,7:28.0,Offensive rebound by J. Bolden,,52,55
2,7:26.0,J. Bolden makes 2-pt dunk at rim,,54,55
2,7:26.0,,Atlanta full timeout,54,55
2,7:26.0,J. Butler enters the game for J. Ennis,,54,55
2,7:26.0,T. McConnell enters the game for J. Redick,,54,55
2,7:26.0,M. Scott enters the game for B. Simmons,,54,55
2,7:26.0,,A. Len enters the game for J. Anderson,54,55
2,7:26.0,,T. Prince enters the game for D. Bembry,54,55
2,7:10.0,,J. Collins misses 2-pt layup from 1 ft (block by J. Bolden),54,55
2,7:09.0,,Offensive rebound by J. Collins,54,55
2,7:09.0,,Shooting foul by J. Bolden (drawn by J. Collins),54,55
2,7:09.0,,J. Collins misses free throw 1 of 2,54,55
2,7:09.0,,Offensive rebound by Team,54,55
2,7:09.0,,K. Huerter enters the game for J. Adams,54,55
2,7:09.0,,T. Young enters the game for K. Bazemore,54,55
2,7:09.0,,J. Collins makes free throw 2 of 2,54,56
2,7:00.0,Personal foul by K. Huerter (drawn by J. Butler),,54,56
2,7:00.0,B. Marjanović enters the game for J. Bolden,,54,56
2,6:46.0,M. Scott misses 3-pt jump shot from 23 ft,,54,56
2,6:44.0,,Defensive rebound by T. Young,54,56
2,6:38.0,,J. Collins makes 2-pt layup at rim (assist by T. Young),54,58
2,6:23.0,T. Harris misses 2-pt jump shot from 10 ft,,54,58
2,6:20.0,,Defensive rebound by T. Prince,54,58
2,6:15.0,,T. Young misses 3-pt jump shot from 25 ft,54,58
2,6:15.0,Defensive rebound by B. Marjanović,,54,58
2,6:04.0,T. McConnell makes 2-pt jump shot from 10 ft,,56,58
2,5:38.0,,Offensive foul by A. Len (drawn by T. McConnell),56,58
2,5:38.0,,Turnover by A. Len (offensive foul),56,58
2,5:38.0,,D. Davis enters the game for A. Len,56,58
2,5:21.0,Shooting foul by K. Huerter (drawn by J. Butler),,56,58
2,5:21.0,J. Butler makes free throw 1 of 2,,57,58
2,5:21.0,J. Butler makes free throw 2 of 2,,58,58
2,5:07.0,,K. Huerter misses 2-pt jump shot from 14 ft,58,58
2,5:04.0,Defensive rebound by J. Butler,,58,58
2,4:57.0,M. Scott misses 3-pt jump shot from 22 ft,,58,58
2,4:53.0,,Defensive rebound by K. Huerter,58,58
2,4:47.0,,T. Prince misses 3-pt jump shot from 24 ft,58,58
2,4:44.0,Defensive rebound by B. Marjanović,,58,58
2,4:38.0,Offensive foul by B. Marjanović (drawn by T. Prince),,58,58
2,4:38.0,Turnover by B. Marjanović (offensive foul),,58,58
2,4:28.0,,J. Collins misses 2-pt jump shot from 10 ft,58,58
2,4:25.0,Defensive rebound by T. Harris,,58,58
2,4:19.0,T. McConnell misses 2-pt jump shot from 12 ft,,58,58
2,4:14.0,,Defensive rebound by T. Prince,58,58
2,4:07.0,,T. Young misses 2-pt layup from 8 ft,58,58
2,4:04.0,Defensive rebound by T. McConnell,,58,58
2,4:01.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. McConnell),,60,58
2,4:00.0,,Atlanta full timeout,60,58
2,4:00.0,J. Redick enters the game for T. Harris,,60,58
2,4:00.0,B. Simmons enters the game for T. McConnell,,60,58
2,3:53.0,,K. Huerter misses 2-pt jump shot from 8 ft,60,58
2,3:48.0,,Offensive rebound by K. Huerter,60,58
2,3:47.0,,K. Huerter misses 2-pt layup from 2 ft,60,58
2,3:47.0,,Offensive rebound by K. Huerter,60,58
2,3:46.0,,K. Huerter misses 2-pt jump shot at rim,60,58
2,3:45.0,Defensive rebound by B. Marjanović,,60,58
2,3:39.0,J. Butler makes 3-pt jump shot from 23 ft,,63,58
2,3:28.0,,J. Collins misses 3-pt jump shot from 26 ft,63,58
2,3:24.0,Defensive rebound by B. Simmons,,63,58
2,3:07.0,M. Scott makes 2-pt jump shot from 13 ft,,65,58
2,2:53.0,,T. Prince misses 3-pt jump shot from 24 ft,65,58
2,2:50.0,,Offensive rebound by D. Davis,65,58
2,2:46.0,,Shooting foul by B. Simmons (drawn by T. Prince),65,58
2,2:46.0,,T. Prince makes free throw 1 of 2,65,59
2,2:46.0,,T. Prince makes free throw 2 of 2,65,60
2,2:38.0,Personal foul by J. Collins (drawn by J. Butler),,65,60
2,2:38.0,J. Butler misses free throw 1 of 2,,65,60
2,2:38.0,Offensive rebound by Team,,65,60
2,2:38.0,J. Butler makes free throw 2 of 2,,66,60
2,2:20.0,,T. Prince makes 2-pt layup from 2 ft (assist by K. Huerter),66,62
2,2:20.0,,Shooting foul by B. Simmons (drawn by T. Prince),66,62
2,2:20.0,T. McConnell enters the game for B. Simmons,,66,62
2,2:20.0,,T. Prince misses free throw 1 of 1,66,62
2,2:18.0,Defensive rebound by B. Marjanović,,66,62
2,2:06.0,J. Redick makes 2-pt layup from 2 ft (assist by B. Marjanović),,68,62
2,1:44.0,,T. Prince misses 3-pt jump shot from 23 ft,68,62
2,1:41.0,,Offensive rebound by T. Young,68,62
2,1:39.0,,T. Young makes 2-pt jump shot from 19 ft,68,64
2,1:21.0,J. Redick misses 2-pt jump shot from 19 ft,,68,64
2,1:16.0,,Defensive rebound by K. Huerter,68,64
2,1:10.0,,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),68,67
2,0:45.0,Turnover by T. McConnell (bad pass; steal by J. Collins),,68,67
2,0:41.0,,T. Young makes 3-pt jump shot from 29 ft,68,70
2,0:40.0,Philadelphia full timeout,,68,70
2,0:40.0,J. Bolden enters the game for B. Marjanović,,68,70
2,0:29.0,J. Redick misses 3-pt jump shot from 25 ft,,68,70
2,0:25.0,Offensive rebound by J. Bolden,,68,70
2,0:12.0,J. Redick misses 3-pt jump shot from 23 ft,,68,70
2,0:09.0,,Defensive rebound by T. Young,68,70
2,0:06.0,,T. Young makes 2-pt layup from 1 ft,68,72
3,11:48.0,,A. Len misses 3-pt jump shot from 25 ft,68,72
3,11:45.0,Defensive rebound by J. Butler,,68,72
3,11:33.0,J. Bolden misses 3-pt jump shot from 24 ft,,68,72
3,11:30.0,Offensive rebound by J. Bolden,,68,72
3,11:28.0,J. Bolden makes 2-pt jump shot from 1 ft,,70,72
3,11:15.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),70,74
3,11:06.0,J. Bolden makes 2-pt dunk at rim (assist by B. Simmons),,72,74
3,10:49.0,,T. Prince misses 3-pt jump shot from 23 ft,72,74
3,10:46.0,Defensive rebound by J. Butler,,72,74
3,10:34.0,Shooting foul by A. Len (drawn by J. Butler),,72,74
3,10:34.0,J. Butler makes free throw 1 of 2,,73,74
3,10:34.0,J. Butler misses free throw 2 of 2,,73,74
3,10:31.0,,Defensive rebound by T. Prince,73,74
3,10:16.0,,Turnover by J. Collins (lost ball; steal by J. Bolden),73,74
3,10:11.0,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Butler),,76,74
3,9:59.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),76,76
3,9:45.0,J. Redick misses 3-pt jump shot from 25 ft,,76,76
3,9:43.0,,Defensive rebound by A. Len,76,76
3,9:27.0,,Turnover by J. Collins (lost ball; steal by J. Butler),76,76
3,9:22.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. Harris),,78,76
3,9:22.0,,Atlanta full timeout,78,76
3,9:08.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),78,78
3,8:57.0,B. Simmons misses 2-pt jump shot from 7 ft,,78,78
3,8:54.0,,Defensive rebound by J. Collins,78,78
3,8:50.0,,T. Young makes 2-pt layup from 2 ft,78,80
3,8:50.0,,Shooting foul by T. Harris (drawn by T. Young),78,80
3,8:50.0,,J. Anderson enters the game for A. Len,78,80
3,8:50.0,,T. Young makes free throw 1 of 1,78,81
3,8:34.0,J. Butler misses 3-pt jump shot from 25 ft,,78,81
3,8:30.0,,Defensive rebound by J. Collins,78,81
3,8:27.0,,J. Anderson misses 3-pt jump shot from 23 ft,78,81
3,8:23.0,Defensive rebound by B. Simmons,,78,81
3,8:19.0,J. Redick misses 3-pt jump shot from 25 ft,,78,81
3,8:12.0,Offensive rebound by B. Simmons,,78,81
3,8:08.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,81,81
3,7:51.0,,J. Collins misses 3-pt jump shot from 24 ft,81,81
3,7:48.0,Defensive rebound by J. Bolden,,81,81
3,7:43.0,B. Simmons misses 2-pt dunk from 1 ft,,81,81
3,7:40.0,Offensive rebound by J. Bolden,,81,81
3,7:29.0,J. Butler makes 2-pt layup at rim,,83,81
3,7:11.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Prince),83,83
3,6:59.0,Personal foul by T. Young (drawn by J. Redick),,83,83
3,6:59.0,T. McConnell enters the game for J. Redick,,83,83
3,6:59.0,M. Scott enters the game for B. Simmons,,83,83
3,6:59.0,,K. Bazemore enters the game for K. Huerter,83,83
3,6:48.0,Shooting foul by K. Bazemore (drawn by J. Butler),,83,83
3,6:48.0,J. Butler makes free throw 1 of 2,,84,83
3,6:48.0,J. Butler misses free throw 2 of 2,,84,83
3,6:46.0,,Defensive rebound by J. Anderson,84,83
3,6:38.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),84,85
3,6:38.0,Philadelphia full timeout,,84,85
3,6:38.0,,D. Bembry enters the game for T. Prince,84,85
3,6:18.0,T. McConnell makes 2-pt jump shot from 12 ft (assist by T. Harris),,86,85
3,6:05.0,,J. Collins makes 2-pt dunk from 14 ft (assist by T. Young),86,87
3,5:51.0,J. Bolden misses 3-pt jump shot from 25 ft,,86,87
3,5:49.0,Offensive rebound by T. McConnell,,86,87
3,5:45.0,J. Bolden makes 2-pt layup from 2 ft (assist by T. McConnell),,88,87
3,5:27.0,,T. Young makes 2-pt layup from 1 ft,88,89
3,5:15.0,Turnover by T. McConnell (step out of bounds),,88,89
3,5:01.0,,T. Young makes 2-pt jump shot from 12 ft (assist by J. Collins),88,91
3,4:39.0,Turnover by T. Harris (lost ball; steal by T. Young),,88,91
3,4:38.0,,Personal take foul by T. McConnell (drawn by T. Young),88,91
3,4:38.0,J. Ennis enters the game for T. Harris,,88,91
3,4:30.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),88,93
3,4:05.0,M. Scott misses 3-pt jump shot from 25 ft,,88,93
3,4:00.0,,Defensive rebound by T. Young,88,93
3,3:56.0,,K. Bazemore misses 3-pt jump shot from 24 ft,88,93
3,3:53.0,Defensive rebound by J. Bolden,,88,93
3,3:48.0,Offensive foul by J. Bolden (drawn by T. Young),,88,93
3,3:48.0,Turnover by J. Bolden (offensive foul),,88,93
3,3:48.0,B. Simmons enters the game for T. McConnell,,88,93
3,3:48.0,,J. Adams enters the game for J. Collins,88,93
3,3:48.0,,D. Davis enters the game for T. Young,88,93
3,3:33.0,,Turnover by J. Anderson (lost ball; steal by B. Simmons),88,93
3,3:29.0,J. Ennis misses 2-pt layup from 1 ft (block by J. Anderson),,88,93
3,3:25.0,Offensive rebound by J. Butler,,88,93
3,3:20.0,Personal foul by J. Anderson (drawn by B. Simmons),,88,93
3,3:20.0,B. Marjanović enters the game for J. Bolden,,88,93
3,3:20.0,J. Redick enters the game for J. Butler,,88,93
3,3:19.0,Turnover by J. Ennis (bad pass),,88,93
3,3:07.0,,J. Anderson misses 2-pt layup from 1 ft,88,93
3,3:04.0,Defensive rebound by J. Ennis,,88,93
3,2:50.0,J. Redick misses 2-pt jump shot from 21 ft,,88,93
3,2:45.0,,Defensive rebound by K. Bazemore,88,93
3,2:41.0,,J. Anderson makes 3-pt jump shot from 25 ft (assist by D. Bembry),88,96
3,2:19.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),,90,96
3,2:05.0,,D. Bembry misses 3-pt jump shot from 23 ft,90,96
3,2:03.0,,Offensive rebound by J. Anderson,90,96
3,2:03.0,,Personal foul by M. Scott (drawn by J. Anderson),90,96
3,1:56.0,,J. Adams misses 2-pt jump shot from 13 ft (block by J. Ennis),90,96
3,1:53.0,,Offensive rebound by J. Adams,90,96
3,1:50.0,,J. Adams misses 3-pt jump shot from 24 ft,90,96
3,1:45.0,Defensive rebound by B. Simmons,,90,96
3,1:40.0,M. Scott makes 2-pt layup from 2 ft (assist by B. Simmons),,92,96
3,1:39.0,,Atlanta full timeout,92,96
3,1:39.0,,I. Humphries enters the game for J. Anderson,92,96
3,1:28.0,,Turnover by J. Adams (bad pass; steal by B. Marjanović),92,96
3,1:25.0,Shooting foul by K. Bazemore (drawn by B. Simmons),,92,96
3,1:25.0,B. Simmons misses free throw 1 of 2,,92,96
3,1:25.0,Offensive rebound by Team,,92,96
3,1:25.0,B. Simmons misses free throw 2 of 2,,92,96
3,1:22.0,,Defensive rebound by D. Bembry,92,96
3,1:11.0,,D. Bembry makes 2-pt jump shot from 2 ft,92,98
3,0:53.0,J. Redick misses 3-pt jump shot from 26 ft,,92,98
3,0:51.0,,Defensive rebound by D. Bembry,92,98
3,0:45.0,,D. Davis misses 2-pt layup from 2 ft,92,98
3,0:41.0,Defensive rebound by B. Simmons,,92,98
3,0:35.0,B. Marjanović misses 2-pt layup from 1 ft (block by D. Davis),,92,98
3,0:32.0,,Defensive rebound by D. Bembry,92,98
3,0:25.0,,I. Humphries misses 3-pt jump shot from 23 ft,92,98
3,0:21.0,Defensive rebound by B. Simmons,,92,98
3,0:17.0,J. Redick misses 3-pt jump shot from 24 ft,,92,98
3,0:17.0,Offensive rebound by J. Redick,,92,98
3,0:14.0,J. Redick makes 2-pt layup from 1 ft,,94,98
3,0:06.0,,Personal take foul by J. Ennis (drawn by J. Adams),94,98
4,11:53.0,M. Scott makes 2-pt layup from 1 ft (assist by B. Simmons),,96,98
4,11:47.0,,Personal take foul by J. Ennis (drawn by J. Adams),96,98
4,11:47.0,T. Harris enters the game for J. Ennis,,96,98
4,11:32.0,,T. Prince makes 2-pt layup from 1 ft (assist by K. Bazemore),96,100
4,11:10.0,J. Redick misses 2-pt jump shot from 16 ft,,96,100
4,11:05.0,,Defensive rebound by J. Adams,96,100
4,11:03.0,,Offensive foul by K. Bazemore (drawn by J. Redick),96,100
4,11:03.0,,Turnover by K. Bazemore (offensive foul),96,100
4,10:52.0,Turnover by B. Simmons (bad pass; steal by J. Adams),,96,100
4,10:46.0,,T. Prince misses 2-pt dunk from 1 ft,96,100
4,10:43.0,,Offensive rebound by K. Bazemore,96,100
4,10:40.0,,A. Len makes 3-pt jump shot from 25 ft (assist by D. Bembry),96,103
4,10:11.0,Turnover by T. Harris (lost ball; steal by D. Bembry),,96,103
4,10:07.0,,Shooting foul by B. Simmons (drawn by D. Bembry),96,103
4,10:07.0,,D. Bembry makes free throw 1 of 2,96,104
4,10:07.0,,D. Bembry makes free throw 2 of 2,96,105
4,10:07.0,T. Harris makes 2-pt jump shot from 17 ft (assist by A. Johnson),,98,105
4,9:37.0,,K. Bazemore misses 3-pt jump shot from 26 ft,98,105
4,9:35.0,Defensive rebound by Team,,98,105
4,9:10.0,B. Simmons makes 2-pt layup from 1 ft,,100,105
4,9:04.0,,Turnover by D. Bembry (lost ball; steal by B. Simmons),100,105
4,8:56.0,B. Simmons misses 2-pt layup from 4 ft (block by A. Len),,100,105
4,8:52.0,,Defensive rebound by D. Bembry,100,105
4,8:45.0,,D. Bembry makes 2-pt layup from 1 ft,100,107
4,8:28.0,J. Redick misses 2-pt jump shot from 17 ft,,100,107
4,8:24.0,Offensive rebound by T. Harris,,100,107
4,8:21.0,T. Harris misses 2-pt jump shot from 12 ft,,100,107
4,8:18.0,Offensive rebound by A. Johnson,,100,107
4,8:18.0,A. Johnson makes 2-pt dunk from 1 ft,,102,107
4,8:05.0,,D. Bembry makes 2-pt jump shot from 13 ft,102,109
4,7:46.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Redick),,104,109
4,7:44.0,Technical foul by B. Simmons,,104,109
4,7:44.0,,T. Prince makes technical free throw,104,110
4,7:44.0,J. Butler enters the game for J. Redick,,104,110
4,7:44.0,T. McConnell enters the game for B. Simmons,,104,110
4,7:44.0,,J. Anderson enters the game for J. Adams,104,110
4,7:44.0,,J. Collins enters the game for K. Bazemore,104,110
4,7:44.0,,K. Huerter enters the game for D. Bembry,104,110
4,7:44.0,,T. Young enters the game for A. Len,104,110
4,7:31.0,,T. Young makes 2-pt jump shot from 11 ft,104,112
4,7:14.0,J. Butler misses 2-pt jump shot from 10 ft,,104,112
