QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
2,4:47.0,Turnover by J. Allen (out of bounds lost ball),,26,38
2,4:37.0,,Turnover by J. Wall (bad pass; steal by R. Hollis-Jefferson),26,38
2,4:30.0,S. Napier misses 3-pt jump shot from 25 ft,,26,38
2,4:28.0,,Defensive rebound by O. Porter,26,38
2,4:12.0,,J. Wall misses 2-pt dunk from 3 ft,26,38
2,4:12.0,Defensive rebound by Team,,26,38
2,4:02.0,Offensive foul by J. Allen (drawn by O. Porter),,26,38
2,4:02.0,Turnover by J. Allen (offensive foul),,26,38
2,4:02.0,,T. Bryant enters the game for M. Morris,26,38
2,3:50.0,,J. Wall misses 2-pt jump shot from 18 ft,26,38
2,3:46.0,Defensive rebound by R. Hollis-Jefferson,,26,38
2,3:34.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,29,38
2,3:14.0,,B. Beal misses 2-pt layup from 2 ft,29,38
2,3:13.0,Defensive rebound by R. Hollis-Jefferson,,29,38
2,3:08.0,S. Napier makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,32,38
2,3:06.0,,Washington full timeout,32,38
2,3:06.0,R. Kurucs enters the game for S. Napier,,32,38
2,3:06.0,,T. Satoranský enters the game for K. Oubre,32,38
2,2:45.0,,J. Wall misses 2-pt jump shot from 16 ft,32,38
2,2:42.0,Defensive rebound by R. Kurucs,,32,38
2,2:31.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,34,38
2,2:07.0,,T. Bryant misses 3-pt jump shot from 26 ft,34,38
2,2:04.0,Defensive rebound by R. Kurucs,,34,38
2,1:52.0,Turnover by S. Dinwiddie (bad pass; steal by O. Porter),,34,38
2,1:48.0,,J. Wall makes 2-pt layup from 3 ft (assist by T. Bryant),34,40
2,1:48.0,,Shooting foul by R. Kurucs (drawn by J. Wall),34,40
2,1:48.0,,J. Wall misses free throw 1 of 1,34,40
2,1:48.0,Defensive rebound by J. Allen,,34,40
2,1:30.0,Personal foul by B. Beal (drawn by A. Crabbe),,34,40
2,1:25.0,R. Hollis-Jefferson makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,37,40
2,1:01.0,,Shooting foul by A. Crabbe (drawn by B. Beal),37,40
2,1:01.0,,B. Beal makes free throw 1 of 2,37,41
2,1:01.0,,B. Beal makes free throw 2 of 2,37,42
2,0:53.0,R. Kurucs misses 3-pt jump shot from 23 ft,,37,42
2,0:50.0,Offensive rebound by J. Allen,,37,42
2,0:50.0,Turnover by J. Allen (out of bounds lost ball),,37,42
2,0:36.0,,T. Satoranský misses 3-pt jump shot from 26 ft,37,42
2,0:33.0,Defensive rebound by J. Allen,,37,42
2,0:28.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,39,42
2,0:09.0,,B. Beal misses 3-pt jump shot from 25 ft,39,42
2,0:06.0,Defensive rebound by S. Dinwiddie,,39,42
2,0:00.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,39,42
2,0:00.0,Offensive rebound by Team,,39,42
3,11:46.0,,O. Porter makes 2-pt jump shot from 6 ft (assist by J. Wall),39,44
3,11:26.0,A. Crabbe misses 3-pt jump shot from 30 ft,,39,44
3,11:24.0,,Defensive rebound by Team,39,44
3,11:24.0,Loose ball foul by J. Allen (drawn by B. Beal),,39,44
3,11:04.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Satoranský),39,46
3,10:45.0,Turnover by J. Allen (lost ball; steal by O. Porter),,39,46
3,10:40.0,,T. Satoranský makes 2-pt dunk from 1 ft (assist by O. Porter),39,48
3,10:12.0,Turnover by Team (shot clock),,39,48
3,10:08.0,,Turnover by B. Beal (bad pass),39,48
3,9:46.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,39,48
3,9:44.0,,Defensive rebound by J. Wall,39,48
3,9:38.0,,O. Porter misses 3-pt jump shot from 26 ft,39,48
3,9:36.0,,Offensive rebound by Team,39,48
3,9:30.0,,B. Beal makes 2-pt jump shot from 13 ft (assist by T. Satoranský),39,50
3,9:17.0,D. Russell misses 3-pt jump shot from 27 ft,,39,50
3,9:13.0,,Defensive rebound by J. Wall,39,50
3,9:09.0,,J. Wall makes 3-pt jump shot from 27 ft,39,53
3,9:08.0,Brooklyn full timeout,,39,53
3,8:58.0,Personal foul by O. Porter (drawn by J. Allen),,39,53
3,8:48.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,41,53
3,8:34.0,,Offensive foul by T. Bryant (drawn by S. Dinwiddie),41,53
3,8:34.0,,Turnover by T. Bryant (offensive foul),41,53
3,8:14.0,A. Crabbe misses 3-pt jump shot from 26 ft,,41,53
3,8:11.0,,Defensive rebound by B. Beal,41,53
3,8:03.0,,J. Wall misses 2-pt jump shot from 13 ft,41,53
3,7:59.0,Defensive rebound by J. Allen,,41,53
3,7:54.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,43,53
3,7:54.0,Shooting foul by T. Satoranský (drawn by J. Allen),,43,53
3,7:54.0,J. Allen misses free throw 1 of 1,,43,53
3,7:54.0,,Defensive rebound by O. Porter,43,53
3,7:40.0,,J. Wall misses 2-pt jump shot from 21 ft,43,53
3,7:35.0,Defensive rebound by R. Hollis-Jefferson,,43,53
3,7:32.0,Shooting foul by T. Satoranský (drawn by D. Russell),,43,53
3,7:32.0,D. Russell misses free throw 1 of 2,,43,53
3,7:32.0,Offensive rebound by Team,,43,53
3,7:32.0,D. Russell makes free throw 2 of 2,,44,53
3,7:20.0,,B. Beal makes 2-pt jump shot from 6 ft,44,55
3,7:05.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,44,55
3,7:03.0,,Defensive rebound by T. Bryant,44,55
3,6:58.0,,J. Wall makes 2-pt layup from 1 ft,44,57
3,6:48.0,Turnover by D. Russell (out of bounds lost ball),,44,57
3,6:37.0,,J. Wall misses 2-pt layup from 2 ft,44,57
3,6:36.0,Defensive rebound by J. Allen,,44,57
3,6:33.0,Shooting foul by O. Porter (drawn by R. Hollis-Jefferson),,44,57
3,6:33.0,R. Hollis-Jefferson makes free throw 1 of 2,,45,57
3,6:33.0,R. Hollis-Jefferson makes free throw 2 of 2,,46,57
3,6:21.0,,B. Beal misses 2-pt jump shot from 9 ft,46,57
3,6:19.0,Defensive rebound by D. Russell,,46,57
3,6:04.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,48,57
3,5:51.0,,Personal foul by A. Crabbe (drawn by B. Beal),48,57
3,5:51.0,R. Kurucs enters the game for R. Hollis-Jefferson,,48,57
3,5:51.0,S. Napier enters the game for D. Russell,,48,57
3,5:51.0,,M. Morris enters the game for T. Bryant,48,57
3,5:41.0,,M. Morris misses 2-pt jump shot from 11 ft,48,57
3,5:39.0,Defensive rebound by R. Kurucs,,48,57
3,5:37.0,Shooting foul by J. Wall (drawn by R. Kurucs),,48,57
3,5:37.0,R. Kurucs makes free throw 1 of 2,,49,57
3,5:37.0,R. Kurucs makes free throw 2 of 2,,50,57
3,5:24.0,,Shooting foul by R. Kurucs (drawn by T. Satoranský),50,57
3,5:24.0,,T. Satoranský misses free throw 1 of 2,50,57
3,5:24.0,,Offensive rebound by Team,50,57
3,5:24.0,,T. Satoranský makes free throw 2 of 2,50,58
3,5:11.0,A. Crabbe makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,52,58
3,4:57.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),52,61
3,4:38.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,52,61
3,4:37.0,Offensive rebound by R. Kurucs,,52,61
3,4:36.0,R. Kurucs misses 2-pt layup from 1 ft,,52,61
3,4:35.0,,Defensive rebound by J. Wall,52,61
3,4:29.0,,Shooting foul by S. Napier (drawn by J. Wall),52,61
3,4:29.0,,J. Wall makes free throw 1 of 2,52,62
3,4:29.0,D. Carroll enters the game for J. Allen,,52,62
3,4:29.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,52,62
3,4:29.0,,K. Oubre enters the game for O. Porter,52,62
3,4:29.0,,A. Rivers enters the game for T. Satoranský,52,62
3,4:29.0,,J. Wall makes free throw 2 of 2,52,63
3,4:11.0,Shooting foul by B. Beal (drawn by R. Kurucs),,52,63
3,4:11.0,R. Kurucs makes free throw 1 of 2,,53,63
3,4:11.0,R. Kurucs makes free throw 2 of 2,,54,63
3,4:01.0,,J. Wall makes 2-pt layup from 2 ft,54,65
3,3:49.0,Personal foul by M. Morris (drawn by D. Carroll),,54,65
3,3:49.0,D. Carroll misses free throw 1 of 2,,54,65
3,3:49.0,Offensive rebound by Team,,54,65
3,3:49.0,D. Carroll makes free throw 2 of 2,,55,65
3,3:29.0,,J. Wall misses 2-pt layup from 3 ft (block by S. Napier),55,65
3,3:27.0,Defensive rebound by S. Napier,,55,65
3,3:21.0,R. Kurucs misses 3-pt jump shot from 23 ft,,55,65
3,3:16.0,,Defensive rebound by M. Morris,55,65
3,3:09.0,,B. Beal misses 3-pt jump shot from 27 ft,55,65
3,3:07.0,Defensive rebound by R. Hollis-Jefferson,,55,65
3,2:42.0,S. Napier misses 2-pt layup from 7 ft,,55,65
3,2:41.0,Offensive rebound by D. Carroll,,55,65
3,2:41.0,Shooting foul by K. Oubre (drawn by D. Carroll),,55,65
3,2:41.0,,Washington full timeout,55,65
3,2:41.0,D. Russell enters the game for A. Crabbe,,55,65
3,2:41.0,,O. Porter enters the game for B. Beal,55,65
3,2:41.0,D. Carroll makes free throw 1 of 2,,56,65
3,2:41.0,D. Carroll misses free throw 2 of 2,,56,65
3,2:39.0,,Defensive rebound by M. Morris,56,65
3,2:14.0,,Shooting foul by R. Kurucs (drawn by J. Wall),56,65
3,2:14.0,,J. Wall misses free throw 1 of 2,56,65
3,2:14.0,,Offensive rebound by Team,56,65
3,2:14.0,,J. Wall makes free throw 2 of 2,56,66
3,2:05.0,,Violation by Team (kicked ball),56,66
3,1:51.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft (block by M. Morris),,56,66
3,1:51.0,Offensive rebound by Team,,56,66
3,1:50.0,Turnover by Team (shot clock),,56,66
3,1:40.0,,Shooting foul by R. Hollis-Jefferson (drawn by A. Rivers),56,66
3,1:40.0,,A. Rivers makes free throw 1 of 2,56,67
3,1:40.0,,A. Rivers misses free throw 2 of 2,56,67
3,1:37.0,Defensive rebound by D. Carroll,,56,67
3,1:17.0,Turnover by R. Kurucs (bad pass; steal by O. Porter),,56,67
3,1:13.0,,Shooting foul by R. Kurucs (drawn by O. Porter),56,67
3,1:13.0,,O. Porter misses free throw 1 of 2,56,67
3,1:13.0,,Offensive rebound by Team,56,67
3,1:13.0,,O. Porter makes free throw 2 of 2,56,68
3,0:59.0,D. Russell misses 3-pt jump shot from 28 ft,,56,68
3,0:57.0,,Defensive rebound by M. Morris,56,68
3,0:38.0,,Turnover by K. Oubre (lost ball; steal by S. Napier),56,68
3,0:34.0,R. Kurucs misses 3-pt jump shot from 27 ft,,56,68
3,0:31.0,,Defensive rebound by M. Morris,56,68
3,0:13.0,,J. Wall misses 2-pt layup from 2 ft (block by D. Carroll),56,68
3,0:11.0,Defensive rebound by D. Carroll,,56,68
3,0:05.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,58,68
3,0:00.0,,J. Wall misses 2-pt jump shot from 21 ft,58,68
3,0:00.0,,Offensive rebound by Team,58,68
4,11:46.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,61,68
4,11:23.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by O. Porter),61,71
4,11:00.0,Turnover by S. Dinwiddie (lost ball; steal by M. Morris),,61,71
4,10:57.0,,B. Beal makes 2-pt dunk from 1 ft (assist by M. Morris),61,73
4,10:55.0,,Violation by Team (delay of game),61,73
4,10:55.0,,Violation by Team (delay of game),61,73
4,10:55.0,A. Crabbe makes technical free throw,,62,73
4,10:42.0,S. Dinwiddie misses 2-pt layup from 3 ft,,62,73
4,10:42.0,Offensive rebound by Team,,62,73
4,10:29.0,D. Carroll misses 3-pt jump shot from 27 ft,,62,73
4,10:26.0,,Defensive rebound by O. Porter,62,73
4,10:19.0,,M. Morris makes 2-pt layup from 1 ft (assist by A. Rivers),62,75
4,10:12.0,Personal foul by K. Oubre (drawn by S. Dinwiddie),,62,75
4,10:04.0,R. Hollis-Jefferson misses 2-pt layup from 6 ft,,62,75
4,10:02.0,,Defensive rebound by O. Porter,62,75
4,9:56.0,,B. Beal makes 2-pt layup from 2 ft,62,77
4,9:48.0,S. Dinwiddie makes 2-pt layup from 4 ft,,64,77
4,9:48.0,Shooting foul by O. Porter (drawn by S. Dinwiddie),,64,77
4,9:48.0,J. Allen enters the game for R. Hollis-Jefferson,,64,77
4,9:48.0,S. Dinwiddie misses free throw 1 of 1,,64,77
4,9:48.0,,Defensive rebound by B. Beal,64,77
4,9:27.0,,A. Rivers misses 3-pt jump shot from 25 ft,64,77
4,9:24.0,Defensive rebound by A. Crabbe,,64,77
4,9:12.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,67,77
4,9:04.0,,K. Oubre misses 3-pt jump shot from 26 ft,67,77
4,9:01.0,Defensive rebound by D. Carroll,,67,77
4,8:57.0,Shooting foul by K. Oubre (drawn by S. Dinwiddie),,67,77
4,8:57.0,S. Dinwiddie makes free throw 1 of 2,,68,77
4,8:57.0,S. Dinwiddie makes free throw 2 of 2,,69,77
4,8:57.0,,Washington full timeout,69,77
4,8:57.0,,T. Satoranský enters the game for K. Oubre,69,77
4,8:38.0,,M. Morris makes 2-pt layup from 2 ft,69,79
4,8:29.0,S. Dinwiddie makes 2-pt jump shot from 5 ft,,71,79
4,8:05.0,,M. Morris makes 2-pt hook shot from 7 ft,71,81
4,7:46.0,Shooting foul by M. Morris (drawn by J. Dudley),,71,81
4,7:46.0,J. Dudley makes free throw 1 of 2,,72,81
4,7:46.0,R. Hollis-Jefferson enters the game for J. Allen,,72,81
4,7:46.0,J. Dudley makes free throw 2 of 2,,73,81
4,7:23.0,,O. Porter makes 2-pt jump shot from 15 ft,73,83
4,7:07.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,73,83
4,7:07.0,,J. Wall enters the game for T. Satoranský,73,83
4,6:47.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by J. Wall),73,85
4,6:46.0,Brooklyn full timeout,,73,85
4,6:46.0,J. Allen enters the game for D. Carroll,,73,85
4,6:46.0,D. Russell enters the game for R. Hollis-Jefferson,,73,85
4,6:29.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,73,85
4,6:26.0,,Defensive rebound by O. Porter,73,85
4,6:13.0,,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),73,87
4,6:02.0,Turnover by J. Dudley (bad pass),,73,87
4,6:01.0,Loose ball foul by J. Dudley (drawn by M. Morris),,73,87
4,5:44.0,,M. Morris makes 3-pt jump shot from 28 ft (assist by J. Wall),73,90
4,5:22.0,S. Dinwiddie misses 2-pt layup from 4 ft,,73,90
4,5:22.0,,Defensive rebound by M. Morris,73,90
4,5:22.0,Technical foul by S. Dinwiddie,,73,90
4,5:22.0,,B. Beal makes technical free throw,73,91
4,5:22.0,D. Carroll enters the game for S. Dinwiddie,,73,91
4,5:22.0,R. Kurucs enters the game for J. Dudley,,73,91
4,5:09.0,,M. Morris makes 2-pt jump shot from 13 ft (assist by J. Wall),73,93
4,4:52.0,A. Crabbe makes 2-pt jump shot from 11 ft (assist by D. Russell),,75,93
4,4:28.0,,Turnover by M. Morris (lost ball; steal by D. Carroll),75,93
4,4:25.0,Brooklyn full timeout,,75,93
4,4:25.0,R. Hollis-Jefferson enters the game for J. Allen,,75,93
4,4:25.0,D. Musa enters the game for D. Carroll,,75,93
4,4:25.0,S. Napier enters the game for A. Crabbe,,75,93
4,4:25.0,T. Pinson enters the game for D. Russell,,75,93
4,4:16.0,Shooting foul by A. Rivers (drawn by S. Napier),,75,93
4,4:16.0,S. Napier makes free throw 1 of 2,,76,93
4,4:16.0,K. Faried enters the game for R. Hollis-Jefferson,,76,93
4,4:16.0,S. Napier makes free throw 2 of 2,,77,93
4,4:04.0,,O. Porter misses 3-pt jump shot from 26 ft,77,93
4,4:02.0,Defensive rebound by Team,,77,93
4,3:38.0,Turnover by S. Napier (lost ball; steal by M. Morris),,77,93
4,3:28.0,,Personal foul by S. Napier (drawn by M. Morris),77,93
4,3:17.0,,Turnover by J. Wall (bad pass; steal by S. Napier),77,93
4,3:13.0,K. Faried makes 2-pt dunk from 3 ft (assist by S. Napier),,79,93
4,2:53.0,,J. Wall makes 3-pt jump shot from 26 ft,79,96
4,2:39.0,S. Napier makes 2-pt layup from 2 ft,,81,96
4,2:39.0,Shooting foul by A. Rivers (drawn by S. Napier),,81,96
4,2:39.0,S. Napier makes free throw 1 of 1,,82,96
4,2:23.0,,J. Wall makes 3-pt jump shot from 27 ft,82,99
4,2:12.0,D. Musa misses 3-pt jump shot from 26 ft,,82,99
