QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
2,10:50.0,,B. Portis misses 2-pt layup from 7 ft (block by T. Prince),42,25
2,10:50.0,Defensive rebound by T. Prince,,42,25
2,10:31.0,Turnover by D. Dedmon (lost ball; steal by S. Harrison),,42,25
2,10:23.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by S. Harrison),42,27
2,10:07.0,Personal foul by R. Arcidiacono (drawn by T. Young),,42,27
2,9:55.0,J. Collins makes 3-pt jump shot from 23 ft (assist by D. Bembry),,45,27
2,9:33.0,,Shooting foul by T. Prince (drawn by B. Portis),45,27
2,9:33.0,,B. Portis makes free throw 1 of 2,45,28
2,9:33.0,,B. Portis makes free throw 2 of 2,45,29
2,9:18.0,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Young),,47,29
2,9:04.0,,Turnover by L. Markkanen (lost ball; steal by J. Collins),47,29
2,8:58.0,D. Dedmon misses 3-pt jump shot from 25 ft,,47,29
2,8:58.0,,Defensive rebound by Team,47,29
2,8:40.0,,B. Portis misses 2-pt jump shot from 12 ft,47,29
2,8:38.0,Defensive rebound by D. Dedmon,,47,29
2,8:22.0,Turnover by T. Young (bad pass; steal by R. Arcidiacono),,47,29
2,8:08.0,,W. Selden makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),47,32
2,7:51.0,T. Young misses 3-pt jump shot from 26 ft,,47,32
2,7:50.0,Offensive rebound by J. Collins,,47,32
2,7:48.0,J. Collins makes 2-pt layup from 1 ft,,49,32
2,7:34.0,,L. Markkanen makes 2-pt hook shot from 4 ft,49,34
2,7:16.0,J. Collins makes 2-pt layup from 5 ft (assist by T. Young),,51,34
2,6:58.0,,L. Markkanen makes 2-pt jump shot from 4 ft,51,36
2,6:58.0,,Shooting foul by D. Bembry (drawn by L. Markkanen),51,36
2,6:58.0,,Chicago full timeout,51,36
2,6:58.0,J. Anderson enters the game for D. Dedmon,,51,36
2,6:58.0,A. Len enters the game for T. Prince,,51,36
2,6:58.0,J. Lin enters the game for T. Young,,51,36
2,6:58.0,,L. Markkanen makes free throw 1 of 1,51,37
2,6:46.0,J. Lin makes 3-pt jump shot from 25 ft (assist by J. Collins),,54,37
2,6:30.0,,Personal foul by J. Collins (drawn by L. Markkanen),54,37
2,6:30.0,O. Spellman enters the game for J. Collins,,54,37
2,6:30.0,,R. Lopez enters the game for B. Portis,54,37
2,6:18.0,,W. Selden makes 2-pt jump shot from 19 ft (assist by R. Arcidiacono),54,39
2,6:03.0,Shooting foul by R. Arcidiacono (drawn by J. Lin),,54,39
2,6:03.0,J. Lin misses free throw 1 of 2,,54,39
2,6:03.0,Offensive rebound by Team,,54,39
2,6:03.0,,K. Dunn enters the game for R. Arcidiacono,54,39
2,6:03.0,J. Lin makes free throw 2 of 2,,55,39
2,5:52.0,,Personal foul by O. Spellman (drawn by R. Lopez),55,39
2,5:40.0,,Turnover by W. Selden (bad pass; steal by A. Len),55,39
2,5:36.0,Personal foul by S. Harrison (drawn by J. Lin),,55,39
2,5:36.0,,C. Hutchison enters the game for S. Harrison,55,39
2,5:36.0,,Z. LaVine enters the game for L. Markkanen,55,39
2,5:28.0,J. Anderson misses 3-pt jump shot from 23 ft,,55,39
2,5:22.0,,Defensive rebound by K. Dunn,55,39
2,5:16.0,,Turnover by Z. LaVine (lost ball; steal by O. Spellman),55,39
2,5:13.0,Turnover by O. Spellman (lost ball),,55,39
2,5:05.0,,K. Dunn misses 2-pt jump shot from 15 ft,55,39
2,5:02.0,Defensive rebound by J. Lin,,55,39
2,4:55.0,J. Lin makes 2-pt jump shot from 19 ft,,57,39
2,4:42.0,,Z. LaVine misses 2-pt jump shot from 4 ft (block by D. Bembry),57,39
2,4:38.0,,Offensive rebound by K. Dunn,57,39
2,4:36.0,,Offensive foul by R. Lopez (drawn by J. Lin),57,39
2,4:36.0,,Turnover by R. Lopez (offensive foul),57,39
2,4:25.0,D. Bembry misses 2-pt jump shot from 8 ft,,57,39
2,4:18.0,Offensive rebound by O. Spellman,,57,39
2,4:18.0,O. Spellman misses 2-pt layup from 1 ft,,57,39
2,4:14.0,Offensive rebound by A. Len,,57,39
2,4:14.0,A. Len makes 2-pt layup from 1 ft,,59,39
2,3:59.0,,C. Hutchison misses 2-pt layup at rim,59,39
2,3:56.0,Defensive rebound by O. Spellman,,59,39
2,3:54.0,Turnover by J. Lin (bad pass; steal by Z. LaVine),,59,39
2,3:48.0,,K. Dunn makes 2-pt jump shot from 20 ft,59,41
2,3:46.0,Atlanta full timeout,,59,41
2,3:46.0,J. Collins enters the game for J. Anderson,,59,41
2,3:46.0,D. Hamilton enters the game for D. Bembry,,59,41
2,3:46.0,T. Prince enters the game for A. Len,,59,41
2,3:46.0,T. Young enters the game for J. Lin,,59,41
2,3:46.0,,L. Markkanen enters the game for W. Selden,59,41
2,3:33.0,O. Spellman misses 3-pt jump shot from 25 ft,,59,41
2,3:30.0,,Defensive rebound by K. Dunn,59,41
2,3:26.0,,C. Hutchison makes 2-pt dunk from 1 ft (assist by K. Dunn),59,43
2,3:13.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),,62,43
2,3:02.0,,Shooting foul by J. Collins (drawn by K. Dunn),62,43
2,3:02.0,,K. Dunn makes free throw 1 of 2,62,44
2,3:02.0,A. Len enters the game for J. Collins,,62,44
2,3:02.0,,K. Dunn makes free throw 2 of 2,62,45
2,2:56.0,Personal foul by K. Dunn (drawn by T. Young),,62,45
2,2:50.0,A. Len misses 2-pt dunk from 7 ft (block by R. Lopez),,62,45
2,2:47.0,Offensive rebound by A. Len,,62,45
2,2:44.0,A. Len misses 2-pt hook shot from 1 ft,,62,45
2,2:42.0,,Defensive rebound by L. Markkanen,62,45
2,2:37.0,,K. Dunn misses 2-pt jump shot from 17 ft,62,45
2,2:35.0,Defensive rebound by T. Prince,,62,45
2,2:27.0,Turnover by T. Prince (bad pass),,62,45
2,2:27.0,,S. Harrison enters the game for K. Dunn,62,45
2,2:17.0,,S. Harrison makes 2-pt layup from 3 ft,62,47
2,2:06.0,T. Prince makes 2-pt jump shot from 18 ft,,64,47
2,1:46.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by C. Hutchison),64,49
2,1:28.0,Atlanta full timeout,,64,49
2,1:28.0,,B. Portis enters the game for R. Lopez,64,49
2,1:21.0,T. Young misses 2-pt layup from 7 ft (block by S. Harrison),,64,49
2,1:18.0,,Defensive rebound by S. Harrison,64,49
2,1:09.0,,Shooting foul by D. Hamilton (drawn by S. Harrison),64,49
2,1:09.0,,S. Harrison makes free throw 1 of 3,64,50
2,1:09.0,,S. Harrison makes free throw 2 of 3,64,51
2,1:09.0,,S. Harrison makes free throw 3 of 3,64,52
2,1:00.0,O. Spellman makes 2-pt dunk at rim (assist by T. Prince),,66,52
2,0:50.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by S. Harrison),66,55
2,0:33.0,Turnover by D. Hamilton (bad pass; steal by Z. LaVine),,66,55
2,0:30.0,,Z. LaVine makes 2-pt layup from 2 ft,66,57
2,0:05.0,T. Prince misses 3-pt jump shot from 26 ft,,66,57
2,0:03.0,,Defensive rebound by L. Markkanen,66,57
2,0:00.0,,L. Markkanen makes 3-pt jump shot from 31 ft,66,60
3,11:40.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Dedmon),,68,60
3,11:18.0,,Z. LaVine misses 3-pt jump shot from 23 ft,68,60
3,11:15.0,Defensive rebound by T. Prince,,68,60
3,11:09.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,70,60
3,11:09.0,,Chicago full timeout,70,60
3,10:59.0,,B. Portis misses 3-pt jump shot from 26 ft,70,60
3,10:55.0,Defensive rebound by T. Young,,70,60
3,10:49.0,T. Prince misses 3-pt jump shot from 23 ft,,70,60
3,10:47.0,,Defensive rebound by B. Portis,70,60
3,10:43.0,,Turnover by Z. LaVine (step out of bounds),70,60
3,10:26.0,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),,72,60
3,10:12.0,,Shooting foul by T. Young (drawn by Z. LaVine),72,60
3,10:12.0,,Z. LaVine makes free throw 1 of 2,72,61
3,10:12.0,,Z. LaVine makes free throw 2 of 2,72,62
3,9:50.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),,74,62
3,9:40.0,,K. Dunn misses 2-pt jump shot from 17 ft,74,62
3,9:37.0,Defensive rebound by T. Prince,,74,62
3,9:33.0,T. Prince makes 2-pt layup from 6 ft,,76,62
3,9:15.0,,Turnover by K. Dunn (bad pass; steal by D. Dedmon),76,62
3,9:10.0,T. Young misses 3-pt jump shot from 25 ft,,76,62
3,9:05.0,,Defensive rebound by L. Markkanen,76,62
3,8:52.0,,K. Dunn makes 2-pt jump shot from 9 ft (assist by C. Hutchison),76,64
3,8:32.0,J. Collins misses 2-pt jump shot from 15 ft,,76,64
3,8:30.0,,Defensive rebound by Z. LaVine,76,64
3,8:23.0,,Z. LaVine makes 2-pt layup at rim,76,66
3,8:07.0,D. Dedmon makes 2-pt jump shot from 4 ft (assist by T. Young),,78,66
3,7:59.0,,K. Dunn makes 2-pt layup from 2 ft,78,68
3,7:43.0,T. Prince misses 3-pt jump shot from 23 ft,,78,68
3,7:37.0,Offensive rebound by J. Collins,,78,68
3,7:37.0,J. Collins makes 2-pt layup at rim,,80,68
3,7:26.0,,Shooting foul by D. Bembry (drawn by Z. LaVine),80,68
3,7:26.0,,Z. LaVine makes free throw 1 of 2,80,69
3,7:26.0,,Z. LaVine misses free throw 2 of 2,80,69
3,7:24.0,Defensive rebound by J. Collins,,80,69
3,7:04.0,T. Young misses 2-pt layup from 2 ft,,80,69
3,7:02.0,,Defensive rebound by L. Markkanen,80,69
3,6:59.0,,Shooting foul by D. Dedmon (drawn by K. Dunn),80,69
3,6:59.0,,K. Dunn makes free throw 1 of 2,80,70
3,6:59.0,J. Lin enters the game for D. Bembry,,80,70
3,6:59.0,,K. Dunn makes free throw 2 of 2,80,71
3,6:39.0,D. Dedmon makes 3-pt jump shot from 23 ft,,83,71
3,6:27.0,,Shooting foul by J. Lin (drawn by Z. LaVine),83,71
3,6:27.0,,Z. LaVine makes free throw 1 of 2,83,72
3,6:27.0,A. Len enters the game for D. Dedmon,,83,72
3,6:27.0,,R. Lopez enters the game for B. Portis,83,72
3,6:27.0,,Z. LaVine makes free throw 2 of 2,83,73
3,6:19.0,Turnover by T. Young (lost ball; steal by K. Dunn),,83,73
3,6:15.0,,K. Dunn makes 2-pt dunk from 1 ft,83,75
3,6:01.0,Turnover by T. Young (bad pass; steal by K. Dunn),,83,75
3,6:01.0,,Personal foul by A. Len (drawn by K. Dunn),83,75
3,6:01.0,,K. Dunn misses free throw 1 of 2,83,75
3,6:01.0,,Offensive rebound by Team,83,75
3,6:01.0,J. Anderson enters the game for T. Prince,,83,75
3,6:01.0,D. Hamilton enters the game for T. Young,,83,75
3,6:01.0,,K. Dunn makes free throw 2 of 2,83,76
3,5:46.0,J. Lin misses 3-pt jump shot from 25 ft,,83,76
3,5:40.0,,Defensive rebound by Z. LaVine,83,76
3,5:30.0,,Turnover by Z. LaVine (bad pass; steal by A. Len),83,76
3,5:24.0,J. Anderson misses 3-pt jump shot from 24 ft,,83,76
3,5:20.0,,Defensive rebound by C. Hutchison,83,76
3,5:02.0,,L. Markkanen misses 2-pt jump shot from 7 ft,83,76
3,5:00.0,Defensive rebound by D. Hamilton,,83,76
3,4:58.0,Offensive foul by J. Lin (drawn by C. Hutchison),,83,76
3,4:58.0,Turnover by J. Lin (offensive foul),,83,76
3,4:58.0,,Chicago full timeout,83,76
3,4:58.0,O. Spellman enters the game for J. Collins,,83,76
3,4:58.0,,R. Arcidiacono enters the game for K. Dunn,83,76
3,4:58.0,,S. Harrison enters the game for L. Markkanen,83,76
3,4:44.0,,Z. LaVine misses 2-pt jump shot from 16 ft,83,76
3,4:41.0,Defensive rebound by J. Anderson,,83,76
3,4:37.0,O. Spellman misses 3-pt jump shot from 25 ft,,83,76
3,4:34.0,Offensive rebound by A. Len,,83,76
3,4:33.0,A. Len misses 2-pt layup from 1 ft,,83,76
3,4:31.0,Offensive rebound by A. Len,,83,76
3,4:31.0,A. Len misses 2-pt layup at rim,,83,76
3,4:31.0,Offensive rebound by A. Len,,83,76
3,4:31.0,Shooting foul by R. Arcidiacono (drawn by A. Len),,83,76
3,4:31.0,A. Len makes free throw 1 of 2,,84,76
3,4:31.0,,B. Portis enters the game for C. Hutchison,84,76
3,4:31.0,A. Len makes free throw 2 of 2,,85,76
3,4:14.0,,S. Harrison misses 2-pt layup from 6 ft,85,76
3,4:14.0,Defensive rebound by Team,,85,76
3,4:02.0,D. Hamilton misses 3-pt jump shot from 25 ft,,85,76
3,3:59.0,,Defensive rebound by B. Portis,85,76
3,3:41.0,,R. Lopez makes 2-pt hook shot from 5 ft,85,78
3,3:27.0,J. Lin misses 2-pt jump shot from 16 ft,,85,78
3,3:26.0,Offensive rebound by O. Spellman,,85,78
3,3:21.0,D. Hamilton misses 3-pt jump shot from 25 ft,,85,78
3,3:19.0,,Defensive rebound by Z. LaVine,85,78
3,3:04.0,,B. Portis misses 3-pt jump shot from 26 ft,85,78
3,3:02.0,Defensive rebound by O. Spellman,,85,78
3,2:53.0,Personal foul by S. Harrison (drawn by J. Lin),,85,78
3,2:41.0,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),,87,78
3,2:17.0,,Z. LaVine misses 2-pt jump shot from 14 ft,87,78
3,2:15.0,,Offensive rebound by R. Lopez,87,78
3,2:09.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),87,81
3,1:55.0,J. Lin makes 2-pt layup from 3 ft,,89,81
3,1:55.0,Shooting foul by R. Lopez (drawn by J. Lin),,89,81
3,1:55.0,D. Bembry enters the game for J. Anderson,,89,81
3,1:55.0,J. Collins enters the game for D. Hamilton,,89,81
3,1:55.0,D. Dedmon enters the game for A. Len,,89,81
3,1:55.0,T. Young enters the game for O. Spellman,,89,81
3,1:55.0,,L. Markkanen enters the game for Z. LaVine,89,81
3,1:55.0,,W. Selden enters the game for R. Lopez,89,81
3,1:55.0,J. Lin misses free throw 1 of 1,,89,81
3,1:52.0,,Defensive rebound by L. Markkanen,89,81
3,1:51.0,,Technical foul by R. Lopez,89,81
3,1:51.0,D. Dedmon makes technical free throw,,90,81
3,1:33.0,,B. Portis misses 2-pt hook shot from 5 ft,90,81
3,1:30.0,,Offensive rebound by S. Harrison,90,81
3,1:30.0,,S. Harrison misses 2-pt layup from 1 ft,90,81
3,1:30.0,Defensive rebound by T. Young,,90,81
3,1:14.0,T. Young makes 3-pt jump shot from 28 ft (assist by D. Dedmon),,93,81
3,0:58.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,93,81
3,0:56.0,Defensive rebound by J. Lin,,93,81
3,0:51.0,J. Lin makes 2-pt layup from 1 ft,,95,81
3,0:30.0,,S. Harrison misses 3-pt jump shot from 22 ft,95,81
3,0:28.0,,Offensive rebound by B. Portis,95,81
3,0:28.0,,B. Portis makes 2-pt layup from 3 ft,95,83
3,0:08.0,J. Lin makes 3-pt jump shot from 25 ft (assist by T. Young),,98,83
3,0:00.0,,S. Harrison misses 2-pt layup from 2 ft,98,83
3,0:00.0,,Offensive rebound by Team,98,83
4,11:42.0,,L. Markkanen misses 3-pt jump shot from 24 ft,98,83
4,11:39.0,Defensive rebound by D. Dedmon,,98,83
4,11:20.0,T. Young misses 3-pt jump shot from 26 ft,,98,83
4,11:18.0,Offensive rebound by D. Dedmon,,98,83
4,11:16.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Dedmon),,100,83
4,10:50.0,,L. Markkanen makes 2-pt jump shot from 7 ft (assist by S. Harrison),100,85
4,10:31.0,T. Prince makes 2-pt jump shot from 21 ft,,102,85
4,10:21.0,,Personal foul by J. Collins (drawn by L. Markkanen),102,85
4,10:16.0,,S. Harrison misses 2-pt layup from 1 ft,102,85
4,10:14.0,Defensive rebound by J. Collins,,102,85
4,10:08.0,Turnover by D. Bembry (bad pass),,102,85
4,9:56.0,,Turnover by W. Selden (bad pass; steal by T. Young),102,85
4,9:56.0,Personal foul by B. Portis (drawn by T. Young),,102,85
4,9:56.0,,Z. LaVine enters the game for S. Harrison,102,85
4,9:48.0,Turnover by D. Dedmon (bad pass),,102,85
4,9:34.0,,L. Markkanen misses 2-pt layup from 1 ft,102,85
4,9:29.0,Defensive rebound by T. Young,,102,85
4,9:26.0,Turnover by D. Dedmon (traveling),,102,85
4,9:11.0,,W. Selden makes 2-pt jump shot from 14 ft (assist by Z. LaVine),102,87
4,8:57.0,Shooting foul by L. Markkanen (drawn by T. Young),,102,87
4,8:57.0,T. Young makes free throw 1 of 2,,103,87
4,8:57.0,T. Young makes free throw 2 of 2,,104,87
4,8:43.0,,L. Markkanen misses 3-pt jump shot from 26 ft,104,87
4,8:40.0,Defensive rebound by T. Young,,104,87
4,8:24.0,D. Dedmon misses 3-pt jump shot from 26 ft,,104,87
4,8:20.0,,Defensive rebound by W. Selden,104,87
4,8:16.0,,W. Selden makes 2-pt layup from 2 ft,104,89
4,8:15.0,Atlanta full timeout,,104,89
4,8:15.0,J. Lin enters the game for D. Bembry,,104,89
4,8:15.0,,K. Dunn enters the game for R. Arcidiacono,104,89
4,8:15.0,,C. Hutchison enters the game for L. Markkanen,104,89
4,7:59.0,T. Prince misses 3-pt jump shot from 25 ft,,104,89
4,7:54.0,,Defensive rebound by B. Portis,104,89
4,7:53.0,,W. Selden makes 2-pt layup from 1 ft (assist by B. Portis),104,91
4,7:53.0,,Shooting foul by T. Prince (drawn by W. Selden),104,91
4,7:53.0,,W. Selden misses free throw 1 of 1,104,91
4,7:48.0,Defensive rebound by J. Collins,,104,91
4,7:38.0,J. Collins makes 3-pt jump shot from 26 ft (assist by D. Dedmon),,107,91
4,7:38.0,A. Len enters the game for D. Dedmon,,107,91
4,7:10.0,,Turnover by B. Portis (lost ball; steal by T. Prince),107,91
4,6:49.0,T. Young misses 2-pt jump shot from 18 ft,,107,91
4,6:47.0,Offensive rebound by T. Young,,107,91
4,6:34.0,Turnover by J. Lin (lost ball; steal by C. Hutchison),,107,91
4,6:22.0,,Z. LaVine misses 3-pt jump shot from 26 ft,107,91
4,6:15.0,Defensive rebound by J. Collins,,107,91
4,6:07.0,T. Young misses 3-pt jump shot from 28 ft (block by K. Dunn),,107,91
4,6:03.0,Offensive rebound by J. Collins,,107,91
4,5:59.0,T. Prince makes 3-pt jump shot from 24 ft (assist by J. Lin),,110,91
4,5:57.0,,Chicago full timeout,110,91
4,5:57.0,O. Spellman enters the game for J. Collins,,110,91
4,5:57.0,,L. Markkanen enters the game for B. Portis,110,91
4,5:47.0,,K. Dunn misses 3-pt jump shot from 25 ft,110,91
4,5:43.0,Defensive rebound by O. Spellman,,110,91
4,5:27.0,J. Lin misses 3-pt jump shot from 27 ft,,110,91
