QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DALLAS_ACTION,GOLDEN STATE_SCORE,DALLAS_SCORE
1,3:36.0,,H. Barnes makes 2-pt jump shot from 10 ft,15,20
1,3:19.0,Turnover by M. Derrickson (bad pass; steal by D. Smith),,15,20
1,3:15.0,,D. Smith misses 2-pt dunk from 1 ft,15,20
1,3:11.0,Defensive rebound by Q. Cook,,15,20
1,3:11.0,S. Livingston enters the game for K. Thompson,,15,20
1,3:11.0,,D. Harris enters the game for D. Finney-Smith,15,20
1,3:11.0,,D. Powell enters the game for D. Jordan,15,20
1,3:11.0,Turnover by Q. Cook (lost ball; steal by D. Smith),,15,20
1,2:59.0,,L. Dončić misses 3-pt jump shot from 27 ft,15,20
1,2:59.0,Defensive rebound by S. Livingston,,15,20
1,2:51.0,Turnover by K. Durant (traveling),,15,20
1,2:51.0,Violation by Team (delay of game),,15,20
1,2:51.0,,J. Barea enters the game for D. Smith,15,20
1,2:40.0,,Shooting foul by Q. Cook (drawn by H. Barnes),15,20
1,2:40.0,,H. Barnes misses free throw 1 of 2,15,20
1,2:40.0,,Offensive rebound by Team,15,20
1,2:40.0,,H. Barnes makes free throw 2 of 2,15,21
1,2:21.0,Q. Cook misses 2-pt jump shot from 13 ft,,15,21
1,2:18.0,,Defensive rebound by D. Harris,15,21
1,2:09.0,,Shooting foul by M. Derrickson (drawn by H. Barnes),15,21
1,2:09.0,,H. Barnes misses free throw 1 of 2,15,21
1,2:09.0,,Offensive rebound by Team,15,21
1,2:09.0,D. Lee enters the game for M. Derrickson,,15,21
1,2:09.0,,H. Barnes makes free throw 2 of 2,15,22
1,1:56.0,S. Livingston misses 2-pt jump shot from 14 ft (block by D. Harris),,15,22
1,1:53.0,,Defensive rebound by D. Harris,15,22
1,1:49.0,,D. Harris misses 3-pt jump shot from 26 ft,15,22
1,1:45.0,Defensive rebound by S. Livingston,,15,22
1,1:42.0,D. Lee makes 3-pt jump shot from 26 ft (assist by S. Livingston),,18,22
1,1:27.0,,Turnover by J. Barea (bad pass; steal by D. Lee),18,22
1,1:23.0,D. Lee misses 2-pt layup from 3 ft,,18,22
1,1:20.0,,Defensive rebound by D. Powell,18,22
1,1:11.0,,L. Dončić makes 2-pt jump shot from 1 ft (assist by J. Barea),18,24
1,1:01.0,Turnover by K. Durant (traveling),,18,24
1,1:01.0,,Technical foul by S. Kerr,18,24
1,1:01.0,Technical foul by K. Durant,,18,24
1,1:01.0,,M. Kleber enters the game for L. Dončić,18,24
1,1:01.0,,H. Barnes makes technical free throw,18,25
1,1:01.0,,H. Barnes makes technical free throw,18,26
1,0:49.0,,D. Powell misses 2-pt layup from 2 ft,18,26
1,0:48.0,Defensive rebound by D. Jones,,18,26
1,0:46.0,Personal take foul by J. Barea (drawn by K. Durant),,18,26
1,0:39.0,K. Durant makes 2-pt jump shot from 13 ft,,20,26
1,0:26.0,,D. Harris misses 3-pt jump shot from 26 ft,20,26
1,0:22.0,Defensive rebound by Q. Cook,,20,26
1,0:00.0,Q. Cook makes 2-pt jump shot from 12 ft,,22,26
2,11:45.0,Turnover by K. Thompson (lost ball; steal by D. Powell),,22,26
2,11:38.0,,M. Kleber misses 3-pt jump shot from 27 ft,22,26
2,11:35.0,,Offensive rebound by J. Barea,22,26
2,11:32.0,,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by J. Barea),22,29
2,11:27.0,Golden State full timeout,,22,29
2,11:14.0,D. Lee makes 3-pt jump shot from 23 ft (assist by K. Thompson),,25,29
2,10:50.0,,J. Barea misses 2-pt jump shot from 3 ft (block by D. Jones),25,29
2,10:47.0,,Offensive rebound by D. Powell,25,29
2,10:45.0,,D. Powell makes 2-pt layup at rim,25,31
2,10:29.0,D. Lee makes 2-pt jump shot from 6 ft (assist by S. Livingston),,27,31
2,10:15.0,,J. Barea makes 2-pt jump shot from 14 ft,27,33
2,9:56.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Livingston),,30,33
2,9:35.0,,M. Kleber misses 3-pt jump shot from 28 ft,30,33
2,9:32.0,Defensive rebound by D. Jones,,30,33
2,9:27.0,S. Livingston misses 2-pt jump shot from 15 ft,,30,33
2,9:23.0,,Defensive rebound by D. Harris,30,33
2,9:19.0,,D. Finney-Smith misses 2-pt layup from 2 ft (block by S. Livingston),30,33
2,9:17.0,Defensive rebound by D. Lee,,30,33
2,9:09.0,S. Livingston makes 2-pt jump shot from 11 ft,,32,33
2,8:57.0,,Personal foul by S. Livingston (drawn by D. Harris),32,33
2,8:52.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,32,33
2,8:48.0,Defensive rebound by S. Livingston,,32,33
2,8:40.0,K. Thompson makes 2-pt jump shot from 19 ft,,34,33
2,8:38.0,,Dallas full timeout,34,33
2,8:25.0,,D. Harris misses 2-pt layup from 2 ft (block by D. Jones),34,33
2,8:25.0,,Offensive rebound by Team,34,33
2,8:19.0,,D. Powell misses 2-pt jump shot from 2 ft (block by D. Jones),34,33
2,8:17.0,Defensive rebound by D. Lee,,34,33
2,8:05.0,Q. Cook makes 3-pt jump shot from 28 ft (assist by S. Livingston),,37,33
2,7:52.0,,J. Barea makes 2-pt layup from 1 ft,37,35
2,7:36.0,Q. Cook makes 2-pt jump shot from 20 ft,,39,35
2,7:24.0,,J. Barea makes 2-pt jump shot from 19 ft,39,37
2,7:12.0,S. Livingston makes 2-pt jump shot from 7 ft,,41,37
2,6:57.0,,Turnover by J. Barea (lost ball; steal by D. Lee),41,37
2,6:39.0,D. Lee makes 3-pt jump shot from 27 ft,,44,37
2,6:36.0,,Dallas full timeout,44,37
2,6:36.0,J. Jerebko enters the game for D. Jones,,44,37
2,6:36.0,K. Looney enters the game for S. Livingston,,44,37
2,6:36.0,,H. Barnes enters the game for J. Barea,44,37
2,6:36.0,,L. Dončić enters the game for D. Harris,44,37
2,6:36.0,,D. Jordan enters the game for M. Kleber,44,37
2,6:36.0,,D. Smith enters the game for D. Powell,44,37
2,6:27.0,,Away from play foul by J. Jerebko (drawn by H. Barnes),44,37
2,6:27.0,,H. Barnes makes free throw 1 of 1,44,38
2,6:27.0,K. Durant enters the game for J. Jerebko,,44,38
2,6:17.0,,H. Barnes misses 2-pt jump shot from 15 ft,44,38
2,6:13.0,Defensive rebound by K. Looney,,44,38
2,6:02.0,Q. Cook misses 3-pt jump shot from 25 ft,,44,38
2,5:58.0,Offensive rebound by K. Looney,,44,38
2,5:57.0,Q. Cook misses 3-pt jump shot from 27 ft,,44,38
2,5:55.0,,Defensive rebound by D. Jordan,44,38
2,5:43.0,,D. Jordan makes 2-pt hook shot from 3 ft (assist by D. Smith),44,40
2,5:26.0,,Violation by Team (kicked ball),44,40
2,5:26.0,A. Iguodala enters the game for K. Thompson,,44,40
2,5:16.0,K. Durant makes 2-pt jump shot from 16 ft,,46,40
2,5:01.0,,Turnover by L. Dončić (bad pass; steal by Q. Cook),46,40
2,4:55.0,Q. Cook misses 2-pt layup from 1 ft,,46,40
2,4:53.0,,Defensive rebound by H. Barnes,46,40
2,4:48.0,,L. Dončić misses 3-pt jump shot from 26 ft,46,40
2,4:44.0,Defensive rebound by D. Lee,,46,40
2,4:39.0,K. Durant misses 3-pt jump shot from 25 ft,,46,40
2,4:35.0,,Defensive rebound by D. Jordan,46,40
2,4:24.0,,Personal foul by Q. Cook (drawn by L. Dončić),46,40
2,4:13.0,,H. Barnes makes 2-pt hook shot from 3 ft,46,42
2,4:00.0,D. Lee misses 3-pt jump shot from 23 ft,,46,42
2,3:57.0,,Defensive rebound by L. Dončić,46,42
2,3:48.0,,D. Jordan makes 2-pt layup from 2 ft (assist by D. Smith),46,44
2,3:39.0,Golden State full timeout,,46,44
2,3:39.0,S. Livingston enters the game for Q. Cook,,46,44
2,3:39.0,K. Thompson enters the game for D. Lee,,46,44
2,3:31.0,Shooting foul by D. Smith (drawn by K. Durant),,46,44
2,3:31.0,K. Durant makes free throw 1 of 2,,47,44
2,3:31.0,K. Durant makes free throw 2 of 2,,48,44
2,3:21.0,Violation by Team (kicked ball),,48,44
2,3:12.0,,Shooting foul by K. Thompson (drawn by H. Barnes),48,44
2,3:12.0,,H. Barnes misses free throw 1 of 2,48,44
2,3:12.0,,Offensive rebound by Team,48,44
2,3:12.0,,H. Barnes makes free throw 2 of 2,48,45
2,2:56.0,K. Thompson misses 3-pt jump shot from 26 ft,,48,45
2,2:52.0,Offensive rebound by K. Looney,,48,45
2,2:50.0,K. Durant misses 2-pt jump shot from 17 ft,,48,45
2,2:47.0,,Defensive rebound by L. Dončić,48,45
2,2:45.0,,Personal foul by K. Durant (drawn by D. Jordan),48,45
2,2:45.0,,D. Jordan makes free throw 1 of 2,48,46
2,2:45.0,,D. Jordan makes free throw 2 of 2,48,47
2,2:29.0,K. Thompson misses 2-pt jump shot from 19 ft,,48,47
2,2:26.0,Offensive rebound by K. Looney,,48,47
2,2:21.0,S. Livingston makes 2-pt jump shot from 18 ft (assist by A. Iguodala),,50,47
2,2:14.0,,Offensive foul by D. Jordan (drawn by K. Looney),50,47
2,2:14.0,,Turnover by D. Jordan (offensive foul),50,47
2,1:59.0,A. Iguodala makes 2-pt layup from 2 ft (assist by K. Thompson),,52,47
2,1:46.0,,D. Smith makes 2-pt layup from 3 ft,52,49
2,1:29.0,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),,54,49
2,1:10.0,,L. Dončić makes 2-pt jump shot from 8 ft,54,51
2,1:01.0,K. Durant makes 2-pt layup from 2 ft,,56,51
2,1:01.0,Shooting foul by H. Barnes (drawn by K. Durant),,56,51
2,1:01.0,K. Durant makes free throw 1 of 1,,57,51
2,0:50.0,,L. Dončić misses 3-pt jump shot from 26 ft,57,51
2,0:48.0,,Offensive rebound by H. Barnes,57,51
2,0:41.0,,H. Barnes makes 3-pt jump shot from 26 ft,57,54
2,0:35.0,Personal foul by H. Barnes (drawn by S. Livingston),,57,54
2,0:35.0,S. Livingston makes free throw 1 of 2,,58,54
2,0:35.0,S. Livingston makes free throw 2 of 2,,59,54
2,0:27.0,,D. Smith makes 3-pt jump shot from 29 ft,59,57
2,0:10.0,Offensive foul by K. Looney (drawn by D. Finney-Smith),,59,57
2,0:10.0,Turnover by K. Looney (offensive foul),,59,57
2,0:10.0,J. Bell enters the game for K. Looney,,59,57
2,0:01.0,,D. Smith misses 3-pt jump shot from 27 ft,59,57
2,0:00.0,Defensive rebound by Team,,59,57
3,11:48.0,K. Durant misses 2-pt jump shot from 14 ft,,59,57
3,11:44.0,,Defensive rebound by D. Smith,59,57
3,11:34.0,,H. Barnes makes 2-pt jump shot from 10 ft (assist by L. Dončić),59,59
3,11:19.0,J. Jerebko misses 2-pt jump shot from 7 ft,,59,59
3,11:15.0,Offensive rebound by J. Jerebko,,59,59
3,11:14.0,K. Thompson misses 3-pt jump shot from 25 ft,,59,59
3,11:14.0,,Defensive rebound by H. Barnes,59,59
3,11:06.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Smith),59,61
3,10:50.0,K. Durant makes 2-pt jump shot from 10 ft,,61,61
3,10:28.0,,Turnover by D. Jordan (3 sec),61,61
3,10:14.0,A. Iguodala makes 2-pt jump shot from 19 ft (assist by K. Looney),,63,61
3,10:01.0,,Turnover by L. Dončić (bad pass; steal by K. Thompson),63,61
3,9:58.0,Shooting foul by D. Finney-Smith (drawn by K. Durant),,63,61
3,9:58.0,K. Durant makes free throw 1 of 2,,64,61
3,9:58.0,K. Durant makes free throw 2 of 2,,65,61
3,9:42.0,,D. Smith misses 2-pt jump shot from 19 ft,65,61
3,9:40.0,,Offensive rebound by Team,65,61
3,9:40.0,Loose ball foul by K. Durant (drawn by D. Jordan),,65,61
3,9:30.0,,L. Dončić misses 2-pt layup from 4 ft,65,61
3,9:28.0,Defensive rebound by Team,,65,61
3,9:21.0,Shooting foul by D. Finney-Smith (drawn by K. Thompson),,65,61
3,9:21.0,K. Thompson makes free throw 1 of 2,,66,61
3,9:21.0,K. Thompson makes free throw 2 of 2,,67,61
3,9:08.0,,H. Barnes misses 2-pt jump shot from 16 ft,67,61
3,9:05.0,Defensive rebound by K. Thompson,,67,61
3,8:56.0,A. Iguodala misses 3-pt jump shot from 24 ft,,67,61
3,8:53.0,,Defensive rebound by H. Barnes,67,61
3,8:51.0,,Shooting foul by K. Looney (drawn by D. Smith),67,61
3,8:51.0,,D. Smith misses free throw 1 of 2,67,61
3,8:51.0,,Offensive rebound by Team,67,61
3,8:51.0,,D. Smith makes free throw 2 of 2,67,62
3,8:41.0,K. Thompson misses 3-pt jump shot from 27 ft,,67,62
3,8:38.0,Offensive rebound by J. Jerebko,,67,62
3,8:25.0,A. Iguodala misses 3-pt jump shot from 25 ft,,67,62
3,8:21.0,,Defensive rebound by L. Dončić,67,62
3,8:07.0,,D. Smith misses 2-pt jump shot from 22 ft,67,62
3,8:04.0,Defensive rebound by K. Looney,,67,62
3,8:02.0,Personal take foul by L. Dončić (drawn by K. Durant),,67,62
3,7:57.0,K. Durant misses 2-pt jump shot from 17 ft,,67,62
3,7:53.0,,Defensive rebound by L. Dončić,67,62
3,7:41.0,,D. Smith makes 2-pt layup from 3 ft,67,64
3,7:41.0,,Shooting foul by K. Looney (drawn by D. Smith),67,64
3,7:41.0,D. Jones enters the game for K. Looney,,67,64
3,7:41.0,,D. Smith misses free throw 1 of 1,67,64
3,7:41.0,Defensive rebound by K. Durant,,67,64
3,7:27.0,Def 3 sec tech foul by Team,,67,64
3,7:27.0,K. Durant makes technical free throw,,68,64
3,7:20.0,K. Thompson misses 2-pt jump shot from 15 ft,,68,64
3,7:18.0,Offensive rebound by D. Jones,,68,64
3,7:16.0,J. Jerebko misses 3-pt jump shot from 26 ft,,68,64
3,7:13.0,,Defensive rebound by D. Jordan,68,64
3,6:53.0,,D. Jordan makes 2-pt dunk at rim (assist by D. Smith),68,66
3,6:46.0,K. Durant misses 3-pt jump shot from 26 ft,,68,66
3,6:43.0,,Defensive rebound by D. Jordan,68,66
3,6:30.0,,Personal foul by K. Thompson (drawn by L. Dončić),68,66
3,6:30.0,,Dallas full timeout,68,66
3,6:18.0,,D. Smith misses 3-pt jump shot from 25 ft,68,66
3,6:13.0,Defensive rebound by A. Iguodala,,68,66
3,6:01.0,A. Iguodala misses 3-pt jump shot from 23 ft,,68,66
3,5:58.0,Offensive rebound by A. Iguodala,,68,66
3,5:57.0,J. Jerebko makes 2-pt hook shot from 4 ft (assist by A. Iguodala),,70,66
3,5:42.0,,H. Barnes makes 2-pt jump shot from 14 ft,70,68
3,5:35.0,Offensive foul by D. Jones (drawn by H. Barnes),,70,68
3,5:35.0,Turnover by D. Jones (offensive foul),,70,68
3,5:17.0,,Shooting foul by K. Thompson (drawn by D. Smith),70,68
3,5:17.0,,D. Smith makes free throw 1 of 2,70,69
3,5:17.0,Q. Cook enters the game for A. Iguodala,,70,69
3,5:17.0,D. Lee enters the game for K. Thompson,,70,69
3,5:17.0,,D. Smith misses free throw 2 of 2,70,69
3,5:15.0,Defensive rebound by J. Jerebko,,70,69
3,4:57.0,Q. Cook makes 3-pt jump shot from 23 ft (assist by J. Jerebko),,73,69
3,4:34.0,,Personal foul by J. Jerebko (drawn by D. Jordan),73,69
3,4:34.0,,D. Jordan misses free throw 1 of 2,73,69
3,4:34.0,,Offensive rebound by Team,73,69
3,4:34.0,S. Livingston enters the game for J. Jerebko,,73,69
3,4:34.0,,D. Harris enters the game for D. Finney-Smith,73,69
3,4:34.0,,D. Jordan makes free throw 2 of 2,73,70
3,4:22.0,Q. Cook makes 3-pt jump shot from 24 ft (assist by D. Jones),,76,70
3,4:19.0,,Dallas full timeout,76,70
3,4:09.0,,L. Dončić misses 3-pt jump shot from 26 ft,76,70
3,4:05.0,Defensive rebound by D. Jones,,76,70
3,3:43.0,S. Livingston misses 2-pt jump shot from 7 ft,,76,70
3,3:40.0,,Defensive rebound by D. Jordan,76,70
3,3:29.0,,D. Smith misses 2-pt layup from 1 ft (block by K. Durant),76,70
3,3:25.0,Defensive rebound by D. Jones,,76,70
3,3:21.0,D. Lee misses 3-pt jump shot from 27 ft,,76,70
3,3:19.0,Offensive rebound by S. Livingston,,76,70
3,3:16.0,S. Livingston makes 2-pt jump shot from 10 ft,,78,70
3,2:54.0,,D. Smith makes 3-pt jump shot from 27 ft (assist by H. Barnes),78,73
3,2:54.0,,J. Barea enters the game for D. Jordan,78,73
3,2:54.0,,D. Powell enters the game for D. Smith,78,73
3,2:34.0,Turnover by K. Durant (out of bounds lost ball),,78,73
3,2:15.0,,H. Barnes misses 2-pt hook shot from 6 ft,78,73
3,2:13.0,,Offensive rebound by D. Powell,78,73
3,2:05.0,,L. Dončić makes 2-pt jump shot from 10 ft,78,75
3,1:53.0,K. Durant makes 2-pt layup from 2 ft,,80,75
3,1:42.0,,D. Powell makes 2-pt layup from 2 ft (assist by J. Barea),80,77
3,1:28.0,K. Durant makes 2-pt jump shot from 10 ft (assist by Q. Cook),,82,77
3,1:12.0,,Shooting foul by Q. Cook (drawn by H. Barnes),82,77
3,1:12.0,,H. Barnes misses free throw 1 of 2,82,77
3,1:12.0,,Offensive rebound by Team,82,77
3,1:12.0,,H. Barnes makes free throw 2 of 2,82,78
3,1:04.0,K. Durant misses 3-pt jump shot from 28 ft,,82,78
3,1:00.0,,Defensive rebound by D. Harris,82,78
3,0:51.0,,L. Dončić makes 2-pt hook shot from 5 ft,82,80
3,0:41.0,Personal foul by J. Barea (drawn by K. Durant),,82,80
3,0:34.0,Personal foul by D. Harris (drawn by D. Lee),,82,80
3,0:34.0,D. Lee makes free throw 1 of 2,,83,80
3,0:34.0,D. Lee makes free throw 2 of 2,,84,80
3,0:23.0,,L. Dončić misses 2-pt jump shot from 6 ft (block by D. Jones),84,80
3,0:23.0,,Offensive rebound by Team,84,80
3,0:17.0,,J. Barea makes 2-pt jump shot from 11 ft,84,82
3,0:06.0,Shooting foul by D. Harris (drawn by K. Durant),,84,82
3,0:06.0,J. Bell enters the game for D. Jones,,84,82
3,0:06.0,,D. Smith enters the game for H. Barnes,84,82
3,0:06.0,K. Durant makes free throw 1 of 2,,85,82
3,0:06.0,K. Durant makes free throw 2 of 2,,86,82
3,0:00.0,,Shooting foul by J. Bell (drawn by D. Smith),86,82
3,0:00.0,,D. Smith misses free throw 1 of 2,86,82
3,0:00.0,,Offensive rebound by Team,86,82
3,0:00.0,,D. Smith misses free throw 2 of 2,86,82
3,0:00.0,Defensive rebound by J. Bell,,86,82
4,11:50.0,,Turnover by J. Barea (bad pass; steal by D. Jones),86,82
4,11:50.0,Personal foul by D. Powell (drawn by S. Livingston),,86,82
4,11:27.0,S. Livingston makes 2-pt dunk from 1 ft (assist by Q. Cook),,88,82
4,11:18.0,,J. Barea misses 3-pt jump shot from 25 ft,88,82
4,11:16.0,Defensive rebound by J. Jerebko,,88,82
4,11:02.0,Q. Cook makes 2-pt jump shot from 10 ft,,90,82
4,10:44.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by M. Kleber),90,85
4,10:31.0,D. Jones makes 2-pt layup from 1 ft (assist by K. Thompson),,92,85
4,10:21.0,,Shooting foul by Q. Cook (drawn by D. Harris),92,85
4,10:21.0,,D. Harris misses free throw 1 of 3,92,85
4,10:21.0,,Offensive rebound by Team,92,85
4,10:21.0,,D. Harris makes free throw 2 of 3,92,86
4,10:21.0,,D. Harris makes free throw 3 of 3,92,87
4,10:00.0,S. Livingston misses 2-pt jump shot from 5 ft,,92,87
4,9:55.0,,Defensive rebound by D. Powell,92,87
4,9:50.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),92,90
4,9:33.0,Offensive foul by D. Jones (drawn by J. Barea),,92,90
4,9:33.0,Turnover by D. Jones (offensive foul),,92,90
4,9:24.0,,D. Harris misses 3-pt jump shot from 24 ft,92,90
4,9:22.0,,Offensive rebound by Team,92,90
4,9:18.0,,D. Powell makes 2-pt layup from 1 ft,92,92
4,9:18.0,,Shooting foul by D. Jones (drawn by D. Powell),92,92
4,9:18.0,A. Iguodala enters the game for Q. Cook,,92,92
4,9:18.0,K. Looney enters the game for D. Jones,,92,92
4,9:18.0,,D. Powell makes free throw 1 of 1,92,93
4,9:05.0,K. Looney misses 2-pt layup from 3 ft (block by M. Kleber),,92,93
4,9:05.0,Offensive rebound by Team,,92,93
4,9:05.0,D. Lee enters the game for S. Livingston,,92,93
4,9:00.0,K. Thompson misses 3-pt jump shot from 23 ft,,92,93
4,8:56.0,,Defensive rebound by D. Harris,92,93
4,8:35.0,,J. Barea misses 2-pt layup from 3 ft,92,93
4,8:33.0,Defensive rebound by A. Iguodala,,92,93
4,8:28.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,95,93
4,8:12.0,,D. Powell misses 3-pt jump shot from 26 ft,95,93
4,8:10.0,Defensive rebound by D. Lee,,95,93
4,8:03.0,J. Jerebko misses 3-pt jump shot from 26 ft,,95,93
4,7:59.0,,Defensive rebound by J. Barea,95,93
4,7:49.0,,Personal foul by D. Lee (drawn by D. Powell),95,93
4,7:38.0,,D. Harris misses 3-pt jump shot from 22 ft,95,93
4,7:35.0,Defensive rebound by J. Jerebko,,95,93
4,7:31.0,D. Lee misses 2-pt layup from 3 ft (block by M. Kleber),,95,93
4,7:28.0,,Defensive rebound by D. Finney-Smith,95,93
4,7:24.0,,D. Harris misses 3-pt jump shot from 26 ft,95,93
4,7:21.0,Defensive rebound by A. Iguodala,,95,93
4,7:10.0,K. Thompson makes 2-pt jump shot from 14 ft,,97,93
4,6:42.0,,J. Barea makes 3-pt jump shot from 28 ft,97,96
4,6:29.0,K. Thompson misses 3-pt jump shot from 27 ft,,97,96
4,6:26.0,Offensive rebound by K. Looney,,97,96
4,6:21.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,100,96
4,6:12.0,,Dallas full timeout,100,96
4,6:12.0,K. Durant enters the game for D. Lee,,100,96
4,6:12.0,,H. Barnes enters the game for D. Harris,100,96
4,6:12.0,,L. Dončić enters the game for M. Kleber,100,96
4,6:12.0,,D. Jordan enters the game for D. Powell,100,96
4,6:01.0,,L. Dončić misses 2-pt hook shot from 11 ft,100,96
4,5:57.0,Defensive rebound by Team,,100,96
4,5:41.0,K. Thompson misses 2-pt jump shot from 17 ft,,100,96
4,5:37.0,,Defensive rebound by D. Jordan,100,96
4,5:18.0,,J. Barea makes 2-pt jump shot from 4 ft,100,98
4,5:05.0,K. Thompson makes 2-pt dunk at rim (assist by K. Durant),,102,98
4,4:40.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by L. Dončić),102,101
4,4:20.0,K. Durant misses 2-pt jump shot from 18 ft,,102,101
