QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
1,4:03.0,,Offensive rebound by Team,19,18
1,4:03.0,Loose ball foul by R. Gay (drawn by T. Bryant),,19,18
1,4:03.0,,T. Bryant misses free throw 1 of 2,19,18
1,4:03.0,,Offensive rebound by Team,19,18
1,4:03.0,J. Poeltl enters the game for L. Aldridge,,19,18
1,4:03.0,,S. Dekker enters the game for T. Satoranský,19,18
1,4:03.0,,T. Bryant makes free throw 2 of 2,19,19
1,3:48.0,Turnover by D. DeRozan (bad pass; steal by S. Dekker),,19,19
1,3:42.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by J. McRae),19,21
1,3:31.0,R. Gay makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,21,21
1,3:22.0,,B. Beal makes 2-pt layup from 1 ft,21,23
1,3:19.0,San Antonio full timeout,,21,23
1,3:19.0,D. Bertāns enters the game for D. White,,21,23
1,3:04.0,P. Mills makes 3-pt jump shot from 24 ft (assist by D. Bertāns),,24,23
1,2:42.0,,J. McRae makes 3-pt jump shot from 27 ft,24,26
1,2:25.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. DeRozan),,26,26
1,2:04.0,,J. Green makes 2-pt layup from 1 ft (assist by B. Beal),26,28
1,1:55.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by P. Mills),,29,28
1,1:41.0,,T. Bryant makes 2-pt dunk from 3 ft (assist by B. Beal),29,30
1,1:22.0,R. Gay misses 2-pt jump shot from 19 ft,,29,30
1,1:22.0,,Defensive rebound by Team,29,30
1,1:22.0,D. Cunningham enters the game for D. DeRozan,,29,30
1,1:22.0,B. Forbes enters the game for R. Gay,,29,30
1,1:07.0,,S. Dekker misses 2-pt jump shot from 10 ft,29,30
1,1:04.0,Defensive rebound by J. Poeltl,,29,30
1,0:47.0,Shooting foul by S. Dekker (drawn by D. Bertāns),,29,30
1,0:47.0,D. Bertāns makes free throw 1 of 3,,30,30
1,0:47.0,D. Bertāns makes free throw 2 of 3,,31,30
1,0:47.0,D. Bertāns makes free throw 3 of 3,,32,30
1,0:33.0,,J. McRae misses 3-pt jump shot from 24 ft,32,30
