QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
1,7:19.0,,W. Cauley-Stein misses 2-pt dunk from 5 ft (block by T. Chandler),12,7
1,7:19.0,Defensive rebound by Team,,12,7
1,7:12.0,L. James makes 2-pt layup from 2 ft,,14,7
1,7:07.0,,D. Fox makes 2-pt jump shot from 15 ft,14,9
1,7:07.0,,Shooting foul by B. Ingram (drawn by D. Fox),14,9
1,7:07.0,,D. Fox makes free throw 1 of 1,14,10
1,6:53.0,Personal foul by B. Hield (drawn by B. Ingram),,14,10
1,6:53.0,,B. Bogdanović enters the game for B. Hield,14,10
1,6:42.0,B. Ingram misses 2-pt jump shot from 19 ft,,14,10
1,6:38.0,,Defensive rebound by D. Fox,14,10
1,6:33.0,,N. Bjelica misses 2-pt layup from 1 ft,14,10
1,6:30.0,Defensive rebound by T. Chandler,,14,10
1,6:13.0,L. James makes 3-pt jump shot from 26 ft,,17,10
1,5:57.0,,W. Cauley-Stein misses 2-pt jump shot from 16 ft,17,10
1,5:55.0,Defensive rebound by T. Chandler,,17,10
1,5:46.0,Offensive foul by T. Chandler (drawn by I. Shumpert),,17,10
1,5:46.0,Turnover by T. Chandler (offensive foul),,17,10
1,5:46.0,,M. Bagley enters the game for N. Bjelica,17,10
1,5:37.0,,Turnover by D. Fox (bad pass; steal by K. Kuzma),17,10
1,5:35.0,K. Kuzma makes 2-pt dunk from 2 ft,,19,10
1,5:20.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,19,10
1,5:16.0,,Offensive rebound by W. Cauley-Stein,19,10
1,5:13.0,,B. Bogdanović misses 2-pt jump shot from 23 ft,19,10
1,5:11.0,Defensive rebound by B. Ingram,,19,10
1,5:07.0,B. Ingram misses 2-pt layup from 2 ft (block by W. Cauley-Stein),,19,10
1,5:07.0,Offensive rebound by T. Chandler,,19,10
1,5:02.0,L. Ball misses 3-pt jump shot from 26 ft,,19,10
1,5:02.0,,Defensive rebound by B. Bogdanović,19,10
1,4:59.0,,Personal foul by L. Ball (drawn by B. Bogdanović),19,10
1,4:59.0,R. Rondo enters the game for L. Ball,,19,10
1,4:44.0,,I. Shumpert misses 2-pt jump shot from 18 ft,19,10
1,4:40.0,Defensive rebound by T. Chandler,,19,10
1,4:29.0,Turnover by T. Chandler (3 sec),,19,10
1,4:18.0,,W. Cauley-Stein misses 2-pt jump shot from 14 ft,19,10
1,4:13.0,Defensive rebound by L. James,,19,10
1,4:08.0,L. James misses 3-pt jump shot from 28 ft,,19,10
1,4:05.0,,Defensive rebound by B. Bogdanović,19,10
1,3:56.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Bogdanović),19,12
1,3:50.0,LA Lakers full timeout,,19,12
1,3:50.0,K. Caldwell-Pope enters the game for L. James,,19,12
1,3:50.0,J. Hart enters the game for K. Kuzma,,19,12
1,3:50.0,,B. Hield enters the game for W. Cauley-Stein,19,12
1,3:50.0,,J. Jackson enters the game for D. Fox,19,12
1,3:50.0,,K. Koufos enters the game for I. Shumpert,19,12
1,3:33.0,B. Ingram misses 3-pt jump shot from 25 ft,,19,12
1,3:31.0,,Defensive rebound by K. Koufos,19,12
1,3:21.0,,B. Hield misses 2-pt jump shot from 18 ft,19,12
1,3:16.0,Defensive rebound by B. Ingram,,19,12
1,3:12.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by J. Hart),,22,12
1,2:56.0,,Turnover by M. Bagley (lost ball; steal by J. Hart),22,12
1,2:42.0,R. Rondo misses 3-pt jump shot from 25 ft,,22,12
1,2:41.0,,Defensive rebound by Team,22,12
1,2:41.0,Loose ball foul by T. Chandler (drawn by M. Bagley),,22,12
1,2:41.0,,M. Bagley makes free throw 1 of 2,22,13
1,2:41.0,J. McGee enters the game for T. Chandler,,22,13
1,2:41.0,,M. Bagley misses free throw 2 of 2,22,13
1,2:38.0,,Offensive rebound by K. Koufos,22,13
1,2:35.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by K. Koufos),22,16
1,2:17.0,B. Ingram makes 2-pt jump shot from 18 ft (assist by J. Hart),,24,16
1,2:04.0,,M. Bagley makes 2-pt hook shot from 8 ft,24,18
1,1:49.0,J. Hart misses 2-pt jump shot from 10 ft,,24,18
1,1:44.0,,Defensive rebound by B. Bogdanović,24,18
1,1:42.0,,M. Bagley makes 2-pt layup from 2 ft (assist by B. Hield),24,20
1,1:15.0,B. Ingram misses 2-pt jump shot from 19 ft,,24,20
1,1:12.0,Offensive rebound by J. McGee,,24,20
1,1:10.0,J. McGee makes 2-pt dunk from 1 ft,,26,20
1,0:52.0,,B. Hield misses 2-pt jump shot from 20 ft,26,20
1,0:49.0,Defensive rebound by J. Hart,,26,20
1,0:39.0,Turnover by J. McGee (traveling),,26,20
1,0:39.0,L. Stephenson enters the game for B. Ingram,,26,20
1,0:29.0,,B. Hield misses 2-pt jump shot from 19 ft,26,20
1,0:27.0,,Offensive rebound by Team,26,20
1,0:26.0,,Offensive foul by K. Koufos (drawn by L. Stephenson),26,20
1,0:26.0,,Turnover by K. Koufos (offensive foul),26,20
1,0:02.0,Turnover by Team (shot clock),,26,20
1,0:02.0,,D. Fox enters the game for J. Jackson,26,20
1,0:00.0,,B. Bogdanović misses 3-pt jump shot from 31 ft,26,20
1,0:00.0,,Offensive rebound by Team,26,20
2,11:53.0,,Personal foul by J. Hart (drawn by M. Bagley),26,20
2,11:42.0,,M. Bagley misses 2-pt hook shot from 6 ft,26,20
2,11:39.0,Defensive rebound by J. McGee,,26,20
2,11:23.0,R. Rondo misses 2-pt jump shot from 19 ft,,26,20
2,11:20.0,,Defensive rebound by K. Koufos,26,20
2,11:16.0,,Turnover by M. Bagley (dbl dribble),26,20
2,11:03.0,J. McGee makes 2-pt layup from 3 ft (assist by L. Stephenson),,28,20
2,10:56.0,,B. Hield misses 2-pt layup from 2 ft,28,20
2,10:53.0,Defensive rebound by R. Rondo,,28,20
2,10:50.0,Turnover by L. Stephenson (bad pass; steal by D. Fox),,28,20
2,10:43.0,,Turnover by B. Hield (bad pass; steal by L. Stephenson),28,20
2,10:28.0,R. Rondo misses 2-pt jump shot from 10 ft,,28,20
2,10:26.0,Offensive rebound by R. Rondo,,28,20
2,10:25.0,Personal foul by K. Koufos (drawn by J. McGee),,28,20
2,10:25.0,T. Chandler enters the game for J. McGee,,28,20
2,10:25.0,,W. Cauley-Stein enters the game for B. Hield,28,20
2,10:25.0,,T. Williams enters the game for K. Koufos,28,20
2,10:21.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,28,20
2,10:17.0,,Defensive rebound by D. Fox,28,20
2,10:13.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),28,22
2,9:59.0,K. Caldwell-Pope misses 2-pt layup from 4 ft,,28,22
2,9:59.0,,Defensive rebound by Team,28,22
2,9:45.0,,Turnover by M. Bagley (lost ball; steal by T. Chandler),28,22
2,9:41.0,J. Hart makes 2-pt layup from 2 ft (assist by R. Rondo),,30,22
2,9:29.0,,D. Fox misses 2-pt jump shot from 15 ft,30,22
2,9:26.0,Defensive rebound by J. Hart,,30,22
2,9:20.0,Personal foul by T. Williams (drawn by L. Stephenson),,30,22
2,9:12.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Rondo),,33,22
2,9:10.0,,Sacramento full timeout,33,22
2,9:10.0,,N. Bjelica enters the game for M. Bagley,33,22
2,8:57.0,,Turnover by N. Bjelica (lost ball; steal by R. Rondo),33,22
2,8:52.0,J. Hart misses 3-pt jump shot from 25 ft,,33,22
2,8:49.0,,Defensive rebound by D. Fox,33,22
2,8:43.0,,T. Williams misses 3-pt jump shot from 23 ft,33,22
2,8:40.0,,Offensive rebound by W. Cauley-Stein,33,22
2,8:39.0,,Turnover by T. Williams (out of bounds lost ball),33,22
2,8:21.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,33,22
2,8:19.0,,Defensive rebound by J. Jackson,33,22
2,8:01.0,,Offensive foul by W. Cauley-Stein (drawn by T. Chandler),33,22
2,8:01.0,,Turnover by W. Cauley-Stein (offensive foul),33,22
2,8:01.0,,B. Bogdanović enters the game for J. Jackson,33,22
2,7:47.0,L. Stephenson makes 2-pt jump shot from 19 ft,,35,22
2,7:37.0,,Turnover by T. Williams (step out of bounds),35,22
2,7:24.0,Offensive foul by R. Rondo (drawn by D. Fox),,35,22
2,7:24.0,Turnover by R. Rondo (offensive foul),,35,22
2,7:24.0,L. James enters the game for K. Caldwell-Pope,,35,22
2,7:24.0,,F. Mason enters the game for T. Williams,35,22
2,7:09.0,,W. Cauley-Stein misses 2-pt jump shot from 9 ft,35,22
2,7:05.0,Defensive rebound by L. Stephenson,,35,22
2,6:58.0,J. Hart misses 3-pt jump shot from 25 ft,,35,22
2,6:55.0,,Defensive rebound by W. Cauley-Stein,35,22
2,6:43.0,,W. Cauley-Stein misses 2-pt jump shot from 6 ft,35,22
2,6:42.0,,Offensive rebound by N. Bjelica,35,22
2,6:40.0,,N. Bjelica misses 2-pt jump shot from 1 ft,35,22
2,6:37.0,Defensive rebound by J. Hart,,35,22
2,6:31.0,J. Hart makes 3-pt jump shot from 26 ft (assist by R. Rondo),,38,22
2,6:19.0,,Turnover by W. Cauley-Stein (traveling),38,22
2,6:19.0,L. Ball enters the game for J. Hart,,38,22
2,6:19.0,K. Kuzma enters the game for R. Rondo,,38,22
2,6:04.0,Turnover by L. Stephenson (bad pass; steal by B. Bogdanović),,38,22
2,6:00.0,,B. Bogdanović makes 2-pt dunk from 1 ft,38,24
2,5:54.0,Turnover by T. Chandler (bad pass; steal by W. Cauley-Stein),,38,24
2,5:53.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft,38,26
2,5:53.0,LA Lakers full timeout,,38,26
2,5:53.0,B. Ingram enters the game for L. Stephenson,,38,26
2,5:30.0,B. Ingram misses 2-pt jump shot from 12 ft,,38,26
2,5:28.0,Offensive rebound by Team,,38,26
2,5:25.0,L. James misses 2-pt jump shot from 9 ft,,38,26
2,5:23.0,,Defensive rebound by B. Bogdanović,38,26
2,5:19.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),38,28
2,5:08.0,B. Ingram misses 2-pt jump shot from 12 ft,,38,28
2,5:05.0,,Defensive rebound by W. Cauley-Stein,38,28
2,4:56.0,,Shooting foul by B. Ingram (drawn by B. Bogdanović),38,28
2,4:56.0,,B. Bogdanović makes free throw 1 of 2,38,29
2,4:56.0,J. McGee enters the game for T. Chandler,,38,29
2,4:56.0,,B. Bogdanović misses free throw 2 of 2,38,29
2,4:53.0,Defensive rebound by J. McGee,,38,29
2,4:35.0,L. Ball misses 2-pt layup from 3 ft,,38,29
2,4:29.0,,Defensive rebound by W. Cauley-Stein,38,29
2,4:27.0,,D. Fox makes 3-pt jump shot from 24 ft,38,32
2,4:07.0,K. Kuzma misses 2-pt hook shot from 11 ft,,38,32
2,4:07.0,,Defensive rebound by Team,38,32
2,3:58.0,,D. Fox makes 3-pt jump shot from 25 ft,38,35
2,3:46.0,L. James makes 2-pt layup from 2 ft,,40,35
2,3:46.0,Shooting foul by N. Bjelica (drawn by L. James),,40,35
2,3:46.0,L. James makes free throw 1 of 1,,41,35
2,3:31.0,,N. Bjelica misses 3-pt jump shot from 26 ft,41,35
2,3:30.0,Defensive rebound by J. McGee,,41,35
2,3:24.0,Turnover by L. James (bad pass),,41,35
2,3:04.0,,D. Fox makes 2-pt jump shot from 18 ft,41,37
2,2:49.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),,43,37
2,2:40.0,,Offensive rebound by W. Cauley-Stein,43,37
2,2:40.0,,D. Fox misses 2-pt layup from 4 ft,43,37
2,2:39.0,,W. Cauley-Stein makes 2-pt dunk from 3 ft,43,39
2,2:26.0,L. James misses 2-pt layup from 2 ft,,43,39
2,2:22.0,Offensive rebound by L. James,,43,39
2,2:22.0,L. James makes 2-pt layup from 1 ft,,45,39
2,2:14.0,,F. Mason makes 2-pt jump shot from 12 ft,45,41
2,1:54.0,L. Ball misses 2-pt jump shot from 17 ft,,45,41
2,1:51.0,,Defensive rebound by W. Cauley-Stein,45,41
2,1:42.0,,F. Mason misses 3-pt jump shot from 23 ft,45,41
2,1:38.0,Defensive rebound by J. McGee,,45,41
2,1:23.0,L. Ball misses 3-pt jump shot from 23 ft,,45,41
2,1:20.0,,Defensive rebound by N. Bjelica,45,41
2,1:01.0,,W. Cauley-Stein misses 2-pt dunk from 1 ft,45,41
2,0:57.0,Defensive rebound by L. Ball,,45,41
2,0:55.0,L. Ball makes 2-pt layup from 2 ft (assist by K. Kuzma),,47,41
2,0:34.0,,D. Fox makes 3-pt jump shot from 25 ft,47,44
2,0:16.0,L. James makes 3-pt jump shot from 28 ft,,50,44
2,0:00.0,,D. Fox misses 3-pt jump shot from 25 ft,50,44
2,0:00.0,,Offensive rebound by Team,50,44
3,11:38.0,,Turnover by B. Hield (bad pass; steal by J. McGee),50,44
3,11:32.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,53,44
3,11:17.0,,D. Fox misses 2-pt jump shot from 7 ft,53,44
3,11:17.0,Defensive rebound by Team,,53,44
3,11:17.0,,Loose ball foul by W. Cauley-Stein (drawn by J. McGee),53,44
3,11:03.0,L. Ball misses 3-pt jump shot from 25 ft,,53,44
3,10:59.0,Offensive rebound by J. McGee,,53,44
3,10:56.0,K. Kuzma misses 3-pt jump shot from 25 ft,,53,44
3,10:53.0,Offensive rebound by L. Ball,,53,44
3,10:41.0,B. Ingram misses 3-pt jump shot from 23 ft,,53,44
3,10:37.0,,Defensive rebound by W. Cauley-Stein,53,44
3,10:28.0,,I. Shumpert makes 3-pt jump shot from 26 ft,53,47
3,10:14.0,Turnover by K. Kuzma (lost ball; steal by N. Bjelica),,53,47
3,10:08.0,,B. Hield misses 3-pt jump shot from 22 ft,53,47
3,10:04.0,,Offensive rebound by N. Bjelica,53,47
3,10:04.0,,N. Bjelica makes 2-pt layup from 2 ft,53,49
3,9:48.0,B. Ingram misses 2-pt layup from 6 ft,,53,49
3,9:45.0,Offensive rebound by B. Ingram,,53,49
3,9:45.0,B. Ingram misses 2-pt layup from 2 ft,,53,49
3,9:45.0,Offensive rebound by B. Ingram,,53,49
3,9:44.0,B. Ingram misses 2-pt layup from 3 ft,,53,49
3,9:42.0,,Defensive rebound by D. Fox,53,49
3,9:37.0,,B. Hield misses 3-pt jump shot from 23 ft,53,49
3,9:36.0,Defensive rebound by Team,,53,49
3,9:36.0,,Loose ball foul by W. Cauley-Stein (drawn by J. McGee),53,49
3,9:36.0,K. Caldwell-Pope enters the game for B. Ingram,,53,49
3,9:19.0,L. James misses 3-pt jump shot from 25 ft,,53,49
3,9:15.0,Offensive rebound by J. McGee,,53,49
3,9:06.0,Turnover by J. McGee (3 sec),,53,49
3,8:52.0,,B. Hield makes 2-pt jump shot from 18 ft,53,51
3,8:35.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,53,51
3,8:30.0,,Defensive rebound by N. Bjelica,53,51
3,8:22.0,,N. Bjelica misses 2-pt jump shot from 10 ft,53,51
3,8:19.0,,Offensive rebound by N. Bjelica,53,51
3,8:18.0,,N. Bjelica misses 2-pt hook shot from 4 ft (block by J. McGee),53,51
3,8:18.0,Defensive rebound by L. James,,53,51
3,8:12.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by L. James),,55,51
3,8:09.0,,Turnover by D. Fox (bad pass; steal by L. James),55,51
3,7:48.0,L. Ball misses 3-pt jump shot from 29 ft,,55,51
3,7:44.0,,Defensive rebound by W. Cauley-Stein,55,51
3,7:41.0,,Personal foul by K. Caldwell-Pope (drawn by D. Fox),55,51
3,7:41.0,T. Chandler enters the game for J. McGee,,55,51
3,7:41.0,,Away from play foul by L. James (drawn by I. Shumpert),55,51
3,7:41.0,,B. Hield makes free throw 1 of 1,55,52
3,7:25.0,,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by I. Shumpert),55,54
3,7:06.0,K. Kuzma misses 2-pt jump shot from 8 ft,,55,54
3,7:02.0,,Defensive rebound by N. Bjelica,55,54
3,6:50.0,,Turnover by D. Fox (bad pass; steal by L. Ball),55,54
3,6:36.0,T. Chandler makes 2-pt layup from 3 ft (assist by K. Kuzma),,57,54
3,6:27.0,,D. Fox makes 2-pt jump shot from 8 ft,57,56
3,6:07.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),,59,56
3,5:52.0,,I. Shumpert misses 3-pt jump shot from 23 ft,59,56
3,5:48.0,Defensive rebound by K. Caldwell-Pope,,59,56
3,5:45.0,L. James makes 2-pt dunk from 3 ft (assist by L. Ball),,61,56
3,5:44.0,,Sacramento full timeout,61,56
3,5:44.0,B. Ingram enters the game for L. Ball,,61,56
3,5:44.0,R. Rondo enters the game for K. Caldwell-Pope,,61,56
3,5:35.0,,B. Hield misses 3-pt jump shot from 26 ft,61,56
3,5:31.0,,Offensive rebound by W. Cauley-Stein,61,56
3,5:20.0,Violation by Team (kicked ball),,61,56
3,5:16.0,,Offensive foul by W. Cauley-Stein (drawn by R. Rondo),61,56
3,5:16.0,,Turnover by W. Cauley-Stein (offensive foul),61,56
3,4:56.0,L. James makes 3-pt jump shot from 26 ft,,64,56
3,4:39.0,,B. Hield misses 2-pt layup from 5 ft,64,56
3,4:39.0,,Offensive rebound by Team,64,56
3,4:39.0,,Loose ball foul by W. Cauley-Stein (drawn by B. Ingram),64,56
3,4:39.0,,Turnover by W. Cauley-Stein (turnover),64,56
3,4:39.0,,B. Bogdanović enters the game for W. Cauley-Stein,64,56
3,4:39.0,,K. Koufos enters the game for B. Hield,64,56
3,4:26.0,Offensive foul by T. Chandler (drawn by B. Bogdanović),,64,56
3,4:26.0,Turnover by T. Chandler (offensive foul),,64,56
3,4:17.0,,Personal foul by B. Ingram (drawn by D. Fox),64,56
3,4:07.0,,D. Fox misses 3-pt jump shot from 25 ft,64,56
3,4:03.0,Defensive rebound by B. Ingram,,64,56
3,3:56.0,K. Kuzma misses 3-pt jump shot from 23 ft,,64,56
3,3:54.0,Offensive rebound by T. Chandler,,64,56
3,3:50.0,R. Rondo makes 3-pt jump shot from 25 ft,,67,56
3,3:38.0,,I. Shumpert makes 2-pt layup from 2 ft (assist by N. Bjelica),67,58
3,3:29.0,Personal foul by N. Bjelica (drawn by T. Chandler),,67,58
3,3:19.0,T. Chandler misses 2-pt layup from 2 ft,,67,58
3,3:18.0,Offensive rebound by T. Chandler,,67,58
3,3:18.0,Shooting foul by D. Fox (drawn by T. Chandler),,67,58
3,3:18.0,T. Chandler makes free throw 1 of 2,,68,58
3,3:18.0,Violation by Team (delay of game),,68,58
3,3:18.0,T. Chandler misses free throw 2 of 2,,68,58
3,3:14.0,,Defensive rebound by K. Koufos,68,58
3,3:03.0,,K. Koufos misses 2-pt hook shot from 10 ft,68,58
3,2:59.0,Defensive rebound by T. Chandler,,68,58
3,2:45.0,L. James misses 3-pt jump shot from 27 ft,,68,58
3,2:41.0,,Defensive rebound by D. Fox,68,58
3,2:34.0,,Turnover by N. Bjelica (bad pass; steal by K. Kuzma),68,58
3,2:30.0,K. Kuzma makes 2-pt dunk from 2 ft (assist by R. Rondo),,70,58
3,2:20.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,70,58
3,2:12.0,Defensive rebound by T. Chandler,,70,58
3,2:08.0,L. James misses 2-pt hook shot from 9 ft,,70,58
3,2:06.0,,Defensive rebound by N. Bjelica,70,58
3,1:59.0,,D. Fox makes 2-pt jump shot from 8 ft,70,60
3,1:33.0,R. Rondo misses 3-pt jump shot from 27 ft,,70,60
3,1:29.0,,Defensive rebound by K. Koufos,70,60
3,1:22.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,70,60
3,1:19.0,Defensive rebound by B. Ingram,,70,60
3,1:16.0,B. Ingram misses 2-pt layup from 8 ft (block by K. Koufos),,70,60
3,1:16.0,Offensive rebound by Team,,70,60
3,1:16.0,LA Lakers full timeout,,70,60
3,1:16.0,J. Hart enters the game for T. Chandler,,70,60
3,1:16.0,J. McGee enters the game for L. James,,70,60
3,1:16.0,,M. Bagley enters the game for N. Bjelica,70,60
3,1:16.0,,F. Mason enters the game for D. Fox,70,60
3,1:16.0,,T. Williams enters the game for I. Shumpert,70,60
3,1:05.0,Shooting foul by T. Williams (drawn by B. Ingram),,70,60
3,1:05.0,B. Ingram makes free throw 1 of 2,,71,60
3,1:05.0,B. Ingram makes free throw 2 of 2,,72,60
3,0:55.0,,Shooting foul by J. Hart (drawn by B. Bogdanović),72,60
3,0:55.0,,B. Bogdanović makes free throw 1 of 3,72,61
3,0:55.0,,B. Bogdanović makes free throw 2 of 3,72,62
3,0:55.0,,B. Bogdanović makes free throw 3 of 3,72,63
3,0:44.0,B. Ingram misses 2-pt jump shot from 9 ft,,72,63
3,0:40.0,,Defensive rebound by K. Koufos,72,63
3,0:38.0,,T. Williams makes 2-pt dunk from 1 ft (assist by F. Mason),72,65
3,0:38.0,,Violation by Team (delay of game),72,65
3,0:29.0,R. Rondo makes 2-pt jump shot from 10 ft,,74,65
3,0:15.0,,M. Bagley misses 2-pt hook shot from 10 ft,74,65
3,0:15.0,Defensive rebound by J. McGee,,74,65
3,0:00.0,B. Ingram makes 2-pt jump shot from 5 ft,,76,65
4,11:39.0,L. Stephenson makes 3-pt jump shot from 23 ft (assist by R. Rondo),,79,65
4,11:24.0,,M. Bagley misses 2-pt layup from 4 ft,79,65
4,11:24.0,,Offensive rebound by M. Bagley,79,65
4,11:24.0,,M. Bagley misses 2-pt layup from 3 ft,79,65
4,11:24.0,,Offensive rebound by M. Bagley,79,65
4,11:24.0,,Shooting foul by L. Stephenson (drawn by M. Bagley),79,65
4,11:24.0,,M. Bagley misses free throw 1 of 2,79,65
4,11:24.0,,Offensive rebound by Team,79,65
4,11:24.0,,M. Bagley misses free throw 2 of 2,79,65
4,11:21.0,Defensive rebound by J. Hart,,79,65
4,11:12.0,R. Rondo misses 2-pt hook shot from 12 ft,,79,65
4,11:12.0,,Defensive rebound by Team,79,65
4,11:12.0,,B. Hield enters the game for B. Bogdanović,79,65
4,11:12.0,Technical foul by R. Rondo,,79,65
4,11:12.0,,B. Hield makes technical free throw,79,66
4,11:01.0,,B. Hield misses 2-pt jump shot from 19 ft,79,66
4,10:58.0,,Offensive rebound by B. Hield,79,66
4,10:53.0,,Turnover by F. Mason (bad pass; steal by J. Hart),79,66
4,10:46.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,79,66
4,10:42.0,,Defensive rebound by K. Koufos,79,66
4,10:32.0,,F. Mason makes 2-pt jump shot from 17 ft,79,68
4,10:19.0,Shooting foul by T. Williams (drawn by K. Caldwell-Pope),,79,68
4,10:19.0,K. Caldwell-Pope misses free throw 1 of 2,,79,68
4,10:19.0,Offensive rebound by Team,,79,68
4,10:19.0,,D. Fox enters the game for T. Williams,79,68
4,10:19.0,K. Caldwell-Pope makes free throw 2 of 2,,80,68
4,10:10.0,,D. Fox misses 2-pt jump shot from 5 ft,80,68
4,10:07.0,Defensive rebound by L. Stephenson,,80,68
4,10:04.0,J. Hart misses 3-pt jump shot from 25 ft,,80,68
4,10:01.0,Offensive rebound by J. Hart,,80,68
4,9:57.0,L. Stephenson makes 3-pt jump shot from 23 ft (assist by R. Rondo),,83,68
4,9:56.0,,Sacramento full timeout,83,68
4,9:56.0,,I. Shumpert enters the game for K. Koufos,83,68
4,9:31.0,,D. Fox misses 2-pt jump shot from 20 ft,83,68
4,9:27.0,Defensive rebound by L. Stephenson,,83,68
4,9:19.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,83,68
4,9:17.0,,Defensive rebound by D. Fox,83,68
4,9:14.0,,Turnover by D. Fox (lost ball; steal by R. Rondo),83,68
4,9:08.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Rondo),,85,68
4,8:51.0,,B. Hield misses 2-pt jump shot from 20 ft,85,68
4,8:46.0,Defensive rebound by L. Stephenson,,85,68
4,8:33.0,Turnover by R. Rondo (bad pass; steal by I. Shumpert),,85,68
4,8:20.0,,M. Bagley misses 2-pt jump shot from 10 ft,85,68
4,8:15.0,Defensive rebound by R. Rondo,,85,68
4,8:01.0,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,88,68
4,7:44.0,,Personal foul by L. Stephenson (drawn by I. Shumpert),88,68
4,7:44.0,T. Chandler enters the game for J. McGee,,88,68
4,7:44.0,,J. Jackson enters the game for F. Mason,88,68
4,7:33.0,,M. Bagley misses 2-pt jump shot from 16 ft,88,68
4,7:30.0,Defensive rebound by K. Caldwell-Pope,,88,68
