QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
1,2:18.0,J. Clarkson misses 3-pt jump shot from 25 ft,,17,20
1,2:18.0,Offensive rebound by L. Nance,,17,20
1,2:03.0,Turnover by C. Sexton (lost ball; steal by J. Grant),,17,20
1,1:57.0,,J. Simmons makes 2-pt layup from 3 ft (assist by J. Grant),17,22
1,1:44.0,J. Smith makes 2-pt jump shot from 18 ft (assist by L. Nance),,19,22
1,1:24.0,,M. Bamba makes 2-pt layup from 2 ft (assist by J. Grant),19,24
1,1:10.0,J. Clarkson misses 2-pt jump shot from 17 ft,,19,24
1,1:06.0,,Defensive rebound by J. Grant,19,24
1,0:58.0,,M. Bamba misses 3-pt jump shot from 26 ft,19,24
1,0:52.0,,Offensive rebound by J. Martin,19,24
1,0:51.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Simmons),19,27
1,0:41.0,C. Sexton misses 2-pt layup from 3 ft (block by M. Bamba),,19,27
1,0:38.0,Offensive rebound by C. Osman,,19,27
1,0:38.0,C. Osman makes 2-pt layup from 3 ft,,21,27
1,0:32.0,,J. Grant misses 2-pt jump shot from 16 ft,21,27
1,0:32.0,Defensive rebound by C. Osman,,21,27
1,0:09.0,C. Osman misses 3-pt jump shot from 24 ft,,21,27
1,0:05.0,,Defensive rebound by M. Bamba,21,27
1,0:00.0,,T. Ross makes 3-pt jump shot from 28 ft,21,30
2,11:42.0,L. Nance misses 2-pt layup from 3 ft,,21,30
2,11:39.0,,Defensive rebound by M. Bamba,21,30
2,11:28.0,,M. Bamba misses 3-pt jump shot from 27 ft,21,30
2,11:26.0,,Offensive rebound by Team,21,30
2,11:26.0,Loose ball foul by S. Dekker (drawn by J. Martin),,21,30
2,11:24.0,,Turnover by T. Ross (bad pass),21,30
2,11:13.0,S. Dekker misses 2-pt hook shot from 10 ft,,21,30
2,11:09.0,,Defensive rebound by M. Bamba,21,30
2,10:56.0,,J. Grant misses 3-pt jump shot from 25 ft,21,30
2,10:53.0,Defensive rebound by J. Smith,,21,30
2,10:40.0,Turnover by L. Nance (bad pass; steal by J. Grant),,21,30
2,10:33.0,,M. Bamba misses 2-pt hook shot from 3 ft,21,30
2,10:30.0,Defensive rebound by L. Nance,,21,30
2,10:26.0,J. Clarkson makes 3-pt jump shot from 27 ft (assist by C. Sexton),,24,30
2,10:09.0,,J. Grant misses 2-pt layup from 2 ft,24,30
2,10:06.0,Defensive rebound by L. Nance,,24,30
2,10:04.0,Turnover by L. Nance (bad pass; steal by T. Ross),,24,30
2,9:57.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by J. Martin),24,33
2,9:35.0,J. Clarkson makes 3-pt jump shot from 26 ft,,27,33
2,9:19.0,,Turnover by J. Grant (bad pass; steal by L. Nance),27,33
2,9:16.0,J. Clarkson makes 2-pt layup from 2 ft (assist by J. Smith),,29,33
2,9:15.0,,Orlando full timeout,29,33
2,9:15.0,,A. Gordon enters the game for J. Martin,29,33
2,9:04.0,,T. Ross misses 2-pt jump shot from 14 ft,29,33
2,9:03.0,,Offensive rebound by Team,29,33
2,9:03.0,Loose ball foul by L. Nance (drawn by M. Bamba),,29,33
2,8:54.0,,A. Gordon makes 2-pt jump shot from 11 ft (assist by M. Bamba),29,35
2,8:45.0,Personal foul by J. Grant (drawn by C. Sexton),,29,35
2,8:34.0,J. Clarkson misses 3-pt jump shot from 24 ft,,29,35
2,8:32.0,,Defensive rebound by A. Gordon,29,35
2,8:29.0,,T. Ross misses 3-pt jump shot from 23 ft,29,35
2,8:23.0,Defensive rebound by C. Sexton,,29,35
2,8:14.0,Turnover by C. Sexton (bad pass; steal by M. Bamba),,29,35
2,8:10.0,,Shooting foul by L. Nance (drawn by A. Gordon),29,35
2,8:10.0,,A. Gordon makes free throw 1 of 2,29,36
2,8:10.0,G. Hill enters the game for L. Nance,,29,36
2,8:10.0,T. Thompson enters the game for C. Sexton,,29,36
2,8:10.0,,A. Gordon makes free throw 2 of 2,29,37
2,7:53.0,Shooting foul by M. Bamba (drawn by S. Dekker),,29,37
2,7:53.0,S. Dekker makes free throw 1 of 2,,30,37
2,7:53.0,R. Hood enters the game for J. Clarkson,,30,37
2,7:53.0,S. Dekker makes free throw 2 of 2,,31,37
2,7:41.0,,T. Ross makes 2-pt jump shot from 11 ft (assist by J. Grant),31,39
2,7:28.0,S. Dekker misses 2-pt layup from 3 ft,,31,39
2,7:26.0,Offensive rebound by T. Thompson,,31,39
2,7:26.0,T. Thompson makes 2-pt layup from 1 ft,,33,39
2,7:15.0,,J. Grant makes 2-pt jump shot from 10 ft,33,41
2,7:03.0,J. Smith makes 3-pt jump shot from 26 ft (assist by G. Hill),,36,41
2,6:50.0,,A. Gordon misses 2-pt layup from 2 ft,36,41
2,6:48.0,,Offensive rebound by A. Gordon,36,41
2,6:48.0,,A. Gordon makes 2-pt layup at rim,36,43
2,6:38.0,J. Smith misses 3-pt jump shot from 26 ft,,36,43
2,6:38.0,,Defensive rebound by Team,36,43
2,6:38.0,C. Osman enters the game for S. Dekker,,36,43
2,6:38.0,,D. Augustin enters the game for J. Grant,36,43
2,6:38.0,,E. Fournier enters the game for T. Ross,36,43
2,6:18.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by A. Gordon),36,45
2,6:02.0,R. Hood makes 3-pt jump shot from 23 ft (assist by G. Hill),,39,45
2,5:50.0,,Turnover by E. Fournier (bad pass),39,45
2,5:50.0,,N. Vučević enters the game for M. Bamba,39,45
2,5:35.0,T. Thompson makes 2-pt dunk from 2 ft (assist by J. Smith),,41,45
2,5:14.0,,Turnover by N. Vučević (lost ball; steal by G. Hill),41,45
2,5:11.0,C. Osman makes 2-pt layup from 2 ft (assist by J. Smith),,43,45
2,4:53.0,,J. Simmons makes 2-pt jump shot from 2 ft,43,47
2,4:41.0,C. Osman misses 3-pt jump shot from 25 ft,,43,47
2,4:36.0,,Defensive rebound by N. Vučević,43,47
2,4:23.0,,N. Vučević misses 2-pt hook shot from 10 ft,43,47
2,4:18.0,Defensive rebound by T. Thompson,,43,47
2,4:17.0,Cleveland full timeout,,43,47
2,4:17.0,K. Korver enters the game for J. Smith,,43,47
2,4:17.0,,T. Ross enters the game for J. Simmons,43,47
2,4:09.0,R. Hood misses 2-pt jump shot from 18 ft,,43,47
2,4:05.0,Offensive rebound by T. Thompson,,43,47
2,4:02.0,K. Korver makes 2-pt jump shot from 20 ft (assist by T. Thompson),,45,47
2,3:44.0,,N. Vučević misses 2-pt jump shot from 19 ft,45,47
2,3:41.0,Defensive rebound by C. Osman,,45,47
2,3:34.0,Turnover by T. Thompson (bad pass),,45,47
2,3:22.0,,E. Fournier misses 3-pt jump shot from 25 ft,45,47
2,3:19.0,Defensive rebound by C. Osman,,45,47
2,3:04.0,K. Korver misses 2-pt hook shot from 8 ft (block by E. Fournier),,45,47
2,3:02.0,Offensive rebound by T. Thompson,,45,47
2,2:59.0,T. Thompson misses 2-pt hook shot from 9 ft,,45,47
2,2:56.0,,Defensive rebound by N. Vučević,45,47
2,2:51.0,,E. Fournier makes 2-pt dunk from 2 ft,45,49
2,2:36.0,Offensive foul by G. Hill (drawn by D. Augustin),,45,49
2,2:36.0,Turnover by G. Hill (offensive foul),,45,49
2,2:26.0,,Turnover by D. Augustin (bad pass; steal by G. Hill),45,49
2,2:17.0,Turnover by K. Korver (bad pass; steal by E. Fournier),,45,49
2,2:08.0,,T. Ross makes 3-pt jump shot from 28 ft (assist by A. Gordon),45,52
2,1:43.0,R. Hood makes 2-pt layup from 2 ft (assist by G. Hill),,47,52
2,1:27.0,,A. Gordon misses 2-pt jump shot from 7 ft (block by T. Thompson),47,52
2,1:22.0,,Offensive rebound by N. Vučević,47,52
2,1:21.0,,N. Vučević makes 2-pt layup from 2 ft,47,54
2,1:13.0,G. Hill misses 2-pt jump shot from 17 ft,,47,54
2,1:13.0,,Defensive rebound by N. Vučević,47,54
2,0:58.0,,T. Ross misses 3-pt jump shot from 25 ft,47,54
2,0:53.0,Defensive rebound by T. Thompson,,47,54
2,0:47.0,Turnover by C. Osman (traveling),,47,54
2,0:47.0,J. Clarkson enters the game for G. Hill,,47,54
2,0:47.0,C. Sexton enters the game for R. Hood,,47,54
2,0:37.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by D. Augustin),47,56
2,0:31.0,Personal foul by E. Fournier (drawn by K. Korver),,47,56
2,0:18.0,C. Sexton misses 2-pt jump shot from 19 ft,,47,56
2,0:15.0,,Defensive rebound by A. Gordon,47,56
2,0:03.0,,A. Gordon misses 2-pt jump shot from 16 ft,47,56
2,0:01.0,,Offensive rebound by N. Vučević,47,56
2,0:01.0,,N. Vučević makes 2-pt layup at rim,47,58
3,11:49.0,Shooting foul by E. Fournier (drawn by R. Hood),,47,58
3,11:49.0,R. Hood makes free throw 1 of 2,,48,58
3,11:49.0,R. Hood makes free throw 2 of 2,,49,58
3,11:30.0,,N. Vučević misses 2-pt hook shot from 12 ft,49,58
3,11:23.0,,Offensive rebound by A. Gordon,49,58
3,11:23.0,,A. Gordon makes 2-pt dunk from 1 ft,49,60
3,11:08.0,R. Hood makes 2-pt jump shot from 16 ft (assist by T. Thompson),,51,60
3,10:47.0,,E. Fournier misses 2-pt layup from 3 ft,51,60
3,10:46.0,,Offensive rebound by Team,51,60
3,10:40.0,,E. Fournier misses 2-pt jump shot from 22 ft,51,60
3,10:38.0,Defensive rebound by T. Thompson,,51,60
3,10:24.0,S. Dekker misses 2-pt layup from 3 ft,,51,60
3,10:21.0,,Defensive rebound by N. Vučević,51,60
3,10:19.0,,W. Iwundu misses 2-pt layup from 3 ft,51,60
3,10:17.0,Defensive rebound by T. Thompson,,51,60
3,10:04.0,Cleveland full timeout,,51,60
3,10:04.0,J. Smith enters the game for S. Dekker,,51,60
3,9:53.0,T. Thompson makes 2-pt layup from 2 ft (assist by G. Hill),,53,60
3,9:40.0,,Personal foul by J. Smith (drawn by A. Gordon),53,60
3,9:32.0,,Turnover by A. Gordon (lost ball; steal by G. Hill),53,60
3,9:27.0,C. Osman makes 2-pt layup from 2 ft (assist by G. Hill),,55,60
3,9:24.0,,Orlando full timeout,55,60
3,9:05.0,,Turnover by N. Vučević (bad pass; steal by J. Smith),55,60
3,8:58.0,J. Smith misses 2-pt layup from 3 ft,,55,60
3,8:53.0,Offensive rebound by T. Thompson,,55,60
3,8:53.0,T. Thompson makes 2-pt layup at rim,,57,60
3,8:39.0,,N. Vučević misses 2-pt jump shot from 9 ft,57,60
3,8:37.0,Defensive rebound by R. Hood,,57,60
3,8:31.0,R. Hood misses 2-pt jump shot from 17 ft,,57,60
3,8:28.0,,Defensive rebound by A. Gordon,57,60
3,8:18.0,,E. Fournier misses 3-pt jump shot from 25 ft,57,60
3,8:13.0,Defensive rebound by T. Thompson,,57,60
3,7:55.0,C. Osman makes 3-pt jump shot from 27 ft (assist by T. Thompson),,60,60
3,7:42.0,,Shooting foul by C. Osman (drawn by E. Fournier),60,60
3,7:42.0,,E. Fournier makes free throw 1 of 2,60,61
3,7:42.0,,E. Fournier makes free throw 2 of 2,60,62
3,7:35.0,Turnover by G. Hill (bad pass),,60,62
3,7:23.0,,E. Fournier misses 3-pt jump shot from 26 ft,60,62
3,7:18.0,Defensive rebound by J. Smith,,60,62
3,7:08.0,R. Hood makes 2-pt jump shot from 10 ft,,62,62
3,6:50.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),62,65
3,6:29.0,J. Smith makes 2-pt jump shot from 13 ft,,64,65
3,6:29.0,,T. Ross enters the game for W. Iwundu,64,65
3,6:04.0,,N. Vučević misses 2-pt hook shot from 11 ft,64,65
3,6:02.0,Defensive rebound by T. Thompson,,64,65
3,6:01.0,Turnover by T. Thompson (bad pass; steal by D. Augustin),,64,65
3,5:51.0,,N. Vučević misses 2-pt hook shot from 6 ft,64,65
3,5:46.0,Defensive rebound by G. Hill,,64,65
3,5:39.0,C. Osman misses 2-pt layup from 3 ft,,64,65
3,5:36.0,,Defensive rebound by N. Vučević,64,65
3,5:33.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),64,68
3,5:04.0,J. Smith makes 2-pt jump shot from 20 ft,,66,68
3,4:37.0,,E. Fournier misses 3-pt jump shot from 28 ft,66,68
3,4:33.0,,Offensive rebound by A. Gordon,66,68
3,4:22.0,,A. Gordon misses 2-pt jump shot from 16 ft,66,68
3,4:18.0,Defensive rebound by G. Hill,,66,68
3,4:13.0,G. Hill makes 2-pt jump shot from 19 ft,,68,68
3,3:57.0,,D. Augustin misses 3-pt jump shot from 28 ft,68,68
3,3:53.0,Defensive rebound by T. Thompson,,68,68
3,3:42.0,G. Hill makes 3-pt jump shot from 26 ft,,71,68
3,3:25.0,,N. Vučević makes 2-pt layup from 3 ft (assist by T. Ross),71,70
3,3:02.0,C. Osman misses 2-pt layup from 2 ft (block by N. Vučević),,71,70
3,3:01.0,Offensive rebound by T. Thompson,,71,70
3,3:00.0,T. Thompson misses 2-pt layup from 2 ft,,71,70
3,2:58.0,,Defensive rebound by D. Augustin,71,70
3,2:51.0,,T. Ross misses 3-pt jump shot from 26 ft,71,70
3,2:49.0,Defensive rebound by Team,,71,70
3,2:49.0,,Loose ball foul by A. Gordon (drawn by G. Hill),71,70
3,2:49.0,J. Clarkson enters the game for G. Hill,,71,70
3,2:49.0,C. Sexton enters the game for R. Hood,,71,70
3,2:49.0,,M. Bamba enters the game for D. Augustin,71,70
3,2:49.0,,J. Grant enters the game for A. Gordon,71,70
3,2:49.0,,J. Martin enters the game for N. Vučević,71,70
3,2:30.0,T. Thompson makes 2-pt layup from 3 ft (assist by C. Sexton),,73,70
3,2:16.0,,T. Ross misses 3-pt jump shot from 26 ft,73,70
3,2:13.0,Defensive rebound by T. Thompson,,73,70
3,2:02.0,Shooting foul by E. Fournier (drawn by J. Smith),,73,70
3,2:02.0,J. Smith makes free throw 1 of 2,,74,70
3,2:02.0,L. Nance enters the game for T. Thompson,,74,70
3,2:02.0,,J. Simmons enters the game for E. Fournier,74,70
3,2:02.0,J. Smith makes free throw 2 of 2,,75,70
3,1:54.0,,Turnover by J. Martin (traveling),75,70
3,1:35.0,J. Clarkson misses 3-pt jump shot from 26 ft,,75,70
3,1:31.0,,Defensive rebound by J. Martin,75,70
3,1:26.0,,Offensive foul by J. Martin (drawn by J. Clarkson),75,70
3,1:26.0,,Turnover by J. Martin (offensive foul),75,70
3,1:09.0,Turnover by L. Nance (out of bounds lost ball),,75,70
3,0:54.0,,J. Simmons misses 2-pt jump shot from 13 ft,75,70
3,0:49.0,,Offensive rebound by M. Bamba,75,70
3,0:49.0,,M. Bamba misses 2-pt layup from 1 ft,75,70
3,0:48.0,Defensive rebound by L. Nance,,75,70
3,0:43.0,C. Osman misses 3-pt jump shot from 27 ft,,75,70
3,0:39.0,,Defensive rebound by J. Grant,75,70
3,0:31.0,,T. Ross misses 3-pt jump shot from 24 ft,75,70
3,0:28.0,Defensive rebound by C. Osman,,75,70
3,0:07.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by L. Nance),,78,70
3,0:07.0,Shooting foul by J. Simmons (drawn by J. Clarkson),,78,70
3,0:07.0,J. Clarkson makes free throw 1 of 1,,79,70
3,0:04.0,,Personal foul by C. Sexton (drawn by J. Grant),79,70
3,0:01.0,,J. Simmons misses 3-pt jump shot from 26 ft (block by J. Smith),79,70
3,0:01.0,,Offensive rebound by Team,79,70
4,11:44.0,,Turnover by J. Grant (bad pass),79,70
4,11:30.0,C. Sexton misses 2-pt jump shot from 20 ft,,79,70
4,11:26.0,,Defensive rebound by J. Simmons,79,70
4,11:14.0,,T. Ross misses 3-pt jump shot from 27 ft,79,70
4,11:10.0,,Offensive rebound by J. Martin,79,70
4,11:06.0,,J. Grant misses 2-pt jump shot from 11 ft,79,70
4,11:05.0,Defensive rebound by L. Nance,,79,70
4,10:52.0,C. Osman misses 3-pt jump shot from 23 ft,,79,70
4,10:50.0,,Defensive rebound by M. Bamba,79,70
4,10:36.0,,J. Simmons makes 2-pt jump shot from 4 ft,79,72
4,10:36.0,,Shooting foul by C. Sexton (drawn by J. Simmons),79,72
4,10:36.0,,J. Simmons makes free throw 1 of 1,79,73
4,10:22.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,82,73
4,10:06.0,,Turnover by T. Ross (bad pass; steal by J. Clarkson),82,73
4,10:01.0,C. Sexton misses 2-pt layup from 3 ft (block by J. Simmons),,82,73
4,9:59.0,,Defensive rebound by J. Martin,82,73
4,9:59.0,,Personal foul by C. Osman (drawn by J. Martin),82,73
4,9:51.0,,Personal foul by R. Hood (drawn by J. Simmons),82,73
4,9:38.0,,J. Simmons misses 3-pt jump shot from 24 ft,82,73
4,9:29.0,Defensive rebound by C. Osman,,82,73
4,9:29.0,Turnover by C. Osman (bad pass; steal by J. Grant),,82,73
4,9:29.0,,Turnover by T. Ross (bad pass),82,73
4,9:05.0,C. Osman misses 3-pt jump shot from 25 ft,,82,73
4,9:02.0,,Defensive rebound by T. Ross,82,73
4,8:43.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Grant),82,75
4,8:20.0,Shooting foul by M. Bamba (drawn by L. Nance),,82,75
4,8:20.0,L. Nance misses free throw 1 of 2,,82,75
4,8:20.0,Offensive rebound by Team,,82,75
4,8:20.0,L. Nance misses free throw 2 of 2,,82,75
4,8:20.0,,Defensive rebound by J. Martin,82,75
4,8:04.0,,T. Ross makes 2-pt jump shot from 19 ft,82,77
4,7:46.0,J. Clarkson misses 2-pt jump shot from 15 ft,,82,77
4,7:44.0,,Defensive rebound by T. Ross,82,77
4,7:39.0,,J. Simmons makes 2-pt jump shot from 12 ft,82,79
4,7:37.0,Cleveland full timeout,,82,79
4,7:37.0,G. Hill enters the game for L. Nance,,82,79
4,7:37.0,T. Thompson enters the game for C. Sexton,,82,79
4,7:37.0,,A. Gordon enters the game for J. Martin,82,79
4,7:23.0,Turnover by T. Thompson (3 sec),,82,79
4,7:13.0,,T. Ross misses 2-pt jump shot from 22 ft,82,79
4,7:08.0,Defensive rebound by G. Hill,,82,79
4,6:58.0,J. Clarkson makes 2-pt jump shot from 14 ft,,84,79
4,6:34.0,,J. Grant makes 2-pt jump shot from 16 ft,84,81
4,6:18.0,Personal foul by J. Simmons (drawn by R. Hood),,84,81
4,6:18.0,,E. Fournier enters the game for T. Ross,84,81
4,6:11.0,C. Osman misses 3-pt jump shot from 25 ft,,84,81
4,6:06.0,,Defensive rebound by J. Grant,84,81
4,5:59.0,,J. Simmons misses 2-pt jump shot from 10 ft,84,81
4,5:59.0,Defensive rebound by T. Thompson,,84,81
4,5:43.0,R. Hood misses 2-pt jump shot from 17 ft,,84,81
4,5:39.0,,Defensive rebound by A. Gordon,84,81
4,5:26.0,,A. Gordon misses 2-pt layup from 2 ft,84,81
4,5:21.0,,Offensive rebound by M. Bamba,84,81
4,5:21.0,,M. Bamba makes 2-pt dunk from 1 ft,84,83
4,5:02.0,G. Hill makes 2-pt jump shot from 10 ft,,86,83
4,4:43.0,,J. Simmons makes 2-pt jump shot from 16 ft,86,85
4,4:26.0,G. Hill makes 2-pt layup from 2 ft,,88,85
4,4:08.0,,E. Fournier makes 3-pt jump shot from 29 ft (assist by J. Simmons),88,88
4,3:43.0,Shooting foul by A. Gordon (drawn by T. Thompson),,88,88
4,3:43.0,T. Thompson misses free throw 1 of 2,,88,88
4,3:43.0,Offensive rebound by Team,,88,88
4,3:43.0,J. Smith enters the game for R. Hood,,88,88
4,3:43.0,,D. Augustin enters the game for M. Bamba,88,88
4,3:43.0,,T. Ross enters the game for J. Grant,88,88
4,3:43.0,,N. Vučević enters the game for J. Simmons,88,88
4,3:43.0,T. Thompson misses free throw 2 of 2,,88,88
4,3:41.0,,Defensive rebound by N. Vučević,88,88
4,3:39.0,,Orlando full timeout,88,88
4,3:33.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),88,91
4,3:15.0,Personal foul by E. Fournier (drawn by G. Hill),,88,91
4,3:06.0,G. Hill makes 2-pt jump shot from 19 ft,,90,91
4,2:50.0,,E. Fournier misses 3-pt jump shot from 28 ft,90,91
4,2:47.0,Defensive rebound by J. Smith,,90,91
4,2:41.0,G. Hill makes 2-pt jump shot from 19 ft,,92,91
4,2:24.0,,Shooting foul by J. Clarkson (drawn by N. Vučević),92,91
4,2:24.0,,N. Vučević makes free throw 1 of 2,92,92
4,2:24.0,,N. Vučević misses free throw 2 of 2,92,92
4,2:22.0,Defensive rebound by J. Smith,,92,92
4,2:10.0,G. Hill makes 3-pt jump shot from 25 ft,,95,92
4,1:56.0,,N. Vučević misses 3-pt jump shot from 26 ft,95,92
4,1:53.0,Defensive rebound by C. Osman,,95,92
4,1:17.0,T. Thompson makes 2-pt hook shot from 3 ft (assist by G. Hill),,97,92
4,1:06.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),97,95
4,0:42.0,J. Smith makes 3-pt jump shot from 26 ft (assist by T. Thompson),,100,95
4,0:41.0,,Orlando full timeout,100,95
4,0:33.0,,E. Fournier misses 3-pt jump shot from 28 ft,100,95
4,0:29.0,,Offensive rebound by A. Gordon,100,95
4,0:23.0,,A. Gordon makes 2-pt jump shot from 9 ft,100,97
4,0:18.0,Turnover by C. Osman (bad pass; steal by D. Augustin),,100,97
4,0:18.0,,Personal foul by J. Clarkson (drawn by D. Augustin),100,97
4,0:18.0,,D. Augustin makes free throw 1 of 2,100,98
4,0:18.0,L. Nance enters the game for J. Smith,,100,98
4,0:18.0,,D. Augustin makes free throw 2 of 2,100,99
4,0:18.0,Cleveland full timeout,,100,99
4,0:18.0,K. Korver enters the game for L. Nance,,100,99
4,0:18.0,J. Smith enters the game for T. Thompson,,100,99
4,0:18.0,,M. Bamba enters the game for D. Augustin,100,99
4,0:18.0,,J. Simmons enters the game for N. Vučević,100,99
4,0:16.0,Turnover by K. Korver (lost ball; steal by E. Fournier),,100,99
4,0:13.0,,Shooting foul by C. Osman (drawn by E. Fournier),100,99
4,0:13.0,,E. Fournier makes free throw 1 of 2,100,100
4,0:13.0,L. Nance enters the game for K. Korver,,100,100
4,0:13.0,T. Thompson enters the game for J. Smith,,100,100
4,0:13.0,,E. Fournier misses free throw 2 of 2,100,100
4,0:12.0,Defensive rebound by C. Osman,,100,100
4,0:12.0,Cleveland full timeout,,100,100
4,0:12.0,J. Smith enters the game for L. Nance,,100,100
4,0:12.0,,N. Vučević enters the game for M. Bamba,100,100
4,0:02.0,G. Hill misses 2-pt jump shot from 4 ft (block by N. Vučević),,100,100
4,0:01.0,,Defensive rebound by Team,100,100
