QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
2,2:58.0,J. Allen makes 2-pt hook shot from 6 ft (assist by C. LeVert),,61,52
2,2:46.0,,E. İlyasova makes 2-pt jump shot from 22 ft (assist by E. Bledsoe),61,54
2,2:32.0,C. LeVert misses 2-pt jump shot from 13 ft,,61,54
2,2:32.0,,Defensive rebound by E. İlyasova,61,54
2,2:22.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,61,57
2,2:04.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,61,57
2,2:01.0,,Defensive rebound by P. Connaughton,61,57
2,1:55.0,,S. Brown makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),61,60
2,1:29.0,J. Harris misses 2-pt layup from 2 ft,,61,60
2,1:26.0,,Defensive rebound by E. İlyasova,61,60
2,1:21.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by E. Bledsoe),61,62
2,1:21.0,,Shooting foul by D. Carroll (drawn by E. İlyasova),61,62
2,1:21.0,J. Dudley enters the game for J. Allen,,61,62
2,1:21.0,,T. Frazier enters the game for G. Hill,61,62
2,1:21.0,,E. İlyasova makes free throw 1 of 1,61,63
2,1:01.0,D. Carroll misses 3-pt jump shot from 25 ft,,61,63
2,0:59.0,Offensive rebound by J. Dudley,,61,63
2,0:57.0,J. Dudley misses 2-pt layup from 1 ft,,61,63
2,0:55.0,,Defensive rebound by P. Connaughton,61,63
2,0:49.0,,E. Bledsoe makes 2-pt jump shot from 11 ft,61,65
2,0:36.0,C. LeVert makes 2-pt layup from 2 ft,,63,65
2,0:31.0,,Turnover by E. Bledsoe (bad pass),63,65
2,0:15.0,Personal foul by E. İlyasova (drawn by C. LeVert),,63,65
2,0:15.0,C. LeVert makes free throw 1 of 2,,64,65
2,0:15.0,T. Graham enters the game for J. Harris,,64,65
2,0:15.0,C. LeVert misses free throw 2 of 2,,64,65
2,0:15.0,Offensive rebound by Team,,64,65
2,0:14.0,,Loose ball foul by E. İlyasova (drawn by J. Dudley),64,65
2,0:14.0,J. Dudley makes free throw 1 of 2,,65,65
2,0:14.0,J. Dudley makes free throw 2 of 2,,66,65
2,0:00.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,66,65
2,0:00.0,,Offensive rebound by Team,66,65
3,11:46.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,68,65
3,11:30.0,,D. Wilson makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),68,68
3,11:16.0,Turnover by D. Russell (bad pass),,68,68
3,11:04.0,,B. Lopez misses 3-pt jump shot from 26 ft,68,68
3,11:01.0,Defensive rebound by J. Allen,,68,68
3,10:53.0,R. Kurucs misses 3-pt jump shot from 27 ft,,68,68
3,10:50.0,,Defensive rebound by D. Wilson,68,68
3,10:42.0,,K. Middleton misses 3-pt jump shot from 25 ft,68,68
3,10:40.0,Defensive rebound by J. Allen,,68,68
3,10:35.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,71,68
3,10:20.0,,Turnover by D. Wilson (offensive foul),71,68
3,10:20.0,,Offensive foul by D. Wilson (drawn by D. Carroll),71,68
3,9:56.0,J. Allen makes 2-pt hook shot from 4 ft (assist by R. Kurucs),,73,68
3,9:46.0,,Turnover by K. Middleton (lost ball; steal by J. Harris),73,68
3,9:40.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,76,68
3,9:39.0,,Milwaukee full timeout,76,68
3,9:39.0,,P. Connaughton enters the game for D. Wilson,76,68
3,9:12.0,,S. Brown makes 2-pt layup from 7 ft (assist by K. Middleton),76,70
3,8:58.0,R. Kurucs makes 3-pt jump shot from 25 ft (assist by D. Carroll),,79,70
3,8:47.0,,S. Brown misses 3-pt jump shot from 26 ft,79,70
3,8:45.0,Defensive rebound by R. Kurucs,,79,70
3,8:39.0,R. Kurucs misses 2-pt layup from 1 ft (block by B. Lopez),,79,70
3,8:39.0,Offensive rebound by J. Allen,,79,70
3,8:39.0,Shooting foul by P. Connaughton (drawn by J. Allen),,79,70
3,8:39.0,J. Allen makes free throw 1 of 2,,80,70
3,8:39.0,J. Allen makes free throw 2 of 2,,81,70
3,8:39.0,,Technical foul by B. Lopez,81,70
3,8:39.0,J. Harris makes technical free throw,,82,70
3,8:34.0,,P. Connaughton makes 2-pt layup from 5 ft (assist by E. Bledsoe),82,72
3,8:34.0,,Shooting foul by J. Harris (drawn by P. Connaughton),82,72
3,8:34.0,,P. Connaughton misses free throw 1 of 1,82,72
3,8:32.0,Defensive rebound by R. Kurucs,,82,72
3,8:21.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,84,72
3,8:10.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by S. Brown),84,75
3,7:54.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by J. Harris),,87,75
3,7:39.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,87,75
3,7:37.0,Defensive rebound by J. Allen,,87,75
3,7:30.0,J. Harris misses 2-pt layup from 4 ft,,87,75
3,7:27.0,,Defensive rebound by B. Lopez,87,75
3,7:26.0,,E. Bledsoe makes 2-pt layup from 1 ft,87,77
3,7:26.0,,Shooting foul by R. Kurucs (drawn by E. Bledsoe),87,77
3,7:26.0,,E. İlyasova enters the game for S. Brown,87,77
3,7:26.0,,E. Bledsoe makes free throw 1 of 1,87,78
3,7:17.0,D. Russell misses 2-pt layup from 6 ft (block by B. Lopez),,87,78
3,7:13.0,,Defensive rebound by E. İlyasova,87,78
3,7:08.0,,B. Lopez makes 2-pt dunk from 2 ft (assist by P. Connaughton),87,80
3,7:07.0,Brooklyn full timeout,,87,80
3,7:07.0,S. Dinwiddie enters the game for J. Allen,,87,80
3,7:07.0,J. Dudley enters the game for D. Carroll,,87,80
3,6:48.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,90,80
3,6:20.0,,K. Middleton misses 3-pt jump shot from 26 ft,90,80
3,6:16.0,,E. İlyasova makes 2-pt layup at rim,90,82
3,6:16.0,,Offensive rebound by E. İlyasova,90,82
3,6:00.0,Turnover by S. Dinwiddie (lost ball; steal by P. Connaughton),,90,82
3,6:00.0,,Personal take foul by J. Dudley (drawn by E. Bledsoe),90,82
3,6:00.0,,T. Frazier enters the game for E. Bledsoe,90,82
3,6:00.0,,G. Hill enters the game for K. Middleton,90,82
3,5:50.0,,Shooting foul by J. Dudley (drawn by T. Frazier),90,82
3,5:50.0,,T. Frazier misses free throw 1 of 2,90,82
3,5:50.0,,Offensive rebound by Team,90,82
3,5:50.0,,T. Frazier makes free throw 2 of 2,90,83
3,5:33.0,Turnover by R. Kurucs (lost ball; steal by E. İlyasova),,90,83
3,5:31.0,Violation by Team (kicked ball),,90,83
3,5:25.0,,Turnover by T. Frazier (bad pass; steal by D. Russell),90,83
3,5:19.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by D. Russell),,93,83
3,4:57.0,,P. Connaughton makes 2-pt jump shot from 16 ft,93,85
3,4:48.0,J. Harris misses 2-pt layup from 1 ft,,93,85
3,4:46.0,,Defensive rebound by B. Lopez,93,85
3,4:38.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. Frazier),93,88
3,4:21.0,R. Kurucs misses 2-pt layup from 1 ft (block by B. Lopez),,93,88
3,4:17.0,,Defensive rebound by E. İlyasova,93,88
3,4:14.0,,P. Connaughton misses 3-pt jump shot from 26 ft,93,88
3,4:14.0,,Offensive rebound by Team,93,88
3,4:14.0,D. Carroll enters the game for J. Harris,,93,88
3,4:14.0,T. Graham enters the game for R. Kurucs,,93,88
3,4:14.0,C. LeVert enters the game for D. Russell,,93,88
3,4:14.0,,D. Wilson enters the game for B. Lopez,93,88
3,4:04.0,,P. Connaughton makes 2-pt dunk from 2 ft (assist by G. Hill),93,90
3,3:51.0,T. Graham makes 3-pt jump shot from 27 ft (assist by J. Dudley),,96,90
3,3:50.0,Violation by Team (delay of game),,96,90
3,3:39.0,,G. Hill makes 3-pt jump shot from 26 ft,96,93
3,3:30.0,Offensive foul by C. LeVert (drawn by E. İlyasova),,96,93
3,3:30.0,Turnover by C. LeVert (offensive foul),,96,93
3,3:07.0,,Turnover by T. Frazier (lost ball; steal by J. Dudley),96,93
3,3:02.0,T. Graham misses 2-pt layup from 3 ft,,96,93
3,2:58.0,Offensive rebound by J. Dudley,,96,93
3,2:58.0,J. Dudley makes 2-pt layup from 1 ft,,98,93
3,2:46.0,,G. Hill misses 2-pt layup from 4 ft,98,93
3,2:43.0,Defensive rebound by C. LeVert,,98,93
3,2:40.0,D. Carroll misses 3-pt jump shot from 28 ft,,98,93
3,2:37.0,,Defensive rebound by T. Frazier,98,93
3,2:19.0,,E. İlyasova misses 2-pt jump shot from 14 ft,98,93
3,2:16.0,Defensive rebound by D. Carroll,,98,93
3,2:01.0,Shooting foul by P. Connaughton (drawn by J. Dudley),,98,93
3,2:01.0,J. Dudley makes free throw 1 of 2,,99,93
3,2:01.0,,E. Bledsoe enters the game for T. Frazier,99,93
3,2:01.0,,S. Brown enters the game for E. İlyasova,99,93
3,2:01.0,,K. Middleton enters the game for D. Wilson,99,93
3,2:01.0,J. Dudley makes free throw 2 of 2,,100,93
3,1:49.0,,E. Bledsoe misses 2-pt jump shot from 8 ft,100,93
3,1:47.0,Defensive rebound by T. Graham,,100,93
3,1:42.0,D. Carroll makes 2-pt hook shot from 5 ft,,102,93
3,1:17.0,,K. Middleton misses 2-pt jump shot from 14 ft,102,93
3,1:14.0,Defensive rebound by D. Carroll,,102,93
3,1:12.0,Personal foul by G. Hill (drawn by J. Dudley),,102,93
3,0:59.0,C. LeVert makes 3-pt jump shot from 28 ft,,105,93
3,0:45.0,,Turnover by S. Brown (traveling),105,93
3,0:45.0,,B. Lopez enters the game for G. Hill,105,93
3,0:37.0,C. LeVert makes 3-pt jump shot from 27 ft,,108,93
3,0:29.0,,K. Middleton misses 2-pt jump shot from 6 ft,108,93
3,0:29.0,,Offensive rebound by E. Bledsoe,108,93
3,0:29.0,,Personal foul by T. Graham (drawn by E. Bledsoe),108,93
3,0:29.0,,E. Bledsoe misses free throw 1 of 2,108,93
3,0:29.0,,Offensive rebound by Team,108,93
3,0:29.0,,E. Bledsoe makes free throw 2 of 2,108,94
3,0:08.0,Turnover by C. LeVert (bad pass; steal by P. Connaughton),,108,94
3,0:05.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by P. Connaughton),108,96
3,0:00.0,C. LeVert misses 3-pt jump shot from 26 ft,,108,96
3,0:00.0,Offensive rebound by Team,,108,96
4,11:41.0,,K. Middleton makes 2-pt jump shot from 11 ft (assist by S. Brown),108,98
4,11:28.0,Turnover by T. Graham (step out of bounds),,108,98
4,11:07.0,,B. Lopez misses 2-pt layup from 2 ft,108,98
4,11:07.0,Defensive rebound by Team,,108,98
4,11:07.0,,Loose ball foul by B. Lopez (drawn by J. Dudley),108,98
4,11:07.0,,Violation by Team (delay of game),108,98
4,10:42.0,C. LeVert misses 2-pt jump shot from 7 ft,,108,98
4,10:39.0,,Defensive rebound by S. Brown,108,98
4,10:35.0,,S. Brown makes 2-pt layup from 1 ft,108,100
4,10:24.0,Shooting foul by B. Lopez (drawn by J. Dudley),,108,100
4,10:24.0,J. Dudley makes free throw 1 of 2,,109,100
4,10:24.0,J. Dudley makes free throw 2 of 2,,110,100
4,10:11.0,,Personal foul by T. Graham (drawn by E. Bledsoe),110,100
4,10:05.0,,E. Bledsoe makes 2-pt jump shot from 14 ft,110,102
4,9:56.0,Shooting foul by T. Frazier (drawn by S. Dinwiddie),,110,102
4,9:56.0,Technical foul by M. Budenholzer,,110,102
4,9:56.0,S. Dinwiddie makes technical free throw,,111,102
4,9:56.0,S. Dinwiddie makes free throw 1 of 2,,112,102
4,9:56.0,S. Dinwiddie makes free throw 2 of 2,,113,102
4,9:42.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by S. Brown),113,104
4,9:22.0,T. Graham misses 3-pt jump shot from 27 ft,,113,104
4,9:18.0,,Defensive rebound by S. Brown,113,104
4,9:10.0,,Shooting foul by T. Graham (drawn by B. Lopez),113,104
4,9:10.0,,B. Lopez makes free throw 1 of 2,113,105
4,9:10.0,R. Kurucs enters the game for J. Dudley,,113,105
4,9:10.0,,B. Lopez makes free throw 2 of 2,113,106
4,8:54.0,D. Carroll misses 2-pt jump shot from 7 ft,,113,106
4,8:51.0,,Defensive rebound by B. Lopez,113,106
4,8:44.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,113,109
4,8:44.0,Brooklyn full timeout,,113,109
4,8:44.0,J. Harris enters the game for D. Carroll,,113,109
4,8:44.0,D. Russell enters the game for C. LeVert,,113,109
4,8:23.0,J. Harris misses 2-pt layup from 2 ft,,113,109
4,8:19.0,Offensive rebound by J. Harris,,113,109
4,8:19.0,J. Harris misses 2-pt layup from 1 ft,,113,109
4,8:18.0,,Defensive rebound by B. Lopez,113,109
4,8:15.0,,E. Bledsoe misses 2-pt layup from 2 ft,113,109
4,8:13.0,,Offensive rebound by E. Bledsoe,113,109
4,8:09.0,,S. Brown makes 2-pt layup from 2 ft (assist by E. Bledsoe),113,111
4,7:56.0,Turnover by D. Russell (lost ball; steal by T. Frazier),,113,111
4,7:50.0,,K. Middleton makes 2-pt jump shot from 21 ft (assist by E. Bledsoe),113,113
4,7:36.0,,Violation by Team (def goaltending),113,113
4,7:36.0,S. Dinwiddie makes 2-pt layup from 2 ft,,115,113
4,7:16.0,,K. Middleton makes 2-pt jump shot from 15 ft,115,115
4,7:08.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,117,115
4,7:08.0,,Milwaukee full timeout,117,115
4,7:08.0,,P. Connaughton enters the game for E. Bledsoe,117,115
4,7:08.0,,G. Hill enters the game for T. Frazier,117,115
4,7:08.0,,E. İlyasova enters the game for K. Middleton,117,115
4,6:44.0,,P. Connaughton makes 2-pt jump shot from 19 ft (assist by G. Hill),117,117
4,6:25.0,D. Russell makes 3-pt jump shot from 28 ft,,120,117
4,6:20.0,,Personal foul by R. Kurucs (drawn by B. Lopez),120,117
