QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
1,6:21.0,,Turnover by T. Young (lost ball; steal by J. Harden),9,10
1,6:17.0,D. House makes 3-pt jump shot from 23 ft (assist by J. Harden),,12,10
1,5:57.0,,J. Collins misses 2-pt jump shot from 8 ft,12,10
1,5:54.0,Defensive rebound by J. Harden,,12,10
1,5:37.0,D. House misses 3-pt jump shot from 23 ft,,12,10
1,5:34.0,,Defensive rebound by D. Dedmon,12,10
1,5:20.0,,D. Dedmon misses 3-pt jump shot from 25 ft,12,10
1,5:16.0,Defensive rebound by J. Harden,,12,10
1,5:13.0,C. Capela makes 2-pt layup from 1 ft (assist by D. House),,14,10
1,5:13.0,Shooting foul by D. Dedmon (drawn by C. Capela),,14,10
1,5:13.0,,J. Adams enters the game for D. Dedmon,14,10
1,5:13.0,,K. Bazemore enters the game for K. Huerter,14,10
1,5:13.0,,A. Len enters the game for T. Young,14,10
1,5:13.0,C. Capela makes free throw 1 of 1,,15,10
1,4:52.0,,Turnover by T. Prince (bad pass; steal by P. Tucker),15,10
1,4:48.0,J. Harden misses 2-pt layup from 1 ft,,15,10
1,4:44.0,,Defensive rebound by K. Bazemore,15,10
1,4:39.0,,J. Collins makes 2-pt layup from 1 ft (assist by J. Adams),15,12
1,4:24.0,Shooting foul by T. Prince (drawn by J. Harden),,15,12
1,4:24.0,J. Harden makes free throw 1 of 2,,16,12
1,4:24.0,K. Faried enters the game for C. Capela,,16,12
1,4:24.0,G. Green enters the game for P. Tucker,,16,12
1,4:24.0,,D. Bembry enters the game for J. Collins,16,12
1,4:24.0,,V. Carter enters the game for T. Prince,16,12
1,4:24.0,J. Harden makes free throw 2 of 2,,17,12
1,4:10.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by K. Bazemore),17,15
1,3:49.0,J. Harden misses 3-pt jump shot from 25 ft,,17,15
1,3:47.0,,Defensive rebound by D. Bembry,17,15
1,3:44.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),17,17
1,3:32.0,G. Green misses 3-pt jump shot from 22 ft,,17,17
1,3:29.0,,Defensive rebound by K. Bazemore,17,17
1,3:18.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Bazemore),17,20
1,2:59.0,G. Green misses 3-pt jump shot from 25 ft,,17,20
1,2:56.0,,Defensive rebound by D. Bembry,17,20
1,2:52.0,,V. Carter misses 3-pt jump shot from 25 ft,17,20
1,2:47.0,,Offensive rebound by J. Adams,17,20
1,2:39.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Adams),17,22
1,2:24.0,J. Harden makes 2-pt jump shot from 6 ft,,19,22
1,2:08.0,,Personal foul by A. Rivers (drawn by A. Len),19,22
1,2:08.0,Houston full timeout,,19,22
1,2:08.0,C. Paul enters the game for J. Harden,,19,22
1,2:04.0,,D. Bembry misses 2-pt layup at rim,19,22
1,2:01.0,Defensive rebound by D. House,,19,22
1,1:44.0,D. House makes 3-pt jump shot from 24 ft (assist by A. Rivers),,22,22
1,1:25.0,,A. Len misses 2-pt hook shot from 12 ft,22,22
1,1:21.0,Defensive rebound by D. House,,22,22
1,1:15.0,Shooting foul by A. Len (drawn by D. House),,22,22
1,1:15.0,D. House makes free throw 1 of 2,,23,22
1,1:15.0,D. House misses free throw 2 of 2,,23,22
1,1:13.0,,Defensive rebound by K. Bazemore,23,22
1,1:01.0,,D. Bembry misses 3-pt jump shot from 24 ft,23,22
1,0:58.0,Defensive rebound by A. Rivers,,23,22
1,0:52.0,A. Rivers misses 3-pt jump shot from 25 ft,,23,22
1,0:49.0,,Defensive rebound by D. Bembry,23,22
1,0:43.0,,Turnover by D. Bembry (traveling),23,22
1,0:34.0,C. Paul misses 2-pt jump shot from 12 ft,,23,22
1,0:31.0,Offensive rebound by K. Faried,,23,22
1,0:31.0,K. Faried makes 2-pt hook shot from 4 ft,,25,22
1,0:13.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by J. Adams),25,25
1,0:02.0,G. Green misses 3-pt jump shot from 25 ft,,25,25
1,0:01.0,Offensive rebound by D. House,,25,25
1,0:01.0,D. House misses 2-pt layup from 3 ft,,25,25
1,0:01.0,,Defensive rebound by V. Carter,25,25
2,11:41.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by V. Carter),25,27
2,11:26.0,Personal foul by V. Carter (drawn by K. Faried),,25,27
2,11:16.0,D. House misses 3-pt jump shot from 25 ft,,25,27
2,11:13.0,,Defensive rebound by D. Dedmon,25,27
2,10:55.0,,K. Huerter misses 3-pt jump shot from 24 ft,25,27
2,10:51.0,Defensive rebound by G. Green,,25,27
2,10:41.0,K. Faried misses 2-pt layup from 3 ft (block by K. Huerter),,25,27
2,10:36.0,Offensive rebound by K. Faried,,25,27
2,10:25.0,Shooting foul by K. Bazemore (drawn by G. Green),,25,27
2,10:25.0,G. Green makes free throw 1 of 2,,26,27
2,10:25.0,G. Green makes free throw 2 of 2,,27,27
2,10:12.0,,T. Young misses 2-pt layup from 6 ft,27,27
2,10:12.0,,Offensive rebound by Team,27,27
2,10:12.0,E. Gordon enters the game for G. Green,,27,27
2,10:12.0,P. Tucker enters the game for D. House,,27,27
2,10:00.0,,K. Bazemore misses 3-pt jump shot from 26 ft,27,27
2,9:56.0,,Offensive rebound by D. Dedmon,27,27
2,9:53.0,,D. Dedmon misses 2-pt hook shot from 5 ft,27,27
2,9:49.0,Defensive rebound by P. Tucker,,27,27
2,9:44.0,Turnover by A. Rivers (bad pass; steal by K. Huerter),,27,27
2,9:31.0,,K. Huerter misses 3-pt jump shot from 26 ft,27,27
2,9:28.0,,Offensive rebound by T. Young,27,27
2,9:25.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),27,29
2,9:08.0,C. Paul misses 3-pt jump shot from 25 ft,,27,29
2,9:06.0,,Defensive rebound by D. Dedmon,27,29
2,8:53.0,,D. Dedmon misses 2-pt hook shot from 2 ft,27,29
2,8:50.0,Defensive rebound by P. Tucker,,27,29
2,8:48.0,Personal foul by K. Bazemore (drawn by C. Paul),,27,29
2,8:48.0,J. Harden enters the game for A. Rivers,,27,29
2,8:48.0,,J. Collins enters the game for K. Bazemore,27,29
2,8:48.0,,T. Prince enters the game for V. Carter,27,29
2,8:43.0,Shooting foul by J. Collins (drawn by J. Harden),,27,29
2,8:43.0,J. Harden makes free throw 1 of 2,,28,29
2,8:43.0,J. Harden makes free throw 2 of 2,,29,29
2,8:29.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),29,32
2,8:11.0,E. Gordon misses 3-pt jump shot from 25 ft,,29,32
2,8:08.0,,Defensive rebound by D. Dedmon,29,32
2,8:08.0,C. Capela enters the game for K. Faried,,29,32
2,8:08.0,D. House enters the game for C. Paul,,29,32
2,7:45.0,,K. Huerter misses 2-pt jump shot from 21 ft,29,32
2,7:41.0,Defensive rebound by J. Harden,,29,32
2,7:35.0,J. Harden makes 3-pt jump shot from 26 ft,,32,32
2,7:22.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),32,35
2,7:14.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden),,35,35
2,7:02.0,,T. Prince misses 2-pt layup from 1 ft,35,35
2,7:01.0,Defensive rebound by Team,,35,35
2,7:01.0,,Loose ball foul by J. Collins (drawn by C. Capela),35,35
2,7:01.0,C. Capela makes free throw 1 of 2,,36,35
2,7:01.0,C. Capela misses free throw 2 of 2,,36,35
2,6:58.0,,Defensive rebound by J. Collins,36,35
2,6:46.0,,Shooting foul by E. Gordon (drawn by T. Young),36,35
2,6:46.0,,Atlanta full timeout,36,35
2,6:46.0,,T. Young makes free throw 1 of 2,36,36
2,6:46.0,,T. Young makes free throw 2 of 2,36,37
2,6:34.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,38,37
2,6:17.0,,T. Young misses 2-pt layup from 1 ft,38,37
2,6:14.0,Defensive rebound by E. Gordon,,38,37
2,6:10.0,Personal foul by T. Prince (drawn by C. Capela),,38,37
2,6:10.0,C. Capela misses free throw 1 of 2,,38,37
2,6:10.0,Offensive rebound by Team,,38,37
2,6:10.0,C. Capela makes free throw 2 of 2,,39,37
2,5:56.0,,T. Young misses 2-pt layup from 5 ft,39,37
2,5:53.0,Defensive rebound by C. Capela,,39,37
2,5:48.0,J. Harden misses 3-pt jump shot from 25 ft,,39,37
2,5:44.0,,Defensive rebound by J. Collins,39,37
2,5:35.0,,J. Collins makes 2-pt layup from 5 ft (assist by K. Huerter),39,39
2,5:13.0,J. Harden makes 2-pt layup from 1 ft,,41,39
2,4:53.0,,D. Dedmon misses 3-pt jump shot from 25 ft,41,39
2,4:50.0,Defensive rebound by J. Harden,,41,39
2,4:41.0,C. Capela misses 2-pt layup from 1 ft,,41,39
2,4:38.0,,Defensive rebound by D. Dedmon,41,39
2,4:35.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),41,41
2,4:18.0,C. Capela makes 2-pt layup from 1 ft (assist by E. Gordon),,43,41
2,4:11.0,,Atlanta full timeout,43,41
2,4:11.0,C. Paul enters the game for E. Gordon,,43,41
2,4:11.0,,J. Adams enters the game for D. Dedmon,43,41
2,4:11.0,,K. Bazemore enters the game for K. Huerter,43,41
2,4:11.0,,D. Bembry enters the game for T. Prince,43,41
2,4:11.0,,A. Len enters the game for T. Young,43,41
2,4:00.0,,Turnover by K. Bazemore (bad pass; steal by C. Capela),43,41
2,3:51.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,45,41
2,3:39.0,,J. Collins misses 3-pt jump shot from 23 ft,45,41
2,3:36.0,,Offensive rebound by A. Len,45,41
2,3:24.0,,J. Adams misses 3-pt jump shot from 26 ft,45,41
2,3:19.0,,Offensive rebound by K. Bazemore,45,41
2,3:18.0,,J. Collins misses 2-pt layup from 1 ft (block by J. Harden),45,41
2,3:18.0,Defensive rebound by Team,,45,41
2,2:55.0,C. Paul makes 2-pt jump shot from 21 ft,,47,41
2,2:35.0,,A. Len misses 3-pt jump shot from 26 ft,47,41
2,2:34.0,Defensive rebound by J. Harden,,47,41
2,2:14.0,J. Harden makes 2-pt layup from 1 ft,,49,41
2,2:04.0,,Shooting foul by D. House (drawn by J. Collins),49,41
2,2:04.0,,J. Collins misses free throw 1 of 2,49,41
2,2:04.0,,Offensive rebound by Team,49,41
2,2:04.0,E. Gordon enters the game for D. House,,49,41
2,2:04.0,,J. Collins makes free throw 2 of 2,49,42
2,1:55.0,Personal foul by K. Bazemore (drawn by C. Paul),,49,42
2,1:55.0,C. Paul makes free throw 1 of 2,,50,42
2,1:55.0,,V. Carter enters the game for K. Bazemore,50,42
2,1:55.0,,T. Young enters the game for J. Collins,50,42
2,1:55.0,C. Paul misses free throw 2 of 2,,50,42
2,1:53.0,,Defensive rebound by V. Carter,50,42
2,1:34.0,,D. Bembry misses 2-pt layup from 4 ft,50,42
2,1:30.0,Defensive rebound by C. Capela,,50,42
2,1:28.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,52,42
2,1:28.0,Shooting foul by A. Len (drawn by C. Capela),,52,42
2,1:28.0,C. Capela makes free throw 1 of 1,,53,42
2,1:15.0,,J. Adams misses 3-pt jump shot from 23 ft,53,42
2,1:13.0,Defensive rebound by J. Harden,,53,42
2,1:06.0,Turnover by J. Harden (bad pass),,53,42
2,1:00.0,,T. Young makes 2-pt jump shot from 16 ft,53,44
2,1:00.0,,Shooting foul by E. Gordon (drawn by T. Young),53,44
2,1:00.0,,T. Young makes free throw 1 of 1,53,45
2,0:42.0,J. Harden misses 3-pt jump shot from 23 ft,,53,45
2,0:38.0,,Defensive rebound by D. Bembry,53,45
2,0:31.0,,T. Young makes 2-pt jump shot from 11 ft,53,47
2,0:12.0,Shooting foul by J. Adams (drawn by C. Capela),,53,47
2,0:12.0,C. Capela misses free throw 1 of 2,,53,47
2,0:12.0,Offensive rebound by Team,,53,47
2,0:12.0,C. Capela misses free throw 2 of 2,,53,47
2,0:10.0,,Defensive rebound by D. Bembry,53,47
2,0:00.0,,T. Young misses 3-pt jump shot from 26 ft,53,47
2,0:00.0,,Offensive rebound by Team,53,47
3,11:40.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Prince),53,49
3,11:17.0,C. Paul misses 2-pt jump shot from 11 ft,,53,49
3,11:11.0,,Defensive rebound by T. Young,53,49
3,10:57.0,,D. Dedmon misses 2-pt jump shot from 16 ft,53,49
3,10:54.0,Defensive rebound by J. Harden,,53,49
3,10:44.0,J. Harden misses 2-pt layup from 4 ft,,53,49
3,10:41.0,,Defensive rebound by K. Huerter,53,49
3,10:35.0,,J. Collins makes 2-pt dunk at rim (assist by T. Young),53,51
3,10:12.0,Personal foul by T. Prince (drawn by J. Harden),,53,51
3,10:03.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),,56,51
3,9:46.0,,T. Young makes 2-pt layup from 6 ft,56,53
3,9:35.0,Turnover by J. Harden (bad pass; steal by K. Huerter),,56,53
3,9:30.0,,T. Prince makes 2-pt layup from 1 ft (assist by K. Huerter),56,55
3,9:15.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),,59,55
3,8:56.0,,K. Huerter misses 3-pt jump shot from 26 ft,59,55
3,8:53.0,,Offensive rebound by J. Collins,59,55
3,8:53.0,,Turnover by J. Collins (out of bounds lost ball),59,55
3,8:32.0,Offensive foul by C. Paul (drawn by T. Young),,59,55
3,8:32.0,Turnover by C. Paul (offensive foul),,59,55
3,8:25.0,,Personal foul by E. Gordon (drawn by T. Young),59,55
3,8:25.0,,K. Bazemore enters the game for T. Prince,59,55
3,8:19.0,,K. Huerter misses 3-pt jump shot from 28 ft,59,55
3,8:18.0,Defensive rebound by Team,,59,55
3,8:00.0,E. Gordon misses 3-pt jump shot from 26 ft,,59,55
3,7:56.0,Offensive rebound by C. Capela,,59,55
3,7:53.0,J. Harden misses 3-pt jump shot from 25 ft,,59,55
3,7:50.0,,Defensive rebound by J. Collins,59,55
3,7:45.0,,T. Young makes 3-pt jump shot from 29 ft,59,58
3,7:30.0,P. Tucker misses 3-pt jump shot from 23 ft,,59,58
3,7:26.0,,Defensive rebound by K. Bazemore,59,58
3,7:17.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by K. Bazemore),59,61
3,6:59.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,62,61
3,6:46.0,,T. Young misses 2-pt jump shot from 11 ft,62,61
3,6:42.0,Defensive rebound by C. Capela,,62,61
3,6:34.0,C. Paul makes 3-pt jump shot from 22 ft (assist by J. Harden),,65,61
3,6:20.0,,Turnover by K. Bazemore (bad pass; steal by C. Paul),65,61
3,6:15.0,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Paul),,68,61
3,6:13.0,,Atlanta full timeout,68,61
3,6:13.0,D. House enters the game for C. Paul,,68,61
3,6:13.0,,J. Adams enters the game for J. Collins,68,61
3,6:13.0,,D. Bembry enters the game for K. Huerter,68,61
3,6:13.0,,V. Carter enters the game for T. Young,68,61
3,5:58.0,,D. Bembry makes 2-pt layup from 3 ft (assist by J. Adams),68,63
3,5:40.0,J. Harden makes 3-pt jump shot from 25 ft,,71,63
3,5:25.0,,D. Dedmon misses 2-pt hook shot from 8 ft,71,63
3,5:21.0,Defensive rebound by C. Capela,,71,63
3,5:11.0,Turnover by J. Harden (bad pass; steal by K. Bazemore),,71,63
3,5:02.0,,Shooting foul by C. Capela (drawn by K. Bazemore),71,63
3,5:02.0,,K. Bazemore misses free throw 1 of 2,71,63
3,5:02.0,,Offensive rebound by Team,71,63
3,5:02.0,,K. Bazemore makes free throw 2 of 2,71,64
3,4:46.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),,74,64
3,4:38.0,,V. Carter misses 3-pt jump shot from 25 ft,74,64
3,4:32.0,Defensive rebound by C. Capela,,74,64
3,4:28.0,Offensive foul by D. House (drawn by V. Carter),,74,64
3,4:28.0,Turnover by D. House (offensive foul),,74,64
3,4:28.0,,A. Len enters the game for D. Dedmon,74,64
3,4:18.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by V. Carter),74,67
3,3:58.0,J. Harden makes 2-pt layup from 2 ft,,76,67
3,3:41.0,,Turnover by K. Bazemore (lost ball; steal by E. Gordon),76,67
3,3:33.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,78,67
3,3:33.0,,Atlanta full timeout,78,67
3,3:33.0,K. Faried enters the game for C. Capela,,78,67
3,3:33.0,A. Rivers enters the game for E. Gordon,,78,67
3,3:21.0,,K. Bazemore misses 2-pt jump shot from 7 ft,78,67
3,3:21.0,,Offensive rebound by Team,78,67
3,3:21.0,Loose ball foul by K. Faried (drawn by A. Len),,78,67
3,3:19.0,,Personal foul by A. Rivers (drawn by D. Bembry),78,67
3,3:06.0,,Turnover by K. Bazemore (bad pass; steal by P. Tucker),78,67
3,2:58.0,Personal foul by D. Bembry (drawn by J. Harden),,78,67
3,2:46.0,D. House makes 3-pt jump shot from 26 ft (assist by J. Harden),,81,67
3,2:26.0,,V. Carter misses 3-pt jump shot from 24 ft,81,67
3,2:24.0,Defensive rebound by A. Rivers,,81,67
3,2:19.0,J. Harden misses 2-pt jump shot from 6 ft,,81,67
3,2:15.0,Offensive rebound by K. Faried,,81,67
3,2:15.0,Turnover by K. Faried (bad pass),,81,67
3,2:15.0,,K. Huerter enters the game for K. Bazemore,81,67
3,1:55.0,,J. Adams misses 3-pt jump shot from 25 ft,81,67
3,1:51.0,Defensive rebound by P. Tucker,,81,67
3,1:49.0,Turnover by K. Faried (out of bounds lost ball),,81,67
3,1:49.0,Houston full timeout,,81,67
3,1:49.0,C. Paul enters the game for J. Harden,,81,67
3,1:49.0,,J. Collins enters the game for A. Len,81,67
3,1:39.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by K. Huerter),81,70
3,1:17.0,Shooting foul by J. Adams (drawn by A. Rivers),,81,70
3,1:17.0,A. Rivers makes free throw 1 of 2,,82,70
3,1:17.0,A. Rivers misses free throw 2 of 2,,82,70
3,1:15.0,,Defensive rebound by D. Bembry,82,70
3,1:01.0,,K. Huerter makes 2-pt jump shot from 7 ft,82,72
3,0:51.0,A. Rivers misses 3-pt jump shot from 26 ft,,82,72
3,0:48.0,,Defensive rebound by D. Bembry,82,72
3,0:42.0,,Turnover by D. Bembry (bad pass),82,72
3,0:38.0,Personal foul by D. Bembry (drawn by C. Paul),,82,72
3,0:38.0,C. Paul makes free throw 1 of 2,,83,72
3,0:38.0,C. Paul makes free throw 2 of 2,,84,72
3,0:31.0,,D. Bembry misses 3-pt jump shot from 25 ft,84,72
3,0:27.0,Defensive rebound by P. Tucker,,84,72
3,0:05.0,C. Paul misses 3-pt jump shot from 26 ft,,84,72
3,0:05.0,,Defensive rebound by D. Bembry,84,72
3,0:01.0,,Turnover by D. Bembry (lost ball; steal by A. Rivers),84,72
4,11:50.0,D. House misses 3-pt jump shot from 23 ft,,84,72
4,11:47.0,,Defensive rebound by J. Collins,84,72
4,11:36.0,Violation by Team (kicked ball),,84,72
4,11:28.0,,K. Huerter misses 3-pt jump shot from 27 ft,84,72
4,11:23.0,,Offensive rebound by T. Young,84,72
4,11:21.0,,T. Young makes 3-pt jump shot from 25 ft,84,75
4,10:58.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by A. Rivers),,87,75
4,10:43.0,,Turnover by T. Young (bad pass; steal by A. Rivers),87,75
4,10:36.0,K. Faried makes 2-pt dunk from 1 ft (assist by D. House),,89,75
4,10:16.0,,Turnover by T. Young (lost ball; steal by C. Paul),89,75
4,9:57.0,D. House misses 3-pt jump shot from 23 ft,,89,75
4,9:54.0,,Defensive rebound by V. Carter,89,75
4,9:47.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by J. Collins),89,78
4,9:30.0,C. Paul makes 2-pt jump shot from 21 ft,,91,78
4,9:19.0,,Turnover by T. Prince (bad pass),91,78
4,9:09.0,K. Faried makes 2-pt layup from 1 ft (assist by C. Paul),,93,78
4,9:09.0,,Atlanta full timeout,93,78
4,9:09.0,,D. Dedmon enters the game for J. Collins,93,78
4,9:01.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Young),93,81
4,8:39.0,K. Faried makes 2-pt dunk from 1 ft (assist by C. Paul),,95,81
4,8:14.0,,T. Young misses 3-pt jump shot from 30 ft,95,81
4,8:12.0,Defensive rebound by Team,,95,81
4,8:05.0,D. House makes 3-pt jump shot from 23 ft (assist by C. Paul),,98,81
4,8:05.0,,D. Bembry enters the game for K. Huerter,98,81
4,7:46.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by T. Young),98,84
4,7:18.0,D. House makes 3-pt jump shot from 23 ft (assist by C. Paul),,101,84
4,6:59.0,,Offensive foul by D. Dedmon (drawn by K. Faried),101,84
4,6:59.0,,Turnover by D. Dedmon (offensive foul),101,84
4,6:59.0,J. Harden enters the game for A. Rivers,,101,84
4,6:59.0,,J. Collins enters the game for D. Dedmon,101,84
4,6:47.0,C. Paul makes 3-pt jump shot from 27 ft,,104,84
4,6:34.0,,Personal foul by E. Gordon (drawn by T. Young),104,84
4,6:34.0,P. Tucker enters the game for C. Paul,,104,84
4,6:29.0,,J. Collins misses 2-pt layup from 1 ft,104,84
4,6:27.0,,Offensive rebound by J. Collins,104,84
4,6:26.0,,J. Collins makes 2-pt dunk from 1 ft,104,86
4,6:08.0,K. Faried misses 2-pt dunk from 1 ft,,104,86
4,6:05.0,,Defensive rebound by T. Young,104,86
4,6:03.0,,D. Bembry makes 2-pt layup at rim (assist by T. Young),104,88
4,5:49.0,Turnover by D. House (out of bounds lost ball),,104,88
4,5:40.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),104,90
4,5:40.0,Houston full timeout,,104,90
4,5:40.0,C. Capela enters the game for K. Faried,,104,90
4,5:30.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,106,90
4,5:12.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by D. Bembry),106,93
4,4:51.0,J. Harden makes 3-pt jump shot from 26 ft,,109,93
4,4:35.0,,Shooting foul by D. House (drawn by D. Bembry),109,93
4,4:35.0,,D. Bembry makes free throw 1 of 2,109,94
4,4:35.0,,D. Bembry makes free throw 2 of 2,109,95
4,4:18.0,Personal foul by V. Carter (drawn by J. Harden),,109,95
4,4:11.0,Turnover by J. Harden (bad pass; steal by J. Collins),,109,95
4,4:06.0,,T. Prince misses 3-pt jump shot from 24 ft,109,95
4,4:01.0,Defensive rebound by C. Capela,,109,95
4,3:53.0,Shooting foul by T. Young (drawn by J. Harden),,109,95
4,3:53.0,J. Harden makes free throw 1 of 2,,110,95
4,3:53.0,J. Harden makes free throw 2 of 2,,111,95
4,3:43.0,,Shooting foul by C. Capela (drawn by T. Young),111,95
4,3:43.0,,T. Young makes free throw 1 of 2,111,96
4,3:43.0,,T. Young makes free throw 2 of 2,111,97
4,3:29.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,113,97
4,3:09.0,,Turnover by T. Young (bad pass; steal by P. Tucker),113,97
4,3:03.0,J. Harden misses 3-pt jump shot from 25 ft,,113,97
4,3:00.0,,Defensive rebound by T. Prince,113,97
4,2:56.0,,D. Bembry makes 2-pt layup at rim (assist by T. Prince),113,99
4,2:42.0,,Violation by Team (kicked ball),113,99
4,2:42.0,A. Rivers enters the game for P. Tucker,,113,99
4,2:36.0,Personal foul by D. Bembry (drawn by J. Harden),,113,99
4,2:28.0,Shooting foul by D. Bembry (drawn by J. Harden),,113,99
4,2:28.0,J. Harden misses free throw 1 of 3,,113,99
4,2:28.0,Offensive rebound by Team,,113,99
4,2:28.0,J. Harden makes free throw 2 of 3,,114,99
4,2:28.0,K. Faried enters the game for C. Capela,,114,99
4,2:28.0,J. Harden makes free throw 3 of 3,,115,99
4,2:22.0,,Shooting foul by A. Rivers (drawn by T. Young),115,99
4,2:22.0,,T. Young makes free throw 1 of 2,115,100
4,2:22.0,G. Green enters the game for J. Harden,,115,100
4,2:22.0,,T. Young makes free throw 2 of 2,115,101
4,2:03.0,D. House makes 3-pt jump shot from 26 ft,,118,101
4,1:53.0,,Offensive foul by T. Young (drawn by K. Faried),118,101
4,1:53.0,,Turnover by T. Young (offensive foul),118,101
4,1:53.0,G. Clark enters the game for E. Gordon,,118,101
