QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
1,5:01.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. Ball),,15,17
1,4:45.0,,N. Jokić misses 2-pt jump shot from 17 ft,15,17
1,4:43.0,Defensive rebound by L. James,,15,17
1,4:38.0,L. James makes 2-pt layup from 2 ft,,17,17
1,4:38.0,,Denver full timeout,17,17
1,4:38.0,K. Caldwell-Pope enters the game for B. Ingram,,17,17
1,4:38.0,,T. Lyles enters the game for P. Millsap,17,17
1,4:38.0,,M. Morris enters the game for J. Murray,17,17
1,4:18.0,,N. Jokić makes 2-pt jump shot from 14 ft,17,19
1,4:03.0,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by N. Jokić),,17,19
1,4:03.0,,Defensive rebound by Team,17,19
1,3:52.0,,Personal foul by T. Chandler (drawn by N. Jokić),17,19
1,3:40.0,,N. Jokić misses 2-pt jump shot from 21 ft,17,19
1,3:36.0,Defensive rebound by L. Ball,,17,19
1,3:34.0,Shooting foul by T. Lyles (drawn by L. James),,17,19
1,3:34.0,L. James misses free throw 1 of 2,,17,19
1,3:34.0,Offensive rebound by Team,,17,19
1,3:34.0,,M. Plumlee enters the game for N. Jokić,17,19
1,3:34.0,L. James makes free throw 2 of 2,,18,19
1,3:20.0,,M. Morris makes 2-pt jump shot from 5 ft,18,21
1,3:02.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,18,21
1,2:59.0,,Defensive rebound by T. Lyles,18,21
1,2:55.0,,M. Morris misses 2-pt layup from 3 ft (block by L. James),18,21
1,2:51.0,Defensive rebound by L. Ball,,18,21
1,2:50.0,Turnover by L. James (bad pass),,18,21
1,2:50.0,,J. Murray enters the game for J. Hernangómez,18,21
1,2:37.0,,M. Plumlee misses 2-pt jump shot from 18 ft,18,21
1,2:33.0,Defensive rebound by K. Kuzma,,18,21
1,2:23.0,K. Kuzma makes 2-pt jump shot from 4 ft,,20,21
1,2:03.0,,Turnover by T. Lyles (bad pass; steal by L. James),20,21
1,1:55.0,L. James makes 2-pt jump shot from 6 ft,,22,21
1,1:43.0,,M. Beasley makes 3-pt jump shot from 22 ft (assist by M. Morris),22,24
1,1:34.0,K. Kuzma misses 3-pt jump shot from 24 ft,,22,24
1,1:32.0,,Defensive rebound by M. Beasley,22,24
1,1:26.0,,M. Beasley misses 2-pt layup from 3 ft,22,24
1,1:24.0,,Offensive rebound by M. Plumlee,22,24
1,1:22.0,,M. Beasley makes 2-pt layup from 1 ft (assist by M. Plumlee),22,26
1,1:20.0,LA Lakers full timeout,,22,26
1,1:20.0,M. Beasley enters the game for L. Ball,,22,26
1,1:20.0,B. Ingram enters the game for T. Chandler,,22,26
1,1:20.0,J. McGee enters the game for L. James,,22,26
1,1:20.0,L. Stephenson enters the game for K. Kuzma,,22,26
1,1:10.0,Shooting foul by T. Lyles (drawn by B. Ingram),,22,26
1,1:10.0,B. Ingram misses free throw 1 of 2,,22,26
1,1:10.0,Offensive rebound by Team,,22,26
1,1:10.0,B. Ingram makes free throw 2 of 2,,23,26
1,1:00.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),23,28
1,0:43.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,23,28
1,0:41.0,,Defensive rebound by M. Beasley,23,28
1,0:25.0,,J. Murray makes 2-pt jump shot from 15 ft,23,30
1,0:00.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. Stephenson),,26,30
2,11:47.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by M. Morris),26,32
2,11:34.0,L. Stephenson misses 2-pt jump shot from 18 ft,,26,32
2,11:30.0,,Defensive rebound by T. Lyles,26,32
2,11:22.0,,J. Murray makes 3-pt jump shot from 25 ft,26,35
2,11:02.0,B. Ingram makes 2-pt jump shot from 16 ft,,28,35
2,10:51.0,,J. Murray makes 2-pt jump shot from 17 ft,28,37
2,10:32.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,28,37
2,10:29.0,,Defensive rebound by J. Murray,28,37
2,10:21.0,,Turnover by J. Murray (bad pass),28,37
2,10:03.0,M. Beasley makes 2-pt dunk at rim (assist by B. Ingram),,30,37
2,9:46.0,,J. Murray misses 2-pt layup from 4 ft (block by J. McGee),30,37
2,9:44.0,Defensive rebound by L. Stephenson,,30,37
2,9:40.0,L. Stephenson misses 2-pt layup from 2 ft (block by M. Plumlee),,30,37
2,9:37.0,,Defensive rebound by T. Lyles,30,37
2,9:34.0,,J. Murray makes 2-pt layup from 1 ft (assist by T. Lyles),30,39
2,9:12.0,B. Ingram makes 2-pt jump shot from 8 ft,,32,39
2,8:57.0,,J. Murray misses 2-pt jump shot from 8 ft,32,39
2,8:56.0,,Offensive rebound by M. Plumlee,32,39
2,8:53.0,,Personal foul by K. Caldwell-Pope (drawn by M. Beasley),32,39
2,8:47.0,,Personal foul by B. Ingram (drawn by M. Plumlee),32,39
2,8:38.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by J. Murray),32,41
2,8:28.0,B. Ingram makes 2-pt jump shot from 12 ft,,34,41
2,8:14.0,,T. Lyles misses 2-pt dunk from 4 ft (block by J. McGee),34,41
2,8:11.0,Defensive rebound by L. Stephenson,,34,41
2,8:10.0,M. Beasley makes 2-pt layup from 1 ft (assist by L. Stephenson),,36,41
2,7:58.0,,M. Beasley misses 3-pt jump shot from 25 ft,36,41
2,7:56.0,Defensive rebound by L. Stephenson,,36,41
2,7:56.0,T. Chandler enters the game for J. McGee,,36,41
2,7:56.0,,J. Hernangómez enters the game for J. Murray,36,41
2,7:53.0,B. Ingram misses 2-pt jump shot from 13 ft,,36,41
2,7:49.0,,Defensive rebound by M. Plumlee,36,41
2,7:33.0,,M. Plumlee makes 2-pt layup from 2 ft,36,43
2,7:22.0,L. Stephenson misses 2-pt jump shot from 5 ft,,36,43
2,7:21.0,Offensive rebound by T. Chandler,,36,43
2,7:19.0,L. Stephenson misses 3-pt jump shot from 25 ft,,36,43
2,7:19.0,,Defensive rebound by M. Plumlee,36,43
2,7:09.0,,M. Beasley misses 3-pt jump shot from 25 ft,36,43
2,7:05.0,,Offensive rebound by T. Lyles,36,43
2,7:04.0,,M. Morris misses 3-pt jump shot from 25 ft,36,43
2,7:01.0,,Offensive rebound by J. Hernangómez,36,43
2,6:57.0,,M. Beasley misses 3-pt jump shot from 25 ft,36,43
2,6:54.0,Defensive rebound by L. Stephenson,,36,43
2,6:48.0,LA Lakers full timeout,,36,43
2,6:48.0,L. Ball enters the game for M. Beasley,,36,43
2,6:48.0,L. James enters the game for K. Caldwell-Pope,,36,43
2,6:48.0,K. Kuzma enters the game for L. Stephenson,,36,43
2,6:40.0,T. Chandler makes 2-pt dunk from 1 ft (assist by B. Ingram),,38,43
2,6:11.0,,M. Morris misses 2-pt jump shot from 9 ft (block by K. Kuzma),38,43
2,6:08.0,Defensive rebound by L. James,,38,43
2,6:08.0,,N. Jokić enters the game for T. Lyles,38,43
2,6:08.0,,P. Millsap enters the game for M. Plumlee,38,43
2,6:00.0,B. Ingram misses 3-pt jump shot from 22 ft,,38,43
2,5:55.0,,Defensive rebound by J. Hernangómez,38,43
2,5:52.0,,M. Beasley makes 2-pt layup from 1 ft (assist by J. Hernangómez),38,45
2,5:33.0,Turnover by K. Kuzma (lost ball; steal by M. Beasley),,38,45
2,5:29.0,,P. Millsap misses 3-pt jump shot from 24 ft,38,45
2,5:25.0,Defensive rebound by L. James,,38,45
2,5:11.0,L. Ball misses 3-pt jump shot from 22 ft,,38,45
2,5:08.0,,Defensive rebound by N. Jokić,38,45
2,4:57.0,,P. Millsap makes 2-pt hook shot from 2 ft (assist by N. Jokić),38,47
2,4:36.0,L. James misses 3-pt jump shot from 24 ft,,38,47
2,4:35.0,,Defensive rebound by M. Morris,38,47
2,4:20.0,,Personal foul by T. Chandler (drawn by P. Millsap),38,47
2,4:20.0,,J. Murray enters the game for M. Morris,38,47
2,4:14.0,,M. Beasley misses 2-pt jump shot from 3 ft,38,47
2,4:10.0,,Offensive rebound by P. Millsap,38,47
2,4:10.0,,P. Millsap makes 2-pt layup from 1 ft,38,49
2,4:00.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,41,49
2,3:49.0,,Personal foul by L. Ball (drawn by J. Murray),41,49
2,3:49.0,J. Hart enters the game for B. Ingram,,41,49
2,3:42.0,,Turnover by J. Murray (lost ball; steal by L. James),41,49
2,3:39.0,L. James makes 2-pt dunk from 1 ft,,43,49
2,3:24.0,,P. Millsap makes 2-pt jump shot from 11 ft,43,51
2,3:09.0,Offensive foul by K. Kuzma (drawn by N. Jokić),,43,51
2,3:09.0,Turnover by K. Kuzma (offensive foul),,43,51
2,2:52.0,,J. Murray misses 3-pt jump shot from 25 ft,43,51
2,2:48.0,Defensive rebound by L. Ball,,43,51
2,2:39.0,L. Ball makes 3-pt jump shot from 24 ft,,46,51
2,2:25.0,,Turnover by J. Murray (bad pass; steal by T. Chandler),46,51
2,2:20.0,L. James misses 2-pt dunk from 1 ft,,46,51
2,2:20.0,Offensive rebound by K. Kuzma,,46,51
2,2:19.0,L. Ball makes 2-pt dunk from 1 ft (assist by K. Kuzma),,48,51
2,2:17.0,,Denver full timeout,48,51
2,1:59.0,,Turnover by N. Jokić (bad pass; steal by J. Hart),48,51
2,1:52.0,L. James misses 2-pt jump shot from 11 ft,,48,51
2,1:50.0,,Defensive rebound by P. Millsap,48,51
2,1:44.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by P. Millsap),48,54
2,1:44.0,,Shooting foul by J. Hart (drawn by J. Hernangómez),48,54
2,1:44.0,B. Ingram enters the game for L. Ball,,48,54
2,1:44.0,,J. Hernangómez makes free throw 1 of 1,48,55
2,1:30.0,Personal foul by J. Hernangómez (drawn by B. Ingram),,48,55
2,1:16.0,K. Kuzma makes 2-pt hook shot from 5 ft,,50,55
2,0:58.0,,J. Murray misses 2-pt jump shot from 9 ft,50,55
2,0:57.0,,Offensive rebound by P. Millsap,50,55
2,0:57.0,,Turnover by P. Millsap (bad pass),50,55
2,0:47.0,L. James misses 2-pt jump shot from 7 ft,,50,55
2,0:45.0,,Defensive rebound by P. Millsap,50,55
2,0:39.0,,P. Millsap makes 2-pt layup from 2 ft,50,57
2,0:39.0,,Shooting foul by T. Chandler (drawn by P. Millsap),50,57
2,0:39.0,,P. Millsap makes free throw 1 of 1,50,58
2,0:22.0,B. Ingram misses 2-pt layup from 3 ft (block by P. Millsap),,50,58
2,0:19.0,,Defensive rebound by M. Beasley,50,58
2,0:00.0,,J. Murray misses 2-pt jump shot from 15 ft,50,58
2,0:00.0,,Offensive rebound by Team,50,58
3,11:48.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),50,61
3,11:27.0,L. James misses 2-pt jump shot from 11 ft,,50,61
3,11:22.0,Offensive rebound by J. McGee,,50,61
3,11:22.0,J. McGee misses 2-pt dunk from 1 ft,,50,61
3,11:21.0,,Defensive rebound by J. Murray,50,61
3,11:16.0,,N. Jokić makes 3-pt jump shot from 27 ft (assist by J. Murray),50,64
3,10:56.0,L. James misses 3-pt jump shot from 25 ft,,50,64
3,10:52.0,,Defensive rebound by N. Jokić,50,64
3,10:41.0,,J. Murray misses 2-pt jump shot from 18 ft,50,64
3,10:36.0,Defensive rebound by B. Ingram,,50,64
3,10:18.0,L. Ball misses 3-pt jump shot from 29 ft,,50,64
3,10:15.0,,Defensive rebound by P. Millsap,50,64
3,10:08.0,,P. Millsap misses 2-pt jump shot from 11 ft,50,64
3,10:06.0,,Offensive rebound by T. Craig,50,64
3,9:53.0,,J. Murray misses 2-pt layup from 3 ft (block by J. McGee),50,64
3,9:50.0,Defensive rebound by L. Ball,,50,64
3,9:48.0,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),,52,64
3,9:36.0,,Shooting foul by B. Ingram (drawn by N. Jokić),52,64
3,9:36.0,,N. Jokić makes free throw 1 of 2,52,65
3,9:36.0,J. Hart enters the game for L. Ball,,52,65
3,9:36.0,,N. Jokić makes free throw 2 of 2,52,66
3,9:25.0,Turnover by L. James (lost ball; steal by N. Jokić),,52,66
3,9:21.0,,N. Jokić makes 2-pt layup from 1 ft (assist by T. Craig),52,68
3,9:06.0,Shooting foul by J. Hernangómez (drawn by K. Kuzma),,52,68
3,9:06.0,K. Kuzma makes free throw 1 of 2,,53,68
3,9:06.0,K. Kuzma makes free throw 2 of 2,,54,68
3,8:43.0,,J. Murray misses 2-pt jump shot from 21 ft,54,68
3,8:40.0,Defensive rebound by L. James,,54,68
3,8:30.0,K. Kuzma misses 3-pt jump shot from 25 ft (block by P. Millsap),,54,68
3,8:27.0,,Defensive rebound by T. Craig,54,68
3,8:23.0,,Personal foul by K. Kuzma (drawn by P. Millsap),54,68
3,8:07.0,,Turnover by N. Jokić (lost ball; steal by B. Ingram),54,68
3,8:02.0,B. Ingram makes 2-pt layup from 2 ft (assist by L. James),,56,68
3,7:47.0,,Personal foul by B. Ingram (drawn by N. Jokić),56,68
3,7:38.0,,N. Jokić misses 3-pt jump shot from 25 ft,56,68
3,7:35.0,Defensive rebound by J. McGee,,56,68
3,7:23.0,J. McGee misses 2-pt layup from 3 ft,,56,68
3,7:21.0,,Defensive rebound by N. Jokić,56,68
3,7:17.0,,N. Jokić misses 2-pt jump shot from 22 ft,56,68
3,7:16.0,,Offensive rebound by J. Hernangómez,56,68
3,7:16.0,,J. Hernangómez misses 2-pt layup from 2 ft,56,68
3,7:16.0,,Offensive rebound by J. Hernangómez,56,68
3,7:13.0,,J. Hernangómez misses 2-pt layup from 3 ft (block by L. James),56,68
3,7:10.0,Defensive rebound by L. James,,56,68
3,7:07.0,K. Kuzma misses 3-pt jump shot from 25 ft,,56,68
3,7:03.0,,Defensive rebound by N. Jokić,56,68
3,6:53.0,,P. Millsap makes 2-pt jump shot from 7 ft (assist by N. Jokić),56,70
3,6:53.0,LA Lakers full timeout,,56,70
3,6:53.0,M. Beasley enters the game for K. Kuzma,,56,70
3,6:53.0,T. Chandler enters the game for J. McGee,,56,70
3,6:36.0,Turnover by M. Beasley (bad pass),,56,70
3,6:15.0,,J. Hernangómez makes 2-pt jump shot from 21 ft (assist by N. Jokić),56,72
3,5:57.0,M. Beasley misses 3-pt jump shot from 25 ft,,56,72
3,5:54.0,,Defensive rebound by T. Craig,56,72
3,5:50.0,,Personal foul by M. Beasley (drawn by P. Millsap),56,72
3,5:44.0,,N. Jokić misses 3-pt jump shot from 25 ft,56,72
3,5:42.0,,Offensive rebound by P. Millsap,56,72
3,5:31.0,,Turnover by N. Jokić (3 sec),56,72
3,5:20.0,Shooting foul by J. Hernangómez (drawn by M. Beasley),,56,72
3,5:20.0,M. Beasley makes free throw 1 of 2,,57,72
3,5:20.0,L. Stephenson enters the game for B. Ingram,,57,72
3,5:20.0,,M. Beasley enters the game for J. Hernangómez,57,72
3,5:20.0,,M. Morris enters the game for J. Murray,57,72
3,5:20.0,M. Beasley makes free throw 2 of 2,,58,72
3,5:04.0,,N. Jokić misses 2-pt jump shot from 6 ft,58,72
3,5:02.0,,Offensive rebound by P. Millsap,58,72
3,4:55.0,,N. Jokić misses 2-pt hook shot from 2 ft,58,72
3,4:54.0,,Offensive rebound by P. Millsap,58,72
3,4:52.0,,P. Millsap makes 2-pt jump shot from 11 ft,58,74
3,4:31.0,M. Beasley makes 2-pt jump shot from 10 ft,,60,74
3,4:14.0,,N. Jokić makes 2-pt jump shot from 16 ft,60,76
3,3:59.0,L. James misses 2-pt jump shot from 5 ft,,60,76
3,3:56.0,,Defensive rebound by N. Jokić,60,76
3,3:55.0,,Personal foul by L. Stephenson (drawn by T. Craig),60,76
3,3:55.0,,T. Craig makes free throw 1 of 2,60,77
3,3:55.0,K. Caldwell-Pope enters the game for M. Beasley,,60,77
3,3:55.0,K. Kuzma enters the game for L. James,,60,77
3,3:55.0,,M. Plumlee enters the game for N. Jokić,60,77
3,3:55.0,,T. Craig makes free throw 2 of 2,60,78
3,3:42.0,K. Kuzma makes 2-pt jump shot from 9 ft (assist by L. Stephenson),,62,78
3,3:26.0,,M. Beasley makes 2-pt layup from 3 ft,62,80
3,3:12.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by J. Hart),,65,80
3,2:53.0,,T. Craig misses 3-pt jump shot from 25 ft,65,80
3,2:52.0,Defensive rebound by J. Hart,,65,80
3,2:37.0,K. Kuzma misses 3-pt jump shot from 26 ft,,65,80
3,2:34.0,Offensive rebound by T. Chandler,,65,80
3,2:32.0,L. Stephenson misses 3-pt jump shot from 26 ft,,65,80
3,2:28.0,,Defensive rebound by M. Plumlee,65,80
3,2:20.0,,Personal foul by K. Caldwell-Pope (drawn by M. Morris),65,80
3,2:20.0,,Denver full timeout,65,80
3,2:20.0,,T. Lyles enters the game for T. Craig,65,80
3,2:20.0,,J. Murray enters the game for P. Millsap,65,80
3,2:20.0,,M. Morris misses free throw 1 of 2,65,80
3,2:20.0,,Offensive rebound by Team,65,80
3,2:20.0,,M. Morris makes free throw 2 of 2,65,81
3,2:08.0,L. Stephenson makes 2-pt layup from 4 ft (assist by T. Chandler),,67,81
3,1:45.0,,T. Lyles misses 3-pt jump shot from 25 ft,67,81
3,1:40.0,Defensive rebound by L. Stephenson,,67,81
3,1:28.0,K. Kuzma makes 2-pt jump shot from 5 ft (assist by J. Hart),,69,81
3,1:24.0,,Personal foul by L. Stephenson (drawn by M. Beasley),69,81
3,1:24.0,,M. Beasley makes free throw 1 of 2,69,82
3,1:24.0,,M. Beasley makes free throw 2 of 2,69,83
3,1:11.0,J. Hart misses 3-pt jump shot from 23 ft,,69,83
3,1:09.0,,Defensive rebound by Team,69,83
3,1:02.0,,Personal foul by J. Hart (drawn by M. Morris),69,83
3,1:02.0,,M. Morris makes free throw 1 of 2,69,84
3,1:02.0,,M. Morris makes free throw 2 of 2,69,85
3,0:52.0,Turnover by L. Stephenson (bad pass; steal by M. Plumlee),,69,85
3,0:49.0,,Shooting foul by L. Stephenson (drawn by J. Murray),69,85
3,0:49.0,,J. Murray makes free throw 1 of 2,69,86
3,0:49.0,,J. Murray makes free throw 2 of 2,69,87
3,0:27.0,K. Kuzma makes 2-pt jump shot from 7 ft,,71,87
3,0:02.0,,T. Lyles misses 2-pt jump shot from 7 ft,71,87
3,0:01.0,,Offensive rebound by M. Plumlee,71,87
3,0:01.0,,M. Plumlee makes 2-pt layup at rim,71,89
3,0:00.0,J. Hart misses 3-pt jump shot from 41 ft,,71,89
3,0:00.0,Offensive rebound by Team,,71,89
4,11:49.0,Turnover by S. Mykhailiuk (bad pass; steal by M. Morris),,71,89
4,11:37.0,,M. Plumlee misses 2-pt hook shot from 8 ft,71,89
4,11:35.0,Defensive rebound by L. James,,71,89
4,11:35.0,Personal foul by M. Plumlee (drawn by L. James),,71,89
4,11:29.0,Turnover by L. James (bad pass; steal by M. Beasley),,71,89
4,11:22.0,,T. Lyles makes 3-pt jump shot from 22 ft (assist by J. Murray),71,92
4,11:02.0,K. Kuzma makes 2-pt jump shot from 6 ft,,73,92
4,10:39.0,,M. Beasley makes 2-pt jump shot from 16 ft (assist by M. Morris),73,94
4,10:28.0,Shooting foul by J. Murray (drawn by B. Ingram),,73,94
4,10:28.0,B. Ingram makes free throw 1 of 2,,74,94
4,10:28.0,B. Ingram misses free throw 2 of 2,,74,94
4,10:26.0,,Defensive rebound by M. Beasley,74,94
4,10:15.0,,M. Morris makes 2-pt layup from 2 ft,74,96
4,10:01.0,Offensive foul by B. Ingram (drawn by M. Morris),,74,96
4,10:01.0,Turnover by B. Ingram (offensive foul),,74,96
4,9:39.0,,T. Lyles misses 3-pt jump shot from 25 ft,74,96
4,9:38.0,Defensive rebound by Team,,74,96
4,9:32.0,Shooting foul by M. Plumlee (drawn by L. James),,74,96
4,9:32.0,L. James makes free throw 1 of 2,,75,96
4,9:32.0,L. James makes free throw 2 of 2,,76,96
4,9:22.0,,T. Lyles misses 3-pt jump shot from 24 ft,76,96
4,9:19.0,,Offensive rebound by M. Plumlee,76,96
4,9:17.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Morris),76,99
4,8:56.0,K. Kuzma misses 3-pt jump shot from 26 ft,,76,99
4,8:54.0,,Defensive rebound by J. Murray,76,99
4,8:41.0,,Offensive foul by T. Lyles (drawn by K. Caldwell-Pope),76,99
4,8:41.0,,Turnover by T. Lyles (offensive foul),76,99
4,8:26.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by S. Mykhailiuk),,78,99
4,8:08.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by M. Morris),78,102
4,7:55.0,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,78,102
4,7:51.0,,Defensive rebound by T. Lyles,78,102
4,7:29.0,,T. Lyles makes 2-pt jump shot from 10 ft,78,104
4,7:29.0,LA Lakers full timeout,,78,104
4,7:29.0,M. Beasley enters the game for K. Caldwell-Pope,,78,104
4,7:29.0,J. Hart enters the game for B. Ingram,,78,104
4,7:29.0,L. Stephenson enters the game for L. James,,78,104
4,7:29.0,I. Zubac enters the game for K. Kuzma,,78,104
4,7:16.0,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,78,104
4,7:11.0,,Defensive rebound by M. Plumlee,78,104
4,6:57.0,,T. Lyles misses 2-pt jump shot from 5 ft,78,104
4,6:53.0,Defensive rebound by S. Mykhailiuk,,78,104
4,6:49.0,J. Hart misses 3-pt jump shot from 23 ft,,78,104
4,6:45.0,Offensive rebound by I. Zubac,,78,104
4,6:42.0,I. Zubac misses 2-pt hook shot from 5 ft,,78,104
4,6:38.0,Offensive rebound by J. Hart,,78,104
4,6:38.0,J. Hart makes 2-pt layup from 1 ft,,80,104
4,6:25.0,,M. Morris misses 2-pt jump shot from 20 ft,80,104
4,6:21.0,Defensive rebound by S. Mykhailiuk,,80,104
4,6:11.0,M. Beasley misses 2-pt jump shot from 10 ft,,80,104
4,6:09.0,,Defensive rebound by T. Lyles,80,104
4,6:01.0,,M. Beasley misses 3-pt jump shot from 24 ft,80,104
4,5:58.0,Defensive rebound by L. Stephenson,,80,104
4,5:51.0,L. Stephenson misses 2-pt layup from 2 ft,,80,104
4,5:49.0,,Defensive rebound by M. Plumlee,80,104
4,5:45.0,,M. Morris misses 3-pt jump shot from 22 ft,80,104
4,5:42.0,Defensive rebound by I. Zubac,,80,104
4,5:31.0,S. Mykhailiuk misses 2-pt jump shot from 17 ft,,80,104
4,5:30.0,,Defensive rebound by M. Morris,80,104
4,5:19.0,,T. Lyles misses 2-pt layup from 2 ft,80,104
4,5:17.0,,Offensive rebound by M. Plumlee,80,104
4,5:17.0,,M. Plumlee makes 2-pt dunk at rim,80,106
4,5:17.0,LA Lakers full timeout,,80,106
4,5:17.0,K. Caldwell-Pope enters the game for L. Stephenson,,80,106
4,5:17.0,,T. Craig enters the game for J. Murray,80,106
4,4:59.0,M. Beasley misses 2-pt jump shot from 7 ft,,80,106
4,4:56.0,,Defensive rebound by T. Lyles,80,106
4,4:42.0,,Offensive foul by M. Plumlee (drawn by I. Zubac),80,106
4,4:42.0,,Turnover by M. Plumlee (offensive foul),80,106
4,4:42.0,,T. Lydon enters the game for M. Plumlee,80,106
4,4:22.0,I. Zubac misses 2-pt hook shot from 4 ft,,80,106
4,4:21.0,Offensive rebound by M. Beasley,,80,106
4,4:21.0,M. Beasley misses 2-pt layup from 1 ft,,80,106
4,4:21.0,,Defensive rebound by T. Lyles,80,106
