QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
2,4:57.0,,K. Bazemore misses 3-pt jump shot from 27 ft,45,35
2,4:52.0,,Offensive rebound by O. Spellman,45,35
2,4:52.0,,O. Spellman misses 2-pt dunk from 1 ft,45,35
2,4:52.0,,Offensive rebound by Team,45,35
2,4:41.0,,T. Prince misses 3-pt jump shot from 25 ft,45,35
2,4:39.0,,Offensive rebound by A. Len,45,35
2,4:39.0,,A. Len misses 2-pt layup from 1 ft,45,35
2,4:37.0,,Offensive rebound by A. Len,45,35
2,4:36.0,,A. Len misses 2-pt layup from 3 ft (block by D. Jordan),45,35
2,4:36.0,,Offensive rebound by Team,45,35
2,4:32.0,,K. Bazemore makes 2-pt layup from 4 ft,45,37
2,4:32.0,,Shooting foul by D. Jordan (drawn by K. Bazemore),45,37
2,4:32.0,,K. Bazemore makes free throw 1 of 1,45,38
2,4:22.0,Offensive foul by D. Jordan (drawn by T. Prince),,45,38
2,4:22.0,Turnover by D. Jordan (offensive foul),,45,38
2,4:11.0,,Shooting foul by L. Kornet (drawn by T. Prince),45,38
2,4:11.0,,T. Prince makes free throw 1 of 2,45,39
2,4:11.0,,T. Prince makes free throw 2 of 2,45,40
2,4:08.0,New York full timeout,,45,40
2,3:55.0,L. Kornet misses 2-pt jump shot from 13 ft,,45,40
2,3:51.0,,Defensive rebound by O. Spellman,45,40
2,3:33.0,,K. Bazemore misses 3-pt jump shot from 25 ft,45,40
2,3:31.0,Defensive rebound by D. Jordan,,45,40
2,3:24.0,D. Smith misses 3-pt jump shot from 26 ft,,45,40
2,3:21.0,,Defensive rebound by O. Spellman,45,40
2,3:08.0,,T. Prince misses 3-pt jump shot from 24 ft,45,40
2,3:04.0,Defensive rebound by D. Dotson,,45,40
2,2:46.0,K. Knox misses 2-pt jump shot from 7 ft,,45,40
2,2:43.0,,Defensive rebound by A. Len,45,40
2,2:36.0,,K. Bazemore makes 2-pt layup from 2 ft,45,42
2,2:21.0,D. Dotson misses 3-pt jump shot from 25 ft,,45,42
2,2:18.0,,Defensive rebound by O. Spellman,45,42
2,2:10.0,,A. Len misses 3-pt jump shot from 23 ft,45,42
2,2:07.0,Defensive rebound by D. Dotson,,45,42
2,2:01.0,L. Kornet misses 3-pt jump shot from 26 ft,,45,42
2,1:58.0,,Defensive rebound by A. Len,45,42
2,1:49.0,,Shooting foul by L. Kornet (drawn by A. Len),45,42
2,1:49.0,,A. Len makes free throw 1 of 2,45,43
2,1:49.0,K. Allen enters the game for D. Jordan,,45,43
2,1:49.0,J. Jenkins enters the game for K. Knox,,45,43
2,1:49.0,M. Robinson enters the game for D. Smith,,45,43
2,1:49.0,,V. Carter enters the game for D. Bembry,45,43
2,1:49.0,,T. Young enters the game for T. Prince,45,43
2,1:49.0,,A. Len makes free throw 2 of 2,45,44
2,1:39.0,K. Allen makes 2-pt layup from 1 ft,,47,44
2,1:28.0,,O. Spellman makes 3-pt jump shot from 26 ft (assist by T. Young),47,47
2,1:12.0,Shooting foul by A. Len (drawn by K. Allen),,47,47
2,1:12.0,K. Allen makes free throw 1 of 2,,48,47
2,1:12.0,K. Allen makes free throw 2 of 2,,49,47
2,1:03.0,,Personal foul by M. Robinson (drawn by K. Bazemore),49,47
2,1:03.0,,K. Bazemore makes free throw 1 of 2,49,48
2,1:03.0,D. Jordan enters the game for M. Robinson,,49,48
2,1:03.0,,K. Bazemore misses free throw 2 of 2,49,48
2,1:00.0,Defensive rebound by D. Dotson,,49,48
2,0:51.0,K. Allen misses 2-pt jump shot from 12 ft,,49,48
2,0:48.0,Offensive rebound by D. Jordan,,49,48
2,0:48.0,D. Jordan makes 2-pt layup at rim,,51,48
2,0:45.0,,T. Young makes 3-pt jump shot from 29 ft,51,51
2,0:30.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by K. Allen),,54,51
2,0:10.0,,Turnover by T. Young (bad pass),54,51
2,0:01.0,K. Allen misses 2-pt layup from 1 ft,,54,51
2,0:01.0,Offensive rebound by Team,,54,51
3,11:44.0,Personal foul by K. Huerter (drawn by D. Jordan),,54,51
3,11:38.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,56,51
3,11:26.0,,Turnover by D. Dedmon (bad pass; steal by L. Kornet),56,51
3,11:23.0,Personal foul by T. Young (drawn by D. Smith),,56,51
3,11:12.0,D. Dotson makes 2-pt jump shot from 22 ft,,58,51
3,10:58.0,,T. Young misses 3-pt jump shot from 26 ft,58,51
3,10:56.0,Defensive rebound by L. Kornet,,58,51
3,10:46.0,Shooting foul by D. Dedmon (drawn by D. Jordan),,58,51
3,10:46.0,D. Jordan makes free throw 1 of 2,,59,51
3,10:46.0,D. Jordan makes free throw 2 of 2,,60,51
3,10:43.0,,T. Young makes 2-pt layup from 1 ft,60,53
3,10:23.0,L. Kornet misses 3-pt jump shot from 26 ft,,60,53
3,10:19.0,Offensive rebound by D. Jordan,,60,53
3,10:15.0,L. Kornet misses 2-pt jump shot from 16 ft,,60,53
3,10:12.0,,Defensive rebound by K. Huerter,60,53
3,10:08.0,,Shooting foul by D. Jordan (drawn by D. Dedmon),60,53
3,10:08.0,,D. Dedmon makes free throw 1 of 2,60,54
3,10:08.0,,D. Dedmon makes free throw 2 of 2,60,55
3,9:49.0,D. Dotson misses 3-pt jump shot from 25 ft,,60,55
3,9:46.0,,Defensive rebound by T. Prince,60,55
3,9:40.0,,Turnover by T. Prince (bad pass; steal by D. Dotson),60,55
3,9:33.0,Shooting foul by K. Huerter (drawn by D. Smith),,60,55
3,9:33.0,D. Smith misses free throw 1 of 2,,60,55
3,9:33.0,Offensive rebound by Team,,60,55
3,9:33.0,D. Smith makes free throw 2 of 2,,61,55
3,9:23.0,,K. Huerter misses 3-pt jump shot from 25 ft,61,55
3,9:19.0,Defensive rebound by K. Knox,,61,55
3,9:15.0,Shooting foul by D. Dedmon (drawn by K. Knox),,61,55
3,9:15.0,K. Knox makes free throw 1 of 2,,62,55
3,9:15.0,,A. Len enters the game for D. Dedmon,62,55
3,9:15.0,K. Knox makes free throw 2 of 2,,63,55
3,9:01.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Huerter),63,58
3,8:43.0,Turnover by K. Knox (bad pass; steal by A. Len),,63,58
3,8:37.0,,T. Young misses 2-pt jump shot from 2 ft,63,58
3,8:34.0,Defensive rebound by K. Knox,,63,58
3,8:26.0,Turnover by D. Dotson (lost ball; steal by A. Len),,63,58
3,8:11.0,,Personal foul by D. Smith (drawn by T. Young),63,58
3,7:54.0,,T. Young makes 2-pt layup from 2 ft,63,60
3,7:30.0,D. Dotson misses 2-pt layup from 3 ft (block by A. Len),,63,60
3,7:30.0,Offensive rebound by Team,,63,60
3,7:28.0,L. Kornet misses 2-pt jump shot from 13 ft,,63,60
3,7:24.0,,Defensive rebound by K. Huerter,63,60
3,7:21.0,,Turnover by K. Huerter (bad pass; steal by L. Kornet),63,60
3,7:17.0,Shooting foul by T. Prince (drawn by D. Dotson),,63,60
3,7:17.0,D. Dotson makes free throw 1 of 2,,64,60
3,7:17.0,,K. Bazemore enters the game for K. Huerter,64,60
3,7:17.0,D. Dotson makes free throw 2 of 2,,65,60
3,7:07.0,,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),65,63
3,6:47.0,K. Knox misses 2-pt layup from 1 ft,,65,63
3,6:42.0,,Defensive rebound by A. Len,65,63
3,6:40.0,,T. Prince misses 3-pt jump shot from 26 ft,65,63
3,6:38.0,Defensive rebound by D. Jordan,,65,63
3,6:33.0,D. Dotson makes 2-pt layup from 2 ft,,67,63
3,6:33.0,,Atlanta full timeout,67,63
3,6:33.0,,D. Bembry enters the game for T. Young,67,63
3,6:21.0,,J. Collins misses 2-pt jump shot from 6 ft,67,63
3,6:17.0,Defensive rebound by D. Jordan,,67,63
3,6:01.0,L. Kornet misses 3-pt jump shot from 23 ft,,67,63
3,5:57.0,,Defensive rebound by D. Bembry,67,63
3,5:51.0,,D. Bembry misses 2-pt layup from 2 ft,67,63
3,5:48.0,Defensive rebound by L. Kornet,,67,63
3,5:37.0,D. Smith makes 2-pt layup from 1 ft,,69,63
3,5:12.0,,A. Len misses 3-pt jump shot from 25 ft,69,63
3,5:12.0,Defensive rebound by Team,,69,63
3,5:12.0,M. Robinson enters the game for D. Jordan,,69,63
3,5:12.0,,V. Carter enters the game for J. Collins,69,63
3,5:12.0,,O. Spellman enters the game for T. Prince,69,63
3,4:53.0,D. Dotson misses 3-pt jump shot from 25 ft,,69,63
3,4:48.0,Offensive rebound by L. Kornet,,69,63
3,4:48.0,L. Kornet misses 2-pt layup from 1 ft,,69,63
3,4:47.0,,Defensive rebound by V. Carter,69,63
3,4:34.0,,K. Bazemore misses 2-pt jump shot from 11 ft,69,63
3,4:28.0,Defensive rebound by D. Smith,,69,63
3,4:23.0,D. Smith makes 2-pt jump shot from 13 ft,,71,63
3,4:09.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by K. Bazemore),71,66
3,3:46.0,K. Knox misses 3-pt jump shot from 25 ft,,71,66
3,3:42.0,,Defensive rebound by O. Spellman,71,66
3,3:27.0,,Turnover by A. Len (bad pass; steal by L. Kornet),71,66
3,3:14.0,Turnover by K. Knox (traveling),,71,66
3,3:14.0,J. Jenkins enters the game for K. Knox,,71,66
3,3:03.0,,A. Len misses 2-pt layup from 1 ft (block by D. Dotson),71,66
3,2:56.0,Defensive rebound by D. Dotson,,71,66
3,2:54.0,D. Dotson misses 3-pt jump shot from 25 ft,,71,66
3,2:54.0,,Defensive rebound by Team,71,66
3,2:54.0,New York full timeout,,71,66
3,2:54.0,K. Allen enters the game for D. Dotson,,71,66
3,2:54.0,A. Trier enters the game for D. Smith,,71,66
3,2:54.0,,T. Young enters the game for A. Len,71,66
3,2:42.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by O. Spellman),71,68
3,2:24.0,L. Kornet makes 3-pt jump shot from 25 ft (assist by K. Allen),,74,68
3,2:06.0,,K. Bazemore misses 2-pt jump shot from 14 ft,74,68
3,2:03.0,Defensive rebound by J. Jenkins,,74,68
3,1:52.0,M. Robinson misses 2-pt dunk from 1 ft,,74,68
3,1:50.0,Offensive rebound by M. Robinson,,74,68
3,1:48.0,M. Robinson makes 2-pt layup from 1 ft,,76,68
3,1:30.0,,V. Carter makes 2-pt jump shot from 4 ft (assist by T. Young),76,70
3,1:30.0,,Shooting foul by K. Allen (drawn by V. Carter),76,70
3,1:30.0,N. Vonleh enters the game for L. Kornet,,76,70
3,1:30.0,,V. Carter misses free throw 1 of 1,76,70
3,1:24.0,Defensive rebound by N. Vonleh,,76,70
3,1:14.0,J. Jenkins misses 2-pt jump shot from 16 ft,,76,70
3,1:10.0,,Defensive rebound by K. Bazemore,76,70
3,1:03.0,,T. Young makes 2-pt layup from 1 ft,76,72
3,0:39.0,A. Trier makes 3-pt jump shot from 26 ft (assist by K. Allen),,79,72
3,0:26.0,,Personal foul by A. Trier (drawn by T. Young),79,72
3,0:26.0,,T. Young misses free throw 1 of 2,79,72
3,0:26.0,,Offensive rebound by Team,79,72
3,0:26.0,,J. Anderson enters the game for V. Carter,79,72
3,0:26.0,,T. Young makes free throw 2 of 2,79,73
3,0:05.0,K. Allen misses 2-pt layup from 9 ft,,79,73
3,0:03.0,Offensive rebound by M. Robinson,,79,73
3,0:03.0,M. Robinson makes 2-pt dunk from 1 ft,,81,73
3,0:03.0,,Offensive foul by T. Young (drawn by K. Allen),81,73
3,0:03.0,,Turnover by T. Young (offensive foul),81,73
3,0:00.0,Shooting foul by J. Anderson (drawn by K. Allen),,81,73
3,0:00.0,K. Allen misses free throw 1 of 2,,81,73
3,0:00.0,Offensive rebound by Team,,81,73
3,0:00.0,K. Allen makes free throw 2 of 2,,82,73
4,11:50.0,,Turnover by T. Young (bad pass; steal by D. Smith),82,73
4,11:47.0,Shooting foul by D. Dedmon (drawn by D. Smith),,82,73
4,11:47.0,D. Smith misses free throw 1 of 2,,82,73
4,11:47.0,Offensive rebound by Team,,82,73
4,11:47.0,D. Smith makes free throw 2 of 2,,83,73
4,11:34.0,,T. Prince misses 3-pt jump shot from 25 ft,83,73
4,11:31.0,Defensive rebound by A. Trier,,83,73
4,11:22.0,A. Trier makes 2-pt jump shot from 18 ft,,85,73
4,10:58.0,,K. Huerter misses 2-pt jump shot from 5 ft (block by M. Robinson),85,73
4,10:56.0,,Offensive rebound by T. Prince,85,73
4,10:54.0,,Turnover by T. Prince (bad pass; steal by M. Robinson),85,73
4,10:50.0,N. Vonleh misses 2-pt dunk from 1 ft,,85,73
4,10:47.0,,Defensive rebound by T. Young,85,73
4,10:45.0,,T. Young misses 2-pt layup from 2 ft (block by M. Robinson),85,73
4,10:45.0,,Offensive rebound by Team,85,73
4,10:45.0,,Atlanta full timeout,85,73
4,10:32.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by T. Young),85,76
4,10:10.0,N. Vonleh makes 2-pt hook shot from 6 ft,,87,76
4,9:52.0,,Personal foul by D. Smith (drawn by J. Collins),87,76
4,9:39.0,,J. Collins makes 2-pt hook shot from 8 ft (assist by T. Young),87,78
4,9:27.0,D. Smith makes 3-pt jump shot from 25 ft,,90,78
4,9:11.0,,J. Collins misses 2-pt hook shot from 9 ft,90,78
4,9:05.0,Defensive rebound by N. Vonleh,,90,78
4,8:56.0,Turnover by A. Trier (bad pass; steal by T. Young),,90,78
4,8:54.0,,T. Young makes 2-pt layup from 1 ft,90,80
4,8:54.0,Violation by Team (def goaltending),,90,80
4,8:44.0,Personal foul by J. Collins (drawn by N. Vonleh),,90,80
4,8:44.0,,K. Bazemore enters the game for K. Huerter,90,80
4,8:29.0,D. Smith misses 2-pt jump shot from 8 ft,,90,80
4,8:27.0,,Defensive rebound by D. Dedmon,90,80
4,8:09.0,,T. Young misses 3-pt jump shot from 25 ft,90,80
4,8:04.0,Defensive rebound by M. Robinson,,90,80
4,7:50.0,J. Jenkins makes 2-pt layup from 1 ft (assist by D. Smith),,92,80
4,7:38.0,,T. Young misses 3-pt jump shot from 26 ft,92,80
4,7:35.0,,Offensive rebound by T. Prince,92,80
4,7:32.0,,T. Prince misses 3-pt jump shot from 23 ft,92,80
4,7:29.0,Defensive rebound by M. Robinson,,92,80
4,7:15.0,Turnover by J. Jenkins (bad pass; steal by T. Young),,92,80
4,7:12.0,,T. Young makes 2-pt layup from 1 ft,92,82
4,7:01.0,New York full timeout,,92,82
4,7:01.0,K. Allen enters the game for D. Smith,,92,82
4,7:01.0,,D. Bembry enters the game for J. Collins,92,82
4,7:01.0,,A. Len enters the game for T. Prince,92,82
4,6:41.0,J. Jenkins misses 2-pt jump shot from 16 ft,,92,82
