QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
2,9:34.0,,A. Holiday makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),28,42
2,9:32.0,LA Lakers full timeout,,28,42
2,9:16.0,J. McGee makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),,30,42
2,9:13.0,,Turnover by D. Sabonis (bad pass; steal by K. Caldwell-Pope),30,42
2,9:11.0,L. Stephenson misses 3-pt jump shot from 27 ft,,30,42
2,9:08.0,,Defensive rebound by C. Joseph,30,42
2,8:46.0,,D. Sabonis misses 2-pt hook shot from 5 ft (block by J. McGee),30,42
2,8:44.0,Defensive rebound by L. James,,30,42
2,8:44.0,Turnover by L. James (out of bounds lost ball),,30,42
2,8:36.0,,Turnover by D. Sabonis (traveling),30,42
2,8:24.0,L. Stephenson misses 2-pt jump shot from 20 ft,,30,42
2,8:21.0,,Defensive rebound by D. Sabonis,30,42
2,8:04.0,,D. Sabonis misses 2-pt hook shot from 12 ft,30,42
2,8:02.0,Defensive rebound by J. McGee,,30,42
2,7:53.0,Turnover by L. James (lost ball; steal by B. Bogdanović),,30,42
2,7:50.0,,Turnover by B. Bogdanović (bad pass),30,42
2,7:40.0,L. James misses 2-pt jump shot from 10 ft,,30,42
2,7:38.0,Offensive rebound by Team,,30,42
2,7:38.0,,T. Young enters the game for T. Leaf,30,42
2,7:36.0,Personal foul by C. Joseph (drawn by K. Caldwell-Pope),,30,42
2,7:31.0,J. McGee makes 2-pt dunk at rim (assist by L. Stephenson),,32,42
2,7:22.0,,Indiana full timeout,32,42
2,7:08.0,,T. Young makes 2-pt hook shot from 12 ft,32,44
2,6:54.0,J. McGee makes 2-pt layup from 1 ft (assist by L. James),,34,44
2,6:37.0,,Personal foul by J. McGee (drawn by A. Holiday),34,44
2,6:37.0,B. Ingram enters the game for K. Caldwell-Pope,,34,44
2,6:37.0,R. Rondo enters the game for L. Stephenson,,34,44
2,6:24.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. Sabonis),34,47
2,6:02.0,Personal foul by C. Joseph (drawn by K. Kuzma),,34,47
2,6:02.0,,D. Collison enters the game for A. Holiday,34,47
2,6:02.0,,T. Evans enters the game for C. Joseph,34,47
2,5:50.0,Turnover by L. James (bad pass; steal by D. Collison),,34,47
2,5:47.0,,D. Collison makes 2-pt layup from 2 ft,34,49
2,5:29.0,L. James makes 2-pt jump shot from 18 ft (assist by B. Ingram),,36,49
2,5:11.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,36,49
2,5:08.0,Defensive rebound by L. James,,36,49
2,5:01.0,K. Kuzma misses 3-pt jump shot from 23 ft,,36,49
2,4:59.0,,Defensive rebound by Team,36,49
2,4:41.0,,T. Young misses 2-pt layup from 1 ft (block by R. Rondo),36,49
2,4:37.0,,Offensive rebound by T. Young,36,49
2,4:37.0,,T. Young makes 2-pt layup from 1 ft,36,51
2,4:37.0,LA Lakers full timeout,,36,51
2,4:23.0,K. Kuzma misses 2-pt hook shot from 4 ft,,36,51
2,4:20.0,,Defensive rebound by T. Evans,36,51
2,4:06.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),36,53
2,4:06.0,,Shooting foul by J. McGee (drawn by D. Sabonis),36,53
2,4:06.0,L. Stephenson enters the game for K. Kuzma,,36,53
2,4:06.0,I. Zubac enters the game for J. McGee,,36,53
2,4:06.0,,D. Sabonis misses free throw 1 of 1,36,53
2,4:04.0,,Offensive rebound by T. Young,36,53
2,4:03.0,,Turnover by T. Young (lost ball; steal by L. Stephenson),36,53
2,3:58.0,B. Ingram misses 2-pt dunk from 1 ft,,36,53
2,3:55.0,,Defensive rebound by D. Collison,36,53
2,3:49.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by T. Young),36,55
2,3:49.0,,Shooting foul by I. Zubac (drawn by D. Sabonis),36,55
2,3:49.0,,D. Sabonis makes free throw 1 of 1,36,56
2,3:28.0,L. James misses 3-pt jump shot from 25 ft,,36,56
2,3:25.0,,Defensive rebound by T. Evans,36,56
2,3:22.0,,T. Evans misses 2-pt layup from 2 ft,36,56
2,3:21.0,,Offensive rebound by T. Young,36,56
2,3:21.0,,T. Young makes 2-pt layup from 1 ft,36,58
2,3:15.0,L. Stephenson makes 2-pt dunk from 1 ft (assist by R. Rondo),,38,58
2,3:01.0,,D. Sabonis misses 3-pt jump shot from 27 ft,38,58
2,2:57.0,,Offensive rebound by D. Collison,38,58
2,2:56.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),38,61
2,2:33.0,Turnover by L. James (bad pass; steal by T. Young),,38,61
2,2:31.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,38,61
2,2:25.0,Defensive rebound by L. James,,38,61
2,2:21.0,Personal foul by T. Evans (drawn by L. James),,38,61
2,2:21.0,,M. Turner enters the game for D. Sabonis,38,61
2,2:09.0,I. Zubac misses 2-pt dunk from 2 ft (block by M. Turner),,38,61
2,2:06.0,,Defensive rebound by T. Young,38,61
2,1:52.0,,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),38,64
2,1:32.0,L. Stephenson misses 3-pt jump shot from 26 ft,,38,64
2,1:29.0,,Defensive rebound by B. Bogdanović,38,64
2,1:19.0,,M. Turner makes 3-pt jump shot from 29 ft (assist by B. Bogdanović),38,67
2,0:54.0,L. James makes 3-pt jump shot from 27 ft,,41,67
2,0:41.0,,M. Turner makes 2-pt jump shot from 12 ft (assist by D. Collison),41,69
2,0:30.0,L. James makes 2-pt dunk from 1 ft,,43,69
2,0:30.0,Shooting foul by M. Turner (drawn by L. James),,43,69
2,0:30.0,L. James makes free throw 1 of 1,,44,69
2,0:08.0,,D. Collison misses 2-pt jump shot from 21 ft,44,69
2,0:03.0,Defensive rebound by L. James,,44,69
2,0:01.0,I. Zubac makes 2-pt dunk from 2 ft (assist by L. James),,46,69
2,0:01.0,,Turnover by B. Bogdanović (bad pass; steal by L. James),46,69
3,11:42.0,,Shooting foul by R. Rondo (drawn by M. Turner),46,69
3,11:42.0,,M. Turner makes free throw 1 of 2,46,70
3,11:42.0,,M. Turner misses free throw 2 of 2,46,70
3,11:40.0,Defensive rebound by B. Ingram,,46,70
3,11:19.0,K. Kuzma misses 2-pt layup from 1 ft (block by M. Turner),,46,70
3,11:16.0,,Defensive rebound by T. Young,46,70
3,11:05.0,,T. Young misses 2-pt jump shot from 9 ft,46,70
3,11:03.0,Defensive rebound by B. Ingram,,46,70
3,10:56.0,B. Ingram misses 2-pt jump shot from 7 ft,,46,70
3,10:53.0,,Defensive rebound by T. Young,46,70
3,10:35.0,,T. Evans misses 2-pt jump shot from 19 ft,46,70
3,10:32.0,Defensive rebound by B. Ingram,,46,70
3,10:26.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,48,70
3,10:11.0,,Offensive foul by T. Young (drawn by R. Rondo),48,70
3,10:11.0,,Turnover by T. Young (offensive foul),48,70
3,9:56.0,K. Kuzma makes 2-pt layup at rim (assist by R. Rondo),,50,70
3,9:34.0,,T. Young makes 2-pt hook shot from 7 ft,50,72
3,9:15.0,B. Ingram misses 2-pt jump shot from 9 ft,,50,72
3,9:13.0,,Defensive rebound by Team,50,72
3,9:13.0,Loose ball foul by I. Zubac (drawn by M. Turner),,50,72
3,9:05.0,,Personal foul by K. Kuzma (drawn by T. Young),50,72
3,8:58.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by T. Young),50,75
3,8:51.0,Shooting foul by M. Turner (drawn by K. Kuzma),,50,75
3,8:51.0,K. Kuzma misses free throw 1 of 2,,50,75
3,8:51.0,Offensive rebound by Team,,50,75
3,8:51.0,K. Kuzma makes free throw 2 of 2,,51,75
3,8:42.0,,T. Young misses 2-pt jump shot from 8 ft,51,75
3,8:40.0,Defensive rebound by L. James,,51,75
3,8:33.0,K. Kuzma misses 2-pt dunk from 1 ft (block by M. Turner),,51,75
3,8:29.0,,Defensive rebound by T. Evans,51,75
3,8:26.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Young),51,78
3,8:21.0,Turnover by L. James (bad pass; steal by D. Collison),,51,78
3,8:12.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Evans),51,80
3,8:10.0,LA Lakers full timeout,,51,80
3,7:53.0,I. Zubac makes 2-pt layup from 2 ft (assist by R. Rondo),,53,80
3,7:33.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by T. Young),53,83
3,7:18.0,L. James makes 2-pt layup from 2 ft,,55,83
3,6:56.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,55,83
3,6:53.0,Defensive rebound by L. James,,55,83
3,6:48.0,Shooting foul by M. Turner (drawn by L. James),,55,83
3,6:48.0,L. James misses free throw 1 of 2,,55,83
3,6:48.0,Offensive rebound by Team,,55,83
3,6:48.0,L. Stephenson enters the game for R. Rondo,,55,83
3,6:48.0,L. James makes free throw 2 of 2,,56,83
3,6:34.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),56,85
3,6:20.0,L. James misses 3-pt jump shot from 27 ft,,56,85
3,6:18.0,Offensive rebound by Team,,56,85
3,6:18.0,J. McGee enters the game for I. Zubac,,56,85
3,6:16.0,B. Ingram misses 2-pt jump shot from 18 ft,,56,85
3,6:14.0,,Defensive rebound by T. Young,56,85
3,5:53.0,,T. Young misses 2-pt jump shot from 4 ft,56,85
3,5:51.0,Defensive rebound by L. Stephenson,,56,85
3,5:48.0,B. Ingram makes 2-pt dunk from 2 ft (assist by L. James),,58,85
3,5:35.0,,Personal foul by L. Stephenson (drawn by T. Young),58,85
3,5:35.0,K. Caldwell-Pope enters the game for K. Kuzma,,58,85
3,5:28.0,,T. Evans misses 3-pt jump shot from 25 ft,58,85
3,5:24.0,,Offensive rebound by T. Young,58,85
3,5:24.0,,T. Young makes 2-pt layup at rim,58,87
3,5:15.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,60,87
3,5:00.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,60,87
3,5:00.0,Defensive rebound by L. James,,60,87
3,4:45.0,L. James makes 2-pt layup from 2 ft,,62,87
3,4:45.0,,Indiana full timeout,62,87
3,4:45.0,K. Kuzma enters the game for B. Ingram,,62,87
3,4:45.0,,D. Sabonis enters the game for T. Young,62,87
3,4:34.0,,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by T. Evans),62,89
3,4:18.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,62,89
3,4:14.0,,Defensive rebound by D. Sabonis,62,89
3,3:59.0,,Personal foul by K. Kuzma (drawn by D. Sabonis),62,89
3,3:59.0,,D. Sabonis makes free throw 1 of 2,62,90
3,3:59.0,,C. Joseph enters the game for B. Bogdanović,62,90
3,3:59.0,,D. Sabonis makes free throw 2 of 2,62,91
3,3:47.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),,64,91
3,3:22.0,,M. Turner misses 2-pt hook shot from 8 ft,64,91
3,3:19.0,Defensive rebound by J. McGee,,64,91
3,3:05.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,66,91
3,2:45.0,,D. Collison misses 2-pt layup from 1 ft,66,91
3,2:43.0,Defensive rebound by J. McGee,,66,91
3,2:31.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,66,91
3,2:31.0,,Defensive rebound by T. Evans,66,91
3,2:23.0,,D. Collison misses 2-pt jump shot from 23 ft,66,91
3,2:20.0,,Offensive rebound by D. Collison,66,91
3,2:18.0,,D. Collison misses 2-pt layup from 2 ft,66,91
3,2:16.0,Defensive rebound by Team,,66,91
3,2:06.0,Shooting foul by D. Sabonis (drawn by J. McGee),,66,91
3,2:06.0,J. McGee makes free throw 1 of 2,,67,91
3,2:06.0,B. Ingram enters the game for L. James,,67,91
3,2:06.0,,A. Holiday enters the game for D. Collison,67,91
3,2:06.0,J. McGee makes free throw 2 of 2,,68,91
3,1:53.0,,D. Sabonis makes 2-pt hook shot from 3 ft,68,93
3,1:41.0,Shooting foul by M. Turner (drawn by L. Stephenson),,68,93
3,1:41.0,L. Stephenson makes free throw 1 of 2,,69,93
3,1:41.0,,B. Bogdanović enters the game for T. Evans,69,93
3,1:41.0,,E. Sumner enters the game for M. Turner,69,93
3,1:41.0,L. Stephenson makes free throw 2 of 2,,70,93
3,1:21.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by A. Holiday),70,96
3,1:09.0,Shooting foul by E. Sumner (drawn by K. Kuzma),,70,96
3,1:09.0,K. Kuzma misses free throw 1 of 2,,70,96
3,1:09.0,Offensive rebound by Team,,70,96
3,1:09.0,K. Kuzma makes free throw 2 of 2,,71,96
3,0:51.0,,A. Holiday makes 3-pt jump shot from 25 ft (assist by C. Joseph),71,99
3,0:39.0,J. McGee makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),,73,99
3,0:26.0,,D. Sabonis makes 2-pt jump shot from 10 ft,73,101
3,0:01.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,73,101
3,0:01.0,Offensive rebound by Team,,73,101
4,11:51.0,Shooting foul by D. Sabonis (drawn by L. Stephenson),,73,101
4,11:51.0,L. Stephenson misses free throw 1 of 2,,73,101
4,11:51.0,Offensive rebound by Team,,73,101
4,11:51.0,L. Stephenson makes free throw 2 of 2,,74,101
4,11:40.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),74,103
4,11:30.0,Offensive foul by L. Stephenson (drawn by C. Joseph),,74,103
4,11:30.0,Turnover by L. Stephenson (offensive foul),,74,103
4,11:12.0,,A. Holiday makes 3-pt jump shot from 29 ft,74,106
4,11:11.0,LA Lakers full timeout,,74,106
4,10:54.0,Turnover by M. Wagner (bad pass; steal by E. Sumner),,74,106
4,10:35.0,,Turnover by B. Bogdanović (lost ball; steal by J. McGee),74,106
4,10:30.0,L. Stephenson makes 2-pt layup from 1 ft (assist by S. Mykhailiuk),,76,106
4,10:30.0,,Violation by Team (def goaltending),76,106
4,10:19.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by C. Joseph),76,108
4,10:09.0,Turnover by R. Rondo (bad pass),,76,108
4,9:57.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),76,111
4,9:44.0,M. Wagner makes 3-pt jump shot from 28 ft (assist by R. Rondo),,79,111
4,9:29.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by A. Holiday),79,114
4,9:05.0,J. McGee misses 2-pt layup from 2 ft,,79,114
4,9:02.0,Offensive rebound by J. McGee,,79,114
4,9:02.0,J. McGee makes 2-pt layup from 1 ft,,81,114
4,8:48.0,,E. Sumner makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),81,117
4,8:33.0,L. Stephenson misses 2-pt jump shot from 8 ft,,81,117
4,8:32.0,Offensive rebound by Team,,81,117
4,8:32.0,,Loose ball foul by D. Sabonis (drawn by J. McGee),81,117
4,8:32.0,M. Beasley enters the game for J. McGee,,81,117
4,8:20.0,M. Wagner makes 2-pt layup at rim,,83,117
4,8:06.0,,Turnover by B. Bogdanović (lost ball; steal by M. Wagner),83,117
4,7:59.0,Turnover by M. Wagner (traveling),,83,117
4,7:49.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),83,119
4,7:35.0,M. Beasley misses 2-pt layup from 1 ft (block by E. Sumner),,83,119
4,7:33.0,,Defensive rebound by D. Sabonis,83,119
4,7:27.0,,A. Holiday misses 3-pt jump shot from 27 ft,83,119
4,7:24.0,,Offensive rebound by Team,83,119
4,7:24.0,K. Caldwell-Pope enters the game for R. Rondo,,83,119
4,7:24.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,83,119
4,7:20.0,Defensive rebound by K. Caldwell-Pope,,83,119
4,7:08.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,83,119
4,7:07.0,,Defensive rebound by D. Sabonis,83,119
4,7:07.0,,Indiana full timeout,83,119
4,7:07.0,,T. Leaf enters the game for B. Bogdanović,83,119
4,7:07.0,,K. O'Quinn enters the game for D. Sabonis,83,119
4,6:49.0,,A. Holiday misses 2-pt layup from 2 ft (block by S. Mykhailiuk),83,119
4,6:47.0,Defensive rebound by S. Mykhailiuk,,83,119
4,6:37.0,M. Beasley misses 2-pt jump shot from 5 ft,,83,119
4,6:35.0,,Defensive rebound by K. O'Quinn,83,119
4,6:21.0,,K. O'Quinn misses 2-pt jump shot from 14 ft,83,119
4,6:17.0,,Offensive rebound by E. Sumner,83,119
4,6:17.0,,E. Sumner makes 2-pt layup at rim,83,121
4,6:11.0,M. Beasley misses 3-pt jump shot from 28 ft,,83,121
4,6:07.0,,Defensive rebound by C. Joseph,83,121
4,6:00.0,,C. Joseph misses 2-pt jump shot from 4 ft,83,121
4,5:58.0,Defensive rebound by M. Beasley,,83,121
4,5:50.0,Shooting foul by K. O'Quinn (drawn by L. Stephenson),,83,121
4,5:50.0,L. Stephenson makes free throw 1 of 2,,84,121
4,5:50.0,,D. Reed enters the game for C. Joseph,84,121
4,5:50.0,L. Stephenson makes free throw 2 of 2,,85,121
4,5:33.0,,T. Leaf misses 2-pt jump shot from 8 ft,85,121
4,5:31.0,Defensive rebound by M. Beasley,,85,121
4,5:25.0,Turnover by L. Stephenson (bad pass; steal by A. Holiday),,85,121
4,5:20.0,,E. Sumner makes 3-pt jump shot from 27 ft (assist by A. Holiday),85,124
4,5:07.0,L. Stephenson makes 2-pt layup from 1 ft,,87,124
4,4:43.0,,K. O'Quinn misses 3-pt jump shot from 23 ft,87,124
4,4:41.0,Defensive rebound by M. Beasley,,87,124
4,4:31.0,Shooting foul by A. Holiday (drawn by S. Mykhailiuk),,87,124
4,4:31.0,S. Mykhailiuk misses free throw 1 of 2,,87,124
4,4:31.0,Offensive rebound by Team,,87,124
4,4:31.0,S. Mykhailiuk makes free throw 2 of 2,,88,124
4,4:20.0,,A. Holiday makes 2-pt jump shot from 20 ft,88,126
4,4:03.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,88,126
4,4:00.0,,Defensive rebound by T. Leaf,88,126
4,3:51.0,,E. Sumner makes 2-pt hook shot from 6 ft,88,128
4,3:36.0,M. Beasley misses 2-pt layup from 2 ft,,88,128
4,3:35.0,,Defensive rebound by Team,88,128
4,3:16.0,,A. Holiday misses 2-pt jump shot from 4 ft,88,128
4,3:13.0,,Offensive rebound by D. Reed,88,128
4,3:12.0,,D. Reed makes 2-pt layup at rim,88,130
4,2:57.0,S. Mykhailiuk makes 2-pt layup from 1 ft (assist by M. Beasley),,90,130
4,2:40.0,,E. Sumner misses 2-pt jump shot from 4 ft,90,130
4,2:37.0,,Offensive rebound by E. Sumner,90,130
4,2:37.0,,E. Sumner makes 2-pt layup at rim,90,132
4,2:36.0,Turnover by K. Caldwell-Pope (inbound),,90,132
4,2:25.0,,A. Holiday makes 2-pt jump shot from 20 ft,90,134
4,2:10.0,S. Mykhailiuk misses 2-pt layup from 7 ft (block by T. Leaf),,90,134
4,2:07.0,,Defensive rebound by K. O'Quinn,90,134
4,2:03.0,,E. Sumner makes 2-pt layup from 1 ft (assist by K. O'Quinn),90,136
4,2:02.0,LA Lakers full timeout,,90,136
4,1:44.0,Shooting foul by E. Sumner (drawn by L. Stephenson),,90,136
4,1:44.0,L. Stephenson makes free throw 1 of 2,,91,136
4,1:44.0,L. Stephenson makes free throw 2 of 2,,92,136
4,1:28.0,,E. Sumner misses 3-pt jump shot from 30 ft,92,136
4,1:24.0,Defensive rebound by S. Mykhailiuk,,92,136
4,1:15.0,Shooting foul by A. Holiday (drawn by S. Mykhailiuk),,92,136
4,1:15.0,S. Mykhailiuk makes free throw 1 of 2,,93,136
