QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
1,4:07.0,A. Len enters the game for D. Dedmon,,14,26
1,4:07.0,,J. Brown enters the game for M. Smart,14,26
1,4:07.0,J. Collins misses free throw 2 of 2,,14,26
1,4:04.0,Offensive rebound by J. Collins,,14,26
1,3:55.0,T. Dorsey misses 2-pt jump shot from 9 ft,,14,26
1,3:52.0,,Defensive rebound by D. Theis,14,26
1,3:46.0,,Shooting foul by T. Dorsey (drawn by D. Theis),14,26
1,3:46.0,,D. Theis makes free throw 1 of 2,14,27
1,3:46.0,V. Carter enters the game for J. Collins,,14,27
1,3:46.0,,D. Theis makes free throw 2 of 2,14,28
1,3:33.0,Offensive foul by A. Len (drawn by D. Theis),,14,28
1,3:33.0,Turnover by A. Len (offensive foul),,14,28
1,3:20.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),14,31
1,3:02.0,V. Carter makes 3-pt jump shot from 27 ft (assist by J. Lin),,17,31
1,2:50.0,,K. Irving makes 2-pt layup from 4 ft,17,33
1,2:43.0,V. Carter makes 2-pt layup from 2 ft (assist by D. Bembry),,19,33
1,2:43.0,,Boston full timeout,19,33
1,2:43.0,,T. Rozier enters the game for K. Irving,19,33
1,2:27.0,,D. Theis makes 2-pt dunk from 2 ft (assist by T. Rozier),19,35
1,2:12.0,Turnover by A. Len (traveling),,19,35
1,2:07.0,,Personal foul by T. Dorsey (drawn by G. Hayward),19,35
1,1:59.0,,G. Hayward makes 3-pt jump shot from 25 ft,19,38
1,1:47.0,Turnover by T. Dorsey (step out of bounds),,19,38
1,1:47.0,K. Bazemore enters the game for T. Dorsey,,19,38
1,1:47.0,T. Young enters the game for J. Lin,,19,38
1,1:47.0,,J. Tatum enters the game for M. Morris,19,38
1,1:27.0,,T. Rozier makes 2-pt layup from 2 ft (assist by J. Brown),19,40
1,1:09.0,Turnover by K. Bazemore (out of bounds lost ball),,19,40
1,1:00.0,,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),19,42
1,0:46.0,A. Len misses 2-pt dunk from 3 ft,,19,42
1,0:44.0,Offensive rebound by T. Young,,19,42
1,0:42.0,Shooting foul by D. Theis (drawn by V. Carter),,19,42
1,0:42.0,V. Carter misses free throw 1 of 2,,19,42
1,0:42.0,Offensive rebound by Team,,19,42
1,0:42.0,V. Carter misses free throw 2 of 2,,19,42
1,0:42.0,,Defensive rebound by T. Rozier,19,42
1,0:32.0,,J. Brown misses 2-pt layup from 4 ft (block by V. Carter),19,42
1,0:31.0,,Offensive rebound by J. Tatum,19,42
1,0:24.0,,Offensive foul by J. Tatum (drawn by D. Bembry),19,42
1,0:24.0,,Turnover by J. Tatum (offensive foul),19,42
1,0:05.0,A. Len misses 3-pt jump shot from 23 ft,,19,42
1,0:04.0,,Defensive rebound by J. Brown,19,42
1,0:00.0,,J. Brown misses 3-pt jump shot from 33 ft,19,42
1,0:00.0,,Offensive rebound by Team,19,42
2,11:47.0,,J. Tatum misses 3-pt jump shot from 27 ft,19,42
2,11:46.0,Defensive rebound by J. Collins,,19,42
2,11:30.0,D. Dedmon misses 2-pt layup from 4 ft (block by J. Tatum),,19,42
2,11:29.0,Offensive rebound by D. Dedmon,,19,42
2,11:26.0,D. Dedmon makes 2-pt jump shot from 5 ft,,21,42
2,11:21.0,,Personal foul by T. Young (drawn by T. Rozier),21,42
2,11:15.0,,J. Brown misses 3-pt jump shot from 26 ft,21,42
2,11:14.0,Defensive rebound by K. Huerter,,21,42
2,11:07.0,T. Young misses 3-pt jump shot from 27 ft,,21,42
2,11:06.0,,Defensive rebound by Team,21,42
2,10:54.0,,G. Hayward misses 2-pt jump shot from 10 ft,21,42
2,10:53.0,Defensive rebound by D. Dedmon,,21,42
2,10:46.0,D. Dedmon misses 3-pt jump shot from 26 ft,,21,42
2,10:44.0,Offensive rebound by T. Young,,21,42
2,10:40.0,T. Young makes 2-pt layup from 1 ft,,23,42
2,10:25.0,,G. Hayward makes 2-pt jump shot from 14 ft (assist by D. Theis),23,44
2,10:14.0,Turnover by J. Collins (lost ball; steal by J. Tatum),,23,44
2,10:12.0,,Turnover by J. Tatum (bad pass; steal by D. Dedmon),23,44
2,9:59.0,Turnover by J. Collins (bad pass; steal by T. Rozier),,23,44
2,9:41.0,,D. Theis misses 3-pt jump shot from 26 ft,23,44
2,9:40.0,,Offensive rebound by J. Brown,23,44
2,9:31.0,,T. Rozier makes 3-pt jump shot from 23 ft,23,47
2,9:14.0,Personal foul by J. Brown (drawn by T. Young),,23,47
2,9:14.0,,M. Smart enters the game for G. Hayward,23,47
2,9:14.0,,R. Williams enters the game for D. Theis,23,47
2,9:04.0,J. Collins misses 2-pt hook shot from 4 ft (block by R. Williams),,23,47
2,9:02.0,Offensive rebound by J. Collins,,23,47
2,8:58.0,J. Collins makes 2-pt hook shot from 7 ft,,25,47
2,8:33.0,,J. Tatum misses 3-pt jump shot from 25 ft,25,47
2,8:32.0,Defensive rebound by J. Collins,,25,47
2,8:25.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,27,47
2,8:17.0,,Turnover by J. Brown (lost ball; steal by K. Huerter),27,47
2,8:10.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),,30,47
2,8:09.0,,Boston full timeout,30,47
2,8:09.0,J. Lin enters the game for T. Young,,30,47
2,7:54.0,,J. Brown misses 3-pt jump shot from 26 ft,30,47
2,7:53.0,Defensive rebound by D. Dedmon,,30,47
2,7:39.0,J. Lin makes 3-pt jump shot from 27 ft (assist by K. Bazemore),,33,47
2,7:22.0,,J. Brown misses 2-pt layup from 2 ft,33,47
2,7:21.0,Defensive rebound by D. Dedmon,,33,47
2,7:16.0,Shooting foul by J. Brown (drawn by J. Collins),,33,47
2,7:16.0,J. Collins misses free throw 1 of 2,,33,47
2,7:16.0,Offensive rebound by Team,,33,47
2,7:16.0,,K. Irving enters the game for J. Brown,33,47
2,7:16.0,J. Collins makes free throw 2 of 2,,34,47
2,7:01.0,,J. Tatum misses 2-pt jump shot from 4 ft,34,47
2,6:59.0,Defensive rebound by J. Collins,,34,47
2,6:56.0,Shooting foul by M. Smart (drawn by J. Collins),,34,47
2,6:56.0,J. Collins makes free throw 1 of 2,,35,47
2,6:56.0,,M. Morris enters the game for J. Tatum,35,47
2,6:56.0,J. Collins misses free throw 2 of 2,,35,47
2,6:56.0,,Defensive rebound by R. Williams,35,47
2,6:54.0,,Turnover by R. Williams (bad pass),35,47
2,6:49.0,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Dedmon),,37,47
2,6:49.0,Shooting foul by R. Williams (drawn by K. Bazemore),,37,47
2,6:49.0,,A. Baynes enters the game for R. Williams,37,47
2,6:49.0,K. Bazemore makes free throw 1 of 1,,38,47
2,6:33.0,,K. Irving misses 2-pt layup from 5 ft,38,47
2,6:32.0,,Offensive rebound by A. Baynes,38,47
2,6:29.0,,Turnover by A. Baynes (bad pass; steal by K. Huerter),38,47
2,6:27.0,Turnover by K. Huerter (bad pass),,38,47
2,6:07.0,,M. Morris misses 2-pt jump shot from 3 ft,38,47
2,6:05.0,Defensive rebound by D. Dedmon,,38,47
2,6:00.0,J. Collins makes 2-pt layup from 4 ft (assist by K. Bazemore),,40,47
2,6:00.0,,Violation by Team (def goaltending),40,47
2,5:47.0,,M. Smart misses 3-pt jump shot from 25 ft,40,47
2,5:46.0,Defensive rebound by J. Collins,,40,47
2,5:34.0,J. Lin misses 2-pt jump shot from 5 ft,,40,47
2,5:33.0,Offensive rebound by J. Lin,,40,47
2,5:28.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),,42,47
2,5:14.0,,K. Irving misses 2-pt jump shot from 5 ft,42,47
2,5:13.0,Defensive rebound by Team,,42,47
2,5:13.0,A. Len enters the game for D. Dedmon,,42,47
2,5:13.0,,G. Hayward enters the game for T. Rozier,42,47
2,5:07.0,J. Lin misses 3-pt jump shot from 26 ft,,42,47
2,5:06.0,,Defensive rebound by K. Irving,42,47
2,4:53.0,,G. Hayward makes 2-pt jump shot from 17 ft (assist by A. Baynes),42,49
2,4:40.0,K. Bazemore misses 3-pt jump shot from 26 ft,,42,49
2,4:39.0,,Defensive rebound by K. Irving,42,49
2,4:34.0,,Turnover by G. Hayward (lost ball; steal by J. Lin),42,49
2,4:29.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,45,49
2,4:12.0,,K. Irving misses 2-pt jump shot from 19 ft,45,49
2,4:11.0,,Offensive rebound by M. Morris,45,49
2,4:09.0,,Shooting foul by A. Len (drawn by K. Irving),45,49
2,4:09.0,,K. Irving makes free throw 1 of 2,45,50
2,4:09.0,D. Bembry enters the game for K. Bazemore,,45,50
2,4:09.0,V. Carter enters the game for J. Collins,,45,50
2,4:09.0,,K. Irving makes free throw 2 of 2,45,51
2,4:01.0,Turnover by A. Len (out of bounds lost ball),,45,51
2,3:51.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),45,54
2,3:40.0,Personal foul by A. Baynes (drawn by A. Len),,45,54
2,3:40.0,A. Len misses free throw 1 of 2,,45,54
2,3:40.0,Offensive rebound by Team,,45,54
2,3:40.0,,D. Theis enters the game for A. Baynes,45,54
2,3:40.0,A. Len makes free throw 2 of 2,,46,54
2,3:30.0,,G. Hayward misses 2-pt jump shot from 14 ft,46,54
2,3:29.0,Defensive rebound by J. Lin,,46,54
2,3:20.0,Turnover by J. Lin (bad pass; steal by K. Irving),,46,54
2,3:08.0,,G. Hayward makes 2-pt jump shot from 14 ft (assist by M. Morris),46,56
2,3:04.0,Atlanta full timeout,,46,56
2,3:04.0,K. Bazemore enters the game for K. Huerter,,46,56
2,3:04.0,D. Dedmon enters the game for A. Len,,46,56
2,3:04.0,T. Young enters the game for J. Lin,,46,56
2,3:04.0,,J. Tatum enters the game for M. Smart,46,56
2,2:48.0,V. Carter misses 2-pt jump shot from 7 ft,,46,56
2,2:47.0,,Defensive rebound by D. Theis,46,56
2,2:42.0,,Shooting foul by T. Young (drawn by K. Irving),46,56
2,2:42.0,,K. Irving makes free throw 1 of 2,46,57
2,2:42.0,,K. Irving makes free throw 2 of 2,46,58
2,2:31.0,V. Carter misses 3-pt jump shot from 27 ft,,46,58
2,2:29.0,,Defensive rebound by D. Theis,46,58
2,2:11.0,,M. Morris misses 2-pt jump shot from 12 ft,46,58
2,2:09.0,,Offensive rebound by D. Theis,46,58
2,2:07.0,,Turnover by J. Tatum (out of bounds lost ball),46,58
2,1:56.0,K. Bazemore makes 3-pt jump shot from 22 ft (assist by T. Young),,49,58
2,1:38.0,,D. Theis makes 2-pt layup from 1 ft (assist by G. Hayward),49,60
2,1:35.0,Personal foul by K. Irving (drawn by T. Young),,49,60
2,1:35.0,T. Young misses free throw 1 of 2,,49,60
2,1:35.0,Offensive rebound by Team,,49,60
2,1:35.0,J. Collins enters the game for D. Dedmon,,49,60
2,1:35.0,T. Young makes free throw 2 of 2,,50,60
2,1:23.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),50,63
2,1:14.0,T. Young misses 2-pt layup from 4 ft,,50,63
2,1:13.0,Offensive rebound by J. Collins,,50,63
2,1:13.0,J. Collins misses 2-pt dunk from 2 ft,,50,63
2,1:12.0,Offensive rebound by J. Collins,,50,63
2,1:11.0,Shooting foul by D. Theis (drawn by J. Collins),,50,63
2,1:11.0,J. Collins makes free throw 1 of 2,,51,63
2,1:11.0,J. Collins makes free throw 2 of 2,,52,63
2,0:54.0,,M. Morris misses 3-pt jump shot from 26 ft,52,63
2,0:52.0,,Offensive rebound by Team,52,63
2,0:52.0,Loose ball foul by J. Collins (drawn by D. Theis),,52,63
2,0:48.0,,Personal foul by D. Bembry (drawn by G. Hayward),52,63
2,0:48.0,,G. Hayward makes free throw 1 of 2,52,64
2,0:48.0,K. Huerter enters the game for D. Bembry,,52,64
2,0:48.0,,M. Smart enters the game for K. Irving,52,64
2,0:48.0,,G. Hayward makes free throw 2 of 2,52,65
2,0:34.0,V. Carter makes 2-pt layup from 2 ft (assist by K. Huerter),,54,65
2,0:18.0,,J. Tatum makes 2-pt layup from 2 ft,54,67
2,0:09.0,Shooting foul by J. Tatum (drawn by T. Young),,54,67
2,0:09.0,D. Dedmon enters the game for J. Collins,,54,67
2,0:09.0,T. Young makes free throw 1 of 2,,55,67
2,0:09.0,,K. Irving enters the game for M. Smart,55,67
2,0:09.0,T. Young makes free throw 2 of 2,,56,67
2,0:00.0,,M. Morris misses 3-pt jump shot from 25 ft (block by T. Young),56,67
2,0:00.0,,Offensive rebound by Team,56,67
3,11:59.0,,J. Tatum makes 2-pt jump shot from 10 ft,56,69
3,11:29.0,Personal foul by J. Tatum (drawn by K. Huerter),,56,69
3,11:23.0,Turnover by K. Huerter (bad pass; steal by M. Smart),,56,69
3,11:16.0,,K. Irving makes 3-pt jump shot from 28 ft (assist by M. Smart),56,72
3,10:59.0,T. Young misses 2-pt layup from 3 ft (block by M. Morris),,56,72
3,10:58.0,,Defensive rebound by A. Baynes,56,72
3,10:52.0,,J. Tatum misses 3-pt jump shot from 22 ft,56,72
3,10:48.0,,Offensive rebound by Team,56,72
3,10:48.0,,Personal foul by D. Dedmon (drawn by K. Irving),56,72
3,10:42.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),56,75
3,10:41.0,Atlanta full timeout,,56,75
3,10:28.0,T. Young misses 3-pt jump shot from 24 ft,,56,75
3,10:27.0,Offensive rebound by T. Young,,56,75
3,10:25.0,Turnover by T. Young (bad pass; steal by M. Morris),,56,75
3,10:14.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Smart),56,77
3,9:59.0,K. Huerter makes 2-pt layup from 2 ft (assist by K. Bazemore),,58,77
3,9:43.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),58,80
3,9:31.0,Turnover by T. Young (bad pass; steal by K. Irving),,58,80
3,9:28.0,,Turnover by J. Tatum (out of bounds lost ball),58,80
3,9:28.0,J. Lin enters the game for T. Young,,58,80
3,9:14.0,Turnover by K. Bazemore (bad pass; steal by M. Smart),,58,80
3,9:10.0,,K. Irving misses 3-pt jump shot from 29 ft,58,80
3,9:09.0,Defensive rebound by K. Bazemore,,58,80
3,8:59.0,J. Lin makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,61,80
3,8:42.0,,Turnover by K. Irving (bad pass; steal by K. Bazemore),61,80
3,8:38.0,K. Huerter makes 2-pt layup from 3 ft (assist by K. Bazemore),,63,80
3,8:27.0,,A. Baynes misses 3-pt jump shot from 27 ft,63,80
3,8:26.0,Defensive rebound by K. Bazemore,,63,80
3,8:21.0,K. Bazemore makes 2-pt jump shot from 18 ft,,65,80
3,7:58.0,,J. Tatum makes 3-pt jump shot from 27 ft,65,83
3,7:58.0,,Shooting foul by D. Dedmon (drawn by J. Tatum),65,83
3,7:58.0,,R. Williams enters the game for A. Baynes,65,83
3,7:58.0,,J. Tatum makes free throw 1 of 1,65,84
3,7:42.0,D. Dedmon misses 3-pt jump shot from 25 ft,,65,84
3,7:41.0,Offensive rebound by J. Collins,,65,84
3,7:40.0,Offensive foul by J. Collins (drawn by M. Morris),,65,84
3,7:40.0,Turnover by J. Collins (offensive foul),,65,84
3,7:29.0,,Turnover by K. Irving (bad pass; steal by D. Dedmon),65,84
3,7:27.0,Shooting foul by M. Smart (drawn by J. Collins),,65,84
3,7:27.0,J. Collins misses free throw 1 of 2,,65,84
3,7:27.0,Offensive rebound by Team,,65,84
3,7:27.0,J. Collins makes free throw 2 of 2,,66,84
3,7:17.0,,M. Morris makes 3-pt jump shot from 26 ft,66,87
3,7:03.0,J. Collins misses 2-pt layup from 4 ft,,66,87
3,7:03.0,,Defensive rebound by M. Morris,66,87
3,6:55.0,,K. Irving misses 2-pt layup from 3 ft,66,87
3,6:53.0,Defensive rebound by J. Collins,,66,87
3,6:48.0,Shooting foul by M. Smart (drawn by J. Lin),,66,87
3,6:48.0,J. Lin misses free throw 1 of 3,,66,87
3,6:48.0,Offensive rebound by Team,,66,87
3,6:48.0,J. Lin makes free throw 2 of 3,,67,87
3,6:48.0,D. Bembry enters the game for K. Bazemore,,67,87
3,6:48.0,V. Carter enters the game for J. Collins,,67,87
3,6:48.0,J. Lin makes free throw 3 of 3,,68,87
3,6:29.0,,Personal foul by J. Lin (drawn by K. Irving),68,87
3,6:22.0,,K. Irving misses 2-pt layup from 5 ft,68,87
3,6:21.0,,Offensive rebound by J. Tatum,68,87
3,6:13.0,,J. Tatum misses 2-pt layup from 3 ft (block by K. Huerter),68,87
3,6:13.0,,Offensive rebound by Team,68,87
3,6:10.0,,M. Morris misses 2-pt jump shot from 19 ft,68,87
3,6:07.0,,Offensive rebound by K. Irving,68,87
3,6:07.0,,K. Irving makes 2-pt layup at rim,68,89
3,6:07.0,Violation by Team (def goaltending),,68,89
3,5:57.0,Turnover by J. Lin (bad pass; steal by M. Smart),,68,89
3,5:42.0,,R. Williams makes 2-pt dunk from 1 ft (assist by K. Irving),68,91
3,5:22.0,D. Bembry makes 2-pt layup from 3 ft (assist by J. Lin),,70,91
3,5:08.0,,Turnover by M. Smart (bad pass; steal by D. Dedmon),70,91
3,4:59.0,K. Huerter makes 3-pt jump shot from 31 ft (assist by J. Lin),,73,91
3,4:39.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),73,94
3,4:23.0,Turnover by K. Huerter (bad pass; steal by J. Tatum),,73,94
3,4:20.0,,J. Tatum makes 2-pt dunk from 2 ft,73,96
3,4:20.0,Atlanta full timeout,,73,96
3,4:20.0,K. Bazemore enters the game for D. Dedmon,,73,96
3,4:20.0,J. Collins enters the game for J. Lin,,73,96
3,4:20.0,,J. Brown enters the game for K. Irving,73,96
3,4:20.0,,G. Hayward enters the game for M. Morris,73,96
3,4:20.0,,T. Rozier enters the game for M. Smart,73,96
3,4:03.0,K. Bazemore misses 2-pt layup from 4 ft (block by R. Williams),,73,96
3,4:02.0,,Defensive rebound by G. Hayward,73,96
3,3:58.0,,Turnover by G. Hayward (bad pass; steal by K. Huerter),73,96
3,3:53.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by K. Huerter),,76,96
3,3:31.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by G. Hayward),76,98
3,3:12.0,V. Carter misses 2-pt hook shot from 3 ft (block by R. Williams),,76,98
3,3:11.0,Offensive rebound by Team,,76,98
3,3:05.0,D. Bembry misses 2-pt layup from 4 ft (block by R. Williams),,76,98
3,3:04.0,Offensive rebound by J. Collins,,76,98
3,3:04.0,J. Collins misses 2-pt layup from 1 ft,,76,98
3,3:03.0,Offensive rebound by D. Bembry,,76,98
3,2:59.0,V. Carter makes 3-pt jump shot from 28 ft (assist by D. Bembry),,79,98
3,2:41.0,,J. Tatum misses 2-pt jump shot from 16 ft,79,98
3,2:40.0,,Offensive rebound by R. Williams,79,98
3,2:38.0,,Turnover by R. Williams (out of bounds lost ball),79,98
3,2:27.0,D. Bembry misses 3-pt jump shot from 25 ft,,79,98
3,2:26.0,,Defensive rebound by R. Williams,79,98
3,2:17.0,,Loose ball foul by T. Rozier (drawn by D. Bembry),79,98
3,2:17.0,,Turnover by T. Rozier (turnover),79,98
3,2:08.0,Turnover by K. Bazemore (lost ball; steal by G. Hayward),,79,98
3,2:04.0,,J. Tatum makes 2-pt layup from 1 ft,79,100
3,2:04.0,,Shooting foul by D. Bembry (drawn by J. Tatum),79,100
3,2:04.0,Technical foul by K. Bazemore,,79,100
3,2:04.0,,J. Tatum makes technical free throw,79,101
3,2:04.0,,J. Tatum makes free throw 1 of 1,79,102
3,1:59.0,,Technical foul by L. Pierce,79,102
3,1:59.0,,T. Rozier makes technical free throw,79,103
3,1:47.0,K. Bazemore misses 3-pt jump shot from 25 ft,,79,103
3,1:43.0,,Defensive rebound by J. Brown,79,103
3,1:41.0,,G. Hayward makes 2-pt layup from 1 ft (assist by J. Brown),79,105
3,1:39.0,Atlanta full timeout,,79,105
3,1:39.0,D. Dedmon enters the game for D. Bembry,,79,105
3,1:39.0,T. Young enters the game for V. Carter,,79,105
3,1:25.0,Shooting foul by G. Hayward (drawn by J. Collins),,79,105
3,1:25.0,J. Collins misses free throw 1 of 2,,79,105
3,1:25.0,Offensive rebound by Team,,79,105
3,1:25.0,D. Bembry enters the game for K. Huerter,,79,105
3,1:25.0,J. Collins makes free throw 2 of 2,,80,105
3,1:16.0,,G. Hayward makes 3-pt jump shot from 25 ft (assist by T. Rozier),80,108
3,1:00.0,K. Bazemore misses 2-pt layup from 7 ft (block by R. Williams),,80,108
3,0:57.0,Offensive rebound by D. Dedmon,,80,108
3,0:56.0,D. Dedmon misses 2-pt layup from 4 ft,,80,108
3,0:55.0,,Defensive rebound by J. Brown,80,108
3,0:54.0,,Turnover by J. Brown (out of bounds lost ball),80,108
3,0:41.0,D. Bembry misses 2-pt layup from 3 ft,,80,108
3,0:39.0,,Defensive rebound by J. Tatum,80,108
3,0:23.0,,Turnover by G. Hayward (bad pass; steal by K. Bazemore),80,108
3,0:20.0,K. Bazemore makes 2-pt dunk from 1 ft,,82,108
3,0:04.0,,T. Rozier misses 3-pt jump shot from 29 ft,82,108
3,0:04.0,Defensive rebound by K. Bazemore,,82,108
4,11:38.0,D. Bembry misses 3-pt jump shot from 24 ft,,82,108
4,11:37.0,,Defensive rebound by T. Rozier,82,108
4,11:18.0,,J. Brown misses 2-pt layup from 7 ft (block by J. Collins),82,108
4,11:17.0,,Offensive rebound by J. Brown,82,108
4,11:16.0,,J. Brown misses 2-pt layup from 3 ft,82,108
4,11:14.0,Defensive rebound by K. Huerter,,82,108
4,11:08.0,T. Young misses 3-pt jump shot from 28 ft,,82,108
4,11:06.0,Offensive rebound by D. Dedmon,,82,108
4,10:53.0,D. Dedmon misses 2-pt jump shot from 15 ft,,82,108
4,10:49.0,,Defensive rebound by T. Rozier,82,108
4,10:42.0,,J. Brown misses 3-pt jump shot from 26 ft,82,108
4,10:41.0,Defensive rebound by D. Dedmon,,82,108
4,10:31.0,K. Huerter misses 3-pt jump shot from 24 ft,,82,108
4,10:30.0,,Defensive rebound by T. Rozier,82,108
4,10:21.0,,S. Ojeleye misses 3-pt jump shot from 27 ft,82,108
4,10:20.0,,Offensive rebound by T. Rozier,82,108
4,10:15.0,,J. Brown misses 3-pt jump shot from 27 ft,82,108
4,10:14.0,Defensive rebound by D. Bembry,,82,108
4,10:03.0,K. Huerter misses 3-pt jump shot from 25 ft,,82,108
4,10:02.0,,Defensive rebound by T. Rozier,82,108
4,9:53.0,,Turnover by T. Rozier (bad pass; steal by D. Dedmon),82,108
4,9:50.0,Shooting foul by T. Rozier (drawn by T. Young),,82,108
4,9:50.0,T. Young makes free throw 1 of 2,,83,108
4,9:50.0,V. Carter enters the game for J. Collins,,83,108
4,9:50.0,A. Len enters the game for D. Dedmon,,83,108
4,9:50.0,T. Young makes free throw 2 of 2,,84,108
4,9:38.0,,T. Rozier misses 2-pt layup from 5 ft,84,108
4,9:37.0,Defensive rebound by A. Len,,84,108
