QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
1,4:33.0,,A. Aminu misses 3-pt jump shot from 23 ft,17,18
1,4:29.0,Defensive rebound by J. Blossomgame,,17,18
1,4:21.0,J. Clarkson misses 2-pt layup from 2 ft,,17,18
1,4:19.0,,Defensive rebound by J. Nurkić,17,18
1,4:14.0,,Personal foul by A. Burks (drawn by D. Lillard),17,18
1,4:14.0,M. Dellavedova enters the game for C. Sexton,,17,18
1,4:08.0,,C. McCollum misses 2-pt jump shot from 10 ft,17,18
1,4:05.0,Defensive rebound by J. Blossomgame,,17,18
1,3:50.0,T. Thompson misses 2-pt hook shot from 3 ft (block by J. Nurkić),,17,18
1,3:48.0,,Defensive rebound by D. Lillard,17,18
1,3:40.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),17,21
1,3:38.0,Cleveland full timeout,,17,21
1,3:38.0,C. Payne enters the game for A. Burks,,17,21
1,3:38.0,A. Žižić enters the game for T. Thompson,,17,21
1,3:38.0,,Z. Collins enters the game for A. Aminu,17,21
1,3:38.0,,M. Leonard enters the game for J. Nurkić,17,21
1,3:25.0,J. Clarkson makes 3-pt jump shot from 24 ft,,20,21
1,3:08.0,,Shooting foul by A. Žižić (drawn by M. Leonard),20,21
1,3:08.0,,M. Leonard makes free throw 1 of 2,20,22
1,3:08.0,,M. Leonard makes free throw 2 of 2,20,23
1,2:55.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,20,23
1,2:53.0,,Defensive rebound by M. Leonard,20,23
1,2:45.0,,D. Lillard misses 2-pt layup from 2 ft,20,23
1,2:43.0,,Offensive rebound by Z. Collins,20,23
1,2:41.0,,C. McCollum misses 2-pt jump shot from 9 ft,20,23
1,2:37.0,,Offensive rebound by M. Leonard,20,23
1,2:33.0,,Z. Collins misses 2-pt jump shot from 4 ft (block by J. Blossomgame),20,23
1,2:33.0,Defensive rebound by Team,,20,23
1,2:20.0,A. Žižić makes 2-pt layup from 2 ft (assist by M. Dellavedova),,22,23
1,2:02.0,,D. Lillard misses 3-pt jump shot from 27 ft,22,23
1,2:00.0,Defensive rebound by J. Blossomgame,,22,23
1,1:42.0,J. Clarkson makes 2-pt hook shot from 2 ft,,24,23
1,1:18.0,,Z. Collins makes 3-pt jump shot from 26 ft (assist by E. Turner),24,26
1,1:00.0,A. Žižić makes 2-pt layup from 2 ft (assist by M. Dellavedova),,26,26
1,0:52.0,,D. Lillard makes 2-pt layup from 2 ft,26,28
1,0:39.0,J. Clarkson misses 3-pt jump shot from 26 ft,,26,28
1,0:37.0,,Defensive rebound by M. Leonard,26,28
1,0:27.0,,Z. Collins misses 2-pt jump shot from 15 ft,26,28
1,0:26.0,,Offensive rebound by C. McCollum,26,28
1,0:26.0,,Shooting foul by J. Clarkson (drawn by C. McCollum),26,28
1,0:26.0,,C. McCollum makes free throw 1 of 2,26,29
1,0:26.0,,S. Curry enters the game for D. Lillard,26,29
1,0:26.0,,C. McCollum makes free throw 2 of 2,26,30
1,0:14.0,Personal take foul by C. McCollum (drawn by C. Payne),,26,30
1,0:01.0,J. Blossomgame misses 2-pt dunk from 1 ft,,26,30
1,0:01.0,,Defensive rebound by M. Leonard,26,30
2,11:46.0,J. Blossomgame misses 3-pt jump shot from 22 ft,,26,30
2,11:43.0,,Defensive rebound by E. Turner,26,30
2,11:33.0,,Z. Collins misses 3-pt jump shot from 24 ft,26,30
2,11:30.0,Defensive rebound by A. Žižić,,26,30
2,11:14.0,J. Blossomgame makes 2-pt layup from 1 ft (assist by J. Clarkson),,28,30
2,10:55.0,,M. Leonard misses 2-pt jump shot from 3 ft,28,30
2,10:55.0,Defensive rebound by Team,,28,30
2,10:42.0,J. Clarkson makes 2-pt jump shot from 3 ft,,30,30
2,10:26.0,,S. Curry makes 3-pt jump shot from 25 ft,30,33
2,10:02.0,J. Blossomgame makes 2-pt jump shot from 15 ft (assist by M. Dellavedova),,32,33
2,9:47.0,,Personal foul by C. Payne (drawn by S. Curry),32,33
2,9:36.0,,N. Stauskas makes 2-pt jump shot from 11 ft,32,35
2,9:16.0,Shooting foul by Z. Collins (drawn by A. Žižić),,32,35
2,9:16.0,A. Žižić makes free throw 1 of 2,,33,35
2,9:16.0,A. Žižić makes free throw 2 of 2,,34,35
2,9:08.0,,N. Stauskas misses 3-pt jump shot from 26 ft,34,35
2,9:05.0,Defensive rebound by J. Blossomgame,,34,35
2,8:57.0,M. Dellavedova makes 2-pt jump shot from 9 ft,,36,35
2,8:38.0,,Shooting foul by J. Blossomgame (drawn by E. Turner),36,35
2,8:38.0,,E. Turner misses free throw 1 of 2,36,35
2,8:38.0,,Offensive rebound by Team,36,35
2,8:38.0,,E. Turner misses free throw 2 of 2,36,35
2,8:36.0,Defensive rebound by J. Blossomgame,,36,35
2,8:24.0,A. Žižić misses 2-pt jump shot from 19 ft,,36,35
2,8:24.0,Offensive rebound by C. Payne,,36,35
2,8:24.0,C. Payne misses 2-pt layup from 1 ft,,36,35
2,8:24.0,Offensive rebound by C. Payne,,36,35
2,8:24.0,C. Payne makes 2-pt layup from 1 ft,,38,35
2,8:24.0,,Portland full timeout,38,35
2,8:08.0,,Z. Collins makes 3-pt jump shot from 24 ft (assist by E. Turner),38,38
2,7:51.0,Shooting foul by S. Curry (drawn by M. Dellavedova),,38,38
2,7:51.0,M. Dellavedova makes free throw 1 of 2,,39,38
2,7:51.0,M. Dellavedova misses free throw 2 of 2,,39,38
2,7:49.0,,Defensive rebound by M. Leonard,39,38
2,7:40.0,,S. Curry makes 2-pt jump shot from 16 ft (assist by E. Turner),39,40
2,7:18.0,J. Clarkson misses 2-pt jump shot from 15 ft,,39,40
2,7:15.0,,Defensive rebound by M. Leonard,39,40
2,7:00.0,,S. Curry misses 3-pt jump shot from 25 ft (block by J. Blossomgame),39,40
2,7:00.0,,Offensive rebound by Team,39,40
2,7:00.0,C. Osman enters the game for J. Blossomgame,,39,40
2,7:00.0,C. Sexton enters the game for M. Dellavedova,,39,40
2,6:54.0,,N. Stauskas makes 3-pt jump shot from 25 ft,39,43
2,6:31.0,C. Osman makes 2-pt jump shot from 21 ft (assist by C. Payne),,41,43
2,6:07.0,,Z. Collins misses 2-pt jump shot from 20 ft,41,43
2,6:07.0,,Offensive rebound by Team,41,43
2,6:07.0,Loose ball foul by C. Osman (drawn by M. Leonard),,41,43
2,6:07.0,R. Hood enters the game for C. Payne,,41,43
2,6:07.0,T. Thompson enters the game for A. Žižić,,41,43
2,6:00.0,,M. Leonard makes 2-pt dunk from 2 ft (assist by E. Turner),41,45
2,5:52.0,Shooting foul by Z. Collins (drawn by C. Sexton),,41,45
2,5:52.0,C. Sexton misses free throw 1 of 2,,41,45
2,5:52.0,Offensive rebound by Team,,41,45
2,5:52.0,A. Burks enters the game for J. Clarkson,,41,45
2,5:52.0,,A. Aminu enters the game for Z. Collins,41,45
2,5:52.0,,J. Nurkić enters the game for M. Leonard,41,45
2,5:52.0,C. Sexton makes free throw 2 of 2,,42,45
2,5:32.0,,A. Aminu makes 2-pt hook shot from 4 ft,42,47
2,5:21.0,C. Sexton misses 3-pt jump shot from 26 ft,,42,47
2,5:21.0,,Defensive rebound by J. Nurkić,42,47
2,5:08.0,,N. Stauskas misses 2-pt jump shot from 21 ft,42,47
2,5:06.0,Defensive rebound by T. Thompson,,42,47
2,5:04.0,Turnover by C. Osman (lost ball; steal by N. Stauskas),,42,47
2,4:48.0,,N. Stauskas misses 3-pt jump shot from 26 ft,42,47
2,4:46.0,,Offensive rebound by A. Aminu,42,47
2,4:45.0,,A. Aminu makes 2-pt layup from 4 ft,42,49
2,4:45.0,Cleveland full timeout,,42,49
2,4:45.0,J. Blossomgame enters the game for C. Osman,,42,49
2,4:45.0,,D. Lillard enters the game for N. Stauskas,42,49
2,4:45.0,,C. McCollum enters the game for E. Turner,42,49
2,4:26.0,R. Hood makes 2-pt hook shot from 7 ft,,44,49
2,4:12.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Lillard),44,52
2,3:59.0,T. Thompson misses 2-pt jump shot from 6 ft,,44,52
2,3:56.0,,Defensive rebound by C. McCollum,44,52
2,3:48.0,,D. Lillard misses 2-pt layup from 3 ft,44,52
2,3:48.0,,Offensive rebound by Team,44,52
2,3:48.0,Loose ball foul by C. Sexton (drawn by A. Aminu),,44,52
2,3:46.0,,Personal foul by R. Hood (drawn by C. McCollum),44,52
2,3:46.0,,C. McCollum misses free throw 1 of 2,44,52
2,3:46.0,,Offensive rebound by Team,44,52
2,3:46.0,,C. McCollum makes free throw 2 of 2,44,53
2,3:32.0,R. Hood makes 2-pt layup from 3 ft,,46,53
2,3:32.0,,Turnover by S. Curry (turnover),46,53
2,3:32.0,Personal foul by S. Curry (drawn by R. Hood),,46,53
2,3:32.0,R. Hood makes free throw 1 of 1,,47,53
2,3:16.0,,S. Curry misses 2-pt jump shot from 18 ft,47,53
2,3:14.0,Defensive rebound by R. Hood,,47,53
2,3:05.0,,Violation by Team (kicked ball),47,53
2,3:05.0,,J. Layman enters the game for S. Curry,47,53
2,3:00.0,C. Sexton makes 2-pt jump shot from 15 ft,,49,53
2,2:49.0,,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),49,55
2,2:26.0,R. Hood makes 2-pt jump shot from 12 ft,,51,55
2,2:09.0,,Offensive foul by J. Nurkić (drawn by C. Sexton),51,55
2,2:09.0,,Turnover by J. Nurkić (offensive foul),51,55
2,1:46.0,R. Hood misses 2-pt layup from 3 ft,,51,55
2,1:45.0,,Defensive rebound by A. Aminu,51,55
2,1:45.0,,Turnover by A. Aminu (traveling),51,55
2,1:35.0,A. Burks makes 2-pt layup from 2 ft,,53,55
2,1:23.0,,D. Lillard misses 2-pt layup from 2 ft,53,55
2,1:21.0,Defensive rebound by T. Thompson,,53,55
2,1:08.0,T. Thompson misses 2-pt hook shot from 5 ft (block by J. Nurkić),,53,55
2,1:06.0,,Defensive rebound by Team,53,55
2,0:50.0,,C. McCollum makes 3-pt jump shot from 27 ft (assist by J. Layman),53,58
2,0:30.0,R. Hood misses 2-pt jump shot from 23 ft,,53,58
2,0:29.0,,Defensive rebound by J. Nurkić,53,58
2,0:24.0,,Personal foul by C. Sexton (drawn by D. Lillard),53,58
2,0:24.0,,D. Lillard makes free throw 1 of 2,53,59
2,0:24.0,J. Clarkson enters the game for C. Sexton,,53,59
2,0:24.0,,E. Turner enters the game for C. McCollum,53,59
2,0:24.0,,D. Lillard makes free throw 2 of 2,53,60
2,0:06.0,A. Burks misses 2-pt jump shot from 5 ft,,53,60
2,0:05.0,Offensive rebound by T. Thompson,,53,60
2,0:05.0,T. Thompson makes 2-pt layup from 1 ft,,55,60
2,0:00.0,,Shooting foul by J. Blossomgame (drawn by D. Lillard),55,60
2,0:00.0,,D. Lillard makes free throw 1 of 2,55,61
2,0:00.0,,D. Lillard makes free throw 2 of 2,55,62
3,11:50.0,Shooting foul by J. Layman (drawn by R. Hood),,55,62
3,11:50.0,R. Hood makes free throw 1 of 2,,56,62
3,11:50.0,R. Hood makes free throw 2 of 2,,57,62
3,11:36.0,,D. Lillard misses 3-pt jump shot from 34 ft,57,62
3,11:34.0,,Offensive rebound by J. Nurkić,57,62
3,11:21.0,,J. Layman makes 2-pt hook shot from 2 ft,57,64
3,11:03.0,C. Sexton makes 2-pt hook shot from 4 ft,,59,64
3,10:46.0,,D. Lillard makes 2-pt jump shot from 11 ft,59,66
3,10:28.0,A. Burks misses 2-pt jump shot from 5 ft,,59,66
3,10:27.0,,Defensive rebound by A. Aminu,59,66
3,10:22.0,,A. Aminu makes 2-pt layup from 2 ft,59,68
3,10:02.0,C. Sexton misses 2-pt jump shot from 15 ft,,59,68
3,9:59.0,,Defensive rebound by J. Nurkić,59,68
3,9:51.0,,D. Lillard misses 2-pt jump shot from 20 ft,59,68
3,9:49.0,Defensive rebound by T. Thompson,,59,68
3,9:36.0,C. Osman misses 2-pt jump shot from 2 ft,,59,68
3,9:33.0,Offensive rebound by A. Burks,,59,68
3,9:32.0,Turnover by A. Burks (out of bounds lost ball),,59,68
3,9:16.0,,J. Layman makes 2-pt jump shot from 15 ft (assist by J. Nurkić),59,70
3,9:15.0,Cleveland full timeout,,59,70
3,9:02.0,R. Hood makes 2-pt hook shot from 6 ft,,61,70
3,9:02.0,Shooting foul by J. Layman (drawn by R. Hood),,61,70
3,9:02.0,R. Hood makes free throw 1 of 1,,62,70
3,8:39.0,,J. Layman makes 3-pt jump shot from 24 ft (assist by J. Nurkić),62,73
3,8:15.0,C. Osman misses 3-pt jump shot from 22 ft,,62,73
3,8:13.0,,Defensive rebound by J. Layman,62,73
3,8:06.0,,C. McCollum misses 3-pt jump shot from 25 ft,62,73
3,8:03.0,Defensive rebound by A. Burks,,62,73
3,7:52.0,R. Hood makes 2-pt layup from 2 ft,,64,73
3,7:41.0,,D. Lillard makes 2-pt layup from 1 ft,64,75
3,7:22.0,R. Hood misses 3-pt jump shot from 24 ft,,64,75
3,7:21.0,,Defensive rebound by C. McCollum,64,75
3,7:07.0,,C. McCollum makes 2-pt jump shot from 4 ft (assist by A. Aminu),64,77
3,6:50.0,C. Osman misses 2-pt jump shot from 18 ft,,64,77
3,6:47.0,,Defensive rebound by J. Nurkić,64,77
3,6:38.0,,C. McCollum makes 2-pt jump shot from 22 ft (assist by J. Nurkić),64,79
3,6:38.0,Cleveland full timeout,,64,79
3,6:38.0,J. Blossomgame enters the game for A. Burks,,64,79
3,6:38.0,J. Clarkson enters the game for C. Osman,,64,79
3,6:25.0,C. Sexton makes 2-pt layup from 1 ft,,66,79
3,6:19.0,,D. Lillard makes 3-pt jump shot from 25 ft,66,82
3,6:02.0,Personal foul by D. Lillard (drawn by C. Sexton),,66,82
3,5:57.0,C. Sexton misses 2-pt jump shot from 17 ft,,66,82
3,5:53.0,,Defensive rebound by A. Aminu,66,82
3,5:44.0,,J. Layman makes 2-pt layup from 1 ft (assist by D. Lillard),66,84
3,5:27.0,Shooting foul by J. Nurkić (drawn by J. Clarkson),,66,84
3,5:27.0,J. Clarkson makes free throw 1 of 2,,67,84
3,5:27.0,M. Dellavedova enters the game for R. Hood,,67,84
3,5:27.0,J. Clarkson makes free throw 2 of 2,,68,84
3,5:13.0,,A. Aminu makes 2-pt layup from 1 ft (assist by J. Nurkić),68,86
3,5:03.0,J. Clarkson misses 2-pt layup from 3 ft,,68,86
3,5:01.0,,Defensive rebound by Team,68,86
3,5:01.0,A. Žižić enters the game for T. Thompson,,68,86
3,4:50.0,,C. McCollum misses 3-pt jump shot from 24 ft,68,86
3,4:47.0,Defensive rebound by J. Blossomgame,,68,86
3,4:37.0,J. Blossomgame misses 2-pt layup from 1 ft (block by J. Nurkić),,68,86
3,4:35.0,,Defensive rebound by J. Nurkić,68,86
3,4:29.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by J. Layman),68,89
3,4:14.0,J. Clarkson makes 2-pt layup from 1 ft (assist by M. Dellavedova),,70,89
3,4:02.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Layman),70,91
3,4:02.0,C. Payne enters the game for C. Sexton,,70,91
3,3:40.0,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by J. Blossomgame),,73,91
3,3:26.0,,D. Lillard makes 2-pt dunk from 1 ft (assist by J. Nurkić),73,93
3,3:10.0,J. Blossomgame makes 2-pt layup from 1 ft (assist by M. Dellavedova),,75,93
3,2:53.0,,J. Nurkić misses 2-pt jump shot from 19 ft,75,93
3,2:51.0,Defensive rebound by J. Blossomgame,,75,93
3,2:40.0,J. Clarkson makes 2-pt layup from 5 ft,,77,93
3,2:40.0,,Portland full timeout,77,93
3,2:40.0,,Z. Collins enters the game for A. Aminu,77,93
3,2:40.0,,S. Curry enters the game for J. Layman,77,93
3,2:40.0,,M. Leonard enters the game for C. McCollum,77,93
3,2:40.0,,E. Turner enters the game for J. Nurkić,77,93
3,2:22.0,,D. Lillard makes 2-pt jump shot from 19 ft,77,95
3,2:06.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,77,95
3,2:06.0,,Defensive rebound by Team,77,95
3,1:53.0,,Shooting foul by C. Payne (drawn by Z. Collins),77,95
3,1:53.0,,Z. Collins makes free throw 1 of 2,77,96
3,1:53.0,,Z. Collins makes free throw 2 of 2,77,97
3,1:34.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,80,97
3,1:22.0,,D. Lillard misses 2-pt jump shot from 21 ft,80,97
3,1:19.0,Defensive rebound by A. Žižić,,80,97
3,1:11.0,Shooting foul by Z. Collins (drawn by A. Žižić),,80,97
3,1:11.0,A. Žižić makes free throw 1 of 2,,81,97
3,1:11.0,A. Žižić misses free throw 2 of 2,,81,97
3,1:08.0,Offensive rebound by M. Dellavedova,,81,97
3,1:05.0,M. Dellavedova makes 2-pt jump shot from 23 ft,,83,97
3,0:49.0,,Shooting foul by J. Clarkson (drawn by D. Lillard),83,97
3,0:49.0,,D. Lillard makes free throw 1 of 3,83,98
3,0:49.0,,D. Lillard makes free throw 2 of 3,83,99
3,0:49.0,,D. Lillard makes free throw 3 of 3,83,100
3,0:27.0,C. Payne misses 2-pt jump shot from 8 ft,,83,100
3,0:26.0,Offensive rebound by A. Žižić,,83,100
3,0:26.0,Shooting foul by Z. Collins (drawn by A. Žižić),,83,100
3,0:26.0,A. Žižić makes free throw 1 of 2,,84,100
3,0:26.0,,J. Layman enters the game for Z. Collins,84,100
3,0:26.0,A. Žižić makes free throw 2 of 2,,85,100
3,0:04.0,,D. Lillard misses 2-pt layup from 2 ft (block by A. Žižić),85,100
3,0:01.0,Defensive rebound by J. Blossomgame,,85,100
3,0:00.0,M. Dellavedova misses 3-pt jump shot from 34 ft,,85,100
3,0:00.0,Offensive rebound by Team,,85,100
4,11:45.0,,S. Curry misses 2-pt jump shot from 15 ft,85,100
4,11:41.0,Defensive rebound by A. Žižić,,85,100
4,11:34.0,J. Clarkson misses 2-pt jump shot from 11 ft,,85,100
4,11:34.0,Offensive rebound by Team,,85,100
4,11:34.0,,Loose ball foul by Z. Collins (drawn by J. Clarkson),85,100
4,11:23.0,M. Dellavedova misses 2-pt jump shot from 5 ft,,85,100
4,11:23.0,Offensive rebound by M. Dellavedova,,85,100
4,11:13.0,M. Dellavedova misses 2-pt jump shot from 10 ft,,85,100
4,11:11.0,,Defensive rebound by S. Curry,85,100
4,11:03.0,,Z. Collins misses 2-pt layup from 1 ft (block by A. Žižić),85,100
4,11:03.0,,Offensive rebound by Team,85,100
4,10:58.0,,E. Turner makes 2-pt jump shot from 5 ft,85,102
4,10:44.0,Personal foul by M. Leonard (drawn by A. Žižić),,85,102
4,10:39.0,M. Dellavedova misses 2-pt jump shot from 15 ft,,85,102
4,10:37.0,,Defensive rebound by E. Turner,85,102
4,10:29.0,,E. Turner makes 2-pt jump shot from 15 ft,85,104
4,10:28.0,Cleveland full timeout,,85,104
4,10:13.0,C. Payne makes 2-pt layup from 1 ft (assist by A. Žižić),,87,104
4,9:52.0,,E. Turner misses 3-pt jump shot from 25 ft,87,104
4,9:51.0,Defensive rebound by J. Blossomgame,,87,104
4,9:42.0,J. Blossomgame misses 3-pt jump shot from 24 ft,,87,104
4,9:40.0,,Defensive rebound by E. Turner,87,104
4,9:31.0,,E. Turner misses 2-pt jump shot from 20 ft,87,104
4,9:28.0,Defensive rebound by A. Žižić,,87,104
4,9:20.0,C. Payne makes 3-pt jump shot from 25 ft,,90,104
4,9:03.0,,E. Turner makes 2-pt layup from 1 ft (assist by S. Curry),90,106
4,8:50.0,J. Clarkson misses 2-pt layup from 3 ft,,90,106
4,8:50.0,,Defensive rebound by E. Turner,90,106
4,8:41.0,,N. Stauskas misses 2-pt jump shot from 18 ft,90,106
4,8:39.0,Defensive rebound by M. Dellavedova,,90,106
4,8:30.0,C. Payne makes 3-pt jump shot from 24 ft (assist by J. Clarkson),,93,106
4,8:08.0,,Z. Collins makes 3-pt jump shot from 25 ft (assist by S. Curry),93,109
4,7:56.0,J. Clarkson misses 3-pt jump shot from 24 ft,,93,109
4,7:53.0,,Defensive rebound by M. Leonard,93,109
4,7:39.0,,Shooting foul by M. Dellavedova (drawn by E. Turner),93,109
4,7:39.0,,E. Turner misses free throw 1 of 2,93,109
4,7:39.0,,Offensive rebound by Team,93,109
4,7:39.0,C. Sexton enters the game for M. Dellavedova,,93,109
4,7:39.0,,E. Turner makes free throw 2 of 2,93,110
4,7:28.0,J. Clarkson makes 2-pt layup from 2 ft,,95,110
4,7:11.0,,E. Turner misses 2-pt jump shot from 7 ft,95,110
4,7:08.0,Defensive rebound by C. Payne,,95,110
4,6:59.0,A. Žižić makes 2-pt layup from 2 ft (assist by C. Payne),,97,110
4,6:59.0,Shooting foul by Z. Collins (drawn by A. Žižić),,97,110
4,6:59.0,,A. Aminu enters the game for Z. Collins,97,110
4,6:59.0,,J. Nurkić enters the game for M. Leonard,97,110
4,6:59.0,A. Žižić makes free throw 1 of 1,,98,110
4,6:44.0,,S. Curry misses 2-pt jump shot from 13 ft,98,110
4,6:41.0,,Offensive rebound by J. Nurkić,98,110
4,6:40.0,,J. Nurkić makes 2-pt dunk from 2 ft,98,112
4,6:24.0,J. Blossomgame makes 2-pt layup from 2 ft (assist by C. Sexton),,100,112
4,6:12.0,,S. Curry misses 3-pt jump shot from 24 ft,100,112
4,6:11.0,Defensive rebound by J. Blossomgame,,100,112
4,5:54.0,C. Payne makes 2-pt jump shot from 3 ft (assist by J. Clarkson),,102,112
4,5:54.0,,Portland full timeout,102,112
4,5:54.0,,J. Layman enters the game for S. Curry,102,112
4,5:54.0,,D. Lillard enters the game for N. Stauskas,102,112
4,5:54.0,,C. McCollum enters the game for E. Turner,102,112
4,5:43.0,,Shooting foul by A. Žižić (drawn by J. Nurkić),102,112
4,5:43.0,,J. Nurkić makes free throw 1 of 2,102,113
4,5:43.0,,J. Nurkić makes free throw 2 of 2,102,114
4,5:28.0,C. Payne misses 3-pt jump shot from 24 ft,,102,114
4,5:26.0,,Defensive rebound by D. Lillard,102,114
4,5:15.0,,J. Nurkić makes 2-pt hook shot from 6 ft (assist by D. Lillard),102,116
4,4:49.0,A. Žižić misses 2-pt hook shot from 6 ft (block by J. Nurkić),,102,116
4,4:45.0,,Defensive rebound by A. Aminu,102,116
4,4:39.0,,D. Lillard makes 2-pt layup from 2 ft,102,118
4,4:39.0,Cleveland full timeout,,102,118
4,4:39.0,R. Hood enters the game for J. Blossomgame,,102,118
4,4:39.0,C. Osman enters the game for C. Payne,,102,118
4,4:16.0,R. Hood misses 2-pt layup from 1 ft,,102,118
4,4:14.0,,Defensive rebound by J. Layman,102,118
4,4:10.0,,Personal foul by J. Clarkson (drawn by J. Layman),102,118
4,4:10.0,A. Burks enters the game for J. Clarkson,,102,118
4,3:59.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by J. Nurkić),102,120
4,3:44.0,C. Sexton misses 2-pt jump shot from 5 ft,,102,120
4,3:42.0,,Defensive rebound by A. Aminu,102,120
4,3:35.0,,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),102,122
4,3:15.0,R. Hood misses 2-pt layup from 2 ft,,102,122
4,3:12.0,Offensive rebound by A. Žižić,,102,122
4,3:12.0,A. Žižić makes 2-pt layup at rim,,104,122
4,2:56.0,,J. Layman makes 2-pt dunk at rim (assist by J. Nurkić),104,124
4,2:38.0,A. Burks makes 2-pt layup from 2 ft,,106,124
4,2:27.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by J. Nurkić),106,127
4,2:13.0,Personal foul by J. Nurkić (drawn by C. Sexton),,106,127
4,2:13.0,,M. Leonard enters the game for A. Aminu,106,127
4,2:13.0,,A. Simons enters the game for D. Lillard,106,127
4,2:13.0,,N. Stauskas enters the game for C. McCollum,106,127
