QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
1,4:29.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,14,19
1,4:28.0,Defensive rebound by Team,,14,19
1,4:09.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Teague),,16,19
1,3:50.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,16,19
1,3:49.0,,Offensive rebound by M. Bagley,16,19
1,3:49.0,,Shooting foul by K. Towns (drawn by M. Bagley),16,19
1,3:49.0,,M. Bagley makes free throw 1 of 2,16,20
1,3:49.0,,K. Koufos enters the game for W. Cauley-Stein,16,20
1,3:49.0,,M. Bagley makes free throw 2 of 2,16,21
1,3:39.0,D. Rose makes 2-pt jump shot from 12 ft,,18,21
1,3:23.0,,I. Shumpert misses 2-pt jump shot from 12 ft,18,21
1,3:19.0,Defensive rebound by K. Towns,,18,21
1,3:16.0,Shooting foul by D. Fox (drawn by D. Šarić),,18,21
1,3:16.0,D. Šarić makes free throw 1 of 2,,19,21
1,3:16.0,T. Jones enters the game for J. Teague,,19,21
1,3:16.0,,Y. Ferrell enters the game for D. Fox,19,21
1,3:16.0,D. Šarić makes free throw 2 of 2,,20,21
1,3:04.0,,Y. Ferrell makes 2-pt layup from 2 ft,20,23
1,2:49.0,D. Rose makes 2-pt jump shot from 20 ft,,22,23
1,2:30.0,,K. Koufos makes 2-pt hook shot from 8 ft,22,25
1,2:15.0,A. Wiggins makes 2-pt layup from 1 ft,,24,25
1,2:05.0,,Personal foul by D. Šarić (drawn by Y. Ferrell),24,25
1,2:05.0,Minnesota full timeout,,24,25
1,2:05.0,G. Dieng enters the game for K. Towns,,24,25
1,2:05.0,,J. Jackson enters the game for I. Shumpert,24,25
1,2:05.0,,Y. Ferrell makes free throw 1 of 2,24,26
1,2:05.0,,Y. Ferrell makes free throw 2 of 2,24,27
1,1:43.0,G. Dieng makes 3-pt jump shot from 23 ft (assist by D. Šarić),,27,27
1,1:26.0,,K. Koufos makes 2-pt dunk from 1 ft (assist by M. Bagley),27,29
1,1:10.0,T. Jones misses 2-pt jump shot from 3 ft,,27,29
1,1:08.0,,Defensive rebound by M. Bagley,27,29
1,1:03.0,,J. Jackson makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),27,32
1,0:53.0,D. Rose misses 2-pt layup from 2 ft (block by K. Koufos),,27,32
1,0:49.0,,Defensive rebound by Y. Ferrell,27,32
1,0:46.0,,J. Jackson misses 3-pt jump shot from 25 ft,27,32
1,0:43.0,Defensive rebound by G. Dieng,,27,32
1,0:37.0,Shooting foul by K. Koufos (drawn by A. Wiggins),,27,32
1,0:37.0,,Technical foul by,27,32
1,0:37.0,,Y. Ferrell makes technical free throw,27,33
1,0:37.0,A. Wiggins makes free throw 1 of 2,,28,33
1,0:37.0,A. Wiggins makes free throw 2 of 2,,29,33
1,0:30.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by Y. Ferrell),29,35
1,0:11.0,A. Wiggins makes 2-pt jump shot from 16 ft,,31,35
1,0:00.0,,Y. Ferrell misses 2-pt jump shot from 11 ft,31,35
1,0:00.0,,Offensive rebound by Team,31,35
2,11:41.0,G. Dieng makes 2-pt jump shot from 21 ft,,33,35
2,11:18.0,,K. Koufos misses 2-pt hook shot from 9 ft,33,35
2,11:15.0,Defensive rebound by T. Jones,,33,35
2,11:12.0,J. Okogie makes 2-pt layup from 1 ft (assist by T. Jones),,35,35
2,10:53.0,,Offensive foul by K. Koufos (drawn by J. Okogie),35,35
2,10:53.0,,Turnover by K. Koufos (offensive foul),35,35
2,10:42.0,D. Rose makes 2-pt jump shot from 17 ft (assist by D. Šarić),,37,35
2,10:24.0,,Sacramento full timeout,37,35
2,10:24.0,,N. Bjelica enters the game for K. Koufos,37,35
2,10:15.0,,J. Jackson misses 3-pt jump shot from 23 ft,37,35
2,10:12.0,Defensive rebound by G. Dieng,,37,35
2,10:06.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),,39,35
2,9:53.0,,N. Bjelica makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),39,37
2,9:33.0,G. Dieng misses 2-pt layup from 6 ft (block by N. Bjelica),,39,37
2,9:33.0,,Defensive rebound by Team,39,37
2,9:12.0,,M. Bagley makes 2-pt layup from 2 ft,39,39
2,8:55.0,D. Rose misses 2-pt jump shot from 18 ft,,39,39
2,8:50.0,,Defensive rebound by M. Bagley,39,39
2,8:40.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by B. Bogdanović),39,41
2,8:23.0,G. Dieng makes 2-pt dunk from 3 ft (assist by D. Rose),,41,41
2,8:04.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),41,44
2,7:41.0,D. Šarić makes 2-pt layup from 2 ft (assist by J. Okogie),,43,44
2,7:29.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,43,47
2,7:07.0,D. Rose misses 2-pt jump shot from 19 ft,,43,47
2,7:07.0,,Defensive rebound by M. Bagley,43,47
2,7:01.0,,N. Bjelica makes 2-pt dunk at rim (assist by Y. Ferrell),43,49
2,6:51.0,Minnesota full timeout,,43,49
2,6:51.0,J. Teague enters the game for G. Dieng,,43,49
2,6:51.0,K. Towns enters the game for T. Jones,,43,49
2,6:51.0,,W. Cauley-Stein enters the game for M. Bagley,43,49
2,6:51.0,,D. Fox enters the game for Y. Ferrell,43,49
2,6:42.0,Offensive foul by D. Rose (drawn by W. Cauley-Stein),,43,49
2,6:42.0,Turnover by D. Rose (offensive foul),,43,49
2,6:26.0,,Turnover by J. Jackson (lost ball; steal by D. Šarić),43,49
2,6:21.0,D. Šarić misses 3-pt jump shot from 26 ft,,43,49
2,6:16.0,,Defensive rebound by D. Fox,43,49
2,6:16.0,R. Covington enters the game for J. Okogie,,43,49
2,6:16.0,A. Wiggins enters the game for D. Rose,,43,49
2,6:16.0,,B. Hield enters the game for J. Jackson,43,49
2,6:07.0,,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by B. Hield),43,51
2,5:50.0,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,46,51
2,5:41.0,,D. Fox misses 2-pt layup from 5 ft (block by K. Towns),46,51
2,5:41.0,,Offensive rebound by Team,46,51
2,5:32.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,46,51
2,5:32.0,Defensive rebound by D. Šarić,,46,51
2,5:26.0,R. Covington misses 2-pt hook shot from 3 ft,,46,51
2,5:23.0,,Defensive rebound by W. Cauley-Stein,46,51
2,5:18.0,,B. Hield misses 2-pt layup from 2 ft,46,51
2,5:16.0,,Offensive rebound by W. Cauley-Stein,46,51
2,5:13.0,,N. Bjelica misses 3-pt jump shot from 25 ft,46,51
2,5:13.0,Defensive rebound by K. Towns,,46,51
2,4:58.0,R. Covington misses 2-pt layup from 5 ft (block by W. Cauley-Stein),,46,51
2,4:58.0,Offensive rebound by Team,,46,51
2,4:51.0,Personal foul by W. Cauley-Stein (drawn by J. Teague),,46,51
2,4:51.0,,I. Shumpert enters the game for B. Bogdanović,46,51
2,4:41.0,Turnover by A. Wiggins (traveling),,46,51
2,4:30.0,,Turnover by D. Fox (bad pass),46,51
2,4:08.0,A. Wiggins makes 2-pt layup from 3 ft (assist by J. Teague),,48,51
2,3:52.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),48,54
2,3:40.0,J. Teague misses 3-pt jump shot from 26 ft,,48,54
2,3:35.0,,Defensive rebound by N. Bjelica,48,54
2,3:35.0,,B. Hield makes 2-pt dunk from 1 ft (assist by N. Bjelica),48,56
2,3:35.0,,Shooting foul by J. Teague (drawn by B. Hield),48,56
2,3:35.0,T. Gibson enters the game for D. Šarić,,48,56
2,3:35.0,,B. Hield misses free throw 1 of 1,48,56
2,3:35.0,Defensive rebound by K. Towns,,48,56
2,3:23.0,T. Gibson misses 2-pt layup from 2 ft,,48,56
2,3:23.0,Offensive rebound by Team,,48,56
2,3:12.0,R. Covington misses 2-pt jump shot from 22 ft,,48,56
2,3:10.0,,Defensive rebound by N. Bjelica,48,56
2,3:02.0,,Turnover by W. Cauley-Stein (lost ball; steal by A. Wiggins),48,56
2,2:59.0,Turnover by A. Wiggins (lost ball; steal by W. Cauley-Stein),,48,56
2,2:55.0,,B. Hield makes 2-pt layup from 2 ft,48,58
2,2:46.0,Minnesota full timeout,,48,58
2,2:40.0,Turnover by T. Gibson (back court),,48,58
2,2:26.0,,N. Bjelica misses 3-pt jump shot from 26 ft,48,58
2,2:22.0,Defensive rebound by K. Towns,,48,58
2,2:19.0,Personal foul by B. Hield (drawn by R. Covington),,48,58
2,2:19.0,,M. Bagley enters the game for N. Bjelica,48,58
2,1:59.0,J. Teague makes 2-pt hook shot from 7 ft,,50,58
2,1:35.0,,B. Hield misses 3-pt jump shot from 24 ft,50,58
2,1:32.0,Defensive rebound by T. Gibson,,50,58
2,1:20.0,R. Covington misses 2-pt layup from 2 ft,,50,58
2,1:17.0,,Defensive rebound by W. Cauley-Stein,50,58
2,1:13.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),50,61
2,0:46.0,J. Teague misses 2-pt jump shot from 19 ft,,50,61
2,0:45.0,Offensive rebound by T. Gibson,,50,61
2,0:45.0,Shooting foul by B. Hield (drawn by T. Gibson),,50,61
2,0:45.0,T. Gibson misses free throw 1 of 2,,50,61
2,0:45.0,Offensive rebound by Team,,50,61
2,0:45.0,T. Gibson misses free throw 2 of 2,,50,61
2,0:42.0,,Defensive rebound by I. Shumpert,50,61
2,0:33.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),50,63
2,0:14.0,K. Towns misses 2-pt jump shot from 20 ft,,50,63
2,0:11.0,,Defensive rebound by B. Hield,50,63
3,11:44.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),,53,63
3,11:33.0,,Personal foul by T. Gibson (drawn by N. Bjelica),53,63
3,11:25.0,,Turnover by D. Fox (bad pass),53,63
3,11:08.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),,55,63
3,10:47.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,55,63
3,10:45.0,Defensive rebound by T. Gibson,,55,63
3,10:31.0,R. Covington makes 2-pt jump shot from 5 ft (assist by K. Towns),,57,63
3,10:21.0,,N. Bjelica misses 3-pt jump shot from 26 ft,57,63
3,10:19.0,,Offensive rebound by W. Cauley-Stein,57,63
3,10:16.0,,B. Hield misses 3-pt jump shot from 25 ft,57,63
3,10:12.0,Defensive rebound by T. Gibson,,57,63
3,10:01.0,A. Wiggins misses 2-pt jump shot from 12 ft,,57,63
3,9:59.0,Offensive rebound by Team,,57,63
3,9:59.0,,Loose ball foul by W. Cauley-Stein (drawn by T. Gibson),57,63
3,9:52.0,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),,59,63
3,9:32.0,,I. Shumpert misses 3-pt jump shot from 26 ft,59,63
3,9:29.0,Defensive rebound by K. Towns,,59,63
3,9:19.0,T. Gibson makes 2-pt hook shot from 5 ft,,61,63
3,9:18.0,,Sacramento full timeout,61,63
3,9:05.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),61,65
3,8:42.0,R. Covington makes 2-pt layup from 2 ft (assist by K. Towns),,63,65
3,8:36.0,,Turnover by D. Fox (offensive foul),63,65
3,8:36.0,,Offensive foul by D. Fox (drawn by J. Teague),63,65
3,8:15.0,K. Towns makes 3-pt jump shot from 22 ft (assist by J. Teague),,66,65
3,8:04.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),66,68
3,7:52.0,T. Gibson misses 2-pt hook shot from 5 ft (block by N. Bjelica),,66,68
3,7:52.0,Offensive rebound by T. Gibson,,66,68
3,7:52.0,T. Gibson misses 2-pt layup from 4 ft,,66,68
3,7:52.0,Offensive rebound by Team,,66,68
3,7:50.0,R. Covington makes 3-pt jump shot from 23 ft (assist by J. Teague),,69,68
3,7:39.0,,I. Shumpert misses 3-pt jump shot from 23 ft,69,68
3,7:34.0,Defensive rebound by A. Wiggins,,69,68
3,7:29.0,Personal foul by N. Bjelica (drawn by T. Gibson),,69,68
3,7:29.0,,B. Bogdanović enters the game for B. Hield,69,68
3,7:18.0,Shooting foul by B. Bogdanović (drawn by R. Covington),,69,68
3,7:18.0,R. Covington makes free throw 1 of 3,,70,68
3,7:18.0,R. Covington makes free throw 2 of 3,,71,68
3,7:18.0,R. Covington misses free throw 3 of 3,,71,68
3,7:15.0,Offensive rebound by T. Gibson,,71,68
3,7:13.0,T. Gibson misses 2-pt layup from 3 ft,,71,68
3,7:11.0,,Defensive rebound by B. Bogdanović,71,68
3,7:06.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),71,71
3,6:49.0,K. Towns misses 2-pt hook shot from 6 ft,,71,71
3,6:49.0,,Defensive rebound by I. Shumpert,71,71
3,6:36.0,,I. Shumpert makes 3-pt jump shot from 26 ft,71,74
3,6:22.0,J. Teague misses 2-pt jump shot from 4 ft,,71,74
3,6:20.0,,Defensive rebound by W. Cauley-Stein,71,74
3,6:02.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by N. Bjelica),71,77
3,6:01.0,Minnesota full timeout,,71,77
3,5:47.0,R. Covington misses 2-pt jump shot from 20 ft,,71,77
3,5:41.0,,Defensive rebound by W. Cauley-Stein,71,77
3,5:37.0,,B. Bogdanović makes 2-pt jump shot from 21 ft (assist by I. Shumpert),71,79
3,5:26.0,Personal foul by W. Cauley-Stein (drawn by J. Teague),,71,79
3,5:26.0,D. Rose enters the game for R. Covington,,71,79
3,5:26.0,D. Šarić enters the game for T. Gibson,,71,79
3,5:15.0,K. Towns makes 2-pt hook shot from 7 ft (assist by D. Rose),,73,79
3,4:52.0,,D. Fox misses 3-pt jump shot from 25 ft,73,79
3,4:48.0,Defensive rebound by D. Rose,,73,79
3,4:39.0,D. Rose makes 2-pt layup from 2 ft,,75,79
3,4:25.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),75,81
3,4:10.0,A. Wiggins misses 3-pt jump shot from 23 ft,,75,81
3,4:05.0,,Defensive rebound by N. Bjelica,75,81
3,4:02.0,,D. Fox misses 2-pt layup from 2 ft,75,81
3,4:00.0,Defensive rebound by D. Šarić,,75,81
3,3:57.0,Personal foul by N. Bjelica (drawn by J. Teague),,75,81
3,3:57.0,,Technical foul by I. Shumpert,75,81
3,3:57.0,J. Teague makes technical free throw,,76,81
3,3:57.0,,M. Bagley enters the game for N. Bjelica,76,81
3,3:57.0,,K. Koufos enters the game for W. Cauley-Stein,76,81
3,3:57.0,J. Teague misses free throw 1 of 2,,76,81
3,3:57.0,Offensive rebound by Team,,76,81
3,3:57.0,J. Teague makes free throw 2 of 2,,77,81
3,3:39.0,,D. Fox misses 2-pt layup from 3 ft,77,81
3,3:37.0,Defensive rebound by D. Šarić,,77,81
3,3:34.0,D. Rose makes 2-pt layup from 1 ft,,79,81
3,3:19.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by I. Shumpert),79,83
3,3:07.0,D. Šarić misses 3-pt jump shot from 25 ft,,79,83
3,3:03.0,,Defensive rebound by I. Shumpert,79,83
3,2:40.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by M. Bagley),79,86
3,2:21.0,A. Wiggins makes 2-pt layup from 2 ft (assist by D. Rose),,81,86
3,2:17.0,,Shooting foul by D. Šarić (drawn by M. Bagley),81,86
3,2:17.0,,M. Bagley misses free throw 1 of 2,81,86
3,2:17.0,,Offensive rebound by Team,81,86
3,2:17.0,G. Dieng enters the game for J. Teague,,81,86
3,2:17.0,T. Jones enters the game for K. Towns,,81,86
3,2:17.0,,Y. Ferrell enters the game for D. Fox,81,86
3,2:17.0,,M. Bagley makes free throw 2 of 2,81,87
3,2:07.0,D. Rose makes 3-pt jump shot from 25 ft,,84,87
3,2:05.0,,Personal foul by D. Rose (drawn by B. Bogdanović),84,87
3,1:55.0,,B. Bogdanović makes 2-pt jump shot from 17 ft,84,89
3,1:28.0,A. Wiggins makes 3-pt jump shot from 26 ft,,87,89
3,1:16.0,,B. Bogdanović makes 2-pt jump shot from 15 ft,87,91
3,0:57.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Rose),,90,91
3,0:39.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,90,94
3,0:25.0,D. Rose misses 3-pt jump shot from 25 ft,,90,94
3,0:23.0,Offensive rebound by D. Šarić,,90,94
3,0:19.0,Shooting foul by K. Koufos (drawn by D. Rose),,90,94
3,0:19.0,D. Rose makes free throw 1 of 2,,91,94
3,0:19.0,D. Rose makes free throw 2 of 2,,92,94
3,0:08.0,,Personal foul by G. Dieng (drawn by B. Bogdanović),92,94
3,0:02.0,,B. Bogdanović misses 2-pt layup from 2 ft,92,94
3,0:02.0,,Offensive rebound by M. Bagley,92,94
3,0:02.0,,Shooting foul by D. Šarić (drawn by M. Bagley),92,94
3,0:02.0,,M. Bagley makes free throw 1 of 2,92,95
3,0:02.0,R. Covington enters the game for G. Dieng,,92,95
3,0:02.0,K. Towns enters the game for A. Wiggins,,92,95
3,0:02.0,,M. Bagley makes free throw 2 of 2,92,96
3,0:02.0,Turnover by R. Covington (bad pass),,92,96
3,0:00.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,92,96
3,0:00.0,,Offensive rebound by Team,92,96
4,11:51.0,,Personal foul by G. Dieng (drawn by B. Bogdanović),92,96
4,11:40.0,,B. Hield misses 2-pt layup from 6 ft (block by G. Dieng),92,96
4,11:37.0,Defensive rebound by T. Jones,,92,96
4,11:34.0,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),,94,96
4,11:28.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by B. Hield),94,98
4,11:08.0,G. Dieng makes 2-pt jump shot from 8 ft (assist by D. Šarić),,96,98
4,10:55.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),96,101
4,10:37.0,D. Rose misses 2-pt jump shot from 12 ft,,96,101
4,10:32.0,,Defensive rebound by Y. Ferrell,96,101
4,10:27.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,96,104
4,10:05.0,Shooting foul by B. Hield (drawn by D. Rose),,96,104
4,10:05.0,D. Rose makes free throw 1 of 2,,97,104
4,10:05.0,,N. Bjelica enters the game for K. Koufos,97,104
4,10:05.0,D. Rose misses free throw 2 of 2,,97,104
4,10:02.0,,Defensive rebound by M. Bagley,97,104
4,9:53.0,,Personal foul by G. Dieng (drawn by M. Bagley),97,104
4,9:43.0,,Y. Ferrell makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),97,107
4,9:33.0,Turnover by T. Jones (bad pass; steal by Y. Ferrell),,97,107
4,9:29.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Bagley),97,109
4,9:29.0,Minnesota full timeout,,97,109
4,9:20.0,D. Rose makes 2-pt jump shot from 15 ft (assist by T. Jones),,99,109
4,9:02.0,,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by N. Bjelica),99,112
4,8:42.0,G. Dieng misses 2-pt layup from 4 ft (block by B. Hield),,99,112
4,8:40.0,Offensive rebound by T. Jones,,99,112
4,8:35.0,T. Jones makes 2-pt layup from 1 ft,,101,112
4,8:24.0,,M. Bagley misses 3-pt jump shot from 25 ft,101,112
4,8:24.0,Defensive rebound by R. Covington,,101,112
4,8:13.0,D. Šarić misses 3-pt jump shot from 25 ft,,101,112
4,8:08.0,,Defensive rebound by M. Bagley,101,112
4,8:06.0,,Shooting foul by R. Covington (drawn by M. Bagley),101,112
4,8:06.0,,M. Bagley makes free throw 1 of 2,101,113
4,8:06.0,K. Towns enters the game for G. Dieng,,101,113
4,8:06.0,,W. Cauley-Stein enters the game for N. Bjelica,101,113
4,8:06.0,,M. Bagley makes free throw 2 of 2,101,114
4,7:54.0,R. Covington misses 3-pt jump shot from 25 ft,,101,114
4,7:49.0,,Defensive rebound by M. Bagley,101,114
4,7:43.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),101,117
4,7:31.0,D. Rose makes 2-pt layup from 1 ft (assist by K. Towns),,103,117
4,7:19.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),103,120
4,7:05.0,K. Towns misses 3-pt jump shot from 24 ft,,103,120
4,7:01.0,,Defensive rebound by B. Bogdanović,103,120
4,6:58.0,,Turnover by Y. Ferrell (step out of bounds),103,120
4,6:58.0,J. Teague enters the game for T. Jones,,103,120
4,6:45.0,K. Towns makes 2-pt hook shot from 5 ft,,105,120
4,6:34.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),105,120
4,6:34.0,,Sacramento full timeout,105,120
4,6:34.0,A. Wiggins enters the game for D. Rose,,105,120
4,6:34.0,,D. Fox enters the game for Y. Ferrell,105,120
4,6:26.0,Violation by Team (kicked ball),,105,120
4,6:16.0,,Shooting foul by R. Covington (drawn by M. Bagley),105,120
4,6:16.0,,M. Bagley makes free throw 1 of 2,105,121
4,6:16.0,,M. Bagley makes free throw 2 of 2,105,122
4,6:07.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by J. Teague),,108,122
4,5:53.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),108,124
4,5:33.0,J. Teague misses 3-pt jump shot from 25 ft,,108,124
4,5:33.0,Offensive rebound by D. Šarić,,108,124
4,5:33.0,A. Wiggins misses 2-pt layup from 5 ft,,108,124
4,5:33.0,Offensive rebound by A. Wiggins,,108,124
4,5:29.0,Shooting foul by M. Bagley (drawn by D. Šarić),,108,124
4,5:29.0,D. Šarić makes free throw 1 of 2,,109,124
4,5:29.0,D. Šarić makes free throw 2 of 2,,110,124
4,5:10.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,110,124
4,5:07.0,Defensive rebound by R. Covington,,110,124
4,4:56.0,Turnover by K. Towns (step out of bounds),,110,124
4,4:39.0,,B. Hield misses 3-pt jump shot from 26 ft,110,124
4,4:36.0,Defensive rebound by D. Šarić,,110,124
4,4:27.0,R. Covington makes 2-pt layup from 4 ft,,112,124
4,4:15.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),112,126
4,4:11.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,114,126
4,4:11.0,Shooting foul by W. Cauley-Stein (drawn by K. Towns),,114,126
4,4:11.0,,N. Bjelica enters the game for M. Bagley,114,126
4,4:11.0,,I. Shumpert enters the game for B. Bogdanović,114,126
4,4:11.0,K. Towns makes free throw 1 of 1,,115,126
4,4:09.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),115,126
4,4:09.0,,W. Cauley-Stein misses free throw 1 of 2,115,126
4,4:09.0,,Offensive rebound by Team,115,126
4,4:09.0,,W. Cauley-Stein misses free throw 2 of 2,115,126
4,4:09.0,Defensive rebound by Team,,115,126
4,4:00.0,Personal foul by I. Shumpert (drawn by A. Wiggins),,115,126
4,3:53.0,J. Teague makes 2-pt layup from 1 ft,,117,126
4,3:48.0,,Personal foul by K. Towns (drawn by W. Cauley-Stein),117,126
4,3:48.0,,W. Cauley-Stein misses free throw 1 of 2,117,126
