QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
2,6:09.0,,K. Irving makes technical free throw,42,44
2,6:09.0,T. Ferguson enters the game for H. Diallo,,42,44
2,6:09.0,,A. Horford enters the game for D. Theis,42,44
2,5:51.0,,A. Horford misses 2-pt layup from 2 ft (block by J. Grant),42,44
2,5:44.0,Defensive rebound by T. Ferguson,,42,44
2,5:41.0,D. Schröder makes 3-pt jump shot from 29 ft (assist by R. Westbrook),,45,44
2,5:29.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by K. Irving),45,47
2,5:14.0,Turnover by R. Westbrook (bad pass; steal by J. Tatum),,45,47
2,5:02.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),45,49
2,4:53.0,T. Ferguson makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,48,49
2,4:42.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),48,51
2,4:31.0,S. Adams makes 2-pt dunk from 2 ft (assist by D. Schröder),,50,51
2,4:21.0,,Offensive foul by K. Irving (drawn by D. Schröder),50,51
2,4:21.0,,Turnover by K. Irving (offensive foul),50,51
2,4:21.0,P. George enters the game for D. Schröder,,50,51
2,4:10.0,S. Adams misses 2-pt hook shot from 2 ft,,50,51
2,4:08.0,,Defensive rebound by J. Tatum,50,51
2,3:53.0,,A. Horford misses 2-pt hook shot from 2 ft,50,51
2,3:51.0,,Offensive rebound by K. Irving,50,51
2,3:50.0,,K. Irving makes 2-pt layup from 1 ft,50,53
2,3:41.0,T. Ferguson misses 3-pt jump shot from 26 ft,,50,53
2,3:39.0,,Defensive rebound by J. Tatum,50,53
2,3:39.0,,G. Hayward enters the game for J. Brown,50,53
2,3:39.0,,M. Smart enters the game for M. Morris,50,53
2,3:22.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by M. Smart),50,55
2,3:12.0,R. Westbrook misses 2-pt jump shot from 10 ft,,50,55
2,3:10.0,,Defensive rebound by Team,50,55
2,2:57.0,,A. Horford makes 2-pt hook shot from 8 ft,50,57
2,2:46.0,Oklahoma City full timeout,,50,57
2,2:33.0,R. Westbrook misses 2-pt jump shot from 11 ft,,50,57
2,2:31.0,,Defensive rebound by M. Smart,50,57
2,2:13.0,Violation by Team (kicked ball),,50,57
2,2:07.0,,K. Irving makes 2-pt layup from 4 ft,50,59
2,1:47.0,S. Adams makes 2-pt layup from 1 ft (assist by P. George),,52,59
2,1:27.0,,K. Irving makes 2-pt layup from 2 ft (assist by M. Smart),52,61
2,1:08.0,P. George makes 2-pt jump shot from 21 ft,,54,61
2,0:39.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford),54,64
2,0:33.0,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),,56,64
2,0:29.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by M. Smart),56,66
2,0:12.0,R. Westbrook makes 2-pt layup from 1 ft,,58,66
2,0:05.0,,Personal foul by P. George (drawn by K. Irving),58,66
2,0:00.0,,M. Smart misses 3-pt jump shot from 24 ft,58,66
2,0:00.0,,Offensive rebound by Team,58,66
3,11:41.0,,A. Horford misses 2-pt hook shot from 6 ft,58,66
3,11:39.0,Defensive rebound by R. Westbrook,,58,66
3,11:28.0,R. Westbrook makes 2-pt jump shot from 17 ft,,60,66
3,11:12.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),60,69
3,11:01.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,63,69
3,10:47.0,,K. Irving makes 2-pt jump shot from 14 ft,63,71
3,10:24.0,J. Grant makes 2-pt hook shot from 5 ft,,65,71
3,10:11.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by A. Horford),65,73
3,9:55.0,P. George makes 3-pt jump shot from 27 ft,,68,73
3,9:34.0,,Turnover by A. Horford (bad pass; steal by S. Adams),68,73
3,9:28.0,Shooting foul by J. Tatum (drawn by P. George),,68,73
3,9:28.0,P. George makes free throw 1 of 3,,69,73
3,9:28.0,P. George makes free throw 2 of 3,,70,73
3,9:28.0,P. George makes free throw 3 of 3,,71,73
3,9:06.0,,Turnover by M. Morris (lost ball; steal by T. Ferguson),71,73
3,9:02.0,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,74,73
3,8:50.0,,K. Irving misses 3-pt jump shot from 27 ft,74,73
3,8:48.0,Defensive rebound by P. George,,74,73
3,8:45.0,T. Ferguson misses 3-pt jump shot from 25 ft,,74,73
3,8:43.0,,Defensive rebound by Team,74,73
3,8:20.0,,Turnover by K. Irving (lost ball; steal by J. Grant),74,73
3,8:14.0,J. Grant misses 2-pt layup from 7 ft (block by K. Irving),,74,73
3,8:12.0,,Defensive rebound by K. Irving,74,73
3,8:06.0,,M. Morris misses 3-pt jump shot from 26 ft,74,73
3,8:06.0,Defensive rebound by J. Grant,,74,73
3,7:53.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,76,73
3,7:53.0,,Boston full timeout,76,73
3,7:32.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by A. Horford),76,76
3,7:10.0,P. George misses 3-pt jump shot from 26 ft,,76,76
3,7:09.0,,Defensive rebound by M. Smart,76,76
3,7:02.0,,M. Morris misses 3-pt jump shot from 26 ft,76,76
3,7:00.0,Defensive rebound by S. Adams,,76,76
3,6:55.0,T. Ferguson makes 2-pt dunk at rim (assist by R. Westbrook),,78,76
3,6:31.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford),78,79
3,6:20.0,R. Westbrook misses 2-pt layup from 1 ft,,78,79
3,6:18.0,,Defensive rebound by J. Tatum,78,79
3,6:11.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by J. Tatum),78,82
3,5:46.0,P. George misses 3-pt jump shot from 27 ft,,78,82
3,5:44.0,,Defensive rebound by M. Morris,78,82
3,5:37.0,,M. Smart misses 3-pt jump shot from 23 ft,78,82
3,5:35.0,Defensive rebound by R. Westbrook,,78,82
3,5:31.0,Turnover by T. Ferguson (out of bounds lost ball),,78,82
3,5:31.0,D. Schröder enters the game for P. George,,78,82
3,5:31.0,,G. Hayward enters the game for M. Morris,78,82
3,5:21.0,,Personal foul by S. Adams (drawn by K. Irving),78,82
3,5:14.0,,Turnover by K. Irving (lost ball; steal by D. Schröder),78,82
3,4:56.0,Turnover by D. Schröder (bad pass; steal by J. Tatum),,78,82
3,4:45.0,,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),78,84
3,4:45.0,,Shooting foul by T. Ferguson (drawn by G. Hayward),78,84
3,4:45.0,Oklahoma City full timeout,,78,84
3,4:45.0,,G. Hayward makes free throw 1 of 1,78,85
3,4:32.0,T. Ferguson misses 3-pt jump shot from 23 ft,,78,85
3,4:30.0,,Defensive rebound by A. Horford,78,85
3,4:24.0,,Personal foul by T. Ferguson (drawn by K. Irving),78,85
3,4:12.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by K. Irving),78,87
3,4:00.0,Personal foul by G. Hayward (drawn by S. Adams),,78,87
3,3:46.0,R. Westbrook misses 3-pt jump shot from 26 ft,,78,87
3,3:44.0,,Defensive rebound by G. Hayward,78,87
3,3:38.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford),78,90
3,3:26.0,R. Westbrook makes 2-pt layup from 1 ft,,80,90
3,3:13.0,,J. Tatum makes 2-pt jump shot from 17 ft (assist by K. Irving),80,92
3,3:01.0,J. Grant misses 2-pt layup from 3 ft,,80,92
3,2:59.0,Offensive rebound by S. Adams,,80,92
3,2:51.0,Shooting foul by K. Irving (drawn by D. Schröder),,80,92
3,2:51.0,D. Schröder makes free throw 1 of 2,,81,92
3,2:51.0,P. George enters the game for J. Grant,,81,92
3,2:51.0,P. Patterson enters the game for R. Westbrook,,81,92
3,2:51.0,,J. Brown enters the game for J. Tatum,81,92
