QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
2,5:59.0,,Offensive rebound by D. Rose,53,40
2,5:56.0,,Turnover by D. Rose (lost ball; steal by M. Kidd-Gilchrist),53,40
2,5:53.0,M. Monk makes 2-pt layup from 1 ft,,55,40
2,5:42.0,,K. Towns makes 2-pt jump shot from 20 ft,55,42
2,5:28.0,Personal foul by K. Towns (drawn by C. Zeller),,55,42
2,5:28.0,K. Walker enters the game for T. Parker,,55,42
2,5:28.0,,T. Gibson enters the game for D. Šarić,55,42
2,5:18.0,N. Batum misses 3-pt jump shot from 23 ft,,55,42
2,5:14.0,,Defensive rebound by A. Wiggins,55,42
2,4:58.0,,A. Wiggins misses 2-pt layup from 2 ft,55,42
2,4:55.0,Defensive rebound by C. Zeller,,55,42
2,4:47.0,Turnover by M. Kidd-Gilchrist (traveling),,55,42
2,4:36.0,,Turnover by J. Teague (lost ball; steal by M. Monk),55,42
2,4:33.0,Shooting foul by T. Gibson (drawn by M. Monk),,55,42
2,4:33.0,M. Monk makes free throw 1 of 2,,56,42
2,4:33.0,M. Monk makes free throw 2 of 2,,57,42
2,4:14.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),57,45
2,4:00.0,C. Zeller misses 3-pt jump shot from 25 ft,,57,45
2,3:56.0,,Defensive rebound by T. Gibson,57,45
2,3:46.0,,A. Wiggins misses 2-pt jump shot from 8 ft,57,45
2,3:43.0,,Offensive rebound by K. Towns,57,45
2,3:42.0,,K. Towns misses 2-pt jump shot from 7 ft,57,45
2,3:42.0,,Offensive rebound by A. Wiggins,57,45
2,3:39.0,,A. Wiggins makes 2-pt dunk at rim,57,47
2,3:39.0,Charlotte full timeout,,57,47
2,3:39.0,J. Lamb enters the game for M. Monk,,57,47
2,3:21.0,M. Kidd-Gilchrist misses 3-pt jump shot from 24 ft,,57,47
2,3:18.0,,Defensive rebound by A. Wiggins,57,47
2,3:11.0,,A. Wiggins misses 3-pt jump shot from 26 ft,57,47
2,3:09.0,,Offensive rebound by Team,57,47
2,3:09.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,57,47
2,3:00.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by J. Teague),57,49
2,2:46.0,J. Lamb misses 2-pt jump shot from 11 ft,,57,49
2,2:44.0,Offensive rebound by J. Lamb,,57,49
2,2:40.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lamb),,59,49
2,2:30.0,,D. Rose makes 2-pt layup from 1 ft,59,51
2,2:10.0,J. Lamb makes 3-pt jump shot from 25 ft,,62,51
2,2:00.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),62,53
2,2:00.0,,Shooting foul by F. Kaminsky (drawn by A. Wiggins),62,53
2,2:00.0,,A. Wiggins misses free throw 1 of 1,62,53
2,1:57.0,,Offensive rebound by K. Towns,62,53
2,1:56.0,,K. Towns makes 3-pt jump shot from 24 ft,62,56
2,1:39.0,K. Walker misses 3-pt jump shot from 25 ft,,62,56
2,1:34.0,,Defensive rebound by J. Teague,62,56
2,1:28.0,,D. Rose makes 2-pt layup from 1 ft (assist by A. Wiggins),62,58
2,1:13.0,K. Walker misses 2-pt layup from 2 ft (block by J. Teague),,62,58
2,1:12.0,,Defensive rebound by A. Wiggins,62,58
2,0:56.0,,D. Rose makes 2-pt layup from 1 ft (assist by A. Wiggins),62,60
2,0:46.0,N. Batum misses 3-pt jump shot from 25 ft,,62,60
2,0:43.0,,Defensive rebound by A. Wiggins,62,60
2,0:38.0,,Personal foul by F. Kaminsky (drawn by T. Gibson),62,60
2,0:38.0,Technical foul by F. Kaminsky,,62,60
2,0:38.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,62,60
2,0:38.0,,J. Teague makes technical free throw,62,61
2,0:38.0,,T. Gibson misses free throw 1 of 2,62,61
2,0:38.0,,Offensive rebound by Team,62,61
2,0:38.0,,T. Gibson makes free throw 2 of 2,62,62
2,0:30.0,J. Lamb makes 2-pt jump shot from 12 ft,,64,62
2,0:10.0,,A. Wiggins misses 2-pt jump shot from 19 ft,64,62
2,0:07.0,Defensive rebound by J. Lamb,,64,62
2,0:00.0,J. Lamb misses 2-pt jump shot from 6 ft (block by K. Towns),,64,62
2,0:00.0,,Defensive rebound by T. Gibson,64,62
2,0:00.0,,T. Gibson misses 3-pt jump shot from 65 ft,64,62
2,0:00.0,,Offensive rebound by Team,64,62
3,11:51.0,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),,66,62
3,11:31.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by J. Teague),66,64
3,11:11.0,N. Batum misses 2-pt jump shot from 15 ft (block by A. Wiggins),,66,64
3,11:11.0,Offensive rebound by Team,,66,64
3,11:07.0,K. Walker misses 3-pt jump shot from 25 ft,,66,64
3,11:05.0,,Defensive rebound by T. Gibson,66,64
3,10:55.0,,Turnover by K. Towns (traveling),66,64
3,10:36.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by K. Walker),,68,64
3,10:23.0,,Turnover by A. Wiggins (bad pass; steal by C. Zeller),68,64
3,10:18.0,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft (block by K. Towns),,68,64
3,10:15.0,Offensive rebound by M. Kidd-Gilchrist,,68,64
3,10:11.0,J. Lamb misses 2-pt jump shot from 9 ft,,68,64
3,10:09.0,Offensive rebound by C. Zeller,,68,64
3,10:00.0,J. Lamb misses 3-pt jump shot from 25 ft,,68,64
3,9:57.0,,Defensive rebound by T. Gibson,68,64
3,9:46.0,,Personal foul by J. Lamb (drawn by R. Covington),68,64
3,9:38.0,,K. Towns makes 2-pt jump shot from 20 ft (assist by J. Teague),68,66
3,9:24.0,N. Batum misses 2-pt layup from 1 ft,,68,66
3,9:24.0,,Defensive rebound by T. Gibson,68,66
3,9:10.0,,J. Teague misses 2-pt jump shot from 13 ft,68,66
3,9:06.0,Defensive rebound by C. Zeller,,68,66
3,9:06.0,J. Lamb misses 2-pt layup from 3 ft (block by R. Covington),,68,66
3,9:04.0,,Defensive rebound by Team,68,66
3,8:45.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by A. Wiggins),68,69
3,8:27.0,K. Walker misses 2-pt layup from 3 ft,,68,69
3,8:25.0,Offensive rebound by M. Kidd-Gilchrist,,68,69
3,8:25.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by K. Towns),,68,69
3,8:25.0,Offensive rebound by M. Kidd-Gilchrist,,68,69
3,8:18.0,M. Kidd-Gilchrist makes 2-pt layup from 9 ft,,70,69
3,8:11.0,,Turnover by A. Wiggins (traveling),70,69
3,7:59.0,J. Lamb misses 3-pt jump shot from 25 ft,,70,69
3,7:55.0,Offensive rebound by M. Kidd-Gilchrist,,70,69
3,7:55.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,70,69
3,7:55.0,,Defensive rebound by Team,70,69
3,7:41.0,,K. Towns misses 3-pt jump shot from 25 ft,70,69
3,7:37.0,Defensive rebound by J. Lamb,,70,69
3,7:28.0,K. Walker misses 3-pt jump shot from 25 ft,,70,69
3,7:24.0,,Defensive rebound by K. Towns,70,69
3,7:19.0,,K. Towns makes 2-pt layup from 7 ft (assist by J. Teague),70,71
3,7:19.0,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Towns),70,71
3,7:19.0,,K. Towns makes free throw 1 of 1,70,72
3,7:10.0,Turnover by C. Zeller (bad pass; steal by J. Teague),,70,72
3,7:07.0,,J. Teague makes 2-pt layup from 1 ft,70,74
3,7:05.0,Charlotte full timeout,,70,74
3,6:50.0,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),,73,74
3,6:27.0,,K. Towns misses 2-pt jump shot from 10 ft,73,74
3,6:26.0,,Offensive rebound by Team,73,74
3,6:26.0,Loose ball foul by K. Walker (drawn by R. Covington),,73,74
3,6:14.0,,J. Teague misses 2-pt jump shot from 9 ft,73,74
3,6:12.0,Defensive rebound by Team,,73,74
3,6:00.0,K. Walker makes 2-pt jump shot from 16 ft,,75,74
3,5:35.0,,R. Covington makes 2-pt jump shot from 6 ft (assist by J. Teague),75,76
3,5:31.0,Turnover by K. Walker (lost ball; steal by K. Towns),,75,76
3,5:30.0,,Shooting foul by C. Zeller (drawn by K. Towns),75,76
3,5:30.0,,K. Towns misses free throw 1 of 2,75,76
3,5:30.0,,Offensive rebound by Team,75,76
3,5:30.0,,K. Towns makes free throw 2 of 2,75,77
3,5:18.0,K. Walker misses 3-pt jump shot from 25 ft,,75,77
3,5:15.0,,Defensive rebound by K. Towns,75,77
3,5:01.0,,K. Towns makes 2-pt hook shot from 9 ft (assist by T. Gibson),75,79
3,4:46.0,J. Lamb misses 2-pt layup from 9 ft,,75,79
3,4:42.0,,Defensive rebound by T. Gibson,75,79
3,4:26.0,,A. Wiggins misses 2-pt layup from 1 ft,75,79
3,4:26.0,Defensive rebound by Team,,75,79
3,4:26.0,,Loose ball foul by K. Towns (drawn by M. Kidd-Gilchrist),75,79
3,4:26.0,M. Bridges enters the game for N. Batum,,75,79
3,4:26.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,75,79
3,4:17.0,K. Walker makes 2-pt layup from 2 ft,,77,79
3,4:05.0,,A. Wiggins misses 2-pt layup from 4 ft,77,79
3,4:01.0,Defensive rebound by J. Lamb,,77,79
3,3:54.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,80,79
3,3:31.0,,Shooting foul by F. Kaminsky (drawn by A. Wiggins),80,79
3,3:31.0,,A. Wiggins misses free throw 1 of 2,80,79
3,3:31.0,,Offensive rebound by Team,80,79
3,3:31.0,,A. Wiggins makes free throw 2 of 2,80,80
3,3:15.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,80,80
3,3:12.0,,Defensive rebound by J. Teague,80,80
3,2:56.0,,J. Teague misses 2-pt layup from 11 ft,80,80
3,2:55.0,Defensive rebound by J. Lamb,,80,80
3,2:47.0,J. Lamb misses 2-pt jump shot from 5 ft,,80,80
3,2:46.0,,Defensive rebound by T. Gibson,80,80
3,2:36.0,,R. Covington makes 2-pt jump shot from 21 ft (assist by K. Towns),80,82
3,2:20.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by K. Walker),,82,82
3,2:05.0,,K. Towns misses 2-pt jump shot from 20 ft,82,82
3,2:05.0,Defensive rebound by J. Lamb,,82,82
3,1:49.0,C. Zeller makes 2-pt layup from 7 ft (assist by F. Kaminsky),,84,82
3,1:44.0,,Minnesota full timeout,84,82
3,1:44.0,B. Biyombo enters the game for K. Walker,,84,82
3,1:44.0,T. Parker enters the game for C. Zeller,,84,82
3,1:44.0,,D. Rose enters the game for R. Covington,84,82
3,1:44.0,,D. Šarić enters the game for T. Gibson,84,82
3,1:35.0,,D. Rose makes 2-pt jump shot from 16 ft,84,84
3,1:20.0,Turnover by T. Parker (bad pass; steal by K. Towns),,84,84
3,1:16.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by D. Rose),84,86
3,1:02.0,T. Parker misses 2-pt jump shot from 13 ft,,84,86
3,0:58.0,,Defensive rebound by D. Šarić,84,86
3,0:44.0,,D. Šarić misses 2-pt layup from 1 ft,84,86
3,0:42.0,Defensive rebound by J. Lamb,,84,86
3,0:30.0,Shooting foul by A. Wiggins (drawn by J. Lamb),,84,86
3,0:30.0,J. Lamb makes free throw 1 of 2,,85,86
3,0:30.0,M. Kidd-Gilchrist enters the game for B. Biyombo,,85,86
3,0:30.0,,G. Dieng enters the game for J. Teague,85,86
3,0:30.0,,T. Jones enters the game for K. Towns,85,86
3,0:30.0,J. Lamb makes free throw 2 of 2,,86,86
3,0:17.0,,D. Šarić misses 3-pt jump shot from 25 ft,86,86
3,0:14.0,Defensive rebound by M. Bridges,,86,86
3,0:03.0,J. Lamb misses 2-pt layup from 2 ft,,86,86
3,0:00.0,,Defensive rebound by D. Šarić,86,86
4,11:46.0,,D. Rose makes 2-pt layup from 3 ft,86,88
4,11:29.0,Turnover by M. Monk (lost ball; steal by T. Jones),,86,88
4,11:23.0,,T. Jones misses 2-pt jump shot from 17 ft,86,88
4,11:20.0,Defensive rebound by N. Batum,,86,88
4,11:08.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,86,88
4,11:04.0,,Defensive rebound by G. Dieng,86,88
4,10:55.0,,D. Rose misses 2-pt jump shot from 21 ft,86,88
4,10:55.0,Defensive rebound by T. Parker,,86,88
4,10:44.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Parker),,89,88
4,10:30.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),89,90
4,10:16.0,T. Parker misses 2-pt jump shot from 16 ft,,89,90
4,10:14.0,,Defensive rebound by R. Covington,89,90
4,10:05.0,,D. Šarić misses 2-pt jump shot from 18 ft,89,90
4,10:01.0,Defensive rebound by N. Batum,,89,90
4,9:54.0,M. Bridges misses 3-pt jump shot from 25 ft,,89,90
4,9:52.0,,Defensive rebound by G. Dieng,89,90
4,9:46.0,,Personal foul by N. Batum (drawn by D. Rose),89,90
4,9:39.0,,Turnover by G. Dieng (traveling),89,90
4,9:30.0,N. Batum makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,92,90
4,9:18.0,,D. Rose misses 3-pt jump shot from 26 ft,92,90
4,9:17.0,Defensive rebound by T. Parker,,92,90
4,9:10.0,M. Monk misses 3-pt jump shot from 26 ft,,92,90
4,9:07.0,,Defensive rebound by R. Covington,92,90
4,9:00.0,,G. Dieng makes 2-pt layup from 1 ft (assist by R. Covington),92,92
4,9:00.0,,Shooting foul by F. Kaminsky (drawn by G. Dieng),92,92
4,9:00.0,,G. Dieng makes free throw 1 of 1,92,93
4,8:49.0,N. Batum misses 2-pt jump shot from 10 ft,,92,93
4,8:48.0,,Defensive rebound by G. Dieng,92,93
4,8:41.0,,R. Covington misses 3-pt jump shot from 25 ft,92,93
4,8:37.0,Defensive rebound by F. Kaminsky,,92,93
4,8:32.0,M. Bridges makes 2-pt jump shot from 8 ft (assist by N. Batum),,94,93
4,8:19.0,,R. Covington misses 2-pt layup from 2 ft,94,93
4,8:18.0,Defensive rebound by N. Batum,,94,93
4,8:12.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by T. Parker),,96,93
4,8:11.0,,Minnesota full timeout,96,93
4,8:11.0,,J. Teague enters the game for G. Dieng,96,93
4,8:11.0,,K. Towns enters the game for T. Jones,96,93
4,8:00.0,,K. Towns makes 2-pt jump shot from 7 ft (assist by J. Teague),96,95
4,7:47.0,M. Monk misses 3-pt jump shot from 25 ft,,96,95
4,7:44.0,,Defensive rebound by D. Šarić,96,95
4,7:38.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),96,98
4,7:36.0,Charlotte full timeout,,96,98
4,7:36.0,K. Walker enters the game for F. Kaminsky,,96,98
4,7:36.0,C. Zeller enters the game for T. Parker,,96,98
4,7:18.0,M. Bridges misses 2-pt jump shot from 6 ft,,96,98
4,7:16.0,,Defensive rebound by R. Covington,96,98
4,7:02.0,,K. Towns makes 2-pt layup from 1 ft,96,100
4,6:49.0,K. Walker misses 2-pt layup from 4 ft (block by J. Teague),,96,100
4,6:49.0,Offensive rebound by Team,,96,100
4,6:39.0,Turnover by M. Bridges (out of bounds lost ball),,96,100
4,6:39.0,J. Lamb enters the game for M. Monk,,96,100
4,6:29.0,,D. Rose misses 2-pt jump shot from 14 ft,96,100
4,6:25.0,,Offensive rebound by D. Šarić,96,100
4,6:20.0,,K. Towns misses 2-pt hook shot from 7 ft,96,100
4,6:15.0,Defensive rebound by J. Lamb,,96,100
4,5:58.0,C. Zeller misses 3-pt jump shot from 25 ft,,96,100
4,5:55.0,,Defensive rebound by R. Covington,96,100
4,5:38.0,,Def 3 sec tech foul by Team,96,100
4,5:38.0,M. Kidd-Gilchrist enters the game for M. Bridges,,96,100
4,5:38.0,,R. Covington makes technical free throw,96,101
4,5:25.0,,R. Covington makes 2-pt layup from 1 ft,96,103
4,5:12.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,98,103
4,4:55.0,,Shooting foul by C. Zeller (drawn by K. Towns),98,103
4,4:55.0,,K. Towns makes free throw 1 of 2,98,104
4,4:55.0,,A. Wiggins enters the game for D. Rose,98,104
4,4:55.0,,K. Towns makes free throw 2 of 2,98,105
4,4:44.0,J. Lamb misses 3-pt jump shot from 25 ft,,98,105
4,4:40.0,,Defensive rebound by A. Wiggins,98,105
4,4:35.0,,Shooting foul by J. Lamb (drawn by R. Covington),98,105
4,4:35.0,,R. Covington makes free throw 1 of 3,98,106
4,4:35.0,,R. Covington makes free throw 2 of 3,98,107
4,4:35.0,,R. Covington makes free throw 3 of 3,98,108
