QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
1,5:32.0,,R. Westbrook misses 2-pt layup from 3 ft,13,13
1,5:30.0,Defensive rebound by K. Bazemore,,13,13
1,5:17.0,J. Anderson makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,16,13
1,4:55.0,,Turnover by P. George (bad pass; steal by K. Bazemore),16,13
1,4:51.0,Turnover by O. Spellman (bad pass),,16,13
1,4:41.0,,Turnover by R. Westbrook (bad pass),16,13
1,4:23.0,K. Bazemore misses 2-pt jump shot from 15 ft,,16,13
1,4:20.0,,Defensive rebound by R. Westbrook,16,13
1,4:10.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by P. George),16,15
1,3:54.0,J. Anderson misses 3-pt jump shot from 24 ft,,16,15
1,3:52.0,,Defensive rebound by P. George,16,15
1,3:45.0,,D. Schröder makes 2-pt layup from 3 ft,16,17
1,3:23.0,O. Spellman misses 3-pt jump shot from 22 ft,,16,17
1,3:21.0,,Defensive rebound by D. Schröder,16,17
1,3:18.0,,Shooting foul by J. Anderson (drawn by P. George),16,17
1,3:18.0,,P. George makes free throw 1 of 2,16,18
1,3:18.0,,A. Nader enters the game for R. Westbrook,16,18
1,3:18.0,,P. George makes free throw 2 of 2,16,19
1,3:02.0,K. Bazemore misses 3-pt jump shot from 26 ft,,16,19
1,3:02.0,Offensive rebound by Team,,16,19
1,3:02.0,,Loose ball foul by J. Grant (drawn by A. Len),16,19
1,2:54.0,J. Anderson misses 3-pt jump shot from 24 ft,,16,19
1,2:50.0,,Defensive rebound by S. Adams,16,19
1,2:50.0,,P. Patterson enters the game for J. Grant,16,19
1,2:40.0,,Turnover by D. Schröder (bad pass),16,19
1,2:27.0,O. Spellman misses 2-pt layup from 3 ft,,16,19
1,2:27.0,Offensive rebound by A. Len,,16,19
1,2:27.0,A. Len makes 2-pt layup from 1 ft,,18,19
1,2:27.0,Shooting foul by P. George (drawn by A. Len),,18,19
1,2:27.0,J. Collins enters the game for J. Anderson,,18,19
1,2:27.0,T. Prince enters the game for O. Spellman,,18,19
1,2:27.0,A. Len makes free throw 1 of 1,,19,19
1,2:14.0,,A. Nader misses 3-pt jump shot from 25 ft,19,19
1,2:10.0,Defensive rebound by D. Bembry,,19,19
1,2:05.0,K. Bazemore misses 3-pt jump shot from 23 ft,,19,19
1,2:03.0,,Defensive rebound by A. Nader,19,19
1,1:49.0,,P. Patterson misses 3-pt jump shot from 23 ft,19,19
1,1:46.0,Defensive rebound by J. Collins,,19,19
1,1:38.0,Personal foul by D. Schröder (drawn by J. Collins),,19,19
1,1:38.0,T. Young enters the game for D. Bembry,,19,19
1,1:38.0,,Á. Abrines enters the game for S. Adams,19,19
1,1:38.0,,N. Noel enters the game for P. George,19,19
1,1:28.0,K. Bazemore misses 3-pt jump shot from 26 ft,,19,19
1,1:27.0,Offensive rebound by J. Collins,,19,19
1,1:27.0,J. Collins misses 2-pt layup from 1 ft,,19,19
1,1:26.0,Offensive rebound by J. Collins,,19,19
1,1:24.0,J. Collins misses 2-pt layup from 1 ft (block by N. Noel),,19,19
1,1:22.0,,Defensive rebound by D. Schröder,19,19
1,1:22.0,,Turnover by D. Schröder (bad pass),19,19
1,1:11.0,A. Len misses 2-pt layup from 1 ft,,19,19
1,1:06.0,Offensive rebound by A. Len,,19,19
1,1:06.0,A. Len makes 2-pt layup from 1 ft,,21,19
1,0:47.0,,D. Schröder makes 3-pt jump shot from 26 ft,21,22
1,0:40.0,J. Collins makes 2-pt dunk from 1 ft,,23,22
1,0:32.0,,Shooting foul by K. Bazemore (drawn by N. Noel),23,22
1,0:32.0,,N. Noel makes free throw 1 of 2,23,23
1,0:32.0,,N. Noel makes free throw 2 of 2,23,24
1,0:27.0,Shooting foul by N. Noel (drawn by T. Prince),,23,24
1,0:27.0,T. Prince makes free throw 1 of 2,,24,24
1,0:27.0,J. Anderson enters the game for A. Len,,24,24
1,0:27.0,T. Prince misses free throw 2 of 2,,24,24
1,0:24.0,,Defensive rebound by A. Nader,24,24
1,0:11.0,,D. Schröder makes 2-pt layup from 1 ft,24,26
1,0:10.0,,Violation by Team (kicked ball),24,26
1,0:10.0,D. Bembry enters the game for J. Anderson,,24,26
1,0:08.0,Turnover by K. Bazemore (bad pass; steal by N. Noel),,24,26
1,0:04.0,,N. Noel makes 2-pt dunk at rim (assist by D. Schröder),24,28
1,0:00.0,K. Bazemore makes 2-pt jump shot from 21 ft,,26,28
2,11:47.0,T. Young misses 2-pt layup from 1 ft,,26,28
2,11:42.0,,Defensive rebound by N. Noel,26,28
2,11:34.0,,Á. Abrines makes 3-pt jump shot from 27 ft (assist by D. Schröder),26,31
2,11:07.0,D. Dedmon misses 2-pt jump shot from 14 ft,,26,31
2,11:03.0,Offensive rebound by T. Young,,26,31
2,11:02.0,T. Young makes 2-pt jump shot from 4 ft,,28,31
2,11:02.0,,Oklahoma City full timeout,28,31
2,10:54.0,,Personal foul by T. Prince (drawn by N. Noel),28,31
2,10:54.0,,D. Burton enters the game for A. Nader,28,31
2,10:49.0,,D. Schröder misses 3-pt jump shot from 26 ft,28,31
2,10:46.0,,Offensive rebound by N. Noel,28,31
2,10:36.0,,Turnover by D. Schröder (bad pass; steal by T. Prince),28,31
2,10:20.0,D. Dedmon misses 2-pt jump shot from 11 ft,,28,31
2,10:18.0,,Defensive rebound by N. Noel,28,31
2,10:12.0,,Á. Abrines misses 3-pt jump shot from 25 ft,28,31
2,10:09.0,Defensive rebound by J. Collins,,28,31
2,9:56.0,Turnover by D. Dedmon (lost ball; steal by N. Noel),,28,31
2,9:50.0,,Oklahoma City full timeout,28,31
2,9:50.0,J. Anderson enters the game for J. Collins,,28,31
2,9:50.0,O. Spellman enters the game for T. Prince,,28,31
2,9:39.0,,Á. Abrines misses 3-pt jump shot from 26 ft,28,31
2,9:37.0,,Offensive rebound by N. Noel,28,31
2,9:31.0,,P. Patterson misses 3-pt jump shot from 25 ft,28,31
2,9:26.0,Defensive rebound by K. Huerter,,28,31
2,9:21.0,J. Anderson misses 2-pt layup from 4 ft (block by D. Burton),,28,31
2,9:21.0,,Defensive rebound by N. Noel,28,31
2,9:17.0,,Shooting foul by D. Dedmon (drawn by P. Patterson),28,31
2,9:17.0,,P. Patterson makes free throw 1 of 2,28,32
2,9:17.0,D. Bembry enters the game for T. Young,,28,32
2,9:17.0,,R. Westbrook enters the game for Á. Abrines,28,32
2,9:17.0,,P. Patterson makes free throw 2 of 2,28,33
2,8:52.0,O. Spellman makes 3-pt jump shot from 26 ft (assist by K. Huerter),,31,33
2,8:36.0,,N. Noel makes 2-pt jump shot from 9 ft (assist by R. Westbrook),31,35
2,8:18.0,D. Bembry makes 2-pt jump shot from 5 ft,,33,35
2,7:56.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by D. Schröder),33,38
2,7:37.0,Turnover by D. Bembry (bad pass; steal by N. Noel),,33,38
2,7:33.0,,R. Westbrook makes 3-pt jump shot from 25 ft (assist by D. Schröder),33,41
2,7:08.0,Turnover by D. Dedmon (bad pass),,33,41
2,7:08.0,,S. Adams enters the game for N. Noel,33,41
2,7:08.0,,P. George enters the game for P. Patterson,33,41
2,7:08.0,,J. Grant enters the game for D. Schröder,33,41
2,6:53.0,,D. Burton makes 2-pt layup from 2 ft,33,43
2,6:36.0,K. Huerter misses 3-pt jump shot from 25 ft,,33,43
2,6:34.0,,Defensive rebound by R. Westbrook,33,43
2,6:21.0,,R. Westbrook makes 3-pt jump shot from 23 ft (assist by D. Burton),33,46
2,6:18.0,Atlanta full timeout,,33,46
2,6:18.0,K. Bazemore enters the game for J. Anderson,,33,46
2,6:18.0,J. Collins enters the game for D. Bembry,,33,46
2,6:18.0,A. Len enters the game for D. Dedmon,,33,46
2,6:18.0,T. Prince enters the game for K. Huerter,,33,46
2,6:18.0,T. Young enters the game for O. Spellman,,33,46
2,6:05.0,Turnover by K. Bazemore (bad pass; steal by P. George),,33,46
2,5:53.0,,P. George makes 2-pt jump shot from 13 ft,33,48
2,5:41.0,Personal foul by P. George (drawn by J. Collins),,33,48
2,5:37.0,Personal foul by R. Westbrook (drawn by T. Young),,33,48
2,5:29.0,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),,36,48
2,5:13.0,,Def 3 sec tech foul by Team,36,48
2,5:13.0,,P. George makes technical free throw,36,49
2,5:06.0,,R. Westbrook misses 2-pt hook shot from 9 ft,36,49
2,5:03.0,,Offensive rebound by R. Westbrook,36,49
2,4:59.0,,D. Burton misses 2-pt layup from 8 ft,36,49
2,4:59.0,,Offensive rebound by Team,36,49
2,4:59.0,,Turnover by Team (shot clock),36,49
2,4:49.0,Turnover by T. Prince (bad pass; steal by S. Adams),,36,49
2,4:48.0,,Personal take foul by T. Young (drawn by D. Burton),36,49
2,4:42.0,,R. Westbrook makes 2-pt layup from 1 ft,36,51
2,4:42.0,,Shooting foul by A. Len (drawn by R. Westbrook),36,51
2,4:42.0,,R. Westbrook makes free throw 1 of 1,36,52
2,4:32.0,T. Young misses 2-pt layup from 4 ft,,36,52
2,4:26.0,,Defensive rebound by P. George,36,52
2,4:17.0,,P. George makes 3-pt jump shot from 25 ft (assist by J. Grant),36,55
2,4:17.0,Atlanta full timeout,,36,55
2,4:17.0,,D. Schröder enters the game for D. Burton,36,55
2,4:17.0,Violation by Team (delay of game),,36,55
2,3:58.0,T. Prince makes 2-pt layup at rim (assist by T. Young),,38,55
2,3:47.0,,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Westbrook),38,57
2,3:36.0,Personal foul by D. Schröder (drawn by T. Young),,38,57
2,3:31.0,A. Len makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,41,57
2,3:19.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),41,60
2,3:02.0,T. Young misses 2-pt jump shot from 8 ft,,41,60
2,3:00.0,,Defensive rebound by R. Westbrook,41,60
2,2:57.0,,Turnover by R. Westbrook (bad pass),41,60
2,2:49.0,A. Len makes 2-pt dunk from 1 ft (assist by K. Bazemore),,43,60
2,2:33.0,,D. Schröder misses 3-pt jump shot from 26 ft,43,60
2,2:32.0,Defensive rebound by Team,,43,60
2,2:32.0,,Loose ball foul by S. Adams (drawn by A. Len),43,60
2,2:19.0,K. Bazemore makes 3-pt jump shot from 26 ft (assist by T. Young),,46,60
2,1:57.0,,Turnover by S. Adams (lost ball; steal by K. Bazemore),46,60
2,1:46.0,A. Len misses 2-pt dunk from 2 ft (block by J. Grant),,46,60
2,1:43.0,,Defensive rebound by J. Grant,46,60
2,1:39.0,,P. George makes 3-pt jump shot from 23 ft (assist by S. Adams),46,63
2,1:22.0,T. Young misses 3-pt jump shot from 26 ft,,46,63
2,1:20.0,Offensive rebound by J. Collins,,46,63
2,1:06.0,K. Bazemore misses 3-pt jump shot from 26 ft,,46,63
2,1:04.0,,Defensive rebound by S. Adams,46,63
2,1:02.0,,R. Westbrook misses 2-pt layup from 8 ft (block by T. Prince),46,63
2,1:00.0,Defensive rebound by T. Young,,46,63
2,1:00.0,T. Young misses 2-pt layup from 4 ft,,46,63
2,0:59.0,,Defensive rebound by S. Adams,46,63
2,0:58.0,Technical foul by T. Young,,46,63
2,0:58.0,,P. George makes technical free throw,46,64
2,0:58.0,,Á. Abrines enters the game for P. George,46,64
2,0:42.0,,R. Westbrook makes 2-pt layup from 1 ft,46,66
2,0:36.0,A. Len misses 3-pt jump shot from 26 ft,,46,66
2,0:32.0,,Defensive rebound by S. Adams,46,66
2,0:29.0,,D. Schröder misses 2-pt layup from 4 ft (block by A. Len),46,66
2,0:23.0,Defensive rebound by K. Bazemore,,46,66
2,0:21.0,T. Young misses 2-pt layup from 2 ft (block by S. Adams),,46,66
2,0:15.0,,Defensive rebound by S. Adams,46,66
2,0:02.0,,J. Grant misses 3-pt jump shot from 23 ft,46,66
2,0:02.0,,Offensive rebound by Team,46,66
3,11:43.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Prince),,48,66
3,11:28.0,,Á. Abrines makes 3-pt jump shot from 23 ft (assist by P. George),48,69
3,11:09.0,T. Prince misses 2-pt layup from 1 ft,,48,69
3,11:07.0,,Defensive rebound by R. Westbrook,48,69
3,11:01.0,,R. Westbrook misses 2-pt jump shot from 13 ft,48,69
3,10:57.0,Defensive rebound by D. Dedmon,,48,69
3,10:50.0,Personal foul by R. Westbrook (drawn by T. Young),,48,69
3,10:38.0,Turnover by D. Dedmon (bad pass; steal by R. Westbrook),,48,69
3,10:35.0,,Turnover by S. Adams (bad pass; steal by D. Dedmon),48,69
3,10:30.0,T. Young misses 2-pt jump shot from 8 ft,,48,69
3,10:28.0,,Defensive rebound by P. George,48,69
3,10:19.0,,R. Westbrook misses 3-pt jump shot from 25 ft,48,69
3,10:16.0,Defensive rebound by T. Prince,,48,69
3,10:09.0,J. Collins misses 3-pt jump shot from 25 ft,,48,69
3,10:07.0,,Defensive rebound by S. Adams,48,69
3,9:59.0,,P. George misses 2-pt jump shot from 19 ft,48,69
3,9:57.0,Defensive rebound by K. Huerter,,48,69
3,9:45.0,T. Prince makes 2-pt layup from 2 ft,,50,69
3,9:45.0,,Oklahoma City full timeout,50,69
3,9:32.0,,Á. Abrines makes 3-pt jump shot from 27 ft (assist by R. Westbrook),50,72
3,9:18.0,T. Young makes 2-pt layup from 1 ft,,52,72
3,9:06.0,,Turnover by J. Grant (bad pass; steal by D. Dedmon),52,72
3,8:57.0,Turnover by K. Huerter (bad pass; steal by S. Adams),,52,72
3,8:52.0,,R. Westbrook makes 2-pt layup at rim,52,74
3,8:27.0,J. Collins makes 2-pt hook shot from 11 ft (assist by K. Huerter),,54,74
3,8:15.0,,P. George misses 2-pt jump shot from 15 ft,54,74
3,8:15.0,Defensive rebound by D. Dedmon,,54,74
3,7:56.0,J. Collins makes 2-pt jump shot from 14 ft (assist by T. Young),,56,74
3,7:37.0,,Turnover by R. Westbrook (bad pass; steal by D. Dedmon),56,74
3,7:33.0,T. Young makes 2-pt layup from 1 ft (assist by K. Huerter),,58,74
3,7:14.0,,J. Grant misses 3-pt jump shot from 23 ft,58,74
3,7:12.0,Defensive rebound by T. Prince,,58,74
3,7:10.0,Turnover by T. Prince (bad pass),,58,74
3,7:00.0,,Shooting foul by K. Huerter (drawn by R. Westbrook),58,74
3,7:00.0,,R. Westbrook makes free throw 1 of 2,58,75
3,7:00.0,,R. Westbrook makes free throw 2 of 2,58,76
3,6:46.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,60,76
3,6:46.0,Shooting foul by P. George (drawn by J. Collins),,60,76
3,6:46.0,K. Bazemore enters the game for K. Huerter,,60,76
3,6:46.0,D. Bembry enters the game for T. Prince,,60,76
3,6:46.0,J. Collins makes free throw 1 of 1,,61,76
3,6:35.0,,Á. Abrines misses 3-pt jump shot from 24 ft,61,76
3,6:33.0,Defensive rebound by J. Collins,,61,76
3,6:24.0,D. Dedmon misses 3-pt jump shot from 24 ft,,61,76
3,6:23.0,Offensive rebound by Team,,61,76
3,6:23.0,,Loose ball foul by J. Grant (drawn by J. Collins),61,76
3,6:14.0,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Young),,63,76
3,6:00.0,,R. Westbrook misses 2-pt jump shot from 7 ft,63,76
3,5:59.0,Defensive rebound by Team,,63,76
3,5:59.0,A. Len enters the game for D. Dedmon,,63,76
3,5:48.0,A. Len makes 3-pt jump shot from 23 ft (assist by T. Young),,66,76
3,5:37.0,,P. George misses 3-pt jump shot from 25 ft,66,76
3,5:36.0,Defensive rebound by J. Collins,,66,76
3,5:16.0,T. Young misses 2-pt layup from 3 ft,,66,76
3,5:14.0,,Defensive rebound by R. Westbrook,66,76
3,5:09.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by R. Westbrook),66,79
3,5:08.0,Atlanta full timeout,,66,79
3,5:08.0,O. Spellman enters the game for J. Collins,,66,79
3,5:08.0,,D. Schröder enters the game for Á. Abrines,66,79
3,4:49.0,A. Len misses 2-pt hook shot from 4 ft,,66,79
3,4:47.0,,Defensive rebound by S. Adams,66,79
3,4:41.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),66,82
3,4:20.0,D. Bembry misses 3-pt jump shot from 23 ft,,66,82
3,4:18.0,,Defensive rebound by J. Grant,66,82
3,4:09.0,,Technical foul by R. Westbrook,66,82
3,4:09.0,T. Young makes technical free throw,,67,82
3,4:09.0,,Technical foul by V. Carter,67,82
3,4:09.0,,P. George makes technical free throw,67,83
3,4:02.0,,R. Westbrook makes 2-pt jump shot from 13 ft,67,85
3,3:51.0,T. Young misses 2-pt layup from 3 ft (block by D. Schröder),,67,85
3,3:48.0,,Defensive rebound by S. Adams,67,85
3,3:45.0,,D. Schröder misses 3-pt jump shot from 25 ft,67,85
3,3:41.0,Defensive rebound by K. Bazemore,,67,85
3,3:38.0,Shooting foul by J. Grant (drawn by D. Bembry),,67,85
3,3:38.0,D. Bembry misses free throw 1 of 2,,67,85
3,3:38.0,Offensive rebound by Team,,67,85
3,3:38.0,D. Bembry makes free throw 2 of 2,,68,85
3,3:30.0,,Shooting foul by A. Len (drawn by R. Westbrook),68,85
3,3:30.0,,R. Westbrook makes free throw 1 of 2,68,86
3,3:30.0,,R. Westbrook makes free throw 2 of 2,68,87
3,3:12.0,Offensive foul by A. Len (drawn by S. Adams),,68,87
3,3:12.0,Turnover by A. Len (offensive foul),,68,87
3,3:12.0,T. Prince enters the game for T. Young,,68,87
3,3:12.0,,D. Burton enters the game for R. Westbrook,68,87
3,2:58.0,,D. Schröder misses 3-pt jump shot from 26 ft,68,87
3,2:55.0,Defensive rebound by K. Bazemore,,68,87
3,2:45.0,K. Bazemore misses 2-pt layup at rim,,68,87
3,2:44.0,Offensive rebound by A. Len,,68,87
3,2:44.0,A. Len misses 2-pt layup at rim,,68,87
3,2:42.0,,Defensive rebound by D. Schröder,68,87
3,2:35.0,,D. Schröder makes 2-pt jump shot from 6 ft,68,89
3,2:14.0,D. Bembry makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,71,89
3,2:02.0,,D. Schröder misses 2-pt jump shot from 3 ft,71,89
3,2:02.0,Defensive rebound by T. Prince,,71,89
3,1:56.0,K. Bazemore misses 3-pt jump shot from 23 ft,,71,89
3,1:56.0,,Defensive rebound by S. Adams,71,89
3,1:45.0,,J. Grant makes 2-pt dunk from 2 ft,71,91
3,1:45.0,Atlanta full timeout,,71,91
3,1:45.0,M. Plumlee enters the game for A. Len,,71,91
3,1:45.0,,P. Patterson enters the game for J. Grant,71,91
3,1:35.0,Personal foul by D. Schröder (drawn by K. Bazemore),,71,91
3,1:35.0,K. Bazemore makes free throw 1 of 2,,72,91
3,1:35.0,K. Bazemore misses free throw 2 of 2,,72,91
3,1:32.0,,Defensive rebound by P. George,72,91
3,1:12.0,,Turnover by D. Schröder (lost ball; steal by K. Bazemore),72,91
3,1:06.0,Turnover by D. Bembry (bad pass; steal by S. Adams),,72,91
3,1:01.0,,Turnover by P. George (lost ball; steal by K. Bazemore),72,91
3,0:59.0,K. Bazemore makes 2-pt layup from 2 ft,,74,91
3,0:40.0,,P. George misses 3-pt jump shot from 25 ft,74,91
3,0:38.0,Defensive rebound by Team,,74,91
3,0:38.0,,Loose ball foul by S. Adams (drawn by M. Plumlee),74,91
3,0:38.0,M. Plumlee makes free throw 1 of 2,,75,91
3,0:38.0,J. Collins enters the game for O. Spellman,,75,91
3,0:38.0,,N. Noel enters the game for S. Adams,75,91
3,0:38.0,M. Plumlee makes free throw 2 of 2,,76,91
3,0:29.0,,P. Patterson misses 3-pt jump shot from 25 ft,76,91
3,0:27.0,Defensive rebound by Team,,76,91
3,0:05.0,T. Prince misses 3-pt jump shot from 24 ft,,76,91
3,0:02.0,,Defensive rebound by P. Patterson,76,91
4,11:50.0,,N. Noel makes 2-pt layup from 2 ft (assist by D. Schröder),76,93
4,11:30.0,T. Prince misses 2-pt layup from 4 ft (block by D. Schröder),,76,93
4,11:28.0,Offensive rebound by M. Plumlee,,76,93
4,11:27.0,M. Plumlee misses 2-pt layup from 2 ft (block by N. Noel),,76,93
4,11:25.0,Offensive rebound by J. Collins,,76,93
4,11:24.0,J. Collins makes 2-pt layup at rim,,78,93
4,11:15.0,,D. Schröder makes 2-pt jump shot from 15 ft,78,95
4,11:00.0,J. Collins misses 3-pt jump shot from 25 ft,,78,95
4,10:57.0,,Defensive rebound by Á. Abrines,78,95
4,10:53.0,,P. Patterson makes 3-pt jump shot from 22 ft (assist by D. Schröder),78,98
4,10:36.0,Turnover by T. Young (bad pass),,78,98
4,10:27.0,,D. Schröder makes 2-pt jump shot from 7 ft,78,100
4,10:26.0,Atlanta full timeout,,78,100
4,10:12.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Collins),,80,100
4,9:58.0,,P. Patterson misses 3-pt jump shot from 24 ft,80,100
4,9:55.0,Defensive rebound by T. Young,,80,100
4,9:53.0,Shooting foul by Á. Abrines (drawn by T. Young),,80,100
4,9:53.0,T. Young misses free throw 1 of 2,,80,100
4,9:53.0,Offensive rebound by Team,,80,100
4,9:53.0,T. Young misses free throw 2 of 2,,80,100
4,9:50.0,,Defensive rebound by N. Noel,80,100
4,9:43.0,,Turnover by D. Schröder (lost ball; steal by M. Plumlee),80,100
4,9:38.0,Turnover by T. Prince (bad pass),,80,100
4,9:27.0,,N. Noel makes 2-pt jump shot from 9 ft (assist by D. Schröder),80,102
4,9:17.0,Personal foul by P. Patterson (drawn by J. Collins),,80,102
4,9:05.0,T. Prince makes 3-pt jump shot from 24 ft,,83,102
4,8:53.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),83,104
4,8:53.0,D. Bembry enters the game for K. Bazemore,,83,104
4,8:53.0,K. Huerter enters the game for T. Young,,83,104
4,8:53.0,,R. Westbrook enters the game for D. Schröder,83,104
4,8:33.0,M. Plumlee makes 2-pt jump shot from 5 ft (assist by D. Bembry),,85,104
4,8:17.0,,Á. Abrines makes 3-pt jump shot from 26 ft (assist by R. Westbrook),85,107
4,8:08.0,T. Prince makes 3-pt jump shot from 25 ft (assist by D. Bembry),,88,107
4,7:39.0,,Turnover by R. Westbrook (lost ball; steal by D. Bembry),88,107
4,7:34.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Bembry),,90,107
4,7:17.0,,N. Noel makes 2-pt jump shot from 8 ft (assist by R. Westbrook),90,109
4,7:03.0,T. Prince misses 3-pt jump shot from 25 ft,,90,109
4,7:00.0,,Defensive rebound by D. Burton,90,109
4,6:50.0,,Def 3 sec tech foul by Team,90,109
4,6:50.0,,R. Westbrook misses technical free throw,90,109
4,6:50.0,,Offensive rebound by Team,90,109
4,6:50.0,A. Len enters the game for M. Plumlee,,90,109
4,6:50.0,,S. Adams enters the game for Á. Abrines,90,109
4,6:50.0,,D. Schröder enters the game for N. Noel,90,109
4,6:42.0,,P. Patterson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),90,112
4,6:25.0,J. Collins misses 2-pt jump shot from 18 ft,,90,112
4,6:21.0,,Defensive rebound by R. Westbrook,90,112
4,6:18.0,Violation by Team (kicked ball),,90,112
4,6:13.0,,Turnover by D. Burton (bad pass; steal by T. Prince),90,112
4,6:12.0,Personal foul by D. Burton (drawn by T. Prince),,90,112
4,5:58.0,Turnover by J. Collins (off goaltending),,90,112
4,5:47.0,,P. Patterson makes 2-pt jump shot from 23 ft (assist by R. Westbrook),90,114
4,5:31.0,D. Bembry makes 2-pt dunk from 1 ft,,92,114
4,5:13.0,,S. Adams misses 2-pt layup from 1 ft,92,114
