QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
1,4:08.0,E. İlyasova enters the game for P. Connaughton,,18,8
1,4:08.0,J. Morris enters the game for B. Lopez,,18,8
1,4:08.0,,M. Dellavedova enters the game for C. Sexton,18,8
1,3:56.0,,J. Clarkson misses 2-pt jump shot from 17 ft,18,8
1,3:54.0,Defensive rebound by J. Morris,,18,8
1,3:45.0,T. Maker makes 3-pt jump shot from 23 ft (assist by J. Morris),,21,8
1,3:32.0,,M. Dellavedova makes 3-pt jump shot from 25 ft,21,11
1,3:18.0,G. Hill misses 2-pt layup from 2 ft,,21,11
1,3:16.0,,Defensive rebound by L. Nance,21,11
1,3:14.0,,Shooting foul by D. DiVincenzo (drawn by D. Nwaba),21,11
1,3:14.0,,D. Nwaba makes free throw 1 of 2,21,12
1,3:14.0,,D. Nwaba misses free throw 2 of 2,21,12
1,3:12.0,Defensive rebound by T. Maker,,21,12
1,2:52.0,E. İlyasova misses 2-pt jump shot from 11 ft,,21,12
1,2:49.0,,Defensive rebound by R. Hood,21,12
1,2:43.0,,L. Nance misses 2-pt jump shot from 13 ft,21,12
1,2:40.0,,Offensive rebound by L. Nance,21,12
1,2:39.0,,Turnover by L. Nance (bad pass; steal by D. DiVincenzo),21,12
1,2:36.0,D. DiVincenzo makes 2-pt dunk at rim,,23,12
1,2:19.0,,Turnover by M. Dellavedova (bad pass; steal by J. Morris),23,12
1,2:17.0,Shooting foul by R. Hood (drawn by J. Morris),,23,12
1,2:17.0,Milwaukee full timeout,,23,12
1,2:17.0,,J. Blossomgame enters the game for R. Hood,23,12
1,2:17.0,J. Morris makes free throw 1 of 2,,24,12
1,2:17.0,J. Morris misses free throw 2 of 2,,24,12
1,2:14.0,,Defensive rebound by J. Blossomgame,24,12
1,2:03.0,,J. Clarkson makes 2-pt jump shot from 18 ft,24,14
1,1:47.0,D. DiVincenzo misses 2-pt jump shot from 16 ft,,24,14
1,1:46.0,,Defensive rebound by Team,24,14
1,1:36.0,,Personal foul by D. DiVincenzo (drawn by L. Nance),24,14
1,1:36.0,,L. Nance makes free throw 1 of 2,24,15
1,1:36.0,G. Antetokounmpo enters the game for T. Maker,,24,15
1,1:36.0,,L. Nance makes free throw 2 of 2,24,16
1,1:27.0,Personal foul by D. Nwaba (drawn by G. Hill),,24,16
1,1:12.0,Turnover by Team (shot clock),,24,16
1,1:00.0,,J. Clarkson misses 2-pt jump shot from 14 ft (block by D. DiVincenzo),24,16
1,0:57.0,Defensive rebound by D. DiVincenzo,,24,16
1,0:54.0,J. Morris misses 2-pt layup from 3 ft (block by D. Nwaba),,24,16
1,0:50.0,,Defensive rebound by J. Blossomgame,24,16
1,0:39.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,24,16
1,0:36.0,Defensive rebound by G. Antetokounmpo,,24,16
1,0:33.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,27,16
1,0:15.0,,L. Nance misses 2-pt layup from 1 ft,27,16
1,0:12.0,Defensive rebound by G. Hill,,27,16
1,0:01.0,G. Antetokounmpo misses 2-pt hook shot from 9 ft,,27,16
1,0:01.0,Offensive rebound by E. İlyasova,,27,16
1,0:01.0,E. İlyasova misses 2-pt layup from 1 ft,,27,16
1,0:00.0,,Defensive rebound by J. Blossomgame,27,16
2,11:43.0,,J. Clarkson misses 2-pt jump shot from 18 ft,27,16
2,11:41.0,Defensive rebound by G. Hill,,27,16
2,11:31.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),,29,16
2,11:17.0,,M. Dellavedova makes 2-pt jump shot from 13 ft,29,18
2,10:56.0,E. İlyasova misses 2-pt layup from 1 ft,,29,18
2,10:53.0,,Defensive rebound by J. Blossomgame,29,18
2,10:48.0,,D. Nwaba misses 3-pt jump shot from 23 ft,29,18
2,10:45.0,,Offensive rebound by J. Blossomgame,29,18
2,10:43.0,,J. Clarkson misses 3-pt jump shot from 26 ft,29,18
2,10:39.0,,Offensive rebound by J. Clarkson,29,18
2,10:35.0,,J. Clarkson makes 2-pt dunk from 1 ft,29,20
2,10:16.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,32,20
2,9:58.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by J. Clarkson),32,23
2,9:37.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by T. Snell),,34,23
2,9:22.0,,Offensive foul by J. Clarkson (drawn by E. İlyasova),34,23
2,9:22.0,,Turnover by J. Clarkson (offensive foul),34,23
2,9:22.0,E. Bledsoe enters the game for D. DiVincenzo,,34,23
2,9:22.0,P. Connaughton enters the game for G. Hill,,34,23
2,9:22.0,B. Lopez enters the game for E. İlyasova,,34,23
2,9:22.0,,A. Burks enters the game for J. Blossomgame,34,23
2,9:22.0,,C. Osman enters the game for D. Nwaba,34,23
2,9:06.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,36,23
2,8:44.0,,A. Burks makes 2-pt jump shot from 8 ft (assist by J. Clarkson),36,25
2,8:31.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,38,25
2,8:31.0,Shooting foul by A. Burks (drawn by G. Antetokounmpo),,38,25
2,8:31.0,G. Antetokounmpo makes free throw 1 of 1,,39,25
2,8:16.0,,Turnover by A. Burks (back court),39,25
2,8:05.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,39,25
2,7:58.0,,Defensive rebound by M. Dellavedova,39,25
2,7:46.0,,C. Osman misses 3-pt jump shot from 24 ft,39,25
2,7:42.0,Defensive rebound by E. Bledsoe,,39,25
2,7:41.0,E. Bledsoe misses 2-pt layup from 1 ft,,39,25
2,7:41.0,,Defensive rebound by Team,39,25
2,7:41.0,Loose ball foul by G. Antetokounmpo (drawn by C. Osman),,39,25
2,7:41.0,T. Maker enters the game for G. Antetokounmpo,,39,25
2,7:32.0,,C. Osman makes 2-pt layup from 1 ft (assist by M. Dellavedova),39,27
2,7:21.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),,42,27
2,7:09.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,42,27
2,7:06.0,,Offensive rebound by A. Burks,42,27
2,7:00.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by J. Clarkson),42,30
2,6:47.0,Turnover by E. Bledsoe (lost ball; steal by L. Nance),,42,30
2,6:42.0,,A. Burks misses 2-pt layup from 2 ft,42,30
2,6:40.0,,Offensive rebound by L. Nance,42,30
2,6:37.0,,M. Dellavedova misses 3-pt jump shot from 29 ft,42,30
2,6:34.0,Defensive rebound by P. Connaughton,,42,30
2,6:29.0,Turnover by E. Bledsoe (lost ball; steal by J. Clarkson),,42,30
2,6:27.0,,J. Clarkson makes 2-pt layup from 1 ft,42,32
2,6:27.0,Milwaukee full timeout,,42,32
2,6:27.0,,C. Sexton enters the game for M. Dellavedova,42,32
2,6:12.0,B. Lopez makes 2-pt dunk from 1 ft (assist by P. Connaughton),,44,32
2,5:57.0,,J. Clarkson makes 2-pt jump shot from 16 ft,44,34
2,5:47.0,B. Lopez misses 3-pt jump shot from 31 ft,,44,34
2,5:44.0,,Defensive rebound by C. Osman,44,34
2,5:37.0,,C. Osman misses 2-pt layup from 2 ft,44,34
2,5:35.0,Defensive rebound by B. Lopez,,44,34
2,5:31.0,T. Snell misses 3-pt jump shot from 25 ft,,44,34
2,5:28.0,,Defensive rebound by J. Clarkson,44,34
2,5:17.0,,J. Clarkson misses 2-pt jump shot from 11 ft,44,34
2,5:15.0,Defensive rebound by T. Maker,,44,34
2,5:08.0,P. Connaughton misses 2-pt layup from 2 ft,,44,34
2,5:06.0,,Defensive rebound by L. Nance,44,34
2,5:01.0,,J. Clarkson makes 3-pt jump shot from 22 ft (assist by L. Nance),44,37
2,4:43.0,E. Bledsoe makes 3-pt jump shot from 25 ft,,47,37
2,4:26.0,,Turnover by A. Burks (lost ball; steal by P. Connaughton),47,37
2,4:18.0,Personal foul by L. Nance (drawn by E. Bledsoe),,47,37
2,4:18.0,G. Antetokounmpo enters the game for P. Connaughton,,47,37
2,4:18.0,D. DiVincenzo enters the game for T. Maker,,47,37
2,4:18.0,G. Hill enters the game for T. Snell,,47,37
2,4:18.0,,C. Frye enters the game for J. Clarkson,47,37
2,4:18.0,,R. Hood enters the game for L. Nance,47,37
2,4:11.0,B. Lopez misses 3-pt jump shot from 25 ft,,47,37
2,4:08.0,,Defensive rebound by C. Sexton,47,37
2,3:54.0,,A. Burks misses 2-pt layup from 2 ft (block by G. Antetokounmpo),47,37
2,3:53.0,,Offensive rebound by A. Burks,47,37
2,3:52.0,,A. Burks misses 2-pt layup from 1 ft (block by E. Bledsoe),47,37
2,3:51.0,,Offensive rebound by C. Sexton,47,37
2,3:48.0,,C. Sexton misses 2-pt layup from 2 ft,47,37
2,3:47.0,Defensive rebound by B. Lopez,,47,37
2,3:40.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,49,37
2,3:40.0,,Cleveland full timeout,49,37
2,3:40.0,T. Snell enters the game for E. Bledsoe,,49,37
2,3:16.0,,R. Hood makes 3-pt jump shot from 29 ft,49,40
2,3:03.0,Shooting foul by C. Frye (drawn by G. Antetokounmpo),,49,40
2,3:03.0,G. Antetokounmpo makes free throw 1 of 2,,50,40
2,3:03.0,,L. Nance enters the game for C. Osman,50,40
2,3:03.0,G. Antetokounmpo makes free throw 2 of 2,,51,40
2,2:50.0,,Turnover by L. Nance (bad pass; steal by D. DiVincenzo),51,40
2,2:43.0,T. Snell misses 2-pt jump shot from 4 ft (block by L. Nance),,51,40
2,2:43.0,Offensive rebound by Team,,51,40
2,2:43.0,E. İlyasova enters the game for B. Lopez,,51,40
2,2:43.0,,J. Clarkson enters the game for C. Frye,51,40
2,2:43.0,,M. Dellavedova enters the game for R. Hood,51,40
2,2:37.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Clarkson),,51,40
2,2:32.0,,C. Sexton misses 2-pt layup from 1 ft,51,40
2,2:30.0,,Offensive rebound by A. Burks,51,40
2,2:29.0,,Turnover by A. Burks (lost ball; steal by G. Hill),51,40
2,2:25.0,Shooting foul by L. Nance (drawn by G. Antetokounmpo),,51,40
2,2:25.0,G. Antetokounmpo misses free throw 1 of 2,,51,40
2,2:25.0,Offensive rebound by Team,,51,40
2,2:25.0,G. Antetokounmpo makes free throw 2 of 2,,52,40
2,2:16.0,,A. Burks makes 2-pt layup from 1 ft (assist by M. Dellavedova),52,42
2,2:16.0,,Shooting foul by G. Antetokounmpo (drawn by A. Burks),52,42
2,2:16.0,,A. Burks makes free throw 1 of 1,52,43
2,1:59.0,G. Hill misses 3-pt jump shot from 25 ft,,52,43
2,1:55.0,,Defensive rebound by L. Nance,52,43
2,1:49.0,,Turnover by L. Nance (lost ball),52,43
2,1:49.0,,Violation by Team (kicked ball),52,43
2,1:41.0,Personal foul by M. Dellavedova (drawn by G. Antetokounmpo),,52,43
2,1:41.0,G. Antetokounmpo makes free throw 1 of 2,,53,43
2,1:41.0,P. Connaughton enters the game for T. Snell,,53,43
2,1:41.0,G. Antetokounmpo makes free throw 2 of 2,,54,43
2,1:31.0,,Personal foul by G. Hill (drawn by L. Nance),54,43
2,1:23.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),54,45
2,1:09.0,D. DiVincenzo makes 2-pt dunk at rim (assist by G. Hill),,56,45
2,0:57.0,,Shooting foul by P. Connaughton (drawn by A. Burks),56,45
2,0:57.0,,A. Burks makes free throw 1 of 2,56,46
2,0:57.0,,J. Blossomgame enters the game for L. Nance,56,46
2,0:57.0,,A. Burks makes free throw 2 of 2,56,47
2,0:36.0,E. İlyasova makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,58,47
2,0:18.0,,J. Blossomgame misses 3-pt jump shot from 22 ft,58,47
2,0:16.0,Defensive rebound by G. Antetokounmpo,,58,47
2,0:02.0,P. Connaughton makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,61,47
3,11:45.0,,C. Sexton makes 2-pt jump shot from 14 ft (assist by R. Hood),61,49
3,11:32.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by E. Bledsoe),,63,49
3,11:11.0,,C. Sexton misses 2-pt jump shot from 14 ft,63,49
3,11:09.0,Defensive rebound by P. Connaughton,,63,49
3,11:03.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,63,49
3,11:03.0,Offensive rebound by E. Bledsoe,,63,49
3,10:52.0,Turnover by G. Antetokounmpo (bad pass),,63,49
3,10:39.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by L. Nance),63,52
3,10:26.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,66,52
3,10:06.0,,C. Sexton misses 2-pt jump shot from 9 ft,66,52
3,10:03.0,Defensive rebound by P. Connaughton,,66,52
3,9:53.0,B. Lopez makes 2-pt jump shot from 9 ft (assist by P. Connaughton),,68,52
3,9:38.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by C. Osman),68,55
3,9:20.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,68,55
3,9:18.0,,Defensive rebound by R. Hood,68,55
3,9:11.0,,Turnover by C. Frye (bad pass; steal by P. Connaughton),68,55
3,9:07.0,Flagrant foul type 1 by C. Frye (drawn by G. Antetokounmpo),,68,55
3,9:07.0,G. Antetokounmpo misses flagrant free throw 1 of 2,,68,55
3,9:07.0,Offensive rebound by Team,,68,55
3,9:07.0,G. Antetokounmpo makes flagrant free throw 2 of 2,,69,55
3,9:00.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,69,55
3,8:58.0,,Defensive rebound by L. Nance,69,55
3,8:48.0,,Shooting foul by B. Lopez (drawn by C. Frye),69,55
3,8:48.0,,C. Frye makes free throw 1 of 3,69,56
3,8:48.0,,C. Frye makes free throw 2 of 3,69,57
3,8:48.0,,C. Frye makes free throw 3 of 3,69,58
3,8:32.0,B. Lopez misses 3-pt jump shot from 23 ft,,69,58
3,8:30.0,,Defensive rebound by C. Osman,69,58
3,8:26.0,,R. Hood makes 3-pt jump shot from 28 ft (assist by C. Osman),69,61
3,8:11.0,Shooting foul by C. Sexton (drawn by E. Bledsoe),,69,61
3,8:11.0,E. Bledsoe makes free throw 1 of 2,,70,61
3,8:11.0,E. Bledsoe makes free throw 2 of 2,,71,61
3,7:54.0,,C. Osman misses 2-pt jump shot from 18 ft,71,61
3,7:52.0,Defensive rebound by P. Connaughton,,71,61
3,7:38.0,Shooting foul by C. Frye (drawn by G. Antetokounmpo),,71,61
3,7:38.0,G. Antetokounmpo makes free throw 1 of 2,,72,61
3,7:38.0,G. Antetokounmpo misses free throw 2 of 2,,72,61
3,7:36.0,,Defensive rebound by C. Osman,72,61
3,7:18.0,,C. Sexton misses 3-pt jump shot from 24 ft,72,61
3,7:16.0,,Offensive rebound by L. Nance,72,61
3,7:04.0,,R. Hood misses 3-pt jump shot from 29 ft,72,61
3,7:02.0,Defensive rebound by G. Antetokounmpo,,72,61
3,6:55.0,B. Lopez misses 3-pt jump shot from 26 ft,,72,61
3,6:52.0,Offensive rebound by G. Antetokounmpo,,72,61
3,6:52.0,G. Antetokounmpo makes 2-pt dunk at rim,,74,61
3,6:42.0,,Cleveland full timeout,74,61
3,6:32.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by C. Sexton),74,64
3,6:22.0,E. Bledsoe makes 2-pt jump shot from 17 ft,,76,64
3,6:22.0,D. DiVincenzo enters the game for T. Snell,,76,64
3,5:53.0,,Turnover by Team (shot clock),76,64
3,5:42.0,P. Connaughton makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),,79,64
3,5:22.0,,R. Hood misses 2-pt jump shot from 12 ft,79,64
3,5:20.0,Defensive rebound by P. Connaughton,,79,64
3,5:16.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,79,64
3,5:13.0,,Defensive rebound by C. Sexton,79,64
3,4:59.0,,Shooting foul by G. Antetokounmpo (drawn by C. Sexton),79,64
3,4:59.0,,C. Sexton makes free throw 1 of 2,79,65
3,4:59.0,T. Maker enters the game for G. Antetokounmpo,,79,65
3,4:59.0,,A. Burks enters the game for C. Frye,79,65
3,4:59.0,,J. Clarkson enters the game for C. Osman,79,65
3,4:59.0,,C. Sexton misses free throw 2 of 2,79,65
3,4:56.0,Defensive rebound by T. Maker,,79,65
3,4:55.0,E. Bledsoe makes 2-pt jump shot from 3 ft,,81,65
3,4:55.0,Shooting foul by A. Burks (drawn by E. Bledsoe),,81,65
3,4:55.0,,M. Dellavedova enters the game for C. Sexton,81,65
3,4:55.0,E. Bledsoe makes free throw 1 of 1,,82,65
3,4:32.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),82,68
3,4:11.0,Turnover by B. Lopez (lost ball; steal by L. Nance),,82,68
3,4:05.0,,J. Clarkson misses 3-pt jump shot from 29 ft,82,68
3,4:02.0,Defensive rebound by T. Maker,,82,68
3,3:52.0,Turnover by B. Lopez (bad pass; steal by L. Nance),,82,68
3,3:44.0,,J. Clarkson misses 3-pt jump shot from 23 ft,82,68
3,3:42.0,Defensive rebound by D. DiVincenzo,,82,68
3,3:37.0,Milwaukee full timeout,,82,68
3,3:37.0,G. Hill enters the game for P. Connaughton,,82,68
3,3:37.0,E. İlyasova enters the game for B. Lopez,,82,68
3,3:37.0,,J. Blossomgame enters the game for R. Hood,82,68
3,3:28.0,E. İlyasova misses 2-pt layup from 3 ft,,82,68
3,3:26.0,,Defensive rebound by A. Burks,82,68
3,3:22.0,,L. Nance makes 2-pt dunk from 1 ft (assist by A. Burks),82,70
3,3:05.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,82,70
3,3:02.0,,Defensive rebound by M. Dellavedova,82,70
3,2:53.0,,L. Nance makes 2-pt jump shot from 16 ft (assist by M. Dellavedova),82,72
3,2:33.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,82,72
3,2:30.0,Offensive rebound by D. DiVincenzo,,82,72
3,2:25.0,D. DiVincenzo misses 3-pt jump shot from 30 ft,,82,72
3,2:20.0,,Defensive rebound by A. Burks,82,72
3,2:12.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by L. Nance),82,75
3,2:11.0,Milwaukee full timeout,,82,75
3,2:11.0,G. Antetokounmpo enters the game for E. Bledsoe,,82,75
3,2:11.0,J. Morris enters the game for T. Maker,,82,75
3,2:02.0,Personal foul by M. Dellavedova (drawn by G. Antetokounmpo),,82,75
3,2:02.0,G. Antetokounmpo makes free throw 1 of 2,,83,75
3,2:02.0,G. Antetokounmpo makes free throw 2 of 2,,84,75
3,1:48.0,,Shooting foul by D. DiVincenzo (drawn by J. Clarkson),84,75
3,1:48.0,,J. Clarkson makes free throw 1 of 2,84,76
3,1:48.0,,D. Nwaba enters the game for L. Nance,84,76
3,1:48.0,,J. Clarkson makes free throw 2 of 2,84,77
3,1:33.0,Turnover by G. Antetokounmpo (bad pass; steal by M. Dellavedova),,84,77
3,1:27.0,,Turnover by A. Burks (bad pass; steal by D. DiVincenzo),84,77
3,1:22.0,G. Hill misses 3-pt jump shot from 24 ft,,84,77
3,1:19.0,Offensive rebound by G. Antetokounmpo,,84,77
3,1:17.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,86,77
3,1:06.0,,A. Burks misses 2-pt layup from 2 ft (block by G. Antetokounmpo),86,77
3,1:02.0,Defensive rebound by J. Morris,,86,77
3,1:01.0,D. DiVincenzo makes 2-pt layup from 1 ft (assist by J. Morris),,88,77
3,0:47.0,,Offensive foul by J. Clarkson (drawn by G. Hill),88,77
3,0:47.0,,Turnover by J. Clarkson (offensive foul),88,77
3,0:47.0,,Violation by Team (delay of game),88,77
3,0:35.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,91,77
3,0:27.0,,M. Dellavedova misses 3-pt jump shot from 30 ft,91,77
3,0:23.0,,Offensive rebound by D. Nwaba,91,77
3,0:17.0,,D. Nwaba misses 3-pt jump shot from 23 ft (block by D. DiVincenzo),91,77
3,0:15.0,Defensive rebound by G. Antetokounmpo,,91,77
3,0:03.0,E. İlyasova misses 2-pt jump shot from 5 ft,,91,77
3,0:03.0,,Defensive rebound by D. Nwaba,91,77
3,0:00.0,,J. Clarkson misses 3-pt jump shot from 32 ft,91,77
3,0:00.0,,Offensive rebound by Team,91,77
4,11:48.0,G. Hill misses 3-pt jump shot from 22 ft,,91,77
4,11:43.0,,Defensive rebound by A. Burks,91,77
4,11:32.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by J. Blossomgame),91,80
4,11:18.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,91,80
4,11:16.0,Offensive rebound by G. Antetokounmpo,,91,80
4,11:15.0,G. Antetokounmpo makes 2-pt layup at rim,,93,80
4,11:15.0,Shooting foul by M. Dellavedova (drawn by G. Antetokounmpo),,93,80
4,11:15.0,G. Antetokounmpo makes free throw 1 of 1,,94,80
4,10:59.0,,J. Blossomgame misses 2-pt jump shot from 8 ft,94,80
4,10:54.0,Defensive rebound by G. Antetokounmpo,,94,80
4,10:52.0,J. Morris misses 3-pt jump shot from 27 ft,,94,80
4,10:49.0,,Defensive rebound by D. Nwaba,94,80
4,10:44.0,,D. Nwaba makes 2-pt jump shot from 11 ft,94,82
4,10:25.0,G. Hill misses 2-pt jump shot from 9 ft,,94,82
4,10:24.0,Offensive rebound by E. İlyasova,,94,82
4,10:24.0,E. İlyasova misses 2-pt layup from 1 ft,,94,82
4,10:23.0,Offensive rebound by G. Hill,,94,82
4,10:17.0,J. Morris misses 3-pt jump shot from 26 ft,,94,82
4,10:15.0,Offensive rebound by E. İlyasova,,94,82
4,10:08.0,E. İlyasova misses 2-pt layup from 4 ft,,94,82
4,10:06.0,,Defensive rebound by D. Nwaba,94,82
4,10:01.0,,Shooting foul by E. İlyasova (drawn by D. Nwaba),94,82
4,10:01.0,,D. Nwaba makes free throw 1 of 2,94,83
4,10:01.0,P. Connaughton enters the game for D. DiVincenzo,,94,83
4,10:01.0,B. Lopez enters the game for E. İlyasova,,94,83
4,10:01.0,T. Snell enters the game for J. Morris,,94,83
4,10:01.0,,L. Nance enters the game for J. Blossomgame,94,83
4,10:01.0,,D. Nwaba makes free throw 2 of 2,94,84
4,9:49.0,T. Snell misses 3-pt jump shot from 24 ft,,94,84
4,9:46.0,,Defensive rebound by D. Nwaba,94,84
4,9:37.0,,M. Dellavedova makes 2-pt jump shot from 12 ft (assist by D. Nwaba),94,86
4,9:21.0,P. Connaughton misses 3-pt jump shot from 29 ft,,94,86
4,9:18.0,,Defensive rebound by A. Burks,94,86
4,9:08.0,,D. Nwaba misses 2-pt layup from 3 ft (block by B. Lopez),94,86
4,9:08.0,Defensive rebound by G. Hill,,94,86
