QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
2,9:23.0,,E. Moore enters the game for C. Diallo,37,34
2,9:23.0,,J. Okafor enters the game for F. Jackson,37,34
2,9:23.0,J. Poeltl misses free throw 2 of 2,,37,34
2,9:20.0,,Defensive rebound by D. Miller,37,34
2,9:14.0,,D. Miller misses 3-pt jump shot from 25 ft,37,34
2,9:12.0,,Offensive rebound by S. Hill,37,34
2,9:07.0,,Personal foul by J. Poeltl (drawn by J. Okafor),37,34
2,9:07.0,L. Aldridge enters the game for M. Belinelli,,37,34
2,9:07.0,R. Gay enters the game for J. Poeltl,,37,34
2,9:07.0,,F. Jackson enters the game for D. Miller,37,34
2,9:01.0,,E. Moore misses 2-pt jump shot from 8 ft,37,34
2,8:59.0,Defensive rebound by R. Gay,,37,34
2,8:57.0,Turnover by P. Mills (step out of bounds),,37,34
2,8:45.0,,Turnover by E. Moore (bad pass; steal by L. Walker),37,34
2,8:38.0,L. Walker makes 2-pt layup from 2 ft,,39,34
2,8:23.0,,S. Hill makes 2-pt layup from 3 ft (assist by T. Frazier),39,36
2,8:09.0,R. Gay misses 2-pt jump shot from 12 ft,,39,36
2,8:07.0,Offensive rebound by R. Gay,,39,36
2,8:05.0,L. Aldridge misses 2-pt jump shot from 16 ft,,39,36
2,8:05.0,,Defensive rebound by J. Okafor,39,36
2,7:57.0,,E. Moore makes 2-pt jump shot from 2 ft (assist by T. Frazier),39,38
2,7:48.0,P. Mills makes 3-pt jump shot from 25 ft,,42,38
2,7:33.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by F. Jackson),42,41
2,7:20.0,Personal foul by T. Frazier (drawn by R. Gay),,42,41
2,7:20.0,D. White enters the game for Q. Pondexter,,42,41
2,7:20.0,,E. Payton enters the game for T. Frazier,42,41
2,7:12.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by D. White),,44,41
2,7:01.0,,F. Jackson misses 3-pt jump shot from 25 ft,44,41
2,6:58.0,Defensive rebound by L. Aldridge,,44,41
2,6:48.0,D. White makes 2-pt layup from 2 ft,,46,41
2,6:35.0,,F. Jackson misses 2-pt layup from 6 ft,46,41
2,6:35.0,Defensive rebound by P. Mills,,46,41
2,6:30.0,Offensive foul by R. Gay (drawn by S. Hill),,46,41
2,6:30.0,Turnover by R. Gay (offensive foul),,46,41
2,6:30.0,B. Forbes enters the game for P. Mills,,46,41
2,6:30.0,,J. Holiday enters the game for F. Jackson,46,41
2,6:13.0,,J. Holiday misses 2-pt jump shot from 13 ft,46,41
2,6:11.0,Defensive rebound by L. Aldridge,,46,41
2,6:04.0,R. Gay makes 2-pt layup from 3 ft,,48,41
2,5:54.0,,Shooting foul by L. Walker (drawn by J. Holiday),48,41
2,5:54.0,,J. Holiday misses free throw 1 of 2,48,41
2,5:54.0,,Offensive rebound by Team,48,41
2,5:54.0,,J. Holiday misses free throw 2 of 2,48,41
2,5:51.0,Defensive rebound by L. Aldridge,,48,41
2,5:37.0,Shooting foul by J. Okafor (drawn by L. Aldridge),,48,41
2,5:37.0,L. Aldridge makes free throw 1 of 2,,49,41
2,5:37.0,L. Aldridge makes free throw 2 of 2,,50,41
2,5:23.0,,Shooting foul by D. White (drawn by J. Holiday),50,41
2,5:23.0,,J. Holiday makes free throw 1 of 2,50,42
2,5:23.0,,J. Holiday makes free throw 2 of 2,50,43
2,5:00.0,L. Walker misses 2-pt jump shot from 20 ft,,50,43
2,4:56.0,,Defensive rebound by J. Okafor,50,43
2,4:44.0,,E. Payton misses 2-pt jump shot from 10 ft,50,43
2,4:41.0,Defensive rebound by R. Gay,,50,43
2,4:33.0,L. Aldridge misses 2-pt layup from 4 ft (block by J. Okafor),,50,43
2,4:31.0,,Defensive rebound by S. Hill,50,43
2,4:28.0,,E. Moore misses 3-pt jump shot from 26 ft,50,43
2,4:26.0,Defensive rebound by Team,,50,43
2,4:26.0,M. Belinelli enters the game for L. Walker,,50,43
2,4:15.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,52,43
2,4:04.0,,J. Okafor misses 2-pt jump shot from 9 ft,52,43
2,4:04.0,Defensive rebound by R. Gay,,52,43
2,3:54.0,Turnover by D. White (lost ball; steal by E. Moore),,52,43
2,3:51.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Moore),52,46
2,3:49.0,San Antonio full timeout,,52,46
2,3:49.0,,D. Miller enters the game for E. Payton,52,46
2,3:34.0,L. Aldridge misses 2-pt jump shot from 11 ft,,52,46
2,3:31.0,Offensive rebound by D. White,,52,46
2,3:22.0,D. White makes 3-pt jump shot from 25 ft,,55,46
2,3:04.0,,J. Holiday makes 2-pt jump shot from 20 ft,55,48
2,2:52.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,58,48
2,2:32.0,,J. Okafor misses 2-pt jump shot from 7 ft,58,48
2,2:25.0,,Offensive rebound by J. Okafor,58,48
2,2:25.0,,J. Okafor makes 2-pt layup at rim,58,50
2,2:13.0,R. Gay misses 3-pt jump shot from 26 ft,,58,50
2,2:11.0,,Defensive rebound by Team,58,50
2,2:11.0,P. Mills enters the game for B. Forbes,,58,50
2,2:11.0,,F. Jackson enters the game for E. Moore,58,50
2,1:50.0,,J. Holiday makes 3-pt jump shot from 24 ft,58,53
2,1:32.0,R. Gay misses 2-pt layup from 2 ft,,58,53
2,1:28.0,,Defensive rebound by J. Okafor,58,53
2,1:23.0,,Personal foul by D. White (drawn by J. Holiday),58,53
2,1:23.0,,J. Holiday makes free throw 1 of 2,58,54
2,1:23.0,,J. Holiday makes free throw 2 of 2,58,55
