QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
1,7:57.0,,S. Curry misses 3-pt jump shot from 28 ft,6,7
1,7:55.0,Defensive rebound by K. Anderson,,6,7
1,7:42.0,K. Anderson misses 3-pt jump shot from 27 ft,,6,7
1,7:40.0,,Defensive rebound by D. Green,6,7
1,7:26.0,,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),6,9
1,7:21.0,Memphis full timeout,,6,9
1,7:07.0,M. Gasol makes 2-pt layup from 1 ft (assist by K. Anderson),,8,9
1,6:45.0,,S. Curry misses 2-pt layup from 2 ft,8,9
1,6:41.0,Defensive rebound by J. Jackson,,8,9
1,6:40.0,G. Temple misses 2-pt dunk from 1 ft (block by K. Thompson),,8,9
1,6:39.0,Offensive rebound by K. Anderson,,8,9
1,6:38.0,K. Anderson makes 2-pt layup from 2 ft,,10,9
1,6:24.0,,K. Looney misses 2-pt jump shot from 19 ft,10,9
1,6:23.0,Defensive rebound by J. Jackson,,10,9
1,6:06.0,S. Mack misses 3-pt jump shot from 28 ft,,10,9
1,6:04.0,,Defensive rebound by K. Thompson,10,9
1,5:58.0,,K. Durant misses 2-pt jump shot from 18 ft,10,9
1,5:57.0,Defensive rebound by M. Gasol,,10,9
1,5:46.0,J. Jackson misses 2-pt jump shot from 8 ft,,10,9
1,5:45.0,,Defensive rebound by S. Curry,10,9
1,5:37.0,,Shooting foul by M. Gasol (drawn by K. Durant),10,9
1,5:37.0,,K. Durant makes free throw 1 of 2,10,10
1,5:37.0,J. Green enters the game for M. Gasol,,10,10
1,5:37.0,,J. Bell enters the game for D. Green,10,10
1,5:37.0,,J. Jerebko enters the game for K. Looney,10,10
1,5:37.0,,K. Durant makes free throw 2 of 2,10,11
1,5:18.0,Turnover by J. Green (bad pass; steal by K. Thompson),,10,11
1,5:07.0,,K. Durant makes 2-pt layup from 2 ft,10,13
1,4:46.0,G. Temple makes 2-pt jump shot from 11 ft (assist by S. Mack),,12,13
1,4:34.0,,S. Curry makes 2-pt layup from 3 ft (assist by K. Thompson),12,15
1,4:19.0,J. Green misses 2-pt jump shot from 10 ft (block by K. Durant),,12,15
1,4:18.0,,Defensive rebound by J. Bell,12,15
1,4:13.0,,J. Jerebko misses 2-pt layup from 3 ft (block by G. Temple),12,15
1,4:12.0,Defensive rebound by J. Jackson,,12,15
1,4:06.0,G. Temple misses 2-pt jump shot from 8 ft,,12,15
1,4:04.0,,Defensive rebound by S. Curry,12,15
1,3:58.0,,Shooting foul by J. Green (drawn by S. Curry),12,15
1,3:58.0,,S. Curry makes free throw 1 of 2,12,16
1,3:58.0,M. Brooks enters the game for J. Jackson,,12,16
1,3:58.0,J. Carter enters the game for S. Mack,,12,16
1,3:58.0,J. Noah enters the game for G. Temple,,12,16
1,3:58.0,,S. Curry makes free throw 2 of 2,12,17
1,3:38.0,J. Carter misses 2-pt jump shot from 11 ft,,12,17
1,3:37.0,,Defensive rebound by K. Durant,12,17
1,3:31.0,,Shooting foul by J. Carter (drawn by S. Curry),12,17
1,3:31.0,,S. Curry makes free throw 1 of 3,12,18
1,3:31.0,,S. Curry makes free throw 2 of 3,12,19
1,3:31.0,,S. Curry makes free throw 3 of 3,12,20
1,3:22.0,J. Green misses 2-pt layup from 2 ft (block by J. Bell),,12,20
1,3:21.0,,Defensive rebound by Team,12,20
1,3:21.0,,S. Livingston enters the game for S. Curry,12,20
1,3:08.0,,Shooting foul by J. Noah (drawn by K. Durant),12,20
1,3:08.0,,K. Durant makes free throw 1 of 2,12,21
1,3:08.0,,K. Durant makes free throw 2 of 2,12,22
1,2:56.0,M. Brooks makes 2-pt jump shot from 2 ft,,14,22
1,2:38.0,,K. Thompson misses 3-pt jump shot from 25 ft,14,22
1,2:36.0,Defensive rebound by K. Anderson,,14,22
1,2:29.0,Shooting foul by J. Bell (drawn by K. Anderson),,14,22
1,2:29.0,,Golden State full timeout,14,22
1,2:29.0,,A. Iguodala enters the game for K. Thompson,14,22
1,2:29.0,K. Anderson makes free throw 1 of 2,,15,22
1,2:29.0,K. Anderson makes free throw 2 of 2,,16,22
1,2:14.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by S. Livingston),16,25
1,1:59.0,K. Anderson makes 2-pt jump shot from 17 ft,,18,25
1,1:38.0,,J. Bell misses 2-pt dunk from 2 ft,18,25
1,1:34.0,Defensive rebound by J. Noah,,18,25
1,1:31.0,Personal foul by J. Jerebko (drawn by J. Green),,18,25
1,1:31.0,O. Casspi enters the game for K. Anderson,,18,25
1,1:24.0,M. Brooks misses 2-pt jump shot from 14 ft,,18,25
1,1:19.0,,Defensive rebound by J. Bell,18,25
1,1:11.0,,K. Durant makes 2-pt jump shot from 12 ft,18,27
1,0:54.0,O. Casspi makes 2-pt layup from 2 ft (assist by J. Green),,20,27
1,0:32.0,,K. Durant misses 2-pt jump shot from 14 ft,20,27
1,0:27.0,Defensive rebound by J. Noah,,20,27
1,0:10.0,Shooting foul by J. Jerebko (drawn by M. Brooks),,20,27
1,0:10.0,M. Brooks makes free throw 1 of 2,,21,27
1,0:10.0,G. Temple enters the game for O. Casspi,,21,27
1,0:10.0,,S. Curry enters the game for J. Bell,21,27
1,0:10.0,,K. Thompson enters the game for S. Livingston,21,27
1,0:10.0,M. Brooks makes free throw 2 of 2,,22,27
1,0:04.0,,J. Jerebko makes 3-pt jump shot from 30 ft (assist by K. Durant),22,30
1,0:00.0,J. Carter misses 3-pt jump shot from 49 ft,,22,30
1,0:00.0,Offensive rebound by Team,,22,30
2,11:41.0,J. Noah misses 2-pt jump shot from 7 ft,,22,30
2,11:40.0,,Defensive rebound by D. Green,22,30
2,11:33.0,,Turnover by A. Iguodala (bad pass),22,30
2,11:20.0,M. Brooks misses 3-pt jump shot from 26 ft,,22,30
2,11:18.0,,Defensive rebound by A. Iguodala,22,30
2,11:12.0,,S. Livingston misses 2-pt dunk from 2 ft,22,30
2,11:11.0,Defensive rebound by J. Green,,22,30
2,11:00.0,Personal foul by S. Curry (drawn by J. Green),,22,30
2,11:00.0,W. Selden enters the game for M. Brooks,,22,30
2,10:53.0,Turnover by O. Casspi (lost ball; steal by S. Curry),,22,30
2,10:42.0,,S. Curry misses 3-pt jump shot from 23 ft,22,30
2,10:40.0,Defensive rebound by O. Casspi,,22,30
2,10:29.0,O. Casspi makes 2-pt layup from 1 ft (assist by J. Noah),,24,30
2,10:09.0,,Shooting foul by J. Green (drawn by D. Green),24,30
2,10:09.0,,D. Green makes free throw 1 of 2,24,31
2,10:09.0,,D. Green makes free throw 2 of 2,24,32
2,10:00.0,Turnover by J. Noah (lost ball; steal by J. Jerebko),,24,32
2,9:42.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by D. Green),24,35
2,9:23.0,W. Selden misses 2-pt jump shot from 17 ft,,24,35
2,9:22.0,,Defensive rebound by S. Livingston,24,35
2,9:13.0,,D. Green misses 2-pt layup from 3 ft,24,35
2,9:12.0,Defensive rebound by J. Noah,,24,35
2,9:00.0,Turnover by J. Carter (bad pass),,24,35
2,9:00.0,M. Gasol enters the game for J. Carter,,24,35
2,9:00.0,J. Jackson enters the game for J. Green,,24,35
2,9:00.0,S. Mack enters the game for J. Noah,,24,35
2,8:45.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by S. Livingston),24,38
2,8:35.0,Personal foul by J. Jerebko (drawn by M. Gasol),,24,38
2,8:35.0,,K. Looney enters the game for J. Jerebko,24,38
2,8:31.0,Personal foul by S. Curry (drawn by W. Selden),,24,38
2,8:17.0,M. Gasol makes 2-pt jump shot from 8 ft (assist by W. Selden),,26,38
2,8:06.0,,Personal foul by W. Selden (drawn by S. Curry),26,38
2,7:57.0,,S. Curry misses 3-pt jump shot from 26 ft,26,38
2,7:55.0,Defensive rebound by O. Casspi,,26,38
2,7:43.0,J. Jackson misses 2-pt jump shot from 12 ft,,26,38
2,7:42.0,,Defensive rebound by S. Curry,26,38
2,7:36.0,,S. Curry makes 3-pt jump shot from 31 ft,26,41
2,7:36.0,Memphis full timeout,,26,41
2,7:36.0,K. Anderson enters the game for O. Casspi,,26,41
2,7:36.0,G. Temple enters the game for W. Selden,,26,41
2,7:36.0,,K. Thompson enters the game for S. Livingston,26,41
2,7:17.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Jackson),,29,41
2,6:57.0,,S. Curry misses 3-pt jump shot from 27 ft,29,41
2,6:54.0,Defensive rebound by S. Mack,,29,41
2,6:50.0,G. Temple misses 2-pt jump shot from 12 ft,,29,41
2,6:49.0,,Defensive rebound by A. Iguodala,29,41
2,6:44.0,,Personal foul by S. Mack (drawn by A. Iguodala),29,41
2,6:36.0,,K. Thompson makes 2-pt jump shot from 23 ft (assist by A. Iguodala),29,43
2,6:19.0,J. Jackson misses 3-pt jump shot from 24 ft,,29,43
2,6:17.0,,Defensive rebound by K. Thompson,29,43
2,6:08.0,,Shooting foul by J. Jackson (drawn by A. Iguodala),29,43
2,6:08.0,,A. Iguodala makes free throw 1 of 2,29,44
2,6:08.0,,Q. Cook enters the game for S. Curry,29,44
2,6:08.0,,A. Iguodala misses free throw 2 of 2,29,44
2,6:07.0,Defensive rebound by M. Gasol,,29,44
2,5:45.0,K. Anderson misses 2-pt jump shot from 10 ft,,29,44
2,5:44.0,,Defensive rebound by A. Iguodala,29,44
2,5:38.0,,D. Green misses 2-pt jump shot from 9 ft,29,44
2,5:37.0,Defensive rebound by M. Gasol,,29,44
2,5:29.0,Turnover by S. Mack (bad pass; steal by K. Thompson),,29,44
2,5:22.0,,A. Iguodala makes 3-pt jump shot from 24 ft (assist by Q. Cook),29,47
2,4:56.0,Shooting foul by D. Green (drawn by M. Gasol),,29,47
2,4:56.0,M. Gasol makes free throw 1 of 2,,30,47
2,4:56.0,,K. Durant enters the game for D. Green,30,47
2,4:56.0,,A. McKinnie enters the game for A. Iguodala,30,47
2,4:56.0,M. Gasol makes free throw 2 of 2,,31,47
2,4:42.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Looney),31,49
2,4:31.0,Shooting foul by A. McKinnie (drawn by J. Jackson),,31,49
2,4:31.0,J. Jackson misses free throw 1 of 2,,31,49
2,4:31.0,Offensive rebound by Team,,31,49
2,4:31.0,J. Jackson makes free throw 2 of 2,,32,49
2,4:14.0,,K. Looney makes 2-pt jump shot from 4 ft,32,51
2,3:58.0,S. Mack makes 2-pt layup from 1 ft (assist by J. Jackson),,34,51
2,3:44.0,,A. McKinnie misses 3-pt jump shot from 24 ft,34,51
2,3:42.0,Defensive rebound by S. Mack,,34,51
2,3:35.0,M. Gasol misses 3-pt jump shot from 28 ft,,34,51
2,3:33.0,,Defensive rebound by K. Looney,34,51
2,3:30.0,,K. Thompson misses 3-pt jump shot from 26 ft,34,51
2,3:29.0,,Offensive rebound by A. McKinnie,34,51
2,3:29.0,,A. McKinnie makes 2-pt dunk from 1 ft,34,53
2,3:17.0,J. Jackson misses 2-pt jump shot from 7 ft,,34,53
2,3:16.0,,Defensive rebound by Q. Cook,34,53
2,3:08.0,,Shooting foul by K. Anderson (drawn by K. Thompson),34,53
2,3:08.0,J. Green enters the game for J. Jackson,,34,53
2,3:08.0,,S. Curry enters the game for Q. Cook,34,53
2,3:08.0,,K. Thompson makes free throw 1 of 2,34,54
2,3:08.0,,K. Thompson makes free throw 2 of 2,34,55
2,2:55.0,G. Temple misses 3-pt jump shot from 26 ft,,34,55
2,2:54.0,,Defensive rebound by Team,34,55
2,2:54.0,,Golden State full timeout,34,55
2,2:54.0,J. Carter enters the game for K. Anderson,,34,55
2,2:54.0,,D. Green enters the game for K. Looney,34,55
2,2:43.0,,Turnover by K. Durant (lost ball; steal by M. Gasol),34,55
2,2:24.0,Turnover by S. Mack (lost ball; steal by D. Green),,34,55
2,2:09.0,,K. Thompson misses 2-pt layup from 2 ft,34,55
2,2:08.0,Defensive rebound by J. Carter,,34,55
2,1:59.0,J. Carter misses 2-pt jump shot from 22 ft,,34,55
2,1:57.0,,Defensive rebound by A. McKinnie,34,55
2,1:49.0,,D. Green makes 2-pt dunk from 1 ft (assist by K. Durant),34,57
2,1:22.0,Turnover by M. Gasol (lost ball; steal by K. Thompson),,34,57
2,1:17.0,,D. Green makes 2-pt layup from 3 ft,34,59
2,0:51.0,S. Mack makes 3-pt jump shot from 22 ft (assist by M. Gasol),,37,59
2,0:41.0,,Personal foul by J. Green (drawn by K. Durant),37,59
2,0:41.0,,K. Durant makes free throw 1 of 2,37,60
2,0:41.0,K. Anderson enters the game for J. Green,,37,60
2,0:41.0,,K. Durant makes free throw 2 of 2,37,61
2,0:30.0,Personal foul by D. Green (drawn by G. Temple),,37,61
2,0:30.0,G. Temple makes free throw 1 of 2,,38,61
2,0:30.0,,Q. Cook enters the game for A. McKinnie,38,61
2,0:30.0,G. Temple misses free throw 2 of 2,,38,61
2,0:29.0,,Defensive rebound by D. Green,38,61
2,0:08.0,,K. Durant misses 3-pt jump shot from 27 ft,38,61
2,0:06.0,Defensive rebound by J. Carter,,38,61
2,0:02.0,G. Temple misses 3-pt jump shot from 26 ft,,38,61
2,0:00.0,Offensive rebound by Team,,38,61
3,11:41.0,K. Anderson makes 2-pt layup from 3 ft (assist by M. Gasol),,40,61
3,11:28.0,,K. Durant misses 2-pt jump shot from 15 ft,40,61
3,11:27.0,Defensive rebound by G. Temple,,40,61
3,11:16.0,M. Gasol misses 2-pt jump shot from 22 ft,,40,61
3,11:15.0,,Defensive rebound by S. Curry,40,61
3,11:07.0,,D. Green misses 2-pt jump shot from 10 ft,40,61
3,11:06.0,Defensive rebound by M. Gasol,,40,61
3,10:59.0,K. Anderson makes 2-pt jump shot from 10 ft (assist by S. Mack),,42,61
3,10:45.0,,K. Durant misses 2-pt jump shot from 20 ft,42,61
3,10:44.0,Defensive rebound by J. Jackson,,42,61
3,10:37.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by S. Mack),,45,61
3,10:18.0,,Turnover by D. Green (bad pass; steal by G. Temple),45,61
3,10:04.0,G. Temple makes 2-pt jump shot from 16 ft,,47,61
3,9:40.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),47,63
3,9:15.0,M. Gasol misses 3-pt jump shot from 26 ft,,47,63
3,9:13.0,,Defensive rebound by K. Looney,47,63
3,9:06.0,,S. Curry makes 2-pt jump shot from 10 ft,47,65
3,8:51.0,Personal foul by K. Looney (drawn by M. Gasol),,47,65
3,8:48.0,S. Mack misses 2-pt layup from 3 ft,,47,65
3,8:47.0,,Defensive rebound by D. Green,47,65
3,8:40.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Thompson),47,68
3,8:22.0,K. Anderson makes 2-pt hook shot from 6 ft (assist by S. Mack),,49,68
3,8:16.0,,Turnover by S. Curry (bad pass; steal by G. Temple),49,68
3,8:11.0,Shooting foul by D. Green (drawn by S. Mack),,49,68
3,8:11.0,S. Mack makes free throw 1 of 2,,50,68
3,8:11.0,S. Mack misses free throw 2 of 2,,50,68
3,8:09.0,,Defensive rebound by D. Green,50,68
3,8:00.0,,K. Durant misses 3-pt jump shot from 25 ft,50,68
3,7:58.0,Defensive rebound by S. Mack,,50,68
3,7:57.0,Personal foul by S. Curry (drawn by S. Mack),,50,68
3,7:41.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Gasol),,52,68
3,7:24.0,,K. Durant makes 2-pt dunk from 1 ft (assist by K. Thompson),52,70
3,7:07.0,Turnover by K. Anderson (bad pass),,52,70
3,7:07.0,Memphis full timeout,,52,70
3,6:56.0,,S. Curry misses 2-pt jump shot from 19 ft,52,70
3,6:55.0,,Offensive rebound by K. Looney,52,70
3,6:47.0,,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),52,72
3,6:23.0,,Violation by Team (kicked ball),52,72
3,6:16.0,Shooting foul by K. Looney (drawn by M. Gasol),,52,72
3,6:16.0,M. Gasol makes free throw 1 of 2,,53,72
3,6:16.0,,J. Jerebko enters the game for K. Looney,53,72
3,6:16.0,M. Gasol makes free throw 2 of 2,,54,72
3,6:02.0,,J. Jerebko misses 3-pt jump shot from 26 ft,54,72
3,5:58.0,Defensive rebound by K. Anderson,,54,72
3,5:53.0,J. Jackson makes 2-pt hook shot from 8 ft (assist by M. Gasol),,56,72
3,5:32.0,,J. Jerebko makes 2-pt jump shot from 20 ft (assist by K. Durant),56,74
3,5:05.0,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Gasol),,59,74
3,4:50.0,,J. Jerebko misses 2-pt hook shot from 8 ft,59,74
3,4:47.0,,Offensive rebound by J. Jerebko,59,74
3,4:44.0,,Turnover by J. Jerebko (traveling),59,74
3,4:31.0,Offensive foul by K. Anderson (drawn by K. Durant),,59,74
3,4:31.0,Turnover by K. Anderson (offensive foul),,59,74
3,4:20.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),59,76
3,3:57.0,K. Anderson misses 3-pt jump shot from 26 ft,,59,76
3,3:54.0,,Defensive rebound by S. Curry,59,76
3,3:51.0,,J. Jerebko misses 3-pt jump shot from 23 ft,59,76
3,3:45.0,Defensive rebound by S. Mack,,59,76
3,3:30.0,M. Gasol misses 2-pt jump shot from 5 ft (block by K. Durant),,59,76
3,3:28.0,,Defensive rebound by J. Jerebko,59,76
3,3:27.0,,Shooting foul by G. Temple (drawn by K. Durant),59,76
3,3:27.0,,K. Durant makes free throw 1 of 2,59,77
3,3:27.0,J. Carter enters the game for K. Anderson,,59,77
3,3:27.0,O. Casspi enters the game for J. Jackson,,59,77
3,3:27.0,J. Green enters the game for S. Mack,,59,77
3,3:27.0,,J. Bell enters the game for S. Curry,59,77
3,3:27.0,,S. Livingston enters the game for D. Green,59,77
3,3:27.0,,K. Durant makes free throw 2 of 2,59,78
3,3:02.0,O. Casspi misses 3-pt jump shot from 27 ft,,59,78
3,3:01.0,Offensive rebound by Team,,59,78
3,2:51.0,M. Gasol makes 2-pt jump shot from 12 ft,,61,78
3,2:31.0,,J. Bell misses 2-pt jump shot from 5 ft (block by G. Temple),61,78
3,2:30.0,Defensive rebound by J. Carter,,61,78
3,2:26.0,G. Temple misses 2-pt jump shot from 8 ft,,61,78
3,2:26.0,Offensive rebound by Team,,61,78
3,2:26.0,,Loose ball foul by J. Jerebko (drawn by J. Green),61,78
3,2:26.0,Memphis full timeout,,61,78
3,2:26.0,M. Brooks enters the game for G. Temple,,61,78
3,2:26.0,,A. Iguodala enters the game for K. Thompson,61,78
3,2:26.0,J. Green misses free throw 1 of 2,,61,78
3,2:26.0,Offensive rebound by Team,,61,78
3,2:26.0,J. Green makes free throw 2 of 2,,62,78
3,2:08.0,,S. Livingston makes 2-pt dunk from 2 ft (assist by J. Bell),62,80
3,1:53.0,Turnover by M. Brooks (bad pass; steal by J. Bell),,62,80
3,1:53.0,,J. Bell makes 2-pt dunk from 1 ft,62,82
3,1:53.0,,Shooting foul by M. Gasol (drawn by J. Bell),62,82
3,1:53.0,,J. Bell misses free throw 1 of 1,62,82
3,1:52.0,Defensive rebound by O. Casspi,,62,82
3,1:37.0,J. Green makes 2-pt jump shot from 14 ft (assist by O. Casspi),,64,82
3,1:24.0,,K. Durant makes 2-pt jump shot from 16 ft,64,84
3,1:14.0,J. Green misses 2-pt hook shot from 9 ft (block by J. Bell),,64,84
3,1:13.0,,Defensive rebound by Team,64,84
3,1:13.0,J. Noah enters the game for M. Gasol,,64,84
3,0:58.0,,J. Bell misses 2-pt layup from 2 ft,64,84
3,0:57.0,,Offensive rebound by J. Bell,64,84
3,0:57.0,,J. Bell misses 2-pt layup at rim,64,84
3,0:56.0,Defensive rebound by O. Casspi,,64,84
3,0:41.0,Turnover by M. Brooks (lost ball; steal by A. Iguodala),,64,84
3,0:29.0,,Turnover by S. Livingston (lost ball; steal by J. Carter),64,84
3,0:11.0,J. Carter makes 3-pt jump shot from 28 ft,,67,84
3,0:03.0,,K. Durant misses 2-pt jump shot from 14 ft (block by J. Green),67,84
3,0:00.0,,Offensive rebound by Team,67,84
4,11:42.0,,S. Livingston misses 2-pt jump shot from 14 ft,67,84
4,11:41.0,Defensive rebound by O. Casspi,,67,84
4,11:26.0,J. Green misses 3-pt jump shot from 26 ft,,67,84
4,11:24.0,,Defensive rebound by A. Iguodala,67,84
4,11:15.0,,S. Curry makes 3-pt jump shot from 29 ft (assist by A. Iguodala),67,87
4,10:59.0,O. Casspi makes 2-pt jump shot from 9 ft,,69,87
4,10:49.0,,Turnover by D. Green (bad pass),69,87
4,10:26.0,M. Brooks makes 2-pt layup from 2 ft,,71,87
4,10:14.0,,D. Green misses 2-pt hook shot from 10 ft,71,87
4,10:13.0,Defensive rebound by M. Brooks,,71,87
4,9:57.0,M. Brooks misses 3-pt jump shot from 28 ft,,71,87
4,9:55.0,,Defensive rebound by D. Green,71,87
4,9:52.0,,Personal foul by J. Noah (drawn by D. Green),71,87
4,9:44.0,,A. Iguodala makes 3-pt jump shot from 24 ft (assist by D. Green),71,90
4,9:33.0,J. Carter makes 2-pt jump shot from 6 ft,,73,90
4,9:26.0,,Personal foul by J. Carter (drawn by S. Curry),73,90
4,9:20.0,,Shooting foul by M. Brooks (drawn by D. Green),73,90
4,9:20.0,,D. Green makes free throw 1 of 2,73,91
4,9:20.0,,D. Green makes free throw 2 of 2,73,92
4,9:07.0,J. Green misses 2-pt jump shot from 20 ft,,73,92
4,9:06.0,,Defensive rebound by S. Curry,73,92
4,8:56.0,,Turnover by S. Curry (bad pass; steal by J. Green),73,92
4,8:52.0,O. Casspi makes 2-pt layup from 2 ft (assist by J. Noah),,75,92
4,8:40.0,,Personal foul by J. Carter (drawn by S. Curry),75,92
4,8:34.0,,S. Curry misses 3-pt jump shot from 28 ft,75,92
4,8:32.0,Defensive rebound by J. Green,,75,92
4,8:27.0,J. Carter misses 2-pt jump shot from 18 ft,,75,92
4,8:26.0,,Defensive rebound by S. Curry,75,92
4,8:26.0,,A. McKinnie enters the game for J. Jerebko,75,92
4,8:26.0,,K. Thompson enters the game for S. Livingston,75,92
4,8:06.0,,A. McKinnie misses 3-pt jump shot from 23 ft,75,92
4,8:04.0,Defensive rebound by J. Green,,75,92
4,7:53.0,O. Casspi makes 2-pt layup from 2 ft (assist by J. Noah),,77,92
4,7:41.0,,S. Curry misses 2-pt layup from 3 ft,77,92
4,7:40.0,,Offensive rebound by A. Iguodala,77,92
4,7:31.0,,A. McKinnie misses 2-pt jump shot from 22 ft,77,92
4,7:30.0,Defensive rebound by Team,,77,92
4,7:30.0,Memphis full timeout,,77,92
4,7:30.0,,K. Durant enters the game for A. Iguodala,77,92
4,7:11.0,Shooting foul by A. McKinnie (drawn by O. Casspi),,77,92
4,7:11.0,O. Casspi makes free throw 1 of 2,,78,92
4,7:11.0,,J. Jerebko enters the game for A. McKinnie,78,92
4,7:11.0,O. Casspi makes free throw 2 of 2,,79,92
4,6:54.0,,J. Jerebko makes 3-pt jump shot from 27 ft (assist by S. Curry),79,95
4,6:36.0,O. Casspi makes 2-pt layup from 1 ft,,81,95
4,6:24.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by J. Jerebko),81,98
4,6:08.0,J. Carter misses 3-pt jump shot from 26 ft,,81,98
4,6:06.0,,Defensive rebound by K. Thompson,81,98
4,5:55.0,,J. Jerebko misses 3-pt jump shot from 30 ft,81,98
4,5:53.0,Defensive rebound by J. Green,,81,98
4,5:39.0,J. Noah makes 2-pt hook shot from 7 ft,,83,98
4,5:30.0,,Turnover by S. Curry (bad pass),83,98
4,5:30.0,I. Rabb enters the game for J. Noah,,83,98
4,5:13.0,J. Carter misses 3-pt jump shot from 27 ft,,83,98
4,5:11.0,Offensive rebound by I. Rabb,,83,98
4,5:07.0,O. Casspi makes 3-pt jump shot from 26 ft (assist by I. Rabb),,86,98
4,4:45.0,,Turnover by K. Durant (bad pass; steal by J. Green),86,98
4,4:41.0,Offensive foul by I. Rabb (drawn by J. Jerebko),,86,98
4,4:41.0,Turnover by I. Rabb (offensive foul),,86,98
4,4:26.0,,S. Curry misses 2-pt layup from 4 ft (block by O. Casspi),86,98
4,4:25.0,,Offensive rebound by Team,86,98
4,4:21.0,,K. Durant makes 2-pt jump shot from 15 ft,86,100
4,4:07.0,I. Rabb misses 3-pt jump shot from 27 ft,,86,100
4,4:05.0,,Defensive rebound by K. Durant,86,100
4,3:59.0,,S. Curry misses 3-pt jump shot from 26 ft,86,100
4,3:58.0,,Offensive rebound by Team,86,100
4,3:58.0,Loose ball foul by J. Carter (drawn by J. Jerebko),,86,100
4,3:58.0,,J. Jerebko makes free throw 1 of 2,86,101
4,3:58.0,Y. Watanabe enters the game for J. Green,,86,101
4,3:58.0,,J. Jerebko makes free throw 2 of 2,86,102
4,3:47.0,Turnover by J. Carter (lost ball; steal by S. Curry),,86,102
4,3:35.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),86,105
4,3:21.0,Turnover by M. Brooks (bad pass; steal by D. Green),,86,105
4,3:20.0,,Personal foul by M. Brooks (drawn by K. Thompson),86,105
4,3:20.0,,Golden State full timeout,86,105
4,3:20.0,,J. Bell enters the game for S. Curry,86,105
4,3:20.0,,Q. Cook enters the game for K. Durant,86,105
4,3:20.0,,J. Evans enters the game for D. Green,86,105
4,3:20.0,,A. McKinnie enters the game for J. Jerebko,86,105
4,3:20.0,,K. Thompson misses free throw 1 of 2,86,105
4,3:20.0,,Offensive rebound by Team,86,105
4,3:20.0,,K. Thompson makes free throw 2 of 2,86,106
4,3:20.0,,J. Jerebko enters the game for K. Thompson,86,106
4,3:20.0,Personal take foul by Q. Cook (drawn by J. Carter),,86,106
4,3:01.0,I. Rabb makes 2-pt layup from 3 ft (assist by O. Casspi),,88,106
