QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
4,6:45.0,Defensive rebound by D. Šarić,,115,122
4,6:38.0,A. Wiggins misses 2-pt layup from 2 ft (block by B. Lopez),,115,122
4,6:36.0,,Defensive rebound by G. Antetokounmpo,115,122
4,6:25.0,Violation by Team (kicked ball),,115,122
4,6:25.0,,Milwaukee full timeout,115,122
4,6:25.0,K. Bates-Diop enters the game for L. Deng,,115,122
4,6:25.0,J. Teague enters the game for T. Jones,,115,122
4,6:14.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),115,125
4,5:56.0,D. Šarić misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,115,125
4,5:56.0,Offensive rebound by Team,,115,125
4,5:56.0,,N. Mirotić enters the game for P. Connaughton,115,125
4,5:47.0,J. Teague misses 3-pt jump shot from 27 ft,,115,125
4,5:44.0,,Defensive rebound by N. Mirotić,115,125
4,5:33.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,115,125
4,5:31.0,Defensive rebound by A. Wiggins,,115,125
4,5:22.0,A. Wiggins misses 2-pt layup from 7 ft (block by N. Mirotić),,115,125
4,5:16.0,Offensive rebound by A. Wiggins,,115,125
4,5:16.0,T. Gibson misses 2-pt layup from 2 ft,,115,125
4,5:16.0,Offensive rebound by Team,,115,125
4,5:16.0,,M. Brogdon enters the game for E. Bledsoe,115,125
4,5:02.0,Turnover by J. Teague (bad pass; steal by G. Antetokounmpo),,115,125
4,4:58.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),115,127
4,4:58.0,Minnesota full timeout,,115,127
4,4:58.0,L. Deng enters the game for K. Bates-Diop,,115,127
4,4:37.0,Turnover by L. Deng (bad pass; steal by B. Lopez),,115,127
4,4:35.0,,Shooting foul by A. Wiggins (drawn by K. Middleton),115,127
4,4:35.0,,K. Middleton makes free throw 1 of 2,115,128
4,4:35.0,D. Rose enters the game for T. Gibson,,115,128
4,4:35.0,A. Tolliver enters the game for J. Teague,,115,128
4,4:35.0,,P. Connaughton enters the game for G. Antetokounmpo,115,128
4,4:35.0,,K. Middleton makes free throw 2 of 2,115,129
4,4:27.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Rose),,118,129
4,4:08.0,,M. Brogdon misses 2-pt jump shot from 19 ft,118,129
4,4:05.0,Defensive rebound by A. Wiggins,,118,129
4,4:02.0,A. Wiggins misses 3-pt jump shot from 28 ft,,118,129
4,3:58.0,,Defensive rebound by K. Middleton,118,129
4,3:45.0,,N. Mirotić misses 2-pt jump shot from 10 ft,118,129
4,3:42.0,Defensive rebound by A. Tolliver,,118,129
4,3:33.0,D. Rose makes 2-pt jump shot from 18 ft,,120,129
4,3:32.0,,Milwaukee full timeout,120,129
4,3:32.0,T. Jones enters the game for L. Deng,,120,129
4,3:32.0,,G. Antetokounmpo enters the game for P. Connaughton,120,129
4,3:32.0,,E. Bledsoe enters the game for N. Mirotić,120,129
4,3:08.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft,120,132
4,2:54.0,T. Jones makes 2-pt layup from 2 ft (assist by D. Rose),,122,132
4,2:37.0,,K. Middleton makes 2-pt jump shot from 12 ft,122,134
4,2:27.0,Personal foul by B. Lopez (drawn by A. Wiggins),,122,134
4,2:21.0,D. Rose misses 3-pt jump shot from 26 ft,,122,134
4,2:20.0,Offensive rebound by Team,,122,134
4,2:18.0,D. Šarić misses 3-pt jump shot from 26 ft,,122,134
4,2:13.0,,Defensive rebound by E. Bledsoe,122,134
4,2:09.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by E. Bledsoe),122,136
4,2:09.0,,Technical foul by B. Lopez,122,136
4,2:09.0,T. Jones misses technical free throw,,122,136
4,2:09.0,Offensive rebound by Team,,122,136
4,2:09.0,,P. Connaughton enters the game for E. Bledsoe,122,136
4,1:55.0,T. Jones misses 2-pt jump shot from 12 ft,,122,136
4,1:53.0,,Defensive rebound by M. Brogdon,122,136
4,1:36.0,,Turnover by B. Lopez (traveling),122,136
4,1:36.0,,S. Brown enters the game for G. Antetokounmpo,122,136
4,1:36.0,,E. İlyasova enters the game for B. Lopez,122,136
4,1:25.0,Shooting foul by E. İlyasova (drawn by D. Rose),,122,136
4,1:25.0,D. Rose makes free throw 1 of 2,,123,136
4,1:25.0,,T. Snell enters the game for K. Middleton,123,136
4,1:25.0,D. Rose makes free throw 2 of 2,,124,136
4,1:13.0,,Shooting foul by T. Jones (drawn by M. Brogdon),124,136
4,1:13.0,,M. Brogdon makes free throw 1 of 2,124,137
4,1:13.0,K. Bates-Diop enters the game for D. Rose,,124,137
4,1:13.0,J. Okogie enters the game for A. Wiggins,,124,137
4,1:13.0,,M. Brogdon makes free throw 2 of 2,124,138
4,1:02.0,D. Šarić misses 2-pt layup from 2 ft,,124,138
4,0:59.0,,Defensive rebound by S. Brown,124,138
4,0:45.0,,E. İlyasova misses 2-pt layup from 1 ft,124,138
4,0:42.0,Defensive rebound by K. Bates-Diop,,124,138
4,0:35.0,J. Okogie misses 2-pt jump shot from 14 ft,,124,138
4,0:32.0,Offensive rebound by K. Bates-Diop,,124,138
4,0:28.0,T. Jones misses 2-pt layup from 1 ft,,124,138
4,0:26.0,Offensive rebound by D. Šarić,,124,138
4,0:26.0,D. Šarić makes 2-pt layup from 1 ft,,126,138
4,0:05.0,,S. Brown makes 2-pt layup from 1 ft,126,140
4,0:00.0,J. Okogie makes 2-pt layup from 1 ft,,128,140
