QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
2,10:18.0,,D. Schröder makes 2-pt jump shot from 6 ft,35,41
2,9:59.0,J. Randle makes 3-pt jump shot from 26 ft (assist by T. Frazier),,38,41
2,9:40.0,,H. Diallo misses 2-pt layup from 2 ft,38,41
2,9:39.0,,Offensive rebound by N. Noel,38,41
2,9:37.0,,P. Patterson misses 2-pt jump shot from 13 ft,38,41
2,9:33.0,Defensive rebound by J. Randle,,38,41
2,9:21.0,D. Miller misses 3-pt jump shot from 25 ft,,38,41
2,9:19.0,,Defensive rebound by N. Noel,38,41
2,9:11.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by D. Schröder),38,44
2,8:51.0,T. Frazier misses 2-pt layup from 4 ft,,38,44
2,8:50.0,Offensive rebound by C. Diallo,,38,44
2,8:50.0,Shooting foul by P. Patterson (drawn by C. Diallo),,38,44
2,8:50.0,C. Diallo makes free throw 1 of 2,,39,44
2,8:50.0,C. Diallo makes free throw 2 of 2,,40,44
2,8:40.0,,Shooting foul by C. Diallo (drawn by N. Noel),40,44
2,8:40.0,,N. Noel misses free throw 1 of 2,40,44
2,8:40.0,,Offensive rebound by Team,40,44
2,8:40.0,,R. Westbrook enters the game for Á. Abrines,40,44
2,8:40.0,,N. Noel makes free throw 2 of 2,40,45
2,8:31.0,D. Miller makes 3-pt jump shot from 25 ft (assist by T. Frazier),,43,45
2,8:17.0,,Turnover by D. Schröder (bad pass; steal by C. Diallo),43,45
2,8:01.0,Personal foul by D. Schröder (drawn by I. Clark),,43,45
2,7:58.0,T. Frazier misses 3-pt jump shot from 26 ft,,43,45
2,7:56.0,,Defensive rebound by P. Patterson,43,45
2,7:49.0,,Shooting foul by T. Frazier (drawn by R. Westbrook),43,45
2,7:49.0,,R. Westbrook makes free throw 1 of 2,43,46
2,7:49.0,,R. Westbrook makes free throw 2 of 2,43,47
2,7:35.0,Personal foul by H. Diallo (drawn by J. Randle),,43,47
2,7:22.0,J. Randle makes 2-pt hook shot from 6 ft,,45,47
2,7:04.0,,Personal foul by I. Clark (drawn by R. Westbrook),45,47
2,7:00.0,,R. Westbrook misses 2-pt layup from 2 ft (block by C. Diallo),45,47
2,6:57.0,Defensive rebound by J. Randle,,45,47
2,6:48.0,I. Clark misses 2-pt layup at rim (block by N. Noel),,45,47
2,6:46.0,Offensive rebound by D. Miller,,45,47
2,6:42.0,Offensive foul by J. Randle (drawn by R. Westbrook),,45,47
2,6:42.0,Turnover by J. Randle (offensive foul),,45,47
2,6:42.0,,Oklahoma City full timeout,45,47
2,6:42.0,A. Davis enters the game for C. Diallo,,45,47
2,6:42.0,J. Holiday enters the game for T. Frazier,,45,47
2,6:42.0,N. Mirotić enters the game for J. Randle,,45,47
2,6:42.0,,S. Adams enters the game for H. Diallo,45,47
2,6:42.0,,P. George enters the game for N. Noel,45,47
2,6:42.0,,J. Grant enters the game for P. Patterson,45,47
2,6:22.0,,D. Schröder makes 2-pt layup at rim (assist by P. George),45,49
2,6:07.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,47,49
2,5:53.0,,J. Grant misses 2-pt layup from 2 ft,47,49
2,5:53.0,,Offensive rebound by Team,47,49
2,5:50.0,,P. George misses 3-pt jump shot from 25 ft,47,49
2,5:46.0,Defensive rebound by N. Mirotić,,47,49
2,5:27.0,N. Mirotić misses 2-pt jump shot from 19 ft,,47,49
2,5:21.0,Offensive rebound by A. Davis,,47,49
2,5:15.0,I. Clark misses 2-pt jump shot from 12 ft,,47,49
2,5:12.0,,Defensive rebound by S. Adams,47,49
2,5:11.0,,Personal foul by D. Miller (drawn by R. Westbrook),47,49
2,5:11.0,,R. Westbrook misses free throw 1 of 2,47,49
2,5:11.0,,Offensive rebound by Team,47,49
2,5:11.0,,R. Westbrook makes free throw 2 of 2,47,50
2,4:58.0,I. Clark misses 2-pt jump shot from 6 ft,,47,50
2,4:57.0,Offensive rebound by Team,,47,50
2,4:57.0,E. Moore enters the game for I. Clark,,47,50
2,4:57.0,,Á. Abrines enters the game for D. Schröder,47,50
2,4:50.0,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),,50,50
2,4:34.0,,P. George misses 3-pt jump shot from 26 ft,50,50
2,4:32.0,Defensive rebound by N. Mirotić,,50,50
2,4:25.0,Turnover by A. Davis (lost ball; steal by J. Grant),,50,50
2,4:13.0,,R. Westbrook misses 2-pt jump shot from 15 ft,50,50
2,4:10.0,Defensive rebound by E. Moore,,50,50
2,4:02.0,J. Holiday makes 2-pt layup from 1 ft,,52,50
2,3:50.0,,R. Westbrook misses 2-pt layup from 2 ft,52,50
2,3:49.0,,Offensive rebound by S. Adams,52,50
2,3:48.0,,S. Adams makes 2-pt layup at rim,52,52
2,3:40.0,Turnover by E. Moore (bad pass; steal by P. George),,52,52
2,3:37.0,,R. Westbrook makes 2-pt dunk at rim (assist by P. George),52,54
2,3:21.0,New Orleans full timeout,,52,54
2,3:21.0,I. Clark enters the game for E. Moore,,52,54
2,3:11.0,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Holiday),,55,54
2,3:01.0,,R. Westbrook misses 2-pt jump shot from 15 ft,55,54
