QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
2,10:36.0,,Loose ball foul by J. Crowder (drawn by D. Šarić),24,33
2,10:35.0,Turnover by J. Okogie (bad pass; steal by J. Crowder),,24,33
2,10:33.0,,Turnover by J. Crowder (out of bounds lost ball),24,33
2,10:16.0,K. Towns makes 2-pt layup from 4 ft (assist by J. Terrell),,26,33
2,9:59.0,,Turnover by K. Korver (bad pass; steal by J. Okogie),26,33
2,9:57.0,Turnover by K. Towns (bad pass; steal by R. Rubio),,26,33
2,9:57.0,,Personal foul by K. Towns (drawn by R. Rubio),26,33
2,9:57.0,T. Gibson enters the game for K. Towns,,26,33
2,9:57.0,,R. O'Neale enters the game for K. Korver,26,33
2,9:48.0,,D. Favors misses 2-pt jump shot from 11 ft,26,33
2,9:45.0,,Offensive rebound by R. Rubio,26,33
2,9:44.0,,J. Ingles misses 3-pt jump shot from 27 ft,26,33
2,9:41.0,,Offensive rebound by J. Crowder,26,33
2,9:37.0,,R. Rubio misses 2-pt layup from 4 ft,26,33
2,9:34.0,Defensive rebound by A. Wiggins,,26,33
2,9:32.0,A. Wiggins makes 2-pt layup from 5 ft,,28,33
2,9:32.0,Shooting foul by J. Ingles (drawn by A. Wiggins),,28,33
2,9:32.0,,G. Niang enters the game for J. Crowder,28,33
2,9:32.0,A. Wiggins makes free throw 1 of 1,,29,33
2,9:21.0,,J. Ingles misses 3-pt jump shot from 25 ft,29,33
2,9:18.0,Defensive rebound by A. Wiggins,,29,33
2,9:08.0,Personal foul by G. Niang (drawn by D. Šarić),,29,33
2,9:08.0,J. Bayless enters the game for J. Terrell,,29,33
2,9:08.0,,D. Mitchell enters the game for R. Rubio,29,33
2,8:54.0,D. Šarić misses 2-pt hook shot from 7 ft,,29,33
2,8:52.0,,Defensive rebound by G. Niang,29,33
2,8:44.0,,D. Mitchell makes 2-pt layup from 2 ft,29,35
2,8:26.0,,Violation by Team (kicked ball),29,35
2,8:26.0,,K. Korver enters the game for J. Ingles,29,35
2,8:16.0,T. Gibson misses 2-pt jump shot from 9 ft,,29,35
2,8:13.0,,Defensive rebound by D. Favors,29,35
2,8:05.0,,D. Favors makes 2-pt dunk from 3 ft (assist by D. Mitchell),29,37
2,8:04.0,Minnesota full timeout,,29,37
2,8:04.0,A. Tolliver enters the game for D. Šarić,,29,37
2,7:53.0,A. Wiggins misses 2-pt layup from 4 ft,,29,37
2,7:50.0,,Defensive rebound by K. Korver,29,37
2,7:42.0,,G. Niang makes 3-pt jump shot from 24 ft (assist by D. Mitchell),29,40
2,7:26.0,J. Okogie makes 2-pt jump shot from 16 ft,,31,40
2,7:26.0,Shooting foul by K. Korver (drawn by J. Okogie),,31,40
2,7:26.0,,R. Gobert enters the game for D. Favors,31,40
2,7:26.0,J. Okogie makes free throw 1 of 1,,32,40
2,7:14.0,,K. Korver misses 3-pt jump shot from 26 ft,32,40
2,7:11.0,Defensive rebound by J. Okogie,,32,40
2,7:05.0,J. Okogie misses 2-pt jump shot from 9 ft (block by R. Gobert),,32,40
2,7:05.0,Offensive rebound by Team,,32,40
2,6:54.0,A. Wiggins makes 2-pt jump shot from 11 ft (assist by J. Bayless),,34,40
2,6:40.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Mitchell),34,43
2,6:25.0,Turnover by A. Wiggins (out of bounds lost ball),,34,43
2,6:09.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by K. Korver),34,45
2,5:55.0,J. Okogie misses 3-pt jump shot from 25 ft,,34,45
2,5:51.0,,Defensive rebound by R. Gobert,34,45
2,5:37.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. O'Neale),34,47
2,5:18.0,A. Wiggins misses 2-pt layup from 5 ft,,34,47
2,5:15.0,Offensive rebound by Team,,34,47
2,5:09.0,Turnover by J. Bayless (bad pass; steal by R. O'Neale),,34,47
2,5:03.0,,K. Korver misses 2-pt jump shot from 16 ft,34,47
2,4:59.0,Defensive rebound by J. Okogie,,34,47
2,4:54.0,J. Bayless misses 2-pt layup from 4 ft,,34,47
2,4:54.0,Offensive rebound by Team,,34,47
2,4:54.0,,Loose ball foul by R. Gobert (drawn by T. Gibson),34,47
2,4:54.0,T. Gibson makes free throw 1 of 2,,35,47
2,4:54.0,C. Williams enters the game for A. Wiggins,,35,47
2,4:54.0,,J. Ingles enters the game for K. Korver,35,47
2,4:54.0,T. Gibson makes free throw 2 of 2,,36,47
2,4:40.0,,Turnover by D. Mitchell (lost ball; steal by J. Bayless),36,47
2,4:36.0,Turnover by J. Bayless (bad pass; steal by J. Ingles),,36,47
2,4:30.0,,Turnover by G. Niang (out of bounds lost ball),36,47
2,4:14.0,J. Okogie misses 2-pt layup from 4 ft,,36,47
2,4:12.0,,Defensive rebound by G. Niang,36,47
2,4:02.0,,J. Ingles misses 3-pt jump shot from 24 ft,36,47
2,3:59.0,,Offensive rebound by R. Gobert,36,47
2,3:53.0,,D. Mitchell misses 2-pt layup from 4 ft,36,47
2,3:50.0,,Offensive rebound by Team,36,47
2,3:50.0,Loose ball foul by A. Tolliver (drawn by R. Gobert),,36,47
2,3:50.0,L. Deng enters the game for A. Tolliver,,36,47
2,3:50.0,,J. Crowder enters the game for G. Niang,36,47
2,3:37.0,,R. Gobert misses 2-pt dunk from 3 ft,36,47
2,3:34.0,Defensive rebound by C. Williams,,36,47
2,3:30.0,J. Bayless misses 3-pt jump shot from 25 ft,,36,47
2,3:26.0,,Defensive rebound by D. Mitchell,36,47
2,3:19.0,,R. O'Neale makes 2-pt dunk from 2 ft (assist by J. Crowder),36,49
2,2:59.0,C. Williams makes 2-pt layup from 3 ft (assist by J. Bayless),,38,49
2,2:51.0,,Utah full timeout,38,49
2,2:51.0,A. Wiggins enters the game for J. Okogie,,38,49
2,2:51.0,,R. Rubio enters the game for R. O'Neale,38,49
2,2:38.0,,Shooting foul by T. Gibson (drawn by R. Gobert),38,49
2,2:38.0,,R. Gobert makes free throw 1 of 2,38,50
2,2:38.0,,R. Gobert misses free throw 2 of 2,38,50
2,2:36.0,Defensive rebound by T. Gibson,,38,50
2,2:23.0,A. Wiggins misses 2-pt layup from 2 ft,,38,50
2,2:18.0,Offensive rebound by A. Wiggins,,38,50
2,2:17.0,Turnover by A. Wiggins (lost ball; steal by J. Ingles),,38,50
2,2:00.0,,Turnover by R. Rubio (out of bounds lost ball),38,50
2,2:00.0,G. Dieng enters the game for C. Williams,,38,50
2,1:48.0,A. Wiggins misses 2-pt jump shot from 11 ft,,38,50
2,1:45.0,,Defensive rebound by R. Gobert,38,50
2,1:39.0,,D. Mitchell misses 2-pt jump shot from 4 ft,38,50
2,1:38.0,,Offensive rebound by Team,38,50
