QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
2,7:09.0,R. Covington makes free throw 1 of 2,,41,32
2,7:09.0,R. Covington misses free throw 2 of 2,,41,32
2,7:07.0,Offensive rebound by R. Covington,,41,32
2,7:03.0,R. Covington misses 2-pt layup from 6 ft,,41,32
2,7:01.0,,Defensive rebound by K. Dunn,41,32
2,6:51.0,,J. Holiday misses 2-pt jump shot from 10 ft,41,32
2,6:49.0,Defensive rebound by T. Jones,,41,32
2,6:34.0,K. Towns makes 2-pt layup from 2 ft (assist by D. Šarić),,43,32
2,6:20.0,,J. Holiday misses 3-pt jump shot from 25 ft,43,32
2,6:15.0,Defensive rebound by R. Covington,,43,32
2,6:10.0,T. Jones makes 3-pt jump shot from 25 ft,,46,32
2,6:10.0,,Chicago full timeout,46,32
2,6:10.0,,L. Markkanen enters the game for C. Hutchison,46,32
2,5:50.0,,R. Lopez misses 2-pt hook shot from 5 ft,46,32
2,5:48.0,Defensive rebound by K. Towns,,46,32
2,5:34.0,D. Rose makes 2-pt jump shot from 24 ft,,48,32
2,5:24.0,,Turnover by K. Dunn (bad pass; steal by T. Jones),48,32
2,5:11.0,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),,50,32
2,4:56.0,,R. Lopez misses 2-pt hook shot from 4 ft,50,32
2,4:55.0,Defensive rebound by Team,,50,32
2,4:41.0,T. Jones misses 3-pt jump shot from 23 ft,,50,32
2,4:37.0,,Defensive rebound by K. Dunn,50,32
2,4:35.0,,Shooting foul by T. Jones (drawn by K. Dunn),50,32
2,4:35.0,,K. Dunn makes free throw 1 of 2,50,33
2,4:35.0,A. Wiggins enters the game for T. Jones,,50,33
2,4:35.0,,W. Carter enters the game for S. Harrison,50,33
2,4:35.0,,Z. LaVine enters the game for R. Lopez,50,33
2,4:35.0,,K. Dunn misses free throw 2 of 2,50,33
2,4:30.0,Defensive rebound by K. Towns,,50,33
2,4:18.0,D. Šarić misses 3-pt jump shot from 23 ft,,50,33
2,4:15.0,,Defensive rebound by Z. LaVine,50,33
2,4:05.0,,L. Markkanen misses 3-pt jump shot from 27 ft,50,33
2,4:01.0,Defensive rebound by K. Towns,,50,33
2,3:48.0,A. Wiggins misses 2-pt hook shot from 6 ft,,50,33
2,3:46.0,,Defensive rebound by K. Dunn,50,33
2,3:40.0,,J. Holiday misses 3-pt jump shot from 25 ft,50,33
2,3:37.0,Defensive rebound by Team,,50,33
2,3:37.0,T. Gibson enters the game for D. Šarić,,50,33
2,3:31.0,Personal foul by W. Carter (drawn by R. Covington),,50,33
2,3:21.0,K. Towns makes 2-pt dunk at rim (assist by R. Covington),,52,33
2,2:58.0,,Z. LaVine misses 3-pt jump shot from 26 ft,52,33
2,2:55.0,,Offensive rebound by W. Carter,52,33
2,2:54.0,,L. Markkanen makes 2-pt jump shot from 10 ft (assist by W. Carter),52,35
2,2:39.0,Turnover by D. Rose (out of bounds lost ball),,52,35
2,2:30.0,,K. Dunn misses 2-pt jump shot from 20 ft,52,35
2,2:26.0,Defensive rebound by K. Towns,,52,35
2,2:17.0,Turnover by K. Towns (bad pass),,52,35
2,1:58.0,,J. Holiday misses 2-pt jump shot from 19 ft,52,35
2,1:54.0,Defensive rebound by K. Towns,,52,35
2,1:48.0,A. Wiggins misses 2-pt layup from 4 ft,,52,35
2,1:48.0,Offensive rebound by K. Towns,,52,35
2,1:48.0,K. Towns makes 2-pt layup from 1 ft,,54,35
2,1:48.0,Shooting foul by W. Carter (drawn by K. Towns),,54,35
2,1:48.0,,R. Lopez enters the game for W. Carter,54,35
2,1:48.0,K. Towns misses free throw 1 of 1,,54,35
2,1:45.0,,Defensive rebound by L. Markkanen,54,35
2,1:27.0,,R. Lopez makes 2-pt hook shot from 3 ft,54,37
2,1:27.0,,Shooting foul by K. Towns (drawn by R. Lopez),54,37
2,1:27.0,G. Dieng enters the game for K. Towns,,54,37
2,1:27.0,,R. Lopez misses free throw 1 of 1,54,37
2,1:26.0,Defensive rebound by Team,,54,37
2,1:18.0,D. Rose makes 2-pt jump shot from 11 ft,,56,37
2,0:59.0,,Offensive foul by L. Markkanen (drawn by G. Dieng),56,37
2,0:59.0,,Turnover by L. Markkanen (offensive foul),56,37
2,0:37.0,A. Wiggins misses 3-pt jump shot from 29 ft,,56,37
2,0:33.0,Offensive rebound by G. Dieng,,56,37
2,0:33.0,G. Dieng makes 2-pt layup from 1 ft,,58,37
2,0:10.0,,J. Holiday misses 3-pt jump shot from 25 ft,58,37
2,0:07.0,,Offensive rebound by R. Lopez,58,37
2,0:07.0,,R. Lopez misses 2-pt dunk from 1 ft,58,37
2,0:06.0,Defensive rebound by A. Wiggins,,58,37
2,0:00.0,A. Wiggins makes 2-pt layup from 1 ft,,60,37
2,0:00.0,,Turnover by R. Lopez (lost ball; steal by G. Dieng),60,37
3,11:40.0,,W. Carter makes 2-pt hook shot from 6 ft (assist by R. Arcidiacono),60,39
3,11:16.0,A. Wiggins misses 2-pt jump shot from 17 ft,,60,39
3,11:15.0,Offensive rebound by Team,,60,39
3,11:15.0,,Loose ball foul by R. Arcidiacono (drawn by R. Covington),60,39
3,11:04.0,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Gibson),,63,39
3,10:49.0,,K. Dunn misses 2-pt layup from 4 ft,63,39
3,10:49.0,Defensive rebound by Team,,63,39
3,10:36.0,Personal foul by W. Carter (drawn by K. Towns),,63,39
3,10:33.0,Turnover by K. Towns (bad pass; steal by K. Dunn),,63,39
3,10:30.0,,L. Markkanen misses 2-pt layup from 6 ft,63,39
3,10:28.0,,Offensive rebound by W. Carter,63,39
3,10:27.0,,W. Carter misses 2-pt layup from 1 ft (block by R. Covington),63,39
3,10:27.0,,Offensive rebound by Team,63,39
3,10:21.0,,J. Holiday makes 2-pt layup from 1 ft (assist by R. Arcidiacono),63,41
3,10:04.0,A. Wiggins misses 2-pt jump shot from 18 ft,,63,41
3,10:01.0,,Defensive rebound by K. Dunn,63,41
3,9:56.0,,K. Dunn misses 2-pt layup from 2 ft,63,41
3,9:54.0,,Offensive rebound by W. Carter,63,41
3,9:54.0,,W. Carter makes 2-pt dunk from 1 ft,63,43
3,9:37.0,D. Rose makes 3-pt jump shot from 25 ft (assist by T. Gibson),,66,43
3,9:25.0,,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),66,45
3,9:13.0,Personal foul by K. Dunn (drawn by T. Gibson),,66,45
3,9:01.0,K. Towns misses 2-pt layup from 2 ft,,66,45
3,8:59.0,,Defensive rebound by L. Markkanen,66,45
3,8:50.0,,J. Holiday misses 3-pt jump shot from 27 ft,66,45
3,8:47.0,Defensive rebound by K. Towns,,66,45
3,8:35.0,T. Gibson misses 2-pt layup from 2 ft (block by W. Carter),,66,45
3,8:30.0,,Defensive rebound by L. Markkanen,66,45
3,8:11.0,,Turnover by J. Holiday (lost ball; steal by D. Rose),66,45
3,8:07.0,R. Covington makes 2-pt jump shot from 16 ft (assist by D. Rose),,68,45
3,8:06.0,,Chicago full timeout,68,45
3,7:40.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),68,48
3,7:21.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by R. Covington),,71,48
3,7:04.0,,L. Markkanen misses 3-pt jump shot from 26 ft,71,48
3,7:02.0,Defensive rebound by R. Covington,,71,48
3,6:53.0,T. Gibson makes 2-pt layup from 1 ft,,73,48
3,6:36.0,,J. Holiday misses 3-pt jump shot from 26 ft,73,48
3,6:33.0,Defensive rebound by T. Gibson,,73,48
3,6:25.0,D. Rose misses 3-pt jump shot from 25 ft,,73,48
3,6:22.0,,Defensive rebound by J. Holiday,73,48
3,6:07.0,,W. Carter makes 2-pt dunk at rim (assist by K. Dunn),73,50
3,5:51.0,D. Rose misses 2-pt jump shot from 7 ft,,73,50
3,5:51.0,Offensive rebound by K. Towns,,73,50
3,5:51.0,Shooting foul by J. Holiday (drawn by K. Towns),,73,50
3,5:51.0,K. Towns makes free throw 1 of 2,,74,50
3,5:51.0,,Z. LaVine enters the game for R. Arcidiacono,74,50
3,5:51.0,K. Towns makes free throw 2 of 2,,75,50
3,5:33.0,,Z. LaVine misses 2-pt jump shot from 19 ft,75,50
3,5:28.0,Defensive rebound by K. Towns,,75,50
3,5:19.0,R. Covington misses 3-pt jump shot from 24 ft,,75,50
3,5:15.0,,Defensive rebound by J. Holiday,75,50
3,5:08.0,,K. Dunn makes 2-pt jump shot from 4 ft,75,52
3,5:08.0,,Shooting foul by T. Gibson (drawn by K. Dunn),75,52
3,5:08.0,,K. Dunn misses free throw 1 of 1,75,52
3,5:05.0,Defensive rebound by K. Towns,,75,52
3,4:59.0,D. Rose misses 2-pt layup from 2 ft (block by W. Carter),,75,52
3,4:59.0,Offensive rebound by Team,,75,52
3,4:50.0,Turnover by R. Covington (out of bounds lost ball),,75,52
3,4:34.0,,W. Carter makes 2-pt jump shot from 11 ft (assist by K. Dunn),75,54
3,4:15.0,Personal foul by L. Markkanen (drawn by T. Gibson),,75,54
3,4:15.0,T. Gibson makes free throw 1 of 2,,76,54
3,4:15.0,T. Gibson makes free throw 2 of 2,,77,54
3,3:51.0,,K. Dunn makes 2-pt layup from 2 ft,77,56
3,3:27.0,K. Towns misses 2-pt layup from 2 ft,,77,56
3,3:25.0,,Defensive rebound by K. Dunn,77,56
3,3:21.0,,W. Carter misses 2-pt layup from 3 ft,77,56
3,3:19.0,Defensive rebound by R. Covington,,77,56
3,3:13.0,R. Covington misses 3-pt jump shot from 26 ft,,77,56
3,3:13.0,,Defensive rebound by W. Carter,77,56
3,2:57.0,,Z. LaVine makes 2-pt jump shot from 13 ft,77,58
3,2:49.0,Minnesota full timeout,,77,58
3,2:33.0,D. Rose misses 3-pt jump shot from 24 ft,,77,58
3,2:29.0,,Defensive rebound by L. Markkanen,77,58
3,2:18.0,,Z. LaVine misses 3-pt jump shot from 27 ft,77,58
3,2:16.0,Defensive rebound by Team,,77,58
3,2:01.0,Turnover by K. Towns (bad pass; steal by K. Dunn),,77,58
3,1:57.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),77,60
3,1:35.0,A. Wiggins makes 3-pt jump shot from 27 ft (assist by K. Towns),,80,60
3,1:10.0,,Z. LaVine makes 2-pt layup from 1 ft,80,62
3,1:06.0,Shooting foul by K. Dunn (drawn by A. Wiggins),,80,62
3,1:06.0,A. Wiggins misses free throw 1 of 2,,80,62
3,1:06.0,Offensive rebound by Team,,80,62
3,1:06.0,G. Dieng enters the game for T. Gibson,,80,62
3,1:06.0,T. Jones enters the game for D. Rose,,80,62
3,1:06.0,D. Šarić enters the game for K. Towns,,80,62
3,1:06.0,,R. Arcidiacono enters the game for W. Carter,80,62
3,1:06.0,,S. Harrison enters the game for K. Dunn,80,62
3,1:06.0,,C. Hutchison enters the game for J. Holiday,80,62
3,1:06.0,,R. Lopez enters the game for L. Markkanen,80,62
3,1:06.0,A. Wiggins makes free throw 2 of 2,,81,62
3,0:52.0,,Z. LaVine makes 2-pt layup from 1 ft,81,64
3,0:52.0,,Shooting foul by R. Covington (drawn by Z. LaVine),81,64
3,0:52.0,J. Okogie enters the game for R. Covington,,81,64
3,0:52.0,,Z. LaVine makes free throw 1 of 1,81,65
3,0:39.0,Turnover by J. Okogie (traveling),,81,65
3,0:29.0,,Z. LaVine misses 2-pt jump shot from 9 ft,81,65
3,0:27.0,Defensive rebound by J. Okogie,,81,65
3,0:09.0,A. Wiggins makes 2-pt jump shot from 9 ft,,83,65
3,0:00.0,,Z. LaVine misses 3-pt jump shot from 32 ft,83,65
3,0:00.0,Defensive rebound by A. Wiggins,,83,65
4,11:47.0,Shooting foul by Z. LaVine (drawn by T. Jones),,83,65
4,11:47.0,T. Jones makes free throw 1 of 2,,84,65
4,11:47.0,T. Jones makes free throw 2 of 2,,85,65
4,11:25.0,,S. Harrison makes 2-pt layup from 2 ft,85,67
4,11:07.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),,88,67
4,10:45.0,,R. Lopez misses 2-pt hook shot from 5 ft,88,67
4,10:42.0,Defensive rebound by G. Dieng,,88,67
4,10:34.0,T. Jones misses 2-pt jump shot from 19 ft,,88,67
4,10:32.0,Offensive rebound by J. Okogie,,88,67
4,10:27.0,D. Šarić misses 2-pt jump shot from 17 ft,,88,67
4,10:24.0,,Defensive rebound by R. Arcidiacono,88,67
4,10:12.0,,Offensive foul by R. Lopez (drawn by J. Okogie),88,67
4,10:12.0,,Turnover by R. Lopez (offensive foul),88,67
4,10:00.0,T. Jones makes 2-pt jump shot from 12 ft,,90,67
4,10:00.0,Shooting foul by S. Harrison (drawn by T. Jones),,90,67
4,10:00.0,T. Jones makes free throw 1 of 1,,91,67
4,9:41.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Lopez),91,69
4,9:41.0,,Shooting foul by G. Dieng (drawn by Z. LaVine),91,69
4,9:41.0,,Z. LaVine makes free throw 1 of 1,91,70
4,9:21.0,Turnover by A. Wiggins (bad pass; steal by R. Arcidiacono),,91,70
4,9:19.0,,Personal foul by J. Okogie (drawn by S. Harrison),91,70
4,9:19.0,D. Rose enters the game for J. Okogie,,91,70
4,9:03.0,,C. Hutchison makes 2-pt layup from 1 ft,91,72
4,8:43.0,Turnover by D. Šarić (lost ball; steal by C. Hutchison),,91,72
4,8:38.0,,S. Harrison makes 2-pt layup from 2 ft (assist by Z. LaVine),91,74
4,8:38.0,Minnesota full timeout,,91,74
4,8:38.0,R. Covington enters the game for G. Dieng,,91,74
4,8:38.0,K. Towns enters the game for A. Wiggins,,91,74
4,8:23.0,D. Rose makes 2-pt jump shot from 15 ft,,93,74
4,8:03.0,,C. Hutchison misses 2-pt jump shot from 11 ft,93,74
4,8:00.0,Defensive rebound by D. Šarić,,93,74
4,7:40.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Rose),,96,74
4,7:10.0,,R. Lopez makes 2-pt hook shot from 7 ft,96,76
4,6:59.0,D. Rose misses 2-pt jump shot from 19 ft,,96,76
4,6:56.0,Offensive rebound by K. Towns,,96,76
4,6:43.0,Turnover by D. Šarić (lost ball; steal by S. Harrison),,96,76
4,6:39.0,,Z. LaVine makes 2-pt layup from 1 ft (assist by C. Hutchison),96,78
4,6:19.0,K. Towns misses 2-pt layup from 6 ft (block by R. Lopez),,96,78
4,6:16.0,,Defensive rebound by S. Harrison,96,78
4,6:11.0,,S. Harrison misses 2-pt layup from 2 ft,96,78
4,6:10.0,Defensive rebound by K. Towns,,96,78
4,6:04.0,R. Covington misses 3-pt jump shot from 26 ft,,96,78
4,6:01.0,Offensive rebound by D. Šarić,,96,78
4,6:01.0,D. Šarić makes 2-pt layup at rim,,98,78
4,6:01.0,,Chicago full timeout,98,78
4,6:01.0,,K. Dunn enters the game for C. Hutchison,98,78
4,6:01.0,,L. Markkanen enters the game for Z. LaVine,98,78
4,5:47.0,,K. Dunn makes 2-pt jump shot from 6 ft,98,80
4,5:26.0,D. Rose makes 2-pt layup from 2 ft,,100,80
4,5:26.0,Shooting foul by K. Dunn (drawn by D. Rose),,100,80
4,5:26.0,D. Rose makes free throw 1 of 1,,101,80
4,5:00.0,,Turnover by L. Markkanen (lost ball; steal by D. Rose),101,80
4,4:57.0,Shooting foul by K. Dunn (drawn by D. Šarić),,101,80
4,4:57.0,,A. Blakeney enters the game for K. Dunn,101,80
4,4:57.0,D. Šarić makes free throw 1 of 2,,102,80
4,4:57.0,,C. Felício enters the game for R. Lopez,102,80
4,4:57.0,D. Šarić makes free throw 2 of 2,,103,80
4,4:48.0,,A. Blakeney makes 2-pt layup from 2 ft (assist by C. Felício),103,82
4,4:35.0,Turnover by D. Šarić (lost ball; steal by R. Arcidiacono),,103,82
4,4:32.0,,Shooting foul by R. Covington (drawn by L. Markkanen),103,82
4,4:32.0,,L. Markkanen makes free throw 1 of 2,103,83
4,4:32.0,T. Gibson enters the game for D. Šarić,,103,83
4,4:32.0,,L. Markkanen makes free throw 2 of 2,103,84
4,4:18.0,R. Covington makes 2-pt layup from 1 ft (assist by D. Rose),,105,84
4,4:05.0,,A. Blakeney makes 3-pt jump shot from 25 ft (assist by C. Felício),105,87
4,3:48.0,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),,107,87
4,3:40.0,,Personal foul by T. Gibson (drawn by R. Arcidiacono),107,87
4,3:40.0,,C. Payne enters the game for R. Arcidiacono,107,87
