QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
1,0:44.0,A. Wiggins makes 2-pt layup from 2 ft (assist by G. Dieng),,25,29
1,0:31.0,,E. Turner misses 2-pt jump shot from 19 ft,25,29
1,0:30.0,Defensive rebound by A. Wiggins,,25,29
1,0:12.0,A. Wiggins misses 3-pt jump shot from 28 ft,,25,29
1,0:10.0,,Defensive rebound by M. Leonard,25,29
1,0:05.0,,Personal foul by J. Okogie (drawn by N. Stauskas),25,29
1,0:05.0,,N. Stauskas makes free throw 1 of 2,25,30
1,0:05.0,,N. Stauskas misses free throw 2 of 2,25,30
1,0:02.0,Defensive rebound by D. Šarić,,25,30
1,0:00.0,Shooting foul by M. Leonard (drawn by T. Jones),,25,30
1,0:00.0,T. Jones makes free throw 1 of 2,,26,30
1,0:00.0,T. Jones makes free throw 2 of 2,,27,30
2,11:47.0,D. Rose misses 2-pt layup at rim,,27,30
2,11:46.0,,Defensive rebound by Z. Collins,27,30
2,11:40.0,,J. Layman misses 3-pt jump shot from 23 ft,27,30
2,11:37.0,,Offensive rebound by N. Stauskas,27,30
2,11:36.0,,Shooting foul by D. Šarić (drawn by J. Layman),27,30
2,11:36.0,,J. Layman makes free throw 1 of 2,27,31
2,11:36.0,,J. Layman makes free throw 2 of 2,27,32
2,11:21.0,D. Rose misses 2-pt hook shot from 5 ft,,27,32
2,11:17.0,,Defensive rebound by A. Aminu,27,32
2,11:07.0,,J. Layman makes 2-pt dunk from 1 ft (assist by A. Aminu),27,34
2,10:52.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),,30,34
2,10:28.0,,N. Stauskas makes 3-pt jump shot from 25 ft,30,37
2,10:20.0,Minnesota full timeout,,30,37
2,10:20.0,K. Towns enters the game for G. Dieng,,30,37
2,10:00.0,K. Towns makes 2-pt hook shot from 7 ft (assist by D. Šarić),,32,37
2,9:45.0,,N. Stauskas misses 3-pt jump shot from 27 ft,32,37
2,9:41.0,,Offensive rebound by A. Aminu,32,37
2,9:37.0,,Turnover by E. Turner (traveling),32,37
2,9:24.0,K. Towns makes 2-pt jump shot from 17 ft (assist by D. Rose),,34,37
2,9:07.0,,Z. Collins misses 3-pt jump shot from 26 ft,34,37
2,9:05.0,Defensive rebound by J. Okogie,,34,37
2,8:59.0,K. Towns misses 2-pt layup from 1 ft,,34,37
2,8:57.0,,Defensive rebound by A. Aminu,34,37
2,8:54.0,,Turnover by A. Aminu (offensive foul),34,37
2,8:54.0,,Offensive foul by A. Aminu (drawn by T. Jones),34,37
2,8:45.0,T. Jones misses 2-pt layup from 2 ft,,34,37
2,8:44.0,Offensive rebound by K. Towns,,34,37
2,8:44.0,Shooting foul by J. Layman (drawn by K. Towns),,34,37
2,8:44.0,K. Towns makes free throw 1 of 2,,35,37
2,8:44.0,K. Towns misses free throw 2 of 2,,35,37
2,8:42.0,,Defensive rebound by N. Stauskas,35,37
2,8:34.0,,Turnover by N. Stauskas (bad pass; steal by J. Okogie),35,37
2,8:31.0,Turnover by J. Okogie (bad pass; steal by J. Layman),,35,37
2,8:20.0,,N. Stauskas misses 3-pt jump shot from 25 ft,35,37
2,8:18.0,Defensive rebound by T. Jones,,35,37
2,8:01.0,D. Rose misses 2-pt layup from 2 ft,,35,37
2,8:00.0,,Defensive rebound by J. Layman,35,37
2,7:53.0,,J. Layman misses 3-pt jump shot from 26 ft,35,37
2,7:50.0,Defensive rebound by J. Okogie,,35,37
2,7:44.0,D. Rose makes 2-pt layup from 2 ft (assist by J. Okogie),,37,37
2,7:44.0,,Portland full timeout,37,37
2,7:44.0,,M. Harkless enters the game for J. Layman,37,37
2,7:44.0,,D. Lillard enters the game for N. Stauskas,37,37
2,7:44.0,,C. McCollum enters the game for E. Turner,37,37
2,7:27.0,,D. Lillard makes 2-pt jump shot from 20 ft,37,39
2,7:08.0,Shooting foul by M. Harkless (drawn by J. Okogie),,37,39
2,7:08.0,J. Teague enters the game for T. Jones,,37,39
2,7:08.0,,J. Nurkić enters the game for Z. Collins,37,39
2,7:08.0,J. Okogie misses free throw 1 of 2,,37,39
2,7:08.0,Offensive rebound by Team,,37,39
2,7:08.0,J. Okogie makes free throw 2 of 2,,38,39
2,6:58.0,,M. Harkless misses 2-pt layup from 3 ft (block by K. Towns),38,39
2,6:57.0,,Offensive rebound by J. Nurkić,38,39
2,6:55.0,,A. Aminu misses 3-pt jump shot from 25 ft,38,39
2,6:53.0,,Offensive rebound by M. Harkless,38,39
2,6:40.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),38,42
2,6:28.0,K. Towns makes 2-pt jump shot from 19 ft (assist by D. Rose),,40,42
2,6:22.0,Violation by Team (kicked ball),,40,42
2,6:22.0,T. Gibson enters the game for D. Šarić,,40,42
2,6:15.0,,J. Nurkić makes 2-pt dunk at rim (assist by C. McCollum),40,44
2,5:53.0,D. Rose misses 2-pt jump shot from 11 ft,,40,44
2,5:49.0,Offensive rebound by T. Gibson,,40,44
2,5:49.0,T. Gibson misses 2-pt layup at rim,,40,44
2,5:49.0,,Defensive rebound by D. Lillard,40,44
2,5:45.0,,Turnover by A. Aminu (bad pass; steal by D. Rose),40,44
2,5:36.0,Personal foul by M. Harkless (drawn by J. Teague),,40,44
2,5:26.0,T. Gibson misses 2-pt jump shot from 13 ft,,40,44
2,5:26.0,Offensive rebound by D. Rose,,40,44
2,5:11.0,J. Okogie makes 2-pt jump shot from 19 ft (assist by K. Towns),,42,44
2,4:55.0,,M. Harkless makes 2-pt dunk at rim (assist by A. Aminu),42,46
2,4:36.0,D. Rose misses 2-pt layup from 1 ft (block by J. Nurkić),,42,46
2,4:34.0,,Defensive rebound by D. Lillard,42,46
2,4:30.0,,D. Lillard misses 2-pt jump shot from 16 ft,42,46
2,4:27.0,Defensive rebound by K. Towns,,42,46
2,4:17.0,T. Gibson makes 2-pt jump shot from 11 ft (assist by J. Teague),,44,46
2,4:04.0,,Turnover by J. Nurkić (bad pass; steal by T. Gibson),44,46
2,4:04.0,Minnesota full timeout,,44,46
2,4:04.0,A. Wiggins enters the game for D. Rose,,44,46
2,3:53.0,K. Towns misses 3-pt jump shot from 23 ft,,44,46
2,3:51.0,,Defensive rebound by J. Nurkić,44,46
2,3:47.0,,A. Aminu makes 2-pt dunk at rim (assist by C. McCollum),44,48
2,3:30.0,Turnover by J. Teague (bad pass; steal by J. Nurkić),,44,48
2,3:28.0,,C. McCollum misses 2-pt layup from 2 ft,44,48
2,3:28.0,Defensive rebound by Team,,44,48
2,3:09.0,T. Gibson makes 2-pt layup from 3 ft (assist by K. Towns),,46,48
2,2:57.0,,Turnover by A. Aminu (traveling),46,48
2,2:47.0,Personal foul by M. Harkless (drawn by K. Towns),,46,48
2,2:40.0,T. Gibson misses 2-pt layup from 3 ft,,46,48
2,2:40.0,Offensive rebound by Team,,46,48
2,2:40.0,,J. Layman enters the game for M. Harkless,46,48
2,2:33.0,Shooting foul by J. Layman (drawn by A. Wiggins),,46,48
2,2:33.0,A. Wiggins misses free throw 1 of 2,,46,48
2,2:33.0,Offensive rebound by Team,,46,48
2,2:33.0,A. Wiggins makes free throw 2 of 2,,47,48
2,2:19.0,,Shooting foul by T. Gibson (drawn by J. Nurkić),47,48
2,2:19.0,,J. Nurkić makes free throw 1 of 2,47,49
2,2:19.0,,E. Turner enters the game for J. Layman,47,49
2,2:19.0,,J. Nurkić makes free throw 2 of 2,47,50
2,2:07.0,K. Towns misses 2-pt layup from 2 ft (block by J. Nurkić),,47,50
2,2:05.0,,Defensive rebound by A. Aminu,47,50
2,2:02.0,,Shooting foul by A. Wiggins (drawn by D. Lillard),47,50
2,2:02.0,,D. Lillard makes free throw 1 of 2,47,51
2,2:02.0,,D. Lillard misses free throw 2 of 2,47,51
2,2:00.0,Defensive rebound by K. Towns,,47,51
2,1:51.0,A. Wiggins misses 2-pt jump shot from 17 ft,,47,51
2,1:47.0,Offensive rebound by T. Gibson,,47,51
2,1:47.0,T. Gibson makes 2-pt layup at rim,,49,51
2,1:32.0,,Turnover by J. Nurkić (offensive foul),49,51
2,1:32.0,,Offensive foul by J. Nurkić (drawn by K. Towns),49,51
2,1:20.0,A. Wiggins misses 3-pt jump shot from 25 ft,,49,51
2,1:18.0,,Defensive rebound by A. Aminu,49,51
2,1:06.0,,C. McCollum misses 3-pt jump shot from 26 ft,49,51
2,1:04.0,Defensive rebound by T. Gibson,,49,51
2,0:58.0,Personal foul by D. Lillard (drawn by J. Teague),,49,51
2,0:58.0,J. Teague makes free throw 1 of 2,,50,51
2,0:58.0,J. Teague makes free throw 2 of 2,,51,51
2,0:44.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by E. Turner),51,53
2,0:26.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by C. McCollum),,51,53
2,0:24.0,,Defensive rebound by D. Lillard,51,53
2,0:06.0,,D. Lillard misses 2-pt jump shot from 12 ft,51,53
2,0:03.0,,Offensive rebound by J. Nurkić,51,53
2,0:03.0,,J. Nurkić misses 2-pt layup from 1 ft,51,53
2,0:03.0,,Offensive rebound by J. Nurkić,51,53
2,0:00.0,,C. McCollum misses 2-pt jump shot from 16 ft,51,53
2,0:00.0,,Offensive rebound by Team,51,53
3,11:41.0,Turnover by K. Towns (bad pass; steal by A. Aminu),,51,53
3,11:35.0,,A. Aminu makes 2-pt dunk at rim (assist by C. McCollum),51,55
3,11:26.0,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),,53,55
3,10:57.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by M. Harkless),53,57
3,10:45.0,Shooting foul by A. Aminu (drawn by K. Towns),,53,57
3,10:45.0,K. Towns makes free throw 1 of 2,,54,57
3,10:45.0,K. Towns makes free throw 2 of 2,,55,57
3,10:25.0,,A. Aminu makes 2-pt layup from 4 ft,55,59
3,10:10.0,D. Rose makes 2-pt jump shot from 13 ft (assist by A. Wiggins),,57,59
3,9:55.0,,Shooting foul by D. Rose (drawn by C. McCollum),57,59
3,9:55.0,,C. McCollum makes free throw 1 of 2,57,60
3,9:55.0,,C. McCollum makes free throw 2 of 2,57,61
3,9:38.0,D. Rose misses 2-pt layup from 1 ft (block by M. Harkless),,57,61
3,9:36.0,,Defensive rebound by M. Harkless,57,61
3,9:29.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),57,64
3,9:06.0,Turnover by J. Teague (lost ball; steal by J. Nurkić),,57,64
3,9:01.0,,C. McCollum makes 2-pt layup from 3 ft,57,66
3,9:01.0,Minnesota full timeout,,57,66
3,8:50.0,Shooting foul by M. Harkless (drawn by A. Wiggins),,57,66
3,8:50.0,A. Wiggins makes free throw 1 of 2,,58,66
3,8:50.0,A. Wiggins makes free throw 2 of 2,,59,66
3,8:39.0,,Turnover by J. Nurkić (bad pass; steal by A. Wiggins),59,66
3,8:34.0,D. Rose misses 2-pt layup from 1 ft,,59,66
3,8:30.0,Offensive rebound by T. Gibson,,59,66
3,8:30.0,T. Gibson makes 2-pt layup from 1 ft,,61,66
3,8:20.0,,A. Aminu misses 2-pt layup from 1 ft,61,66
3,8:18.0,,Offensive rebound by J. Nurkić,61,66
3,8:17.0,,J. Nurkić makes 2-pt layup from 1 ft,61,68
3,8:09.0,J. Teague misses 2-pt jump shot from 14 ft,,61,68
3,8:09.0,,Defensive rebound by C. McCollum,61,68
3,8:08.0,,Personal take foul by J. Teague (drawn by C. McCollum),61,68
3,7:53.0,,Turnover by C. McCollum (lost ball; steal by D. Rose),61,68
3,7:48.0,T. Gibson misses 2-pt layup from 1 ft,,61,68
3,7:46.0,Offensive rebound by T. Gibson,,61,68
3,7:45.0,T. Gibson makes 2-pt layup from 2 ft,,63,68
3,7:30.0,,Shooting foul by T. Gibson (drawn by J. Nurkić),63,68
3,7:30.0,,J. Nurkić makes free throw 1 of 2,63,69
3,7:30.0,,J. Nurkić makes free throw 2 of 2,63,70
3,7:17.0,K. Towns misses 3-pt jump shot from 29 ft,,63,70
3,7:13.0,,Defensive rebound by C. McCollum,63,70
3,6:57.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by A. Aminu),63,73
3,6:43.0,Shooting foul by M. Harkless (drawn by T. Gibson),,63,73
3,6:43.0,T. Gibson makes free throw 1 of 2,,64,73
3,6:43.0,,E. Turner enters the game for M. Harkless,64,73
3,6:43.0,T. Gibson makes free throw 2 of 2,,65,73
3,6:24.0,,Shooting foul by T. Gibson (drawn by A. Aminu),65,73
3,6:24.0,,A. Aminu makes free throw 1 of 2,65,74
3,6:24.0,,A. Aminu misses free throw 2 of 2,65,74
3,6:20.0,Defensive rebound by J. Teague,,65,74
3,6:18.0,Offensive foul by J. Teague (drawn by D. Lillard),,65,74
3,6:18.0,Turnover by J. Teague (offensive foul),,65,74
3,6:07.0,,Turnover by D. Lillard (bad pass; steal by K. Towns),65,74
3,6:02.0,D. Rose makes 2-pt layup from 1 ft (assist by J. Teague),,67,74
3,5:48.0,Violation by Team (kicked ball),,67,74
3,5:42.0,,D. Lillard misses 3-pt jump shot from 26 ft,67,74
3,5:40.0,Defensive rebound by A. Wiggins,,67,74
3,5:33.0,A. Wiggins makes 2-pt layup from 1 ft,,69,74
3,5:27.0,,C. McCollum misses 3-pt jump shot from 26 ft,69,74
3,5:27.0,Defensive rebound by K. Towns,,69,74
3,5:18.0,A. Wiggins misses 2-pt jump shot from 10 ft,,69,74
3,5:15.0,Offensive rebound by A. Wiggins,,69,74
3,5:14.0,A. Wiggins makes 2-pt jump shot from 8 ft,,71,74
3,5:14.0,,Portland full timeout,71,74
3,5:00.0,,C. McCollum makes 2-pt jump shot from 6 ft (assist by J. Nurkić),71,76
3,4:44.0,J. Teague makes 2-pt layup from 1 ft,,73,76
3,4:30.0,,A. Aminu misses 3-pt jump shot from 23 ft,73,76
3,4:28.0,Defensive rebound by J. Teague,,73,76
3,4:18.0,Turnover by T. Gibson (lost ball; steal by A. Aminu),,73,76
3,4:14.0,,Offensive foul by J. Nurkić (drawn by K. Towns),73,76
3,4:14.0,,Turnover by J. Nurkić (offensive foul),73,76
3,4:14.0,,Z. Collins enters the game for J. Nurkić,73,76
3,4:02.0,J. Teague misses 2-pt jump shot from 15 ft,,73,76
3,3:59.0,,Defensive rebound by E. Turner,73,76
3,3:39.0,,E. Turner misses 2-pt jump shot from 7 ft,73,76
3,3:37.0,Defensive rebound by K. Towns,,73,76
3,3:28.0,A. Wiggins makes 2-pt jump shot from 14 ft,,75,76
3,3:11.0,,Shooting foul by J. Teague (drawn by D. Lillard),75,76
3,3:11.0,,D. Lillard makes free throw 1 of 2,75,77
3,3:11.0,J. Okogie enters the game for T. Gibson,,75,77
3,3:11.0,D. Šarić enters the game for D. Rose,,75,77
3,3:11.0,,J. Layman enters the game for C. McCollum,75,77
3,3:11.0,,D. Lillard makes free throw 2 of 2,75,78
3,3:02.0,Turnover by J. Teague (bad pass; steal by J. Layman),,75,78
3,2:51.0,,J. Layman misses 3-pt jump shot from 24 ft,75,78
3,2:49.0,Defensive rebound by A. Wiggins,,75,78
3,2:42.0,A. Wiggins misses 2-pt jump shot from 3 ft,,75,78
3,2:40.0,Offensive rebound by K. Towns,,75,78
3,2:39.0,K. Towns misses 2-pt layup from 3 ft,,75,78
3,2:38.0,,Defensive rebound by E. Turner,75,78
3,2:34.0,,D. Lillard misses 3-pt jump shot from 24 ft,75,78
3,2:31.0,Defensive rebound by K. Towns,,75,78
3,2:22.0,J. Teague misses 2-pt layup from 1 ft,,75,78
3,2:22.0,,Defensive rebound by Team,75,78
3,2:22.0,Loose ball foul by K. Towns (drawn by A. Aminu),,75,78
3,2:22.0,,A. Aminu makes free throw 1 of 2,75,79
3,2:22.0,T. Jones enters the game for J. Teague,,75,79
3,2:22.0,,A. Aminu misses free throw 2 of 2,75,79
3,2:19.0,Defensive rebound by D. Šarić,,75,79
3,2:05.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,78,79
3,1:44.0,,J. Layman misses 3-pt jump shot from 25 ft,78,79
3,1:42.0,Defensive rebound by D. Šarić,,78,79
3,1:28.0,K. Towns makes 2-pt hook shot from 4 ft (assist by D. Šarić),,80,79
3,1:11.0,,Offensive foul by Z. Collins (drawn by J. Okogie),80,79
3,1:11.0,,Turnover by Z. Collins (offensive foul),80,79
3,0:53.0,Turnover by A. Wiggins (lost ball; steal by D. Lillard),,80,79
3,0:49.0,,D. Lillard misses 2-pt layup from 1 ft (block by A. Wiggins),80,79
3,0:47.0,Defensive rebound by T. Jones,,80,79
3,0:36.0,A. Wiggins misses 3-pt jump shot from 25 ft,,80,79
3,0:33.0,,Defensive rebound by D. Lillard,80,79
3,0:15.0,,Personal foul by J. Okogie (drawn by D. Lillard),80,79
3,0:15.0,,D. Lillard makes free throw 1 of 2,80,80
3,0:15.0,,D. Lillard makes free throw 2 of 2,80,81
3,0:06.0,Personal take foul by E. Turner (drawn by A. Wiggins),,80,81
3,0:03.0,K. Towns misses 3-pt jump shot from 25 ft,,80,81
3,0:00.0,,Defensive rebound by D. Lillard,80,81
4,11:47.0,,E. Turner makes 2-pt jump shot from 8 ft,80,83
4,11:32.0,G. Dieng makes 2-pt jump shot from 11 ft (assist by D. Rose),,82,83
4,11:13.0,,E. Turner misses 2-pt jump shot from 9 ft,82,83
4,11:11.0,Defensive rebound by G. Dieng,,82,83
4,11:02.0,D. Rose misses 2-pt jump shot from 18 ft,,82,83
4,11:00.0,,Defensive rebound by Z. Collins,82,83
4,10:48.0,,E. Turner makes 2-pt layup from 1 ft,82,85
4,10:29.0,D. Šarić makes 2-pt jump shot from 17 ft (assist by D. Rose),,84,85
4,10:06.0,,J. Layman misses 2-pt jump shot from 19 ft (block by J. Okogie),84,85
4,10:03.0,Defensive rebound by D. Rose,,84,85
4,10:02.0,J. Okogie misses 2-pt layup from 2 ft,,84,85
4,10:01.0,,Defensive rebound by M. Leonard,84,85
4,9:47.0,,E. Turner makes 2-pt jump shot from 18 ft,84,87
4,9:26.0,D. Rose makes 2-pt jump shot from 11 ft (assist by D. Šarić),,86,87
4,9:07.0,,J. Layman makes 2-pt layup from 2 ft (assist by N. Stauskas),86,89
4,8:54.0,G. Dieng makes 2-pt layup from 1 ft (assist by D. Rose),,88,89
4,8:38.0,,N. Stauskas misses 2-pt jump shot from 14 ft,88,89
4,8:36.0,,Offensive rebound by Z. Collins,88,89
4,8:35.0,,Z. Collins makes 2-pt layup from 2 ft,88,91
4,8:20.0,D. Rose makes 2-pt jump shot from 16 ft,,90,91
4,7:59.0,Violation by Team (kicked ball),,90,91
4,7:59.0,,C. McCollum enters the game for J. Layman,90,91
4,7:49.0,,C. McCollum misses 2-pt jump shot from 18 ft,90,91
4,7:47.0,Defensive rebound by T. Jones,,90,91
4,7:34.0,J. Okogie makes 3-pt jump shot from 25 ft (assist by D. Rose),,93,91
4,7:18.0,,M. Leonard misses 2-pt jump shot from 15 ft,93,91
4,7:15.0,Defensive rebound by D. Šarić,,93,91
4,7:07.0,D. Rose misses 2-pt jump shot from 18 ft,,93,91
4,7:05.0,,Defensive rebound by E. Turner,93,91
4,6:59.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by E. Turner),93,94
4,6:40.0,Turnover by D. Rose (bad pass; steal by C. McCollum),,93,94
4,6:40.0,,Personal take foul by G. Dieng (drawn by C. McCollum),93,94
4,6:40.0,,Portland full timeout,93,94
4,6:40.0,,M. Harkless enters the game for N. Stauskas,93,94
4,6:40.0,,D. Lillard enters the game for E. Turner,93,94
4,6:25.0,,C. McCollum misses 2-pt jump shot from 11 ft (block by D. Rose),93,94
4,6:23.0,Defensive rebound by G. Dieng,,93,94
4,6:03.0,J. Okogie makes 2-pt layup from 2 ft,,95,94
4,5:37.0,,M. Harkless misses 2-pt layup from 2 ft (block by G. Dieng),95,94
4,5:37.0,,Offensive rebound by D. Lillard,95,94
4,5:37.0,,Turnover by Team (shot clock),95,94
4,5:37.0,,J. Nurkić enters the game for M. Leonard,95,94
4,5:26.0,D. Rose makes 2-pt jump shot from 20 ft,,97,94
4,5:00.0,,D. Lillard misses 3-pt jump shot from 26 ft,97,94
4,4:57.0,,Offensive rebound by J. Nurkić,97,94
