QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
1,0:30.0,Defensive rebound by A. Iguodala,,25,17
1,0:25.0,S. Curry misses 2-pt layup from 2 ft,,25,17
1,0:23.0,,Defensive rebound by M. Plumlee,25,17
1,0:03.0,,G. Harris misses 3-pt jump shot from 24 ft,25,17
1,0:03.0,Defensive rebound by J. Jerebko,,25,17
2,12:00.0,,Violation by Team (delay of game),25,17
2,11:41.0,,M. Morris misses 2-pt jump shot from 7 ft,25,17
2,11:39.0,,Offensive rebound by Team,25,17
2,11:39.0,Loose ball foul by D. Green (drawn by M. Plumlee),,25,17
2,11:38.0,,Personal foul by Q. Cook (drawn by M. Morris),25,17
2,11:26.0,,T. Lyles makes 2-pt jump shot from 17 ft (assist by M. Morris),25,19
2,11:10.0,K. Thompson misses 2-pt jump shot from 19 ft,,25,19
2,11:07.0,,Defensive rebound by J. Hernangómez,25,19
2,11:01.0,,T. Lyles misses 3-pt jump shot from 26 ft,25,19
2,10:59.0,Defensive rebound by Team,,25,19
2,10:41.0,Turnover by J. Jerebko (bad pass; steal by G. Harris),,25,19
2,10:37.0,,G. Harris makes 2-pt jump shot from 22 ft (assist by T. Lyles),25,21
2,10:35.0,Golden State full timeout,,25,21
2,10:21.0,J. Jerebko makes 2-pt jump shot from 16 ft (assist by D. Green),,27,21
2,10:05.0,,G. Harris misses 2-pt jump shot from 10 ft,27,21
2,10:00.0,,Offensive rebound by M. Plumlee,27,21
2,10:00.0,,M. Plumlee misses 2-pt layup from 1 ft,27,21
2,9:59.0,Defensive rebound by D. Green,,27,21
2,9:47.0,Shooting foul by M. Morris (drawn by J. Jerebko),,27,21
2,9:47.0,J. Jerebko makes free throw 1 of 3,,28,21
2,9:47.0,J. Jerebko makes free throw 2 of 3,,29,21
2,9:47.0,J. Jerebko makes free throw 3 of 3,,30,21
2,9:30.0,,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),30,23
2,9:11.0,K. Thompson misses 2-pt jump shot from 20 ft,,30,23
2,9:10.0,,Defensive rebound by Team,30,23
2,9:10.0,Loose ball foul by J. Jerebko (drawn by M. Plumlee),,30,23
2,9:10.0,K. Durant enters the game for A. Iguodala,,30,23
2,9:01.0,,Offensive foul by M. Plumlee (drawn by D. Green),30,23
2,9:01.0,,Turnover by M. Plumlee (offensive foul),30,23
2,8:52.0,Turnover by K. Durant (bad pass; steal by M. Plumlee),,30,23
2,8:48.0,,M. Plumlee makes 2-pt dunk from 1 ft,30,25
2,8:28.0,K. Durant misses 3-pt jump shot from 24 ft,,30,25
2,8:25.0,Offensive rebound by J. Jerebko,,30,25
2,8:22.0,K. Thompson misses 3-pt jump shot from 27 ft,,30,25
2,8:19.0,Offensive rebound by D. Green,,30,25
2,8:18.0,Q. Cook misses 3-pt jump shot from 23 ft,,30,25
2,8:18.0,Offensive rebound by Team,,30,25
2,8:16.0,,Loose ball foul by G. Harris (drawn by J. Jerebko),30,25
2,8:16.0,K. Looney enters the game for J. Jerebko,,30,25
2,8:11.0,K. Thompson misses 3-pt jump shot from 25 ft,,30,25
2,8:11.0,Offensive rebound by Team,,30,25
2,8:10.0,,Loose ball foul by G. Harris (drawn by D. Green),30,25
2,7:59.0,K. Durant makes 2-pt jump shot from 13 ft,,32,25
2,7:45.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by T. Lyles),32,28
2,7:33.0,Turnover by K. Thompson (step out of bounds),,32,28
2,7:22.0,,T. Lyles misses 3-pt jump shot from 25 ft,32,28
2,7:18.0,Defensive rebound by K. Thompson,,32,28
2,7:13.0,Turnover by K. Thompson (bad pass; steal by T. Lyles),,32,28
2,7:06.0,,M. Morris misses 3-pt jump shot from 25 ft,32,28
2,7:04.0,,Offensive rebound by T. Lyles,32,28
2,7:04.0,,Shooting foul by D. Green (drawn by T. Lyles),32,28
2,7:04.0,,T. Lyles misses free throw 1 of 2,32,28
2,7:04.0,,Offensive rebound by Team,32,28
2,7:04.0,J. Bell enters the game for D. Green,,32,28
2,7:04.0,,T. Craig enters the game for G. Harris,32,28
2,7:04.0,,T. Lyles misses free throw 2 of 2,32,28
2,7:00.0,Defensive rebound by K. Durant,,32,28
2,6:56.0,K. Durant makes 2-pt layup from 2 ft,,34,28
2,6:46.0,,M. Morris makes 2-pt layup from 3 ft,34,30
2,6:21.0,K. Durant makes 2-pt jump shot from 5 ft,,36,30
2,6:07.0,,Shooting foul by J. Bell (drawn by T. Lyles),36,30
2,6:07.0,,T. Lyles makes free throw 1 of 2,36,31
2,6:07.0,S. Curry enters the game for K. Thompson,,36,31
2,6:07.0,,N. Jokić enters the game for M. Morris,36,31
2,6:07.0,,J. Murray enters the game for M. Plumlee,36,31
2,6:07.0,,T. Lyles makes free throw 2 of 2,36,32
2,5:49.0,Shooting foul by J. Murray (drawn by K. Looney),,36,32
2,5:49.0,K. Looney makes free throw 1 of 2,,37,32
2,5:49.0,A. Iguodala enters the game for Q. Cook,,37,32
2,5:49.0,,P. Millsap enters the game for T. Lyles,37,32
2,5:49.0,K. Looney makes free throw 2 of 2,,38,32
2,5:33.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,38,32
2,5:32.0,,Offensive rebound by Team,38,32
2,5:27.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by J. Murray),38,34
2,5:12.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),,41,34
2,5:12.0,Shooting foul by J. Murray (drawn by S. Curry),,41,34
2,5:12.0,,G. Harris enters the game for J. Hernangómez,41,34
2,5:12.0,S. Curry makes free throw 1 of 1,,42,34
2,5:01.0,,Personal foul by A. Iguodala (drawn by N. Jokić),42,34
2,5:01.0,,N. Jokić makes free throw 1 of 2,42,35
2,5:01.0,,N. Jokić makes free throw 2 of 2,42,36
2,4:52.0,K. Durant misses 2-pt jump shot from 11 ft,,42,36
2,4:49.0,,Defensive rebound by P. Millsap,42,36
2,4:45.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by T. Craig),42,39
2,4:30.0,S. Curry misses 2-pt layup from 4 ft,,42,39
2,4:30.0,Offensive rebound by Team,,42,39
2,4:30.0,,Loose ball foul by J. Murray (drawn by J. Bell),42,39
2,4:30.0,J. Bell makes free throw 1 of 2,,43,39
2,4:30.0,,M. Morris enters the game for J. Murray,43,39
2,4:30.0,J. Bell makes free throw 2 of 2,,44,39
2,4:10.0,,M. Morris misses 2-pt layup from 2 ft (block by K. Looney),44,39
2,4:07.0,,Offensive rebound by P. Millsap,44,39
2,4:07.0,,P. Millsap misses 2-pt jump shot from 10 ft (block by K. Looney),44,39
2,4:06.0,Defensive rebound by Team,,44,39
2,3:59.0,S. Curry misses 3-pt jump shot from 24 ft,,44,39
2,3:55.0,Offensive rebound by K. Looney,,44,39
2,3:43.0,K. Durant misses 2-pt jump shot from 11 ft,,44,39
2,3:40.0,,Defensive rebound by P. Millsap,44,39
2,3:35.0,,Shooting foul by K. Looney (drawn by P. Millsap),44,39
2,3:35.0,,P. Millsap misses free throw 1 of 2,44,39
2,3:35.0,,Offensive rebound by Team,44,39
2,3:35.0,K. Thompson enters the game for J. Bell,,44,39
2,3:35.0,,P. Millsap misses free throw 2 of 2,44,39
2,3:31.0,Defensive rebound by K. Looney,,44,39
2,3:25.0,Turnover by S. Curry (bad pass; steal by G. Harris),,44,39
2,3:21.0,,G. Harris makes 2-pt dunk from 1 ft,44,41
2,3:05.0,S. Curry misses 2-pt layup from 1 ft (block by T. Craig),,44,41
2,3:05.0,,Defensive rebound by M. Morris,44,41
2,2:55.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),44,43
2,2:31.0,Shooting foul by T. Craig (drawn by K. Durant),,44,43
2,2:31.0,,Denver full timeout,44,43
2,2:31.0,K. Durant makes free throw 1 of 2,,45,43
2,2:31.0,K. Durant makes free throw 2 of 2,,46,43
2,2:18.0,,N. Jokić misses 2-pt jump shot from 19 ft,46,43
2,2:14.0,Defensive rebound by S. Curry,,46,43
2,1:58.0,K. Thompson misses 3-pt jump shot from 24 ft,,46,43
2,1:55.0,,Defensive rebound by M. Morris,46,43
2,1:50.0,,G. Harris misses 3-pt jump shot from 24 ft,46,43
2,1:46.0,Defensive rebound by A. Iguodala,,46,43
2,1:38.0,Turnover by K. Durant (lost ball; steal by P. Millsap),,46,43
2,1:29.0,,G. Harris makes 2-pt layup from 2 ft,46,45
2,1:10.0,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),,48,45
2,0:51.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Morris),48,47
2,0:30.0,Shooting foul by T. Craig (drawn by K. Durant),,48,47
2,0:30.0,K. Durant makes free throw 1 of 2,,49,47
2,0:30.0,A. McKinnie enters the game for A. Iguodala,,49,47
2,0:30.0,,J. Hernangómez enters the game for T. Craig,49,47
2,0:30.0,K. Durant misses free throw 2 of 2,,49,47
2,0:29.0,,Defensive rebound by N. Jokić,49,47
2,0:21.0,,Personal foul by S. Curry (drawn by M. Morris),49,47
2,0:21.0,,M. Morris misses free throw 1 of 2,49,47
2,0:21.0,,Offensive rebound by Team,49,47
2,0:21.0,Q. Cook enters the game for K. Looney,,49,47
2,0:21.0,J. Jerebko enters the game for A. McKinnie,,49,47
2,0:21.0,,M. Beasley enters the game for G. Harris,49,47
2,0:21.0,,M. Plumlee enters the game for N. Jokić,49,47
2,0:21.0,,M. Morris misses free throw 2 of 2,49,47
2,0:19.0,Defensive rebound by Team,,49,47
2,0:02.0,K. Durant misses 2-pt layup from 4 ft (block by P. Millsap),,49,47
2,0:02.0,,Defensive rebound by M. Morris,49,47
3,11:43.0,,N. Jokić misses 2-pt layup from 4 ft (block by D. Jones),49,47
3,11:40.0,Defensive rebound by K. Durant,,49,47
3,11:19.0,K. Thompson misses 2-pt jump shot from 9 ft,,49,47
3,11:18.0,,Defensive rebound by Team,49,47
3,11:00.0,,Turnover by P. Millsap (lost ball; steal by K. Thompson),49,47
3,10:52.0,Turnover by K. Durant (step out of bounds),,49,47
3,10:49.0,,G. Harris misses 3-pt jump shot from 25 ft,49,47
3,10:46.0,,Offensive rebound by T. Craig,49,47
3,10:43.0,,P. Millsap makes 2-pt jump shot from 4 ft (assist by T. Craig),49,49
3,10:27.0,Personal foul by P. Millsap (drawn by K. Durant),,49,49
3,10:21.0,S. Curry misses 3-pt jump shot from 25 ft,,49,49
3,10:18.0,,Defensive rebound by T. Craig,49,49
3,10:14.0,,Personal foul by D. Jones (drawn by N. Jokić),49,49
3,9:58.0,,J. Murray misses 3-pt jump shot from 26 ft,49,49
3,9:53.0,Defensive rebound by S. Curry,,49,49
3,9:49.0,K. Thompson makes 2-pt jump shot from 16 ft,,51,49
3,9:26.0,,Shooting foul by K. Durant (drawn by G. Harris),51,49
3,9:26.0,,G. Harris makes free throw 1 of 2,51,50
3,9:26.0,,G. Harris makes free throw 2 of 2,51,51
3,9:11.0,D. Green misses 3-pt jump shot from 25 ft,,51,51
3,9:08.0,,Defensive rebound by T. Craig,51,51
3,8:54.0,,T. Craig misses 3-pt jump shot from 24 ft,51,51
3,8:51.0,Defensive rebound by D. Green,,51,51
3,8:44.0,K. Thompson makes 2-pt jump shot from 8 ft (assist by D. Green),,53,51
3,8:24.0,,N. Jokić makes 2-pt layup from 3 ft,53,53
3,8:16.0,S. Curry makes 2-pt layup from 4 ft,,55,53
3,8:10.0,,Personal foul by S. Curry (drawn by N. Jokić),55,53
3,8:10.0,,M. Morris enters the game for J. Murray,55,53
3,7:51.0,,G. Harris makes 2-pt jump shot from 14 ft,55,55
3,7:36.0,S. Curry misses 3-pt jump shot from 25 ft,,55,55
3,7:35.0,,Defensive rebound by T. Craig,55,55
3,7:30.0,,N. Jokić misses 2-pt layup from 2 ft,55,55
3,7:28.0,,Offensive rebound by N. Jokić,55,55
3,7:26.0,,P. Millsap misses 3-pt jump shot from 23 ft,55,55
3,7:26.0,Defensive rebound by K. Thompson,,55,55
3,7:14.0,K. Durant misses 2-pt layup from 7 ft (block by G. Harris),,55,55
3,7:14.0,Offensive rebound by Team,,55,55
3,7:14.0,Technical foul by K. Durant,,55,55
3,7:14.0,,N. Jokić makes technical free throw,55,56
3,7:12.0,K. Durant makes 2-pt jump shot from 6 ft (assist by S. Curry),,57,56
3,6:55.0,,G. Harris misses 2-pt layup from 4 ft,57,56
3,6:54.0,,Offensive rebound by G. Harris,57,56
3,6:50.0,,G. Harris makes 2-pt layup from 2 ft,57,58
3,6:43.0,K. Durant misses 3-pt jump shot from 25 ft,,57,58
3,6:40.0,,Defensive rebound by P. Millsap,57,58
3,6:36.0,,T. Craig misses 3-pt jump shot from 24 ft,57,58
3,6:33.0,Defensive rebound by K. Thompson,,57,58
3,6:25.0,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),,59,58
3,6:11.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by P. Millsap),59,61
3,5:55.0,K. Thompson misses 3-pt jump shot from 25 ft,,59,61
3,5:53.0,D. Jones makes 2-pt dunk from 1 ft,,61,61
3,5:53.0,Offensive rebound by D. Jones,,61,61
3,5:53.0,,Denver full timeout,61,61
3,5:53.0,K. Looney enters the game for D. Green,,61,61
3,5:53.0,,J. Hernangómez enters the game for T. Craig,61,61
3,5:53.0,,T. Lyles enters the game for P. Millsap,61,61
3,5:40.0,,G. Harris makes 2-pt jump shot from 6 ft (assist by N. Jokić),61,63
3,5:24.0,K. Durant misses 2-pt jump shot from 20 ft,,61,63
3,5:21.0,,Defensive rebound by N. Jokić,61,63
3,5:18.0,,J. Hernangómez makes 2-pt dunk from 1 ft (assist by N. Jokić),61,65
3,5:18.0,A. Iguodala enters the game for D. Jones,,61,65
3,5:18.0,,J. Murray enters the game for N. Jokić,61,65
3,5:18.0,,M. Plumlee enters the game for M. Morris,61,65
3,4:54.0,,Violation by Team (kicked ball),61,65
3,4:45.0,K. Looney makes 2-pt layup from 2 ft (assist by A. Iguodala),,63,65
3,4:25.0,,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),63,67
3,4:19.0,Personal foul by J. Murray (drawn by S. Curry),,63,67
3,4:19.0,Q. Cook enters the game for K. Thompson,,63,67
3,4:19.0,,M. Morris enters the game for J. Murray,63,67
3,4:15.0,S. Curry misses 3-pt jump shot from 23 ft,,63,67
3,4:12.0,,Defensive rebound by M. Morris,63,67
3,4:09.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Morris),63,70
3,3:55.0,S. Curry makes 2-pt jump shot from 20 ft,,65,70
3,3:38.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Lyles),65,73
3,3:29.0,Personal foul by G. Harris (drawn by A. Iguodala),,65,73
3,3:29.0,D. Green enters the game for K. Durant,,65,73
3,3:19.0,D. Green misses 2-pt jump shot from 20 ft,,65,73
3,3:15.0,,Defensive rebound by T. Lyles,65,73
3,2:57.0,,Turnover by M. Morris (traveling),65,73
3,2:57.0,Golden State full timeout,,65,73
3,2:57.0,,M. Beasley enters the game for G. Harris,65,73
3,2:40.0,Turnover by S. Curry (bad pass; steal by M. Beasley),,65,73
3,2:37.0,,Turnover by M. Beasley (bad pass),65,73
3,2:32.0,S. Curry misses 3-pt jump shot from 27 ft,,65,73
3,2:30.0,,Defensive rebound by T. Lyles,65,73
3,2:09.0,,T. Lyles misses 3-pt jump shot from 25 ft,65,73
3,2:06.0,,Offensive rebound by M. Beasley,65,73
3,2:03.0,,M. Morris misses 3-pt jump shot from 24 ft,65,73
3,1:59.0,Defensive rebound by K. Looney,,65,73
3,1:52.0,D. Green misses 2-pt jump shot from 6 ft,,65,73
3,1:50.0,Offensive rebound by K. Looney,,65,73
3,1:49.0,K. Looney makes 2-pt layup from 1 ft,,67,73
3,1:29.0,,M. Plumlee makes 2-pt jump shot from 3 ft (assist by M. Morris),67,75
3,1:19.0,Personal foul by M. Beasley (drawn by K. Looney),,67,75
3,1:15.0,Offensive foul by D. Green (drawn by M. Morris),,67,75
3,1:15.0,Turnover by D. Green (offensive foul),,67,75
3,1:02.0,,M. Morris misses 2-pt jump shot from 11 ft,67,75
3,0:59.0,Defensive rebound by A. Iguodala,,67,75
3,0:53.0,S. Curry makes 3-pt jump shot from 22 ft (assist by A. Iguodala),,70,75
3,0:37.0,,M. Plumlee makes 2-pt layup from 1 ft,70,77
3,0:37.0,,Shooting foul by K. Looney (drawn by M. Plumlee),70,77
3,0:37.0,,M. Plumlee makes free throw 1 of 1,70,78
3,0:33.0,S. Curry misses 3-pt jump shot from 27 ft,,70,78
3,0:29.0,,Defensive rebound by M. Morris,70,78
3,0:12.0,,M. Morris makes 2-pt layup from 3 ft,70,80
3,0:00.0,Turnover by K. Looney (lost ball; steal by T. Lyles),,70,80
4,11:46.0,Personal foul by M. Plumlee (drawn by A. Iguodala),,70,80
4,11:37.0,K. Durant misses 3-pt jump shot from 25 ft,,70,80
4,11:33.0,,Defensive rebound by J. Hernangómez,70,80
4,11:15.0,,Turnover by T. Lyles (lost ball; steal by D. Green),70,80
4,11:14.0,Personal take foul by M. Morris (drawn by A. Iguodala),,70,80
4,11:06.0,J. Jerebko misses 3-pt jump shot from 25 ft,,70,80
4,11:02.0,,Defensive rebound by M. Beasley,70,80
4,10:51.0,,Turnover by M. Plumlee (bad pass; steal by A. Iguodala),70,80
4,10:45.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,73,80
4,10:43.0,,Denver full timeout,73,80
4,10:43.0,,N. Jokić enters the game for M. Morris,73,80
4,10:43.0,,J. Murray enters the game for M. Plumlee,73,80
4,10:27.0,,M. Beasley misses 2-pt layup from 5 ft (block by K. Thompson),73,80
4,10:23.0,,Offensive rebound by N. Jokić,73,80
4,10:21.0,,N. Jokić makes 2-pt layup from 7 ft,73,82
4,9:58.0,Turnover by Team (shot clock),,73,82
4,9:45.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),73,84
4,9:29.0,K. Durant makes 2-pt layup from 2 ft,,75,84
4,9:29.0,Shooting foul by N. Jokić (drawn by K. Durant),,75,84
4,9:29.0,D. Jones enters the game for J. Jerebko,,75,84
4,9:29.0,K. Durant makes free throw 1 of 1,,76,84
4,9:06.0,,Shooting foul by A. Iguodala (drawn by N. Jokić),76,84
4,9:06.0,,N. Jokić makes free throw 1 of 3,76,85
4,9:06.0,,N. Jokić makes free throw 2 of 3,76,86
4,9:06.0,,N. Jokić makes free throw 3 of 3,76,87
4,9:06.0,S. Curry enters the game for A. Iguodala,,76,87
4,8:55.0,K. Durant misses 3-pt jump shot from 25 ft,,76,87
4,8:50.0,,Defensive rebound by N. Jokić,76,87
4,8:28.0,,N. Jokić makes 2-pt jump shot from 17 ft,76,89
4,8:16.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,79,89
4,7:50.0,,T. Lyles misses 3-pt jump shot from 25 ft,79,89
4,7:50.0,,Offensive rebound by Team,79,89
4,7:50.0,,Turnover by Team (shot clock),79,89
4,7:50.0,,G. Harris enters the game for M. Beasley,79,89
4,7:36.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),,82,89
4,7:20.0,,Personal foul by K. Thompson (drawn by N. Jokić),82,89
