QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA LAKERS_ACTION,GOLDEN STATE_SCORE,LA LAKERS_SCORE
1,6:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,17,6
1,6:23.0,Defensive rebound by K. Durant,,17,6
1,6:16.0,K. Durant makes 3-pt jump shot from 26 ft,,20,6
1,6:06.0,,Shooting foul by D. Cousins (drawn by R. Rondo),20,6
1,6:06.0,,R. Rondo misses free throw 1 of 2,20,6
1,6:06.0,,Offensive rebound by Team,20,6
1,6:06.0,,L. Stephenson enters the game for A. Caruso,20,6
1,6:06.0,,R. Rondo misses free throw 2 of 2,20,6
1,6:04.0,Defensive rebound by D. Cousins,,20,6
1,5:48.0,D. Cousins makes 2-pt jump shot from 4 ft (assist by K. Durant),,22,6
1,5:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,22,6
1,5:36.0,,Offensive rebound by J. McGee,22,6
1,5:36.0,,J. McGee misses 2-pt layup from 1 ft,22,6
1,5:35.0,Defensive rebound by D. Cousins,,22,6
1,5:29.0,Turnover by D. Green (lost ball; steal by L. Stephenson),,22,6
1,5:25.0,,R. Rondo makes 2-pt dunk from 2 ft (assist by L. Stephenson),22,8
1,5:19.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,25,8
1,5:01.0,,J. McGee misses 2-pt hook shot from 4 ft,25,8
1,4:55.0,,Offensive rebound by J. McGee,25,8
1,4:54.0,,Turnover by J. McGee (lost ball; steal by S. Curry),25,8
1,4:51.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,27,8
1,4:45.0,,R. Rondo misses 2-pt layup from 2 ft,27,8
1,4:45.0,Defensive rebound by D. Cousins,,27,8
1,4:44.0,Personal take foul by K. Caldwell-Pope (drawn by K. Durant),,27,8
1,4:44.0,K. Looney enters the game for D. Cousins,,27,8
1,4:44.0,A. McKinnie enters the game for K. Thompson,,27,8
1,4:44.0,,M. Muscala enters the game for J. McGee,27,8
1,4:42.0,Offensive foul by K. Durant (drawn by K. Caldwell-Pope),,27,8
1,4:42.0,Turnover by K. Durant (offensive foul),,27,8
1,4:27.0,,R. Rondo misses 3-pt jump shot from 26 ft,27,8
1,4:23.0,Defensive rebound by A. McKinnie,,27,8
1,4:19.0,S. Curry misses 3-pt jump shot from 30 ft,,27,8
1,4:12.0,Offensive rebound by K. Looney,,27,8
1,4:12.0,K. Looney makes 2-pt layup at rim,,29,8
1,4:04.0,,Turnover by L. Stephenson (bad pass; steal by D. Green),29,8
1,3:56.0,A. McKinnie makes 2-pt dunk from 2 ft (assist by K. Durant),,31,8
1,3:56.0,,LA Lakers full timeout,31,8
1,3:56.0,,A. Caruso enters the game for K. Caldwell-Pope,31,8
1,3:56.0,,J. Williams enters the game for M. Wagner,31,8
1,3:43.0,,Personal foul by D. Green (drawn by M. Muscala),31,8
1,3:32.0,,A. Caruso misses 2-pt jump shot from 8 ft,31,8
1,3:29.0,Defensive rebound by S. Curry,,31,8
1,3:26.0,Turnover by K. Durant (bad pass; steal by A. Caruso),,31,8
1,3:21.0,,L. Stephenson misses 3-pt jump shot from 25 ft,31,8
1,3:17.0,Defensive rebound by S. Curry,,31,8
1,2:59.0,A. McKinnie makes 3-pt jump shot from 23 ft (assist by S. Curry),,34,8
1,2:38.0,,M. Muscala misses 2-pt layup from 2 ft,34,8
1,2:35.0,,Offensive rebound by J. Williams,34,8
1,2:35.0,,J. Williams misses 2-pt layup from 1 ft,34,8
1,2:34.0,Defensive rebound by S. Curry,,34,8
1,2:27.0,Turnover by S. Curry (lost ball; steal by J. Williams),,34,8
1,2:23.0,,J. Williams makes 2-pt dunk at rim (assist by A. Caruso),34,10
1,2:08.0,K. Durant makes 3-pt jump shot from 25 ft (assist by D. Green),,37,10
1,1:48.0,,L. Stephenson misses 3-pt jump shot from 26 ft,37,10
1,1:45.0,Defensive rebound by A. McKinnie,,37,10
1,1:34.0,K. Durant misses 3-pt jump shot from 30 ft,,37,10
1,1:30.0,,Defensive rebound by R. Rondo,37,10
1,1:24.0,,R. Rondo makes 2-pt layup from 1 ft,37,12
1,1:07.0,S. Curry misses 3-pt jump shot from 30 ft,,37,12
1,1:03.0,,Defensive rebound by M. Muscala,37,12
1,0:55.0,,R. Rondo misses 3-pt jump shot from 29 ft,37,12
1,0:53.0,Defensive rebound by S. Curry,,37,12
1,0:51.0,Turnover by S. Curry (bad pass; steal by R. Rondo),,37,12
1,0:40.0,,A. Caruso misses 2-pt layup from 3 ft,37,12
1,0:38.0,Defensive rebound by S. Curry,,37,12
1,0:26.0,D. Green misses 2-pt layup from 2 ft,,37,12
1,0:25.0,Offensive rebound by K. Looney,,37,12
1,0:25.0,K. Looney misses 2-pt layup at rim,,37,12
1,0:25.0,Offensive rebound by K. Looney,,37,12
1,0:23.0,K. Looney makes 2-pt layup at rim,,39,12
1,0:02.0,,R. Rondo misses 2-pt layup from 3 ft,39,12
1,0:02.0,,Offensive rebound by Team,39,12
2,11:46.0,,J. Williams makes 2-pt dunk from 1 ft (assist by M. Muscala),39,14
2,11:30.0,K. Thompson misses 3-pt jump shot from 26 ft,,39,14
2,11:27.0,,Defensive rebound by J. Williams,39,14
2,11:22.0,,Personal foul by A. McKinnie (drawn by J. Williams),39,14
2,11:14.0,,Turnover by J. Williams (out of bounds lost ball),39,14
2,10:56.0,Q. Cook misses 3-pt jump shot from 25 ft,,39,14
2,10:51.0,Offensive rebound by J. Jerebko,,39,14
2,10:39.0,D. Cousins misses 3-pt jump shot from 29 ft,,39,14
2,10:35.0,,Defensive rebound by J. Jones,39,14
2,10:31.0,,J. Williams makes 2-pt dunk from 1 ft (assist by J. Jones),39,16
2,10:23.0,Personal foul by L. Stephenson (drawn by D. Cousins),,39,16
2,10:10.0,A. McKinnie misses 3-pt jump shot from 25 ft,,39,16
2,10:06.0,,Defensive rebound by M. Muscala,39,16
2,9:59.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by L. Stephenson),39,19
2,9:48.0,J. Jerebko misses 2-pt layup from 2 ft (block by L. Stephenson),,39,19
2,9:46.0,Offensive rebound by Team,,39,19
2,9:40.0,Turnover by Q. Cook (bad pass; steal by J. Jones),,39,19
2,9:36.0,,A. Caruso misses 2-pt dunk from 2 ft (block by J. Jerebko),39,19
2,9:36.0,,Offensive rebound by J. Williams,39,19
2,9:36.0,,Shooting foul by A. McKinnie (drawn by J. Williams),39,19
2,9:36.0,,J. Williams misses free throw 1 of 2,39,19
2,9:36.0,,Offensive rebound by Team,39,19
2,9:36.0,,J. Williams makes free throw 2 of 2,39,20
2,9:22.0,Q. Cook misses 3-pt jump shot from 27 ft,,39,20
2,9:18.0,,Defensive rebound by J. Jones,39,20
2,9:13.0,,A. Caruso misses 3-pt jump shot from 26 ft,39,20
2,9:08.0,Defensive rebound by Q. Cook,,39,20
2,9:04.0,Q. Cook makes 2-pt layup from 2 ft,,41,20
2,8:49.0,,J. Williams makes 2-pt layup from 4 ft (assist by A. Caruso),41,22
2,8:37.0,Turnover by J. Jerebko (lost ball; steal by M. Muscala),,41,22
2,8:28.0,,A. Caruso misses 2-pt layup from 3 ft,41,22
2,8:25.0,Defensive rebound by A. McKinnie,,41,22
2,8:22.0,Q. Cook makes 2-pt layup from 1 ft,,43,22
2,8:10.0,,Turnover by L. Stephenson (bad pass; steal by J. Jerebko),43,22
2,8:09.0,,Violation by Team (kicked ball),43,22
2,8:09.0,K. Durant enters the game for A. McKinnie,,43,22
2,7:59.0,D. Cousins misses 2-pt jump shot from 17 ft,,43,22
2,7:55.0,,Defensive rebound by M. Muscala,43,22
2,7:54.0,,Turnover by L. Stephenson (bad pass),43,22
2,7:54.0,,K. Caldwell-Pope enters the game for L. Stephenson,43,22
2,7:49.0,Q. Cook misses 3-pt jump shot from 26 ft,,43,22
2,7:47.0,Offensive rebound by D. Cousins,,43,22
2,7:47.0,D. Cousins makes 2-pt layup at rim,,45,22
2,7:47.0,Shooting foul by J. Williams (drawn by D. Cousins),,45,22
2,7:47.0,D. Cousins misses free throw 1 of 1,,45,22
2,7:45.0,,Defensive rebound by J. Williams,45,22
2,7:34.0,,J. Jones makes 2-pt layup from 1 ft (assist by A. Caruso),45,24
2,7:23.0,Turnover by K. Durant (bad pass; steal by K. Caldwell-Pope),,45,24
2,7:19.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,45,24
2,7:17.0,Defensive rebound by J. Jerebko,,45,24
2,7:13.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,48,24
2,6:57.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft,48,24
2,6:48.0,,Offensive rebound by J. Williams,48,24
2,6:48.0,,J. Williams misses 2-pt layup from 1 ft,48,24
2,6:47.0,Defensive rebound by D. Cousins,,48,24
2,6:46.0,Q. Cook makes 2-pt layup from 2 ft,,50,24
2,6:34.0,,J. Williams misses 2-pt jump shot from 16 ft,50,24
2,6:30.0,,Offensive rebound by K. Caldwell-Pope,50,24
2,6:27.0,,K. Caldwell-Pope misses 2-pt jump shot from 2 ft,50,24
2,6:24.0,Defensive rebound by D. Cousins,,50,24
2,6:16.0,J. Jerebko misses 3-pt jump shot from 26 ft,,50,24
2,6:16.0,,Defensive rebound by M. Muscala,50,24
2,6:09.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by A. Caruso),50,27
2,5:50.0,D. Cousins misses 3-pt jump shot from 27 ft,,50,27
2,5:47.0,,Defensive rebound by J. Williams,50,27
2,5:40.0,,J. Williams misses 2-pt layup from 2 ft,50,27
2,5:40.0,,Offensive rebound by J. Jones,50,27
2,5:37.0,,J. Jones misses 2-pt layup from 1 ft,50,27
2,5:36.0,,Offensive rebound by A. Caruso,50,27
2,5:30.0,,M. Muscala misses 3-pt jump shot from 23 ft,50,27
2,5:29.0,,Offensive rebound by J. Williams,50,27
2,5:29.0,,LA Lakers full timeout,50,27
2,5:29.0,S. Curry enters the game for J. Jerebko,,50,27
2,5:29.0,D. Green enters the game for K. Thompson,,50,27
2,5:29.0,,J. McGee enters the game for A. Caruso,50,27
2,5:29.0,,R. Rondo enters the game for M. Muscala,50,27
2,5:29.0,,M. Wagner enters the game for J. Williams,50,27
2,5:20.0,,R. Rondo makes 3-pt jump shot from 27 ft (assist by J. McGee),50,30
2,4:56.0,K. Durant misses 2-pt jump shot from 18 ft,,50,30
2,4:53.0,,Defensive rebound by R. Rondo,50,30
2,4:51.0,,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),50,32
2,4:39.0,Turnover by D. Green (bad pass; steal by J. Jones),,50,32
2,4:36.0,,J. Jones makes 2-pt layup from 2 ft,50,34
2,4:26.0,Q. Cook makes 3-pt jump shot from 27 ft (assist by D. Green),,53,34
2,4:08.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,53,34
2,4:05.0,,Offensive rebound by Team,53,34
2,4:05.0,Loose ball foul by Q. Cook (drawn by J. Jones),,53,34
2,3:55.0,,M. Wagner misses 3-pt jump shot from 27 ft,53,34
2,3:49.0,Defensive rebound by K. Durant,,53,34
2,3:46.0,Personal foul by J. Jones (drawn by S. Curry),,53,34
2,3:39.0,D. Green misses 3-pt jump shot from 26 ft,,53,34
2,3:34.0,,Defensive rebound by J. McGee,53,34
2,3:19.0,,Turnover by M. Wagner (bad pass; steal by D. Cousins),53,34
2,3:17.0,Shooting foul by K. Caldwell-Pope (drawn by K. Durant),,53,34
2,3:17.0,K. Durant makes free throw 1 of 2,,54,34
2,3:17.0,K. Looney enters the game for Q. Cook,,54,34
2,3:17.0,K. Thompson enters the game for D. Cousins,,54,34
2,3:17.0,K. Durant makes free throw 2 of 2,,55,34
2,3:03.0,,R. Rondo makes 2-pt layup from 5 ft,55,36
2,2:49.0,S. Curry misses 3-pt jump shot from 27 ft,,55,36
2,2:45.0,,Defensive rebound by R. Rondo,55,36
2,2:41.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft,55,36
2,2:37.0,,Offensive rebound by M. Wagner,55,36
2,2:37.0,,M. Wagner makes 2-pt layup from 1 ft,55,38
2,2:24.0,K. Thompson misses 2-pt jump shot from 13 ft,,55,38
2,2:21.0,,Defensive rebound by J. McGee,55,38
2,2:17.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,55,38
2,2:12.0,Defensive rebound by K. Durant,,55,38
2,2:08.0,K. Thompson misses 3-pt jump shot from 23 ft,,55,38
2,2:04.0,,Defensive rebound by J. McGee,55,38
2,1:55.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by M. Wagner),55,40
2,1:53.0,Golden State full timeout,,55,40
2,1:39.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,58,40
2,1:15.0,,Turnover by M. Wagner (lost ball; steal by K. Looney),58,40
2,1:04.0,Turnover by K. Durant (bad pass; steal by R. Rondo),,58,40
2,1:04.0,,A. Caruso enters the game for J. Jones,58,40
2,1:04.0,,M. Muscala enters the game for M. Wagner,58,40
2,0:48.0,,R. Rondo misses 3-pt jump shot from 29 ft,58,40
2,0:46.0,,Offensive rebound by A. Caruso,58,40
2,0:46.0,,A. Caruso makes 2-pt dunk from 1 ft,58,42
2,0:37.0,S. Curry makes 2-pt layup from 5 ft (assist by D. Green),,60,42
2,0:28.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,60,42
2,0:24.0,Defensive rebound by S. Curry,,60,42
2,0:02.0,S. Curry misses 2-pt layup from 4 ft,,60,42
2,0:02.0,Offensive rebound by Team,,60,42
2,0:01.0,Turnover by Team (shot clock),,60,42
2,0:00.0,,K. Caldwell-Pope misses 3-pt jump shot from 35 ft,60,42
2,0:00.0,,Offensive rebound by Team,60,42
3,11:49.0,,Turnover by M. Wagner (traveling),60,42
3,11:30.0,D. Green misses 2-pt layup from 2 ft (block by J. McGee),,60,42
3,11:29.0,,Defensive rebound by J. McGee,60,42
3,11:16.0,,R. Rondo misses 2-pt jump shot from 9 ft,60,42
3,11:16.0,Defensive rebound by Team,,60,42
3,11:03.0,D. Cousins misses 2-pt layup from 4 ft (block by M. Wagner),,60,42
3,11:03.0,Offensive rebound by Team,,60,42
3,11:02.0,Personal foul by J. McGee (drawn by D. Cousins),,60,42
3,10:56.0,D. Cousins misses 2-pt dunk from 2 ft (block by J. McGee),,60,42
3,10:52.0,Offensive rebound by D. Green,,60,42
3,10:52.0,D. Green makes 2-pt layup from 3 ft (assist by S. Curry),,62,42
3,10:52.0,,Violation by Team (def goaltending),62,42
3,10:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,62,42
3,10:38.0,Defensive rebound by K. Durant,,62,42
3,10:30.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),,65,42
3,10:16.0,,Shooting foul by K. Durant (drawn by M. Wagner),65,42
3,10:16.0,,M. Wagner makes free throw 1 of 2,65,43
3,10:16.0,,M. Wagner makes free throw 2 of 2,65,44
3,10:02.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,67,44
3,9:49.0,,M. Wagner makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),67,46
3,9:37.0,S. Curry misses 3-pt jump shot from 25 ft,,67,46
3,9:34.0,,Defensive rebound by R. Rondo,67,46
3,9:30.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,67,46
3,9:25.0,Defensive rebound by D. Green,,67,46
3,9:15.0,D. Green makes 3-pt jump shot from 26 ft (assist by D. Cousins),,70,46
3,9:01.0,,A. Caruso misses 2-pt layup from 3 ft,70,46
3,8:58.0,,Offensive rebound by J. McGee,70,46
3,8:58.0,,J. McGee misses 2-pt layup at rim,70,46
3,8:57.0,,Offensive rebound by J. McGee,70,46
3,8:57.0,,J. McGee makes 2-pt layup at rim,70,48
3,8:47.0,D. Cousins misses 3-pt jump shot from 28 ft,,70,48
3,8:43.0,,Defensive rebound by J. McGee,70,48
3,8:34.0,,Turnover by R. Rondo (bad pass; steal by D. Cousins),70,48
3,8:24.0,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),,72,48
3,8:07.0,,A. Caruso makes 2-pt layup from 2 ft (assist by R. Rondo),72,50
3,7:54.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Green),,75,50
3,7:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,75,50
3,7:40.0,Defensive rebound by S. Curry,,75,50
3,7:37.0,K. Thompson misses 3-pt jump shot from 25 ft,,75,50
3,7:32.0,,Defensive rebound by A. Caruso,75,50
3,7:28.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,75,50
3,7:28.0,,Offensive rebound by Team,75,50
3,7:28.0,,Turnover by K. Caldwell-Pope (traveling),75,50
3,7:28.0,,M. Muscala enters the game for M. Wagner,75,50
3,7:15.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by K. Durant),,78,50
3,6:58.0,,A. Caruso makes 3-pt jump shot from 27 ft (assist by M. Muscala),78,53
3,6:37.0,Shooting foul by J. McGee (drawn by K. Thompson),,78,53
3,6:37.0,,LA Lakers full timeout,78,53
3,6:37.0,,L. Stephenson enters the game for K. Caldwell-Pope,78,53
3,6:37.0,K. Thompson makes free throw 1 of 2,,79,53
3,6:37.0,K. Thompson makes free throw 2 of 2,,80,53
3,6:23.0,,M. Muscala misses 3-pt jump shot from 24 ft,80,53
3,6:21.0,Defensive rebound by K. Durant,,80,53
3,5:59.0,S. Curry makes 2-pt jump shot from 5 ft,,82,53
3,5:44.0,,A. Caruso makes 2-pt layup from 3 ft,82,55
3,5:28.0,K. Thompson misses 2-pt jump shot from 22 ft,,82,55
3,5:21.0,,Defensive rebound by J. McGee,82,55
3,5:13.0,,Turnover by R. Rondo (bad pass),82,55
3,5:01.0,S. Curry misses 2-pt layup from 1 ft (block by J. McGee),,82,55
3,4:59.0,Offensive rebound by S. Curry,,82,55
3,4:57.0,S. Curry misses 3-pt jump shot from 27 ft,,82,55
3,4:57.0,,Defensive rebound by L. Stephenson,82,55
3,4:51.0,,R. Rondo misses 3-pt jump shot from 26 ft,82,55
3,4:47.0,Defensive rebound by D. Cousins,,82,55
3,4:38.0,S. Curry misses 3-pt jump shot from 24 ft,,82,55
3,4:35.0,Offensive rebound by D. Green,,82,55
3,4:34.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by K. Thompson),,85,55
3,4:23.0,,A. Caruso misses 3-pt jump shot from 26 ft,85,55
3,4:20.0,Defensive rebound by D. Cousins,,85,55
3,4:15.0,D. Cousins makes 2-pt dunk from 1 ft,,87,55
3,4:11.0,,LA Lakers full timeout,87,55
3,4:11.0,K. Looney enters the game for D. Cousins,,87,55
3,4:11.0,A. McKinnie enters the game for K. Thompson,,87,55
3,4:11.0,,J. Jones enters the game for A. Caruso,87,55
3,4:11.0,,J. Williams enters the game for J. McGee,87,55
3,4:01.0,,L. Stephenson makes 3-pt jump shot from 27 ft,87,58
3,3:38.0,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),,89,58
3,3:30.0,,L. Stephenson misses 3-pt jump shot from 28 ft,89,58
3,3:28.0,,Offensive rebound by Team,89,58
3,3:28.0,D. Lee enters the game for K. Durant,,89,58
3,3:24.0,,L. Stephenson misses 2-pt jump shot from 22 ft,89,58
3,3:21.0,,Offensive rebound by J. Jones,89,58
3,3:15.0,,J. Williams misses 2-pt hook shot from 5 ft,89,58
3,3:12.0,Defensive rebound by D. Lee,,89,58
3,3:06.0,D. Lee makes 3-pt jump shot from 25 ft (assist by S. Curry),,92,58
3,2:47.0,,L. Stephenson makes 2-pt jump shot from 19 ft,92,60
3,2:33.0,S. Curry misses 3-pt jump shot from 28 ft,,92,60
3,2:31.0,,Defensive rebound by M. Muscala,92,60
3,2:23.0,,L. Stephenson misses 3-pt jump shot from 24 ft,92,60
3,2:20.0,Defensive rebound by D. Lee,,92,60
3,2:06.0,D. Lee makes 2-pt jump shot from 14 ft,,94,60
3,1:41.0,,J. Jones misses 3-pt jump shot from 28 ft,94,60
3,1:37.0,Defensive rebound by S. Curry,,94,60
3,1:37.0,Personal foul by J. Williams (drawn by S. Curry),,94,60
3,1:28.0,D. Lee misses 3-pt jump shot from 25 ft,,94,60
3,1:25.0,,Defensive rebound by L. Stephenson,94,60
3,1:19.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by L. Stephenson),94,63
3,0:58.0,S. Curry misses 3-pt jump shot from 24 ft,,94,63
3,0:55.0,,Defensive rebound by M. Muscala,94,63
3,0:49.0,,R. Rondo makes 3-pt jump shot from 29 ft (assist by J. Jones),94,66
3,0:42.0,A. McKinnie misses 3-pt jump shot from 23 ft,,94,66
3,0:38.0,,Defensive rebound by J. Williams,94,66
3,0:17.0,,J. Jones misses 3-pt jump shot from 26 ft,94,66
3,0:14.0,,Offensive rebound by J. Williams,94,66
3,0:14.0,,Personal foul by D. Lee (drawn by J. Williams),94,66
3,0:01.0,,L. Stephenson misses 3-pt jump shot from 27 ft,94,66
3,0:00.0,,Offensive rebound by Team,94,66
4,11:47.0,J. Jerebko misses 2-pt jump shot from 19 ft,,94,66
4,11:43.0,,Defensive rebound by J. Jones,94,66
4,11:31.0,,M. Muscala misses 2-pt jump shot from 8 ft,94,66
4,11:30.0,,Offensive rebound by J. Williams,94,66
4,11:30.0,,J. Williams makes 2-pt dunk at rim,94,68
4,11:30.0,,Shooting foul by J. Jerebko (drawn by J. Williams),94,68
4,11:30.0,,J. Williams misses free throw 1 of 1,94,68
4,11:23.0,Defensive rebound by D. Lee,,94,68
4,11:08.0,K. Thompson misses 2-pt jump shot from 16 ft,,94,68
4,11:05.0,,Defensive rebound by A. Caruso,94,68
4,10:54.0,,M. Muscala makes 3-pt jump shot from 30 ft (assist by J. Williams),94,71
4,10:32.0,K. Thompson misses 2-pt jump shot from 17 ft,,94,71
4,10:28.0,,Defensive rebound by L. Stephenson,94,71
4,10:21.0,,Personal foul by Q. Cook (drawn by J. Williams),94,71
4,10:15.0,,Turnover by J. Jones (out of bounds lost ball),94,71
4,9:56.0,J. Bell misses 2-pt jump shot from 16 ft,,94,71
4,9:53.0,,Defensive rebound by J. Williams,94,71
4,9:43.0,,A. Caruso misses 2-pt layup from 3 ft,94,71
4,9:43.0,,Offensive rebound by Team,94,71
4,9:41.0,,L. Stephenson misses 3-pt jump shot from 23 ft,94,71
4,9:37.0,Defensive rebound by J. Bell,,94,71
4,9:32.0,J. Bell makes 2-pt jump shot from 9 ft (assist by Q. Cook),,96,71
4,9:12.0,,M. Muscala makes 2-pt jump shot from 18 ft (assist by A. Caruso),96,73
4,9:00.0,Q. Cook misses 3-pt jump shot from 28 ft,,96,73
4,8:57.0,,Defensive rebound by J. Williams,96,73
4,8:38.0,,J. Williams misses 2-pt hook shot from 8 ft,96,73
4,8:37.0,Defensive rebound by Team,,96,73
4,8:37.0,,I. Bonga enters the game for L. Stephenson,96,73
4,8:21.0,Personal foul by J. Williams (drawn by Q. Cook),,96,73
4,8:17.0,J. Jerebko makes 3-pt jump shot from 27 ft (assist by D. Lee),,99,73
4,8:01.0,,Turnover by A. Caruso (lost ball; steal by D. Lee),99,73
4,7:42.0,J. Jerebko misses 2-pt jump shot from 4 ft,,99,73
4,7:38.0,,Defensive rebound by I. Bonga,99,73
4,7:38.0,,Personal take foul by K. Thompson (drawn by I. Bonga),99,73
4,7:38.0,J. Evans enters the game for K. Thompson,,99,73
4,7:38.0,,M. Wagner enters the game for M. Muscala,99,73
4,7:24.0,,Turnover by J. Williams (lost ball; steal by Q. Cook),99,73
4,7:16.0,Q. Cook makes 2-pt jump shot from 10 ft,,101,73
4,6:56.0,,M. Wagner misses 2-pt jump shot from 17 ft,101,73
4,6:52.0,,Offensive rebound by I. Bonga,101,73
4,6:52.0,,I. Bonga makes 2-pt layup at rim,101,75
4,6:40.0,Q. Cook makes 2-pt jump shot from 20 ft (assist by J. Jerebko),,103,75
4,6:30.0,,Personal foul by Q. Cook (drawn by A. Caruso),103,75
4,6:30.0,,LA Lakers full timeout,103,75
4,6:30.0,A. McKinnie enters the game for D. Lee,,103,75
4,6:18.0,,A. Caruso misses 2-pt hook shot from 3 ft,103,75
4,6:17.0,,Offensive rebound by Team,103,75
4,6:10.0,,Personal foul by J. Evans (drawn by I. Bonga),103,75
4,6:10.0,,I. Bonga misses free throw 1 of 2,103,75
4,6:10.0,,Offensive rebound by Team,103,75
4,6:10.0,,I. Bonga makes free throw 2 of 2,103,76
4,5:56.0,J. Bell misses 2-pt dunk from 2 ft,,103,76
4,5:54.0,,Defensive rebound by M. Wagner,103,76
4,5:47.0,,Turnover by J. Jones (lost ball; steal by J. Jerebko),103,76
4,5:45.0,Turnover by J. Jerebko (bad pass; steal by I. Bonga),,103,76
