QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
3,4:54.0,A. Rivers enters the game for E. Gordon,,65,65
3,4:54.0,,G. Niang enters the game for J. Crowder,65,65
3,4:54.0,,D. Mitchell makes free throw 1 of 2,65,66
3,4:54.0,,D. Mitchell misses free throw 2 of 2,65,66
3,4:53.0,Defensive rebound by C. Capela,,65,66
3,4:39.0,C. Capela misses 2-pt layup from 2 ft,,65,66
3,4:37.0,,Defensive rebound by K. Korver,65,66
3,4:32.0,,Shooting foul by A. Rivers (drawn by D. Mitchell),65,66
3,4:32.0,,D. Mitchell makes free throw 1 of 2,65,67
3,4:32.0,,D. Mitchell makes free throw 2 of 2,65,68
3,4:26.0,J. Harden misses 3-pt jump shot from 26 ft,,65,68
3,4:23.0,,Defensive rebound by G. Niang,65,68
3,4:17.0,,D. Mitchell misses 2-pt jump shot from 15 ft,65,68
3,4:13.0,Defensive rebound by C. Capela,,65,68
3,4:04.0,C. Capela misses 2-pt layup from 5 ft (block by D. Mitchell),,65,68
3,4:04.0,Offensive rebound by Team,,65,68
3,4:04.0,K. Faried enters the game for C. Capela,,65,68
3,4:04.0,,D. Favors enters the game for R. Gobert,65,68
3,3:57.0,A. Rivers makes 2-pt layup from 3 ft,,67,68
3,3:44.0,,Turnover by K. Korver (bad pass; steal by J. Harden),67,68
3,3:41.0,Shooting foul by R. O'Neale (drawn by J. Harden),,67,68
3,3:41.0,J. Harden makes free throw 1 of 2,,68,68
3,3:41.0,G. Green enters the game for P. Tucker,,68,68
3,3:41.0,,J. Ingles enters the game for D. Mitchell,68,68
3,3:41.0,J. Harden makes free throw 2 of 2,,69,68
3,3:30.0,,D. Favors misses 2-pt dunk from 2 ft,69,68
3,3:28.0,Defensive rebound by A. Rivers,,69,68
3,3:26.0,Personal foul by D. Favors (drawn by A. Rivers),,69,68
3,3:26.0,A. Rivers makes free throw 1 of 2,,70,68
3,3:26.0,A. Rivers misses free throw 2 of 2,,70,68
3,3:25.0,,Defensive rebound by D. Favors,70,68
3,3:14.0,,G. Niang misses 3-pt jump shot from 23 ft,70,68
3,3:11.0,Defensive rebound by J. Harden,,70,68
3,2:58.0,J. Harden misses 2-pt layup from 4 ft (block by D. Favors),,70,68
3,2:58.0,Offensive rebound by Team,,70,68
3,2:58.0,Houston full timeout,,70,68
3,2:58.0,C. Paul enters the game for J. Harden,,70,68
3,2:53.0,Turnover by G. Green (step out of bounds),,70,68
3,2:38.0,,R. O'Neale misses 3-pt jump shot from 23 ft,70,68
3,2:35.0,,Offensive rebound by D. Favors,70,68
3,2:34.0,,Shooting foul by G. Green (drawn by D. Favors),70,68
3,2:34.0,,D. Favors makes free throw 1 of 2,70,69
3,2:34.0,,R. Rubio enters the game for R. O'Neale,70,69
3,2:34.0,,D. Favors misses free throw 2 of 2,70,69
3,2:32.0,Defensive rebound by K. Faried,,70,69
3,2:15.0,D. House misses 2-pt dunk from 2 ft (block by D. Favors),,70,69
3,2:15.0,,Defensive rebound by Team,70,69
3,2:06.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),70,71
3,1:56.0,Offensive foul by C. Paul (drawn by K. Korver),,70,71
3,1:56.0,Turnover by C. Paul (offensive foul),,70,71
3,1:42.0,,K. Korver misses 3-pt jump shot from 26 ft,70,71
3,1:40.0,Defensive rebound by C. Paul,,70,71
3,1:33.0,C. Paul misses 2-pt layup from 2 ft,,70,71
3,1:29.0,Offensive rebound by K. Faried,,70,71
3,1:29.0,K. Faried makes 2-pt dunk from 1 ft,,72,71
3,1:26.0,,Personal foul by C. Paul (drawn by D. Favors),72,71
3,1:26.0,,D. Favors makes free throw 1 of 2,72,72
3,1:26.0,,D. Favors makes free throw 2 of 2,72,73
3,1:16.0,Personal foul by R. Rubio (drawn by C. Paul),,72,73
3,1:16.0,C. Paul makes free throw 1 of 2,,73,73
3,1:16.0,C. Paul makes free throw 2 of 2,,74,73
3,1:02.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Ingles),74,76
3,0:45.0,Shooting foul by J. Ingles (drawn by D. House),,74,76
3,0:45.0,D. House misses free throw 1 of 2,,74,76
3,0:45.0,Offensive rebound by Team,,74,76
3,0:45.0,D. House misses free throw 2 of 2,,74,76
3,0:43.0,,Defensive rebound by D. Favors,74,76
3,0:33.0,,Turnover by R. Rubio (back court),74,76
3,0:33.0,,R. O'Neale enters the game for J. Ingles,74,76
3,0:26.0,C. Paul misses 3-pt jump shot from 26 ft,,74,76
3,0:23.0,,Defensive rebound by G. Niang,74,76
3,0:05.0,,Turnover by R. Rubio (bad pass; steal by D. House),74,76
4,11:42.0,,G. Niang misses 3-pt jump shot from 25 ft,74,76
4,11:40.0,,Offensive rebound by D. Favors,74,76
4,11:40.0,,D. Favors makes 2-pt dunk from 1 ft,74,78
4,11:23.0,G. Green misses 3-pt jump shot from 24 ft,,74,78
4,11:20.0,,Defensive rebound by G. Niang,74,78
4,11:14.0,,D. Mitchell misses 2-pt layup from 3 ft (block by C. Capela),74,78
4,11:11.0,Defensive rebound by G. Green,,74,78
4,11:02.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,76,78
4,10:42.0,,R. O'Neale misses 3-pt jump shot from 24 ft,76,78
4,10:39.0,Defensive rebound by J. Harden,,76,78
4,10:30.0,G. Green misses 2-pt jump shot from 15 ft,,76,78
4,10:26.0,,Defensive rebound by G. Niang,76,78
4,10:22.0,,G. Niang makes 2-pt layup from 2 ft,76,80
4,10:01.0,G. Green makes 3-pt jump shot from 26 ft (assist by J. Harden),,79,80
4,9:41.0,,D. Mitchell misses 2-pt layup from 2 ft (block by C. Capela),79,80
4,9:41.0,,Offensive rebound by Team,79,80
4,9:41.0,P. Tucker enters the game for A. Rivers,,79,80
4,9:41.0,,R. Neto enters the game for K. Korver,79,80
4,9:40.0,,R. Neto misses 3-pt jump shot from 23 ft,79,80
4,9:37.0,Defensive rebound by E. Gordon,,79,80
4,9:28.0,G. Green makes 3-pt jump shot from 25 ft (assist by J. Harden),,82,80
4,9:01.0,,G. Niang misses 3-pt jump shot from 23 ft,82,80
4,8:57.0,Defensive rebound by G. Green,,82,80
4,8:49.0,J. Harden misses 3-pt jump shot from 27 ft,,82,80
4,8:47.0,,Defensive rebound by D. Mitchell,82,80
4,8:42.0,,D. Mitchell misses 3-pt jump shot from 24 ft,82,80
4,8:39.0,Defensive rebound by G. Green,,82,80
4,8:33.0,Shooting foul by D. Favors (drawn by J. Harden),,82,80
4,8:33.0,J. Harden makes free throw 1 of 2,,83,80
4,8:33.0,,J. Crowder enters the game for D. Favors,83,80
4,8:33.0,,R. Gobert enters the game for R. Neto,83,80
4,8:33.0,,J. Ingles enters the game for G. Niang,83,80
4,8:33.0,J. Harden makes free throw 2 of 2,,84,80
4,8:15.0,,J. Crowder makes 3-pt jump shot from 27 ft (assist by J. Ingles),84,83
