QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
1,4:48.0,,Defensive rebound by B. Adebayo,16,15
1,4:40.0,,B. Adebayo misses 2-pt jump shot from 13 ft,16,15
1,4:35.0,Defensive rebound by S. Harrison,,16,15
1,4:30.0,Personal foul by J. Johnson (drawn by W. Selden),,16,15
1,4:30.0,R. Arcidiacono enters the game for K. Dunn,,16,15
1,4:16.0,R. Arcidiacono makes 2-pt jump shot from 9 ft,,18,15
1,3:56.0,,J. Johnson makes 2-pt layup from 3 ft,18,17
1,3:34.0,W. Selden makes 3-pt jump shot from 25 ft,,21,17
1,3:21.0,,T. Johnson misses 3-pt jump shot from 24 ft,21,17
1,3:19.0,,Offensive rebound by J. Winslow,21,17
1,3:17.0,,Turnover by J. Winslow (bad pass),21,17
1,3:17.0,,K. Olynyk enters the game for J. Johnson,21,17
1,3:17.0,,D. Waiters enters the game for J. Winslow,21,17
1,2:55.0,L. Markkanen misses 2-pt jump shot from 13 ft,,21,17
1,2:51.0,,Defensive rebound by D. Waiters,21,17
1,2:40.0,,B. Adebayo makes 2-pt hook shot from 7 ft (assist by D. Waiters),21,19
1,2:17.0,R. Lopez makes 2-pt jump shot from 15 ft (assist by W. Selden),,23,19
1,2:00.0,,W. Ellington misses 3-pt jump shot from 24 ft,23,19
1,1:57.0,Defensive rebound by L. Markkanen,,23,19
1,1:47.0,S. Harrison makes 2-pt layup from 2 ft (assist by L. Markkanen),,25,19
1,1:35.0,,Personal foul by W. Selden (drawn by K. Olynyk),25,19
1,1:35.0,J. Parker enters the game for R. Lopez,,25,19
1,1:35.0,B. Portis enters the game for L. Markkanen,,25,19
1,1:35.0,,J. Richardson enters the game for W. Ellington,25,19
1,1:24.0,,Turnover by B. Adebayo (bad pass; steal by W. Selden),25,19
1,1:19.0,B. Portis makes 2-pt dunk from 1 ft (assist by W. Selden),,27,19
1,1:01.0,,D. Waiters misses 3-pt jump shot from 25 ft,27,19
1,0:58.0,Defensive rebound by J. Parker,,27,19
1,0:46.0,B. Portis makes 2-pt layup from 2 ft (assist by W. Selden),,29,19
1,0:28.0,,J. Richardson misses 2-pt jump shot from 10 ft,29,19
1,0:26.0,Defensive rebound by S. Harrison,,29,19
1,0:08.0,R. Arcidiacono makes 2-pt jump shot from 15 ft,,31,19
1,0:05.0,,Personal foul by R. Arcidiacono (drawn by T. Johnson),31,19
1,0:05.0,,T. Johnson makes free throw 1 of 2,31,20
1,0:05.0,,T. Johnson makes free throw 2 of 2,31,21
1,0:00.0,S. Harrison misses 3-pt jump shot from 26 ft,,31,21
1,0:00.0,Offensive rebound by Team,,31,21
2,11:46.0,,Turnover by T. Johnson (traveling),31,21
2,11:37.0,B. Portis misses 2-pt jump shot from 7 ft,,31,21
2,11:36.0,,Defensive rebound by K. Olynyk,31,21
2,11:30.0,,T. Johnson misses 3-pt jump shot from 26 ft,31,21
2,11:29.0,,Offensive rebound by K. Olynyk,31,21
2,11:28.0,,K. Olynyk misses 2-pt layup from 7 ft,31,21
2,11:28.0,Defensive rebound by Team,,31,21
2,11:19.0,Turnover by J. Parker (bad pass),,31,21
2,11:05.0,,T. Johnson makes 3-pt jump shot from 22 ft (assist by D. Waiters),31,24
2,10:43.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,31,24
2,10:39.0,,Defensive rebound by K. Olynyk,31,24
2,10:33.0,,D. Waiters makes 2-pt jump shot from 19 ft,31,26
2,10:30.0,Chicago full timeout,,31,26
2,10:30.0,K. Dunn enters the game for R. Arcidiacono,,31,26
2,10:30.0,B. Sampson enters the game for S. Harrison,,31,26
2,10:07.0,A. Blakeney misses 2-pt jump shot from 13 ft,,31,26
2,10:06.0,,Defensive rebound by K. Olynyk,31,26
2,9:47.0,,D. Waiters makes 2-pt jump shot from 14 ft,31,28
2,9:32.0,B. Portis misses 2-pt jump shot from 2 ft,,31,28
2,9:28.0,,Defensive rebound by D. Waiters,31,28
2,9:21.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Waiters),31,31
2,8:56.0,B. Sampson makes 2-pt jump shot from 3 ft (assist by B. Portis),,33,31
2,8:40.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Richardson),33,34
2,8:14.0,Turnover by Team (shot clock),,33,34
2,8:14.0,,H. Whiteside enters the game for B. Adebayo,33,34
2,8:04.0,,Personal take foul by B. Portis (drawn by H. Whiteside),33,34
2,8:04.0,S. Harrison enters the game for A. Blakeney,,33,34
2,7:49.0,,D. Waiters misses 2-pt layup from 2 ft,33,34
2,7:46.0,Defensive rebound by K. Dunn,,33,34
2,7:43.0,B. Sampson makes 3-pt jump shot from 26 ft (assist by S. Harrison),,36,34
2,7:26.0,,D. Waiters misses 3-pt jump shot from 25 ft,36,34
2,7:25.0,,Offensive rebound by Team,36,34
2,7:20.0,,Personal foul by B. Sampson (drawn by T. Johnson),36,34
2,7:20.0,,W. Ellington enters the game for T. Johnson,36,34
2,7:20.0,,J. Winslow enters the game for J. Richardson,36,34
2,7:12.0,,Personal foul by K. Dunn (drawn by K. Olynyk),36,34
2,7:02.0,,Shooting foul by K. Dunn (drawn by H. Whiteside),36,34
2,7:02.0,,H. Whiteside misses free throw 1 of 2,36,34
2,7:02.0,,Offensive rebound by Team,36,34
2,7:02.0,,H. Whiteside makes free throw 2 of 2,36,35
2,6:53.0,K. Dunn makes 2-pt jump shot from 17 ft,,38,35
2,6:40.0,,H. Whiteside misses 2-pt layup from 2 ft,38,35
2,6:39.0,,Offensive rebound by H. Whiteside,38,35
2,6:38.0,,H. Whiteside misses 2-pt layup from 1 ft,38,35
2,6:37.0,,Offensive rebound by H. Whiteside,38,35
2,6:36.0,,H. Whiteside makes 2-pt layup from 1 ft,38,37
2,6:30.0,B. Portis misses 2-pt layup from 3 ft,,38,37
2,6:29.0,,Defensive rebound by D. Waiters,38,37
2,6:17.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by K. Olynyk),38,39
2,5:58.0,Personal foul by K. Olynyk (drawn by J. Parker),,38,39
2,5:58.0,R. Lopez enters the game for J. Parker,,38,39
2,5:58.0,L. Markkanen enters the game for B. Portis,,38,39
2,5:54.0,,Violation by Team (kicked ball),38,39
2,5:54.0,W. Selden enters the game for B. Sampson,,38,39
2,5:48.0,K. Dunn misses 2-pt layup from 3 ft,,38,39
2,5:46.0,,Defensive rebound by D. Waiters,38,39
2,5:38.0,,W. Ellington misses 3-pt jump shot from 23 ft,38,39
2,5:35.0,Defensive rebound by W. Selden,,38,39
2,5:29.0,W. Selden misses 2-pt layup from 2 ft,,38,39
2,5:26.0,,Defensive rebound by K. Olynyk,38,39
2,5:09.0,,D. Waiters misses 2-pt layup from 2 ft,38,39
2,5:07.0,Defensive rebound by L. Markkanen,,38,39
2,5:02.0,L. Markkanen makes 2-pt jump shot from 17 ft,,40,39
2,5:02.0,Shooting foul by H. Whiteside (drawn by L. Markkanen),,40,39
2,5:02.0,L. Markkanen makes free throw 1 of 1,,41,39
2,4:59.0,,Miami full timeout,41,39
2,4:59.0,,J. Richardson enters the game for D. Waiters,41,39
2,4:49.0,,J. Winslow misses 2-pt hook shot from 6 ft,41,39
2,4:47.0,Defensive rebound by L. Markkanen,,41,39
2,4:39.0,K. Dunn misses 2-pt jump shot from 5 ft,,41,39
2,4:39.0,Offensive rebound by Team,,41,39
2,4:39.0,,Loose ball foul by H. Whiteside (drawn by R. Lopez),41,39
2,4:39.0,,B. Adebayo enters the game for H. Whiteside,41,39
2,4:31.0,Turnover by K. Dunn (lost ball; steal by J. Richardson),,41,39
2,4:12.0,,Turnover by B. Adebayo (3 sec),41,39
2,4:12.0,R. Arcidiacono enters the game for K. Dunn,,41,39
2,4:02.0,Shooting foul by W. Ellington (drawn by W. Selden),,41,39
2,4:02.0,W. Selden makes free throw 1 of 2,,42,39
2,4:02.0,W. Selden makes free throw 2 of 2,,43,39
2,3:49.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by J. Winslow),43,42
2,3:38.0,L. Markkanen misses 3-pt jump shot from 25 ft,,43,42
2,3:35.0,,Defensive rebound by J. Winslow,43,42
2,3:23.0,,J. Richardson misses 3-pt jump shot from 25 ft,43,42
2,3:20.0,Defensive rebound by S. Harrison,,43,42
2,3:00.0,W. Selden misses 3-pt jump shot from 23 ft,,43,42
2,2:57.0,,Defensive rebound by J. Richardson,43,42
2,2:41.0,,J. Winslow makes 2-pt jump shot from 22 ft (assist by B. Adebayo),43,44
2,2:20.0,R. Arcidiacono makes 2-pt layup from 1 ft,,45,44
2,2:20.0,Shooting foul by J. Richardson (drawn by R. Arcidiacono),,45,44
2,2:20.0,R. Arcidiacono makes free throw 1 of 1,,46,44
2,2:11.0,,Turnover by J. Winslow (bad pass; steal by R. Lopez),46,44
2,1:56.0,R. Lopez makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,48,44
2,1:43.0,,J. Winslow misses 2-pt layup from 1 ft,48,44
2,1:40.0,,Offensive rebound by J. Winslow,48,44
2,1:37.0,,W. Ellington makes 2-pt layup from 1 ft (assist by J. Winslow),48,46
2,1:14.0,L. Markkanen misses 2-pt layup from 3 ft,,48,46
2,1:11.0,Offensive rebound by R. Lopez,,48,46
2,1:11.0,R. Lopez misses 2-pt layup at rim,,48,46
2,1:10.0,,Defensive rebound by J. Richardson,48,46
2,1:02.0,,J. Richardson misses 3-pt jump shot from 25 ft,48,46
2,0:59.0,Defensive rebound by W. Selden,,48,46
2,0:53.0,Chicago full timeout,,48,46
2,0:53.0,B. Portis enters the game for S. Harrison,,48,46
2,0:53.0,B. Sampson enters the game for R. Lopez,,48,46
2,0:45.0,W. Selden makes 2-pt dunk from 2 ft (assist by R. Arcidiacono),,50,46
2,0:22.0,,J. Winslow makes 2-pt jump shot from 19 ft,50,48
2,0:02.0,B. Portis misses 2-pt jump shot from 20 ft,,50,48
2,0:01.0,Offensive rebound by L. Markkanen,,50,48
2,0:00.0,L. Markkanen misses 2-pt jump shot from 8 ft,,50,48
2,0:00.0,,Defensive rebound by K. Olynyk,50,48
3,11:42.0,,Turnover by J. Winslow (bad pass; steal by K. Dunn),50,48
3,11:37.0,K. Dunn makes 2-pt layup from 2 ft,,52,48
3,11:24.0,,J. Richardson misses 2-pt jump shot from 13 ft,52,48
3,11:20.0,,Offensive rebound by H. Whiteside,52,48
3,11:06.0,,W. Ellington makes 2-pt jump shot from 6 ft (assist by J. Johnson),52,50
3,10:41.0,R. Lopez misses 2-pt hook shot from 2 ft,,52,50
3,10:39.0,,Defensive rebound by H. Whiteside,52,50
3,10:33.0,,Personal foul by W. Selden (drawn by H. Whiteside),52,50
3,10:21.0,,H. Whiteside misses 2-pt jump shot from 14 ft,52,50
3,10:19.0,Defensive rebound by L. Markkanen,,52,50
3,10:13.0,Turnover by K. Dunn (step out of bounds),,52,50
3,10:00.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Winslow),52,53
3,9:32.0,W. Selden misses 2-pt layup from 2 ft,,52,53
3,9:30.0,,Defensive rebound by J. Johnson,52,53
3,9:26.0,,J. Winslow misses 2-pt layup from 2 ft (block by R. Lopez),52,53
3,9:22.0,Defensive rebound by L. Markkanen,,52,53
3,9:14.0,L. Markkanen misses 2-pt jump shot from 20 ft,,52,53
3,9:11.0,,Defensive rebound by H. Whiteside,52,53
3,8:59.0,,Personal foul by L. Markkanen (drawn by J. Johnson),52,53
3,8:50.0,,J. Johnson misses 2-pt layup from 1 ft,52,53
3,8:49.0,,Offensive rebound by H. Whiteside,52,53
3,8:49.0,,H. Whiteside makes 2-pt dunk at rim,52,55
3,8:49.0,,Technical foul by H. Whiteside,52,55
3,8:49.0,L. Markkanen makes technical free throw,,53,55
3,8:24.0,L. Markkanen misses 3-pt jump shot from 26 ft,,53,55
3,8:23.0,,Defensive rebound by Team,53,55
3,8:09.0,,W. Ellington misses 3-pt jump shot from 26 ft,53,55
3,8:07.0,,Offensive rebound by H. Whiteside,53,55
3,8:07.0,,Shooting foul by R. Lopez (drawn by H. Whiteside),53,55
3,8:07.0,,H. Whiteside misses free throw 1 of 2,53,55
3,8:07.0,,Offensive rebound by Team,53,55
3,8:07.0,,H. Whiteside makes free throw 2 of 2,53,56
3,7:55.0,R. Arcidiacono misses 2-pt layup from 1 ft (block by H. Whiteside),,53,56
3,7:51.0,,Defensive rebound by W. Ellington,53,56
3,7:48.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by J. Johnson),53,59
3,7:48.0,Chicago full timeout,,53,59
3,7:32.0,Shooting foul by J. Johnson (drawn by W. Selden),,53,59
3,7:32.0,W. Selden makes free throw 1 of 2,,54,59
3,7:32.0,W. Selden makes free throw 2 of 2,,55,59
3,7:26.0,,Personal foul by R. Arcidiacono (drawn by W. Ellington),55,59
3,7:10.0,,Turnover by J. Richardson (bad pass; steal by R. Arcidiacono),55,59
3,7:05.0,W. Selden makes 3-pt jump shot from 23 ft (assist by L. Markkanen),,58,59
3,6:46.0,,J. Richardson misses 3-pt jump shot from 26 ft,58,59
3,6:40.0,,Offensive rebound by J. Johnson,58,59
3,6:35.0,,J. Richardson misses 2-pt jump shot from 7 ft,58,59
3,6:33.0,Defensive rebound by L. Markkanen,,58,59
3,6:19.0,K. Dunn misses 2-pt jump shot from 3 ft,,58,59
3,6:15.0,,Defensive rebound by H. Whiteside,58,59
3,6:11.0,,J. Winslow misses 2-pt layup from 3 ft (block by R. Lopez),58,59
3,6:08.0,Defensive rebound by R. Arcidiacono,,58,59
3,6:04.0,K. Dunn makes 3-pt jump shot from 23 ft (assist by W. Selden),,61,59
3,5:37.0,,J. Richardson makes 2-pt jump shot from 18 ft,61,61
3,5:14.0,Personal foul by H. Whiteside (drawn by R. Lopez),,61,61
3,5:14.0,S. Harrison enters the game for K. Dunn,,61,61
3,5:14.0,,T. Johnson enters the game for J. Richardson,61,61
3,5:14.0,Offensive foul by R. Arcidiacono (drawn by T. Johnson),,61,61
3,5:14.0,Turnover by R. Arcidiacono (offensive foul),,61,61
3,5:03.0,,J. Johnson misses 3-pt jump shot from 26 ft,61,61
3,4:59.0,Defensive rebound by S. Harrison,,61,61
3,4:48.0,Personal foul by W. Ellington (drawn by R. Arcidiacono),,61,61
3,4:43.0,Personal foul by J. Johnson (drawn by L. Markkanen),,61,61
3,4:34.0,R. Lopez makes 2-pt hook shot from 4 ft (assist by W. Selden),,63,61
3,4:21.0,,J. Winslow misses 3-pt jump shot from 26 ft,63,61
3,4:20.0,Defensive rebound by Team,,63,61
3,4:20.0,,D. Waiters enters the game for W. Ellington,63,61
3,4:09.0,R. Arcidiacono makes 2-pt hook shot from 5 ft,,65,61
3,3:59.0,,Miami full timeout,65,61
3,3:59.0,B. Portis enters the game for R. Lopez,,65,61
3,3:59.0,,B. Adebayo enters the game for H. Whiteside,65,61
3,3:44.0,,T. Johnson makes 3-pt jump shot from 24 ft (assist by D. Waiters),65,64
3,3:26.0,Shooting foul by B. Adebayo (drawn by L. Markkanen),,65,64
3,3:26.0,L. Markkanen makes free throw 1 of 2,,66,64
3,3:26.0,B. Sampson enters the game for W. Selden,,66,64
3,3:26.0,L. Markkanen makes free throw 2 of 2,,67,64
3,3:03.0,,T. Johnson misses 3-pt jump shot from 25 ft,67,64
3,3:00.0,Defensive rebound by B. Sampson,,67,64
3,2:44.0,Personal foul by D. Waiters (drawn by B. Portis),,67,64
3,2:44.0,B. Portis makes free throw 1 of 2,,68,64
3,2:44.0,,K. Olynyk enters the game for J. Johnson,68,64
3,2:44.0,B. Portis makes free throw 2 of 2,,69,64
3,2:23.0,,B. Adebayo misses 2-pt layup from 2 ft,69,64
3,2:20.0,Defensive rebound by R. Arcidiacono,,69,64
3,2:14.0,Personal foul by K. Olynyk (drawn by B. Portis),,69,64
3,2:14.0,B. Portis makes free throw 1 of 2,,70,64
3,2:14.0,,J. Richardson enters the game for J. Winslow,70,64
3,2:14.0,B. Portis makes free throw 2 of 2,,71,64
3,2:01.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by D. Waiters),71,67
3,1:49.0,Offensive foul by B. Portis (drawn by J. Richardson),,71,67
3,1:49.0,Turnover by B. Portis (offensive foul),,71,67
3,1:49.0,K. Dunn enters the game for R. Arcidiacono,,71,67
3,1:49.0,,Technical foul by J. Boylen,71,67
3,1:49.0,,J. Richardson makes technical free throw,71,68
3,1:38.0,,D. Waiters misses 3-pt jump shot from 26 ft,71,68
3,1:36.0,Defensive rebound by B. Sampson,,71,68
3,1:25.0,L. Markkanen makes 2-pt layup from 3 ft (assist by K. Dunn),,73,68
3,1:16.0,,D. Waiters misses 3-pt jump shot from 23 ft,73,68
3,1:12.0,Defensive rebound by S. Harrison,,73,68
3,1:01.0,B. Portis makes 3-pt jump shot from 25 ft (assist by K. Dunn),,76,68
3,0:49.0,,T. Johnson misses 2-pt jump shot from 2 ft,76,68
3,0:47.0,,Offensive rebound by T. Johnson,76,68
3,0:45.0,,D. Waiters misses 3-pt jump shot from 23 ft,76,68
3,0:41.0,Defensive rebound by L. Markkanen,,76,68
3,0:35.0,S. Harrison makes 2-pt jump shot from 10 ft,,78,68
3,0:35.0,Shooting foul by T. Johnson (drawn by S. Harrison),,78,68
3,0:35.0,S. Harrison misses free throw 1 of 1,,78,68
3,0:32.0,,Defensive rebound by K. Olynyk,78,68
3,0:14.0,,Turnover by B. Adebayo (out of bounds lost ball),78,68
3,0:01.0,K. Dunn misses 2-pt jump shot from 22 ft,,78,68
3,0:00.0,,Defensive rebound by Team,78,68
4,11:45.0,J. Parker misses 2-pt jump shot from 20 ft,,78,68
4,11:42.0,,Defensive rebound by B. Adebayo,78,68
4,11:30.0,,T. Johnson makes 2-pt layup from 5 ft (assist by B. Adebayo),78,70
4,11:30.0,,Shooting foul by B. Sampson (drawn by T. Johnson),78,70
4,11:30.0,,T. Johnson makes free throw 1 of 1,78,71
4,11:07.0,B. Portis misses 2-pt layup from 3 ft,,78,71
4,11:05.0,Offensive rebound by B. Portis,,78,71
4,11:04.0,B. Portis makes 2-pt layup from 1 ft,,80,71
4,10:43.0,,D. Waiters makes 2-pt layup from 4 ft,80,73
4,10:32.0,B. Portis misses 3-pt jump shot from 25 ft,,80,73
4,10:30.0,,Defensive rebound by K. Olynyk,80,73
4,10:19.0,,Turnover by K. Olynyk (step out of bounds),80,73
4,10:12.0,K. Dunn misses 2-pt jump shot from 13 ft,,80,73
4,10:11.0,Offensive rebound by K. Dunn,,80,73
4,10:10.0,Shooting foul by D. Waiters (drawn by K. Dunn),,80,73
4,10:10.0,K. Dunn makes free throw 1 of 2,,81,73
4,10:10.0,K. Dunn misses free throw 2 of 2,,81,73
4,10:07.0,,Defensive rebound by K. Olynyk,81,73
4,10:02.0,,Offensive foul by K. Olynyk (drawn by B. Sampson),81,73
4,10:02.0,,Turnover by K. Olynyk (offensive foul),81,73
4,9:44.0,B. Portis makes 2-pt hook shot from 9 ft,,83,73
4,9:24.0,,T. Johnson makes 2-pt layup from 4 ft,83,75
4,9:11.0,B. Portis makes 3-pt jump shot from 26 ft (assist by K. Dunn),,86,75
4,8:58.0,,Personal foul by B. Sampson (drawn by B. Adebayo),86,75
4,8:58.0,W. Selden enters the game for B. Sampson,,86,75
4,8:58.0,,J. Winslow enters the game for J. Richardson,86,75
4,8:45.0,,J. Winslow misses 3-pt jump shot from 23 ft,86,75
4,8:44.0,,Offensive rebound by Team,86,75
4,8:44.0,,Turnover by Team (shot clock),86,75
4,8:29.0,B. Portis makes 2-pt hook shot from 9 ft (assist by W. Selden),,88,75
4,8:29.0,,Miami full timeout,88,75
4,8:29.0,R. Arcidiacono enters the game for S. Harrison,,88,75
4,8:29.0,,J. Richardson enters the game for D. Waiters,88,75
4,8:21.0,,J. Winslow misses 2-pt jump shot from 5 ft,88,75
4,8:20.0,,Offensive rebound by Team,88,75
4,8:06.0,,J. Winslow misses 3-pt jump shot from 24 ft,88,75
4,8:04.0,Defensive rebound by B. Portis,,88,75
4,7:45.0,B. Portis makes 2-pt jump shot from 10 ft,,90,75
4,7:31.0,,T. Johnson misses 2-pt jump shot from 3 ft,90,75
4,7:28.0,,Offensive rebound by T. Johnson,90,75
4,7:26.0,,T. Johnson makes 2-pt layup at rim,90,77
4,7:26.0,,W. Ellington enters the game for K. Olynyk,90,77
4,7:09.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,90,77
4,7:06.0,,Defensive rebound by B. Adebayo,90,77
4,6:54.0,,J. Richardson misses 2-pt jump shot from 4 ft,90,77
4,6:52.0,Defensive rebound by J. Parker,,90,77
4,6:44.0,B. Portis makes 2-pt hook shot from 5 ft (assist by W. Selden),,92,77
4,6:33.0,,J. Winslow misses 3-pt jump shot from 25 ft,92,77
4,6:29.0,,Offensive rebound by B. Adebayo,92,77
4,6:19.0,,T. Johnson misses 2-pt layup from 3 ft (block by B. Portis),92,77
4,6:18.0,Defensive rebound by B. Portis,,92,77
4,6:17.0,Technical foul by E. Spoelstra,,92,77
4,6:17.0,K. Dunn misses technical free throw,,92,77
4,6:17.0,Offensive rebound by Team,,92,77
4,6:06.0,Turnover by B. Portis (lost ball; steal by W. Ellington),,92,77
4,5:56.0,,J. Richardson misses 3-pt jump shot from 25 ft,92,77
4,5:54.0,Defensive rebound by B. Portis,,92,77
4,5:48.0,K. Dunn misses 2-pt layup from 3 ft,,92,77
4,5:46.0,,Defensive rebound by T. Johnson,92,77
4,5:39.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by T. Johnson),92,80
4,5:28.0,Chicago full timeout,,92,80
4,5:28.0,L. Markkanen enters the game for J. Parker,,92,80
4,5:17.0,W. Selden makes 2-pt jump shot from 13 ft (assist by K. Dunn),,94,80
4,5:05.0,,Turnover by J. Winslow (bad pass; steal by K. Dunn),94,80
4,4:59.0,Turnover by W. Selden (bad pass; steal by J. Winslow),,94,80
4,4:54.0,,Turnover by W. Ellington (bad pass; steal by R. Arcidiacono),94,80
4,4:51.0,B. Portis makes 2-pt layup from 2 ft (assist by L. Markkanen),,96,80
4,4:48.0,,Miami full timeout,96,80
4,4:31.0,,W. Ellington misses 3-pt jump shot from 26 ft,96,80
4,4:28.0,Defensive rebound by K. Dunn,,96,80
4,4:06.0,W. Selden makes 3-pt jump shot from 26 ft (assist by K. Dunn),,99,80
4,3:52.0,,Personal foul by R. Arcidiacono (drawn by B. Adebayo),99,80
4,3:42.0,,Shooting foul by L. Markkanen (drawn by B. Adebayo),99,80
4,3:42.0,,B. Adebayo misses free throw 1 of 2,99,80
4,3:42.0,,Offensive rebound by Team,99,80
4,3:42.0,,B. Adebayo makes free throw 2 of 2,99,81
4,3:26.0,B. Portis misses 2-pt jump shot from 14 ft,,99,81
4,3:24.0,,Defensive rebound by J. Winslow,99,81
4,3:20.0,,Shooting foul by B. Portis (drawn by B. Adebayo),99,81
4,3:20.0,,B. Adebayo makes free throw 1 of 2,99,82
4,3:20.0,,B. Adebayo makes free throw 2 of 2,99,83
4,2:54.0,L. Markkanen misses 2-pt jump shot from 5 ft,,99,83
4,2:52.0,,Defensive rebound by W. Ellington,99,83
4,2:44.0,,T. Johnson misses 3-pt jump shot from 26 ft,99,83
4,2:42.0,Defensive rebound by R. Arcidiacono,,99,83
4,2:29.0,L. Markkanen misses 3-pt jump shot from 25 ft,,99,83
4,2:26.0,,Defensive rebound by B. Adebayo,99,83
4,2:19.0,,J. Richardson misses 3-pt jump shot from 24 ft,99,83
4,2:10.0,Defensive rebound by R. Arcidiacono,,99,83
4,1:58.0,K. Dunn makes 2-pt jump shot from 17 ft (assist by B. Portis),,101,83
