QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
1,5:17.0,,Personal foul by B. Bogdanović (drawn by B. Portis),7,17
1,5:17.0,N. Bjelica enters the game for B. Bogdanović,,7,17
1,5:17.0,C. Brewer enters the game for B. Hield,,7,17
1,5:15.0,,T. Ariza misses 3-pt jump shot from 26 ft,7,17
1,5:10.0,Defensive rebound by N. Bjelica,,7,17
1,4:59.0,Shooting foul by T. Satoranský (drawn by D. Fox),,7,17
1,4:59.0,D. Fox misses free throw 1 of 2,,7,17
1,4:59.0,Offensive rebound by Team,,7,17
1,4:59.0,H. Giles enters the game for W. Cauley-Stein,,7,17
1,4:59.0,D. Fox makes free throw 2 of 2,,8,17
1,4:50.0,,Turnover by B. Beal (bad pass; steal by C. Brewer),8,17
1,4:44.0,H. Barnes misses 3-pt jump shot from 26 ft,,8,17
1,4:40.0,,Defensive rebound by B. Beal,8,17
1,4:33.0,,B. Portis makes 2-pt jump shot from 18 ft,8,19
1,4:21.0,H. Giles misses 2-pt jump shot from 20 ft,,8,19
1,4:17.0,Offensive rebound by C. Brewer,,8,19
1,4:17.0,D. Fox misses 3-pt jump shot from 26 ft,,8,19
1,4:13.0,,Defensive rebound by T. Ariza,8,19
1,4:02.0,,J. Green misses 3-pt jump shot from 26 ft,8,19
1,3:58.0,Defensive rebound by D. Fox,,8,19
1,3:54.0,Turnover by C. Brewer (lost ball; steal by T. Satoranský),,8,19
1,3:45.0,,Turnover by B. Portis (lost ball; steal by D. Fox),8,19
1,3:38.0,H. Barnes makes 2-pt layup from 2 ft (assist by H. Giles),,10,19
1,3:38.0,,Washington full timeout,10,19
1,3:38.0,,T. Brown enters the game for B. Portis,10,19
1,3:38.0,,J. Parker enters the game for T. Satoranský,10,19
1,3:15.0,,T. Ariza misses 3-pt jump shot from 24 ft,10,19
1,3:11.0,Defensive rebound by H. Giles,,10,19
1,2:57.0,H. Giles misses 2-pt jump shot from 16 ft,,10,19
1,2:52.0,Offensive rebound by N. Bjelica,,10,19
1,2:51.0,N. Bjelica misses 2-pt layup from 2 ft,,10,19
1,2:51.0,Offensive rebound by N. Bjelica,,10,19
1,2:51.0,N. Bjelica misses 2-pt layup from 1 ft,,10,19
1,2:51.0,,Defensive rebound by J. Green,10,19
1,2:41.0,,Shooting foul by C. Brewer (drawn by B. Beal),10,19
1,2:41.0,,B. Beal makes free throw 1 of 2,10,20
1,2:41.0,,T. Bryant enters the game for J. Green,10,20
1,2:41.0,,B. Beal makes free throw 2 of 2,10,21
1,2:25.0,H. Barnes makes 2-pt layup from 7 ft,,12,21
1,2:13.0,,J. Parker makes 3-pt jump shot from 27 ft (assist by B. Beal),12,24
1,2:02.0,H. Barnes makes 2-pt layup from 10 ft,,14,24
1,1:43.0,,Turnover by T. Brown (lost ball; steal by D. Fox),14,24
1,1:39.0,D. Fox misses 2-pt layup from 2 ft,,14,24
1,1:35.0,,Defensive rebound by J. Parker,14,24
1,1:31.0,,T. Ariza misses 2-pt layup from 5 ft,14,24
1,1:31.0,,Offensive rebound by Team,14,24
1,1:31.0,Y. Ferrell enters the game for D. Fox,,14,24
1,1:31.0,,C. Randle enters the game for T. Ariza,14,24
1,1:18.0,,T. Bryant misses 2-pt layup from 4 ft (block by H. Giles),14,24
1,1:18.0,Defensive rebound by Y. Ferrell,,14,24
1,1:13.0,Turnover by Y. Ferrell (bad pass),,14,24
1,1:05.0,,Personal foul by C. Brewer (drawn by T. Bryant),14,24
1,1:05.0,,T. Bryant makes free throw 1 of 2,14,25
1,1:05.0,,T. Bryant makes free throw 2 of 2,14,26
1,0:52.0,Turnover by H. Barnes (lost ball; steal by C. Randle),,14,26
1,0:49.0,,C. Randle makes 2-pt layup from 1 ft,14,28
1,0:36.0,C. Brewer makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,17,28
1,0:27.0,,J. Parker misses 2-pt layup from 9 ft,17,28
1,0:24.0,Defensive rebound by N. Bjelica,,17,28
1,0:07.0,H. Giles makes 2-pt layup from 1 ft (assist by Y. Ferrell),,19,28
1,0:07.0,Personal foul by J. Parker (drawn by H. Giles),,19,28
1,0:07.0,H. Giles makes free throw 1 of 1,,20,28
1,0:02.0,,Offensive foul by B. Beal (drawn by H. Barnes),20,28
1,0:02.0,,Turnover by B. Beal (offensive foul),20,28
1,0:02.0,,T. Satoranský enters the game for B. Beal,20,28
1,0:00.0,Y. Ferrell misses 2-pt jump shot from 12 ft,,20,28
1,0:00.0,Offensive rebound by Team,,20,28
2,11:44.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,20,28
2,11:39.0,,Defensive rebound by J. Parker,20,28
2,11:25.0,,Personal foul by B. Bogdanović (drawn by J. Parker),20,28
2,11:19.0,,J. Parker misses 2-pt jump shot from 19 ft,20,28
2,11:15.0,Defensive rebound by H. Giles,,20,28
2,11:12.0,Personal foul by C. Randle (drawn by Y. Ferrell),,20,28
2,11:04.0,Shooting foul by T. Satoranský (drawn by B. Bogdanović),,20,28
2,11:04.0,B. Bogdanović makes free throw 1 of 2,,21,28
2,11:04.0,B. Bogdanović makes free throw 2 of 2,,22,28
2,10:46.0,,Shooting foul by N. Bjelica (drawn by T. Brown),22,28
2,10:46.0,,T. Brown makes free throw 1 of 2,22,29
2,10:46.0,,T. Brown makes free throw 2 of 2,22,30
2,10:35.0,Personal foul by T. Bryant (drawn by H. Giles),,22,30
2,10:25.0,H. Giles makes 2-pt layup from 2 ft (assist by B. Bogdanović),,24,30
2,10:10.0,,T. Brown makes 3-pt jump shot from 26 ft (assist by T. Satoranský),24,33
2,9:56.0,B. Bogdanović makes 2-pt layup from 1 ft,,26,33
2,9:40.0,,T. Brown misses 2-pt layup from 4 ft,26,33
2,9:35.0,Defensive rebound by H. Giles,,26,33
2,9:33.0,Turnover by Y. Ferrell (lost ball; steal by C. Randle),,26,33
2,9:27.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by J. Parker),26,36
2,9:25.0,Sacramento full timeout,,26,36
2,9:25.0,B. Hield enters the game for C. Brewer,,26,36
2,9:12.0,Shooting foul by T. Brown (drawn by B. Bogdanović),,26,36
2,9:12.0,B. Bogdanović makes free throw 1 of 2,,27,36
2,9:12.0,B. Bogdanović makes free throw 2 of 2,,28,36
2,9:02.0,,Personal foul by Y. Ferrell (drawn by C. Randle),28,36
2,8:55.0,,C. Randle makes 3-pt jump shot from 25 ft (assist by J. Parker),28,39
2,8:33.0,B. Hield misses 3-pt jump shot from 24 ft,,28,39
2,8:30.0,,Defensive rebound by T. Brown,28,39
2,8:21.0,,J. Parker makes 3-pt jump shot from 26 ft (assist by T. Bryant),28,42
2,8:20.0,Sacramento full timeout,,28,42
2,8:20.0,W. Cauley-Stein enters the game for Y. Ferrell,,28,42
2,8:20.0,D. Fox enters the game for H. Giles,,28,42
2,8:03.0,B. Hield makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),,30,42
2,7:48.0,,J. Parker misses 3-pt jump shot from 26 ft,30,42
2,7:44.0,,Offensive rebound by T. Satoranský,30,42
2,7:42.0,,C. Randle misses 3-pt jump shot from 26 ft,30,42
2,7:39.0,Defensive rebound by B. Bogdanović,,30,42
2,7:32.0,N. Bjelica misses 3-pt jump shot from 27 ft,,30,42
2,7:29.0,Offensive rebound by Team,,30,42
2,7:29.0,,B. Beal enters the game for T. Brown,30,42
2,7:29.0,,B. Portis enters the game for T. Bryant,30,42
2,7:27.0,B. Hield makes 2-pt jump shot from 17 ft (assist by B. Bogdanović),,32,42
2,7:16.0,,Shooting foul by N. Bjelica (drawn by J. Parker),32,42
2,7:16.0,,J. Parker misses free throw 1 of 2,32,42
2,7:16.0,,Offensive rebound by Team,32,42
2,7:16.0,,J. Parker makes free throw 2 of 2,32,43
2,7:03.0,B. Hield misses 3-pt jump shot from 27 ft,,32,43
2,6:58.0,,Defensive rebound by J. Parker,32,43
2,6:47.0,,B. Portis misses 3-pt jump shot from 26 ft,32,43
2,6:43.0,Defensive rebound by N. Bjelica,,32,43
2,6:41.0,Shooting foul by C. Randle (drawn by D. Fox),,32,43
2,6:41.0,D. Fox misses free throw 1 of 2,,32,43
2,6:41.0,Offensive rebound by Team,,32,43
2,6:41.0,,J. Green enters the game for C. Randle,32,43
2,6:41.0,D. Fox makes free throw 2 of 2,,33,43
2,6:31.0,,J. Parker makes 2-pt layup from 4 ft,33,45
2,6:13.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,35,45
2,6:02.0,,J. Green misses 3-pt jump shot from 26 ft,35,45
2,5:58.0,Defensive rebound by B. Bogdanović,,35,45
2,5:57.0,N. Bjelica makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,37,45
2,5:53.0,,Washington full timeout,37,45
2,5:53.0,H. Barnes enters the game for B. Bogdanović,,37,45
2,5:53.0,,T. Ariza enters the game for T. Satoranský,37,45
2,5:39.0,,B. Portis misses 2-pt jump shot from 1 ft,37,45
2,5:37.0,Defensive rebound by N. Bjelica,,37,45
2,5:22.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,40,45
2,5:09.0,,B. Beal misses 2-pt layup from 7 ft,40,45
2,5:06.0,,Offensive rebound by B. Beal,40,45
2,4:58.0,,J. Parker makes 2-pt layup from 2 ft,40,47
2,4:51.0,W. Cauley-Stein misses 2-pt dunk from 3 ft,,40,47
2,4:51.0,,Defensive rebound by J. Parker,40,47
2,4:44.0,,T. Ariza makes 3-pt jump shot from 27 ft (assist by B. Beal),40,50
2,4:31.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by D. Fox),,43,50
2,4:12.0,,B. Beal misses 3-pt jump shot from 25 ft,43,50
2,4:07.0,Defensive rebound by D. Fox,,43,50
2,3:55.0,B. Hield misses 3-pt jump shot from 26 ft,,43,50
2,3:52.0,Offensive rebound by N. Bjelica,,43,50
2,3:49.0,H. Barnes misses 3-pt jump shot from 25 ft,,43,50
2,3:45.0,,Defensive rebound by B. Portis,43,50
2,3:40.0,,J. Parker misses 2-pt layup from 7 ft,43,50
2,3:36.0,Defensive rebound by D. Fox,,43,50
2,3:34.0,D. Fox makes 2-pt layup from 1 ft,,45,50
2,3:12.0,,B. Beal misses 3-pt jump shot from 23 ft,45,50
2,3:08.0,Defensive rebound by W. Cauley-Stein,,45,50
2,3:03.0,D. Fox makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,48,50
2,2:43.0,,J. Parker makes 3-pt jump shot from 23 ft (assist by J. Green),48,53
2,2:33.0,Personal foul by B. Beal (drawn by B. Hield),,48,53
2,2:33.0,B. Hield makes free throw 1 of 2,,49,53
2,2:33.0,H. Giles enters the game for W. Cauley-Stein,,49,53
2,2:33.0,,T. Satoranský enters the game for J. Parker,49,53
2,2:33.0,B. Hield misses free throw 2 of 2,,49,53
2,2:28.0,,Defensive rebound by B. Portis,49,53
2,2:15.0,,T. Ariza makes 2-pt layup at rim (assist by B. Beal),49,55
2,2:00.0,N. Bjelica misses 2-pt layup from 4 ft,,49,55
2,1:52.0,Offensive rebound by N. Bjelica,,49,55
2,1:52.0,N. Bjelica makes 2-pt layup at rim,,51,55
2,1:43.0,,B. Portis misses 2-pt jump shot from 18 ft,51,55
2,1:40.0,Defensive rebound by N. Bjelica,,51,55
2,1:30.0,H. Giles misses 2-pt hook shot from 9 ft,,51,55
2,1:24.0,,Defensive rebound by B. Beal,51,55
2,1:22.0,,T. Satoranský misses 3-pt jump shot from 24 ft,51,55
2,1:18.0,,Offensive rebound by B. Portis,51,55
2,1:14.0,,Shooting foul by H. Giles (drawn by B. Portis),51,55
2,1:14.0,,B. Portis makes free throw 1 of 2,51,56
2,1:14.0,,B. Portis makes free throw 2 of 2,51,57
2,1:02.0,D. Fox makes 3-pt jump shot from 26 ft (assist by B. Hield),,54,57
2,0:50.0,,Turnover by T. Satoranský (bad pass),54,57
2,0:40.0,D. Fox makes 2-pt jump shot from 20 ft,,56,57
2,0:29.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),56,59
2,0:09.0,D. Fox makes 2-pt layup at rim (assist by H. Giles),,58,59
2,0:09.0,Shooting foul by T. Satoranský (drawn by D. Fox),,58,59
2,0:09.0,,Technical foul by T. Satoranský,58,59
2,0:09.0,C. Brewer enters the game for N. Bjelica,,58,59
2,0:09.0,,C. Randle enters the game for T. Satoranský,58,59
2,0:09.0,B. Hield makes technical free throw,,59,59
2,0:09.0,D. Fox makes free throw 1 of 1,,60,59
2,0:01.0,,B. Beal misses 2-pt jump shot from 21 ft,60,59
2,0:01.0,Defensive rebound by H. Giles,,60,59
2,0:01.0,H. Giles misses 3-pt jump shot from 59 ft,,60,59
2,0:01.0,Offensive rebound by Team,,60,59
3,11:50.0,B. Hield misses 2-pt jump shot from 10 ft,,60,59
3,11:43.0,,Defensive rebound by T. Satoranský,60,59
3,11:23.0,,J. Green makes 2-pt jump shot from 18 ft (assist by T. Satoranský),60,61
3,11:08.0,B. Hield misses 3-pt jump shot from 26 ft,,60,61
3,11:04.0,,Defensive rebound by T. Ariza,60,61
3,10:56.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),60,64
3,10:33.0,H. Barnes makes 2-pt layup from 1 ft,,62,64
3,10:06.0,,T. Satoranský misses 3-pt jump shot from 24 ft,62,64
3,10:02.0,Defensive rebound by W. Cauley-Stein,,62,64
3,9:57.0,D. Fox misses 2-pt jump shot from 19 ft,,62,64
3,9:53.0,,Defensive rebound by B. Portis,62,64
3,9:45.0,,J. Green misses 2-pt layup from 3 ft,62,64
3,9:42.0,Defensive rebound by H. Barnes,,62,64
3,9:36.0,Turnover by B. Bogdanović (lost ball; steal by B. Portis),,62,64
3,9:32.0,,T. Ariza makes 2-pt layup from 1 ft (assist by J. Green),62,66
3,9:09.0,H. Barnes misses 2-pt layup from 7 ft,,62,66
3,9:09.0,,Defensive rebound by B. Portis,62,66
3,9:04.0,,T. Ariza misses 3-pt jump shot from 27 ft,62,66
3,8:57.0,Defensive rebound by H. Barnes,,62,66
3,8:54.0,H. Barnes makes 2-pt layup from 1 ft,,64,66
3,8:37.0,,B. Beal misses 3-pt jump shot from 26 ft,64,66
3,8:34.0,Defensive rebound by B. Bogdanović,,64,66
3,8:31.0,Shooting foul by T. Ariza (drawn by B. Bogdanović),,64,66
3,8:31.0,B. Bogdanović makes free throw 1 of 2,,65,66
3,8:31.0,B. Bogdanović makes free throw 2 of 2,,66,66
3,8:21.0,,Offensive foul by J. Green (drawn by B. Hield),66,66
3,8:21.0,,Turnover by J. Green (offensive foul),66,66
3,8:11.0,B. Hield misses 2-pt jump shot from 17 ft,,66,66
3,8:08.0,,Defensive rebound by J. Green,66,66
3,7:59.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Portis),66,68
3,7:57.0,Turnover by D. Fox (out of bounds lost ball),,66,68
3,7:45.0,,B. Portis makes 2-pt layup from 1 ft (assist by B. Beal),66,70
3,7:45.0,,Personal foul by B. Hield (drawn by B. Portis),66,70
3,7:45.0,,B. Portis makes free throw 1 of 1,66,71
3,7:29.0,Turnover by B. Hield (lost ball; steal by B. Portis),,66,71
3,7:20.0,,Turnover by B. Portis (3 sec),66,71
3,7:01.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,66,71
3,6:57.0,,Defensive rebound by B. Portis,66,71
3,6:56.0,,Turnover by T. Satoranský (bad pass),66,71
3,6:56.0,,Washington full timeout,66,71
3,6:56.0,N. Bjelica enters the game for W. Cauley-Stein,,66,71
3,6:56.0,H. Giles enters the game for B. Hield,,66,71
3,6:46.0,Shooting foul by T. Ariza (drawn by H. Barnes),,66,71
3,6:46.0,H. Barnes makes free throw 1 of 2,,67,71
3,6:46.0,H. Barnes makes free throw 2 of 2,,68,71
3,6:35.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by T. Satoranský),68,73
3,6:27.0,Turnover by D. Fox (lost ball; steal by B. Beal),,68,73
3,6:21.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Ariza),68,75
3,6:21.0,,Personal foul by N. Bjelica (drawn by J. Green),68,75
3,6:21.0,,J. Green makes free throw 1 of 1,68,76
3,6:11.0,Offensive foul by H. Giles (drawn by T. Ariza),,68,76
3,6:11.0,Turnover by H. Giles (offensive foul),,68,76
3,5:55.0,,B. Portis makes 2-pt jump shot from 10 ft (assist by B. Beal),68,78
3,5:36.0,H. Giles misses 2-pt jump shot from 18 ft,,68,78
3,5:31.0,,Defensive rebound by B. Portis,68,78
3,5:23.0,,J. Green makes 2-pt jump shot from 19 ft,68,80
3,5:21.0,Sacramento full timeout,,68,80
3,5:13.0,Personal foul by J. Green (drawn by N. Bjelica),,68,80
3,5:01.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Fox),,71,80
3,4:35.0,,J. Green misses 3-pt jump shot from 26 ft,71,80
3,4:30.0,,Offensive rebound by B. Beal,71,80
3,4:21.0,,B. Portis makes 3-pt jump shot from 29 ft (assist by T. Ariza),71,83
3,4:04.0,Personal foul by B. Beal (drawn by H. Giles),,71,83
3,3:59.0,D. Fox misses 2-pt layup from 3 ft,,71,83
3,3:58.0,Offensive rebound by H. Giles,,71,83
3,3:56.0,Shooting foul by B. Portis (drawn by H. Giles),,71,83
3,3:56.0,H. Giles makes free throw 1 of 2,,72,83
3,3:56.0,,J. Parker enters the game for J. Green,72,83
3,3:56.0,,C. Randle enters the game for T. Satoranský,72,83
3,3:56.0,H. Giles misses free throw 2 of 2,,72,83
3,3:56.0,,Defensive rebound by B. Portis,72,83
3,3:42.0,,Shooting foul by H. Giles (drawn by B. Beal),72,83
3,3:42.0,,B. Beal misses free throw 1 of 2,72,83
3,3:42.0,,Offensive rebound by Team,72,83
3,3:42.0,,B. Beal makes free throw 2 of 2,72,84
3,3:30.0,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),,74,84
3,3:13.0,,C. Randle misses 3-pt jump shot from 26 ft,74,84
3,3:10.0,,Offensive rebound by T. Ariza,74,84
3,3:09.0,,T. Ariza misses 3-pt jump shot from 26 ft,74,84
3,3:08.0,Defensive rebound by B. Bogdanović,,74,84
3,3:08.0,Personal foul by C. Randle (drawn by B. Bogdanović),,74,84
3,3:08.0,B. Bogdanović makes free throw 1 of 2,,75,84
3,3:08.0,B. Bogdanović makes free throw 2 of 2,,76,84
3,2:56.0,,B. Beal makes 2-pt jump shot from 14 ft (assist by C. Randle),76,86
3,2:53.0,Personal foul by B. Beal (drawn by D. Fox),,76,86
3,2:53.0,D. Fox misses free throw 1 of 2,,76,86
3,2:53.0,Offensive rebound by Team,,76,86
3,2:53.0,,T. Bryant enters the game for B. Portis,76,86
3,2:53.0,D. Fox makes free throw 2 of 2,,77,86
3,2:35.0,,T. Bryant misses 2-pt jump shot from 17 ft,77,86
3,2:32.0,Defensive rebound by N. Bjelica,,77,86
3,2:25.0,Turnover by D. Fox (bad pass),,77,86
3,2:05.0,,T. Ariza misses 2-pt jump shot from 19 ft,77,86
3,2:04.0,Defensive rebound by Team,,77,86
3,1:41.0,Turnover by B. Bogdanović (lost ball; steal by C. Randle),,77,86
3,1:36.0,,C. Randle makes 2-pt layup from 1 ft (assist by B. Beal),77,88
3,1:35.0,Sacramento full timeout,,77,88
3,1:35.0,,T. Brown enters the game for B. Beal,77,88
3,1:21.0,H. Giles makes 2-pt dunk from 1 ft (assist by H. Barnes),,79,88
3,1:06.0,,Personal foul by D. Fox (drawn by C. Randle),79,88
3,1:02.0,,Personal foul by D. Fox (drawn by C. Randle),79,88
3,1:02.0,,C. Randle makes free throw 1 of 2,79,89
3,1:02.0,,C. Randle makes free throw 2 of 2,79,90
3,0:49.0,H. Giles makes 2-pt jump shot from 3 ft (assist by H. Barnes),,81,90
3,0:33.0,,J. Parker misses 2-pt dunk from 2 ft,81,90
3,0:33.0,Defensive rebound by Team,,81,90
3,0:29.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,81,90
3,0:25.0,,Defensive rebound by T. Ariza,81,90
3,0:08.0,,J. Parker misses 3-pt jump shot from 26 ft,81,90
3,0:05.0,Defensive rebound by H. Giles,,81,90
3,0:02.0,N. Bjelica misses 3-pt jump shot from 29 ft,,81,90
3,0:02.0,,Defensive rebound by T. Brown,81,90
4,11:43.0,,T. Satoranský misses 3-pt jump shot from 26 ft,81,90
4,11:38.0,Defensive rebound by C. Brewer,,81,90
4,11:37.0,Shooting foul by T. Brown (drawn by C. Brewer),,81,90
4,11:37.0,C. Brewer makes free throw 1 of 2,,82,90
4,11:37.0,C. Brewer makes free throw 2 of 2,,83,90
4,11:25.0,,C. Randle makes 3-pt jump shot from 24 ft (assist by J. Parker),83,93
4,11:10.0,B. Hield makes 3-pt jump shot from 26 ft (assist by A. Burks),,86,93
4,10:56.0,,J. Parker makes 2-pt dunk from 1 ft,86,95
4,10:47.0,Personal foul by T. Bryant (drawn by H. Giles),,86,95
4,10:37.0,Turnover by B. Hield (bad pass; steal by T. Satoranský),,86,95
4,10:36.0,,Personal take foul by B. Hield (drawn by J. Parker),86,95
4,10:31.0,,T. Brown misses 2-pt jump shot from 16 ft (block by C. Brewer),86,95
4,10:30.0,Defensive rebound by C. Brewer,,86,95
4,10:26.0,Shooting foul by T. Brown (drawn by C. Brewer),,86,95
4,10:26.0,C. Brewer misses free throw 1 of 2,,86,95
4,10:26.0,Offensive rebound by Team,,86,95
4,10:26.0,C. Brewer makes free throw 2 of 2,,87,95
4,10:12.0,,Turnover by J. Parker (lost ball; steal by A. Burks),87,95
4,10:09.0,A. Burks makes 2-pt layup from 1 ft,,89,95
4,10:09.0,,Washington full timeout,89,95
4,9:50.0,,T. Satoranský makes 2-pt jump shot from 5 ft,89,97
4,9:34.0,A. Burks makes 2-pt layup from 1 ft (assist by N. Bjelica),,91,97
4,9:20.0,,Shooting foul by C. Brewer (drawn by T. Brown),91,97
4,9:20.0,,T. Brown makes free throw 1 of 2,91,98
4,9:20.0,,T. Brown misses free throw 2 of 2,91,98
4,9:17.0,Defensive rebound by C. Brewer,,91,98
4,9:03.0,B. Hield misses 2-pt layup from 7 ft,,91,98
4,9:00.0,,Defensive rebound by T. Brown,91,98
4,8:57.0,,J. Parker makes 2-pt layup from 1 ft (assist by T. Brown),91,100
4,8:44.0,B. Hield makes 2-pt dunk from 1 ft (assist by H. Giles),,93,100
4,8:35.0,,Offensive foul by T. Bryant (drawn by B. Hield),93,100
4,8:35.0,,Turnover by T. Bryant (offensive foul),93,100
4,8:35.0,W. Cauley-Stein enters the game for H. Giles,,93,100
4,8:23.0,A. Burks misses 2-pt jump shot from 8 ft,,93,100
4,8:21.0,Offensive rebound by W. Cauley-Stein,,93,100
4,8:21.0,W. Cauley-Stein makes 2-pt dunk from 1 ft,,95,100
4,8:21.0,,Washington full timeout,95,100
4,8:21.0,,T. Ariza enters the game for T. Brown,95,100
4,8:21.0,,B. Beal enters the game for T. Bryant,95,100
4,8:21.0,,B. Portis enters the game for C. Randle,95,100
4,8:03.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Parker),95,103
4,7:43.0,B. Hield misses 2-pt layup from 4 ft (block by B. Portis),,95,103
4,7:43.0,Offensive rebound by B. Hield,,95,103
4,7:36.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by N. Bjelica),,97,103
4,7:26.0,,Shooting foul by A. Burks (drawn by T. Satoranský),97,103
4,7:26.0,,T. Satoranský makes free throw 1 of 2,97,104
4,7:26.0,D. Fox enters the game for A. Burks,,97,104
4,7:26.0,,T. Satoranský misses free throw 2 of 2,97,104
